Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022)
1.854964927166837e-17,0.4556638367089205,3.76,0.0,0.7464705218790173,0.9999999999999993,2.456274203067067e-35,3.1018091922803415e-48,1.7029713013582583e-30,2.9836975490529294e-13,1.18407371918935e-15,5.4285361674370205e-24,5.098523931898996e-16,4.7393928904107285e-25,6.742213212080637e-16,1.4879628280678293e-25,1.059938898561118e-27,5.860170977499826e-26,4.237077286544557e-41,9.279062163094089e-28,4.440303306378513e-51,7.540959321412367e-26,6.301104749105348e-26,9.520147568401726e-40,1.6731796130603766e-39,3.007953065992841e-22,1.4725044029020525e-51,5.447354909178749e-29,6.075069671496698e-71,8.988985591809378e-73,1.1767268071468324e-36,7.496385402161582e-62,1.0298284217737769e-49,1.1093425007873694e-26,2.5694428716384242e-55,1.9191089822405644e-55,2.0047795885007814e-51,5.679879565883896e-50,3.3992924722567873e-66,3.015661446707765e-40,5.36574929268814e-75,2.4112252284788262e-63,4.598498489993136e-41,2.397306103488029e-74
3.7115414659124463e-17,0.4556638367089329,3.76,0.0,0.7464705218788668,0.9999999999999987,1.966512882424616e-34,2.4833350236355563e-47,6.8163232587748e-30,5.969987363457725e-13,2.369176183362694e-15,2.1728291842935926e-23,1.0201477517177308e-15,1.896992284611688e-24,1.3490284124669294e-15,5.955729058402447e-25,4.242517882111863e-27,2.345595593526274e-25,3.3922381800584743e-40,3.714043058615211e-27,7.110270634821328e-50,3.0183489590108733e-25,2.522084015607507e-25,7.621906710510596e-39,1.3395610676640571e-38,6.018990801563228e-22,2.357925599370107e-50,2.1803615004742906e-28,1.945659749993252e-69,2.878899802786964e-71,9.420968978069589e-36,2.401741213248658e-60,1.6496430344356942e-48,4.440261026325659e-26,4.114458442722745e-54,3.074147644027795e-54,3.2113802622462785e-50,9.098383253204615e-49,1.088688876398342e-64,2.4143628026941238e-39,3.4384043675594185e-73,7.725346816484926e-62,3.681594715431879e-40,1.5361807292672588e-72
7.424694543403665e-17,0.4556638367089577,3.76,0.0,0.7464705218785658,0.9999999999999973,1.5738079691929102e-33,1.987425375363913e-46,2.727417156363431e-29,1.1942566991930798e-12,4.739381142367486e-15,8.694146977968799e-23,2.040738470626767e-15,7.590440141457373e-24,2.6986425950036042e-15,2.383067395467792e-24,1.697559772294041e-26,9.385437637000688e-25,2.7148215568011534e-39,1.48610099994836e-26,1.138106372955592e-48,1.2077327415468235e-24,1.009162123440287e-24,6.09984181905971e-38,1.0720559817667142e-37,1.2042480878817567e-21,3.774216612061474e-49,8.724285375193813e-28,6.2287405391995194e-68,9.216379804517603e-70,7.539637635987524e-35,7.690211541455756e-59,2.640963932736769e-47,1.7766827758577094e-25,6.585819790138385e-53,4.921496421678977e-53,5.1411967225002786e-49,1.4565879420095525e-47,3.485269556975747e-63,1.9322240068005846e-38,2.201963864131083e-71,2.4736204091858833e-60,2.9463944272246756e-39,9.837657298867724e-71
1.4851000698386103e-16,0.4556638367090074,3.76,0.0,0.7464705218779638,0.9999999999999947,1.2592854914314048e-32,1.5902464528815727e-45,1.0911444497894551e-28,2.3887726247530874e-12,9.479791183009492e-15,3.478224919813377e-22,4.08191991585834e-15,3.0366703612762545e-23,5.3978709601527275e-15,9.533821361947607e-24,6.791344520958149e-26,3.7547861843138684e-24,2.1722697894799092e-38,5.945371690576342e-26,1.8213407874341533e-47,4.8317173927905395e-24,4.037305625001309e-24,4.88080023065615e-37,8.578076756377165e-37,2.409511945777088e-21,6.03997554716181e-48,3.490281698074513e-27,1.993622906274301e-66,2.949878127129582e-68,6.032854409098322e-34,2.4616101479185214e-57,4.226770834865492e-46,7.107887966130449e-25,1.053947743851538e-51,7.876682215417848e-52,8.228306209801906e-48,2.3312181977160928e-46,1.1155206896408486e-61,1.546072762623287e-37,1.4097003507500596e-69,7.9180023203997145e-59,2.3575627909700513e-38,6.298054429512139e-69
2.970361300835098e-16,0.4556638367091065,3.76,0.0,0.7464705218767598,0.9999999999999892,1.0075240492882255e-31,1.2723246690269278e-44,4.364932929958291e-28,4.777804475334674e-12,1.8960611754823185e-14,1.391403201578248e-21,8.164282835975477e-15,1.2147670394419592e-22,1.0796327690754073e-14,3.8138389347663876e-23,2.7167589388340565e-25,1.5020367002418622e-23,1.7379809481114903e-37,2.378342228126228e-25,2.914441901331328e-46,1.9328442526007033e-23,1.6150536882062224e-23,3.905010929689407e-36,6.863113105468671e-36,4.8223030313378976e-21,9.664944617341051e-47,1.3962258708579816e-26,6.380307699684353e-65,9.440707750707538e-67,4.8267398149620134e-33,7.8783396280155905e-56,6.763816580354898e-45,2.8433865492785856e-24,1.6864948620784932e-50,1.260451911855557e-50,1.3167203502245919e-46,3.730491105945652e-45,3.5700409911884165e-60,1.2369756272724394e-36,9.023502747328225e-68,2.5341482088874322e-57,1.8862286581217763e-37,4.0313812134981906e-67
5.940883762828073e-16,0.4556638367093048,3.76,0.0,0.7464705218743518,0.9999999999999785,8.06057503121713e-31,1.0179187929408542e-43,1.746044145485781e-27,9.555868174344134e-12,3.792225486056928e-14,5.565839280594743e-21,1.6329008794825748e-14,4.85926617029297e-22,2.159324115316915e-14,1.525597663609852e-22,1.0867478258780676e-24,6.00839119797486e-23,1.3904509386819234e-36,9.513756029725597e-25,4.6633447922158603e-45,7.731691604271687e-23,6.460477659378809e-23,3.1241570423722626e-35,5.490751290222822e-35,9.65693868147847e-21,1.54646998544601e-45,5.585127266279895e-26,2.0418337772989256e-63,3.021252733345677e-65,3.861572006607316e-32,2.5212580133839037e-54,1.0822893987351082e-43,1.1374008729709723e-23,2.698551168907886e-49,2.01686829170288e-49,2.1069056870669013e-45,5.969219103635868e-44,1.1424728588267798e-58,9.896274420048702e-36,5.775497773816815e-66,8.109898589356655e-56,1.509053510925703e-36,2.5802857924722384e-65
1.1881928686814024e-15,0.45566383670970156,3.76,0.0,0.7464705218695358,0.9999999999999569,6.448613070869102e-30,8.143715418740592e-43,6.984318089979614e-27,1.9111995563748193e-11,7.584554892053613e-14,2.2263810070304246e-20,3.265846118699043e-14,1.9437462438239715e-21,4.318706808284886e-14,6.102514912020829e-22,4.3470799872141886e-24,2.4034053076778546e-22,1.1123874318178115e-35,3.8055798364294615e-24,7.461543224427813e-44,3.09273955496129e-22,2.5842436626244398e-22,2.4993849431446647e-34,4.392705536149188e-34,1.9362423897342308e-20,2.4744155117540923e-44,2.234093577095355e-25,6.534219009297067e-62,9.668694623134938e-64,3.0893258767459255e-31,8.068324561580986e-53,1.7317262928485665e-42,4.5496958324221077e-23,4.3178625165522647e-48,3.227102305152525e-48,3.3711716979961107e-44,9.551096309486183e-43,3.656007279808642e-57,7.917206834737702e-35,3.696466313630741e-64,2.5952702085147343e-54,1.2072697800226066e-35,1.6514492269419948e-63
2.3764018534785924e-15,0.45566383671049504,3.76,0.0,0.7464705218599038,0.9999999999999137,5.158951655140556e-29,6.515324508716519e-42,2.793755184653741e-26,3.8224250308096896e-11,1.5169216843436746e-13,8.905614611551599e-20,6.531736786917745e-14,7.775065907395454e-21,8.637472196160652e-14,2.4410308773173304e-21,1.73884987693432e-23,9.613718474285309e-22,8.899209508881122e-35,1.522247419390862e-23,1.1938626729838863e-42,1.2371083994340068e-21,1.033707998218874e-21,1.9995316596743142e-33,3.5142065172205885e-33,3.891824998745583e-20,3.9591171059992165e-43,8.936442956069125e-25,2.0910922564705362e-60,3.0942992933507656e-62,2.471481942635777e-30,2.5819091107813135e-51,2.770813491385903e-41,1.8198966671383293e-22,6.908894564912636e-47,5.1634440327674295e-47,5.393973093137498e-43,1.5282027694720394e-41,1.16993645754964e-55,6.333839640966106e-34,2.365788030401759e-62,8.305046616952335e-53,9.658245914870832e-35,1.0569509497459166e-61
4.752819823072972e-15,0.45566383671208205,3.76,0.0,0.7464705218406399,0.9999999999998274,4.127185770485519e-28,5.212730304603353e-41,1.1175073810606326e-25,7.644875965895657e-11,3.033855330376107e-13,3.562263955818035e-19,1.3063518882499146e-13,3.1100436534340147e-20,1.727500297967148e-13,9.764173820682404e-21,6.955436433197877e-23,3.8455065070980776e-21,7.119416956217687e-34,6.089020645526634e-23,1.9101942658499714e-41,4.948458710242687e-21,4.13485316571455e-21,1.59963477969508e-32,2.81138250705799e-32,7.860932476966703e-20,6.334633866463455e-42,3.574577556734924e-24,6.692273262984226e-59,9.903591518611969e-61,1.9771843423948305e-29,8.262165064374012e-50,4.433345342170675e-40,7.279622264233873e-22,1.1055027000111306e-45,8.261542447100721e-46,8.630436596133221e-42,2.4451453590033443e-40,3.7438132961198897e-54,5.0671001865531176e-33,1.514123168044236e-60,2.6576553513872532e-51,7.72659946325861e-34,6.764589539231738e-60
9.505655762261732e-15,0.4556638367152559,3.76,0.0,0.746470521802112,0.9999999999996546,3.3017583419008025e-27,4.170900246715592e-40,4.4700378782002635e-25,1.5289777780932513e-10,6.067727645463437e-13,1.424909200119379e-18,2.6127086110245316e-13,1.2440218026641032e-19,3.455006457773038e-13,3.9056799795178134e-20,2.782182887350666e-22,1.538206161190527e-20,5.695561828003395e-33,2.435614450366837e-22,3.0563264432723445e-40,1.979388472606208e-20,1.6539455859886925e-20,1.2797115562772062e-31,2.249113655540857e-31,1.6030916448955271e-19,1.0135466317666457e-40,1.4298204135056396e-23,2.1420042933282594e-57,3.170291699532324e-59,1.5817314562763858e-28,2.643891211047604e-48,7.093395927684855e-39,2.911855166588126e-21,1.7690420770990198e-44,1.3218390212042177e-44,1.3808765296572641e-40,3.912246243688263e-39,1.1980190931691024e-52,4.05368962569137e-32,9.690486411323298e-59,8.504634277499518e-50,6.181228922155525e-33,4.329406812670028e-58
