Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6)
0.0,0.40722969099234724,3.76,0.0,0.6142325382788936,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.8542307292223945e-22,0.4072296909923472,3.76,0.0,0.6142325382788935,1.0,0.0,0.0,0.0,1.6582889706164166e-16,6.232572981238424e-19,3.3891788594428137e-31,6.232572981235035e-19
1.6391846041822705e-21,0.40722969099234724,3.76,0.0,0.6142325382788933,1.0,0.0,0.0,0.0,4.643209117725956e-16,1.7451204347478565e-18,2.0470640311034554e-30,1.7451204347458096e-18
3.7467076667023325e-21,0.40722969099234724,3.76,0.0,0.614232538278893,1.0,0.0,0.0,0.0,1.0613049411944987e-15,3.9888467080002764e-18,9.855732123259634e-30,3.98884670799042e-18
7.961753791742457e-21,0.4072296909923474,3.76,0.0,0.6142325382788925,1.0,0.0,0.0,0.0,2.2552730000382857e-15,8.47629925452268e-18,4.3042571514923e-29,8.476299254479638e-18
1.6391846041822705e-20,0.4072296909923474,3.76,0.0,0.6142325382788912,1.0,0.0,0.0,0.0,4.643209117725786e-15,1.745120434763775e-17,1.7969426312765134e-28,1.7451204347458053e-17
3.32520305419832e-20,0.4072296909923477,3.76,0.0,0.6142325382788888,1.0,0.0,0.0,0.0,9.419081353100484e-15,3.540101453414892e-17,7.3410969767069505e-28,3.5401014533414815e-17
6.697239954230419e-20,0.40722969099234796,3.76,0.0,0.614232538278884,1.0,0.0,0.0,0.0,1.8970825823848682e-14,7.130063490829544e-17,2.9673887720269748e-27,7.130063490532807e-17
1.3441313754294618e-19,0.4072296909923486,3.76,0.0,0.6142325382788744,1.0,0.0,0.0,0.0,3.8074314765340274e-14,1.4309987566108513e-16,1.1931739741819058e-26,1.4309987564915341e-16
2.692946135442301e-19,0.4072296909923501,3.76,0.0,0.6142325382788552,1.0,0.0,0.0,0.0,7.62812926483043e-14,2.866983571846513e-16,4.7851612965711367e-26,2.866983571367996e-16
5.390575655467981e-19,0.4072296909923531,3.76,0.0,0.6142325382788166,1.0,0.0,0.0,0.0,1.5269524841415558e-13,5.738953203037303e-16,1.916560445506488e-25,5.738953201120742e-16
1.078583469551934e-18,0.4072296909923589,3.76,0.0,0.6142325382787397,1.0,0.0,0.0,0.0,3.0552315994555116e-13,1.1482892468296746e-15,7.671236482684975e-25,1.148289246062551e-15
2.1576352775622058e-18,0.4072296909923706,3.76,0.0,0.6142325382785857,1.0,0.0,0.0,0.0,6.111789830071142e-13,2.2970771010327108e-15,3.0694938178909874e-24,2.2970770979632175e-15
4.315738893582749e-18,0.40722969099239387,3.76,0.0,0.6142325382782777,1.0,0.0,0.0,0.0,1.2224906291253282e-12,4.594652814043371e-15,1.2279974005842325e-23,4.594652801763396e-15
8.631946125623836e-18,0.40722969099244055,3.76,0.0,0.6142325382776618,1.0,0.0,0.0,0.0,2.445113921342107e-12,9.189804258483041e-15,4.9123893776243923e-23,9.18980420935915e-15
1.7264360589706012e-17,0.407229690992534,3.76,0.0,0.61423253827643,1.0,0.0,0.0,0.0,4.890360505697069e-12,1.8380107221035796e-14,1.9650357089243076e-22,1.838010702453222e-14
3.452918951787036e-17,0.4072296909927205,3.76,0.0,0.6142325382739664,1.0,0.0,0.0,0.0,9.78085367409261e-12,3.676071344083493e-14,7.860302754054425e-22,3.6760712654804645e-14
6.905884737419906e-17,0.40722969099309403,3.76,0.0,0.6142325382690391,1.0,0.0,0.0,0.0,1.9561840009626163e-11,7.35219270592077e-14,3.1441530853868458e-21,7.352192391505462e-14
1.3811816308685645e-16,0.40722969099384065,3.76,0.0,0.6142325382591846,1.0,0.0,0.0,0.0,3.912381267566314e-11,1.4704435901105122e-13,1.2576676307833796e-20,1.4704434643437495e-13
2.7623679451217124e-16,0.40722969099533407,3.76,0.0,0.6142325382394755,1.0,0.0,0.0,0.0,7.824775798761661e-11,2.9408924177513055e-13,5.0306833151965284e-20,2.9408919146829736e-13
5.524740573628009e-16,0.4072296909983209,3.76,0.0,0.6142325382000575,1.0,0.0,0.0,0.0,1.564956485310416e-10,5.881790827448575e-13,2.0122758835158654e-19,5.881788815172692e-13
1.10494858306406e-15,0.4072296910042947,3.76,0.0,0.6142325381212215,1.0,0.0,0.0,0.0,3.1299142929596376e-10,1.1763590664505846e-12,8.049108641115262e-19,1.1763582615397207e-12
2.209897634466578e-15,0.40722969101624223,3.76,0.0,0.6142325379635494,1.0,0.0,0.0,0.0,6.259829895380968e-10,2.3527202409271274e-12,3.219644471596304e-18,2.3527170212826556e-12
4.419795737271615e-15,0.40722969104013734,3.76,0.0,0.6142325376482051,1.0,0.0,0.0,0.0,1.2519661048715176e-09,4.7054474181405244e-12,1.287857986660234e-17,4.705434539560657e-12
8.839591942881688e-15,0.4072296910879274,3.76,0.0,0.6142325370175165,1.0,0.0,0.0,0.0,2.503932314934979e-09,9.410921085608235e-12,5.151432302617543e-17,9.41086957128521e-12
1.7679184354101834e-14,0.4072296911835076,3.76,0.0,0.6142325357561391,1.0,0.0,0.0,0.0,5.00786465264838e-09,1.8821945672704725e-11,2.0605729601888627e-16,1.8821739615408706e-11
2.651877676532198e-14,0.4072296912790878,3.76,0.0,0.6142325344947619,1.0,0.0,0.0,0.0,7.51179690794826e-09,2.823304751195965e-11,4.3787175279348035e-16,2.8232609640206858e-11
3.5358369176542126e-14,0.407229691374668,3.76,0.0,0.6142325332333844,1.0,0.0,0.0,0.0,1.0015729080834624e-08,3.764422660337038e-11,7.469576904582761e-16,3.764347964567993e-11
5.303755399898242e-14,0.40722969156582844,3.76,0.0,0.6142325307106293,1.0,0.0,0.0,0.0,1.502359323318787e-08,5.6466766092263545e-11,1.5464809912759737e-15,5.6465219611272274e-11
7.07167388214227e-14,0.4072296917569888,3.76,0.0,0.6142325281878742,1.0,0.0,0.0,0.0,2.0031457082477222e-08,7.528958966486412e-11,2.6301590621492266e-15,7.528695950580197e-11
8.8395923643863e-14,0.4072296919481492,3.76,0.0,0.6142325256651185,1.0,0.0,0.0,0.0,2.5039320607055268e-08,9.411271761284788e-11,4.018288652979056e-15,9.410869932419491e-11
1.2375429328874357e-13,0.40722969233047,3.76,0.0,0.6142325206196065,1.0,0.0,0.0,0.0,3.5055046661681016e-08,1.3175990575393838e-10,7.727026138610225e-15,1.3175217872779976e-10
1.9447103257850474e-13,0.40722969309511153,3.76,0.0,0.6142325105285787,1.0,0.0,0.0,0.0,5.508649481714215e-08,2.0705798820903194e-10,1.885160097442796e-14,2.0703913660805748e-10
2.651877718682659e-13,0.4072296938597531,3.76,0.0,0.6142325004375463,1.0,0.0,0.0,0.0,7.511793769635062e-08,2.8236101647577114e-10,3.4923224363242765e-14,2.823260932514078e-10
4.0662125044778825e-13,0.40722969538903614,3.76,0.0,0.614232480255467,1.0,0.0,0.0,0.0,1.151808076307831e-07,4.3298190596577756e-10,8.19031365883671e-14,4.329000028291891e-10
6.89488207606833e-13,0.4072296984476021,3.76,0.0,0.6142324398912509,1.0,0.0,0.0,0.0,1.953064842047905e-07,7.342830157335832e-10,2.3520857984788115e-13,7.340478071537353e-10
1e-12,0.4072297045647335,3.76,0.0,0.6142323955821166,1.0,0.0,0.0,0.0,2.8326281609489803e-07,1.0651216272596542e-09,4.946001117990195e-13,1.0646270271478553e-09
1.2552221219249223e-12,0.4072297045647335,3.76,0.0,0.6142323591625893,1.0,0.0,0.0,0.0,3.5555758417801563e-07,1.337122553863886e-09,7.7919734840105e-13,1.336343356515485e-09
2.3866899505611013e-12,0.40722971679899383,3.76,0.0,0.6142321977043486,1.0,0.0,0.0,0.0,6.760587714285599e-07,2.5437508998082863e-09,2.8166814336922737e-12,2.5409342183745947e-09
4.649625607833459e-12,0.40722974126750466,3.76,0.0,0.6142318747841965,1.0,0.0,0.0,0.0,1.3170570951609572e-06,4.960804643262994e-09,1.0689646350408984e-11,4.950114996912586e-09
6.912561265105816e-12,0.4072297657360028,3.76,0.0,0.6142315518591503,1.0,0.0,0.0,0.0,1.958050017882603e-06,7.382921091661203e-09,2.3626573479228176e-11,7.359294518181976e-09
1e-11,0.40722981467296043,3.76,0.0,0.6142311112681172,1.0,0.0,0.0,0.0,2.8325807006500708e-06,1.0695703838892193e-08,4.9444626084266706e-11,1.0646259212807927e-08
1.1438432579650531e-11,0.40722981467296043,3.76,0.0,0.6142309059943756,1.0,0.0,0.0,0.0,3.2400196603998555e-06,1.2242341873969529e-08,6.469206263093146e-11,1.2177649811338597e-08
1.5511716762740776e-11,0.4072298587161781,3.76,0.0,0.6142303246993408,1.0,0.0,0.0,0.0,4.393773867411199e-06,1.663313458912039e-08,1.1896927060804052e-10,1.6514165318512348e-08
1.958500094583102e-11,0.40722990275935433,3.76,0.0,0.6142297433884497,1.0,0.0,0.0,0.0,5.547510575466964e-06,2.1040329773240007e-08,1.896529527098434e-10,2.0850676820530162e-08
2.3658285128921266e-11,0.4072299468024887,3.76,0.0,0.6142291620617027,1.0,0.0,0.0,0.0,6.7012297846792534e-06,2.546392718107644e-08,2.7674283946374496e-10,2.51871843416127e-08
2.773156931201151e-11,0.40722999084558137,3.76,0.0,0.6142285807191002,1.0,0.0,0.0,0.0,7.854931495164878e-06,2.9903926557042903e-08,3.802386500400897e-10,2.9523687907002813e-08
3.5878137678191995e-11,0.40723007893164154,3.76,0.0,0.6142274179863297,1.0,0.0,0.0,0.0,1.0162282420375242e-05,3.883313029631595e-08,6.364470350418909e-10,3.8196683261274065e-08
4.4024706044372485e-11,0.4072301670175349,3.76,0.0,0.6142262551901408,1.0,0.0,0.0,0.0,1.2469563352031598e-05,4.782793894845097e-08,9.582758633895077e-10,4.6869663085061474e-08
5.2171274410552975e-11,0.4072302551032614,3.76,0.0,0.6142250923305365,1.0,0.0,0.0,0.0,1.4776774291119584e-05,5.688835035706295e-08,1.345722765772567e-09,5.554262759129039e-08
6.031784277673346e-11,0.407230343188821,3.76,0.0,0.6142239294075195,1.0,0.0,0.0,0.0,1.708391523860754e-05,6.60143624038569e-08,1.7987854147685572e-09,6.421557698908836e-08
7.661097950909444e-11,0.4072305193594392,3.76,0.0,0.6142216033712578,1.0,0.0,0.0,0.0,2.1697987162501908e-05,8.44631802793665e-08,2.901749017354354e-09,8.156143126201216e-08
9.122170590710799e-11,0.40723067733831625,3.76,0.0,0.6142195173031045,1.0,0.0,0.0,0.0,2.5835377304057456e-05,1.0123013263638213e-07,4.114009200318174e-09,9.711612343606392e-08
9.999999999999999e-11,0.40723083531665566,3.76,0.0,0.6142182638710632,1.0,0.0,0.0,0.0,2.832106108968964e-05,1.1140537092640205e-07,4.943829739073859e-09,1.0646154118732819e-07
1.0583243230512154e-10,0.40723083531665566,3.76,0.0,0.6142174310310211,1.0,0.0,0.0,0.0,2.9972542326597608e-05,1.1820806294281448e-07,5.537292804499751e-09,1.1267077013831471e-07
1.3505388510114863e-10,0.4072311512717215,3.76,0.0,0.6142132578751266,1.0,0.0,0.0,0.0,3.8246197036370516e-05,1.5279680989047932e-07,9.016878078003085e-09,1.437799318124762e-07
1.9349679069320284e-10,0.40723178317539427,3.76,0.0,0.6142049091168661,1.0,0.0,0.0,0.0,5.4790805266997203e-05,2.2450551638208145e-07,1.850775535383507e-08,2.0599776102824637e-07
2.5193969628525705e-10,0.407232415070445,3.76,0.0,0.6141965570974806,1.0,0.0,0.0,0.0,7.133181220263684e-05,2.9958853920488074e-07,3.1373545386170133e-08,2.682149938187105e-07
3.6882550746936547e-10,0.4072336788346286,3.76,0.0,0.6141798432793498,1.0,0.0,0.0,0.0,0.00010440302358415519,4.5987449101880994e-07,6.722652176506171e-08,3.926479692537482e-07
4.857113186534739e-10,0.40723494256417003,3.76,0.0,0.6141631164287656,1.0,0.0,0.0,0.0,0.00013745983397326982,6.33648579632761e-07,1.1656912382822717e-07,5.170794558045339e-07
6.025971298375823e-10,0.40723620625896756,3.76,0.0,0.614146376553757,1.0,0.0,0.0,0.0,0.0001705022461671626,8.209047187544182e-07,1.7939466891173688e-07,6.415100498426813e-07
7.194829410216906e-10,0.40723746991891935,3.76,0.0,0.6141296236623507,1.0,0.0,0.0,0.0,0.0002035302629680384,1.0216368215447167e-06,2.556964751871879e-07,7.659403463575288e-07
