Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7)
7.584068172698826e-17,0.7665840048260978,3.76,0.0,0.9762994661929102,0.9999999999999986,5.67684867175782e-35,2.067061102658006e-47,6.947527051433477e-30,8.241191151864053e-13,2.576147334430589e-15,4.157188925702897e-23,2.524376704995223e-24,1.0677185820712223e-15,9.105060812960015e-25,9.95369958650187e-41,2.451169067804975e-50,1.5084287139618815e-15,2.6494906992650717e-25,4.071908224450076e-27,5.742332828049823e-26,3.924887986205341e-22
1.5169782550774838e-16,0.766584004826153,3.76,0.0,0.9762994661924954,0.999999999999997,4.542341457357767e-34,1.65396634282741e-46,2.779463198306147e-29,1.6484171144030834e-12,5.152853929886258e-15,1.6631462700937019e-22,1.0099150729670872e-23,2.135668927275734e-15,3.642617215634455e-24,7.964472402524321e-40,3.922668740293369e-49,3.017184848995579e-15,1.0599688019712731e-24,1.629028450243962e-26,2.2973070534906425e-25,7.851776600852119e-22
3.034121130692686e-16,0.7665840048262634,3.76,0.0,0.976299466191666,0.999999999999994,3.634218219610435e-33,1.3233041549558127e-45,1.1118757504748068e-28,3.2970131125839355e-12,1.0306267360594467e-14,6.653126518116351e-22,4.0399891778104886e-23,4.2715696269149695e-15,1.4571654754867044e-23,6.372183582078439e-39,6.276909128152911e-48,6.0346971191697095e-15,4.240220263738078e-24,6.51664424202565e-26,9.189976135842494e-25,1.5709000269177056e-21
6.068406881923092e-16,0.7665840048264843,3.76,0.0,0.9762994661900071,0.999999999999988,2.9075126187658484e-32,1.0587022917142331e-44,4.447683863944199e-28,6.5942051079356275e-12,2.0613095181198366e-14,2.6613588982978997e-21,1.6160615151266813e-22,8.543371063114298e-15,5.828899110441661e-23,5.097989945976163e-38,1.0043567483542013e-46,1.2069721659944918e-14,1.6961571085222802e-23,2.6067638546813234e-25,3.6761400633022796e-24,3.1437233361926783e-21
1.2136978384383903e-15,0.7665840048269261,3.76,0.0,0.9762994661866893,0.9999999999999759,2.3260653364638056e-31,8.469958734678668e-44,1.779109649268292e-27,1.3188589094598956e-11,4.1226754659156056e-14,1.0645652176328596e-20,6.4643782666349035e-22,1.7086974083196422e-14,2.3316071039874706e-22,4.078490476874613e-37,1.6070123190701735e-45,2.4139770743203115e-14,6.784766357793296e-23,1.0427268265319762e-24,1.4704859630572585e-23,6.2948842571620374e-21
2.4274121389305525e-15,0.7665840048278096,3.76,0.0,0.9762994661800537,0.9999999999999518,1.8608744024396382e-30,6.776270388535682e-43,7.116510250196808e-27,2.6377357051765392e-11,8.245408896207065e-14,4.2583041852872494e-20,2.5857781607392294e-21,3.41741807140949e-14,9.326523474554908e-22,3.2628338466679175e-36,2.571254496866154e-44,4.8279868916550654e-14,2.7139340602580646e-22,4.1709502974849605e-24,5.882003851519944e-23,1.2619263308614169e-20
4.854840739914876e-15,0.7665840048295768,3.76,0.0,0.9762994661667824,0.9999999999999035,1.4887084335474022e-29,5.421405254217181e-42,2.8466179868464755e-26,5.2754892901457385e-11,1.6490881895589368e-13,1.7033303352988883e-19,1.0343169652365432e-20,6.834859633883158e-14,3.730628512138682e-21,2.6102869540887556e-35,4.114040043417128e-43,9.656006529057026e-14,1.085579073279294e-21,1.66838905463145e-23,2.352813639147988e-22,2.5356250248258156e-20
9.709697941883523e-15,0.766584004833111,3.76,0.0,0.97629946614024,0.9999999999998069,1.1909704046549702e-28,4.3377079130990584e-41,1.1386496169616934e-25,1.0550996434227787e-10,3.298185244954916e-13,6.81333864915625e-19,4.13728190365413e-20,1.3669743704008586e-13,1.492255317736467e-20,2.0882427789330198e-34,6.582506409573025e-42,1.931204581479078e-13,4.342326757280742e-21,6.673576788463048e-23,9.411279542754905e-22,5.118313946399372e-20
1.9419412345820818e-14,0.7665840048401791,3.76,0.0,0.9762994660871551,0.9999999999996139,9.527779359207283e-28,3.471084825409366e-40,4.554600471208129e-25,2.1102010618966485e-10,6.596389177823069e-13,2.725338909701825e-18,1.6549176826474822e-19,2.733951562498955e-13,5.969029803993046e-20,1.6706079333366528e-33,1.0532095523635105e-40,3.862412442997773e-13,1.7369324483771007e-20,2.6694369882732827e-22,3.764517445565411e-21,1.042485791571668e-19
3.883884115369541e-14,0.7665840048543158,3.76,0.0,0.9762994659809854,0.9999999999992276,7.62223232125184e-27,2.7783312734977456e-39,1.821838316289265e-24,4.220403857474227e-10,1.3192836331849108e-12,1.0901362446436433e-17,6.619697474093079e-19,5.46790745900138e-13,2.387614194033849e-19,1.3365053090777012e-32,1.685158552101685e-39,7.724828183523024e-13,6.947730505479899e-20,1.0677777770002802e-21,1.5058086089026797e-20,2.1602610291764274e-19
