Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16),CO(14),C2H5O(43),CH2CHO(34),C2H(21),CH3O(26),HCCO(20),C3H6(255),C3H6(60),C3H6(51),C3H5(214),CH2CO(27),CH2(S)(24),CH2(T)(17),C1OO1(799),CH2O2(129),CHO2(157),CO2(15),C2H5O(91),C2H2O(94),C3H7(48),C2H4(47)
1.7931548531457866e-18,0.8763436060695475,3.76,0.0,0.9509368125288273,0.9999999999999998,2.076044991780621e-37,5.646566282714231e-47,3.1097071453566257e-30,3.053927126043927e-13,9.097118162111159e-16,4.263905106822358e-20,5.562095903083938e-26,5.964967477520733e-16,1.8075371602258012e-26,8.17569052884544e-42,1.330231274608699e-52,3.13215067770516e-16,1.2882349032882047e-27,1.8052389196471151e-29,7.591050118543265e-27,8.916162719661095e-22,6.358497239353594e-27,6.613873688428911e-29,4.1987484107412194e-41,1.4181172649966825e-40,5.547463645070533e-30,1.6055200545700094e-53,6.167646668611236e-72,1.505887932336017e-27,1.246939174378555e-72,7.017322682715643e-57,7.971028958284114e-47,2.2424178976024176e-56,1.9863653101927533e-57,3.607048992195878e-57,4.26382887794101e-20,5.9002637567061e-30,1.0694430853944086e-46,1.8755829111510072e-45,4.673507513536944e-40,5.35064151501677e-41,3.716037582788159e-39,9.128055341997895e-69,6.72270932538857e-50,3.553099461088834e-42
3.587867616676583e-18,0.8763436060695711,3.76,0.0,0.9509368125286736,0.9999999999999994,1.6620983183805123e-36,4.520686396899029e-46,1.2446932710047816e-29,6.110507533675615e-13,1.8202140003508697e-15,8.53166732481956e-20,2.226287886780298e-25,1.1935117377552588e-15,7.234859219065804e-26,6.545523598976851e-41,2.130103205539902e-51,6.267022598397094e-16,5.156296849701375e-27,7.225660270150887e-29,3.038398332171387e-26,1.7840126813343998e-21,2.5450559680297615e-26,2.6472731005948654e-28,3.3615517472906164e-40,1.1353561036304533e-39,2.220431165160048e-29,2.5709239370022195e-52,1.9753077219342166e-70,6.027476185676361e-27,3.995127426347147e-71,1.1240780579423477e-55,6.3833827534281284e-46,3.5920440305564955e-55,3.1818831117448513e-56,5.775978424812828e-56,8.531362210635972e-20,2.3616431574166432e-29,8.562047369729105e-46,1.5016067638218918e-44,3.741647698380415e-39,4.283766706613505e-40,2.9750895679473974e-38,2.923435562344856e-67,5.402215993274912e-49,2.844640000091948e-41
7.177293143738174e-18,0.8763436060696181,3.76,0.0,0.950936812528366,0.9999999999999988,1.3301838006037983e-35,3.6179230731237514e-45,4.9803943704153237e-29,1.2223668348890666e-12,3.6412183729840935e-15,1.7067649726392895e-19,8.908051433554719e-25,2.3875417179787836e-15,2.89488607198048e-25,5.238408207113466e-40,3.4095523582030655e-50,1.253676643978114e-15,2.0631903782480892e-26,2.8912052964267584e-28,1.215755102578635e-25,3.568821984753979e-21,1.0183538961710752e-25,1.059254063524479e-27,2.6902630418928718e-39,9.086299473026626e-39,8.884616877219962e-29,4.115152619434668e-51,6.323643742637634e-69,2.41177558869744e-26,1.2792288872408278e-69,1.7995708907398036e-54,5.109445173943302e-45,5.750612938933526e-54,5.0939739507549896e-55,9.245328339269933e-55,1.7066428872228915e-19,9.449648825316269e-29,6.852240100423433e-45,1.2017417803214286e-43,2.9944553136709856e-38,3.4283154102805284e-39,2.3809758316561287e-37,9.35892846643842e-66,4.353731297032883e-48,2.2765765356587707e-40
1.435614419786136e-17,0.8763436060697124,3.76,0.0,0.9509368125277511,0.9999999999999976,1.0643491420254419e-34,2.8948881902694046e-44,1.9924820506359535e-28,2.4449989979127475e-12,7.283227135665406e-15,3.414144639185524e-19,3.563800640634617e-24,4.775601679294448e-15,1.1581429326928456e-24,4.1915224785502295e-39,5.4563938479753635e-49,2.507625412254996e-15,8.254104978685017e-26,1.1566703845785999e-27,4.863812062492368e-25,7.138506530325119e-21,4.0740786974589358e-25,4.2377059988962e-27,2.152619178306322e-38,7.270420135016023e-38,3.5544252592322363e-28,6.585583998789299e-50,2.023991781160837e-67,9.648672803106651e-26,4.0947938845873984e-68,2.8801510424510537e-53,4.0888341767483863e-44,9.203655522160702e-53,8.152728323214807e-54,1.4795539432933648e-53,3.4136562180226892e-19,3.780474864692788e-28,5.482833213040314e-44,9.615760113524735e-43,2.3960192003476104e-37,2.74317340257523e-38,1.9051423977457915e-36,2.9954868240130634e-64,3.5315094939363e-47,1.821607106364084e-39
2.871384630610773e-17,0.8763436060699008,3.76,0.0,0.9509368125265212,0.999999999999995,8.515601628731482e-34,2.3161305197362046e-43,7.970576845661178e-28,4.890263323882791e-12,1.456724473068749e-14,6.829636717204242e-19,1.4256362838026085e-23,9.551721605400228e-15,4.632948766863778e-24,3.3535364005989597e-38,8.731118374215374e-48,5.0155229488090505e-15,3.3019107018280986e-25,4.627058109298607e-27,1.9456831667070008e-24,1.4278139376395203e-20,1.6297641113079611e-24,1.6952203583273342e-26,1.7222588577590301e-37,5.81688839607269e-37,1.421885799701926e-27,1.0538006433849052e-48,6.47745648219056e-66,3.8597832298944778e-25,1.310535914388819e-66,4.6089136147973966e-52,3.271870121154404e-43,1.4727988887240174e-51,1.3046263064007189e-52,2.367528443155453e-52,6.827682873547119e-19,1.5123130277885744e-27,4.3866831134339834e-43,7.693338523250272e-42,1.9169973438242156e-36,2.1947474061527504e-37,1.5242586013531082e-35,9.586565514001062e-63,2.901802767604701e-46,1.4574240345213272e-38
5.742925052260047e-17,0.8763436060702775,3.76,0.0,0.9509368125240614,0.99999999999999,6.812804717257402e-33,1.85299248961076e-42,3.188360465095424e-27,9.780791975513613e-12,2.9135280199369486e-14,1.3663551852946472e-18,5.702777245323076e-23,1.9103961471509612e-14,1.853254917802112e-23,2.682956524150136e-37,1.3970500167013114e-46,1.003131802191832e-14,1.3208180231794553e-24,1.8508985703201626e-26,7.78304936151238e-24,2.855846008824562e-20,6.519321721920723e-24,6.781157360549653e-26,1.3778724953140904e-36,4.653731654161527e-36,5.6877744878647594e-27,1.6861668155530405e-47,2.0728962470463678e-64,1.543976113220702e-24,4.194037968830981e-65,7.374804964024585e-51,2.6182836416129885e-42,2.356649390640467e-50,2.0875543815391808e-51,3.788242353485613e-51,1.3655736160295314e-18,6.049498333611973e-27,3.5095131895355675e-42,6.154963016814107e-41,1.533670647309444e-35,1.755881774359808e-36,1.2194647170032698e-34,3.0678622029477607e-61,2.4435768436385394e-45,1.1659945439676375e-37
1.1486005895558595e-16,0.8763436060710308,3.76,0.0,0.9509368125191417,0.99999999999998,5.450373142950053e-32,1.4824293535416742e-41,1.2753701267368723e-26,1.956184927753818e-11,5.827135225128481e-14,2.7343106043248533e-18,2.2811573583803937e-22,3.820844125931967e-14,7.413170505231878e-23,2.1464162297731388e-36,2.2353369379637722e-45,2.006290816814151e-14,5.2833795672383844e-24,7.403745014942264e-26,3.1132830846600774e-23,5.712332159077972e-20,2.6077817471265928e-23,2.7125181305529134e-25,1.1023241599012346e-35,3.7230737170585406e-35,2.275155964820276e-26,2.6979355933093493e-46,6.633450162525305e-63,6.17603007601081e-24,1.342143851407376e-63,1.1800140357040953e-49,2.0956882095126025e-41,3.770775807234734e-49,3.340210317681281e-50,6.06135524696021e-50,2.731184263658906e-18,2.4198486187090446e-26,2.807677349226918e-41,4.924087311276215e-40,1.2269655874343427e-34,1.4047395543111898e-35,9.755948438954973e-34,9.817417035478798e-60,2.1501097994880819e-44,9.328177201012728e-37
2.2972167582155693e-16,0.8763436060725377,3.76,0.0,0.9509368125093024,0.9999999999999599,4.3603502626776065e-31,1.185957837978061e-40,5.101532347771527e-26,3.912396387663901e-11,1.1654350081332072e-13,5.47491100991104e-18,9.124722654069513e-22,7.641740105730492e-14,2.9652983765461415e-22,1.717153464470495e-35,3.57658478407308e-44,4.012608846060648e-14,2.1133733121592643e-23,2.9615282152002774e-25,1.2453259019803384e-22,1.142699249111189e-19,1.0431233122775625e-22,1.0850182895080563e-24,8.818697924143526e-35,2.978494357927487e-34,9.100715487765455e-26,4.316752084496485e-45,2.1227369694402655e-61,2.4704371379458447e-23,4.294943126448927e-62,1.8880643638858016e-48,1.678169128756927e-40,6.033350212884211e-48,5.344439857531553e-49,9.698334385467298e-49,5.462405520036601e-18,9.679493365411352e-26,2.2461687848624583e-40,3.939316633444465e-39,9.815840337922478e-34,1.123806248208914e-34,7.80484999847176e-33,3.1416147271767703e-58,2.0324182842076205e-43,7.462629426432435e-36
4.594449095534988e-16,0.8763436060755512,3.76,0.0,0.9509368124896237,0.9999999999999198,3.4883009095576786e-30,9.487723488228265e-40,2.0406232744913799e-25,7.824819305504746e-11,2.3308781577021354e-13,1.0974870091176404e-17,3.649907945195538e-21,1.5283532154273631e-13,1.186125391440153e-21,1.3737310858094939e-34,5.722572693078859e-43,8.025244904561077e-14,8.453536140703761e-23,1.1846173777299146e-24,4.981328944206917e-22,2.2863065281238447e-19,4.172514489345067e-22,4.3400952320805425e-24,7.055000179866046e-34,2.3828096822557725e-33,3.6403039515349897e-25,6.906848031239718e-44,6.79283509496004e-60,9.88179862862798e-23,1.3743950987421184e-60,3.0209547891499226e-47,1.3450931955819464e-39,9.653445857110316e-47,8.551201496981322e-48,1.551757022037141e-47,1.0924847877267808e-17,3.871817379703406e-25,1.7969460878905158e-39,3.1514720601207144e-38,7.852717499700947e-33,8.990523615503683e-34,6.243914841787993e-32,1.005323315198506e-56,2.125636462818143e-42,5.970137527201704e-35
9.188913770173828e-16,0.876343606081578,3.76,0.0,0.9509368124502664,0.9999999999998396,2.7906490073606364e-29,7.59020848593735e-39,8.16251350615141e-25,1.564966513326916e-10,4.661765170152815e-13,2.2049821333998233e-17,1.4599671463004393e-20,3.0567116607144425e-13,4.744513694664225e-21,1.098988389420327e-33,9.156147513052928e-42,1.6050517021591685e-13,3.381422971792006e-22,4.738482092472536e-24,1.9925366449033082e-21,4.576221936532914e-19,1.6690100544236465e-21,1.73604250715274e-23,5.644016851846488e-33,1.9062534915604143e-32,1.456124676428062e-24,1.1050994487091297e-42,2.1737349569354726e-58,3.952729356072783e-22,4.398085912163251e-59,4.833627608270938e-46,1.0801544637507927e-38,1.544557659630152e-45,1.3682048718667404e-46,2.4828628229815484e-46,2.184973196963377e-17,1.5487311628668508e-24,1.4375617707060627e-38,2.5211852126210324e-37,6.282190449446063e-32,7.192472681091081e-33,4.995143160831079e-31,3.217045161898847e-55,2.500020954662674e-41,4.776121887545411e-34
