Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189),CH3CO(33),C3H3(2030),C4H7(59),C4H7(2027),H2CC(23),C3H3(3173),C3H5(76),C4H7(77),C3H5(220),C2H3O(232),S(2376),C4H7(2028),C4H6(86)
0.0,0.19846613134991287,3.76,0.0,0.7166021761483263,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.206813044687405e-19,0.19846613134991287,3.76,0.0,0.7166021761483261,1.0,2.709412954590765e-41,3.3934632076118456e-54,3.065976064649635e-36,3.9683731819935536e-16,3.464776320760632e-18,1.4896754369087694e-23,6.989783196902057e-19,1.657293303024727e-29,2.7657980009553327e-18,5.179114195179853e-30,3.006978340177683e-31,8.406030441696854e-30,3.2305932146173576e-48,6.712885947857805e-32,1.2510467686803295e-57,2.2927610989127885e-30,1.870191784339799e-30,2.605319603780006e-46,3.075162176010907e-45,1.8006247368282103e-25,5.195982948715659e-60,2.558006388544344e-33,2.5564157281163665e-80,2.166395335338023e-81,3.816575716837897e-42,1.2126558899507023e-63,1.355138814336817e-52,2.401961544801687e-31,7.226885035375111e-64,3.3852018458330816e-65,1.9520529142628303e-56,2.2763411822272738e-55,1.4243362742524095e-76,3.405518337805691e-45,4.404882473302005e-78,8.634131545651689e-65,6.505142649751011e-48,9.837007182735116e-78,1.48208672243869e-82,1.1345546108770125e-83,1.489661673990113e-23,1.1613409768596617e-33,5.383010193410364e-50,1.5185831444726117e-48,8.084794201290904e-44,4.230657810467489e-79,5.493633092043817e-74,2.5083235295348243e-80,1.059865121868561e-80,2.8461436180178466e-90,3.8578228741202826e-46,6.090938733571731e-96,1.1070573219836917e-67,2.7844057978625704e-89,7.354569773615828e-67,1.4099276352757325e-79,1.2975746577515417e-77,8.971003096807776e-90,8.808899196155378e-89
6.179076525124733e-19,0.19846613134991292,3.76,0.0,0.7166021761483258,1.0,3.2166151733414074e-40,4.0287195199544097e-53,1.851849542838109e-35,1.1111444909577147e-15,9.701373698538e-18,4.1711358146678697e-23,1.9571392951662807e-18,1.0010051550622875e-28,7.744234402676552e-18,3.1281849739335844e-29,1.8162149174712676e-30,5.077242386689832e-29,3.835360264922464e-47,4.054583112506493e-31,2.7985415797177877e-56,1.3848277037366546e-29,1.1295958377470219e-29,3.093035433694292e-45,3.650833148518961e-44,5.041770819426912e-25,1.1623212314224708e-58,1.5450358556510762e-32,1.0673781873845573e-78,1.3117003921310836e-79,4.5310386814283413e-41,3.8126436061495684e-62,2.047887935394148e-51,1.4507847730056232e-30,1.616625288247497e-62,1.0643538053334804e-63,2.950927579820697e-55,3.4433097986397195e-54,5.877566633494628e-75,4.0430314810941675e-44,2.536988427098292e-76,2.714698605412432e-63,7.722905338337943e-47,5.665597485092852e-76,9.016256780955569e-81,4.6817718261866014e-82,4.171052686639185e-23,7.014499498979567e-33,6.3907097251545505e-49,1.8028619083424043e-47,9.598267663091631e-43,1.746093085666112e-77,3.315863413322519e-72,1.5259356091900734e-78,5.063102932900871e-79,3.0097998065981005e-88,4.580007316240034e-45,6.730656871459664e-94,3.480754738271815e-66,3.1342297451957513e-87,2.312393482310887e-65,5.818114656425255e-78,7.47333726269192e-76,9.716713516714645e-88,9.684895712720826e-87
1.4123603485999391e-18,0.19846613134991295,3.76,0.0,0.716602176148325,1.0,3.158091901231922e-39,3.9554207143565095e-52,8.915858392847079e-35,2.5397588364725125e-15,2.2174568455725656e-17,9.534234935479327e-23,4.473461246253247e-18,4.819408925726188e-28,1.7701107206125472e-17,1.5060864080257304e-28,8.744293013295908e-30,2.44447365230284e-28,3.7655794525628015e-46,1.9521072336376163e-30,5.5294465671511734e-55,6.667349275538339e-29,5.438517708946891e-29,3.036760530433942e-44,3.584409902112614e-43,1.1524149209855995e-24,2.296551442726875e-57,7.438682532441337e-32,4.244088463248157e-77,5.914305411332833e-78,4.448600625781259e-40,8.505729967110607e-61,2.2030291929466524e-50,6.984904171464337e-30,3.19417920272451e-61,2.3745109887092346e-62,3.176664593739864e-54,3.711502246476932e-53,2.3251074859467244e-73,3.969472516944581e-43,1.1376920995107824e-74,6.0563381638175e-62,7.582394224665757e-46,2.5406901360824202e-74,4.070369286435216e-79,1.852062775425025e-80,9.533834709804804e-23,3.377179558828132e-32,6.274436754405227e-48,1.770060510793013e-46,9.423636081712338e-42,6.907892188384142e-76,1.493855405890944e-70,6.888802751277739e-77,2.6363472450239227e-77,2.8177087037068025e-86,4.496678342336343e-44,6.08939223599816e-92,7.76536719820237e-65,2.850499009567075e-85,5.1588222047903055e-64,2.3015898648022728e-76,3.35135512291996e-74,8.988663360591226e-86,8.898439543116503e-85
3.0012657407748708e-18,0.198466131349913,3.76,0.0,0.7166021761483236,1.0,2.7932965421140635e-38,3.498524827558466e-51,3.893789598845838e-34,5.396987527494422e-15,4.712095797663265e-17,2.0261146638275272e-22,9.506105148966453e-18,2.1047624953893588e-27,3.761485281304926e-17,6.577475028575179e-28,3.8188624920868367e-29,1.0675658659481403e-27,3.330612383884263e-45,8.52536515378527e-30,9.839354729830948e-54,2.911806595515853e-28,2.3751435662011927e-28,2.6859802992751906e-43,3.170370070981631e-42,2.448925089164089e-24,4.0865910453045e-56,3.248668066490848e-31,1.5183045164756159e-75,2.2320541374919584e-76,3.9347368385247106e-39,1.5930240102111555e-59,2.0249722223576174e-49,3.050491161051859e-29,5.683871433563961e-60,4.447193433024805e-61,2.9239382172406214e-53,3.425041520600495e-52,8.298144375541187e-72,3.510953904579903e-42,4.2802822862459775e-73,1.1342847336879699e-60,6.706541765630851e-45,9.558708999671433e-73,1.536893986452849e-77,6.60988335333392e-79,2.0259398747605935e-22,1.4749030386690758e-31,5.549668342226202e-47,1.565598473576256e-45,8.335099347205498e-41,2.4654649138192993e-74,5.635995475123621e-69,2.6010808428105e-75,1.0520970164086348e-75,2.167550320832606e-84,3.977261070852701e-43,4.60854384643928e-90,1.4543669524666602e-63,2.165001646355371e-83,9.66190271837869e-63,8.214213343182972e-75,1.260863118438527e-72,6.880272877599024e-84,6.790553470723706e-83
6.179076525124734e-18,0.19846613134991314,3.76,0.0,0.7166021761483207,1.0,2.347934060142187e-37,2.940720918525293e-50,1.625580506543958e-33,1.11114449095075e-14,9.701373704457338e-17,4.171782388855927e-22,1.9571392956549944e-17,8.786969097568695e-27,7.744234402700061e-17,2.7459663469114463e-27,1.594299916017269e-28,4.45687733886143e-27,2.7995803963379835e-44,3.5591721295594806e-29,1.6595509904819885e-52,1.2156219345505103e-27,9.915756841376444e-28,2.2577282845415504e-42,2.6648871126192524e-41,5.04208338589175e-24,6.892633484836183e-55,1.3562549449417893e-30,5.135999666767978e-74,7.742350795061781e-75,3.3073833375956255e-38,2.7515486002635916e-58,1.732421511757132e-48,1.2735200102921929e-28,9.586680642225017e-59,7.681418257609313e-60,2.5084001554827473e-52,2.953359543238421e-51,2.8037555641816867e-70,2.951169007784735e-41,1.4821260009757414e-71,1.959194491589306e-59,5.637252355553698e-44,3.309877076442972e-71,5.3321991427001274e-76,2.2333321281106157e-77,4.171052678908777e-22,6.157429841824509e-31,4.664830783444571e-46,1.3159798465086693e-44,7.006153148347525e-40,8.3303934954282e-73,1.954681751324854e-67,9.024357761928507e-74,3.73931784889092e-74,1.517522945030601e-82,3.343127578543882e-42,3.201667469658865e-88,2.5120569184576263e-62,1.5069067466592352e-81,1.6688533928719388e-61,2.7753974658324455e-73,4.36596791741923e-71,4.806395866748713e-82,4.737056507441441e-81
1.253469809382446e-17,0.1984661313499133,3.76,0.0,0.7166021761483149,0.9999999999999999,1.924978201678841e-36,2.4109806782862245e-49,6.641026770238604e-33,2.2540359673410682e-14,1.967992952849618e-16,8.464259376789557e-22,3.9701968580345275e-17,3.5897635902590937e-26,1.570973264553184e-16,1.1218168516636721e-26,6.513235364424657e-28,1.8207798166704208e-26,2.2952651577414732e-43,1.4540379478542562e-28,2.7258174860532187e-51,4.9662122499012306e-27,4.0509102132344984e-27,1.8510220547615615e-41,2.184835471712458e-40,1.0228951820829712e-23,1.1321171521897398e-53,5.540743800003833e-30,1.689582213814038e-72,2.578258930422578e-73,2.711592584033639e-37,4.571735605895568e-57,1.4324246514689934e-47,5.202744778053484e-28,1.5746154032984063e-57,1.2762788976480073e-58,2.0854210947950278e-51,2.480205725432871e-50,9.218134933070117e-69,2.41954780287628e-40,4.931127364361646e-70,3.255230705460825e-58,4.62175990895357e-43,1.101216895493388e-69,1.7758449058743837e-74,7.342720129650139e-76,8.461278273556973e-22,2.5155109947122995e-30,3.8245103581492816e-45,1.0789197782580827e-43,5.744067513127427e-39,2.738874964147182e-71,6.508783447718857e-66,3.00548791318894e-72,1.259505417412403e-72,1.0152201605621715e-80,2.740897973028692e-41,2.133897802065277e-86,4.1738198807329035e-61,1.0052958844426982e-79,2.7728248509418374e-60,9.124900339740978e-72,1.452584887161946e-69,3.212156420498385e-80,3.1636731278581605e-79
2.524594123122391e-17,0.1984661313499137,3.76,0.0,0.7166021761483032,0.9999999999999998,1.5588972571556667e-35,1.9524746595873854e-48,2.684409191022992e-32,4.5398189200725177e-14,3.9637041218376646e-16,1.7053779504164038e-21,7.996311986244926e-17,1.4510398403113086e-25,3.164072913136144e-16,4.5345630797286994e-26,2.6327538721693686e-27,7.359883131930164e-26,1.858765242091651e-42,5.877453865911729e-28,4.418667611152403e-50,2.007422393982842e-26,1.637442676957063e-26,1.4990056523862046e-40,1.7693364080678498e-39,2.060489605663551e-23,1.835210722589643e-52,2.2396570831260064e-29,5.481703502478999e-71,8.415440492643919e-72,2.195917815671319e-36,7.453079795669392e-56,1.1648646694081572e-46,2.1030326213233895e-27,2.5525201663442657e-56,2.080656426443828e-57,1.7144155442702326e-50,2.0791720968821133e-49,2.9898798874095106e-67,1.959414401467364e-39,1.6087834076593582e-68,5.306847463502747e-57,3.7428207414127787e-42,3.59272588160975e-68,5.79665330439547e-73,2.3816019226207835e-74,1.704172940826068e-21,1.0168097574291833e-29,3.097188041456671e-44,8.737371962578323e-43,4.651694583610848e-38,8.883515298005085e-70,2.124396154404012e-64,9.810413098539706e-71,4.133824086089618e-71,6.64202354980278e-79,2.2196502425590303e-40,1.3935169836851864e-84,6.804379614610629e-60,6.568063883426319e-78,4.5204043189551425e-59,2.9596396626245545e-70,4.739065542097859e-68,2.1004843290291139e-78,2.0680923318644014e-77
5.066842750602281e-17,0.19846613134991453,3.76,0.0,0.71660217614828,0.9999999999999994,1.254736133667657e-34,1.5715214633323725e-47,1.0793891208940804e-31,9.111384825338666e-14,7.955126476534871e-16,3.42510843649411e-21,1.604854225647106e-16,5.834567392889213e-25,6.350272210368478e-16,1.823327872412269e-25,1.0586187528839577e-26,2.959376633629208e-25,1.496095989576254e-41,2.3632983495169186e-27,7.11612797688108e-49,8.07175715391e-26,6.584084988997434e-26,1.2065301619233634e-39,1.4241158576644656e-38,4.136561399196119e-23,2.95555033922791e-51,9.005561423610786e-29,1.7662609022075354e-69,2.7196569574029995e-70,1.767465438340121e-35,1.2036740647824496e-54,9.395712602106673e-46,8.456201653909574e-27,4.110757430648303e-55,3.3602651211299705e-56,1.4127186893252333e-49,1.7774391300975834e-48,9.632295600222643e-66,1.5771101691899733e-38,5.1979848034259406e-67,8.570572809900417e-56,3.0125473320696133e-41,1.1608102860846568e-66,1.8733780274026523e-71,7.672700988457203e-73,3.4202631459297366e-21,4.088547263892856e-29,2.492887022991579e-43,7.032596879429648e-42,3.7440881454407365e-37,2.8619501678354243e-68,6.865394890392806e-63,3.1705559765101496e-69,1.3395910514640587e-69,4.29778697818546e-77,1.7865676227068087e-39,9.00863598876295e-83,1.0989091095698596e-58,4.2470403297713906e-76,7.300465053132783e-58,9.534873578356239e-69,1.531192673895746e-66,1.3588039182046138e-76,1.3376290027076543e-75
1.0151340005562061e-16,0.19846613134991625,3.76,0.0,0.7166021761482335,0.9999999999999988,1.0068467263279702e-33,1.2610469966831606e-46,4.328833076348463e-31,1.8254516635083963e-13,1.5937971252813728e-15,6.871875251060134e-21,3.2153002852144675e-16,2.339922493221178e-24,1.27226708050988e-15,7.312360286023876e-25,4.24553467913232e-26,1.1868423884100692e-24,1.2005228329792136e-40,9.477883392704675e-27,1.1422961416575932e-47,3.2371356347542524e-25,2.640512562830017e-25,9.681644740810631e-39,1.1427632650561505e-37,8.292236771742547e-23,4.74431295408119e-50,3.611631948776292e-28,5.671520802186448e-68,8.745901076860571e-69,1.4182792855226443e-34,1.9348704488846912e-53,7.548202869349165e-45,3.391315058677815e-26,6.598683752826306e-54,5.401526530865528e-55,1.1829364437583357e-48,1.5892087932491773e-47,3.092727612159782e-64,1.2655363923440544e-37,1.671382164826868e-65,1.37769458292535e-54,2.4173788384770433e-40,3.7325144115176625e-65,6.024501981736866e-70,2.463577508328231e-71,6.852443468788785e-21,1.6396902776129926e-28,2.0003858632522344e-42,5.64321576086036e-41,3.004394390634001e-36,9.18913970898489e-67,2.207762265685739e-61,1.0196032768816344e-67,4.313701611044518e-68,2.7656878643614996e-75,1.4336080067961192e-38,5.794544023325768e-81,1.766464289772838e-57,2.7321067146471857e-74,1.1735284401957252e-56,3.061447960242558e-67,4.923455494678107e-65,8.743029597283018e-75,8.60607615726431e-74
