Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16),CO(14),C2H5O(43),CH2CHO(34),C2H(21),CH3O(26),HCCO(20),C3H6(255),C3H6(60),C3H6(51),C3H5(214)
4.266494581687722e-17,0.7327072085832326,3.76,0.0,0.8163006177300568,0.9999999999999996,3.4540040346554357e-35,7.972220579703138e-49,7.174415413416582e-31,2.6447745848110816e-13,8.725812477410488e-16,5.833180899353945e-24,4.2050626358521575e-25,3.2526096493168914e-16,1.2701380370123067e-25,6.599348538166034e-42,7.950408935819337e-52,5.473202775528086e-16,5.299460692327988e-26,8.644164595973848e-28,7.379373015500412e-26,1.1613965128693878e-22,6.430297562491955e-26,8.859415266203493e-28,7.64510695105764e-40,1.2809161586483193e-39,4.140321356309336e-29,3.163038488451271e-52,4.689870879757934e-72,1.0165430534822734e-26,4.960049889293062e-81,1.448635206724513e-62,2.760386479452334e-50,9.270533731054954e-56,7.088264379649467e-64
8.536695935383861e-17,0.73270720858325,3.76,0.0,0.8163006177299236,0.999999999999999,2.7653034097144138e-34,6.382630210077142e-48,2.8716358612044806e-30,5.29184697539698e-13,1.7459206136496865e-15,2.334792530510589e-23,1.6831209344574087e-24,6.508045203159093e-16,5.083862227059687e-25,5.283491632469874e-41,1.273101318991279e-50,1.095116072293873e-15,2.121165353989439e-25,3.459918582981705e-27,2.9536723257057737e-25,2.3241963485917827e-22,2.5737948096368304e-25,3.546074936724048e-27,6.120734112328848e-39,1.0255117863582839e-38,1.6572075147807293e-28,5.064982851839787e-51,1.502024107942948e-70,4.068821393996129e-26,3.1800103284513423e-79,4.641229540236495e-61,4.421758253909951e-49,1.4850114908617932e-54,2.2710099346821104e-62
1.707709864277614e-16,0.7327072085832849,3.76,0.0,0.8163006177296571,0.9999999999999979,2.213083159163906e-33,5.108054055355936e-47,1.1490283837485137e-29,1.0585991756208945e-12,3.492599378747664e-15,9.342211329782329e-23,6.73467617772977e-24,1.3018916327686559e-15,2.034207097551213e-24,4.228399251817952e-40,2.0377912999751558e-49,2.1907076617919848e-15,8.487424343723635e-25,1.3844181166884118e-26,1.1818536634361359e-24,4.650979404510877e-22,1.0298531767395382e-24,1.4188918723329477e-26,4.89844750457353e-38,8.207211092427296e-38,6.630988458776202e-28,8.107271498601356e-50,4.80851549867698e-69,1.6280585400571694e-25,2.0369960041622463e-77,1.4860894968714056e-59,7.078927866885989e-48,2.377399955412092e-53,7.271660015177015e-61
3.4157904057560695e-16,0.7327072085833548,3.76,0.0,0.8163006177291242,0.9999999999999957,1.7708027707190364e-32,4.087235460430802e-46,4.5968616683258884e-29,2.1174281316393546e-12,6.98595704206643e-15,3.737492859889065e-22,2.694309065563681e-23,2.6040658644113738e-15,8.138153010373543e-24,3.38336213899517e-39,3.261129804048948e-48,4.381890840852145e-15,3.395522390924876e-24,5.538574011544321e-26,4.728184226767542e-24,9.30927905423549e-22,4.120083311760592e-24,5.676491416175941e-26,3.919502246958635e-37,6.567015911543059e-37,2.6528269970424824e-27,1.297427508222715e-48,1.5390592405955283e-67,6.513294239708389e-25,1.304253578689018e-75,4.756919990157292e-58,1.1329577572599615e-46,3.8049448739064126e-52,2.327640299627823e-59
6.83195148871298e-16,0.732707208583494,3.76,0.0,0.8163006177280584,0.9999999999999913,1.4167767266761305e-31,3.27012464060901e-45,1.8388942632359527e-28,4.2350860431005415e-12,1.39726729011952e-14,1.495118818040021e-21,1.0778113865890345e-22,5.2084143546457105e-15,3.2555261614855756e-23,2.706947188759736e-38,5.218339394386318e-47,8.764257199228208e-15,1.3583194862591076e-23,2.215609965933322e-25,1.891427613953266e-23,1.8644812505144105e-21,1.648167458028833e-23,2.2707813649651104e-25,3.1358995241192695e-36,5.254111678419496e-36,1.0612170253534885e-26,2.0760955751702582e-47,4.925576060393233e-66,2.6055296977291037e-24,8.34910854949422e-74,1.5224434439746764e-56,1.812995950744734e-45,6.088793745770894e-51,7.449585788116588e-58
1.3664273654626804e-15,0.7327072085837731,3.76,0.0,0.8163006177259268,0.9999999999999826,1.1334751856577655e-30,2.616265192247085e-44,7.355875924069405e-28,8.470401863719986e-12,2.7946106749417656e-14,5.980718627588877e-21,4.31142135511273e-22,1.0417111442910012e-14,1.3022634694965196e-22,2.1656613156732643e-37,8.349770543744954e-46,1.7528989917003298e-14,5.433498943327596e-23,8.862800915342182e-25,7.566018294708127e-23,3.739161601210828e-21,6.59293813081523e-23,9.083495069737047e-25,2.508838712161921e-35,4.2034890624375514e-35,4.245039742077149e-26,3.3219230794080924e-46,1.576311189256894e-64,1.0422542576506335e-23,5.344086144155687e-72,4.872183163928723e-55,2.9010045525822286e-44,9.742768717746687e-50,2.3840506883910493e-56
2.732891798645445e-15,0.7327072085843308,3.76,0.0,0.8163006177216635,0.999999999999965,9.068016666720324e-30,2.0931278897693456e-43,2.9424098798445037e-27,1.694103349574715e-11,5.589298296572211e-14,2.3923361218639788e-20,1.724603929847563e-21,2.0834506050621335e-14,5.209159982064284e-22,1.7325713885419406e-36,1.3359981674561187e-44,3.505845535664535e-14,2.173443722289183e-22,3.545192830652587e-24,3.026468871911258e-22,7.518816944110008e-21,2.6372289310204217e-22,3.633471950967844e-24,2.007118601563799e-34,3.362871346954886e-34,1.6980495707312937e-25,5.315215935361949e-45,5.044610008087242e-63,4.169101602669274e-23,3.420493366487578e-70,1.5591553645948976e-53,4.641776701193771e-43,1.5588966898559248e-48,7.629263887805947e-55
5.465820665010975e-15,0.7327072085854468,3.76,0.0,0.816300617713137,0.99999999999993,7.254499340618113e-29,1.6746278748149086e-42,1.176975642028536e-26,3.3882296722954606e-11,1.1178676947776749e-13,9.569441820988784e-20,6.898488299031914e-21,4.166929699077633e-14,2.0836852877396273e-21,1.386075499917507e-35,2.1376271435365354e-43,7.011738625229694e-14,8.693862735961985e-22,1.418091827620438e-23,1.2105998478019967e-21,1.519930619151419e-20,1.0549023226418876e-21,1.4534035649587042e-23,1.60571392370396e-33,2.690329447980237e-33,6.792260392574999e-25,8.504465910640101e-44,1.6144766680701168e-61,1.667657406383091e-22,2.1892919434601884e-68,4.989378286670641e-52,7.426980130465501e-42,2.4942706039175915e-47,2.4414181508752857e-53
1.0931678397742032e-14,0.7327072085876781,3.76,0.0,0.816300617696084,0.9999999999998598,5.803633769235709e-28,1.339879354328346e-41,4.70792425193003e-26,6.776482302998194e-11,2.2357447881959179e-13,3.8277961879963665e-19,2.759411278333108e-20,8.333888577002782e-14,8.334784332252794e-21,1.1088700827542984e-34,3.420234436936064e-42,1.4023524810907014e-13,3.477562308706061e-21,5.672398319950738e-23,4.84242389437088e-21,3.104499889738954e-20,4.219630906325134e-21,5.813643827712449e-23,1.284578739138914e-32,2.152277036536973e-32,2.7169123880273545e-24,1.3607271247304975e-42,5.167512920435718e-60,6.670661962322851e-22,1.401314779742865e-66,1.5966078324275806e-50,1.1883284127553466e-40,3.990839105344983e-46,7.812658805603747e-52
2.186339386320415e-14,0.7327072085921412,3.76,0.0,0.8163006176619779,0.9999999999997196,4.642920563914601e-27,1.072177231608404e-40,1.883172680370243e-25,1.3552987505448645e-10,4.4715044277407473e-13,1.5311223613734865e-18,1.103768857266999e-19,1.6667809092439355e-13,3.3339228422026214e-20,8.87103662775192e-34,5.472422134218241e-41,2.804709720844974e-13,1.391028082259869e-20,2.268966824782608e-22,1.936974382374641e-20,6.467524087055892e-20,1.687856777846726e-20,2.32546344355599e-22,1.0276660044216317e-31,1.7218278683494927e-31,1.0867632486512427e-23,2.1771828895084982e-41,1.6543479050133274e-58,2.6682702971100592e-21,8.970379904797829e-65,5.109116242456215e-49,1.901336651032141e-39,6.385275221513008e-45,2.5000923996043483e-50
