Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49)
0.0,0.09629007210096503,3.76,0.0,0.6580756437506821,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.540919820908055e-18,0.09629007210096502,3.76,0.0,0.6580756437506818,1.0,1.1997031853258833e-38,7.505491748786628e-57,1.0543361427797017e-36,2.9966188875272554e-16,1.0297680117638275e-17,1.5708715738979048e-27,4.750244791415136e-19,4.154770872088716e-28,9.82265563766374e-18,7.936817963372714e-29,7.859928823640619e-29,6.296672242448136e-28,1.5396764609686628e-46,3.363502134203797e-30,2.393983304755975e-57,3.446550071390109e-29,2.8130237278878893e-29,2.458320403097237e-44,3.423643021716264e-45,5.024104082563765e-26,9.324651158897291e-57,9.303460496331938e-32,3.560036440444652e-80,1.8092035279280214e-79,7.457437567105665e-39,4.0570513468544615e-70,4.679778810040969e-56,2.2983093084840188e-30,9.831235220950875e-61,6.880166805166103e-64,4.0678745427026055e-57,1.7997407929161926e-55
1.2714575498542555e-17,0.09629007210096503,3.76,0.0,0.6580756437506816,1.0,1.4242876330497342e-37,8.910524784781003e-56,6.368190276201242e-36,8.39053288500403e-16,2.8833504333143727e-17,9.48806430627514e-27,1.330068542490817e-18,2.5094816070618838e-27,2.7503435785621443e-17,4.793838052567547e-28,4.747397008271978e-28,3.803190033445621e-27,1.8279038953278436e-45,2.0315552890681102e-29,5.355244895830323e-56,2.0817162427935352e-28,1.6990663317798465e-28,2.9185179821418475e-43,4.064554488367946e-44,1.4070318841454213e-25,2.0858873284362062e-55,5.619289644190102e-31,1.4690595350628027e-78,7.465729848135547e-78,8.853469118744088e-38,2.373046756267349e-68,1.4713973350456294e-54,1.3881788213998728e-29,2.1992082433864133e-59,2.163234348661528e-62,1.2790048422310618e-55,5.658673009046814e-54
2.9061886853811557e-17,0.09629007210096505,3.76,0.0,0.6580756437506811,1.0,1.3983740487043962e-36,8.748416062297352e-55,3.0660094639211383e-35,1.917836087966844e-15,6.590515277918083e-17,4.5680945367928015e-26,3.0401566727677388e-18,1.2082073700838479e-26,6.286499608218875e-17,2.3080266677844265e-27,2.285667300104258e-27,1.8310722866143396e-26,1.7946468854754345e-44,9.781064206399857e-29,1.0581061488056096e-54,1.0022567602711038e-27,8.180273002731397e-28,2.865418260561004e-42,3.990606122077315e-43,3.2174058000341795e-25,4.1213620061014686e-54,2.7054455689418764e-30,5.81145766563955e-77,2.953369211226834e-76,8.692386869355119e-37,1.0662275773774542e-66,3.2826065164806153e-53,6.683483455204013e-29,4.345265968836002e-58,4.8260559509600636e-61,2.853389445066416e-54,1.2624188187815885e-52
6.175650956434955e-17,0.09629007210096506,3.76,0.0,0.65807564375068,0.9999999999999999,1.2368460112517465e-35,7.737892567797443e-54,1.3390068607385795e-34,4.0754016867840685e-15,1.4004844973135999e-16,1.9950068987446232e-25,6.460332947634844e-18,5.276559012517317e-26,1.3358811667793112e-16,1.0079758855184975e-26,9.982109587315779e-27,7.996773732516823e-26,1.5873448495059172e-43,4.271647710578529e-28,1.882843360887794e-53,4.3771185856109765e-27,3.572540136518816e-27,2.534430000068294e-41,3.5296469128639084e-42,6.842677488257576e-25,7.333743617806861e-53,1.1815387148632623e-29,2.0740709798309424e-75,1.0540370143178575e-74,7.688314880572148e-36,4.015596540176686e-65,6.147958725235748e-52,2.918852807444755e-28,7.732172479398746e-57,9.03866537173756e-60,5.344082639911824e-53,2.3643707283951713e-51
1.2714575498542553e-16,0.09629007210096512,3.76,0.0,0.6580756437506776,0.9999999999999998,1.039643597527537e-34,6.50419457272527e-53,5.590089863693215e-34,8.390532883955888e-15,2.8833504387613785e-16,8.328761083855244e-25,1.3300685554622092e-17,2.202859520849621e-25,2.7503435787984654e-16,4.2081009217116765e-26,4.1673342454572305e-26,3.3384956090929203e-25,1.3342589958051573e-42,1.7833288316805807e-27,3.1756905420419538e-52,1.8273608433020126e-26,1.4914651824172364e-26,2.130341123281713e-40,2.9668813460485633e-41,1.4111316290513519e-24,1.2369430678144187e-51,4.9326878416220505e-29,7.00783746738679e-74,3.561356367299263e-73,6.462487089393015e-35,1.391262801522075e-63,1.0619069853310076e-50,1.2185635824611931e-27,1.3041452052630989e-55,1.5612035218539444e-58,9.230573781063386e-52,4.0838624399847694e-50
2.579242458275775e-16,0.09629007210096517,3.76,0.0,0.658075643750673,0.9999999999999994,8.523626320690736e-34,5.332580250726359e-52,2.2837339493982642e-33,1.702079527644901e-14,5.849082331273721e-16,3.402570663120257e-24,2.6981390997608756e-17,8.999399937609675e-25,5.579268403254006e-16,1.7191465499150227e-25,1.7024920086605046e-25,1.3638843826742936e-24,1.0939061456444586e-41,7.285480163835257e-27,5.216081289840486e-51,7.465365278118741e-26,6.0931219315654e-26,1.746582358328015e-39,2.432428828298473e-40,2.872097559846705e-24,2.0316827269998151e-50,2.0151609038977191e-28,2.3040370439323966e-72,1.1708983705004875e-71,5.298329452886663e-34,4.630169624738661e-62,1.76437435318629e-49,4.978229785353511e-27,2.1420666891770548e-54,2.593959194964549e-57,1.5336736392514998e-50,6.785398470714831e-49
5.194812275118815e-16,0.09629007210096534,3.76,0.0,0.6580756437506637,0.9999999999999989,6.902653551304052e-33,4.318540412890507e-51,9.231216467075106e-33,3.4281320054033207e-14,1.1780546154765543e-15,1.3753734641205245e-23,5.4342802799630745e-17,3.637701358634279e-24,1.123711805383401e-15,6.9490653555835385e-25,6.8817448444191655e-25,5.513038692050969e-24,8.858735716990022e-41,2.9449075674734597e-26,8.455492671959694e-50,3.0176199902236877e-25,2.462937312075211e-25,1.4144276699700477e-38,1.9698441502667165e-39,5.82298210297811e-24,3.2934453100457745e-49,8.14557808143408e-28,7.473175894058662e-71,3.7977958141042304e-70,4.2907117476781936e-33,1.51081563110712e-60,2.876375549358509e-48,2.012280028602567e-26,3.4723962660834645e-53,4.228795758476569e-56,2.5002751113409004e-49,1.106191188174964e-47
1.0425951908804896e-15,0.09629007210096564,3.76,0.0,0.6580756437506453,0.9999999999999978,5.555856040506596e-32,3.4760636678573003e-50,3.711830500384307e-32,6.880236957959336e-14,2.364347395561773e-15,5.530316205395795e-23,1.0906563006786932e-16,1.4627037298430838e-23,2.2552817361669713e-15,2.794188723292322e-24,2.7671192869656847e-24,2.216768571386828e-23,7.13028141532775e-40,1.1841343810651822e-25,1.3617310682251066e-48,1.2133717131357244e-24,9.903362661805045e-25,1.1384544299342114e-37,1.5855022263796477e-38,1.184056191671604e-23,5.303992313776445e-48,3.275281427439153e-27,2.407639198364944e-69,1.2235201855501249e-68,3.4535174740739e-32,4.881789376118762e-59,4.645354352288646e-47,8.09128912433361e-26,5.592231764771324e-52,6.829476358856026e-55,4.037950983780122e-48,1.7865016682416396e-46
2.0888231176177057e-15,0.09629007210096625,3.76,0.0,0.6580756437506085,0.9999999999999956,4.458224488241962e-31,2.78952541777833e-49,1.488609211625978e-31,1.378444685122808e-13,4.7369330172796326e-15,2.217904145627595e-22,2.1851129926112464e-16,5.866096268994156e-23,4.518421600404391e-15,1.1205947369384848e-23,1.1097385580384569e-23,8.890233128717705e-23,5.7216021357502205e-39,4.748908487990251e-25,2.1858800716214605e-47,4.866163159499265e-24,3.971691409312377e-24,9.135379645572225e-37,1.2722661083718901e-37,2.4338964464590958e-23,8.514082864821938e-47,1.313518547189265e-26,7.730784385764291e-68,3.9285288510390025e-67,2.771197179683244e-31,1.5697543744935806e-57,7.467271952895744e-46,3.2449685359315274e-25,8.976913745135172e-51,1.0978054909945555e-53,6.490888274793119e-47,2.87174907665165e-45
