Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189),CH3CO(33),C3H3(2030),C4H7(59)
3.2182312781001e-13,0.050579708325755326,3.76,0.0,0.6872234469158914,0.9999999999999225,2.73363106243019e-26,3.323791096703556e-44,3.7156049019117214e-31,3.166392393211448e-13,7.791969660067588e-14,5.146719118726433e-20,3.8943986379988544e-16,5.3658983128892506e-20,7.753040456061293e-14,3.2390672677315577e-21,9.79918408275395e-20,1.2497101192545512e-19,6.652658198192135e-35,7.529998520487908e-22,1.7411078353546747e-41,1.325654887146459e-21,1.1152680305290573e-21,8.099381668885498e-33,4.653438313064042e-30,2.891882808734481e-22,2.5482752468553122e-40,1.3538948605629607e-23,2.171281631105224e-61,1.9462615148696756e-58,9.378855815096749e-26,1.6673835616349484e-45,2.0795291591734583e-39,4.9995987899050613e-23,1.986442197273532e-44,9.930669923074946e-48,2.2408487141555122e-41,1.4881245392312525e-39,2.8502797378850495e-52,5.679865231601401e-30,7.976062645367327e-58,3.9855739708550113e-47,4.278161261646174e-35,4.5212123479718814e-55,3.0373980063935197e-68,1.0680711527854473e-60,2.161439472722476e-21,6.243104160203406e-25,2.6617219211401923e-34,1.027976241042503e-32,1.286498799863915e-28,4.243607467712989e-56,2.8303215426702097e-50,1.4837222292590492e-66,1.729733825361114e-58
6.439258586850156e-13,0.0505797083257568,3.76,0.0,0.687223446915655,0.9999999999998449,2.1885475696586416e-25,2.6597340408144687e-43,1.4866890120313806e-30,6.335532267106113e-13,1.5590689368956405e-13,2.0167435983241352e-19,7.792666690331165e-16,2.1477601583795122e-19,1.5512821869722435e-13,1.2965403328790626e-20,3.9222021659581045e-19,5.002071412221094e-19,5.326110755868493e-34,3.0139626117612317e-21,2.7880101820264657e-40,5.306023879454046e-21,4.46399644057875e-21,6.484363269615334e-32,3.7235425817553577e-29,1.127224197816153e-21,4.080513423732191e-39,5.380300066546268e-23,6.981660591997893e-60,6.3327727882442e-57,7.4574866544999635e-25,2.6573663141047656e-44,1.7982175927711363e-38,2.001107086637664e-22,3.204421937785512e-43,1.5795753568263881e-46,3.5283937963552756e-40,2.377974341760145e-38,9.105214032778277e-51,4.756884570530399e-29,2.555620953372757e-56,6.3827408288722345e-46,3.407001367473865e-34,1.4481708156609787e-53,1.9430880494574115e-66,4.601038960755987e-59,4.322953534959308e-21,2.4974042704263343e-24,2.2181418014496144e-33,8.21600720092829e-32,1.0272976800556403e-27,1.399844732423166e-54,9.062148127240684e-49,9.505095726836926e-65,5.618817537800194e-57
1e-12,0.050579708325759754,3.76,0.0,0.6872234469153936,0.9999999999997591,1.0659841701289086e-24,1.2943412870202884e-42,3.9506857908564664e-30,9.838907975037238e-13,2.421188886990643e-13,5.314509088772401e-19,1.2102881879639056e-15,5.710736256861241e-19,2.4091017371747234e-13,3.447705372670766e-20,1.0428715805966588e-18,1.3300000187989158e-18,2.5941969281839995e-33,8.013893381366013e-21,2.591291226882617e-39,1.4108077415600822e-20,1.1869493547027064e-20,3.158354986248514e-31,1.8118688242973622e-28,2.9638241020546377e-21,3.79259335440348e-38,1.4137565591004457e-22,1.2764318247225759e-58,1.1832739036796826e-55,3.587896407062143e-24,2.4466771152887467e-43,9.935794270203846e-38,5.320630062266455e-22,3.020011745983955e-42,1.4490044916674152e-45,3.253014072596339e-39,2.2080186300084712e-37,1.6436817737068147e-49,2.500961090630586e-28,4.638010052871825e-55,5.930650568765086e-45,1.643693113542709e-33,2.6264918735477766e-52,6.941963386054109e-65,1.2405778949132229e-57,6.70945012944696e-21,6.633932324946799e-24,1.1571016478795719e-32,3.989482752083761e-31,4.980183847216873e-27,2.6822987565388333e-53,1.6425903267848793e-47,3.405303117667373e-63,1.0462846411403536e-55
1.288131320435027e-12,0.050579708325759754,3.76,0.0,0.6872234469151821,0.9999999999996897,1.7514720729926536e-24,2.1264853874311892e-42,5.944525171634463e-30,1.2673801474964953e-12,3.118806969216147e-13,7.98302503811617e-19,1.5590661108054848e-15,8.593857744264737e-19,3.103239982603162e-13,5.188404714386113e-20,1.5693715841073786e-18,2.001459385718477e-18,4.262409766401663e-33,1.205978295203145e-20,4.462533139758899e-39,2.1230603355124986e-20,1.786194122064568e-20,5.189353852984914e-31,2.9767083467361188e-28,4.4499807591059075e-21,6.531327920729213e-38,2.1223849558843074e-22,2.2528117296678407e-58,2.0895221621376415e-55,5.887731431975467e-24,4.211470422349397e-43,1.6520632766341215e-37,8.006751931858347e-22,5.2044740515324667e-42,2.493705639573719e-45,5.5998038751050396e-39,3.802300182181365e-37,2.900052777677909e-49,4.139789667169699e-28,8.18423925131623e-55,1.0213184030711555e-44,2.698060851495051e-33,4.634636110204007e-52,1.2402092046658974e-64,2.207208921197221e-57,8.640577204398318e-21,9.981165813916132e-24,1.9139260891869177e-32,6.552898420205833e-31,8.178816319283973e-27,4.739511809702008e-53,2.8984266284048957e-47,6.083923144458203e-63,1.847459927232814e-55
2.5765422439350495e-12,0.05057970832576566,3.76,0.0,0.6872234469142363,0.9999999999993793,1.4013939459346175e-23,1.6981419841701182e-41,2.374869231495018e-29,2.5350297732095864e-12,6.238259397289668e-13,3.176410078094732e-18,3.11924825746424e-15,3.4381183161388295e-18,6.207161625874077e-13,2.0761434174903562e-19,6.278346847419244e-18,8.006974959505803e-18,3.4104190965371055e-32,4.8247037773827445e-20,7.141189140554612e-38,8.493300814502776e-20,7.146049241211833e-20,4.1520979306200885e-30,2.3766187661969877e-27,1.768349862053121e-20,1.0451770585421713e-36,8.256886186221093e-22,7.324043776784818e-57,7.073831318869778e-54,4.587078609860118e-23,6.604185624293445e-42,1.6624888046758563e-36,3.2029957443260908e-21,8.569883785800173e-41,3.8814604218275016e-44,8.923205980553408e-38,6.08160109565593e-36,9.188539234728178e-48,3.8370441835256224e-27,2.619467565199166e-53,1.6322086456199929e-43,2.1144938604245547e-32,1.4814173103993311e-50,7.883078493307846e-63,1.1504075626091121e-55,1.7254260942247922e-20,3.983774731553337e-23,1.7510843689868356e-31,5.2077442805846706e-30,6.476825072471326e-26,1.678722130937764e-51,9.258071032117516e-46,3.889005154872896e-61,7.30849717309717e-54
5.153364090935095e-12,0.050579708325777455,3.76,0.0,0.6872234469123447,0.9999999999987584,1.121141857805697e-22,1.353275009335579e-40,9.473728464504528e-29,5.070312162108809e-12,1.2477069717257802e-12,1.2671998850209443e-17,6.241945106465509e-15,1.3753717495498828e-17,1.241502912376623e-12,8.308798708525215e-19,2.5114140080948185e-17,3.2029179637359686e-17,2.7283435584641907e-31,1.9300428288404713e-19,1.142604875634213e-36,3.397338326468532e-19,2.8587356196159045e-19,3.321711343651517e-29,1.8931946535334523e-26,7.051267478316403e-20,1.6722987738535847e-35,3.1296917108712567e-21,2.4165592647803733e-55,2.5047374975346414e-52,3.4858662985679566e-22,1.0159801570180614e-40,1.8750372445978037e-35,1.2811214744267053e-20,1.4484477803994447e-39,5.888750079183854e-43,1.4248105637022545e-36,9.728553854127226e-35,2.8824982829778706e-46,3.884279349080741e-26,8.384793187074807e-52,2.605316228669243e-42,1.6248456012161234e-31,4.729435934491292e-49,4.9771834992323435e-61,6.222351109709756e-54,3.439580559047288e-20,1.586203047059104e-22,1.7450301105529455e-30,4.11056593175509e-29,5.07661085195331e-25,6.365109943926238e-50,2.9506227236060537e-44,2.4828806196241814e-59,2.610031467499924e-52
1e-11,0.05057970832580105,3.76,0.0,0.6872234469087869,0.9999999999975906,8.50082169745649e-22,1.0182318353821864e-39,3.600529383733337e-28,9.838754825108861e-12,2.42110302906316e-12,4.835979285754116e-17,1.2124065039883892e-14,5.2559946359258525e-17,2.4091237287110883e-12,3.177826972692627e-18,9.596246672900047e-17,1.2238760716166487e-16,2.068622145615812e-30,7.375574898256418e-19,1.7258488850256525e-35,1.2980778689980518e-18,1.092505663010883e-18,2.5185365913804683e-28,1.4233366647381335e-25,2.691198066273744e-19,2.525907848410127e-34,1.0833020821474077e-20,7.723633061901957e-54,8.920558292534886e-51,2.4028325038355505e-21,1.4241621182252086e-39,2.241863510586609e-34,4.8943668838791763e-20,2.4202490888250387e-38,8.056670642196885e-42,2.150247880483386e-35,1.4693827919985788e-33,8.361918541383894e-45,4.0996649082974377e-25,2.5290915667910634e-50,3.9158767662218215e-41,1.1422660870781474e-30,1.419003833375381e-47,2.9191355401659542e-59,3.1081302899482918e-52,6.631698988709727e-20,6.00618473787127e-22,1.8193978970233518e-29,3.035481769989555e-28,3.6987421551004676e-24,2.4693204131360293e-48,8.824072180320396e-43,1.4881493694869294e-57,9.442568363953803e-51
1.0307007784935186e-11,0.05057970832580105,3.76,0.0,0.6872234469085615,0.9999999999975167,8.968283913230641e-22,1.0741589793052061e-39,3.7685922889897546e-28,1.0140809497055641e-11,2.4954312293187337e-12,5.062041874175948e-17,1.2496665054690926e-14,5.501810797665333e-17,2.4830860991455162e-12,3.326493190790079e-18,1.0045031938364307e-16,1.2811131762907972e-16,2.1823754462339982e-30,7.720519468014179e-19,1.8279341650869694e-35,1.3587837039991368e-18,1.1436013795547193e-18,2.657030843602229e-28,1.501504881633993e-25,2.8170047840958505e-19,2.6753171526876263e-34,1.132098444227125e-20,8.197575249922717e-54,9.469760564094352e-51,2.532957705586912e-21,1.5079392954608805e-39,2.371995928047364e-34,5.123246149909551e-20,2.5643834637591124e-38,8.529714509952744e-42,2.2774288895178073e-35,1.5562976224919744e-33,8.873341143454969e-45,4.334751402093845e-25,2.6839843307760083e-50,4.1474228193379704e-41,1.2043298694532043e-30,1.5058941001703453e-47,3.1008939828934454e-59,3.3010717674678176e-52,6.833902171851356e-20,6.28616631969637e-22,1.9235929603347407e-29,3.201724701247263e-28,3.900879627194838e-24,2.621706361068126e-48,9.364338148027096e-43,1.5808426959952663e-57,1.0024170129066699e-50
2.0614295172935366e-11,0.05057970832584824,3.76,0.0,0.6872234469009951,0.9999999999950329,7.172753296580012e-21,8.459664018880956e-39,1.4908837797302563e-27,2.0281534453522547e-11,4.990728583437625e-12,2.0234421117270325e-16,2.5043378198417217e-14,2.2008490009608806e-16,4.96629124263385e-12,1.3328936205036099e-17,4.0172684551600797e-16,5.123708000476597e-16,1.7452926626913054e-29,3.088297833941983e-18,2.9237169434658413e-34,5.433588856186341e-18,4.574912088123813e-18,2.1249024740199463e-27,1.1806348874107314e-24,1.12683969170906e-18,4.279015963398342e-33,3.7921920855704916e-20,2.919602513521222e-52,3.863186990799422e-49,1.7090525419719168e-20,2.1020024838281883e-38,3.292740759639523e-33,2.0481824103291754e-19,4.89229019626469e-37,1.1441936551542312e-40,3.6422454393515228e-34,2.4895064033407847e-32,2.6384095169017856e-43,5.213635452592339e-24,8.591094547654781e-49,6.5660114239583285e-40,8.392482680096108e-30,4.768968950518123e-46,1.8837340877131454e-57,1.612674194737192e-50,1.3489276580977304e-19,2.4683196107142776e-21,2.3145740877928596e-28,2.430684451504749e-27,2.886739830296972e-23,1.1576464976005532e-46,2.947623986629841e-41,1.0009439055882935e-55,4.2763213926850544e-49
3.0921582560935546e-11,0.050579708325895444,3.76,0.0,0.6872234468934286,0.9999999999925485,2.050635797333101e-20,2.39727912253934e-38,3.1440983498153976e-27,3.042198975448751e-11,7.48587484099374e-12,4.2989293995397286e-16,3.762733286212229e-14,4.676949432904576e-16,7.449535177247414e-12,2.835747024200209e-17,8.535533554718981e-16,1.088669796558877e-15,4.9894510630635455e-29,6.562712176378632e-18,1.0759482324621848e-33,1.1544011652066088e-17,9.722287690742463e-18,6.074632567912445e-27,3.3425616498270716e-24,2.3953869982348068e-18,1.5746958560267494e-32,7.182239918097468e-20,1.392870315528859e-51,1.9298690815097308e-48,4.4553702666553396e-20,7.551472033459738e-38,1.2129726634021436e-32,4.350714604296872e-19,1.9403319019216457e-36,4.046345690113132e-40,1.3884927935873415e-33,9.490355075461067e-32,1.1700318051117007e-42,1.7525051450267726e-23,4.0370837065599736e-48,2.4953023734986406e-39,2.2250755311201786e-29,2.2320346559186844e-45,1.0404906753054135e-56,8.125330133998919e-50,2.0014009638921167e-19,5.178457980898402e-21,7.81128604404175e-28,6.74535459015767e-27,7.896360083510689e-23,5.8133313609760505e-46,1.3577659010142751e-40,5.6078728889619205e-55,2.0061861491372083e-48
