Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34)
0.0,0.44583925068519403,3.76,0.0,0.7127169558399693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.44583925068519403,3.76,0.0,0.7127169558399693,1.0,2.214668779985855e-36,2.0631576568780343e-59,1.6006406762908563e-38,1.320910404136848e-16,9.406670628139802e-18,7.223818201158103e-27,5.0386051039629996e-20,4.808872725396974e-27,9.356284581268593e-18,1.8091283867298807e-28,2.210101842837763e-27,5.6921399223036774e-27,1.08777603151001e-45,3.161184125144809e-29,1.9553556928439382e-55,1.8772955813084076e-28,1.771732481676044e-28,3.384565894216139e-43,1.6441974800572222e-44,5.11478114589542e-28,2.626686265603423e-54
2.8e-15,0.44583925068519403,3.76,0.0,0.7127169558399691,1.0,2.629254757510296e-35,2.4494186190607155e-58,9.667867696404018e-38,3.698549131158956e-16,2.633867776014372e-17,4.3631861930819075e-26,1.4108095304145354e-19,2.9045591282016087e-26,2.6197596832279534e-17,1.0927136110578122e-27,1.334901505716401e-26,3.438052503225471e-26,1.2914076984926306e-44,1.909355211872923e-28,4.374052450875068e-54,1.1338865223284647e-27,1.0701264188313978e-27,4.018156597569399e-42,1.9519916893899733e-43,1.4663411534152936e-27,5.875792088811759e-53
6.4e-15,0.44583925068519414,3.76,0.0,0.7127169558399689,1.0,2.5814178729365777e-34,2.4049296070116097e-57,4.654660104065904e-37,8.453826583506301e-16,6.020269202956061e-17,2.100686332270397e-25,3.224707975670582e-19,1.3984201916381945e-25,5.98802213532113e-17,5.260946330704947e-27,6.426976048608096e-26,1.6552742746369841e-25,1.2679117227718232e-43,9.19272344020282e-28,8.642390462619032e-53,5.459175418717647e-27,5.1521980551999445e-27,3.9450499069512893e-41,1.9164777558496396e-42,3.512876988574512e-27,1.1609574896801688e-51
1.36e-14,0.44583925068519414,3.76,0.0,0.7127169558399683,0.9999999999999999,2.283234804815117e-33,2.1272669340828693e-56,2.0328105768844064e-36,1.7964381481413502e-15,1.2793072059003074e-16,9.174249108998209e-25,6.85250648706093e-19,6.107268393212618e-25,1.272454704707144e-16,2.297594065977869e-26,2.806829226361041e-25,7.229017548713453e-25,1.1214535358945842e-42,4.014703843358269e-27,1.5378671745171488e-51,2.384165252143577e-26,2.2501002501641196e-26,3.4893518456636767e-40,1.6951041183118397e-41,8.153187906919053e-27,2.0658617799995236e-50
2.8e-14,0.4458392506851942,3.76,0.0,0.7127169558399672,0.9999999999999998,1.9191963104941138e-32,1.7883210562662767e-55,8.486569127694651e-36,3.6985491250077966e-15,2.6338677779751634e-16,3.830068404428705e-24,1.4108109993354229e-18,2.5496643477680916e-24,2.619759690082788e-16,9.592007839919817e-26,1.1717958944339613e-24,3.0179724494544197e-24,9.426492287225032e-42,1.67605982713367e-26,2.5938376604561864e-50,9.9534199470344e-26,9.39372560376629e-26,2.933010272338766e-39,1.4248392206287604e-40,1.962276847967422e-26,3.484377697510931e-49
5.68e-14,0.44583925068519437,3.76,0.0,0.712716955839965,0.9999999999999996,1.5734728944633017e-31,1.4665425700179345e-54,3.467028245710299e-35,7.50277106788071e-15,5.342988925586696e-16,1.5647079127115453e-23,2.8619342939987983e-18,1.0416210921642339e-23,5.314369672936406e-16,3.9186521838032373e-25,4.787168126653406e-24,1.2329401594401668e-23,7.728407231853501e-41,6.847251296141878e-26,4.260385788733465e-49,4.066296283717648e-25,3.8376434126884325e-25,2.404658693111442e-38,1.1681726654566312e-39,5.131777852113761e-26,5.723100346481604e-48
1.144e-13,0.44583925068519464,3.76,0.0,0.7127169558399606,0.999999999999999,1.274238831001657e-30,1.1882416976656708e-53,1.4014184248601634e-34,1.511121491018663e-14,1.0761231234657082e-15,6.324799537817043e-23,5.764191256941787e-18,4.2103990972935586e-23,1.0703589687052973e-15,1.5839851017687688e-24,1.9350495334647963e-23,4.983740768110091e-23,6.25866346378798e-40,2.7677684661340743e-25,6.906267797324167e-48,1.6436615384269618e-24,1.5512368210603943e-24,1.9473544150384273e-37,9.460219938112536e-39,1.4973130580131133e-25,9.27739071471213e-47
2.296e-13,0.44583925068519525,3.76,0.0,0.712716955839952,0.9999999999999979,1.0256177620256043e-29,9.573621061954708e-53,5.634962838236315e-34,3.0328102421038866e-14,2.1597715908187474e-15,2.5431740600833093e-22,1.156874667727175e-17,1.6929830409467883e-22,2.1482029908923507e-15,6.369160445578141e-24,7.780746143735931e-23,2.0039398523116983e-22,5.037515100354588e-39,1.1129075384872732e-24,1.112232764707227e-46,6.609087265453601e-24,6.2374549915014015e-24,1.567399380541863e-36,7.614496266238633e-38,4.866532820569261e-25,1.494094667575889e-45
4.600000000000001e-13,0.44583925068519653,3.76,0.0,0.7127169558399346,0.9999999999999958,8.229928517094501e-29,7.69766309153123e-52,2.2598087560585542e-33,6.076187674770515e-14,4.327068547680943e-15,1.0199265310234547e-21,2.317802349553994e-17,6.789619856545923e-22,4.303891112721485e-15,2.554339074780975e-23,3.120424860898872e-22,8.036691953537398e-22,4.042285813150396e-38,4.4632570803753364e-24,1.7853787115714452e-45,2.650536793047957e-23,2.5014983964144252e-23,1.2577378973884495e-35,6.110295316778118e-37,1.7208840645802953e-24,2.3983512076078736e-44
