Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189),CH3CO(33),C3H3(2030),C4H7(59),C4H7(2027),H2CC(23)
0.0,0.3737845874782588,3.76,0.0,0.7172488172318369,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.742429925729847e-21,0.37378458747825877,3.76,0.0,0.7172488172318368,1.0,1.880484627071294e-44,9.224327724221162e-55,7.60551341206407e-36,3.7080504165091855e-16,1.5520035077440344e-18,4.556673804205348e-23,8.393023071931277e-19,5.529049324808951e-31,7.127012005461081e-19,1.724859694871314e-31,7.737885478976832e-34,4.2587863705296226e-32,1.679303347753003e-49,8.526982509873158e-34,4.071090670213236e-61,7.887413552419828e-32,6.352341764237646e-32,1.8459145956449637e-48,5.969538106131496e-48,9.780850602473016e-25,4.38973264770266e-63,6.839495662445073e-35,3.731287935351314e-83,5.906073160974834e-85,8.500590877099518e-46,1.4682441662462176e-66,2.2261500423980766e-54,1.3199843058680363e-32,8.763605669649048e-67,9.161866512592569e-67,2.099255128379341e-58,2.740749630899964e-57,1.748481096613049e-80,3.280433223278706e-48,2.8523499767582734e-82,1.889761338045959e-67,1.4196934354562775e-49,3.01144754230438e-81,8.77767075685554e-86,8.23976281430749e-87,4.5566732498405143e-23,5.39632270205466e-35,2.550231811011993e-53,5.104134680758561e-52,5.506294590394771e-47,3.564253142899025e-82,6.859544219485071e-78,1.743259529326558e-83,7.849494493358826e-84,7.644921285764534e-96,6.705065268571782e-48
1.6078803792043573e-20,0.3737845874782588,3.76,0.0,0.7172488172318363,1.0,2.232511835179711e-43,1.0951121874379402e-53,4.5937301008790226e-35,1.0382541166225533e-15,4.345609821700022e-18,1.2758688447894505e-22,2.3500464601419282e-18,3.339545792195336e-30,1.99556336152911e-18,1.0418152557027062e-30,4.6736828293086754e-33,2.5723069677977885e-31,1.993668934464239e-48,5.150297435963354e-33,9.106866985665414e-60,4.763997785661545e-31,3.8368144256005813e-31,2.1914698079516615e-47,7.087078677188127e-47,2.7386382614151024e-24,9.819675427428969e-62,4.131055380017302e-34,1.5512617965969226e-81,3.539840161485346e-83,1.0091901488965584e-44,4.615371866614259e-65,3.364158185489193e-53,7.97270520743241e-32,1.960383534838345e-65,2.8806336888491152e-65,3.1724390204161944e-57,4.141939298083732e-56,7.215170392535017e-79,3.89453032398615e-47,1.6428408526211002e-80,5.941584404995332e-66,1.6854600465284364e-48,1.7344029963415942e-79,5.339885471628423e-84,3.400161201745057e-85,1.275868509953091e-22,3.2593789120395706e-34,3.027635206091671e-52,6.059628692962939e-51,6.5370729375827614e-46,1.4712993557642258e-80,4.160342989623146e-76,1.0605098427568596e-81,3.749797713560858e-82,6.193939788143718e-94,7.960253486870215e-47
3.675155152467102e-20,0.3737845874782589,3.76,0.0,0.7172488172318356,1.0,2.1918935713216318e-42,1.0751876395899455e-52,2.2116833002167196e-34,2.373152266565748e-15,9.93282244967891e-18,2.916272491975095e-22,5.371534766044213e-18,1.6078475436705388e-29,4.5612876834951445e-18,5.0158919926922716e-30,2.250177097296469e-32,1.2384550765468606e-30,1.9573959821772445e-47,2.479646513871066e-32,1.7993634525444663e-58,2.293659861043641e-30,1.847260985041871e-30,2.1515980526897834e-46,6.958154729889571e-46,6.2597450346413375e-24,1.9402040761270658e-60,1.9889253384897473e-33,6.1566676416804496e-80,1.591732874755067e-81,9.908288725333584e-44,1.0296144675010775e-63,3.619008397602529e-52,3.838514361448455e-31,3.873387516117396e-64,6.426533485560758e-64,3.4128644894533734e-56,4.455972764320154e-55,2.8542522929845426e-77,3.823672969113352e-46,7.367190005784819e-79,1.3255286067880013e-64,1.6547946682275428e-47,7.777752667318254e-78,2.4106795536446776e-82,1.3450699625079135e-83,2.916270879882157e-22,1.56925064175514e-33,2.9725501990957816e-51,5.9493793837873e-50,6.418136974148329e-45,5.821182710136862e-79,1.8766870745998924e-74,4.78764836451253e-80,1.9525118954668667e-80,6.618838553156237e-92,7.81542407711485e-46
7.809704698992591e-20,0.37378458747825893,3.76,0.0,0.7172488172318343,1.0,1.938705125991917e-41,9.509912911693494e-52,9.659002033202412e-34,5.042948566451838e-15,2.1107247705904325e-17,6.197082660137635e-22,1.1414511377867516e-17,7.021892642673692e-29,9.692736327427338e-18,2.1905718124932774e-29,9.827114558403986e-32,5.408658690540038e-30,1.731294579475383e-46,1.0829267787538426e-31,3.201871124221388e-57,1.001701521157272e-29,8.06747404059797e-30,1.9030641115387068e-45,6.154416549669316e-45,1.3301960064656337e-23,3.4524908676438334e-59,8.686159489762685e-33,2.20062007043908e-78,6.0008153888396536e-80,8.763769168525888e-43,1.9283170464680939e-62,3.326493206659373e-51,1.676380068436086e-30,6.892486145488701e-63,1.2036184632074204e-62,3.137193453249903e-55,4.0962919487843044e-54,1.01866280238568e-75,3.381995444396484e-45,2.771723531930853e-77,2.4825637775665403e-63,1.4636471439233856e-46,2.92617934027902e-76,9.102267306680428e-81,4.8004591868720454e-82,6.197075619704243e-22,6.853329831584206e-33,2.6291869882590304e-50,5.262158690253967e-49,5.67676947003949e-44,2.0776840068229984e-77,7.08382930137485e-73,1.8077249264585782e-78,7.791962423175935e-79,5.366887852092201e-90,6.912654089428686e-45
1.607880379204357e-19,0.37378458747825916,3.76,0.0,0.7172488172318316,1.0,1.6295985076709895e-40,7.993654818602524e-51,4.032443210969313e-33,1.0382541166222826e-14,4.3456098219425696e-17,1.2758714491627723e-21,2.350046460158907e-17,2.931501952163398e-28,1.9955633615292225e-17,9.145206102268092e-29,4.102626881046585e-31,2.2580085336254838e-29,1.4552574124466802e-45,4.521006126734314e-31,5.400423646452697e-56,4.1819066654925817e-29,3.368011603413346e-29,1.5996400539751702e-44,5.173160910980783e-44,2.738639605893646e-23,5.8231315973841126e-58,3.626300598840076e-32,7.440941354196205e-77,2.080512093406093e-78,7.366476040778433e-42,3.330657626810866e-61,2.8458866661051915e-50,6.998556789565454e-30,1.1625185361464775e-61,2.0789514645105766e-61,2.6842483281294677e-54,3.5052947509125056e-53,3.441832086989168e-74,2.8427709598284144e-44,9.597604698800972e-76,4.288007747431e-62,1.2302836155369214e-45,1.0132420766524983e-74,3.1579993710319894e-79,1.6219666849757732e-80,1.275868509920422e-21,2.8611302966063136e-32,2.2099900843997262e-49,4.423161447789173e-48,4.771666789736541e-43,7.020265078328074e-76,2.4573677698711253e-71,6.2718375427595064e-77,2.769385486772008e-77,3.845743586187766e-88,5.8105022809575e-44
3.261700197814553e-19,0.3737845874782595,3.76,0.0,0.7172488172318263,1.0,1.3360433261255054e-39,6.55368117835248e-50,1.6473846270160868e-32,2.1061726365760025e-14,8.815379925075063e-17,2.588202413526793e-21,4.7672371049331934e-17,1.1976142000776578e-27,4.048142819102398e-17,3.7361150935301907e-28,1.676056946367097e-30,9.224701629773731e-29,1.1931079497940912e-44,1.8469785195681982e-30,8.870212056186771e-55,1.7084453251079975e-28,1.3759426355132477e-28,1.3114815624501604e-43,4.241271045781281e-43,5.55552917844972e-23,9.564512042919854e-57,1.4814621172928241e-31,2.447322929193352e-75,6.926671439259553e-77,6.039482118567257e-41,5.533912251868711e-60,2.353036929742276e-49,2.859138805758047e-29,1.9094402029186834e-60,3.4542088580469227e-60,2.2199065499128735e-53,2.899619433834886e-52,1.1315992017932914e-72,2.3306753994670627e-43,3.193184695391975e-74,7.124585863643368e-61,1.0086608381519445e-44,3.371118680904216e-73,1.051745641978067e-77,5.3326717364603034e-79,2.5881904057627415e-21,1.1688650825361628e-31,1.811883393771104e-48,3.626374990702517e-47,3.912100724794013e-42,2.308148776253119e-74,8.183517901544247e-70,2.0887837615729713e-75,9.328053039981119e-76,2.6011427150743035e-86,4.7638008259168584e-43
6.569339835034945e-19,0.37378458747826027,3.76,0.0,0.7172488172318155,1.0,1.0819625300810032e-38,5.30734093677197e-49,6.65899205616029e-32,4.242009676481531e-14,1.7754920133052933e-16,5.212882734518846e-21,9.601618394601669e-17,4.840948079280364e-27,8.153301734249544e-17,1.5101974561672478e-27,6.774890155995398e-30,3.7287718889402634e-28,9.662097513513962e-44,7.465782482551402e-30,1.4378995987863055e-53,6.905809160991226e-28,5.561780127096057e-28,1.0620717717602379e-42,3.4346917267158065e-42,1.118931781836207e-22,1.550448691781758e-55,5.988306738593614e-31,7.939294698407323e-74,2.2606135737547756e-75,4.890929198258281e-40,9.021653134257878e-59,1.913455107267651e-48,1.1557096189318565e-28,3.095284905704455e-59,5.631232155854863e-59,1.806033830419974e-52,2.360156995522723e-51,3.670315069347856e-71,1.8874413873769766e-42,1.0417784257605608e-72,1.1614870562905172e-59,8.168396972716756e-44,1.0998290021818608e-71,3.4330729446885527e-76,1.7296393870207656e-77,5.2128341972166744e-21,4.7247395489759975e-31,1.4673101495022407e-47,2.936732487018822e-46,3.168120592736945e-41,7.486488619496065e-73,2.6711499441838993e-68,6.818138091887833e-74,3.0615604129129844e-74,1.710873162904532e-84,3.857849419071549e-42
1.3184619109475728e-18,0.3737845874782617,3.76,0.0,0.717248817231794,0.9999999999999999,8.708575749476086e-38,4.2718097187815834e-48,2.6775514181660553e-31,8.513683756284944e-14,3.5634000555860176e-16,1.0462316945558997e-20,1.927038097441824e-16,1.9465239318419036e-26,1.6363619564547018e-16,6.072437550523399e-27,2.724153534941464e-29,1.499322776724803e-27,7.776896665511083e-43,3.001958300528435e-29,2.315692976320844e-52,2.7767954907813e-27,2.236367327549099e-27,8.548477601207158e-42,2.7645389014928803e-41,2.245693307738757e-22,2.4969498800440224e-54,2.40787179810393e-30,2.5579846204829897e-72,7.305325450712323e-74,3.9366453111193085e-39,1.4569977434040408e-57,1.5432782100893352e-47,4.647057547350966e-28,4.9848610903479036e-58,9.094454896694219e-58,1.45799104769985e-51,1.9071567708301995e-50,1.1824409187205548e-69,1.5191770677434276e-41,3.3659882902580553e-71,1.8758044971175484e-58,6.574636505852e-43,3.5535487712956636e-70,1.1095098515368396e-74,5.572264274610912e-76,1.0462121779201717e-20,1.899796992417046e-30,1.1810188629903364e-46,2.363737794582716e-45,2.5499790696558465e-40,2.4118822380217084e-71,8.632556663398361e-67,2.2035044158199808e-72,9.921168610933137e-73,1.1099494866762016e-82,3.1051328383738427e-41
2.6415177658357297e-18,0.37378458747826465,3.76,0.0,0.7172488172317509,0.9999999999999998,6.9880836005033594e-37,3.42785827759187e-47,1.0738178748541461e-30,1.7057031915861198e-13,7.139216142888072e-16,2.0961479643863482e-20,3.860790613596986e-16,7.80643157421332e-26,3.2784255225154693e-16,2.4353190543054357e-26,1.0925074084689526e-28,6.012954922498364e-27,6.240469807281873e-42,1.2039195443775124e-28,3.717200077074478e-51,1.1136191870161645e-26,8.968833223538511e-27,6.85961491149163e-41,2.218368439307742e-40,4.4992315512241745e-22,4.008157598580071e-53,9.656642825659902e-30,8.213529549669144e-71,2.3491893465727064e-72,3.1589099266878513e-38,2.3420800307073428e-56,1.2396567875085764e-46,1.8636779208809204e-27,8.001806582496564e-57,1.4619070532068954e-56,1.1733214881202184e-50,1.5377229523783579e-49,3.796569849552193e-68,1.219043979395816e-40,1.082313144000541e-69,3.0153007971540145e-57,5.275731720115864e-42,1.1426217475823697e-68,3.568017397005754e-73,1.7891375776011386e-74,2.0960696939480505e-20,7.619035644029613e-30,9.476932621041307e-46,1.8967507156660205e-44,2.046197605482644e-39,7.744064486614055e-70,2.776078721154888e-65,7.0861399768179585e-71,3.194774390379939e-71,7.152010327974538e-81,2.491673549307797e-40
