Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19)
0.0,0.20262373985443288,3.76,0.0,0.6584162824989099,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.20262373985443288,3.76,0.0,0.6584162824989099,1.0,1.0526603735227129e-36,2.7657231485498484e-61,6.009541242297599e-40,2.3326363046883175e-17,5.991091781740961e-18,1.6285053179450244e-27,1.0641035682648577e-20,3.538422265681911e-27,5.9804507568294936e-18,6.070212621787586e-29,5.495510330064102e-27,4.624918140228182e-27,4.92905612805093e-46,2.563240775901261e-29,1.1695290048187527e-55,4.9115040233230973e-29,4.9115041285832855e-29
3.0000000000000002e-15,0.20262373985443288,3.76,0.0,0.6584162824989099,1.0,8.893905916074483e-36,2.3368494100300936e-60,3.0170341736646416e-39,5.760183526296013e-17,1.4794328666852448e-17,8.175761390623642e-27,2.627684683129966e-20,1.7764324035211314e-26,1.4768051874096872e-17,3.0474947770731414e-28,2.758970480348375e-26,2.3218976731416608e-26,4.164549480390039e-45,1.2868514918744626e-28,1.4845858041780115e-54,2.465775452722682e-28,2.4657755416567915e-28
7e-15,0.20262373985443288,3.76,0.0,0.6584162824989099,1.0,1.389941256970967e-34,3.652120862827921e-59,1.856823188942942e-38,1.5090728731260872e-16,3.875869563369248e-17,5.031749079975763e-26,6.884102056381882e-20,1.0933002696094953e-25,3.8689854945936146e-17,1.875572635850209e-27,1.6980005036484947e-25,1.4290053032514818e-25,6.508365996846525e-44,7.9198908959746585e-28,6.325481206693592e-53,1.5175544006452575e-27,1.5175545396316577e-27
1.5e-14,0.20262373985443285,3.76,0.0,0.6584162824989097,1.0,1.3740008436485074e-33,3.6105591604935606e-58,8.813148576309653e-38,3.3751819100854337e-16,8.66874290989506e-17,2.388252895872082e-25,1.5396945872104707e-19,5.189204597022793e-25,8.653346121985609e-17,8.902161998555344e-27,8.059333727221363e-25,6.782583848550718e-25,6.4337260689982655e-43,3.7590710744955556e-27,1.284491341134942e-51,7.202869767661251e-27,7.202871141585728e-27
3.1e-14,0.20262373985443288,3.76,0.0,0.6584162824989094,0.9999999999999999,1.205493352609965e-32,3.1683366309862507e-57,3.811004508095193e-37,7.107399967869629e-16,1.825448941557794e-16,1.0327382452365951e-24,3.2422669780420524e-19,2.243937441706711e-24,1.8222067428866162e-16,3.84951460204524e-26,3.485050400354312e-24,2.932953018511429e-24,5.644694937912119e-42,1.6255131496246688e-26,2.271377688949466e-50,3.11469427617636e-26,3.11469548160271e-26
6.300000000000001e-14,0.20262373985443288,3.76,0.0,0.6584162824989088,0.9999999999999997,1.007540049915009e-31,2.6490313543214397e-56,1.582400398442126e-36,1.4571836018900025e-15,3.7425981677468837e-16,4.2881535744153576e-24,6.647426270448661e-19,9.317315943501521e-24,3.735951025101356e-16,1.598406001365846e-25,1.4470684851124333e-23,1.2178257466023591e-23,4.717785086812877e-41,6.749483843271084e-26,3.809218462117625e-49,1.293288228701961e-25,1.2932892361860098e-25
1.2700000000000001e-13,0.2026237398544329,3.76,0.0,0.6584162824989077,0.9999999999999993,8.23448822045333e-31,2.1665955423869613e-55,6.44638587219914e-36,2.95007078628089e-15,7.576896320335227e-16,1.7469341788949205e-23,1.3457802898198621e-18,3.79574516718255e-23,7.563439672885374e-16,6.511715717479766e-25,5.895154624537279e-23,4.961252293635385e-23,3.855784960055086e-40,2.7496459895862373e-25,6.236098632982209e-48,5.268672402079267e-25,5.268680636109797e-25
2.55e-13,0.20262373985443297,3.76,0.0,0.6584162824989055,0.9999999999999986,6.65760181933564e-30,1.754249128846275e-54,2.6019399225709413e-35,5.935845051801932e-15,1.5245491426353435e-15,7.051314751997351e-23,2.7078788325149254e-18,1.5321124261613096e-22,1.5218417301871734e-15,2.6284107211838402e-24,2.379515662902467e-22,2.002556470143175e-22,3.117415745780482e-39,1.1098655248714942e-24,1.009147204883142e-46,2.1266404684926283e-24,2.1266471257244024e-24
5.11e-13,0.2026237398544331,3.76,0.0,0.6584162824989009,0.999999999999997,5.354147650346606e-29,1.414898953943323e-53,1.0454159669877756e-34,1.1907393169801354e-14,3.0582676841762844e-15,2.8332646880786387e-22,5.4321687862483386e-18,6.156129391650603e-22,3.052837389351913e-15,1.0561333466134336e-23,9.561042136907688e-22,8.046400024083198e-22,2.507082822661965e-38,4.4595131421344144e-24,1.6237603457381085e-45,8.544954620603448e-24,8.545008159103976e-24
1e-12,0.20262373985443335,3.76,0.0,0.6584162824988924,0.999999999999994,4.12567355222394e-28,1.096547390896713e-52,4.049299927717671e-34,2.3313981551623736e-14,5.9879079095854665e-15,1.0975586714653198e-21,1.0636343052466307e-17,2.384780695235716e-21,5.977278825934765e-15,4.0914392701723415e-23,3.7037790445437865e-21,3.1170360169349243e-21,1.93186174594231e-37,1.7275400364798584e-23,2.495586935168486e-44,3.3101499370159416e-23,3.3101911914582915e-23
1.023e-12,0.20262373985443335,3.76,0.0,0.658416282498892,0.9999999999999939,4.2945405299445e-28,1.1414682955931439e-52,4.190586903375723e-34,2.3850487753631742e-14,6.125702848612893e-15,1.1358558916312124e-21,1.0881120165192305e-17,2.4679930845805524e-21,6.1148292411523634e-15,4.2342041704624333e-23,3.8330152840317605e-21,3.2257990196631693e-21,2.0109344037430272e-37,1.7878192606355384e-23,2.6053289611678263e-44,3.4256510677398245e-23,3.4256940107580903e-23
2.047e-12,0.2026237398544338,3.76,0.0,0.6584162824988739,0.9999999999999878,3.440093821454959e-27,9.24905545388811e-52,1.677727901242856e-33,4.7736670312636135e-14,1.2260565502949242e-14,4.548525385823035e-21,2.1780508793820928e-17,9.883062734074512e-21,1.2238815078645987e-14,1.6957158880154943e-22,1.534922329748384e-20,1.291766130021491e-20,1.6108578093381636e-36,7.159309779718796e-23,4.174384876926515e-43,1.371781895896893e-22,1.3718162949229773e-22
4.095e-12,0.20262373985443463,3.76,0.0,0.6584162824988377,0.9999999999999756,2.7538112502995995e-26,7.572671448790512e-51,6.711561908342117e-33,9.550900899615917e-14,2.4530260113828285e-14,1.8204303188845993e-20,4.358522941270029e-17,3.955445826255923e-20,2.4486795289274752e-14,6.787726410622849e-22,6.143088498411875e-20,5.1699427007816683e-20,1.289533211490005e-35,2.8653316797791606e-22,6.68371734227678e-42,5.490066613187126e-22,5.4903419790050895e-22
8.191e-12,0.2026237398544364,3.76,0.0,0.6584162824987654,0.999999999999951,2.2036652410019213e-25,6.3297021663433865e-50,2.6828882705605966e-32,1.9105358062637988e-13,4.906952654724214e-14,7.283758381743934e-20,8.721844312625976e-17,1.5826242459155997e-19,4.8982789853663304e-14,2.7166980398672754e-21,2.457888084057999e-19,2.068540363225786e-19,1.0319695125843247e-34,1.1464549455415407e-21,1.0697750858225342e-40,2.1965308405088708e-21,2.196751194783298e-21
