Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189),CH3CO(33),C3H3(2030),C4H7(59),C4H7(2027),H2CC(23),C3H3(3173),C3H5(76),C4H7(77),C3H5(220),C2H3O(232),S(2376)
0.0,0.05777690803191826,3.76,0.0,0.8474751254475312,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.537456183868516e-17,0.05777690803191826,3.76,0.0,0.847475125447531,0.9999999999999999,4.490404093738299e-37,3.6700669251329955e-53,1.3753412252326828e-36,3.8821325011073705e-16,3.02435162599668e-17,6.393185078207422e-24,6.568521278207384e-19,3.426192642074538e-27,2.958666412903384e-17,6.5521698348154225e-28,1.8989013139993938e-27,7.563347635631983e-27,2.7959785746751433e-45,5.092271771564627e-29,8.106440869480709e-53,1.9560342608792473e-28,1.568219475423591e-28,3.901100719643219e-43,6.600498723665248e-41,4.797820648087573e-26,9.170284852494993e-55,9.614085564001074e-31,1.768650448475677e-75,1.3300232076826088e-75,4.731106058816461e-37,2.7323324583786643e-59,1.4411132091984459e-49,1.0729234172000058e-29,8.740759191099695e-59,1.3189702835470773e-61,5.905574822088044e-53,6.14077307081736e-52,4.240046130180782e-70,7.67664663575619e-41,4.200970546012307e-73,6.48925670882593e-61,3.539504540885305e-45,1.6703463951554985e-72,1.183450645146339e-77,4.150957524435893e-78,6.382771554704796e-24,1.1672202617015363e-31,3.5122322176528543e-45,1.2803567619103527e-43,1.8263563395431013e-39,1.5531686054878324e-73,4.63513670729751e-68,9.364110165247077e-76,1.1470075170417127e-75,3.097214247828115e-82,1.3307987282146032e-43,1.4326008282763333e-90,4.4190810741817086e-64,5.348572702204051e-81,3.090895650077164e-63,5.200969267357409e-73,6.435805494955938e-71
4.304877314831845e-17,0.05777690803191827,3.76,0.0,0.8474751254475306,1.0,5.3310077615659267e-36,4.3571032858524225e-52,8.307060750365855e-36,1.0869971002512763e-15,8.46818455466779e-17,1.7934657456888275e-23,1.8391859640940966e-18,2.0694203565083745e-26,8.284265956378602e-17,3.9575105913538295e-27,1.1469363926327047e-26,4.568261967679353e-26,3.3193857668859667e-44,3.0757321500981025e-28,1.8133783917705217e-51,1.1814446921529054e-27,9.472045635129682e-28,4.631386779080616e-42,7.836111774487946e-40,1.3450250722897388e-25,2.0513561105310447e-53,5.806904674391075e-30,7.333238237023222e-74,8.011439515244292e-74,5.6167663499992114e-36,8.590837829828078e-58,2.1778421094451232e-48,6.480457422835008e-29,1.9552738387715152e-57,4.147003389334936e-60,8.962128017783223e-52,9.477863709762845e-51,1.7496665750442818e-68,9.11375278601029e-40,2.419545726961649e-71,2.0403206586045275e-59,4.202097990247882e-44,9.620321378874874e-71,7.199506616533231e-76,1.7129580188726104e-76,1.7871759774935284e-23,7.050010071940546e-31,4.1697310985017527e-44,1.520039377093687e-42,2.1682497766972593e-38,6.409936431781564e-72,2.6043011654994906e-66,5.696645124713245e-74,5.479467239625556e-74,3.428214965784508e-80,1.579924245594525e-42,1.5830637727432782e-88,1.38941970986852e-62,6.073948427977987e-79,9.718264416571946e-62,2.14619481325436e-71,3.706684390467816e-69
9.839719576758502e-17,0.057776908031918275,3.76,0.0,0.8474751254475298,0.9999999999999999,5.234015032309188e-35,4.277829487602101e-51,3.999491907917335e-35,2.484564800297205e-15,1.9355850419518365e-16,4.115255916585726e-23,4.203853661424928e-18,9.963368213583055e-26,1.893546504432554e-16,1.9053710046522938e-26,5.522005005766304e-26,2.199421486078233e-25,3.258992635521793e-43,1.4808326312805741e-27,3.5829301002573786e-50,5.688147609364362e-27,4.56038223988859e-27,4.5471230134412546e-41,7.693540344108685e-39,3.082052250560151e-25,4.053134059444715e-52,2.795771572617841e-29,2.9070132376052656e-72,3.6073554967671537e-72,5.51456865677925e-35,1.9165646942142404e-56,2.342893953354977e-47,3.1200612716371898e-28,3.8632958107346313e-56,9.251703743614019e-59,9.724731919828334e-51,1.0636092531049933e-49,6.921503671820631e-67,8.948016808708079e-39,1.0850268353170514e-69,4.55184040965143e-58,4.125640910718367e-43,4.314153847155327e-69,3.2502001307062778e-74,6.776761776062872e-75,4.0849733902443916e-23,3.394276057922539e-30,4.093885802971612e-43,1.4923833126791442e-41,2.128799493585974e-37,2.5358433430775746e-70,1.1503259937214578e-64,2.571737771366557e-72,2.853198787243867e-72,3.1413572756199853e-78,1.5511789835271997e-41,1.4322369662582433e-86,3.0997139071149917e-61,5.502504587538445e-77,2.16809094247707e-60,8.490133599970033e-70,1.6622315243208566e-67
2.0909404100611818e-16,0.05777690803191829,3.76,0.0,0.8474751254475281,0.9999999999999997,4.629427005401433e-34,3.7836911039746953e-50,1.7466829684842657e-34,5.2797001994484625e-15,4.1131182179252917e-16,8.812819039004269e-23,8.933189155223051e-18,4.351264666212638e-25,4.0237863224205426e-16,8.321255862657929e-26,2.4116046529238324e-25,9.605451431495955e-25,2.882542089576984e-42,6.467185151019308e-27,6.375632601367838e-49,2.4841634893350322e-26,1.9916387393233015e-26,4.021878828630075e-40,6.804848125001064e-38,6.5822712603953735e-25,7.212335577162956e-51,1.2209842069310287e-28,1.0385087961595826e-70,1.3606934846396456e-70,4.8775631151414835e-34,3.5895058970245785e-55,2.1536535777764705e-46,1.3626127134104867e-27,6.87454348512764e-55,1.7327365124786075e-57,9.092836804491918e-50,1.0587257051412653e-48,2.470233073639375e-65,7.914562344520068e-38,4.08215059571108e-68,8.525091054233204e-57,3.649075879003399e-42,1.623092150101798e-67,1.227212743907827e-72,2.4189148947199727e-73,8.680567290565364e-23,1.4823692538184205e-29,3.621029580238515e-42,1.319995496351848e-40,1.8828972746679605e-36,9.050522369503233e-69,4.306225821781609e-63,9.71039141439898e-71,1.1386801295974965e-70,2.3940678893377566e-76,1.37200022727267e-40,1.0839383779753744e-84,5.805416911490588e-60,4.171746441664603e-75,4.060593804294667e-59,3.0300683316039633e-68,6.253726606508919e-66
4.3048773148318446e-16,0.057776908031918324,3.76,0.0,0.8474751254475249,0.9999999999999992,3.8913123066498977e-33,3.1804192925793688e-49,7.2920556881333175e-34,1.0869970993988578e-14,8.468184581885567e-16,1.8423876406195014e-22,1.839186053936514e-17,1.8165673485280968e-24,8.284265959990926e-16,3.473960601617242e-25,1.0067974624126208e-24,4.0100868572310775e-24,2.422950329898784e-41,2.699922494302532e-26,1.0753436005010697e-47,1.0370893453347088e-25,8.314699708513849e-26,3.380631521737215e-39,5.719882881287222e-37,1.3687367893728194e-24,1.2164658259555564e-49,5.09734622893374e-28,3.510593233275009e-69,4.718730413263788e-69,4.0998681789833436e-33,6.199957005121855e-54,1.8427191899788768e-45,5.688639720090982e-27,1.159497303034051e-53,2.992858019041902e-56,8.042970926804654e-49,1.0445713133914332e-47,8.346342788571394e-64,6.6529067841339505e-37,1.4135250676887238e-66,1.4724972121593663e-55,3.0672567352294967e-41,5.620251882776521e-66,4.257764286520327e-71,8.175242905558002e-72,1.7871751390485797e-22,6.188597520658994e-29,3.0437506575209053e-41,1.1095346686615136e-39,1.5826856356160345e-35,3.058046072656163e-67,1.4882114743891353e-61,3.368985128136545e-69,4.0473588728856536e-69,1.6690007377087612e-74,1.1532488314473088e-39,7.530381395125355e-83,1.0027409107596842e-58,2.9012143823315996e-73,7.013664552350522e-58,1.0237915307555963e-66,2.1654651134917244e-64
8.732751124373171e-16,0.05777690803191837,3.76,0.0,0.8474751254475185,0.9999999999999983,3.190332871958838e-32,2.60749814270245e-48,2.9790411542884287e-33,2.2050512568019217e-14,1.717831735785957e-15,3.8509715628828564e-22,3.73092048938326e-17,7.421270392567296e-24,1.6805225241509317e-15,1.4192263263014186e-24,4.113096081357121e-24,1.6382513011618506e-23,1.986481097499001e-40,1.1030064356706925e-25,1.7662550077088708e-46,4.23684828293478e-25,3.3968261547255663e-25,2.7716460196987605e-38,4.689502302055848e-36,2.831619561892167e-24,1.998048805200807e-48,2.082413883055751e-27,1.1545005713019666e-67,1.5711959583616147e-67,3.361290914801043e-32,1.0301252593550157e-52,1.523965024745753e-44,2.3239948371662567e-26,1.9044944377945077e-52,4.9726374233698284e-55,7.086470249832198e-48,1.0932441891891071e-46,2.7440840595087775e-62,5.454848912640133e-36,4.702926357931086e-65,2.4465756755498383e-54,2.5147036689899893e-40,1.869892829708605e-64,1.4180087338429073e-69,2.6893377440137944e-70,3.62541047874526e-22,2.5282421291636667e-28,2.4955443429858903e-40,9.096617827119182e-39,1.2975764242240856e-34,1.0054532658060344e-65,4.9471203934831555e-60,1.1220122114086876e-67,1.3634720670389073e-67,1.114287023116916e-72,9.455030211660765e-39,5.018964516013009e-81,1.6660681430242327e-57,1.934680497423951e-71,1.1653304194394149e-56,3.3660019912879974e-65,7.204627693718663e-63
1.7588498743455823e-15,0.05777690803191849,3.76,0.0,0.8474751254475056,0.9999999999999967,2.583614176223788e-31,2.111616771620602e-47,1.204174829815198e-32,4.441159565588212e-14,3.4598583102021386e-15,8.213629201780339e-22,7.514389994750032e-17,2.999796182940115e-23,3.3847143830056596e-15,5.736740275412612e-24,1.662579148286894e-23,6.622073483515296e-23,1.6087039420012114e-39,4.4585283721462655e-25,2.863175204463046e-45,1.7126017472619318e-24,1.3730514599635723e-24,2.244550885932864e-37,3.797675259690235e-35,5.924838893444652e-24,3.2389233148720736e-47,8.417301323068237e-27,3.7451738612909434e-66,5.128123835435331e-66,2.7220140106334805e-31,1.6793420627764372e-51,1.2398634671067204e-43,9.393957863935111e-26,3.087321489336447e-51,8.10652347405639e-54,6.472350925365393e-47,1.2623910272205611e-45,8.900300515722053e-61,4.418116193601933e-35,1.5343579325559366e-63,3.9885346485524686e-53,2.036441911882777e-39,6.100533189590444e-63,4.6285870274810906e-68,8.732511484337842e-69,7.301875236998587e-22,1.0219543661612899e-27,2.0211082068072233e-39,7.366648230288105e-38,1.0508031235175826e-33,3.261360204663135e-64,1.613345480065535e-58,3.6624314882456137e-66,4.4764317589107643e-66,7.282835755350023e-71,7.656927838893909e-38,3.2775724089749606e-79,2.71610931376038e-56,1.2637583054178676e-69,1.8997813133416787e-55,1.0917542963686301e-63,2.3505065256956044e-61
3.529999398162113e-15,0.05777690803191872,3.76,0.0,0.8474751254474797,0.9999999999999932,2.079517299526425e-30,1.699608331380537e-46,4.84192409316252e-32,8.913376159081441e-14,6.943911535920033e-15,1.832090364961794e-21,1.5081331543376355e-16,1.2062048792091705e-22,6.793098110919316e-15,2.3067184757395305e-23,6.685157225883788e-23,2.6627064542015547e-22,1.2948249610460018e-38,1.7927546520223536e-24,4.611054510619599e-44,6.886295739227621e-24,5.5209796734215966e-24,1.8066099523364765e-36,3.0566909266073094e-34,1.278109272742601e-23,5.216186463510485e-46,3.3844403904104115e-26,1.2067172395569587e-64,1.657249444254522e-64,2.190838802914474e-30,2.7120707773212653e-50,1.0009633312450786e-42,3.7772684632654727e-25,4.97220980498727e-50,1.309163774777331e-52,6.365076503124499e-46,1.6204637453541384e-44,2.867305033921811e-59,3.557111488186351e-34,4.957679016700848e-62,6.441490546645305e-52,1.6390568148713465e-38,1.9710819324616003e-61,1.4958601796617136e-66,2.819550174560124e-67,1.4654781069021808e-21,4.109221290653066e-27,1.6270079126141415e-38,5.929273128014475e-37,8.457650436808988e-33,1.0508128428529778e-62,5.211680935617656e-57,1.1836324739849904e-64,1.4515087600673955e-64,4.710001142775113e-69,6.16296043137389e-37,2.118839727551248e-77,4.3865170096538924e-55,8.170847807476483e-68,3.0681474527309407e-54,3.517229419100369e-62,7.594444792845565e-60
7.072298445795174e-15,0.05777690803191918,3.76,0.0,0.847475125447428,0.9999999999999865,1.6686814143631318e-29,1.3638213415002197e-45,1.9418201521805818e-31,1.7857809249750506e-13,1.3912018294897973e-14,4.4063289165940155e-21,3.0215224792197464e-16,4.837421275579518e-22,1.3609865607563447e-14,9.250976338786064e-23,2.681046722501957e-22,1.0678642453730757e-21,1.0390156054797427e-37,7.189748007006142e-24,7.401760828726237e-43,2.7617121365154786e-23,2.2141598947087837e-23,1.4496909155675281e-35,2.4527883032122814e-33,2.917286127746365e-23,8.373135492305052e-45,1.3572161683438992e-25,3.875198828412606e-63,5.329426928074089e-63,1.7578899992702728e-29,4.359346065851886e-49,8.055841351807334e-42,1.5148530526575393e-24,7.982055644339313e-49,2.1043079267517552e-51,6.952057703880146e-45,2.2692464314508025e-43,9.206024026444876e-58,2.856006419436824e-33,1.5942181658393313e-60,1.0354496676184367e-50,1.3151615549434946e-37,6.337885009436399e-60,4.810338891352615e-65,9.093146876449026e-66,2.9360497995748178e-21,1.6479716865766028e-26,1.3059632778783745e-37,4.7577940458431925e-36,6.786527571288312e-32,3.3747172060112976e-61,1.6756109734984533e-55,3.806371164559088e-63,4.679850073698469e-63,3.030066145590632e-67,4.945385640829558e-36,1.3628762212512593e-75,7.051176554444695e-54,5.25595626106754e-66,4.931943161327239e-53,1.1293070115376759e-60,2.4419180253999954e-58
