Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218)
0.0,0.08995120697357568,3.76,0.0,0.8221141273482387,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.986921917842277e-17,0.08995120697357568,3.76,0.0,0.8221141273482386,1.0,6.3757901211473105e-37,3.0273323868704077e-57,4.751394774300522e-37,2.9406250813383606e-16,2.2843280267344335e-17,9.428328856128204e-27,3.645582328903465e-19,3.6230168998339105e-27,2.2478722033208424e-17,4.9737505483780405e-28,2.051092081893035e-27,7.321867601289998e-27,2.1281091830655855e-45,4.56681957133409e-29,1.3957278999506936e-55,1.863761300527773e-28,1.5728009309624811e-28,3.637655684035497e-43,2.162309499898651e-44,1.5988036436812916e-26,1.1235317584558219e-54,8.200508215416557e-31,1.5749683063398497e-78,3.8349744190872846e-77,6.9083420015233765e-37,2.748290014163075e-68,2.2371565621095663e-54,9.203131810843275e-30,9.936360560874779e-59,4.640318547986017e-63,2.246883633189398e-55
1.1163381369958376e-16,0.08995120697357568,3.76,0.0,0.8221141273482382,1.0,7.569338038013921e-36,3.5940651460821087e-56,2.869842309790562e-36,8.233750227199305e-16,6.39611847624846e-17,5.694710628785123e-26,1.0207630592784144e-18,2.1883022083864767e-26,6.294042169568296e-17,3.004145348866211e-27,1.2388596157355455e-26,4.422408025754078e-26,2.526491222908945e-44,2.758359021180933e-28,3.122187483986978e-54,1.1257118234046535e-27,9.49971762755027e-28,4.3186248223784984e-42,2.5670955347332057e-43,4.489324803097252e-26,2.5132956415107185e-53,4.953102600519277e-30,6.499162985362187e-77,1.5825142225438433e-75,8.201576753157244e-36,1.6237221533062676e-66,7.033978179709234e-53,5.558691593454818e-29,2.2227259656886443e-57,1.4589892166164453e-61,7.064561638200894e-54
2.551630027419057e-16,0.08995120697357568,3.76,0.0,0.8221141273482375,0.9999999999999999,7.431620952125594e-35,3.5287068325626875e-55,1.381705399536179e-35,1.8820000516728784e-15,1.4619699380844691e-16,2.741758030887614e-25,2.3331727407963258e-18,1.0535733158018926e-25,1.4386382103142956e-16,1.4463666859371465e-26,5.964575748227231e-26,2.1291990903175098e-25,2.480524065673231e-43,1.3280311314866478e-27,6.1689163375238e-53,5.419817830222859e-27,4.573705114044222e-27,4.2400514476079303e-41,2.520390511936979e-42,1.0321065525438212e-25,4.965848697626049e-52,2.3847012466662129e-29,2.571013976962107e-75,6.260280170371531e-74,8.052342136753063e-35,7.304496362632232e-65,1.569241839569952e-51,2.6762707001505905e-28,4.391739961542688e-56,3.2549188226205466e-60,1.5760648362969177e-52
5.422213808265496e-16,0.0899512069735757,3.76,0.0,0.8221141273482363,0.9999999999999998,6.573184526014593e-34,3.1211583490017e-54,6.03426928811445e-35,3.999250108701811e-15,3.106686121230989e-16,1.197397764237999e-24,4.957992218799251e-18,4.601231476534377e-25,3.0571061974611284e-16,6.316663469951168e-26,2.604886917222517e-25,9.298771769549543e-25,2.1939954469370005e-42,5.79986085706871e-27,1.097725702786317e-51,2.366976818901264e-26,1.9974571893545124e-26,3.750277466828931e-40,2.2292574814886614e-41,2.2187340586960313e-25,8.836462469574183e-51,1.041457782925641e-28,9.175835575780714e-74,2.2342576048970507e-72,7.1221795395762555e-34,2.7528220213151927e-63,2.93901629994616e-50,1.1687977085193094e-27,7.814895264961868e-55,6.096080690787432e-59,2.9517950003178646e-51
1.1163381369958377e-15,0.08995120697357575,3.76,0.0,0.8221141273482339,0.9999999999999994,5.5251575769980785e-33,2.623617620128524e-53,2.5191876416123373e-34,8.23375021925182e-15,6.396118496433121e-16,4.998899955106628e-24,1.0207631634673502e-17,1.920923572662718e-24,6.294042173482397e-16,2.6370827869099856e-25,1.0874889977162132e-24,3.882054126524077e-24,1.8441853744391555e-41,2.4213277380482675e-26,1.8514748477693666e-50,9.88166212047701e-26,8.338990599252323e-26,3.152334145826281e-39,1.873825913178452e-40,4.673106519979734e-25,1.4903985570991416e-49,4.347848612353523e-28,3.1003542835779117e-72,7.549106089127375e-71,5.9865774920336035e-33,9.540965530016524e-62,5.076419796446927e-49,4.879500202987321e-27,1.318105981090752e-53,1.0529387258904202e-57,5.098491763432438e-50
2.2645716493344137e-15,0.08995120697357581,3.76,0.0,0.822114127348229,0.9999999999999988,4.529857862783134e-32,2.1511575713355105e-52,1.0291695323559718e-33,1.670275042632042e-14,1.297498328247376e-15,2.042213739816839e-23,2.0706912305895517e-17,7.847599630455506e-24,1.276791413243535e-15,1.077334472196296e-24,4.442747288987517e-24,1.585945745834188e-23,1.5119745961009468e-40,9.891913875527031e-26,3.0410530071164536e-49,4.0369812776951215e-25,3.406749782086524e-25,2.584473929370101e-38,1.5362766682280763e-39,9.90632125640996e-25,2.4479841167440448e-48,1.7762113680904914e-27,1.0193594467746184e-70,2.482016827608938e-69,4.908086497655518e-32,3.1758277233931346e-60,8.43454748263783e-48,1.9934349230454268e-26,2.1650247992503846e-52,1.7494481364367148e-56,8.471220186276917e-49
4.561038674011565e-15,0.08995120697357595,3.76,0.0,0.8221141273482192,0.9999999999999974,3.668396122799306e-31,1.742317992397654e-51,4.1600611840995985e-33,3.364075078433194e-14,2.6132712997100527e-15,8.254954442594103e-23,4.1705481006232906e-17,3.172125286772266e-23,2.5715658077982924e-15,4.354759059516108e-24,1.795829402248264e-23,6.410646007500535e-23,1.2244362368464513e-39,3.9984697512836666e-25,4.9296780048902944e-48,1.631812273756029e-24,1.377062753579385e-24,2.092973898828997e-37,1.2441181984070705e-38,2.1670630128287163e-24,3.9682877762815567e-47,7.179514839699151e-27,3.306467663546672e-69,8.05059503501031e-68,3.974580016345954e-31,1.036344772125302e-58,1.3750441383600883e-46,8.057781678905633e-26,3.5097014904669844e-51,2.8519594968461456e-55,1.3810226495368496e-47
9.15397272336587e-15,0.08995120697357623,3.76,0.0,0.8221141273481997,0.9999999999999949,2.9526439901162263e-30,1.4027792937865533e-50,1.6727369851725882e-32,6.751675127585226e-14,5.244817299653612e-15,3.3192808621889143e-22,8.370264783847561e-17,1.2754976615366045e-22,5.161114607964476e-15,1.7510301661151133e-23,7.220950356383587e-23,2.577692348989229e-22,9.855328203758174e-39,1.6077671048621039e-24,7.939094557988707e-47,6.561444542950184e-24,5.537108946995246e-24,1.6846073235503307e-36,1.001376990410804e-37,5.039076661663148e-24,6.390805228492583e-46,2.8866780487860225e-26,1.065351294315504e-67,2.5937565245609426e-66,3.198901573122577e-30,3.3486987067365987e-57,2.2207000264837113e-45,3.2399977671731155e-25,5.65259778944176e-50,4.605655741848346e-54,2.2303551277693673e-46
1.8339840822074478e-14,0.08995120697357678,3.76,0.0,0.8221141273481605,0.9999999999999897,2.3693102848035056e-29,1.1263003420572865e-49,6.708380786843588e-32,1.352687513608822e-13,1.0507909527613609e-14,1.331180074120883e-21,1.676970992291884e-16,5.115316385685628e-22,1.0340212252523547e-14,7.022419757845707e-23,2.895923507084323e-22,1.0337697491369866e-21,7.908280431941373e-38,6.447865212227446e-24,1.2744005345657606e-45,2.631432055656692e-23,2.2206284855796483e-23,1.351791035778717e-35,8.035458592494514e-37,1.2859712375984925e-23,1.0258658060708188e-44,1.1575480352937554e-25,3.4214459898591975e-66,8.328972092382302e-65,2.56661826630068e-29,1.0767290994095137e-55,3.5697106599133857e-44,1.299383370189422e-24,9.07473633748646e-49,7.402600580737728e-53,3.585230277350768e-45
3.6711577019491695e-14,0.08995120697357786,3.76,0.0,0.8221141273480822,0.9999999999999793,1.8983305194139962e-28,9.034657221232854e-49,2.6868172047684715e-31,2.7077274793890016e-13,2.1034094895825573e-14,5.3316636141210106e-21,3.356864729151695e-16,2.0487949155497062e-21,2.069840771854868e-14,2.812635283174244e-22,1.1598794673609283e-21,4.140469725797478e-21,6.336248227942874e-37,2.5825092978131316e-23,2.0423638996321755e-44,1.0539448301546566e-22,8.894097836998007e-23,1.083077416507041e-34,6.438207457965926e-36,3.680742482175398e-23,1.6440602863725483e-43,4.635117030012305e-25,1.0972361696681653e-64,2.670377079806113e-63,2.0559392866820266e-28,3.4533561271394725e-54,5.724844958865268e-43,5.204305846573071e-24,1.454665369961111e-47,1.1869010139294554e-51,5.749732032959415e-44
7.345504941432613e-14,0.08995120697358006,3.76,0.0,0.8221141273479257,0.9999999999999586,1.5198172287881605e-27,7.250109011701301e-48,1.0753997235860984e-30,5.417807267267764e-13,4.2086469281421046e-14,2.1340548526360305e-20,6.716671039025205e-16,8.200520788350026e-21,4.141479935822846e-14,1.125790713794913e-21,4.6425370710488624e-21,1.6572658190451827e-20,5.072851845004343e-36,1.0336767599128828e-22,3.2704435892096438e-43,4.218521659059379e-22,3.559957930307557e-22,8.671198529208563e-34,5.154580389163126e-35,1.1792867258555614e-22,2.632638838341561e-42,1.854364502419474e-24,3.51750368692593e-63,8.556354901452475e-62,1.6452356445751052e-27,1.10605001752646e-52,9.170413961083059e-42,2.0830744717008174e-23,2.3304531337045113e-46,1.9003724599638518e-50,9.2102726742623e-43
1.46941994203995e-13,0.08995120697358444,3.76,0.0,0.8221141273476126,0.9999999999999172,1.2163133608746892e-26,5.829321950332571e-47,4.302780706899649e-30,1.0837966268299515e-12,8.41912326493274e-14,8.538998628343446e-20,1.3436359003161128e-15,3.281277933114566e-20,8.284758546811842e-14,4.504658127748166e-21,1.8576167207455013e-20,6.63121309139943e-20,4.059824103532253e-35,4.136053621562975e-22,5.2348407128894666e-42,1.6879546935457333e-21,1.4244476192745966e-21,6.939583968253405e-33,4.125390495694485e-34,4.130749300267334e-22,4.213937685010511e-41,7.412758715552399e-24,1.1282473364659972e-61,2.7417193164882137e-60,1.315464265501404e-26,3.539149002132543e-51,1.4681203114027287e-40,8.334978020933211e-23,3.7337425453863976e-45,3.039553328075072e-49,1.4744991906996127e-41
2.939158837833327e-13,0.08995120697359318,3.76,0.0,0.8221141273469863,0.9999999999998344,9.732317674955357e-26,4.7075931139331206e-46,1.7212172910643225e-29,2.1678281971464884e-12,1.6840081777223585e-13,3.416155063571386e-19,2.6876036307175434e-15,1.312725997799628e-19,1.6571316901011833e-13,1.8021796702736356e-20,7.431653877734726e-20,2.652909935313463e-19,3.2484775272172475e-34,1.6546908967482203e-21,8.377452991666692e-41,6.752890236007271e-21,5.69872394459642e-21,5.552705195738908e-32,3.301194596394669e-33,1.534986255870246e-21,6.7436755834319175e-40,2.959908874250645e-23,3.62505882570125e-60,8.791568670141104e-59,1.0506172059873146e-25,1.131361139002588e-49,2.349677764724162e-39,3.3345073887008383e-22,5.986405421423164e-44,4.855727337038273e-48,2.3598798205402963e-40
5.878636629420081e-13,0.0899512069736107,3.76,0.0,0.8221141273457339,0.9999999999996686,7.786533864876528e-25,3.83561160499871e-45,6.884028416786027e-29,4.3358904182242815e-12,3.3682022156830744e-13,1.3665729073770986e-18,5.37565964036689e-15,5.251340635213376e-19,3.3144438138378546e-13,7.209490142715768e-20,2.972885397686523e-19,1.0612446594278412e-18,2.599031044499339e-33,6.619303268648467e-21,1.3405299717987463e-39,2.7013537987672417e-20,2.2796798272431525e-20,4.442559773456912e-31,2.6416151285624613e-32,5.905314256428592e-21,1.0790989334115422e-38,1.1795421864002502e-22,1.1690426755439822e-58,2.8239811325979776e-57,8.374630915650736e-25,3.611272489926142e-48,3.760038424412121e-38,1.333890260642761e-21,9.61507238826897e-43,7.741743397340128e-47,3.776341304795343e-39
1e-12,0.08995120697364573,3.76,0.0,0.8221141273439778,0.9999999999994362,4.599845869735128e-24,2.343438093907019e-44,2.1354829160279455e-28,7.375670024345167e-12,5.72957228219117e-13,4.240780093288768e-18,9.14484926827842e-15,1.6296138777847816e-18,5.638118186602057e-13,2.23736996179175e-19,9.225428084131153e-19,3.2932481221122238e-18,1.535386068294233e-32,2.054118687038247e-20,1.543772990545159e-38,8.382781999684948e-20,7.074383713532142e-20,2.6244229340463713e-30,1.5609985968151526e-31,1.799603615027428e-20,1.2427062332797081e-37,3.635317324150281e-22,2.6975614155079896e-57,6.466436557143315e-56,4.912803761253892e-24,8.166924847842721e-47,4.33021387381887e-37,4.139241199039294e-21,1.1153258837839213e-41,8.852351103506217e-46,4.348937754157399e-38
1.175759221259359e-12,0.08995120697364573,3.76,0.0,0.822114127343229,0.9999999999993371,6.2294275269409335e-24,3.179245113590777e-44,2.752603135960865e-28,8.672011182190491e-12,6.736599633764453e-13,5.466511413996863e-18,1.0752253843447846e-14,2.100629157430724e-18,6.629069872960881e-13,2.88406121629286e-19,1.1891880747114316e-18,4.245105930258851e-18,2.0793271681136093e-32,2.6478298452853554e-20,2.1449606703220263e-38,1.0805677790341109e-19,9.119128001888343e-20,3.554174601323358e-30,2.114046351846768e-31,2.3152232470393425e-20,1.7266502660222186e-37,4.6826045613790295e-22,3.7981057011672743e-57,9.103674974152797e-56,6.650769182076064e-24,1.1495776938574587e-46,6.0165220522532575e-37,5.33560815811771e-21,1.5499622318182317e-41,1.2297361721427706e-45,6.042535647671645e-38
