Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189),CH3CO(33),C3H3(2030),C4H7(59),C4H7(2027),H2CC(23),C3H3(3173),C3H5(76),C4H7(77),C3H5(220),C2H3O(232),S(2376),C4H7(2028),C4H6(86),C4H6(85),CH2OH(32)
0.0,0.296718711864028,3.76,0.0,0.7116579939136033,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1895187028054132e-19,0.296718711864028,3.76,0.0,0.7116579939136031,1.0,4.5000243171398526e-42,1.9624266603970256e-54,3.290482959321266e-36,4.0310131910543064e-16,2.4114570867783604e-18,1.6017148818229413e-23,6.562526628696418e-19,6.504115622489187e-30,1.7552044238549525e-18,1.9896860592251488e-30,5.275232775174879e-32,2.0194555774563224e-30,1.1666736162479454e-48,1.9503662370953582e-32,1.4498151583115641e-58,9.911797169966118e-31,8.24205600927616e-31,6.714941016251897e-47,4.7845949890270654e-46,2.110822522394283e-25,6.972455281154873e-61,8.602226614314863e-34,3.2361610746258273e-81,1.6481965604958013e-82,4.101430469108497e-43,1.6851476190969366e-64,3.5513961008926527e-53,1.1708725468290795e-31,1.039435097505684e-64,1.059285294431941e-65,3.5555811669849696e-57,4.239849490501339e-56,1.093385843665973e-77,4.902719004000897e-46,5.533276047585131e-79,1.7459982577705905e-65,1.983215011683873e-48,1.347138827632978e-78,1.2721672855838942e-83,1.2130203185535583e-84,1.6017086175211378e-23,4.536778282432713e-34,5.361705859046723e-51,1.4273114694467705e-49,1.151732042820828e-44,4.849590103492192e-80,5.384978306575537e-75,2.9425895954294472e-81,1.2757253092045003e-81,8.35274204212459e-92,1.1776944679567373e-46,4.9548066300744e-97,2.4865061773885515e-68,6.531009749866209e-91,1.6383436019399347e-67,8.660979633416565e-81,6.528930511565252e-79,2.929346390226539e-91,3.7130943660825817e-90,2.6572206693605817e-102,1.3614917222616036e-44
3.3306523678551567e-19,0.29671871186402804,3.76,0.0,0.7116579939136027,1.0,5.342429113468799e-41,2.3297929312757736e-53,1.9874517073483265e-35,1.128683693494993e-15,6.752079843167632e-18,4.484821965235859e-23,1.8375074560486496e-18,3.928485836075053e-29,4.914572386794235e-18,1.2017703797794401e-29,3.186240596224938e-31,1.2197511687728309e-29,1.3850749173116394e-47,1.1780212072056165e-31,3.2431785165883665e-57,5.986725490649135e-30,4.978201829615064e-30,7.971977974591017e-46,5.680273805482668e-45,5.910312294079977e-25,1.5597114390992638e-59,5.1957448714796074e-33,1.3508458394146386e-79,9.964592896416511e-81,4.869218249092259e-42,5.298104548431875e-63,5.366873585257725e-52,7.072070182727069e-31,2.3251747455838855e-63,3.330548777035902e-64,5.37442362296187e-56,6.4111266410642535e-55,4.511890376160198e-76,5.820508063369968e-45,3.1868854467315263e-77,5.489672178037778e-64,2.3544728601702275e-47,7.758804062006278e-77,7.739214412703091e-82,5.005562480935028e-83,4.4847841288529656e-23,2.7402140824189485e-33,6.3654172028102815e-50,1.6945041762635575e-48,1.3673362805375214e-43,2.0015458956487274e-78,3.260724448828584e-73,1.790120849283188e-79,6.094292905357766e-80,8.533715528546314e-90,1.3981588723810063e-45,5.475199267767663e-95,7.817955194413077e-67,7.274485028985186e-89,5.151212354150679e-66,3.573984108804204e-79,3.760312390648367e-77,3.07568009550237e-89,3.996036325760367e-88,5.174038933354498e-100,1.6163629726308253e-43
7.612919697954645e-19,0.2967187118640281,3.76,0.0,0.711657993913602,1.0,5.2452286907516415e-40,2.2874045155007608e-52,9.568724444480459e-35,2.579848442273266e-15,1.543332535669906e-17,1.0251117316588182e-22,4.200017042461272e-18,1.8913968231572308e-28,1.1233308312674271e-17,5.786007060338485e-29,1.5340376910498216e-30,5.872576819081168e-29,1.3598747674090045e-46,5.671665017473594e-31,6.407974226680012e-56,2.882350617010546e-29,2.3967898875159007e-29,7.826935248841882e-45,5.576927659770572e-44,1.3509328762955293e-24,3.0817279273176123e-58,2.501527494092907e-32,5.370613354454233e-78,4.4911543240354176e-79,4.780627342909486e-41,1.1819649224436668e-61,5.773446145342055e-51,3.404897365998096e-30,4.594153514472869e-62,7.430264465705356e-63,5.784294090795337e-55,6.905396620036601e-54,1.784859535725334e-74,5.714609462704768e-44,1.429133144136947e-75,1.2247144178485517e-62,2.3116354123460333e-46,3.479370682567543e-75,3.4938513247523536e-80,1.9801508892496607e-81,1.0250935150691739e-22,1.3192951242755562e-32,6.2496043708487854e-49,1.6636742479695488e-47,1.3424588669436862e-42,7.918522593291983e-77,1.4702540706234163e-71,8.081461209021935e-78,3.173285693402834e-78,8.120613562205825e-88,1.372720671920952e-44,4.953548599645059e-93,1.7441419210652297e-65,6.647177674204763e-87,1.1492070393451398e-64,1.4138337505428259e-77,1.6862800925063153e-75,2.8857554973840186e-87,3.70645465918256e-86,9.600628758644644e-98,1.5869547513496095e-42
1.617745435815362e-18,0.2967187118640282,3.76,0.0,0.7116579939136005,1.0,4.639345419104619e-39,2.0231833900844764e-51,4.178913357071367e-34,5.482177939826405e-15,3.2795816386773474e-17,2.178403275739878e-22,8.925036215504947e-18,8.260226841980815e-28,2.387078016444024e-17,2.5269012953314175e-28,6.699545624771419e-30,2.5647085832023193e-28,1.2027938320539286e-45,2.4769651211114066e-30,1.1402647760426709e-54,1.2587982405695747e-28,1.0467411131970781e-28,6.922835590741216e-44,4.932729815896315e-43,2.870750940272166e-24,5.48377097431118e-57,1.0924827744898037e-31,1.9212151321559206e-76,1.6946990033922515e-77,4.228410731477002e-40,2.2136797746966125e-60,5.306807242449701e-50,1.487008134286031e-29,8.175050866810678e-61,1.3916058046635698e-61,5.321799187300674e-54,6.363087525502704e-53,6.370037832689453e-73,5.054507586810538e-43,5.376756226845588e-74,2.293753636880063e-61,2.0446153373729607e-45,1.3090258152794218e-73,1.3192117791804427e-78,7.067018948542803e-80,2.178323719106975e-22,5.761708416044259e-32,5.527704317683931e-48,1.47150103082357e-46,1.1873896623129524e-41,2.826165823602448e-75,5.5487728768171097e-70,3.051405983979228e-76,1.2663750288046764e-76,6.290624750057534e-86,1.2141558888328943e-43,3.7489202606761306e-91,3.266584138764471e-64,5.059468654837706e-85,2.152337525364311e-63,5.045874187245594e-76,6.344204502769098e-74,2.22277070535184e-85,2.840643846570398e-84,1.4732630074694821e-95,1.4036435057337123e-41
3.330652367855157e-18,0.2967187118640284,3.76,0.0,0.7116579939135976,1.0,3.8996493830825083e-38,1.7006075455711713e-50,1.7446140638921577e-33,1.1286836934919057e-14,6.752079845896852e-17,4.485116259144382e-22,1.837507456246602e-17,3.448482104321362e-27,4.9145723867995744e-17,1.0549315487051048e-27,2.7969284176671125e-29,1.0707153470168534e-27,1.0110206902324836e-44,1.0340841789082306e-29,1.9232232096689733e-53,5.255234859370934e-28,4.369938096289272e-28,5.819060446762844e-43,4.146256809652984e-42,5.9104461490317274e-24,9.249181915192288e-56,4.560900501156088e-31,6.498769794781322e-75,5.878015627722013e-76,3.554233976366249e-39,3.823573265663095e-59,4.540111956409336e-49,6.207966241605669e-29,1.378841869203108e-59,2.4036525372402193e-60,4.561532939259834e-53,5.470868761724879e-52,2.1522919593952672e-71,4.248618575513843e-42,1.8618000574569493e-72,3.9618882292839286e-60,1.7186223775961172e-44,4.532740147326345e-72,4.5769584801456785e-77,2.387786707523598e-78,4.484784125862764e-22,2.405399842964543e-31,4.646368592235483e-47,1.2368852793231745e-45,9.980725523340863e-41,9.54914348760079e-74,1.9247161181068423e-68,1.0586744877805138e-74,4.500895270837271e-75,4.418073256604023e-84,1.0205711830887282e-42,2.6044660650512354e-89,5.642211219885453e-63,3.525071204541142e-83,3.7176277662804483e-62,1.704887167680368e-74,2.1967961529571582e-72,1.5572910780533446e-83,1.9856209148799663e-82,2.060943839453504e-93,1.1798469421921984e-40
6.756466231934747e-18,0.29671871186402865,3.76,0.0,0.7116579939135917,1.0,3.1971681777587905e-37,1.394260812667049e-49,7.127317699556421e-33,2.289615492504985e-14,1.369707626515435e-16,9.099061806922912e-22,3.727515125988304e-17,1.4088174613753456e-26,9.969561127520104e-17,4.309739592603989e-27,1.1426365202620657e-28,4.3742215577193546e-27,8.28895846176436e-44,4.22457128420033e-29,3.1588998978447172e-52,2.146934914080488e-27,1.7852622999780782e-27,4.770817328078531e-42,3.39935190844106e-41,1.1990072889775989e-23,1.5191809602813477e-54,1.863276651442299e-30,2.1378636008622925e-73,1.957357379378701e-74,2.913975711748196e-38,6.352917514026492e-58,3.753896410257065e-48,2.536156769909467e-28,2.264752079626485e-58,3.993704256018282e-59,3.78582280801542e-52,4.568262174307372e-51,7.076265265953397e-70,3.4832748415625176e-41,6.194326494730857e-71,6.582735931758061e-59,1.4090304422627354e-43,1.508071094505978e-70,1.5243182580131664e-75,7.850525060873987e-77,9.097704934095083e-22,9.826843210716874e-31,3.809373765921374e-46,1.0140732787074592e-44,8.182801721355265e-40,3.139576946403696e-72,6.40945547468833e-67,3.5258280577773145e-73,1.5160255359789037e-73,2.9601439339799995e-82,8.367259164465514e-42,1.735865600008274e-87,9.374617888528179e-62,2.352804911309461e-81,6.17689408931668e-61,5.60529652436458e-73,7.308878408564001e-71,1.0422086390228564e-81,1.327407481024513e-80,2.756434837402341e-91,9.673098061608262e-40
1.3608093960093928e-17,0.2967187118640293,3.76,0.0,0.71165799391358,0.9999999999999999,2.5891496850629987e-36,1.1291085554428854e-48,2.880975766128419e-32,4.611479090509339e-14,2.7587069122943307e-16,1.8329031226358058e-21,7.507530466869661e-17,5.694665433936999e-26,2.0079538608998866e-16,1.742065650506289e-26,4.618719507715009e-28,1.768130290882647e-26,6.712613484724487e-43,1.7076392581582581e-28,5.1207128635153267e-51,8.678254187558925e-27,7.216315656001024e-27,3.86353156568733e-41,2.752883334024123e-40,2.4150271664164936e-23,2.462657850098443e-53,7.531661961200058e-30,6.936067419990986e-72,6.38871419517384e-73,2.3598130167529805e-37,1.0356853481088475e-56,3.0526778578428913e-47,1.0251551154595915e-27,3.6712612639727327e-57,6.51074546775282e-58,3.1017597356853216e-51,3.7877673579468337e-50,2.2951696834098845e-68,2.820847317564216e-40,2.0209025502323638e-69,1.0731520506314862e-57,1.1410693550876808e-42,4.920089769762052e-69,4.975628598612482e-74,2.546302088564363e-75,1.8323546529442703e-21,3.972167135040265e-30,3.084929757334716e-45,8.212228282802888e-44,6.626644869636025e-39,1.0183187662409634e-70,2.0920488601593094e-65,1.1508890012504408e-71,4.975747935616281e-72,1.9380864942933827e-80,6.776023411061054e-41,1.1335867175352791e-85,1.5282992845564156e-60,1.537563300103938e-79,1.0069896307137908e-59,1.8180645761939726e-71,2.384525298407232e-69,6.819866764555088e-80,8.681442144235005e-79,3.60610525016152e-89,7.833525595845256e-39
2.7311349416412286e-17,0.29671871186403054,3.76,0.0,0.7116579939135564,0.9999999999999997,2.0839729183082958e-35,9.088047967593127e-48,1.158427681321156e-31,9.255206286430832e-14,5.536705491561702e-16,3.679728336074053e-21,1.5067561154224187e-16,2.2897999285769415e-25,4.0299493572107233e-16,7.004769364815555e-26,1.8571668009532194e-27,7.109574130156974e-26,5.4028953434468693e-42,6.866342352359033e-28,8.246750213158322e-50,3.489487840055565e-26,2.901648787255986e-26,3.1097063263182796e-40,2.2157600070394202e-39,4.847445038454352e-23,3.966034600978092e-52,3.0284480074178314e-29,2.2348627308096134e-70,2.0646539649890635e-71,1.899382711075343e-36,1.672634151151921e-55,2.46221084509033e-46,4.122103626511345e-27,5.9124548523694165e-56,1.0514870603514307e-56,2.5390915332036505e-50,3.17261802992185e-49,7.394194711259482e-67,2.2704650049172513e-39,6.5295408167235235e-68,1.7331434051854677e-56,9.184318416641455e-42,1.5896817390330016e-67,1.6080371365158117e-72,8.203271353142321e-74,3.677522963566985e-21,1.5971909279892052e-29,2.4830200398823582e-44,6.6099156982032135e-43,5.333700106559178e-38,3.2806572304627995e-69,6.76097393801695e-64,3.719474377276282e-70,1.6124209211728593e-70,1.254515281474634e-78,5.453933148106645e-40,7.328271060848478e-84,2.468207403712719e-59,9.943366530261518e-78,1.6262909450657832e-58,5.857137343760961e-70,7.704404476591322e-68,4.4132766449393025e-78,5.6164449584545696e-77,4.666323508009132e-87,6.305102890480466e-38
5.4717860329049e-17,0.29671871186403315,3.76,0.0,0.7116579939135095,0.9999999999999992,1.6722570229693829e-34,7.292586166612095e-47,4.645813095495126e-31,1.8542660677924957e-13,1.1092702680934768e-15,7.376704081155296e-21,3.018762255130048e-16,9.183121880833614e-25,8.07394034989273e-16,2.8092258136328324e-25,7.448069516131058e-27,2.8512572062293744e-25,4.3354832936082727e-41,2.75371038796987e-27,1.323786050148477e-48,1.3994406946889463e-25,1.163690943494443e-25,2.4953434885847693e-39,1.7780078550939608e-38,9.713793251169524e-23,6.366363968496924e-51,1.2145429879434888e-28,7.17619125357607e-69,6.639509245363635e-70,1.524134839946366e-35,2.68871014709497e-54,1.977967303198208e-45,1.653147915978476e-26,9.490805117069619e-55,1.6902345624108335e-55,2.0996359428242603e-49,2.737419832466581e-48,2.3741207220107374e-65,1.8219078666386983e-38,2.0995348295082182e-66,2.7859774318576362e-55,7.36983638132471e-41,5.111524188187029e-66,5.171206129377468e-71,2.6339112321297594e-72,7.36785955102518e-21,6.40544992791916e-29,1.9924675091537466e-43,5.3040409550926505e-42,4.279958126532333e-37,1.0533517413029575e-67,2.1742012558454963e-62,1.1961272156071632e-68,5.192253653269323e-69,8.074450908290136e-77,4.376437884547023e-39,4.713698059458168e-82,3.96757131112301e-58,6.396911784946805e-76,2.6142152099649814e-57,1.8806039870530535e-68,2.477303851708278e-66,2.840141242918718e-76,3.6139551906725982e-75,6.005436380315073e-85,5.059447971441201e-37
