Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189),CH3CO(33),C3H3(2030),C4H7(59),C4H7(2027),H2CC(23),C3H3(3173),C3H5(76),C4H7(77),C3H5(220),C2H3O(232),S(2376),C4H7(2028)
0.0,0.3556026487033637,3.76,0.0,1.0072423114953293,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.403218988525233e-18,0.3556026487033637,3.76,0.0,1.007242311495329,1.0,2.3458760709850986e-40,1.2564310615879493e-54,8.92444828951523e-37,3.9367075539710356e-16,3.6057636750697974e-18,5.0680185409485296e-24,4.183156174436663e-19,3.6420089368798294e-29,3.1874480572946337e-18,1.104264045330616e-29,9.443407971659793e-31,2.2234112026725016e-29,4.107529152986047e-48,2.068369272026659e-31,6.527169887798081e-57,4.734709985777386e-30,4.132377134197771e-30,6.298521411505773e-46,1.2313648856526322e-44,3.415349043661773e-26,2.177032924063164e-59,4.468729707210106e-33,4.088847583792222e-80,5.872708078845431e-81,2.716240689973675e-41,2.7128921819592366e-63,1.840993383337142e-52,4.0465736439995125e-31,2.560044570367377e-63,3.615258642169387e-65,1.41606898499147e-56,1.5629257895958978e-55,6.479638475159947e-76,1.4013284030271808e-44,2.394543508127657e-77,3.3223252973635415e-64,7.261275247240667e-48,5.918627122355919e-77,1.2950856592201356e-82,2.004516644011473e-83,5.067636352679665e-24,1.3890096264107408e-33,1.1809911465126283e-49,3.7937779407797007e-48,3.337053887550978e-43,1.0442808397144944e-78,3.9266583037967825e-73,4.683673671996263e-80,2.4473284201693984e-80,3.618208389897801e-89,5.7532347915110725e-46,1.3300141746182606e-95,2.9550742149893942e-67,2.832506360106334e-88,2.022765915499759e-66,2.5718239189226698e-79,1.3066951641213957e-76,1.3576043084590755e-88
3.9290131678706524e-18,0.35560264870336383,3.76,0.0,1.0072423114953286,1.0,2.7850240992155068e-39,1.49163495563977e-53,5.390366764032602e-36,1.1022781151105648e-15,1.009613829134909e-17,1.4191690197416885e-23,1.171283728917826e-18,2.199773398086637e-28,8.92485456042901e-18,6.669754834155956e-29,5.703818414969509e-30,1.3429403663576195e-28,4.876458612351256e-47,1.2492950403044397e-30,1.460101795275877e-55,2.8597648313209657e-29,2.4959557890795817e-29,7.47760462016622e-45,1.461876432346726e-43,9.56330503380941e-26,4.8699364237461855e-58,2.699112722786722e-32,1.7076445937854619e-78,3.553755731565432e-79,3.224720921307581e-40,8.529654969907966e-62,2.782120286027856e-51,2.4441304807497134e-30,5.726717407611742e-62,1.1366873265406752e-63,2.14429202127709e-55,2.377785156137291e-54,2.6738414084367565e-74,1.6636572502310986e-43,1.3791347064540075e-75,1.0445909949885006e-62,8.620585911739466e-47,3.4088234562352933e-75,7.87863803838337e-81,8.271696931796914e-82,1.4189381780272947e-23,8.389618137832046e-33,1.4020727171805072e-48,4.503973164187286e-47,3.9617503557214344e-42,4.3097553937611036e-77,2.374415809113949e-71,2.849307257741483e-78,1.1691182407027528e-78,3.9326610818841267e-87,6.830240344746283e-45,1.4697026899031008e-93,9.291214201086776e-66,3.1977437000378857e-86,6.359898780573837e-65,1.0612714258779893e-77,7.525886345430599e-75,1.5010493834989771e-86
8.980601526561492e-18,0.35560264870336383,3.76,0.0,1.007242311495328,1.0,2.7343531876011335e-38,1.4644960432519118e-52,2.595229558339136e-35,2.5194928345321867e-15,2.3076887528522298e-17,3.2443986641397576e-23,2.6772199521683867e-18,1.0590961991614847e-27,2.039966756671392e-17,3.211199844359987e-28,2.7461430382891586e-29,6.46567977652307e-28,4.787735986545921e-46,6.014817843058595e-30,2.8849150995066846e-54,1.3768536637312002e-28,1.201695270660905e-28,7.3415565585697995e-44,1.4352789661796242e-42,2.1860527860330395e-25,9.622174480195147e-57,1.2995065683044282e-31,6.7906448904999575e-77,1.6021088886022248e-77,3.166050068162903e-39,1.9029136443151518e-60,2.9929027043484823e-50,1.1767436153360572e-29,1.1315029018826816e-60,2.535883061347556e-62,2.31635931231911e-54,2.5932598171339528e-53,1.0577451471757139e-72,1.6333889140554342e-42,6.184619063567203e-74,2.3304244488252783e-61,8.4637422366513e-46,1.5286592290407734e-73,3.556793786837321e-79,3.2722035600456245e-80,3.2432872606539036e-23,4.0392399850679385e-32,1.3765633673009534e-47,4.422027545741826e-46,3.889669950633169e-41,1.7049835099880049e-75,1.070233166718374e-69,1.2863134949847565e-76,6.087575044657373e-77,3.634938948903651e-85,6.705970473804756e-44,1.3296764803707513e-91,2.072818197201686e-64,2.9044722714499554e-84,1.4188583880682496e-63,4.198286127366313e-76,3.374922380037609e-73,1.375856760469891e-84
1.908377824394317e-17,0.355602648703364,3.76,0.0,1.0072423114953266,1.0,2.4185044334124875e-37,1.2953301627429312e-51,1.1334049283748103e-34,5.353922273354225e-15,4.9038386021327206e-17,6.896839205353477e-23,5.689092399878474e-18,4.6253513531112975e-27,4.334929357934835e-17,1.4024153381263895e-27,1.199312812535634e-28,2.8237322265172272e-27,4.234698267677692e-45,2.626828975479096e-29,5.133552279999329e-53,6.013081680564347e-28,5.248118960805164e-28,6.493523637172207e-43,1.26948799538326e-41,4.64602168982745e-25,1.712214602071104e-55,5.675286412450048e-31,2.429448426863104e-75,6.045996434525584e-76,2.800335333587397e-38,3.5639425302546014e-59,2.7510386298212564e-49,5.139148524376304e-29,2.0134491208700806e-59,4.749425353092695e-61,2.1468662751861397e-53,2.4487565903321355e-52,3.775017372484596e-71,1.4447146381070263e-41,2.326808466522544e-72,4.3646266392739484e-60,7.486083926677169e-45,5.751197669887643e-72,1.342977634712007e-77,1.1678280075518075e-78,6.891985414338936e-23,1.76404221672208e-31,1.2175548149525274e-46,3.9112332595599284e-45,3.440368948446352e-40,6.08511135035284e-74,4.0385183019186116e-68,4.856874999717396e-75,2.4293919033025974e-75,2.780658840145789e-83,5.9313549423771e-43,1.0063192040531947e-89,3.8821586459863037e-63,2.2046795099893278e-82,2.657364698666094e-62,1.4983388155426324e-74,1.269729998531004e-71,1.0487615841887264e-82
3.929013167870653e-17,0.3556026487033641,3.76,0.0,1.0072423114953237,1.0,2.0328987035258733e-36,1.0888030468670884e-50,4.731742443558356e-34,1.1022781150913486e-14,1.0096138308077102e-16,1.4209645297451117e-22,1.1712837300134505e-17,1.930993141280208e-26,8.924854560487566e-17,5.854807973351489e-27,5.006894907787584e-28,1.1788526188677957e-26,3.559519065398195e-44,1.0966493880332502e-28,8.658486258861116e-52,2.510343233223527e-27,2.190986356888255e-27,5.458197883884664e-42,1.0670811497568135e-40,9.568056851376572e-25,2.887900248619878e-54,2.369320206626709e-30,8.218355698508166e-74,2.0971267188171213e-74,2.353850417011901e-37,6.155820801038802e-58,2.353649208631572e-48,2.145493342895746e-28,3.395976784124684e-58,8.203448360841407e-60,1.8670461510655873e-52,2.2064134738601975e-51,1.2754930289297952e-69,1.2143707825328487e-40,8.057000350296757e-71,7.53880676423878e-59,6.292504219116354e-44,1.9914570967817053e-70,4.659413130901655e-76,3.945839059436376e-77,1.4189381675436254e-22,7.364528959851217e-31,1.0234283628958908e-45,3.287627179091246e-44,2.8918372748338627e-39,2.0560462236664998e-72,1.4007618362243197e-66,1.6850755573333992e-73,8.634442966407347e-74,1.9418079300817992e-81,4.985661221688935e-42,6.991144172931484e-88,6.705463268679209e-62,1.5340946425843992e-80,4.5899366446935906e-61,5.0625487385904867e-73,4.3966715228716094e-70,7.312172221592923e-81
7.970283854823324e-17,0.35560264870336444,3.76,0.0,1.007242311495318,0.9999999999999999,1.6666931796594304e-35,8.926665132889876e-50,1.93307116382274e-33,2.236049890569274e-14,2.0480737749499455e-16,2.886695752032626e-22,2.3760327119990014e-17,7.888737062586407e-26,1.8104704965696405e-16,2.3918800969885098e-26,2.045479941320881e-27,4.815997594755152e-26,2.9183088060865866e-43,4.480170578020547e-28,1.422158968940424e-50,1.0255571207131462e-26,8.950894170607594e-27,4.4749604000479967e-41,8.748575888722407e-40,1.942051659031156e-24,4.743384902158672e-53,9.679444889320117e-30,2.703618484262459e-72,6.98349707596124e-73,1.9298285170159056e-36,1.022798462188807e-56,1.9461712552020055e-47,8.765040349154922e-28,5.577903871835747e-57,1.363014854938687e-58,1.5939161719195668e-51,2.0086302969899822e-50,4.193541762299223e-68,9.95616305549753e-40,2.680615663287152e-69,1.2525839952804872e-57,5.158974493651818e-43,6.625703139792925e-69,1.5517790044631696e-74,1.2973135518451853e-75,2.8784174012539893e-22,3.008650343982534e-30,8.390686963292717e-45,2.695395317605772e-43,2.3709027118198147e-38,6.759873015288351e-71,4.664505759950589e-65,5.612005122506815e-72,2.9083206492329413e-72,1.297479851822383e-79,4.087546293251995e-41,4.659567927304803e-86,1.1141227178562252e-60,1.0232948663197019e-78,7.626248343246502e-60,1.6644553472144696e-71,1.4628001977385788e-68,4.882193754937799e-79
1.6052825228728668e-16,0.35560264870336517,3.76,0.0,1.0072423114953064,0.9999999999999997,1.3497313478014141e-34,7.229044746736941e-49,7.813782575593278e-33,4.503593441389416e-14,4.1249936750478514e-16,5.830838212078838e-22,4.785530683707479e-17,3.18875366118836e-25,3.64644057765276e-16,9.66836179849351e-26,8.268156971222663e-27,1.946703226181354e-25,2.363322164514116e-42,1.8109565794172353e-27,2.3053809766962857e-49,4.1454658500217514e-26,3.618094537436828e-26,3.6239389602901286e-40,7.084823433102607e-39,3.9158993731493065e-24,7.689231467336983e-52,3.912585378818744e-29,8.771742826475038e-71,2.2794005254643564e-71,1.5628247323715828e-35,1.667419101465395e-55,1.5828032605343732e-46,3.5429694388986494e-27,9.04202840111968e-56,2.22205752052791e-57,1.377803108716378e-50,1.93317609503065e-49,1.3601650347525115e-66,8.062787622983078e-39,8.745528589913865e-68,2.0420280450145984e-56,4.1778702601245245e-42,2.1616391676767014e-67,5.065264429347017e-73,4.207857297654577e-74,5.797375794638323e-22,1.2161445451000994e-29,6.795000567360008e-44,2.1828008913754495e-42,1.920018156166956e-37,2.192557283806042e-69,1.5224740628611853e-63,1.8318519216368246e-70,9.54541571763495e-71,8.483612975278193e-78,3.3102009695204256e-40,3.0428762449378124e-84,1.816301184247776e-59,6.68521271230683e-77,1.243270948838892e-58,5.3986211496282896e-70,4.772392824678433e-67,3.1910728047774905e-77
3.2217907976539356e-16,0.35560264870336655,3.76,0.0,1.0072423114952833,0.9999999999999993,1.0863812106642309e-33,5.818563936024832e-48,3.141887494740893e-32,9.038680542486869e-14,8.278833522497407e-16,1.176984319404993e-21,9.604526658073939e-17,1.2821838309091826e-24,7.318380739984403e-16,3.887605770441593e-25,3.324589556910125e-26,7.827608030876769e-25,1.9022073324140776e-41,7.281776757207084e-27,3.712745001868986e-48,1.666873582352718e-25,1.4548199015042998e-25,2.9168613623123782e-39,5.702482027859524e-38,7.877017866681801e-24,1.2383270587038867e-50,1.5732325632597727e-28,2.8263749234220115e-69,7.366422618503741e-70,1.2578966072120124e-34,2.6928851273697114e-54,1.2769254947742411e-45,1.4246124198543412e-26,1.4561926853852775e-54,3.5886269506336973e-56,1.2429679820869462e-49,2.0427663514366786e-48,4.381951627552705e-65,6.489679045388981e-38,2.8256853650099397e-66,3.2978807972135926e-55,3.362711777221211e-41,6.984259613905517e-66,1.6370054877954354e-71,1.3556507130141516e-72,1.1635292285261429e-21,4.8900635017430924e-29,5.469215208462353e-43,1.7569078641308712e-41,1.5453971191930436e-36,7.06364054868988e-68,4.920215839525357e-62,5.920228741240846e-69,3.0932591892389583e-69,5.4877783822894904e-76,2.6643377284105634e-39,1.96712087633095e-82,2.933331206323665e-58,4.322647200053385e-75,2.007885882902513e-57,1.7392377318948429e-68,1.541960515205978e-65,2.0638318956413342e-75
6.454807347216073e-16,0.35560264870336944,3.76,0.0,1.0072423114952371,0.9999999999999986,8.717525002710351e-33,4.669030815256502e-47,1.2600373193956062e-31,1.8108854742510447e-13,1.6586513406411499e-15,2.3850733405458193e-21,1.9242518730604891e-16,5.142130700003572e-24,1.466226106530931e-15,1.5591038028086488e-24,1.333309110995975e-25,3.139220900676469e-24,1.5264016677232499e-40,2.9203181651733533e-26,5.959778008561471e-47,6.684908564433205e-25,5.834478496827332e-25,2.3405975642104163e-38,4.575882315371981e-37,1.585294711470432e-23,1.9877892848609497e-49,6.309359732116274e-28,9.075730594003364e-68,2.368898504697681e-68,1.0093816841871246e-33,4.328730853916958e-53,1.02623791518617e-44,5.713332905057199e-26,2.337517814277434e-53,5.7686072745437134e-55,1.2100291159852244e-48,2.41775418753631e-47,1.406951985897451e-63,5.207632744613077e-37,9.085842087788156e-65,5.301247272351973e-54,2.698361737467606e-40,2.2457459729705983e-64,5.26436143098673e-70,4.352924829758493e-71,2.331112408192552e-21,1.9611339962625197e-28,4.3887129629624e-42,1.4098076056192153e-40,1.2400830107430927e-35,2.2679981046866498e-66,1.5822424314722587e-60,1.9038567566085065e-67,9.96085483134051e-68,3.5309422875189052e-74,2.1379632444187563e-38,1.2652934076537801e-80,4.715244103847284e-57,2.7806976365120314e-73,3.227617852095702e-56,5.5843276010994715e-67,4.958077380526594e-64,1.3277913151926569e-73
