Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16),CO(14),C2H5O(43),CH2CHO(34),C2H(21),CH3O(26),HCCO(20),C3H6(255),C3H6(60),C3H6(51),C3H5(214),CH2CO(27),CH2(S)(24),CH2(T)(17),C1OO1(799),CH2O2(129),CHO2(157),CO2(15),C2H5O(91),C2H2O(94),C3H7(48),C2H4(47),C2H2O(788),C3H7(196),C#CC(211),C3H4(1113),C3H4(430),C4H7(54),C4H7(1650)
5.008912020562634e-19,0.9366237755411254,3.76,0.0,0.8231923038643569,0.9999999999999998,2.6750814539373174e-38,1.1575407626108214e-46,8.468539752058779e-30,3.2878835586201434e-13,1.1040086228271268e-15,9.889678866702455e-20,3.145089551103736e-26,8.262275228768718e-16,8.001225300330292e-27,1.0686454651139981e-41,8.429900753901032e-53,2.7778109968509417e-16,2.735097741583461e-28,4.2049735882046544e-30,3.5345952509867685e-27,3.2924433047591053e-21,2.8975069284080674e-27,2.4539415730112924e-29,2.6277643798774696e-41,8.642829559220478e-41,3.3672922966906306e-30,5.986584654249833e-54,1.7375480374137042e-71,8.182162935884928e-28,8.457278465367276e-73,2.2034207822295005e-57,5.383136721578869e-47,2.093501847817587e-56,7.072733426843124e-58,1.6109730341015977e-57,9.88964772618893e-20,6.299584233941597e-30,3.358980801552791e-47,4.718712167844571e-46,1.3426442075408034e-40,3.3928571252883724e-41,4.098434647425867e-40,2.6618078744937645e-69,4.694921541255507e-50,2.8029674181974982e-42,4.654008636927625e-75,3.2985229064099887e-51,1.6649636392585088e-70,8.941377349017242e-84,1.654494034284974e-69,6.959865185969022e-72,1.299700176983446e-82
1.0022175832628798e-18,0.9366237755411533,3.76,0.0,0.8231923038641913,0.9999999999999994,2.141691729528481e-37,9.267364461196446e-46,3.389622865836943e-29,6.578623662462127e-13,2.208976419664624e-15,1.9788012317031161e-19,1.2588554547147059e-25,1.6531728803107959e-15,3.202575299698901e-26,8.555661545174379e-41,1.3498824565099687e-51,5.5580353829249305e-16,1.0947518836339487e-27,1.6830852832276323e-29,1.4147592425067323e-26,6.587750035889006e-21,1.1597578834785532e-26,9.822161448338431e-29,2.1038092971207945e-40,6.919519018224702e-40,1.3477944598395107e-29,9.586335446392852e-53,5.5648323108211616e-70,3.2749975073756225e-27,2.7096114514409715e-71,3.5295742815582388e-56,4.3108991683114466e-46,3.353501073073943e-55,1.132954256344509e-56,2.579655877453745e-56,1.978788767382254e-19,2.5214754135167288e-29,2.689227046640173e-46,3.7778389138920084e-45,1.0749317509753827e-39,2.7163487084410064e-40,3.281239739231529e-39,8.524952516059592e-68,3.7626771601274076e-49,2.2440782577231286e-41,1.4905359827934092e-73,2.6427798983827477e-50,5.334290880216641e-69,5.729474631218755e-82,5.300747347701151e-68,2.230648973885229e-70,8.332392463042756e-81
2.0048703456761123e-18,0.9366237755412088,3.76,0.0,0.82319230386386,0.9999999999999989,1.7140042884030656e-36,7.41670813729073e-45,1.356290665047807e-28,1.3160103870124497e-12,4.418912015068717e-15,3.9584866302080425e-19,5.03706155627505e-25,3.3070635953149956e-15,1.2814472746902643e-25,6.847129480087774e-40,2.1606910384058365e-50,1.1118484155069976e-15,4.380433514563365e-27,6.734533454635122e-29,5.660879779321235e-26,1.317837226072236e-20,4.6405421886512455e-26,3.930143975102426e-28,1.6836868282572772e-39,5.537718262197252e-39,5.3929334186577e-29,1.5344379833308093e-51,1.7814953280890306e-68,1.3104255909872296e-26,8.676012287096442e-70,5.650602310429029e-55,3.4505047836518387e-45,5.368722250833802e-54,1.813781078438575e-55,4.12912964968784e-55,3.9584367566890633e-19,1.0089186035158714e-28,2.1521989503440155e-45,3.0234192944536397e-44,8.602720941395032e-39,2.17390452990578e-39,2.625989023234671e-38,2.729132189146475e-66,3.016360622612273e-48,1.795944625736699e-40,4.771721702480902e-72,2.1173542593137053e-49,1.7079990498523287e-67,3.669103378928538e-80,1.6972585441627465e-66,7.143668739240172e-69,5.33731521356351e-79
4.010175870502578e-18,0.9366237755413198,3.76,0.0,0.8231923038631974,0.9999999999999978,1.3714638482923642e-35,5.934493410454576e-44,5.426045822742321e-28,2.6323064285362844e-12,8.838783212793298e-15,7.917932260974634e-19,2.015152618063085e-24,6.6148450258687985e-15,5.126623527594826e-25,5.47874390842873e-39,3.457809125954536e-49,2.2239381699348333e-15,1.7524586422568898e-26,2.694251909632777e-28,2.264720526116787e-25,2.6359651760683282e-20,1.8565190495305987e-25,1.5723135056405615e-27,1.3472052734492494e-38,4.431016009143234e-38,2.1575245307708886e-28,2.4556003492701093e-50,5.701983840385035e-67,5.2425556607038e-26,2.7771651860516584e-68,9.043592883730155e-54,2.7611640637991117e-44,8.592452835055233e-53,2.902893580650975e-54,6.607952578000733e-54,7.917732734423034e-19,4.03633138822115e-28,1.7220861577970995e-44,2.41919480021651e-43,6.883483801698194e-38,1.739453930956198e-38,2.1011901919045215e-37,8.735059310542715e-65,2.4212116924124375e-47,1.437028564751671e-39,1.527272294284814e-70,1.6976079499864877e-48,5.467239665035382e-66,2.3489433422526154e-78,5.432859246368034e-65,2.2868690963055323e-67,3.4173493358697803e-77
8.02078692015551e-18,0.9366237755415416,3.76,0.0,0.8231923038618723,0.9999999999999956,1.0972752568133159e-34,4.748045588787593e-43,2.170594973651402e-27,5.264898511549398e-12,1.7678525635908028e-14,1.5837122857534768e-18,8.061266520891018e-24,1.3230407889158019e-14,2.0508163089779324e-24,4.38341130813368e-38,5.533057452065586e-48,4.448117678785817e-15,7.010405080903765e-26,1.077788476432641e-27,9.059619385952408e-25,5.272235096178194e-20,7.42668058996174e-25,6.289765890170338e-27,1.0778665539645164e-37,3.545149403911023e-37,8.630800479151555e-28,3.929360275397497e-49,1.8248267176746647e-65,2.097192935099203e-25,8.888275137436409e-67,1.4471857297448941e-52,2.2093087984510052e-43,1.3749922613886197e-51,4.645305449178604e-53,1.0573802311285385e-52,1.583632468637238e-18,1.6146639629684397e-27,1.377799743124427e-43,1.9355396075295275e-42,5.507309910033632e-37,1.3916952996070703e-37,1.6811117524233364e-36,2.7955128276949567e-63,1.9492354416674485e-46,1.1497320059837142e-38,4.887786942474607e-69,1.363531880707973e-47,1.749779943119796e-64,1.5035535891632108e-76,1.7387763039578235e-63,7.319413599021507e-66,2.1875733212592278e-75
1.604200901946137e-17,0.9366237755419855,3.76,0.0,0.8231923038592219,0.9999999999999911,8.77861878984619e-34,3.798616908062835e-42,8.682733192012833e-27,1.0530082677437404e-11,3.5358010592799775e-14,3.16767013907628e-18,3.224637831407578e-23,2.6461533624462917e-14,8.203599045981077e-24,3.506895539459267e-37,8.853342259914844e-47,8.896476696469027e-15,2.8042761375077306e-25,4.311329343356642e-27,3.623995216092274e-24,1.0544831016868645e-19,2.970793119183638e-24,2.5160087332008285e-26,8.623341793375328e-37,2.8362541703753754e-36,3.4524606514230646e-27,6.287296253004251e-48,5.839752901663186e-64,8.389113088687806e-25,2.84446369625299e-65,2.315667472792784e-51,1.7677155341862355e-42,2.20014746588077e-50,7.433031020536722e-52,1.6918952514088908e-51,3.1673508576196706e-18,6.45891870451829e-27,1.1022921302957854e-42,1.548505199875419e-41,4.4060570760867176e-36,1.1134091331091274e-36,1.344953232945423e-35,8.94611123885576e-62,1.5787216422971846e-45,9.198292637629143e-38,1.5641752019047106e-67,1.0993328095157723e-46,5.599719431812407e-63,9.623482538389827e-75,5.564503606329735e-62,2.3424415961124367e-64,1.4001972645055279e-73
3.2084453218073096e-17,0.9366237755428732,3.76,0.0,0.8231923038539214,0.9999999999999822,7.023061731047753e-33,3.038965836361091e-41,3.47316393411962e-26,2.106045100866052e-11,7.071698094923242e-14,6.336064781764966e-18,1.289881384561752e-22,5.292378512997856e-14,3.2815063834381114e-23,2.8055830489341075e-36,1.4165707986361445e-45,1.7793194731760406e-14,1.1217332754051719e-24,1.7245668304691575e-26,1.4496275794353123e-23,2.1090247180132305e-19,1.1883414251652782e-23,1.0064239690441227e-25,6.898837182096915e-36,2.26905719890379e-35,1.3810123398594825e-26,1.0059929924078949e-46,1.8687703470593652e-62,3.355713501950021e-24,9.102630077423667e-64,3.7052093157743875e-50,1.414467778300659e-41,3.520363791474478e-49,1.1893288872894395e-50,2.7071038979134903e-50,6.334787629954786e-18,2.58362007561358e-26,8.818546491089567e-42,1.2388335709993895e-40,3.524929305397428e-35,8.907485102831912e-36,1.0759881003000481e-34,2.862830830359402e-60,1.2937935857106431e-44,7.3588086702051595e-37,5.005499682681051e-66,8.929957184235763e-46,1.7919795202692533e-61,6.15927059229689e-73,1.780709063029958e-60,7.496180059437266e-63,8.961743631854926e-72
6.416934161529655e-17,0.9366237755446487,3.76,0.0,0.8231923038433203,0.9999999999999645,5.618516066330384e-32,2.431201806512879e-40,1.3892797024966217e-25,4.212118766889518e-11,1.4143492343269428e-13,1.2674769811314411e-17,5.159578098082087e-22,1.0584828828063321e-13,1.312615907977863e-22,2.244493115901611e-35,2.2665421367022265e-44,3.5586630802043014e-14,4.486978734563572e-24,6.898337548567588e-26,5.798569305311913e-23,4.2181976794189834e-19,4.753414059448209e-23,4.0257368278504914e-25,5.519135242887166e-35,1.8152673080786346e-34,5.524105413219288e-26,1.6096092813634736e-45,5.9801456668006135e-61,1.3422990506775663e-23,2.912897787603241e-62,5.928464345736872e-49,1.131993085572198e-40,5.632684225950735e-48,1.9029630814507332e-49,4.331429796389073e-49,1.2669661152106018e-17,1.0334585669735411e-25,7.054921133396992e-41,9.910786290331713e-40,2.819976875487872e-34,7.126073632368886e-35,8.608006553283432e-34,9.161179039693937e-59,1.0842941006858346e-43,5.887116632391838e-36,1.6017857438274513e-64,7.360108401087059e-45,5.734455084488103e-60,3.94201706855393e-71,5.698382757238777e-59,2.3988364235972044e-61,5.7356699262802423e-70
1.2833911840974343e-16,0.9366237755481995,3.76,0.0,0.8231923038221182,0.9999999999999288,4.494839527332952e-31,1.9449734411760524e-39,5.557147045890486e-25,8.424266098051819e-11,2.828708154820043e-13,2.5359842847099662e-17,2.0638417955429345e-21,2.1169729514043603e-13,5.250490353032583e-22,1.7956052106173414e-34,3.626490598156722e-43,7.117350294140766e-14,1.7948006138405917e-23,2.7593490966783604e-25,2.319439520530458e-22,8.436902517241892e-19,1.901375298278182e-22,1.6103029213369722e-24,4.415334389170788e-34,1.452222471905163e-33,2.2096532918545423e-25,2.5753913079985634e-44,1.9136604530385933e-59,5.369223474475234e-23,9.321367656531306e-61,9.485698829182403e-48,9.062431693697747e-40,9.012376108095363e-47,3.0447759300423047e-48,6.93035888184369e-48,2.5339408106332523e-17,4.1338554844302035e-25,5.643970739020315e-40,7.928676243706018e-39,2.2559948296066293e-33,5.700894300227246e-34,6.886445453243575e-33,2.9315965580723285e-57,9.46231314368863e-43,4.709720978597753e-35,5.12577876777136e-63,6.233783415502928e-44,1.835051156076469e-58,2.5229261170785074e-69,1.8235039466170817e-57,7.676371224900167e-60,3.6708780761208636e-68
2.566786719986372e-16,0.9366237755553011,3.76,0.0,0.8231923037797138,0.9999999999998577,3.595882293999373e-30,1.5559840968131007e-38,2.2228644480140998e-24,1.68485607568379e-10,5.657426279101691e-13,5.076064082540024e-17,8.255388649209577e-21,4.2339531109401607e-13,2.10020149488678e-21,1.4364885310636243e-33,5.802403795536516e-42,1.4234724721533466e-13,7.179220642520984e-23,1.1037424796083908e-24,9.277781685698165e-22,1.6875747852927897e-18,7.605520563741071e-22,6.441228064382082e-24,3.5322779825997e-33,1.1617814369965134e-32,8.838634746686314e-25,4.120639460320883e-43,6.123741676876226e-58,2.1476948216338906e-22,2.9828559277540708e-59,1.5177410260564504e-46,7.260238650955226e-39,1.4419865628349207e-45,4.87168711998948e-47,1.1088696327578466e-46,5.0678901654481766e-17,1.6535465514776437e-24,4.515190533572474e-39,6.342960075110959e-38,1.8048011260441121e-32,4.560731476463595e-33,5.509171662881678e-32,9.38113983616869e-56,8.830511590496209e-42,3.76778752239993e-34,1.6402742498879435e-61,5.540088831692633e-43,5.872244416220953e-57,1.614694662618426e-67,5.835267856860284e-56,2.4564543109117023e-58,2.3493778059947388e-66
