Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189),CH3CO(33),C3H3(2030),C4H7(59),C4H7(2027),H2CC(23),C3H3(3173),C3H5(76),C4H7(77),C3H5(220),C2H3O(232),S(2376),C4H7(2028),C4H6(86),C4H6(85),CH2OH(32),C4H6(3180)
0.0,0.1405024733077536,3.76,0.0,0.8741589169621808,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.324322506616174e-21,0.1405024733077536,3.76,0.0,0.8741589169621806,1.0,2.3560174560654314e-43,2.518180101860559e-54,9.433503668671338e-36,4.0618660342991887e-16,2.872504027876543e-18,6.189729276506985e-23,1.2542149900883067e-18,1.9276460638732886e-30,1.6182890377702488e-18,9.215236648100353e-31,1.1063320351290021e-32,4.203124876361377e-31,4.998928591967111e-49,6.151131508087869e-33,7.642590390848541e-60,2.5915509029930373e-31,1.927697911455271e-31,1.0113958580288717e-47,4.2859145877724555e-47,1.0559462018819397e-24,4.281338654794739e-62,3.174793676514572e-34,5.674914398500106e-82,1.4915015015419349e-83,1.8365919649461344e-44,3.0744463523550136e-65,1.9485135516180712e-53,3.6560491795364054e-32,7.89545040504863e-66,5.075961993990453e-66,4.805086193026219e-57,6.134636542655092e-56,3.5771925683444964e-79,3.7180575812285505e-47,1.9704025966334952e-80,1.5058263232661313e-66,8.032606393981272e-49,4.396066290851007e-80,5.65477964891533e-84,1.3363253657307145e-85,6.189727283152702e-23,2.336980091039693e-34,9.501813031717185e-52,2.0603653786410918e-50,7.988367780536972e-46,4.703838373776835e-81,1.3233566782298844e-76,4.5279830868673957e-82,1.4805464047246306e-82,1.2799411678840833e-93,3.7897071260162715e-47,3.894399027263962e-98,3.4003945563265184e-69,1.2317689444604786e-92,2.164810843065299e-68,1.0455774685963402e-81,1.1613657640739435e-80,3.7839406600699386e-93,4.492591768779451e-92,6.942521044058904e-105,1.054782316320585e-45,9.228282138065014e-94
2.0508103018525288e-20,0.1405024733077536,3.76,0.0,0.8741589169621803,1.0,2.797064483310438e-42,2.9895834170349297e-53,5.697836215840391e-35,1.137322489603706e-15,8.04301127811563e-18,1.7331248432576993e-22,3.5118019722501805e-18,1.1642982225868821e-29,4.531209305756798e-18,5.5660029354564745e-30,6.682245492197178e-32,2.53868742531699e-30,5.934728024482201e-48,3.715283430885068e-32,1.7096169000799468e-58,1.56529674540758e-30,1.1643295385197917e-30,1.2007291626554768e-46,5.088255068978592e-46,2.9566496998319267e-24,9.577206715346172e-61,1.9175753804445706e-33,2.3699721001912748e-80,9.022936510475646e-82,2.180401980559891e-43,9.664969761994256e-64,2.9445939246049944e-52,2.2082537044318927e-31,1.7661806756912984e-64,1.595957364770382e-64,7.2615503083593955e-56,9.270961637049058e-55,1.476142088424495e-77,4.4140779661279324e-46,1.1348564696882743e-78,4.734470472783602e-65,9.536310310007946e-48,2.531874996389854e-78,3.440078413474467e-82,5.514384065868301e-84,1.733123639271713e-22,1.4115359749776136e-33,1.128055243223261e-50,2.4460657774657397e-49,9.483790228417476e-45,1.941651244007925e-79,8.003497717823665e-75,2.7545930773264138e-80,7.072747843103879e-81,1.2552248920348087e-91,4.499140300029639e-46,4.30341934517057e-96,1.0691312463249413e-67,1.3651706105967472e-90,6.806500880015092e-67,4.314622716146653e-80,6.68874943286067e-79,3.800926895592508e-91,4.645969798196299e-90,1.2992594782748058e-102,1.2522375659320667e-44,9.630827263226416e-92
4.687566404234351e-20,0.14050247330775362,3.76,0.0,0.8741589169621795,1.0,2.746174741236048e-41,2.935190727042872e-52,2.7432628667939777e-34,2.599594261951012e-15,1.8384025778839018e-17,3.9614312578146773e-22,8.02697593658561e-18,5.605594753854753e-29,1.0357049841730303e-17,2.6797908172733757e-29,3.217213558182144e-31,1.2222687140379657e-29,5.826751167098228e-47,1.7887490425519462e-31,3.3779148995081365e-57,7.53623002590053e-30,5.605745526524045e-30,1.1788830121295464e-45,4.9956865674115366e-45,6.758058033981877e-24,1.892296726056977e-59,9.232300008750907e-33,9.424345765819918e-79,4.0673319311221206e-80,2.140731593646308e-42,2.1561248767964787e-62,3.1676603204137e-51,1.0631791013970424e-30,3.489675396413806e-63,3.560490030074668e-63,7.811875898685839e-55,9.973942284152767e-54,5.839477932057157e-76,4.3337679343292044e-45,5.089173565545361e-77,1.0562300294608662e-63,9.362806009952041e-47,1.1353954252027235e-76,1.5530158348052741e-80,2.1814355216120642e-82,3.961425461140425e-22,6.795938104587385e-33,1.1075313272800328e-49,2.4015618851672665e-48,9.31124148302147e-44,7.682019965051202e-78,3.6076093462036477e-73,1.2435549874061356e-78,3.6827651403843726e-79,1.2176020294558185e-89,4.417282626156237e-45,3.893410236135329e-94,2.385169501302662e-66,1.2501681874485587e-88,1.518492380982087e-65,1.70682509855316e-78,2.999503130988148e-77,3.639801076623049e-89,4.3873925400278323e-88,2.4537757160728283e-100,1.2294542678883438e-43,9.05647691915638e-90
9.961078608997995e-20,0.14050247330775367,3.76,0.0,0.8741589169621781,1.0,2.4289605565448947e-40,2.5961429584621526e-51,1.1980549658637581e-33,5.524137806644552e-15,3.9066054781266664e-17,8.418054420300534e-22,1.7057323865303215e-17,2.4481105012340106e-28,2.2008730913678927e-17,1.1703350543147313e-28,1.4050416846417377e-30,5.33796859289708e-29,5.153695421803171e-46,7.811937015271525e-31,6.010819082508295e-56,3.291269646797825e-29,2.4481763475607151e-29,1.0427086738166867e-44,4.418631199959572e-44,1.4360880055281684e-23,3.367242609725816e-58,4.0319879665349177e-32,3.371670314751705e-77,1.534859567357331e-78,1.8934528507215523e-41,4.038126207755295e-61,2.911626579612203e-50,4.643182457885738e-30,6.209690944400638e-62,6.668401502825774e-62,7.180886097657586e-54,9.16899580563328e-53,2.0840692827213384e-74,3.8331686810063914e-44,1.914674747197569e-75,1.9781987599339753e-62,8.281295881906611e-46,4.271636123310791e-75,5.863892293673299e-79,7.785388597419555e-81,8.4180291047011505e-22,2.967964715458869e-32,9.795989169542843e-49,2.1241542903923563e-47,8.235687642879514e-43,2.741832349638872e-76,1.3613511697396272e-71,4.6954270175961174e-77,1.4696948929503373e-77,9.509500534253217e-88,3.9070364587882406e-44,2.9465915652054966e-92,4.467155903459725e-65,9.52515304051143e-87,2.8439677860505003e-64,6.0915429288385905e-77,1.128486165272015e-75,2.8285655839929647e-87,3.389514847551263e-86,3.7958305787594834e-98,1.0874383767994121e-42,6.983803747126311e-88
2.0508103018525284e-19,0.14050247330775373,3.76,0.0,0.8741589169621751,1.0,2.0416877422291006e-39,2.1822145865570027e-50,5.00164364461203e-33,1.1373224896027347e-14,8.043011279004546e-17,1.7331342078759855e-21,3.511801972292538e-17,1.0220379431690573e-27,4.531209305758266e-17,4.885918470876687e-28,5.865772450505112e-30,2.2284968093731196e-28,4.3319915360787266e-45,3.261329925588126e-30,1.0138124942889799e-54,1.3740402887639095e-28,1.0220654326648532e-28,8.764594682762147e-44,3.714126957597104e-43,2.9566545509880947e-23,5.679348204451066e-57,1.6832756049132956e-31,1.140566529572873e-75,5.32375223128352e-77,1.5915612087032594e-40,6.9748115972365e-60,2.4909595601530963e-49,1.938437274877253e-29,1.0473551503524055e-60,1.1518003390987366e-60,6.144128981098289e-53,7.846365134664356e-52,7.041600855852349e-73,3.222009278213957e-43,6.629911841764892e-74,3.4168437760580666e-61,6.960928168377505e-45,1.4791311056436768e-73,2.0344566407498433e-77,2.630506963085997e-79,1.7331236391115816e-21,1.2390668441237319e-31,8.234119155822343e-48,1.785479670610193e-46,6.922591697211792e-42,9.264319797227307e-75,4.7218869221979815e-70,1.6290617569641922e-75,5.2235258494853625e-76,6.703667171747711e-86,3.2840995603647424e-43,2.047068811794052e-90,7.715898769074879e-64,6.63958471648e-85,4.912246784619304e-63,2.058195564920206e-75,3.907586200775811e-74,1.989808089093663e-85,2.3781124358628904e-84,5.329900633605927e-96,9.140574787411937e-42,4.895768450720039e-86
4.1602151837579867e-19,0.1405024733077539,3.76,0.0,0.8741589169621692,1.0,1.6738989800150554e-38,1.789111362930514e-49,2.0433346282107258e-32,2.3071399074775785e-14,1.6315822882329708e-16,3.515808272962892e-21,7.123941143891755e-17,4.175358481067885e-27,9.191881734541605e-17,1.9960571189707472e-27,2.3963594415834577e-29,9.104136606569953e-28,3.5516283901805e-44,1.3323596891778128e-29,1.6651900663067125e-53,5.613402917893648e-28,4.175470784223981e-28,7.18574425580543e-43,3.045066151960088e-42,5.997796206707801e-23,9.328347595119681e-56,6.8767300749715694e-31,3.752143949876615e-74,1.7728111988685326e-75,1.3048580346426796e-39,1.1588714798303507e-58,2.0595763811167e-48,7.919148763886725e-29,1.7202840117526112e-59,1.913733331537717e-59,5.081291554474745e-52,6.490993241751731e-51,2.3151245860204132e-71,2.641597931063658e-42,2.2058136570253477e-72,5.677134861898806e-60,5.706989464369098e-44,4.921160931492577e-72,6.775590025922687e-76,8.648532127281095e-78,3.515765096111802e-21,5.0619923551630765e-31,6.750828378628678e-47,1.4638441075107825e-45,5.675558912131339e-41,3.0459526345186586e-73,1.5723833285958718e-68,5.425455811476397e-74,1.7594273741031138e-74,4.499509364966272e-84,2.692503236765416e-42,1.364362693370966e-88,1.2820079432711539e-62,4.432606190495163e-83,8.161771238772202e-62,6.766898149466086e-74,1.3000780274866885e-72,1.3342760582454158e-83,1.592649732568914e-82,7.14145050800199e-94,7.493995460392698e-41,3.277428422343987e-84
8.379024947568902e-19,0.14050247330775417,3.76,0.0,0.8741589169621573,0.9999999999999999,1.3555667988999947e-37,1.4488687691960874e-48,8.25948526649362e-32,4.6467747432204046e-14,3.286144609525764e-16,7.081222536716877e-21,1.4348219487389325e-16,1.6877466566525348e-26,1.851322659211865e-16,8.068382017146214e-27,9.686468008680359e-29,3.680037578735286e-27,2.8762007541698388e-43,5.385610889642887e-29,2.6993448558766413e-52,2.2690272099928603e-27,1.687792051057318e-27,5.819202001951992e-42,2.4659737074070117e-41,1.2080113777346636e-22,1.5121654341513795e-54,2.7796842373461294e-30,1.2173562316057216e-72,5.786399124048995e-74,1.0567078634084332e-38,1.8892498208635434e-57,1.674817937924177e-47,3.201046546258094e-28,2.7886546198038667e-58,3.119868194935206e-58,4.1339848354209177e-51,5.284006428942673e-50,7.50905155043161e-70,2.1392345884842388e-41,7.1964793084696556e-71,9.25516089924799e-59,4.621668016338128e-43,1.6055311242744322e-70,2.2116654291101898e-74,2.805131153561155e-76,7.081048008981382e-21,2.0461382437355432e-30,5.466995864515245e-46,1.1854589100224138e-44,4.5962147451287355e-40,9.87955032674551e-72,5.1321985181802525e-67,1.7709591396487487e-72,5.774616859743635e-73,2.9485174457107206e-82,2.1804589293824132e-41,8.909810936028905e-87,2.0899963661857854e-61,2.8970479190823203e-81,1.3305746837322334e-60,2.1948274266004576e-72,4.2415105905670276e-71,8.7394363191339e-82,1.0425365711221285e-80,9.351116177769503e-92,6.068831817814034e-40,2.1449551811812345e-82
1.6816644475190735e-18,0.14050247330775478,3.76,0.0,0.8741589169621335,0.9999999999999997,1.091078093839148e-36,1.1661756368399904e-47,3.321102697646986e-31,9.326044414678613e-14,6.595269254622392e-16,1.4212315598545527e-20,2.8796776175581e-16,6.786355079551745e-26,3.7155916307314203e-16,3.244260923214687e-26,3.894886184371757e-28,1.4797269248062937e-26,2.3150165933699065e-42,2.1655304519480174e-28,4.347211675777094e-51,9.123658615853684e-27,6.786537605831288e-27,4.683800031269165e-41,1.984830249684189e-40,2.424488595542197e-22,2.4352958888539944e-53,1.1176987995768142e-29,3.92245018395597e-71,1.870007986636627e-72,8.505304139016597e-38,3.0511409541262143e-56,1.3508088089790041e-46,1.2871267372144494e-27,4.4910426329384606e-57,5.038595333402575e-57,3.337374914922807e-50,4.270838048424848e-49,2.4191410470129576e-68,1.7218422603249675e-40,2.325183789617395e-69,1.4947108194519574e-57,3.71992047046374e-42,5.1874731307411e-69,7.147720464250081e-73,9.037106819806455e-75,1.4211613830197122e-20,8.227431881482721e-30,4.400313916144241e-45,9.541604618329656e-44,3.6994334712733955e-39,3.182840986923277e-70,1.6585863320608541e-65,5.723433922354123e-71,1.871298965146253e-71,1.9093855788468002e-80,1.755023042633224e-40,5.759904286875965e-85,3.3753496018502044e-60,1.873616445521808e-79,2.1488816541602797e-59,7.070929291914172e-71,1.370432573438299e-69,5.658156043879078e-80,6.747626482270313e-79,1.2105744121794006e-89,4.884723821858679e-39,1.3881467235415412e-80
3.36918835304344e-18,0.14050247330775595,3.76,0.0,0.8741589169620861,0.9999999999999993,8.755214575708103e-36,9.357825096516792e-47,1.331910720522646e-30,1.8684583757485263e-13,1.3213518554859816e-15,2.847555985948555e-20,5.769388955675052e-16,2.721631916413141e-25,7.444129573787119e-16,1.3010937334484704e-25,1.562023563549207e-27,5.934366790832551e-26,1.8576550257052756e-41,8.684745669477406e-28,6.978237506767186e-50,3.658995170493977e-26,2.721705115508976e-26,3.75845455122079e-40,1.5927013045900797e-39,4.857497845876317e-22,3.9091893047069625e-52,4.4824720350506904e-29,1.259508880157024e-69,6.0135756040117986e-71,6.824970828705877e-37,4.904617962304334e-55,1.0850550922955475e-45,5.161953895152719e-27,7.20911912426306e-56,8.099394653539551e-56,2.6858478577963193e-49,3.445181314489693e-48,7.767354622274253e-67,1.3816702237210504e-39,7.47648712127512e-68,2.402703890589006e-56,2.9850018648317036e-41,1.6680001134190205e-67,2.2985997618680506e-71,2.901627497047236e-73,2.8472745454534886e-20,3.299568162031785e-29,3.530974838130412e-44,7.656536772106378e-43,2.968562350827574e-38,1.0219454751395628e-68,5.3336826472800424e-64,1.8405705759553207e-69,6.025881033763222e-70,1.2292034723051786e-78,1.4082954652282558e-39,3.704891601666387e-83,5.425775825898217e-59,1.2053963160539425e-77,3.454264495121761e-58,2.2703271652194978e-69,4.406541626692379e-68,3.6421373859432236e-78,4.342771160735512e-77,1.5583199248668885e-87,3.9196832353870814e-38,8.933673890554141e-79
