Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189),CH3CO(33),C3H3(2030)
0.0,0.09012718913340985,3.76,0.0,0.9519880566034474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.798984482953672e-17,0.09012718913340985,3.76,0.0,0.9519880566034472,0.9999999999999999,1.7269567045897867e-36,1.893282014800815e-53,5.803031908380039e-37,3.5794319007441983e-16,3.0845390287342994e-17,2.8605374171149444e-24,4.307722400879162e-19,6.445211451415269e-27,3.0414618044492195e-17,9.419570032017937e-28,4.1534676636346614e-27,1.3405145882698763e-26,4.3915445475014036e-45,9.49295772463311e-29,3.82833695619132e-55,3.0726821365953384e-28,2.6027459747300716e-28,7.391524117047475e-43,1.680882393830992e-40,1.544433196678643e-26,3.3333338346620516e-54,1.4324270672934272e-30,4.523151902146522e-78,2.548416332422982e-75,1.8074784445382506e-36,5.0746594517716775e-59,1.6704198630437208e-49,1.4549936192414633e-29,2.88173487701284e-58,2.692571733238282e-61,4.255423249163932e-53,4.488424476067248e-52,1.6918916327407907e-69,1.9552043185430366e-40,4.08858333262374e-74,1.9004988096418097e-60,4.203232557207468e-45,5.86268781020057e-72,8.139440647572194e-88,8.651751126456582e-78,2.8428498559342955e-24,1.2512912110789987e-31,5.61466081297576e-45,2.160077285668148e-43,4.6553758636640854e-39,5.0402705226459776e-73,1.8023878809385172e-67,7.958836271548383e-87
1.6237156552270281e-16,0.09012718913340986,3.76,0.0,0.9519880566034469,1.0,2.0502429978681614e-35,2.247704181586518e-52,3.505030991999783e-36,1.0022409321067453e-15,8.636709283088282e-17,8.0668118158302e-24,1.2061622844544229e-18,3.89290771894409e-26,8.51609305297406e-17,5.689420347391191e-27,2.5086944642250026e-26,8.096708099758018e-26,5.213641690940845e-44,5.733746465959213e-28,8.563836644029852e-54,1.8559000043007435e-27,1.5720585697844656e-27,8.7752174147502e-42,1.9955433808810577e-39,4.3448171278481815e-26,7.4565345548672835e-53,8.651848136048143e-30,1.8664965719113294e-76,1.5244416214953504e-73,2.1458357377178568e-35,1.595548815080795e-57,2.5244458645666824e-48,8.788161416114111e-29,6.446333477997006e-57,8.465822131973576e-60,6.5404100003409474e-52,7.383400679867001e-51,6.981634736226493e-68,2.321243437020446e-39,2.354877157385181e-72,5.9754659960856905e-59,4.990072645288631e-44,3.376604487996641e-70,8.544624234148032e-86,3.570439633588205e-76,7.959978946308203e-24,7.557798098440808e-31,6.665766436275029e-44,2.5644430269689008e-42,5.526859168599016e-38,2.0800114856499484e-71,1.001209474901619e-65,8.456869727311396e-85
3.71135006909035e-16,0.09012718913340986,3.76,0.0,0.9519880566034461,0.9999999999999999,2.0129407217366314e-34,2.2068088142770482e-51,1.687521257964336e-35,2.2908364157648754e-15,1.9741049802325215e-16,1.870858880482182e-23,2.756942422020463e-18,1.8742674935054593e-25,1.9465355552088717e-16,2.739211037389351e-26,1.2078283896694603e-25,3.8982164026007487e-25,5.118784335950213e-43,2.7605521067444747e-27,1.692069810222006e-52,8.935359560176434e-27,7.568785310227566e-27,8.615560458082329e-41,1.95923590685593e-38,1.0027201699473449e-25,1.4732855852408308e-51,4.1654808861278686e-29,7.383717001297326e-75,6.85157942845398e-72,2.1067885928972453e-34,3.5595724070949755e-56,2.7159224758204824e-47,4.2311213785956405e-28,1.2736902496433416e-55,1.8886711883388e-58,7.279683941228252e-51,9.27837080790798e-50,2.7618621872196935e-66,2.2790632507461382e-38,1.0560291741601393e-70,1.3330931797716212e-57,4.899272224167252e-43,1.5142106914842146e-68,7.6779562743144195e-84,1.4126667692041778e-74,1.8194234525825386e-23,3.6387536171027264e-30,6.544576112761822e-43,2.517783831788823e-41,5.426296630791995e-37,8.228615992432157e-70,4.407723279003851e-64,7.607987930770852e-83
7.886618896816995e-16,0.0901271891334099,3.76,0.0,0.9519880566034445,0.9999999999999997,1.7804232496660332e-33,1.9518965511037784e-50,7.369846173387355e-35,4.868027381455053e-15,4.1949730882914933e-16,4.0909055548470976e-23,5.858502892484653e-18,8.185418578781001e-25,4.1363880558577894e-16,1.1962854685474284e-25,5.274903861355856e-25,1.7024535063450895e-24,4.5275067894024356e-42,1.2056056314635835e-26,3.01094782849359e-51,3.902306217331746e-26,3.305487404143415e-26,7.62036559292242e-40,1.7329212283925051e-37,2.171843768542288e-25,2.621632996036238e-50,1.8191647824751394e-28,2.6352261921449554e-73,2.5825665799437103e-70,1.8634205849511144e-33,6.666656171787563e-55,2.496840523485106e-46,1.8478418280718852e-27,2.2664758457255378e-54,3.5372516974337926e-57,7.140344424798143e-50,1.0988482304558743e-48,9.8568677875989e-65,2.0158993476754076e-37,3.9730528697266865e-69,2.496735367203065e-56,4.3333317838393906e-42,5.696837645475358e-67,5.790825852452088e-82,5.0434001072979177e-73,3.866273527994253e-23,1.5891385725315894e-29,5.788758396625008e-42,2.2269485484259293e-40,4.7994864010621056e-36,2.936833728463321e-68,1.6478306853023806e-62,5.742483536687686e-81
1.6237156552270283e-15,0.09012718913340993,3.76,0.0,0.9519880566034415,0.9999999999999992,1.496552980402055e-32,1.6406852254264515e-49,3.076763602595809e-34,1.0022409306331079e-14,8.636709321255785e-16,8.897764009380491e-23,1.2061624614741434e-17,3.4172511434756194e-24,8.516093060459582e-16,4.994256701306249e-25,2.202168490944951e-24,7.107408160188007e-24,3.805642280410526e-41,5.0331661895169703e-26,5.078403629487233e-50,1.629135982292909e-25,1.3799759304144113e-25,6.40537633443068e-39,1.4566234578336594e-36,4.640677707255043e-25,4.4217672648798986e-49,7.594569975569254e-28,8.904036668020315e-72,8.953187253096207e-69,1.5663003462290564e-32,1.1514894136558066e-53,2.1368526184097372e-45,7.714375553931211e-27,3.822783621739151e-53,6.109656325068823e-56,6.877455464314098e-49,1.3612220425625617e-47,3.3303978422896433e-63,1.6946425168842245e-36,1.3757434883198146e-67,4.3124879081591806e-55,3.6423944775179996e-41,1.972633308056121e-65,4.0154982797411674e-80,1.7051950584209044e-71,7.959969516855041e-23,6.634334611298354e-29,4.866060881534929e-41,1.8718798329560324e-39,4.034238134488469e-35,9.923390434534313e-67,5.691362784226093e-61,3.9837214091511995e-79
3.2938231863176862e-15,0.09012718913341003,3.76,0.0,0.9519880566034356,0.9999999999999983,1.2269644861130456e-31,1.3451305183125494e-48,1.256956608594526e-33,2.0331173130065812e-14,1.7520181854569764e-15,1.997854133795905e-22,2.4467871184568374e-17,1.3960586082608575e-23,1.7275503082878985e-15,2.0403171147615433e-24,8.996576553612798e-24,2.90360806060277e-23,3.120095503386616e-40,2.056212618302351e-25,8.34129330067058e-49,6.655551682530654e-25,5.637652014822459e-25,5.251514338569172e-38,1.1942258647181627e-35,1.0100692586318486e-24,7.262766098722301e-48,3.1025602705098195e-27,2.9275858973630605e-70,2.980710224224356e-67,1.2841198847549867e-31,1.9131850982964505e-52,1.768036404205741e-44,3.1515738580771124e-26,6.279067722898949e-52,1.0151068253670905e-54,6.957810510466903e-48,1.8219862404516765e-46,1.094952075562526e-61,1.3896288468302168e-35,4.5771880547210015e-66,7.165258501307058e-54,2.98620259802157e-40,6.563071064242463e-64,2.6737117752806285e-78,5.613831622562437e-70,1.6147344846760056e-22,2.7103371714577505e-28,3.9899181460854345e-40,1.534672628350885e-38,3.307480385902858e-34,3.262889476056242e-65,1.8913721390369009e-59,2.653168121466973e-77
6.6340382484990016e-15,0.09012718913341017,3.76,0.0,0.9519880566034234,0.9999999999999966,9.936275463955813e-31,1.0893177533950368e-47,5.080805713758762e-33,4.0948700673465997e-14,3.528712719073931e-15,4.8008337643543485e-22,4.928037682547391e-17,5.643092218277225e-23,3.4794323180581082e-15,8.24729037091913e-24,3.6365598580431375e-23,1.1736847366202148e-22,2.5267342887460928e-39,8.311540177163017e-25,1.352159618201436e-47,2.6902800966924384e-24,2.2788291344490328e-24,4.2528121794945695e-37,9.671117448589271e-35,2.311011063536861e-24,1.1773257095518774e-46,1.2540483880608787e-26,9.496420358442444e-69,9.72799317989414e-66,1.0398685981071884e-30,3.118871178019235e-51,1.439763291713782e-43,1.2739163248200046e-25,1.0179074277896226e-50,1.6548098082855657e-53,7.725812268977173e-47,2.614418434498203e-45,3.551386781233695e-60,1.1257761883275108e-34,1.4933107301276244e-64,1.1681164975256898e-52,2.418219323622493e-39,2.1412027318040874e-62,1.7451607200150296e-76,1.8257127711528974e-68,3.2522028915575785e-22,1.095557584834367e-27,3.231831470727991e-39,1.2428054502528637e-37,2.678431904015504e-33,1.0584977051879458e-63,6.167212391217947e-58,1.7319699626653286e-75
1.3314468372861631e-14,0.09012718913341049,3.76,0.0,0.9519880566033992,0.999999999999993,7.997577228312617e-30,8.767715548439317e-47,2.0429584785648493e-32,8.218375534398928e-14,7.082101894124493e-15,1.2754089661146363e-21,9.890543811227661e-17,2.2690626527185827e-22,6.983196358743849e-15,3.316201094744659e-23,1.4622445415429442e-22,4.719334173248646e-22,2.033735666901249e-38,3.3420337609117374e-24,2.1776114740407684e-46,1.0817495481094784e-23,9.163072139278417e-24,3.423032767011107e-36,7.784103201560576e-34,5.748650217213086e-24,1.8960468482056893e-45,5.042022484222365e-26,3.059956092386416e-67,3.143784766853145e-64,8.369043189365244e-30,5.03665153563213e-50,1.1644884849535762e-42,5.122359760512411e-25,1.6394486161927778e-49,2.6722947346830267e-52,9.566749967817269e-46,3.9359443444967723e-44,1.1440853036503564e-58,9.067966263859326e-34,4.824891954177857e-63,1.8865065141027875e-51,1.9462565343057989e-38,6.918212113547736e-61,1.127883881201835e-74,5.913213883969116e-67,6.527113069140561e-22,4.405156419661183e-27,2.6023735650672555e-38,1.0002982555479255e-36,2.1557521715683164e-32,3.4112909235668714e-62,1.9920803134497739e-56,1.1194491402608736e-73
2.6675328621586893e-14,0.09012718913341115,3.76,0.0,0.951988056603351,0.999999999999986,6.417549324956459e-29,7.035440992865187e-46,8.193087780757785e-32,1.6465386301992794e-13,1.4188880675492394e-14,3.804978780786452e-21,1.98155760705729e-16,9.099956830143893e-22,1.399072452469668e-14,1.3299464913032467e-22,5.86425314697333e-22,1.892663654002866e-21,1.6319449375548513e-37,1.3403050231872346e-23,3.49554898475933e-45,4.3382975351647676e-23,3.674802090062528e-23,2.7467674800263417e-35,6.246166751211814e-33,1.5966952520000805e-23,3.04357538387229e-44,2.0217149312252571e-25,9.82845908051713e-66,1.011044313966505e-62,6.714468524258661e-29,8.095197611386458e-49,9.406293295108686e-42,2.0542939612706163e-24,2.632127844361588e-48,4.294904609590729e-51,1.3043222217396904e-44,6.097177883440207e-43,3.6731530828164747e-57,7.287287650697087e-33,1.55141586354827e-61,3.032488877225785e-50,1.5615288634909431e-37,2.224497652841529e-59,7.253519138985798e-73,1.9187890343657685e-65,1.307682688132635e-21,1.7666387266167948e-26,2.0900293113047204e-37,8.026447509879251e-36,1.7297224127958743e-31,1.0960629855582359e-60,6.404473208800745e-55,7.199816063741579e-72
