Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15)
6.49551074417222e-17,0.16368965811675446,3.76,0.0,0.763322427508103,0.9999999999999982,1.326280946974766e-33,3.5934589595574023e-48,1.4153249548952125e-30,2.8379254927603133e-13,2.439419017834559e-15,3.105830136949266e-23,6.018061436639395e-16,3.476222835047121e-24,1.8376128474138495e-15,1.2877930948820527e-24,5.3553763605159e-26,1.5908312877377461e-24,1.6829357900967963e-40,1.4372285464863234e-26,6.730076194771538e-50,4.820460265833709e-25,3.8133822556352405e-25,1.7295068576996026e-38,1.2989931922799e-38,2.077230052943496e-22,5.309777169941301e-50,5.678404148896176e-28,6.078875623060116e-70,8.756465292416828e-71,1.6837877263682474e-34,6.074310108203365e-60,4.426294980720345e-48,5.404177360450532e-26,7.885953289075187e-54,1.9760755364701817e-54,2.1403586398519308e-49,6.946857047963492e-48,4.20846110535402e-64,2.14630607220928e-39
1.299666485128464e-16,0.16368965811675867,3.76,0.0,0.7633224275079585,0.9999999999999963,1.0618311922378179e-32,2.8769677836321197e-47,5.664988118484053e-30,5.67831660214067e-13,4.880957484358637e-15,1.243141457348277e-22,1.2041351463113923e-15,1.391395077997753e-23,3.676822230950436e-15,5.154528479682559e-24,2.143546199575161e-25,6.3674709461896715e-24,1.3473719856565802e-39,5.752659711754287e-26,1.0776890995823632e-48,1.9294403525487695e-24,1.5263467004708264e-24,1.3846570984391956e-37,1.039984417494086e-37,4.159373834307554e-22,8.502561995640326e-49,2.2728405561772823e-27,1.9468894993924764e-68,2.8044564820634703e-69,1.3480533792754084e-33,1.9461220244050508e-58,7.090313912378065e-47,2.163079293158348e-25,1.2627828127046072e-52,3.1653989957483584e-53,3.428559198323055e-48,1.1127906283428447e-46,1.3478404684565919e-62,1.7183498628774165e-38
2.599897306550948e-16,0.1636896581167671,3.76,0.0,0.7633224275076697,0.9999999999999927,8.497876643671091e-32,2.3024736282104744e-46,2.2667330307270717e-29,1.1359098818911574e-12,9.764034590610916e-15,4.974185095130552e-22,2.40879316346121e-15,5.567392801348623e-23,7.35524099862297e-15,2.0624828118969934e-23,8.576976928619244e-25,2.547817755370177e-23,1.0783071729257657e-38,2.3018132034256206e-25,1.725004541267471e-47,7.720274606749069e-24,6.107374977493996e-24,1.1081465012192744e-36,8.323036310548334e-37,8.3329924796778125e-22,1.3609637669169823e-47,9.094315228510842e-27,6.23274667016731e-67,8.978226072211874e-68,1.0788514170427862e-32,6.231339162812009e-57,1.1351100481482905e-45,8.655134551535004e-25,2.021283918134053e-51,5.067579631219654e-52,5.488885126664328e-47,1.7815004598551674e-45,4.31490184298556e-61,1.3752020664928108e-37
5.200358949395916e-16,0.16368965811678401,3.76,0.0,0.7633224275070918,0.9999999999999853,6.799592413520054e-31,1.8423687877141058e-45,9.068407206344618e-29,2.272066324449415e-12,1.953018949593195e-14,1.9899979367361203e-21,4.818109245180498e-15,2.227319738073598e-22,1.471207853636549e-14,8.25127434853506e-23,3.431349296324847e-24,1.0192929863897489e-22,8.628097158057178e-38,9.208751665218694e-25,2.7605693281650495e-46,3.088612544078304e-23,2.443347692946503e-23,8.866855622260855e-36,6.659693970706781e-36,1.6717554100497394e-21,2.1779855022199345e-46,3.638312270188489e-26,1.9949494848439204e-65,2.873758586648099e-66,8.632434688772773e-32,1.9946269818901517e-55,1.8167042181147233e-44,3.462617279224909e-24,3.2347412585561517e-50,8.110470927839463e-51,8.784769429540289e-46,2.851229292845157e-44,1.381057817355701e-59,1.100370489790939e-36
1.0401282235085852e-15,0.16368965811681788,3.76,0.0,0.763322427505936,0.9999999999999706,5.440190394065205e-30,1.4740990789612e-44,3.6276573654755194e-28,4.544379206382236e-12,3.906250207783989e-14,7.960639585659718e-21,9.63674159829773e-15,8.910004783206478e-22,2.942575362144032e-14,3.300778434418205e-22,1.372651446870972e-23,4.077503619530451e-22,6.9031354454983795e-37,3.683800458202592e-24,4.417361707840952e-45,1.2355455574382727e-22,9.774186313782898e-23,7.094157955378949e-35,5.328261621636795e-35,3.3635974658536657e-21,3.485132544982047e-45,1.4554385472273388e-25,6.384837048855598e-64,9.197776023660264e-65,6.906578198465246e-31,6.383754101755756e-54,2.907149684312845e-43,1.3851595334840516e-23,5.176205082969416e-49,1.2978595825159564e-49,1.4057674205319634e-44,4.5626295733457184e-43,4.4198425619122135e-58,8.803798097615917e-36
2.080312880646573e-15,0.1636896581168855,3.76,0.0,0.7633224275036247,0.9999999999999412,4.3523588614125227e-29,1.1794378132557209e-43,1.4511214010618327e-27,9.089004957513107e-12,7.812713832671886e-14,3.18438540279051e-20,1.9274007063247148e-14,3.564147519994301e-21,5.885310382994915e-14,1.3203651592294915e-21,5.490829375405598e-23,1.6310676904555188e-21,5.522774240710956e-36,1.4735801442092743e-23,7.068142827777183e-44,4.942383255493654e-22,3.9098337047402283e-22,5.6755956667101796e-34,4.26281256154428e-34,6.807000500888684e-21,5.576499617586996e-44,5.821952635651157e-25,2.04346491991815e-62,2.9439434179129936e-63,5.5254844103788396e-30,2.0429466129333976e-52,4.651779001330895e-42,5.540862761907224e-23,8.28264553317063e-48,2.076712241334836e-48,2.249391400314174e-43,7.300736726363235e-42,1.4144194531305152e-56,7.043370157447716e-35
4.160682194922547e-15,0.16368965811702071,3.76,0.0,0.7633224274990019,0.9999999999998823,3.481969629522394e-28,9.437367551394805e-43,5.8045989655514776e-27,1.817825640883576e-11,1.562564551647265e-13,1.2737800722189503e-19,3.854854102800847e-14,1.4256884781489063e-20,1.1770780440040373e-13,5.281568566143208e-21,2.19637656716971e-22,6.524402493359873e-21,4.418330201397966e-35,5.894440503791014e-23,1.1309330838743524e-42,1.9769934592346183e-21,1.5639653704383974e-21,4.540584105191433e-33,3.410332437728546e-33,1.3932682239604342e-20,8.922638823058595e-43,2.3287976729683758e-24,6.54060155409463e-61,9.424069076675364e-62,4.4204277266078e-29,6.537620983185446e-51,7.443121635908311e-41,2.216389532244352e-22,1.3253517565591564e-46,3.3228155504100373e-47,3.599157274657544e-42,1.1681599752322484e-40,4.5262323615856846e-55,5.634825584926873e-34
8.321420823474496e-15,0.16368965811729125,3.76,0.0,0.7633224274897564,0.9999999999997646,2.785608591770371e-27,7.55260939561277e-42,2.3218594182660226e-26,3.6356759107724734e-11,3.1251526620171756e-13,5.095172087031227e-19,7.709762109700255e-14,5.702815639753841e-20,2.354172061550609e-13,2.112649297604413e-20,8.785596692509102e-22,2.6097867389985606e-20,3.534715608901761e-34,2.3578001894907165e-22,1.8095206490334723e-41,7.908053761113196e-21,6.255925676446391e-21,3.6325100702301414e-32,2.728300635033708e-32,2.9139548191114174e-20,1.4276443720021994e-41,9.315039366478844e-24,2.0938788715237026e-59,3.017791380895848e-60,3.5362805923712374e-28,2.092043379254395e-49,1.1909226385099913e-39,8.865642993423023e-22,2.1208930391366152e-45,5.3164582414144985e-46,5.758757130773584e-41,1.8690888228576948e-39,1.4483949338028533e-53,4.5079071061047675e-33
1.6642898080578394e-14,0.16368965811783226,3.76,0.0,0.7633224274712654,0.9999999999995293,2.2284998232525166e-26,6.046324571508449e-41,9.287454614080725e-26,7.271376369047737e-11,6.250335977194204e-13,2.0380791748805798e-18,1.5419582979304813e-13,2.2811408304558653e-19,4.70836012119372e-13,8.450643213797052e-20,3.5142573930631845e-21,1.0439193600430529e-19,2.827804464270934e-33,9.431248753085352e-22,2.8952665043443673e-40,3.163237176859921e-20,2.502383443204285e-20,2.9060247815656e-31,2.182657148491623e-31,6.337528838642329e-20,2.2842583403371646e-40,3.725837843820566e-23,6.705953276185689e-58,9.670113453129906e-59,2.8288755793310428e-27,6.694379711177897e-48,1.905498467583096e-38,3.5462709772887755e-21,3.394420896528807e-44,8.505952189346854e-45,9.2140979210784e-40,2.9905657911044606e-38,4.6347761418062904e-52,3.6063361065126564e-32
3.3285852594786196e-14,0.1636896581189143,3.76,0.0,0.7633224274342834,0.9999999999990584,1.78280470973451e-25,4.843795868537932e-40,3.7149670554220413e-25,1.454277695958819e-10,1.2500730985282515e-12,8.152337222831606e-18,3.08392441418742e-13,9.124610303543647e-19,9.416736338680178e-13,3.380268314940948e-19,1.4057072054132345e-20,4.1756828978033674e-19,2.2622745990357505e-32,3.7725091154484154e-21,4.632489320249847e-39,1.2652977552414912e-19,1.0009562787123569e-19,2.3248258927657906e-30,1.7461368013089195e-30,1.471347891141113e-19,3.654867146436237e-39,1.4901814677923318e-22,2.1494301658869067e-56,3.1028579955712126e-57,2.2628421261587914e-26,2.1420694448718855e-46,3.04882717493351e-37,1.4185085924775237e-20,5.4341968382408025e-43,1.3608119020660265e-43,1.4742632544637366e-38,4.7849157975072564e-37,1.483058114834555e-50,2.885059879978668e-31
6.65717616232018e-14,0.1636896581210784,3.76,0.0,0.7633224273603193,0.9999999999981167,1.4262451821366103e-24,3.88579716535533e-39,1.4859693216899324e-24,2.908557683662916e-10,2.5001634512279505e-12,3.2609388683007276e-17,6.167864416155263e-13,3.649867783800972e-18,1.883348916645701e-12,1.3521109916636788e-18,5.62284135773269e-20,1.6702711536384205e-18,1.8098612692404158e-31,1.5090055811593035e-20,7.412148893460099e-38,5.061194790042994e-19,4.003833052841661e-19,1.8598621449652796e-29,1.3969209561952417e-29,3.75805769262814e-19,5.847929989219693e-38,5.959474154556116e-22,6.900704235313686e-55,9.982940603672114e-56,1.8098524310116778e-25,6.853728900598977e-45,4.878185092318541e-36,5.67401433776179e-20,8.704667837062397e-42,2.1768349498857274e-42,2.3588294350514737e-37,7.655846883009192e-36,4.745311757004274e-49,2.308023224070691e-30
1.3314357968003298e-13,0.16368965812540662,3.76,0.0,0.7633224272123911,0.9999999999962333,1.1409958696900531e-23,3.1258467460630397e-38,5.943725951232248e-24,5.817117137455439e-10,5.0003895608621796e-12,1.304376242755714e-16,1.2335775498785637e-12,1.4599632588032967e-17,3.766699639325011e-12,5.4084629767471574e-18,2.249142281988277e-19,6.681055827694242e-18,1.4479523383161087e-30,6.036026291682062e-20,1.1859941100213563e-36,2.0244770699177358e-18,1.601536516718568e-18,1.4878886942703748e-28,1.117552702560407e-28,1.0777548231219154e-18,9.357121682805936e-37,2.3827843545770474e-21,2.2226386314280647e-53,3.228956445869797e-54,1.4472050996449629e-24,2.1926140426858146e-43,7.805266726418143e-35,2.269585380706049e-19,1.3959286688716452e-40,3.4814399756764895e-41,3.774140572199192e-36,1.224925444249384e-34,1.5181926024231575e-47,1.8463749841581598e-29
2.6628721579369534e-13,0.163689658134063,3.76,0.0,0.7633224269165343,0.9999999999924666,9.127952385692259e-23,2.528206316162113e-37,2.3773670536329583e-23,1.1634233958580214e-09,1.0001023396323431e-11,5.217505558705788e-16,2.4671721985855627e-12,5.839976627876824e-17,7.53340171319839e-12,2.1633983361834718e-17,8.996606457920085e-19,2.6723967533032346e-17,1.1584619007552661e-29,2.4144113877534905e-19,1.8977492360594542e-35,8.097893788540972e-18,6.406166320026392e-18,1.1903079963549218e-27,8.940666679542489e-28,3.460074735842184e-18,1.49727646966452e-35,9.52309568446334e-21,7.204692102634531e-52,1.0552842584339604e-52,1.1566811486060513e-23,7.012648963088417e-42,1.2488951339873641e-33,9.078170034340709e-19,2.243666373268591e-39,5.565513970516497e-40,6.038657753193631e-35,1.959845192583389e-33,4.8562460044990016e-46,1.4770285967066738e-28
3.9943085190735776e-13,0.1636896581427194,3.76,0.0,0.7633224266206775,0.9999999999886998,2.6100212160515824e-22,7.281609730722595e-37,5.0517232258182505e-23,1.7451348693247114e-09,1.500183884723098e-11,1.1087198775628819e-15,3.700779280176591e-12,1.2410130294279958e-16,1.1300104415605505e-11,4.59724019206677e-17,1.9117841136581873e-18,5.678804817012408e-17,3.312662075720409e-29,5.1306248333584975e-19,6.98529001983044e-35,1.7208000854976675e-17,1.3613131455954282e-17,3.4035320598952555e-27,2.556522508227015e-27,6.820809884743323e-18,5.511236474633327e-35,2.0224776352408085e-20,3.3080641611556996e-51,4.858893465382864e-52,3.305607625659469e-23,3.2896043304133263e-41,4.76150388816205e-33,1.9290857115235224e-18,8.276238424664827e-39,2.1210086098693633e-39,2.3022434608474713e-34,7.471845303720185e-33,2.2168300970598575e-45,4.223260887854198e-28
5.325744880210202e-13,0.1636896581513758,3.76,0.0,0.7633224263248204,0.999999999984933,5.505285359979036e-22,1.548125399669268e-36,8.617359700160906e-23,2.3268461341458524e-09,2.000283591283834e-11,1.8913455190399775e-15,4.934398795354744e-12,2.1170504146788777e-16,1.5066807746565326e-11,7.842380041669475e-17,3.2612868936028302e-18,9.687312431643973e-17,6.987780604763566e-29,8.752243036527523e-19,1.7717027250979804e-34,2.9354787080609187e-17,2.32224438749295e-17,7.179026456290312e-27,5.392567663470857e-27,1.1159953701452242e-17,1.3978440565536016e-34,3.448256627450256e-20,9.941549886399341e-51,1.4595278500653497e-51,6.969085138993895e-23,1.028633216762936e-40,1.2811410481803854e-32,3.2907532294687967e-18,2.1031896219974238e-38,5.704825900983256e-39,6.194380090310654e-34,2.0103444655240985e-32,6.606820475309816e-45,8.907854749550114e-28
7.98861760248345e-13,0.1636896581686886,3.76,0.0,0.7633224257331056,0.9999999999773995,1.5036617199017532e-21,4.302795832272061e-36,1.7840160436878894e-22,3.490268174110544e-09,3.000525628031869e-11,3.9157899873487715e-15,7.401667008759987e-12,4.383181235089656e-16,2.2600215883718523e-11,1.6236751825427016e-16,6.75210805878587e-18,2.0056140158572167e-16,1.9088236096901901e-28,1.8120409203172124e-18,6.1963364594284e-34,6.077522492483293e-17,4.807926776733496e-17,1.960811911423957e-26,1.4729542539857358e-26,2.213448620195718e-17,4.888918025532819e-34,7.132783122711762e-20,4.46331392751186e-50,6.475420285148087e-51,1.9019286629955935e-22,5.124075222255871e-40,5.181973106964791e-32,6.812947998757699e-18,7.379661408332318e-38,2.3062018611596045e-38,2.505452516732887e-33,8.131158694353896e-32,2.891311940251312e-44,2.4329087025782724e-27
1e-12,0.16368965818600137,3.76,0.0,0.7633224252861576,0.9999999999717091,2.6806131873635017e-21,7.766830730617594e-36,2.6978923364898667e-22,4.369050414816703e-09,3.7560957714857034e-11,5.9219259236650804e-15,9.265331215859004e-12,6.628880386980528e-16,2.8290524877583392e-11,2.4555272885041156e-16,1.0211377668491681e-17,3.0331063202025225e-16,3.40322332910832e-28,2.740385527194159e-18,1.276255165996434e-33,9.191142643881539e-17,7.271139265459456e-17,3.495586150096664e-26,2.6259723354326347e-26,3.280922798313395e-17,1.006981898313861e-33,1.0779911605064543e-19,1.058821117487993e-49,1.5282090524266192e-50,3.38866592174326e-22,1.2787814250482498e-39,1.1412731194076e-31,1.0303201237556637e-17,1.5233272515367152e-37,5.077076512024387e-38,5.5178943626715176e-33,1.790750105039998e-31,6.764306182317077e-44,4.337078882979426e-27
1.0651490324756698e-12,0.16368965818600137,3.76,0.0,0.7633224251413901,0.9999999999698659,3.1461586739578545e-21,9.144091455943505e-36,3.0339840539910816e-22,4.653689446813115e-09,4.000834450362345e-11,6.659731941381289e-15,9.868980950740574e-12,7.454800497631988e-16,3.0133626332441765e-11,2.7614623614392823e-16,1.1483612070425289e-17,3.4109901280360874e-16,3.99435943978444e-28,3.0818072185122957e-18,1.5484281917772526e-33,1.0336252221355862e-16,8.177047868086453e-17,4.102669187427092e-26,3.0820584041554587e-26,3.670692177248163e-17,1.2217338773096774e-33,1.2120659832575712e-19,1.3218736873482797e-49,1.906051569481248e-50,3.976606677301098e-22,1.6113435416561588e-39,1.403691328243542e-31,1.1586815691226489e-17,1.8490819342981557e-37,6.243936965657617e-38,6.786625732646586e-33,2.2024929621383964e-31,8.422532056750892e-44,5.090268124789409e-27
1.3314363047029947e-12,0.16368965820331416,3.76,0.0,0.7633224245496739,0.9999999999623322,5.7274530108612234e-21,1.691079924820014e-35,4.634991881953193e-22,5.817109897450727e-09,5.00121482817506e-11,1.0174563588687748e-14,1.2336343892322756e-11,1.1389496489238712e-15,3.7667039257974033e-11,4.218915721403094e-16,1.7544434247471076e-17,5.211168941340783e-16,7.272442433741044e-28,4.7083053656899515e-18,3.285450392774127e-33,1.579142369926973e-16,1.2492718409919254e-16,7.46874289975305e-26,5.61103981883931e-26,5.5134209595428835e-17,2.592320679955511e-33,1.8501485211637847e-19,3.266091121652994e-49,4.675861873887033e-50,7.2339620437880605e-22,4.148733566048534e-39,3.1534370337746257e-31,1.7701685111689637e-17,3.9340251166673215e-37,1.4019866320434222e-37,1.5246045827589468e-32,4.947797382531133e-31,2.0446150752609826e-43,9.266285461060717e-27
1.864010849157644e-12,0.16368965823793977,3.76,0.0,0.7633224233662388,0.9999999999472647,1.5122102132996654e-20,4.637346278425643e-35,8.911808709730282e-22,8.143948280904569e-09,7.002194741565485e-11,1.956531558849168e-14,1.727121988400882e-11,2.1902693999899614e-15,5.2733872695904103e-11,8.112937607834111e-16,3.3737635561243683e-17,1.002065533322047e-15,1.9207094406256522e-27,9.053905348391046e-18,1.2040187235437079e-32,3.036619474812704e-16,2.4023218662254776e-16,1.9719604452722253e-25,1.4816522597898694e-25,1.0379518400932457e-16,9.500508169652346e-33,3.5505889790645276e-19,1.785184445790939e-48,2.5153323506642073e-49,1.9061697716413008e-21,2.3359338185207898e-38,1.222976667880543e-30,3.4038145296006794e-17,1.4544402282568638e-36,5.42699981638679e-37,5.91232045885605e-32,1.91862994847632e-30,1.0570516435656803e-42,2.4463179926132728e-26
2.3965853936122938e-12,0.16368965827256532,3.76,0.0,0.7633224221828004,0.999999999932197,3.135178572959499e-20,9.931738552484148e-35,1.4613563430757129e-21,1.0470783325541035e-08,9.003465272163985e-11,3.208705213173972e-14,2.2206294959986486e-11,3.592210965050126e-15,6.780071619538342e-11,1.3305375829213623e-15,5.53301306514375e-17,1.6433469784257467e-15,3.983163728016578e-27,1.4848383160461876e-17,3.127120171078816e-32,4.98002370214858e-16,3.9398278372745133e-16,4.0883525313144363e-25,3.0721511130719085e-25,1.6811209419506315e-16,2.4675983506238274e-32,5.811537926610076e-19,5.956756249853424e-48,8.327619955944348e-49,3.944846202708628e-21,7.757786937437415e-38,3.2544669955403556e-30,5.581997096041654e-17,3.804737610162986e-36,1.4420099192079101e-36,1.5732331299819632e-31,5.105158256777456e-30,3.402021113553766e-42,5.071352598131376e-26
