Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15)
0.0,0.1636896581167502,3.76,0.0,0.7633224275082473,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.054203675252194e-20,0.1636896581167502,3.76,0.0,0.7633224275082471,1.0,4.454482496198232e-42,1.2069022675944866e-56,2.5028115077746052e-36,3.0820216041387673e-16,2.649238693583538e-18,5.492242035406562e-29,6.535687898500278e-19,6.1472315424190044e-30,1.9956699036861957e-18,2.2772885303425512e-30,9.47026134973451e-32,2.8131707549084955e-30,5.652353285881741e-49,2.5415449939247635e-32,4.5992566379774175e-61,8.524334351576352e-31,6.74345259297577e-31,5.808768374189162e-47,4.3627978690624963e-47,2.254213103510145e-25,3.628630929249017e-61,1.0041496614072384e-33,8.733955067805513e-84,1.2580986646613723e-84,5.655217441023542e-43,4.959537636135542e-74,1.7297092285747708e-59,9.556559448494937e-32,5.3891579458497465e-65,7.722118863166361e-66,8.364101746268712e-61,2.714695507152222e-59,6.046620637197687e-78,7.208641617462057e-48
1.9751770290706141e-19,0.16368965811675024,3.76,0.0,0.7633224275082469,1.0,5.288361916693226e-41,1.4328343870205306e-55,1.5116981506252225e-35,8.62966049158665e-16,7.417868342199088e-18,3.317314189384954e-28,1.829992611591384e-18,3.7129278516903727e-29,5.587875730321918e-18,1.3754822723339914e-29,5.720037855259266e-31,1.6991551359496873e-29,6.710473821532308e-48,1.535093176330616e-31,1.028835312967139e-59,5.148697948342401e-30,4.0730453661677355e-30,6.896169813820557e-46,5.179536756689817e-46,6.3118055886423825e-25,8.117113978084198e-60,6.0650639503093986e-33,3.604091058562439e-82,5.191579463621084e-83,6.713874140456467e-42,2.8705951454436943e-72,5.438482568313215e-58,5.7721619067916885e-31,1.2055330806429174e-63,2.4279577226965378e-64,2.6298074146682394e-59,8.535437025639543e-58,2.4951584521475723e-76,8.558099327884797e-47
4.5146903521614035e-19,0.16368965811675024,3.76,0.0,0.7633224275082463,1.0,5.1921452195868e-40,1.4067653277270072e-54,7.27817586354897e-35,1.972493826647483e-15,1.695512764009091e-17,1.5971439838953142e-27,4.182840255119319e-18,1.7876149326393873e-28,1.2772287383595648e-17,6.622355046342496e-29,2.7539520005322295e-30,8.180700555048258e-29,6.588382991629221e-47,7.390812842334097e-31,2.032805205168551e-58,2.4788764294238314e-29,1.9609960140529106e-29,6.770700416901872e-45,5.0853100360696284e-45,1.4427026154162766e-24,1.6038059747541975e-58,2.920067208486768e-32,1.4257426172214352e-80,2.0537372924110177e-81,6.591721432124328e-41,1.2880942509767482e-70,1.2132955440353793e-56,2.7790474874734434e-30,2.381930238343358e-62,5.416640108698926e-63,5.866955676675414e-58,1.904209046979116e-56,9.87060524961366e-75,8.402392668178696e-46
9.593716998342982e-19,0.1636896581167503,3.76,0.0,0.7633224275082452,1.0,4.592393699239666e-39,1.2442680541457834e-53,3.178570613778847e-34,4.191549381622083e-15,3.6029646238517445e-17,6.975147384956887e-27,8.88853554235608e-18,7.806984059946187e-28,2.7141110690152262e-17,2.892156433644942e-28,1.2027231914466976e-29,3.572726858500622e-28,5.827350146944931e-46,3.227762142285363e-30,3.6172682513814037e-57,1.0825904626351398e-28,8.564184793239983e-29,5.988607842942001e-44,4.497903162662003e-44,3.065760966622714e-24,2.853887889803428e-57,1.2752700628721948e-31,5.0883743845265677e-79,7.329643126705953e-80,5.830302937018931e-40,4.847759506418252e-69,2.2723682763182134e-55,1.2136830498050067e-29,4.2385176670537124e-61,1.0144767419071875e-61,1.0988158674053886e-56,3.5663728018399236e-55,3.522749971788519e-73,7.431821159555022e-45
1.9751770290706142e-18,0.16368965811675035,3.76,0.0,0.763322427508243,1.0,3.8601836371388234e-38,1.0458823611330853e-52,1.3269906604366837e-33,8.629660491559138e-15,7.417868344594206e-17,2.9119867271640565e-26,1.829992611755317e-17,3.259262164757202e-27,5.587875730330208e-17,1.207418378886532e-27,5.0211325679029713e-29,1.4915431340426342e-27,4.8982389259072565e-45,1.3475271557797324e-29,6.101051620871582e-56,4.5196020730702685e-28,3.575378564940436e-28,5.033785732574465e-43,3.780760223688938e-43,6.311934621445038e-24,4.813499752441829e-56,5.324001440746198e-31,1.7192468738424664e-77,2.476521165502238e-78,4.900720885636307e-39,1.6789324592884585e-67,3.9249511005006784e-54,5.066887818207349e-29,7.14887980986477e-60,1.752256277572651e-60,1.8979311548060284e-55,6.1600221200218e-54,1.1902577692172697e-71,6.2468934831021e-44
4.006787687543246e-18,0.16368965811675049,3.76,0.0,0.7633224275082384,0.9999999999999999,3.1648117762641538e-37,8.574776948774191e-52,5.421189829956947e-33,1.7505882711384666e-14,1.504767579030774e-16,1.1896415938300036e-25,3.712270727084161e-17,1.331514941832552e-26,1.13354050529748e-16,4.9326980491006276e-27,2.0512964896296523e-28,6.093440380185266e-27,4.01587221585886e-44,5.505088118647757e-29,1.0020995620317711e-54,1.8464049177741096e-27,1.4606588055714215e-27,4.127001671908654e-42,3.0996962915617755e-42,1.2804509740727439e-23,7.90618836624917e-55,2.1750282783782503e-30,5.652508705274298e-76,8.142262465360796e-77,4.017907013677541e-38,5.586441279306212e-66,6.521364960217567e-53,2.06998900160944e-28,1.1742057374475459e-58,2.911399974100816e-59,3.1534409999075193e-54,1.023496888042558e-52,3.913307392473666e-70,5.121580695047989e-43
8.070009004488509e-18,0.16368965811675076,3.76,0.0,0.7633224275082294,0.9999999999999998,2.5629466328066287e-36,6.944079048502576e-51,2.1913316031461173e-32,3.5258327150841405e-14,3.0307290698649275e-16,4.808721529556923e-25,7.476826958899556e-17,5.382196289234084e-26,2.2830463698322514e-16,1.9938754188532283e-26,8.291668386143748e-28,2.46306602665712e-26,3.2521574474549373e-43,2.225244636346565e-28,1.624446577580581e-53,7.463463891910184e-27,5.904216431882392e-27,3.342152953364257e-41,2.51021467733897e-41,2.5790571217843098e-23,1.2816272526692726e-53,8.79181183148519e-30,1.8333783843522613e-74,2.6409250675049763e-75,3.253805177896116e-37,1.822666355279184e-64,1.063147080614094e-51,8.367226502367233e-28,1.903438366226917e-57,4.746316632332645e-58,5.140904718031832e-53,1.6685582438357334e-51,1.2692719025402252e-68,4.1475888266313745e-42
1.6196451638379034e-17,0.16368965811675126,3.76,0.0,0.7633224275082113,0.9999999999999996,2.0628824224532338e-35,5.589202737342245e-50,8.811247969914878e-32,7.076321602897762e-14,6.082652058299021e-16,1.9335657774849863e-24,1.5005939427161172e-16,2.1641574588953495e-25,4.582058098925207e-16,8.01728536819965e-26,3.3340433907657316e-27,9.90388015763114e-26,2.617619258753249e-42,8.947610812958333e-28,2.6161211475834463e-52,3.001026005044345e-26,2.374059459984802e-26,2.690055457134091e-40,2.0204392605807986e-40,5.1766339126276303e-23,2.0640212274123857e-52,3.5351486872372785e-29,5.906477417125333e-73,8.508103192752184e-74,2.618945332027009e-36,5.889178642032203e-63,1.7169853793478834e-50,3.364424972258386e-27,3.065429665407719e-56,7.665313635958379e-57,8.302574854159421e-52,2.6947260176709056e-50,4.0891284800283225e-67,3.3383403098215315e-41
3.244933690616009e-17,0.16368965811675235,3.76,0.0,0.7633224275081752,0.9999999999999991,1.6553332283438962e-34,4.484989296139398e-49,3.533704506118355e-31,1.41772993782141e-13,1.218649806223035e-15,7.754463575951375e-24,3.00641643822077e-16,8.679239375337665e-25,9.18008155720477e-16,3.215290016760249e-25,1.3371005190577665e-26,3.9718989002819056e-25,2.1004746252944686e-41,3.588392127689823e-27,4.1994538679679926e-51,1.2035456518818227e-25,9.521040261890464e-26,2.158600089822169e-39,1.6212753095920434e-39,1.037324547599384e-22,3.313211246949732e-51,1.4177525906624458e-28,1.8964490696795967e-71,2.7317807617032426e-72,2.1015384531307765e-35,1.893651860694325e-61,2.760003864789505e-49,1.3492848882965733e-26,4.920696252458719e-55,1.2321766499084331e-55,1.3346146600033186e-50,4.331693361041691e-49,1.3129333446106383e-65,2.678807841375381e-40
