Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16)
0.0,0.458247038015369,3.76,0.0,0.6662077036029617,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.72901083953292e-21,0.458247038015369,3.76,0.0,0.6662077036029616,1.0,1.0454597176165112e-44,6.5135440120412e-57,2.2029978561823357e-36,2.3451818393142617e-16,9.022155395255781e-19,3.245427723666073e-30,4.3668236602161465e-19,3.200367289494972e-31,4.655331735011773e-19,9.00557026551905e-32,5.159318950890005e-34,2.964762492460132e-32,1.282719256899608e-50,4.998385737421401e-34,1.5032900541151991e-63,4.111606721543602e-32,4.111606721544646e-32,6.0312036563995305e-49
2.444123035069218e-20,0.458247038015369,3.76,0.0,0.6662077036029613,1.0,1.2411697767540277e-43,7.732879454990416e-56,1.3306107051322139e-35,6.566509150079824e-16,2.526203510681388e-18,1.9602383450942812e-29,1.222710624861259e-18,1.9330218428612026e-30,1.3034928858033018e-18,5.439364440376245e-31,3.116228646341827e-33,1.7907165454444235e-31,1.522844301810317e-49,3.019024985402513e-33,3.3627997194938366e-62,2.4834104598116925e-31,2.4834104598129326e-31,7.16024498087997e-48
5.586566937301069e-20,0.4582470380153691,3.76,0.0,0.6662077036029609,1.0,1.2185878468528912e-42,7.592186912075542e-55,6.406317765749477e-35,1.5009163771610513e-15,5.774179453032086e-18,9.437703820420525e-29,2.7947671425434977e-18,9.306668077944978e-30,2.979412310407572e-18,2.6188198332170456e-30,1.5003299509252092e-32,8.621529328051606e-31,1.4951375658997514e-48,1.4535305724421234e-32,6.644325565668317e-61,1.1956552346239144e-30,1.1956552346251322e-30,7.029970981906587e-47
1.1871454741764773e-19,0.45824703801536915,3.76,0.0,0.66620770360296,1.0,1.0778271504719992e-41,6.71520335874693e-54,2.797807277321852e-34,3.189447301467015e-15,1.2270131337889791e-17,4.121693209055484e-28,5.938880177919778e-18,4.0644664577553364e-29,6.331251159616197e-18,1.1437074237251613e-29,6.552335067696398e-32,3.765248365401161e-30,1.3224322452127782e-47,6.347949886524973e-32,1.1823222339748098e-59,5.221740536350404e-30,5.221740536361172e-30,6.217929721616752e-46
2.444123035069218e-19,0.45824703801536926,3.76,0.0,0.6662077036029583,1.0,9.059786639275047e-41,5.64453306756374e-53,1.1680294633211305e-33,6.566509150078247e-15,2.526203510823045e-17,1.7207257790873662e-27,1.2227106248719547e-17,1.6968347369772834e-28,1.303492885803379e-17,4.774753354816377e-29,2.735470907821363e-31,1.571917073481476e-29,1.1115839847369455e-46,2.6501441179806434e-31,1.9941592596495113e-58,2.1799738837534436e-29,2.179973883762495e-29,5.2265445894045295e-45
4.9580781568547e-19,0.4582470380153696,3.76,0.0,0.6662077036029549,1.0,7.42776045610047e-40,4.627729275118992e-52,4.771781476178753e-33,1.3320632847297924e-14,5.1245842651412733e-17,7.029726266566395e-27,2.480355839050792e-17,6.9321235644747065e-28,2.6442284254870338e-17,1.9506425418248101e-28,1.11752912208894e-30,6.421794148991507e-29,9.113437099520958e-46,1.0826703442682703e-30,3.2754125727175825e-57,8.905904623056324e-29,8.905904623130531e-29,4.2850370289412275e-44
9.985988400425663e-19,0.4582470380153701,3.76,0.0,0.6662077036029481,1.0,6.015192994995074e-39,3.747655210530787e-51,1.9288303667984714e-32,2.6828880241726136e-14,1.0321345774778121e-16,2.841527752597697e-26,4.9956462674840023e-17,2.8020751801890007e-27,5.325699504854891e-17,7.884809035100547e-28,4.5172313892281045e-30,2.5957918706030208e-28,7.38029764806838e-45,4.3763266356265616e-30,5.309584929617627e-56,3.5999090417715585e-28,3.5999090418316543e-28,3.4701340831624813e-43
2.004180888756759e-18,0.45824703801537126,3.76,0.0,0.6662077036029345,1.0,4.84155063225562e-38,3.016439051159864e-50,7.755742071093382e-32,5.3845375030538e-14,2.0714868798053377e-16,1.142565811825357e-25,1.0026227124652558e-16,1.1267021062276048e-26,1.0688641663592788e-16,3.1704470344726947e-27,1.816358874272643e-29,1.0437564944025725e-27,5.940305623481114e-44,1.7597016924011233e-29,8.550922850635576e-55,1.4475075926956173e-27,1.4475075927439873e-27,2.7930658050334587e-42
4.015344986185144e-18,0.45824703801537364,3.76,0.0,0.6662077036029073,0.9999999999999999,3.8850394720484385e-37,2.4205025288866132e-49,3.110399453939753e-31,1.0787836460798349e-13,4.150191486061013e-16,4.582199930460238e-25,2.0087388840198227e-16,4.518579377795249e-26,2.1414525981077313e-16,1.2714910626201848e-26,7.284411473554514e-29,4.185930373579109e-27,4.766721163377147e-43,7.057190832342552e-29,1.3726124941075365e-53,5.805152860098737e-27,5.805152860486876e-27,2.241259407498653e-41
