Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168)
0.0,0.3460329277695909,3.76,0.0,0.7119602773124303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8944199530723014e-20,0.3460329277695909,3.76,0.0,0.7119602773124302,1.0,1.3278094513659287e-43,1.7806704953668911e-56,4.0833597181857295e-36,3.427773440786888e-16,1.5629589161853857e-18,2.5126565754473957e-23,6.628930132517507e-19,1.1783350748305768e-30,9.00065902923025e-19,3.756317140065881e-31,3.439501063956996e-33,1.724616910130512e-31,2.3536530419286397e-49,2.4241710717162383e-33,5.923243466632105e-62,1.8077390829488382e-31,1.4792061794850113e-31,5.4176588003914196e-48,2.161213356201109e-47,4.322795170775045e-25,2.065623450062065e-62,1.4776971828434221e-34,2.142785013146065e-84,2.7354534940868948e-84,7.825970693389382e-45,6.318785068619012e-66,4.6189379810907033e-54,2.620986152362444e-32,3.6210857741685166e-66,1.476961228224523e-66,4.354345798042111e-58,5.466009504033232e-57,1.2828790971662645e-79,1.6601341897551794e-47,1.5977432523454493e-81,7.517099248953557e-67,2.826708905245203e-49,1.768785584648283e-80,9.508544588335735e-97,3.537022235147583e-86,2.5126553573340766e-23,1.0041537201537882e-34,1.9612112415490126e-54
5.304375868602444e-20,0.34603292776959094,3.76,0.0,0.7119602773124297,1.0,1.576375553381049e-42,2.1140120152409544e-55,2.466349269769949e-35,9.59776563420288e-16,4.37628496535594e-18,7.035442357895685e-23,1.856100437107356e-18,7.117143852026743e-30,2.5201845281845023e-18,2.2688155526022937e-30,2.0774586426359574e-32,1.0416686137167409e-30,2.7942568914226555e-48,1.4641993273165995e-32,1.3250058705321104e-60,1.0918744061009236e-30,8.934405324094935e-31,6.431844527821836e-47,2.56579876243034e-46,1.2103828396571138e-24,4.620723007765076e-61,8.925290983578206e-34,8.842262370628865e-83,1.647740683638826e-82,9.29099240615459e-44,1.9864951176880597e-64,6.980140293255131e-53,1.5830756360214504e-31,8.100224042191874e-65,4.6437926876655065e-65,6.580573982941516e-57,8.26104902284347e-56,5.293843311817024e-78,1.9709113100711504e-46,9.20227957933859e-80,2.3634705534887385e-65,3.355868811978565e-48,1.0187190397307415e-78,9.953968490226163e-95,1.4595621358779248e-84,7.035435000491238e-23,6.0650884697096764e-34,2.328349985960237e-53
1.212428769966273e-19,0.3460329277695909,3.76,0.0,0.7119602773124291,1.0,1.5476949417733128e-41,2.0755495387865623e-54,1.1874410060270624e-34,2.193775002103323e-15,1.0002937063844494e-17,1.608102970936417e-22,4.242515284828376e-18,3.4265983976824075e-29,5.760421778707586e-18,1.0923370243349104e-29,1.0002069094075926e-31,5.0151859746282006e-30,2.743417985809297e-47,7.049489476550701e-32,2.6179883176718876e-59,5.256905253212602e-30,4.301531569950613e-30,6.314823097727001e-46,2.5191191856332783e-45,2.766590252176739e-24,9.129775287995506e-60,4.297143406514577e-33,3.497911073507062e-81,7.419286922944418e-81,9.121951436999069e-43,4.4316487950190824e-63,7.508919110661408e-52,7.621827730987994e-31,1.6004677740967605e-63,1.0360041311194942e-63,7.079718699658789e-56,8.888673349649196e-55,2.094193033865934e-76,1.935052411559206e-45,4.126689100413994e-78,5.272760313612439e-64,3.2948118989353324e-47,4.568352344176546e-77,8.941909605797523e-93,5.7738827216369864e-83,1.6080994286628853e-22,2.9200790181780038e-33,2.285987823128315e-52
2.57641113617833e-19,0.346032927769591,3.76,0.0,0.7119602773124278,1.0,1.3689186789678115e-40,1.8358000733315265e-53,5.185866841875276e-34,4.661771879468739e-15,2.125624126141137e-17,3.417226755858877e-22,9.015344980309668e-18,1.4964855451124244e-28,1.2240896279754268e-17,4.770522767922444e-29,4.3681663513173305e-31,2.1902634758333764e-29,2.4265221403932873e-46,3.0786972610794977e-31,4.6585703330249354e-58,2.2958286353423153e-29,1.8785918479544362e-29,5.585389516831823e-45,2.2281334820109826e-44,5.879008146657608e-24,1.6245951640864267e-58,1.8766754209772465e-32,1.2483796253154854e-79,2.798537907998566e-79,8.068262739303954e-42,8.299904021955684e-62,6.901995318110337e-51,3.328652413415573e-30,2.8479469049575505e-62,1.9403207290252507e-62,6.5086553893474924e-55,8.173562913920826e-54,7.474028260381579e-75,1.7115319442289763e-44,1.5525643126686687e-76,9.875287240347367e-63,2.9142238108127914e-46,1.7187266612682583e-75,6.74291462268249e-91,2.060657774196771e-81,3.4172112858197258e-22,1.2752752245649354e-32,2.021930341542533e-51
5.304375868602444e-19,0.3460329277695912,3.76,0.0,0.7119602773124254,1.0,1.1506586451264348e-39,1.5431005955799403e-52,2.164997322383533e-33,9.597765634196956e-15,4.3762849658904205e-17,7.035499584218847e-22,1.8561004371429244e-17,6.247532567450045e-28,2.520184528184969e-17,1.9915993476978265e-28,1.82362346419275e-30,9.143918857220603e-29,2.0396380682051713e-45,1.2852955022238364e-30,7.857359778636208e-57,9.584632617770346e-29,7.842751163705772e-29,4.694856433842381e-44,1.8728808790817054e-43,1.210385621338583e-23,2.740117551747052e-57,7.834750452330727e-32,4.2179926672891744e-78,9.704979117116056e-78,6.781860975108693e-41,1.4335950901294212e-60,5.904810836206027e-50,1.3896468579063073e-29,4.803478765836726e-61,3.351421242594128e-61,5.570301771522898e-54,6.998374089288578e-53,2.5253055655862567e-73,1.4386457266201813e-43,5.376039037956292e-75,1.7057095225831e-61,2.4495807060626075e-45,5.951401995120366e-74,4.675239123863956e-89,6.962497178403326e-80,7.035434999850675e-22,5.324023023981191e-32,1.6995542824649088e-50
1.0760305333450673e-18,0.34603292776959155,3.76,0.0,0.7119602773124204,1.0,9.433794818818271e-39,1.2651271291141712e-51,8.844720482298035e-33,1.9469753143642933e-14,8.877606646332621e-17,1.4272146274998995e-21,3.765232315429637e-17,2.5523209060772718e-27,5.1123743286048755e-17,8.136333178363757e-28,7.450096885274036e-30,3.735589211772398e-28,1.6722185185114632e-44,5.250851508179282e-30,1.2905737033984644e-55,3.915635163209847e-28,3.2040197530762646e-28,3.849126955710369e-43,1.5355010714058266e-42,2.455360145790819e-23,4.50065159213812e-56,3.20075119652385e-31,1.3867837450519618e-76,3.231456563548589e-76,5.560179359392772e-40,2.3819339673802518e-59,4.8822258940613364e-49,5.67716084481747e-29,7.889728447803388e-60,5.568436270541404e-60,4.608957595077137e-53,5.7958494083926236e-52,8.302652737108867e-72,1.179488685931128e-42,1.7886423688811452e-73,2.834061251520225e-60,2.008314256847407e-44,1.9800684762122637e-72,3.112854615341565e-87,2.2891169333975736e-78,1.4271882426781649e-21,2.175037123769426e-31,1.3933972834374264e-49
2.167216426314713e-18,0.34603292776959216,3.76,0.0,0.7119602773124104,1.0,7.639731650805992e-38,1.0245327994280221e-50,3.5751774331553344e-32,3.921372816249304e-14,1.788025001099156e-16,2.8745843792800103e-21,7.583496072254255e-17,1.0316889185841119e-26,1.0296753929447976e-16,3.288835959593437e-27,3.011448278121741e-29,1.5099848862280217e-27,1.3542059122207842e-43,2.1224781334982192e-29,2.0920755889076172e-54,1.5827623385806985e-27,1.2951160120888404e-27,3.117122804038079e-42,1.2434886467960387e-41,4.945328839121659e-23,7.295750409693392e-55,1.29379480531003e-30,4.498000096750116e-75,1.0546884987898331e-74,4.502777385155959e-39,3.883148889097321e-58,3.9701679588559985e-48,2.294799183197509e-28,1.2789590294841757e-58,9.077956297174877e-59,3.753334623382431e-52,4.728471851902835e-51,2.6929455969422263e-70,9.551805180696475e-42,5.835455732592496e-72,4.620234612974399e-59,1.626384948726628e-43,6.4599831336043555e-71,2.031765941144546e-85,7.424697145479056e-77,2.8744777276119886e-21,8.791847811818348e-31,1.1284092462751212e-48
4.349588212254004e-18,0.34603292776959343,3.76,0.0,0.7119602773123905,0.9999999999999999,6.149120681695174e-37,8.246332092202631e-50,1.4375631211045987e-31,7.87016782000259e-14,3.5885536755407575e-16,5.7694855373365584e-21,1.5220023586908253e-16,4.148375768288879e-26,2.0665513131147335e-16,1.3224264746258815e-26,1.2108901080377764e-28,6.0715828151448975e-27,1.0899827325939669e-42,8.534391224813471e-29,3.3692232443895717e-53,6.364217750946885e-27,5.207604523554839e-27,2.508931616161745e-41,1.0008678714008755e-40,9.925344803488806e-23,1.174958131550476e-53,5.202291977354929e-30,1.4490908153306427e-73,3.408390847888174e-73,3.624226944237618e-38,6.271292120021589e-57,3.2021212983390437e-47,9.227286584530056e-28,2.059724246530956e-57,1.466092341688118e-57,3.035922074674003e-51,3.8384985785618982e-50,8.675683064032684e-69,7.688123795977717e-41,1.8854367315579383e-70,7.461690856196537e-58,1.3090560901230605e-42,2.087221412703511e-69,1.3131309487320354e-83,2.391965887197407e-75,5.769056695670154e-21,3.535163336397409e-30,9.082419306001341e-48
8.714331784132587e-18,0.34603292776959593,3.76,0.0,0.7119602773123507,0.9999999999999997,4.934282091886576e-36,6.617163450453735e-49,5.765271076913817e-31,1.5767757827442218e-13,7.189611030463217e-16,1.1559934471434955e-20,3.04930786202353e-16,1.6636842253204564e-25,4.14030315345987e-16,5.303521633744066e-26,4.856210918959945e-28,2.434976266385955e-26,8.746425000968015e-42,3.42267259112456e-28,5.408349489037746e-52,2.5523359646699517e-26,2.0884823299247258e-26,2.0132596148422524e-40,8.031334452642035e-40,1.988569104304492e-22,1.8860680338726292e-52,2.0863517357416376e-29,4.652727786908777e-72,1.096058635399113e-71,2.9082138317890938e-37,1.0080916094030204e-55,2.5721774231877945e-46,3.700554619133453e-27,3.3063140819418834e-56,2.3567005776572646e-56,2.4526292766202577e-50,3.1231559839220718e-49,2.785579887174982e-67,6.169235162392456e-40,6.062506391653632e-69,1.199444989464065e-56,1.0504350565596256e-41,6.711332255303814e-68,8.44523936448457e-82,7.680105964783612e-74,1.1558214624548555e-20,1.417758611311787e-29,7.288069499263084e-47
