Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6)
0.0,0.5353448871540822,3.76,0.0,0.5007497405381122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.484809336497315e-17,0.5353448871540822,3.76,0.0,0.500749740538112,1.0,0.0,4.213755482882281e-87,2.2231163624943805e-66,1.732050332253506e-16,9.073348652747978e-20,7.918606966619998e-28,6.320958301838681e-30,9.073348574826101e-20
1.535746614219248e-16,0.5353448871540823,3.76,0.0,0.5007497405381119,1.0,0.0,2.426907421017499e-85,6.989833563280733e-65,4.84974093028416e-16,2.540537648220921e-19,4.782838607817363e-27,3.817858846226016e-29,2.5405376011561072e-19
3.5102779753582815e-16,0.5353448871540823,3.76,0.0,0.5007497405381116,1.0,0.0,1.0883271575417363e-83,1.5593934260914283e-63,1.108512212624284e-15,5.806943315919115e-19,2.3027309058614228e-26,1.8381347220478672e-28,5.806943089322294e-19
7.459340697636348e-16,0.5353448871540823,3.76,0.0,0.5007497405381109,1.0,0.0,4.0945588197224355e-82,2.920571340085582e-62,2.3555884517749678e-15,1.2339755058539295e-18,1.0056630847280112e-25,8.027617538024641e-28,1.2339754068931445e-18
1.5357466142192482e-15,0.5353448871540825,3.76,0.0,0.5007497405381097,1.0,0.0,1.4178157536079539e-80,5.0445608142940924e-61,4.849740929912129e-15,2.5405380172674823e-18,4.198445413407366e-25,3.351372536855434e-27,2.540537604125685e-18
3.115371703130475e-15,0.5353448871540828,3.76,0.0,0.5007497405381073,1.0,0.0,4.7171625367807434e-79,8.381613636591925e-60,9.838045885529627e-15,5.153663691652652e-18,1.7152019431483674e-24,1.369145228964877e-26,5.1536620038336135e-18
6.274621880952929e-15,0.5353448871540832,3.76,0.0,0.5007497405381023,1.0,0.0,1.538976913015839e-77,1.3664146928445283e-58,1.981465579413732e-14,1.0379917646655242e-17,6.933120490358766e-24,5.53430550000405e-26,1.037991082422086e-17
1.2593122236597835e-14,0.5353448871540842,3.76,0.0,0.5007497405380923,1.0,0.0,4.972437650382182e-76,2.206763795738611e-57,3.976787560084349e-14,2.0832435981589322e-17,2.7877772553624906e-23,2.2253211690448726e-25,2.0832408548881002e-17
2.5230122947887647e-14,0.5353448871540863,3.76,0.0,0.5007497405380723,1.0,0.0,1.5988574125194712e-74,3.547309690998447e-56,7.967431517221898e-14,4.173751435117239e-17,1.1180233651125687e-22,8.924543359635667e-25,4.173740433374455e-17
5.050412437046727e-14,0.5353448871540905,3.76,0.0,0.5007497405380323,1.0,0.0,5.1286649387318374e-73,5.688923478446122e-55,1.5948719414682256e-13,8.354783788919242e-17,4.477925033966662e-22,3.574480509606547e-24,8.354739724565003e-17
1.0105212721562652e-13,0.5353448871540984,3.76,0.0,0.5007497405379524,1.0,0.0,1.643148780513979e-71,9.112884163587741e-54,3.1911295142344003e-13,1.671691521606024e-16,1.792336990214041e-21,1.4307302635181497e-23,1.671673884382174e-16
2.0214813290594504e-13,0.5353448871541148,3.76,0.0,0.5007497405377926,1.0,0.0,5.261251660894208e-70,1.4589138589000191e-52,6.383644632863167e-13,3.3441444948453667e-16,7.171682553362806e-21,5.724836868895801e-23,3.344073922987207e-16
4.043401442865821e-13,0.5353448871541474,3.76,0.0,0.500749740537473,1.0,0.0,1.6841163159668131e-68,2.3349549005036583e-51,1.276867476250636e-12,6.689157192539399e-16,2.8691399856338705e-20,2.2903492952203233e-22,6.688874859239426e-16
8.087241670478562e-13,0.5353448871542125,3.76,0.0,0.5007497405368339,1.0,0.0,5.390045714360976e-67,3.73651599677122e-50,2.553873459133542e-12,1.3379609592555018e-15,1.1477493771798276e-19,9.162476981983745e-22,1.33784801681318e-15
1e-12,0.5353448871543425,3.76,0.0,0.5007497405365315,1.0,0.0,4.4911652088771393e-66,1.6993327595438173e-49,3.1579041647130766e-12,1.6544633764511357e-15,1.962131025611938e-19,1.5664313842245958e-21,1.6542702962113426e-15
1.6174922125704043e-12,0.5353448871543425,3.76,0.0,0.5007497405355555,1.0,0.0,1.7249851859363262e-65,5.979004581826743e-49,5.107885252716432e-12,2.6762222409225858e-15,4.591184148558702e-19,3.665407280264541e-21,2.67577045332229e-15
3.2350283036155007e-12,0.5353448871546026,3.76,0.0,0.5007497405329988,1.0,0.0,5.520423919459831e-64,9.567219999116178e-48,1.0215908151150614e-11,5.3534280094161004e-15,1.8365108819246966e-18,1.4664066273557925e-20,5.3516208266667225e-15
6.470100485705693e-12,0.5353448871551229,3.76,0.0,0.5007497405278855,1.0,0.0,1.7667373763426149e-62,1.5309314202681639e-46,2.043195119309332e-11,1.0710572355068623e-14,7.346117124311992e-18,5.867397273005344e-20,1.0703343585889771e-14
1e-11,0.5353448871561636,3.76,0.0,0.500749740522306,1.0,0.0,3.1653009742583504e-61,1.4062035212504727e-45,3.15790242390037e-11,1.6561902115017885e-14,1.9369598677659568e-17,1.5478111667084064e-19,1.6542842078573567e-14
1.2940244849886079e-11,0.5353448871561636,3.76,0.0,0.5007497405176586,1.0,0.0,5.6546907727863666e-61,2.4499871541643806e-45,4.0864026257281914e-11,2.143579218526127e-14,2.9384608898707755e-17,2.3483397196172346e-19,2.1406877244306487e-14
2.5880533578246846e-11,0.535344887158245,3.76,0.0,0.5007497404972051,1.0,0.0,1.8101987922864026e-59,3.9215144480883134e-44,8.172813230691837e-11,4.292995563501465e-14,1.175386620590152e-16,9.404333626191795e-19,4.281429783968087e-14
3.8820822306607617e-11,0.5353448871603264,3.76,0.0,0.5007497404767514,1.0,0.0,8.497130619477635e-59,1.4953309721623178e-43,1.225921942778603e-10,6.446784210796945e-14,2.497697372830823e-16,2.0000307798070336e-18,6.422207243224597e-14
6.470139976332915e-11,0.5353448871644892,3.76,0.0,0.5007497404358439,1.0,0.0,1.1857231779883386e-57,1.2307500727504326e-42,2.0432014190533868e-10,1.0771850101752958e-13,6.905395956117092e-16,5.540966593441206e-18,1.0703904335510477e-13
8.799391947437853e-11,0.5353448871682357,3.76,0.0,0.5007497403990271,1.0,0.0,4.0663869370504527e-57,3.5916130372852376e-42,2.778751523512742e-10,1.467853548626637e-13,1.229645844902035e-15,9.880356559232497e-18,1.4557546973088013e-13
9.999999999999999e-11,0.5353448871719821,3.76,0.0,0.5007497403800497,1.0,0.0,7.633528634986803e-57,5.977604991658978e-42,3.157888508068605e-10,1.6699935079302518e-13,1.5852263271176533e-15,1.2748482701659448e-17,1.6543962143131089e-13
1.1128643918542792e-10,0.5353448871719821,3.76,0.0,0.50074974036221,1.0,0.0,1.0986856788470832e-56,8.22058120962547e-42,3.5143001205015297e-10,1.8600172507126231e-13,1.919493407826241e-15,1.5444694110000153e-17,1.841131210516561e-13
1.345789588964773e-10,0.5353448871757287,3.76,0.0,0.5007497403253929,1.0,0.0,2.4564056935734292e-56,1.6264203459194197e-41,4.2498472935272186e-10,2.2535932496468087e-13,2.751731847473914e-15,2.2170221218047132e-17,2.2265193355964308e-13
1.8116399831857607e-10,0.5353448871832217,3.76,0.0,0.5007497402517582,1.0,0.0,8.019543492927335e-56,4.554792456243149e-41,5.720938392264422e-10,3.0439658384000417e-13,4.740927724680251e-15,3.828117985187068e-17,2.9973221847502777e-13
2.2774903774067483e-10,0.5353448871907146,3.76,0.0,0.500749740178123,1.0,0.0,2.0437171934898278e-55,1.0207599421984858e-40,7.192024227476448e-10,3.839558482987488e-13,7.256455959544997e-15,5.871890494955656e-17,3.768168301491029e-13
2.743340771627736e-10,0.5353448871982076,3.76,0.0,0.5007497401044875,1.0,0.0,4.551661629883803e-55,2.018554354839957e-40,8.663104442168602e-10,4.640724945490696e-13,1.033401460098178e-14,8.380523736376635e-17,4.5390609042281527e-13
