Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20)
0.0,0.12668697032456994,3.76,0.0,0.6318367045657656,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.527951357745071e-17,0.12668697032456994,3.76,0.0,0.6318367045657654,1.0,2.8638079130002897e-37,2.2550193778609954e-57,3.906194422640118e-37,2.6373078443222565e-16,1.5072975492328317e-17,5.367621398050101e-27,2.8109483447812047e-19,2.2850511585635752e-27,1.4791880657400615e-17,2.408294563888519e-28,8.857193737586986e-28,3.9382371185123756e-27,1.155494452141794e-45,1.9093544744688685e-29,6.82063632818113e-56,1.3422299364137913e-28,1.158290247573827e-28,2.262671687667296e-43,1.7119130912945492e-44,1.3473058896800208e-26,4.932454321039433e-55,4.529891873604825e-31,6.82250334391773e-79,6.988938184230242e-90
1.26782638016862e-16,0.12668697032456994,3.76,0.0,0.6318367045657652,1.0,3.399912758724751e-36,2.6771672528081974e-56,2.3593413611017432e-36,7.384461963797055e-16,4.2204331386477766e-17,3.242043324310434e-26,7.870655416313832e-19,1.3801709001993458e-26,4.141726584213087e-17,1.4546099244423367e-27,5.3497450102295125e-27,2.3786952170688076e-26,1.3718030139631633e-44,1.1532501026106508e-28,1.525749064473066e-54,8.107068806963474e-28,6.99607309642807e-28,2.6862438242135853e-42,2.0323842436013164e-43,3.7785628914330305e-26,1.1033703186436925e-53,2.7360545442175045e-30,2.815329506426422e-77,6.281417336687935e-88
2.8978888689568455e-16,0.12668697032456994,3.76,0.0,0.6318367045657647,1.0,3.3380545038652234e-35,2.628475223303885e-55,1.1359212328444209e-35,1.687877020152559e-15,9.646704320661053e-17,1.5609043023852276e-25,1.7990069763084924e-18,6.644928775507074e-26,9.466803621722806e-17,7.003320709592883e-27,2.575671927980755e-26,1.1452393502943983e-25,1.3468443343668304e-43,5.552402812227212e-28,3.0146230419532033e-53,3.903204641627569e-27,3.36830804156792e-27,2.637370108647484e-41,1.9954074196063885e-42,8.665502496591796e-26,2.18007383157465e-52,1.317292335684592e-29,1.1137198726685337e-75,6.3419571539086426e-86
6.158013846533297e-16,0.12668697032456996,3.76,0.0,0.6318367045657636,0.9999999999999999,2.9524713947825652e-34,2.3248857611103356e-54,4.96086582907338e-35,3.586738667209844e-15,2.0499246697421151e-16,6.816879173790293e-25,3.822889927145045e-18,2.9020149779934103e-25,2.0116957698996893e-16,3.058534217870322e-26,1.1248635934003547e-25,5.0015611015643825e-25,1.1912685621904975e-42,2.4248801830628953e-27,5.364360636700055e-52,1.7046320053329876e-26,1.4710286160960993e-26,2.332723981069513e-40,1.7649155923717917e-41,1.8537084116215187e-25,3.879324918133351e-51,5.752960394161808e-29,3.974812169074615e-74,5.046152424276366e-84
1.26782638016862e-15,0.12668697032457002,3.76,0.0,0.6318367045657615,0.9999999999999997,2.4817300857523154e-33,1.954255614523156e-53,2.0710633039724084e-34,7.384461959370718e-15,4.2204331501875536e-16,2.8459128636861596e-24,7.870656154747476e-18,1.21153413022631e-24,4.1417265862563696e-16,1.276877887332404e-25,4.696084018209885e-25,2.08805328518356e-24,1.0013330074526914e-41,1.0123397428020686e-26,9.047778299368284e-51,7.116502997653173e-26,6.141254907732467e-26,1.9607950417816527e-39,1.4835182303804017e-40,3.867105701424438e-25,6.543048510912082e-50,2.4017466146014744e-28,1.3430161213148254e-72,3.59741782310966e-82
2.5718763711992005e-15,0.1266869703245701,3.76,0.0,0.6318367045657572,0.9999999999999992,2.0346722284972364e-32,1.6022972378825252e-52,8.460965079102946e-34,1.4979908535877694e-14,8.561450131452107e-16,1.1626482639824402e-23,1.5966189913669626e-17,4.949512261921685e-24,8.401788222577179e-16,5.216463284762163e-25,1.918503506434564e-24,8.530378831411477e-24,8.209533001473114e-41,4.135738169592599e-26,1.4861003071846068e-49,2.907323625456269e-25,2.508903020636108e-25,1.6075782062882495e-38,1.2162783342629814e-39,8.050224161790417e-25,1.0746976876260654e-48,9.811909579815096e-28,4.4156544570989154e-71,2.4398882626393877e-80
5.1799763532603614e-15,0.12668697032457027,3.76,0.0,0.6318367045657488,0.9999999999999983,1.6477302651221198e-31,1.2977120843443334e-51,3.420053896719262e-33,3.017080165763255e-14,1.724348417547592e-15,4.699610168955291e-23,3.215726264638277e-17,2.0006720132579973e-23,1.6921911509648597e-15,2.1085782518468425e-24,7.754897555945863e-24,3.4481153885211434e-23,6.64829271394143e-40,1.6717314944673515e-25,2.4090326533786683e-48,1.1751866491626054e-24,1.0141387201963931e-24,1.3018584537009238e-37,9.849744391816261e-39,1.704175674354036e-24,1.742131277650668e-47,3.966123445683932e-27,1.4322791280810914e-69,1.6229264956258688e-78
1.0396176317382683e-14,0.12668697032457063,3.76,0.0,0.6318367045657319,0.9999999999999967,1.3262365732647357e-30,1.0447212366449252e-50,1.3751858414195442e-32,6.055258777610584e-14,3.460755258950238e-15,1.8896925748566668e-22,6.453942897128204e-17,8.044614342218086e-23,3.3962158141510643e-15,8.478503532919105e-24,3.1182099109525133e-23,1.3864719325138404e-22,5.351124433518393e-39,6.721958826326649e-25,3.8796728703103555e-47,4.725373473015923e-24,4.077807233470375e-24,1.047848850856865e-36,7.927942493698251e-38,3.752600565493104e-24,2.8056487597570656e-46,1.5947549349756713e-26,4.6147431329192e-68,1.0792520675548842e-76
2.0828576245627325e-14,0.12668697032457135,3.76,0.0,0.6318367045656981,0.9999999999999932,1.0642211766480234e-29,8.386594612098132e-50,5.51508792474385e-32,1.2131615951290693e-13,6.9335690721470945e-15,7.578512375193114e-22,1.2930384505895357e-16,3.226250291482324e-22,6.804265163611166e-15,3.400261630272241e-23,1.2505414078227703e-22,5.560371763236031e-22,4.293940466497503e-38,2.695806146336311e-24,6.227734330107432e-46,1.8950858240834213e-23,1.63538311949891e-23,8.408325642574193e-36,6.361692648283207e-37,8.849924729982048e-24,4.503687756965726e-45,6.395633567679549e-26,1.4819959294099685e-66,7.30284380585326e-75
