Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47)
0.0,0.1672038909313538,3.76,0.0,0.7370850978244042,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3890965904446984e-22,0.1672038909313538,3.76,0.0,0.737085097824404,1.0,4.777238842095952e-46,2.010871188815707e-55,2.38857270526785e-35,3.201456380403058e-16,2.0654842774818866e-18,1.0479356003125469e-30,1.4635006638810015e-18,1.5181854693573364e-31,6.019836136000369e-19,4.953911131733226e-32,1.290409901501321e-34,5.3422504257776844e-33,1.0121188383332046e-49,1.8238452927590904e-34,2.768092515465929e-63,1.5315663828110182e-32,1.0908831919957396e-32,3.64345907867563e-49,8.943563925179101e-49,6.98795269039459e-24,2.819784603901143e-64,2.3885125476828592e-35,1.5113772293256162e-84,2.570026975745514e-88,2.3361236208692066e-47,1.3185780188504542e-77,6.548856374828424e-63,3.0441580767711095e-33,7.468942781848132e-68,4.2863282571850907e-67,1.4697198552225526e-64,3.5264950671505124e-63,5.972597668200225e-82,3.700495922971435e-49,4.397535007696966e-94,2.5204394144584704e-79,5.852678243960181e-50
6.689470453245156e-22,0.1672038909313538,3.76,0.0,0.7370850978244038,1.0,5.671544609593507e-45,2.3873062754679113e-54,1.4426979139815359e-34,8.964077865128525e-16,5.7833559769523435e-18,6.32953102588776e-30,4.097801858867118e-18,9.169840234922363e-31,1.685554118080104e-18,2.992162323567059e-31,7.794075805068973e-34,3.2267192571692434e-32,1.2015874848700643e-48,1.1016025568264875e-33,6.192112233401018e-62,9.250660952178755e-32,6.588934479654665e-32,4.3255146182034466e-48,1.0618046000526628e-47,1.956626755732e-23,6.307786100522437e-63,1.4426615787971636e-34,6.236740455501596e-83,1.0605288278708858e-86,2.7734459626877264e-46,7.686987260714923e-76,2.0590652259499738e-61,1.8386714783693483e-32,1.6707726246943167e-66,1.3476901853076203e-65,4.6210343799964004e-63,1.1087864730321061e-61,2.464626486608063e-80,4.3932287597510035e-48,5.001878745135212e-92,1.5017829489502577e-77,6.948299611212283e-49
1.5290218178846072e-21,0.16720389093135382,3.76,0.0,0.7370850978244032,1.0,5.5683590462324475e-44,2.343871458000047e-53,6.945969426915228e-34,2.048932083457931e-15,1.3219099375905508e-17,3.0473967257088504e-29,9.366404248840608e-18,4.414883344897212e-30,3.852695127040242e-18,1.4405973571083081e-30,3.752511993567333e-33,1.553526423815435e-31,1.1797257179638954e-47,5.303742111343387e-33,1.223457031306433e-60,4.453795041214751e-31,3.172288322324207e-31,4.2468159021034876e-47,1.042496872133642e-46,4.4722897388031414e-23,1.2463158396596797e-61,6.945794488612502e-34,2.4671925022132073e-81,4.1953465799138335e-85,2.7229856924591012e-45,3.452396882348672e-74,4.59366125008385e-60,8.852411687244354e-32,3.3011651578484535e-65,3.006622667070314e-64,1.0309273499024615e-61,2.473641627070427e-60,9.749849355948065e-79,4.3132980478133826e-47,4.528181818524469e-90,6.76292248279932e-76,6.821881761106534e-48
3.24917136300479e-21,0.16720389093135385,3.76,0.0,0.737085097824402,1.0,4.925151675095607e-43,2.0731277614764157e-52,3.0334873356863638e-33,4.353980677348029e-15,2.809058617386084e-17,1.330878212396897e-28,1.9903609028792615e-17,1.9280955460900988e-29,8.186977144960533e-18,6.291467137304148e-30,1.638820574908219e-32,6.784658040730267e-31,1.043454037573673e-46,2.3162835218039936e-32,2.177076418158041e-59,1.9450893061703133e-30,1.3854216538352065e-30,3.756260571749675e-46,9.220809743537855e-46,9.503615743689658e-23,2.2177553892268053e-60,3.0334109355063363e-33,8.805234794879302e-80,1.4972893963828703e-83,2.4084500081160314e-44,1.2999429393712096e-72,8.603419131102168e-59,3.866080757493078e-31,5.874247020386292e-64,5.631071505979957e-63,1.9308128314266153e-60,4.632857004259497e-59,3.4796572525049565e-77,3.815063276742172e-46,3.4319588529417985e-88,2.55014339074777e-74,6.033877162280941e-47
6.6894704532451564e-21,0.16720389093135393,3.76,0.0,0.7370850978243997,1.0,4.13988720484297e-42,1.7425887994693918e-51,1.2664212483295885e-32,8.96407786512799e-15,5.783355976996749e-17,5.556154552856788e-28,4.097801858871673e-17,8.049419358589137e-29,1.6855541180801177e-17,2.626563682047611e-29,6.841753297773878e-32,2.8324611757406745e-30,8.770859914084157e-46,9.67002774220824e-32,3.671957587424721e-58,8.1203649616669e-30,5.78386268396697e-30,3.157363342231851e-45,7.750663221315767e-45,1.956626790843964e-22,3.7405710130298055e-59,1.2663893527356464e-32,2.975089829431296e-78,5.059002478404016e-82,2.0244473517665136e-43,4.503300830775958e-71,1.4860267029863815e-57,1.6140126122984344e-30,9.90777620655784e-63,9.726275677768484e-62,3.3349990070475778e-59,8.002108364616358e-58,1.1756984033989156e-75,3.2067905589041885e-45,2.38637139934783e-86,8.841220205548904e-73,5.071837323160345e-46
1.357006863372589e-20,0.1672038909313541,3.76,0.0,0.737085097824395,1.0,3.394129834744772e-41,1.428679581618922e-50,5.173744022489366e-32,1.8184272240686967e-14,1.1731950696296479e-16,2.269870427700706e-27,8.312683770864539e-17,3.2884504540946373e-28,3.41926692524827e-17,1.073036966780191e-28,2.7950794630596684e-31,1.1571528112195164e-29,7.190880870692431e-45,3.950521857927511e-31,6.031201363616699e-57,3.3174340478264174e-29,2.362896629195157e-29,2.588597227817141e-44,6.354468763658035e-44,3.969157285784739e-22,6.143901058211923e-58,5.173613718395162e-32,9.781444451250276e-77,1.6632893385871558e-80,1.6597642508462363e-42,1.498621678557256e-69,2.4690555924613465e-56,6.593768160561815e-30,1.627355219898215e-61,1.616035250661582e-60,5.541150729333499e-58,1.3295622729225365e-56,3.865440520961593e-74,2.62912064630747e-44,1.5912403054681265e-84,2.943397295284115e-71,4.1581986648518896e-45
2.7331264994687356e-20,0.16720389093135438,3.76,0.0,0.7370850978243857,1.0,2.748654411843859e-40,1.1569817678878828e-49,2.091310054927996e-31,3.662466099180115e-14,2.3629140135209525e-16,9.17517918982217e-27,1.6742447594882434e-16,1.3292442513642565e-27,6.886692539584671e-17,4.337386983585247e-28,1.1298158084493416e-30,4.677396675742466e-29,5.823361765409519e-44,1.5968640983843175e-30,9.77683731277042e-56,1.3409598833394287e-28,9.55120596989357e-29,2.0963131489970723e-43,5.146016259980225e-43,7.994218523629401e-22,9.959529933226946e-57,2.0912573837796193e-31,3.1725880635013917e-75,5.3948391529046186e-79,1.3441201224850557e-41,4.889830371901771e-68,4.025183773298463e-55,2.665306515761738e-29,2.638012948199093e-60,2.6345453245701087e-59,9.033474203029734e-57,2.1675220689771037e-55,1.2537465928310725e-72,2.1291300639241474e-43,1.0393835429669747e-82,9.605929587651483e-70,3.367417087087431e-44
5.485365771661028e-20,0.16720389093135496,3.76,0.0,0.737085097824367,0.9999999999999999,2.2123562273069026e-39,9.312395846288226e-49,8.40906575161015e-31,7.350543849401442e-14,4.742351901428998e-16,3.6892991983224464e-26,3.36019752430469e-16,5.3448326726106895e-27,1.382154376825786e-16,1.7440442295862014e-27,4.542939674709837e-30,1.880760631359155e-28,4.687148170060667e-43,6.420920306967501e-30,1.5745295089880488e-54,5.391940713357783e-28,3.8404979127800823e-28,1.6872951974276847e-42,4.141962659618911e-42,1.6044341991171179e-21,1.6039517174135675e-55,8.408853962031868e-31,1.0220915066398816e-73,1.7380193292770397e-77,1.081864810151378e-40,1.5799972804442657e-66,6.500682546112211e-54,1.0717080275278997e-28,4.24843855745085e-59,4.254797735614846e-58,1.4589084967472968e-55,3.500553930892237e-54,4.03911201688342e-71,1.7137091055568517e-42,6.720065939858954e-81,3.1041770491295507e-68,2.7103902298862e-43
1.0989844316045614e-19,0.16720389093135607,3.76,0.0,0.7370850978243297,0.9999999999999998,1.7752765547310885e-38,7.472611235671688e-48,3.3724114709755585e-30,1.4726699349838058e-13,9.501227677746838e-16,1.4795739864661628e-25,6.732103053989047e-16,2.143516955330099e-26,2.7691246225605783e-16,6.994397403548111e-27,1.8219219975334418e-29,7.542691322350235e-28,3.761141220570421e-42,2.57507622577272e-29,2.527468567857243e-53,2.162409386505695e-27,1.5402114335049275e-27,1.3539481337840703e-41,3.3236646144806705e-41,3.214459289366455e-21,2.5746978286661596e-54,3.3723265329138474e-30,3.2817214844582445e-72,5.580415788406118e-76,8.681283763075645e-40,5.080533053674586e-65,1.044965733450851e-52,4.298028523389512e-28,6.819684867541917e-58,6.839463091306843e-57,2.345152799443977e-54,5.627038205496166e-53,1.2968742187975494e-69,1.3751436315498966e-41,4.322741611020065e-79,9.982095750299652e-67,2.1749174643192705e-42
