Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212),C2H2O(189),CH3CO(33),C3H3(2030),C4H7(59),C4H7(2027),H2CC(23),C3H3(3173),C3H5(76),C4H7(77)
5.460180682782381e-16,0.27366836154181384,3.76,0.0,0.7125074843414427,0.9999999999999976,2.0927432613849088e-32,7.091422402273149e-46,9.984421017602973e-31,3.5060795902801777e-13,2.9987720452982877e-15,7.815253643333748e-21,4.74000175623388e-16,1.3638453922206886e-23,2.5247717785151937e-15,3.579697648696478e-24,2.7407830719247827e-25,7.289377690800104e-24,1.1854547181624091e-39,5.476874952455232e-26,4.309361171934853e-46,1.8816751133512793e-24,1.5957781092824079e-24,1.3226105565825334e-37,1.8903218051107078e-36,8.0815363910981e-23,1.7642066644698482e-48,1.8857450841387994e-27,2.67045760926292e-66,4.869613180792739e-67,2.976268313468734e-33,4.5036534925010395e-52,6.456233140215488e-44,1.8145154273130213e-25,2.271168813801954e-52,9.263097273978385e-54,9.531137960433674e-48,1.806918611428419e-46,2.6089344831866147e-62,2.1210944142470978e-36,2.120690068118743e-64,4.4209989185886275e-53,2.212867067140307e-39,2.1534909080911508e-63,1.8061775942722653e-68,1.309679162065215e-69,7.70409517784125e-21,7.15663451446285e-28,2.319364810700531e-41,6.966051995052639e-40,5.046469001460071e-35,5.6512066977046444e-65,2.0788792303053457e-59,4.6858537151419966e-66,2.297431127387224e-66,6.110142891207931e-73,1.4768766728224852e-37,6.271142175961761e-79,4.766622488356543e-56,5.311971748831123e-72
1.0925105223673175e-15,0.2736683615418226,3.76,0.0,0.7125074843412643,0.999999999999995,1.6754670779773969e-31,5.677449300008388e-45,3.996369947236489e-30,7.015205294217155e-13,6.0001496548593236e-15,1.585980526222392e-20,9.48412185824583e-16,5.458936011105956e-23,5.051737104158351e-15,1.4328119797119556e-23,1.0970274966660925e-24,2.917650696473336e-23,9.490846917103949e-39,2.1921772959804825e-25,6.90059264494041e-45,7.531604198532683e-24,6.387271180768808e-24,1.058892672879376e-36,1.5134065863932994e-35,1.6264022000974146e-22,2.8250295863752264e-47,7.547878805300947e-27,8.553046645516651e-65,1.5601951335640585e-65,2.3828188257512833e-32,7.214221788788575e-51,5.176361466198548e-43,7.2627902313799435e-25,3.6368555557346657e-51,1.483817337740025e-52,1.0114073140215131e-46,2.3097384070185715e-45,8.355604841694371e-61,1.6982161225029435e-35,6.794671107128017e-63,7.081831460717457e-52,1.7716353955430676e-38,6.899460282383445e-62,5.7868964684487164e-67,4.194948639263468e-68,1.5414881713063862e-20,2.864518335227543e-27,1.8569109160597632e-40,5.577074708999004e-39,4.040237837595503e-34,1.8099231054867522e-63,6.660593390416047e-58,1.501324300606422e-64,7.363379239820739e-65,3.915793641633564e-71,1.1823993569610067e-36,4.018565100443491e-77,7.63547132087572e-55,3.404022347489991e-70
2.185495430545476e-15,0.27366836154184015,3.76,0.0,0.7125074843409074,0.9999999999999899,1.3408828571707594e-30,4.543684116090114e-44,1.599068150049574e-29,1.4033456694864771e-12,1.2002905480033669e-14,3.261672240978368e-20,1.8972362620898897e-15,2.184285590670611e-22,1.0105667757962967e-14,5.733114435762273e-23,4.389538924859381e-24,1.1674402829816543e-22,7.595563755865006e-38,8.771564628628827e-25,1.1045442490655945e-43,3.013622682886267e-23,2.5557404736057433e-23,8.47435995454889e-36,1.2111848170845017e-34,3.2910899293502274e-22,4.5218881849926295e-46,3.020121934972549e-26,2.7383093313540744e-63,4.9957022483088745e-64,1.9069704068622809e-31,1.1549437309944636e-49,4.1530141067638575e-42,2.906061921487067e-24,5.821421695194977e-50,2.375478816504683e-51,1.2067661756208692e-45,3.229806984361909e-44,2.674911479976963e-59,1.3591704509658766e-34,2.1757949984730623e-61,1.1337524240643943e-50,1.4178407086120662e-37,2.2091557525873338e-60,1.8529446175271537e-65,1.3432355429742e-66,3.0836448674434623e-20,1.1461800200709173e-26,1.486107162348722e-39,4.463350680709314e-38,3.233408844894538e-33,5.794286217253788e-62,2.1326989798881014e-56,4.8072011153208214e-63,2.3581735709967557e-63,2.5078012317286323e-69,9.462788640159586e-36,2.5734929969438534e-75,1.2223858694964582e-53,2.1799679334281673e-68
4.371465246901794e-15,0.2736683615418754,3.76,0.0,0.7125074843401935,0.9999999999999798,1.0729099905221965e-29,3.635636330445545e-43,6.397310809258386e-29,2.8069959467254635e-12,2.400841955459139e-14,6.880181233851725e-20,3.794884638072221e-15,8.738565699282882e-22,2.0213529075645417e-14,2.293619246629488e-22,1.7561013945185895e-23,4.670521025655962e-22,6.077607853003366e-37,3.5091970226762294e-24,1.7676304933835066e-42,1.205645281750948e-22,1.0224626258294246e-22,6.780776124143412e-35,9.691312232907825e-34,6.733227814957371e-22,7.236496670606177e-45,1.208235235869555e-25,8.765497236200771e-62,1.599120744637721e-62,1.52585191281235e-30,1.8484374101845816e-48,3.338979756060406e-41,1.1626138453163879e-23,9.316439867874584e-49,3.8018401375780995e-50,1.6013870405849083e-44,4.794787252836347e-43,8.561473972693543e-58,1.0876731785968219e-33,6.965874815404379e-60,1.814532534325998e-49,1.1344783143722078e-36,7.071432570091297e-59,5.931220810627842e-64,4.301097115305641e-65,6.167955816089828e-20,4.585462948831248e-26,1.189134047909534e-38,3.5713521650086814e-37,2.5872034035394217e-32,1.8546228340125203e-60,6.826727944482245e-55,1.5387782808018729e-61,7.549406557649611e-62,1.6055287407061052e-67,7.571669010952864e-35,1.6475503078424085e-73,1.9563858337381814e-52,1.395622030975912e-66
8.743404879614428e-15,0.2736683615419458,3.76,0.0,0.7125074843387659,0.9999999999999596,8.58409456381462e-29,2.90878314030341e-42,2.5591301551004056e-28,5.614296489641288e-12,4.801945740054251e-14,1.5185701468641189e-19,7.590182283844202e-15,3.495711576535931e-21,4.042925175130321e-14,9.175224910484556e-22,7.02497723772439e-23,1.8683602211691967e-21,4.862552451593399e-36,1.403793052193609e-23,2.8284967876739507e-41,4.82297341175479e-22,4.0901834991827404e-22,5.425136949398009e-34,7.753775521318261e-33,1.4068553278506649e-21,1.157958337598391e-43,4.833252707362304e-25,2.805918298498086e-60,5.1180018866317445e-61,1.2207747970890032e-29,2.957898419825969e-47,2.696688518121419e-40,4.650832633512325e-23,1.490868390549423e-47,6.083729378789821e-49,2.2985680330727144e-43,7.373221290707665e-42,2.7399324308708333e-56,8.70429679787223e-33,2.2302079362123525e-58,2.9036781552052615e-48,9.07653351367806e-36,2.263204989178617e-57,1.8982636573495171e-62,1.3776731771564474e-63,1.2336567938887358e-19,1.8343316761016716e-25,9.514336117736238e-38,2.857342585422273e-36,2.0699353435493022e-31,5.935809378575909e-59,2.1848849654505344e-53,4.924846439247804e-60,2.4164726906733662e-60,1.0277020936423093e-65,6.057910954270641e-34,1.054595639251441e-71,3.130671809814428e-51,8.933351583217834e-65
1.7487284145039698e-14,0.27366836154208657,3.76,0.0,0.7125074843359106,0.9999999999999192,6.867601097813524e-28,2.3271336387952346e-41,1.0236917696103343e-27,1.122889752922435e-11,9.604157187978383e-14,3.607075089916813e-19,1.5180781150620907e-14,1.398342179399788e-20,8.086069726379051e-14,3.670240295220116e-21,2.810105206921354e-22,7.473743087983678e-21,3.8902338476290595e-35,5.615400709097624e-23,4.525825934025225e-40,1.9292676961330473e-21,1.6361400807254245e-21,4.340317159931139e-33,6.203298211402438e-32,3.0543402846377027e-21,1.8528310331266087e-42,1.9333144909674443e-24,8.98363463637213e-59,1.6379049972904516e-59,9.766299796427523e-29,4.732881283965026e-46,2.197756413426629e-39,1.8604077640305385e-22,2.3857871395142553e-46,9.734357729670976e-48,3.4667479150180285e-42,1.1558352843452672e-40,8.768070234681941e-55,6.967104320475871e-32,7.142278270167521e-57,4.64623589665475e-47,7.261323906436127e-35,7.2428427831202875e-56,6.074786202831864e-61,4.4163211178860326e-62,2.4673753086629253e-19,7.337603006072383e-25,7.612406986460714e-37,2.2859658976340258e-35,1.655988638202107e-30,1.899809917204916e-57,6.992146332853173e-52,1.57607023688888e-58,7.734683647939983e-59,6.577716941504344e-64,4.8465597851689975e-33,6.749918236572372e-70,5.009437377494456e-50,5.717724937669781e-63
3.497504267589023e-14,0.27366836154236807,3.76,0.0,0.7125074843302,0.9999999999998384,5.49421037803062e-27,1.861745747297741e-40,4.0948348135983865e-27,2.245809942339615e-11,1.9208595598759321e-13,9.493688532223019e-19,3.036199318513306e-14,5.593487716354911e-20,1.6172358893345323e-13,1.468126777558594e-20,1.1240649262061638e-21,2.9895565334709136e-20,3.1122724885133215e-34,2.246205989270416e-22,7.241508473715793e-39,7.717226423677434e-21,6.544694323441183e-21,3.4723386413105825e-32,4.96272966555602e-31,7.070989551666867e-21,2.9646161002768186e-41,7.732893246351965e-24,2.8775377276798603e-57,5.24161601376472e-58,7.812645782577266e-28,7.572564921971438e-45,1.8226934633953206e-38,7.441774539926351e-22,3.818240954622908e-45,1.5574525184179958e-46,5.378012306376908e-41,1.8302288962873825e-39,2.8057446109437576e-53,5.579153604917167e-31,2.2888642534835656e-55,7.434289931225196e-46,5.808800845947336e-34,2.317824232945415e-54,1.9439260158796446e-59,1.4180818084230948e-60,4.934796699172141e-19,2.935083102246039e-24,6.090992936898304e-36,1.8287894227815055e-34,1.3247611573422485e-29,6.081158188151806e-56,2.2375583620314758e-50,5.0436056229475657e-57,2.4759970667864345e-57,4.209745951674245e-62,3.8773413773103656e-32,4.3200879885643294e-68,8.015386189523688e-49,3.659390401529979e-61
6.995055973759131e-14,0.27366836154293117,3.76,0.0,0.7125074843187786,0.9999999999996766,4.3954190111835454e-26,1.489405707788913e-39,1.6379381275617758e-26,4.49165024717625e-11,3.8417534480028383e-13,2.8105329416211617e-18,6.07244744582147e-14,2.237422005821802e-19,3.2344937485154076e-13,5.872573171592814e-20,4.4963052374187294e-21,1.195833558380254e-19,2.489866000936801e-33,8.9849154071836e-22,1.158656991016503e-37,3.086920876371701e-20,2.6179050385619665e-20,2.777907872433345e-31,3.970188133014004e-30,1.7991004676730432e-20,4.7434814477523e-40,3.092771196736842e-23,9.22550908918836e-56,1.6774252966300726e-56,6.249263756363089e-27,1.2115299283666399e-43,1.561272371190633e-37,2.9767337609034404e-21,6.112093520348942e-44,2.4916451824166017e-45,8.469787160166401e-40,2.91307420123885e-38,8.977786576489786e-52,4.471915363968711e-30,7.345299676885469e-54,1.1895215656980273e-44,4.646462083273783e-33,7.4173529514352155e-53,6.220168030695158e-58,4.5687722445856995e-59,9.86957692485075e-19,1.1740309318704922e-23,4.87432859734662e-35,1.4630061764235451e-33,1.0597235959229256e-28,1.9470242664821132e-54,7.16023223221225e-49,1.6139762449635175e-55,7.928358727819931e-56,2.69407533854298e-60,3.1019123428320654e-31,2.764873494488358e-66,1.2824835458326025e-47,2.341928548847148e-59
1.3990159386099346e-13,0.27366836154405727,3.76,0.0,0.712507484295936,0.9999999999993532,3.516353745638473e-25,1.191517930845057e-38,6.551686156035077e-26,8.983330560858711e-11,7.683566048120705e-13,9.26822653782775e-18,1.214496658223863e-13,8.949766816640126e-19,6.469009570028438e-13,2.349046274497995e-19,1.7985310777736248e-20,4.783348805462017e-19,1.9919341556620143e-32,3.593984483396072e-21,1.853865859161096e-36,1.2347737549934886e-19,1.0471678843404835e-19,2.222345871542793e-30,3.17610100651083e-29,5.137789470858221e-20,7.589733738391096e-39,1.2367808442619795e-22,2.9632314056541667e-54,5.36825744082302e-55,4.997957954942511e-26,1.938129049689946e-42,1.4139822272756634e-36,1.1906944917231921e-20,9.788469332040609e-43,3.985629052505986e-44,1.3443635097450342e-38,4.6486679231085314e-37,2.8724543630443757e-50,3.5912131321307604e-29,2.363817824281172e-52,1.90328672010449e-43,3.71617813294211e-32,2.373677719242611e-51,1.9901273471163915e-56,1.4817488923270455e-57,1.9738887161383117e-18,4.6960335994015136e-23,3.90184806776501e-34,1.1703435301301396e-32,8.476272913428676e-28,6.237096656480083e-53,2.2912374009880617e-47,5.164676718641478e-54,2.942237622179081e-54,1.8126940423243435e-58,2.4815484840590335e-30,1.7694750161632854e-64,2.0519782356576305e-46,1.511981360994569e-57
2.7980366210779777e-13,0.2736683615463095,3.76,0.0,0.7125074842502509,0.9999999999987063,2.8130876161178116e-24,9.531952442275877e-38,2.6206013876673087e-25,1.7966690004261046e-10,1.5367290543662112e-12,3.3125073965144316e-17,2.429009638369937e-13,3.5799424489904394e-18,1.2938041625665927e-12,9.39624945849533e-19,7.194141286676182e-20,1.913336582101338e-18,1.5935993009608154e-31,1.437597481808384e-20,2.966204042268076e-35,4.939100573232813e-19,4.1886865313755597e-19,1.777892190285962e-29,2.5407789938586784e-28,1.64339061244407e-19,1.214397808672568e-37,4.944466597956117e-22,9.553087672871618e-53,1.718148877478984e-53,3.99600768481177e-25,3.099957509729071e-41,1.3951245088274852e-35,4.7627495288497386e-20,1.5690585650558918e-41,6.3737159559044914e-43,2.1423409536465204e-37,7.428014024814775e-36,9.188963736643978e-49,2.8948226924474168e-28,7.649401596804103e-51,3.045396996805404e-42,2.971330875528223e-31,7.596489856096993e-50,6.366277406718209e-55,4.8677378237768475e-56,3.947650682742133e-18,1.8783270102905992e-22,3.1252662684215285e-33,9.36168246087354e-32,6.778533779233733e-27,2.0000839186772275e-51,7.331618028323379e-46,1.6526553173890913e-52,9.476609535679594e-53,1.1612274023100086e-56,1.9852508924221664e-29,1.1323995991129034e-62,3.2831487616643616e-45,9.676368468235822e-56
