Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221)
0.0,0.0899684226592749,3.76,0.0,0.9780327151262309,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2433233031416927e-18,0.0899684226592749,3.76,0.0,0.9780327151262307,1.0,4.8766499142336207e-39,3.344016134980432e-57,7.087741134771062e-37,2.735618030499576e-16,9.278469723948404e-18,1.1877452783088673e-27,4.676098413986362e-19,2.1120918346284163e-28,8.81085988168914e-18,6.324711032762884e-29,3.957806858360428e-29,3.308308964544542e-28,4.782990076159001e-47,2.5063675455129757e-30,4.23456675016419e-58,1.7566147640918336e-29,1.4146638755798015e-29,7.252927917166477e-45,1.0641241327467202e-45,4.008853659493418e-26,1.5412515941035482e-57,4.7386868433045054e-32,4.088808779987601e-81,4.8864584075543375e-92,2.1189509115177487e-39,2.338530911314582e-71
6.28130524879674e-18,0.08996842265927492,3.76,0.0,0.9780327151262306,1.0,5.789558831578367e-38,3.9700177008244084e-56,4.280995632153732e-36,7.659730485349151e-16,2.5979715230304167e-17,7.173981480946752e-27,1.3093075562956237e-18,1.275703468262077e-27,2.4670407668810345e-17,3.8201254647125767e-28,2.3905153422123924e-28,1.998218614281443e-27,5.678365821057015e-46,1.5138459974935013e-29,9.472556441656245e-57,1.0609953173271753e-28,8.544569808615799e-29,8.610676022292331e-44,1.2633302839098246e-44,1.1225913514006752e-25,3.4477185172896383e-56,2.862166712706477e-31,1.6872588791231036e-79,3.9072762338422476e-90,2.515618401913606e-38,1.422642475750124e-69
1.4357269140106835e-17,0.08996842265927492,3.76,0.0,0.97803271512623,1.0,5.684223214311853e-37,3.897790421652075e-55,2.0611151021194393e-35,1.7507955394849655e-15,5.938220625601018e-17,3.453963269263972e-26,2.992702987607368e-18,6.141963057297139e-27,5.638950324337575e-17,1.839225969713138e-27,1.1509302340552535e-27,9.620562464343627e-27,5.5750532406626334e-45,7.288516822406676e-29,1.8716175283688127e-55,5.108235731214668e-28,4.11384255035676e-28,8.454012777244197e-43,1.240346092759673e-43,2.5664526292733924e-25,6.81211111585089e-55,1.378009923058803e-30,6.6746322326493e-78,4.1800238970673496e-88,2.469848809720298e-37,6.422488177418555e-68
3.050919692272702e-17,0.08996842265927493,3.76,0.0,0.978032715126229,0.9999999999999999,5.027631067262289e-36,3.447557666806315e-54,9.001431035815401e-35,3.720440521305608e-15,1.2618718835940023e-16,1.5084365033921065e-25,6.359493856301937e-18,2.682356632249049e-26,1.198276943937986e-16,8.032383025927671e-27,5.0264147064394975e-27,4.2015523802679395e-26,4.9310714652502e-44,3.1830867828582416e-28,3.3304433977083226e-54,2.2309007475400975e-27,1.7966231221627344e-27,7.47747855916718e-42,1.0970724456174533e-42,5.45597241289886e-25,1.2121788037442855e-53,6.0181301109309635e-30,2.382131610194031e-76,3.3964742688036695e-86,2.1845528489744283e-36,2.425009336572081e-66
6.28130524879674e-17,0.08996842265927497,3.76,0.0,0.9780327151262269,0.9999999999999998,4.226026847441324e-35,2.897890333042057e-53,3.7579201648461582e-34,7.659730484629058e-15,2.5979715277409245e-16,6.297425465052215e-25,1.3093075617975386e-17,1.1198310927638505e-25,2.467040766998122e-16,3.3533618024578064e-26,2.098429192992278e-26,1.7540654087682499e-25,4.144862701602083e-43,1.3288760726820614e-27,5.617279598688901e-53,9.313571453506114e-27,7.50054786991158e-27,6.28527127470969e-41,9.221556490896774e-42,1.1242200891668545e-24,2.0445167568776272e-52,2.5124498022616408e-29,8.048703081212758e-75,2.4374791803572404e-84,1.836247536549862e-35,8.41348394205718e-65
1.2742076361844814e-16,0.08996842265927504,3.76,0.0,0.9780327151262227,0.9999999999999996,3.4647521272383176e-34,2.3758826015566297e-52,1.5352329242839496e-33,1.5538310410004622e-14,5.270170824351251e-16,2.572703782169753e-24,2.6560239238459533e-17,4.574875414783251e-25,5.004568413325111e-16,1.3699577194515008e-25,8.572767939454793e-26,7.165929513720406e-25,3.3982088905946556e-42,5.428892358715397e-27,9.226398676181644e-52,3.8048978218467024e-26,3.0642185424049355e-26,5.153045121013581e-40,7.560389885775083e-41,2.2843413495271914e-24,3.3581249554390883e-51,1.0264168637989897e-28,2.64624981253921e-73,1.650120049458688e-82,1.505465421932467e-34,2.802041445285097e-63
2.5663618587940967e-16,0.08996842265927514,3.76,0.0,0.9780327151262143,0.999999999999999,2.8058460874918075e-33,1.9240789008312558e-51,6.205656287958261e-33,3.129547025567041e-14,1.0614569450837842e-15,1.0399280025557137e-23,5.3494566867976825e-17,1.849237795859766e-24,1.0079623706805967e-15,5.537588185064667e-25,3.4652498561682796e-25,2.8965832678063945e-24,2.751957705847384e-41,2.1944450920945315e-26,1.4956390066081132e-50,1.5380005255661505e-25,1.2386061280417416e-25,4.1730695243723806e-39,6.122600222816348e-40,4.6160861286646565e-24,5.443665362961508e-50,4.148934123526546e-28,8.583127849384194e-72,1.0860030859650702e-80,1.219162906005203e-33,9.146330067466161e-62
5.150670304013326e-16,0.0899684226592754,3.76,0.0,0.9780327151261974,0.999999999999998,2.2583890095827737e-32,1.5487104735326899e-50,2.4952665734730763e-32,6.280978992666061e-14,2.130336683687476e-15,4.181504759039133e-23,1.0736322368120742e-16,7.435703902940538e-24,2.0229734297075176e-15,2.2266398907264888e-24,1.393361717012669e-24,1.1647033802900595e-23,2.215015043748782e-40,8.82376720156564e-26,2.4086805828535536e-49,6.1842323963470165e-25,4.980380769501311e-25,3.3588493757524975e-38,4.928001801333502e-39,9.325584720536308e-24,8.766855533942981e-49,1.6682625743331337e-27,2.765220523551252e-70,7.049667879121276e-79,9.812851125343142e-33,2.955935896744287e-60
1.0319287194451788e-15,0.0899684226592759,3.76,0.0,0.9780327151261637,0.999999999999996,1.812214911853919e-31,1.2428138496919512e-49,1.0007130772296214e-31,1.2583842918727555e-13,4.2680962141203514e-15,1.676970429509069e-22,2.151005435244526e-16,2.982049881763486e-23,4.05299554908436e-15,8.929822145289691e-24,5.588003605842777e-24,4.6709813845589406e-23,1.777410183638019e-39,3.5387253016287005e-25,3.866466004716733e-48,2.4801537287491266e-24,1.9973554451713325e-24,2.6952650488786504e-37,3.9544117624016475e-38,1.892861803810289e-23,1.4072745589094383e-47,6.690434242801336e-27,8.878874245274125e-69,4.546314794203678e-77,7.87414273396891e-32,9.50584727507772e-59
