Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16),CO(14),C2H5O(43),CH2CHO(34),C2H(21),CH3O(26),HCCO(20),C3H6(255),C3H6(60),C3H6(51),C3H5(214),CH2CO(27),CH2(S)(24),CH2(T)(17),C1OO1(799),CH2O2(129),CHO2(157),CO2(15),C2H5O(91),C2H2O(94),C3H7(48),C2H4(47),C2H2O(788),C3H7(196),C#CC(211),C3H4(1113),C3H4(430),C4H7(54),C4H7(1650),C2H2O(167),C3H3(1111),C4H7(64),H2CC(23),C4H7(1651),C4H6(61)
2.9984505835079243e-13,0.5472483053943851,3.76,0.0,0.8684769169160143,0.9999999999999896,2.758134993622521e-28,8.275453013767296e-46,9.188031661964593e-32,3.472701570074005e-13,1.0689291117893954e-14,6.980930840262562e-21,1.7929627048077705e-21,1.5368339895737747e-16,1.4597427453476367e-22,2.4953953431987256e-37,1.2470750184744946e-41,1.0535604857504324e-14,1.830548230856698e-21,3.0949362812536604e-22,1.2014843217794234e-22,1.535078222074801e-23,1.1254168738219259e-22,1.2202453693283974e-23,8.353653745238947e-35,8.802574909766866e-33,1.8590898248237909e-25,8.31010958319186e-44,1.9298518379172717e-62,5.294115825934208e-24,8.456876827270003e-63,8.070751009756335e-49,6.580607318635374e-42,5.070945296393282e-51,1.784806016018938e-49,6.666676478246906e-48,5.478406376822088e-22,1.364606902919915e-26,4.6582007187250765e-38,1.8549540227779574e-36,2.438445366289574e-31,1.032498484016748e-32,1.0984565643146605e-28,9.613485509437441e-57,1.7049114370396636e-42,1.813808677284351e-37,2.660219477176015e-65,3.4973369219175804e-44,3.1662604674047335e-60,1.5402189892368682e-65,2.195907313669828e-58,2.323203579709246e-62,8.421404975457792e-66,4.576968604681616e-60,1.4838936989421354e-62,4.281862720924026e-65,2.17513140144405e-35,3.7819394337952994e-65,2.2284012394396964e-64
5.999506250059731e-13,0.547248305394402,3.76,0.0,0.8684769169158297,0.999999999999979,2.208181646883015e-27,6.625071186986643e-45,3.677470885323869e-31,6.948420089288366e-13,2.1387878180945315e-14,2.6845240073214896e-20,7.17652656075428e-21,3.075030297226078e-16,5.842819320215355e-22,1.997836598189132e-36,1.9969381880322575e-40,2.1080363698031654e-14,7.326957694904645e-21,1.23877952294549e-21,4.809060484969141e-22,5.691209856432911e-23,4.504601307847413e-22,4.8841616346817904e-23,6.688006778733414e-34,7.047063601546205e-32,7.436256202181383e-25,1.3307022088327662e-42,6.201224021496863e-61,2.11902107036155e-23,2.7094883962509926e-61,1.2921773457809982e-47,5.90635724100314e-41,8.117544525340201e-50,2.858948982025264e-48,1.0683226867310588e-46,1.0961146817243387e-21,5.461693973558306e-26,3.742123850850197e-37,1.484875472794994e-35,1.9513927149567852e-30,8.34081101662716e-32,8.78848311494855e-28,3.0781350859250196e-55,2.728969621833339e-41,1.4514267644382674e-36,8.809823585883909e-64,5.58037204643524e-43,1.0212170295941389e-58,4.933584312958386e-64,7.035213888358473e-57,7.550665683913128e-61,5.3938200318283045e-64,1.470179849207412e-58,4.754170476991309e-61,2.7433710560287094e-63,1.74142168422874e-34,2.4235899673919372e-63,1.428005854084408e-62
1e-12,0.5472483053944357,3.76,0.0,0.8684769169155838,0.9999999999999649,1.2515112656756279e-26,3.754498370467649e-44,1.1033199029744589e-30,1.1581652774849194e-12,3.564942124266991e-14,7.908486202459617e-20,2.1532549123280125e-20,5.125544549400361e-16,1.7531097323552494e-21,1.1323024035257721e-35,2.1970285532125734e-39,3.5136832423418174e-14,2.1983856836216786e-20,3.716839959241209e-21,1.4429117601257145e-21,1.647203067093829e-22,1.3515662018976652e-21,1.4654494976664802e-22,3.790517214739713e-33,3.993640589661356e-31,2.2285485581841638e-24,1.464050302417158e-41,1.3526011965916858e-59,6.357908663490977e-23,5.872873756359183e-60,1.4205255673730565e-46,4.027063734205961e-40,8.920956419688561e-49,3.1458275607455735e-47,1.1770514806026063e-45,1.8268946619478688e-21,1.6385782902025801e-25,2.1344715356924254e-36,8.413420032536899e-35,1.1050747334569966e-29,4.8066865580500066e-31,4.974756114491987e-27,6.667322675907055e-54,3.0018256054696643e-40,8.21844239107937e-36,2.0325941015782076e-62,6.128922570528166e-42,2.2424675097124314e-57,1.0688472288352816e-62,1.5248064523867295e-55,1.6816081027153974e-59,2.3178717036386105e-62,3.204403434291051e-57,1.0304067345386567e-59,1.1796915747354468e-61,9.869663759497232e-34,1.042602093343293e-61,6.142959465154572e-61
1.2001617583163343e-12,0.5472483053944357,3.76,0.0,0.8684769169154608,0.9999999999999579,1.7672109674467375e-26,5.301553420015082e-44,1.4713583430060632e-30,1.389985662417258e-12,4.278507927383553e-14,1.0522257211032043e-19,2.871547927680692e-20,6.151504252934546e-16,2.337924113548328e-21,1.5988812887098596e-35,3.196380276713286e-39,4.21698830208199e-14,2.931732836990938e-20,4.956719247017874e-21,1.9242442325307828e-21,2.1866134962082233e-22,1.802427987711428e-21,1.954300930342066e-22,5.352445091751596e-33,5.63923460758646e-31,2.9715188133732256e-24,2.1299963832173535e-41,1.9983378754100535e-59,8.478804850264795e-23,8.675755628893846e-60,2.066621930712589e-46,5.7464551789258e-40,1.2978335897689661e-48,4.576773804342328e-47,1.7125277808641152e-45,2.1925350426786267e-21,2.1851570338785835e-25,3.015204236957754e-36,1.1880066272570944e-34,1.5603542399511208e-29,6.794350438938251e-31,7.024113416354391e-27,9.849256248425533e-54,4.367224952908106e-40,1.1604268819136703e-35,3.0055082863011385e-62,8.916274032409226e-42,3.3133737699486184e-57,1.5789522417213087e-62,2.252531955734693e-55,2.4852091318278676e-59,3.450614157598504e-62,4.734143725488544e-57,1.522176013141043e-59,1.756215310413243e-61,1.3936569815358073e-33,1.5521341178285658e-61,9.14509476799134e-61
2.4005840249370565e-12,0.5472483053945035,3.76,0.0,0.8684769169147228,0.9999999999999157,1.4140285349815005e-25,4.241221018765519e-43,5.885519310784378e-30,2.7802727679765663e-12,8.557958932691209e-14,4.1657206807309875e-19,1.1488081693697752e-19,1.2304777524798458e-15,9.353501448157282e-21,1.2793556772108233e-34,5.115180845747805e-38,8.434892823338633e-14,1.172880340062669e-19,1.9830005156025028e-20,7.698178949776952e-21,8.566726008979532e-22,7.210891320892978e-21,7.81847696546718e-22,4.2827805703956533e-32,4.511351678469457e-30,1.1856505073495038e-23,3.4087076208671356e-40,6.479929931290545e-58,3.392042374820901e-22,2.777188448522049e-58,3.300967245961587e-45,6.229116947928876e-39,2.0716246136887275e-47,7.324310463633298e-46,2.748654068511725e-44,4.384864975573992e-21,8.740195352781177e-25,2.44518646124838e-35,9.500340090607278e-34,1.2463601243995579e-28,5.6267341199850954e-30,5.605458948514831e-26,3.1492806507721102e-52,6.98821151387309e-39,9.266737634525119e-35,1.0799024988676334e-60,1.4256157996038525e-40,1.088455696442682e-55,5.049290711305791e-61,7.209694592126235e-54,8.385486766878857e-58,2.2044338292026083e-60,1.5328366576478925e-55,4.871843449135077e-58,1.123490083137352e-59,1.1151219367512037e-32,9.937336824376097e-60,5.854735345846776e-59
4.801428558178501e-12,0.5472483053946388,3.76,0.0,0.8684769169132469,0.9999999999998314,1.1313162538022848e-24,3.39197592149572e-42,2.3537018384224594e-29,5.560846173427184e-12,1.711690409034197e-13,1.6576502083835117e-18,4.595622788523454e-19,2.4612625500966524e-15,3.741931203567147e-20,1.023594063623323e-33,8.184903556831004e-37,1.687070449269243e-13,4.691873608350735e-19,7.932568061476534e-20,3.079481413114067e-20,3.390796303963377e-21,2.8845958295403784e-20,3.1276458610604817e-21,3.4265678083275055e-31,3.607996038599711e-29,4.717969590054297e-23,5.454550788452655e-39,2.127491151268834e-56,1.3569020391596993e-21,8.889068685895682e-57,5.26134359696251e-44,7.593564115482408e-38,3.2975724482068085e-46,1.1718495064632946e-44,4.424063545519738e-43,8.76748264091728e-21,3.494878698193396e-24,2.0083485988011703e-34,7.592175980352586e-33,9.937414127983017e-28,4.804665161318713e-29,4.461124852305189e-25,1.0058693353341628e-50,1.1181509413841024e-37,7.384756043559979e-34,4.203298622302546e-59,2.2801899331932437e-39,3.661888398743228e-54,1.6128852725578632e-59,2.3070812350909322e-52,2.9590400773161994e-56,1.4051384194080186e-58,5.0173193564345445e-54,1.5588322113898163e-56,7.180678919232704e-58,8.921576241962802e-32,6.3615336610503506e-58,3.7476301083338045e-57
9.60311762466139e-12,0.5472483053949093,3.76,0.0,0.8684769169102952,0.9999999999996626,9.050735917312226e-24,2.711594474788827e-41,9.40961494262652e-29,1.1121989761673534e-11,3.423496699472111e-13,6.613321649196072e-18,1.838336810388957e-18,4.923352710828488e-15,1.4970142896986107e-19,8.189338304426984e-33,1.3095812915822174e-35,3.374233833911836e-13,1.876802144338591e-18,3.173092686686451e-19,1.2318100630705058e-19,1.3491850116737313e-20,1.1538889086736546e-19,1.25110968756446e-20,2.74141319019218e-30,2.884250981543899e-28,1.8675444233377261e-22,8.727933518224869e-38,7.15190908195424e-55,5.42762630756909e-21,2.8444612688698226e-55,8.351017138294954e-43,1.0251074869519802e-36,5.2205233823990455e-45,1.874112687133255e-43,7.161331309815322e-42,1.7524556807495476e-20,1.3968222150016137e-23,1.6896773508819473e-33,6.059957613698552e-32,7.89573563756599e-27,4.3236434209182445e-28,3.5317416676666284e-24,3.2061871850209742e-49,1.7890229546858637e-36,5.861678098347673e-33,1.813800889456065e-57,3.6476525720583027e-38,1.2858392827213552e-52,5.140146465573453e-58,7.379682674392431e-51,1.2509187558646295e-54,9.074345956539309e-57,1.6760310422162833e-52,4.98462559718973e-55,4.60120839268174e-56,7.137205743454418e-31,4.124601142027597e-56,2.419586320213517e-55
1e-11,0.5472483053954506,3.76,0.0,0.8684769169100512,0.9999999999996487,1.1668960851664118e-23,3.4946611739319743e-41,1.0574430188226527e-28,1.1581644122532902e-11,3.564988461417328e-13,7.431826443525566e-18,2.0662681406078833e-18,5.126942192035242e-15,1.6826821308566243e-19,1.0558639118025945e-32,2.121334188451133e-35,3.5136860634361333e-13,2.1094905298537987e-18,3.566489054877473e-19,1.3845258352972275e-19,1.5158853522879382e-20,1.2969555648380298e-19,1.40622926367143e-20,3.534521510749848e-30,3.7171563007195286e-28,2.092761712247821e-22,1.4138890059878515e-37,1.7223288744924346e-54,6.10050613407728e-21,6.4892786246803935e-55,1.3441287578750226e-42,1.5978243510461775e-36,8.385556081751382e-45,3.034824930319609e-43,1.1709910204311827e-41,1.8247023923997693e-20,1.5696164278359316e-23,2.2329336011357364e-33,7.803844547270364e-32,1.0144517701619292e-26,5.885402989695123e-28,4.529484677123602e-24,7.280535199676368e-49,2.897987468287322e-36,7.52746168664942e-33,5.328383360980213e-57,5.908636251060468e-38,3.2347962585317317e-52,1.16714603437313e-57,1.6826537303627034e-50,3.3329143080655683e-54,3.232336869443663e-56,4.00387546046716e-52,1.1362193727484569e-54,1.6510061199025836e-55,9.201734881876512e-31,1.4870406714224237e-55,8.720433698570333e-55
1.9206495757627166e-11,0.5472483053954506,3.76,0.0,0.8684769169043917,0.9999999999993252,7.240402556714494e-23,2.165948957541918e-40,3.7594694335473066e-28,2.2244264047683552e-11,6.847178316727581e-13,2.6418713704928358e-17,7.353599992773209e-18,9.84961523446592e-15,5.989626198329189e-19,6.551940141020669e-32,2.0951597424224917e-34,6.748564806569357e-13,7.507171977076436e-18,1.269211977034203e-18,4.92707948971065e-19,5.382839578588127e-20,4.615678302050707e-19,5.0045440493439113e-20,2.1932285791220336e-29,2.3038093092012543e-27,7.317135843565811e-22,1.3965705750920768e-36,2.5084947096447634e-53,2.1709325404157584e-20,9.103824730832801e-54,1.3152048717848906e-41,1.4883159521463318e-35,8.180494159736652e-44,2.995991157243604e-42,1.1722347013421918e-40,3.500612147129482e-20,5.57793044290001e-23,1.4834869776806923e-32,4.82568569593546e-31,6.230960191547766e-26,4.211359990096044e-27,2.767416772315387e-23,1.0179334313179601e-47,2.8622680032728386e-35,4.616870778819432e-32,8.685628841423848e-56,5.8356761797170196e-37,4.8444826344366265e-51,1.6317860010948584e-56,2.3596558824476856e-49,5.162904537809099e-53,5.71631845224324e-55,5.800297215191912e-51,1.5930288745429325e-53,2.9276017874650295e-54,5.709269687827224e-30,2.6414127274426435e-54,1.5488143318565142e-53
3.841325202355873e-11,0.5472483053965329,3.76,0.0,0.8684769168925847,0.9999999999986503,5.791817942718848e-22,1.7273941495057063e-39,1.5002523089206382e-27,4.4488761058867415e-11,1.3694817702744635e-12,1.05605602781491e-16,2.9415524310664527e-17,1.9710468611944338e-14,2.397032577531331e-18,5.242112791009674e-31,3.3515828930071075e-33,1.3497243567653611e-12,3.002747876224354e-17,5.0764922424726055e-18,1.970643045158687e-18,2.1506493192005374e-19,1.8463127527989454e-18,2.001840768801208e-19,1.754676872936516e-28,1.8372558081496467e-26,2.8111794667195767e-21,2.234749908326711e-35,9.433165350563801e-52,8.682521524216552e-20,2.9146835125493308e-52,2.0399990964069727e-40,2.25997039827131e-34,1.2568197471066397e-42,4.785003449370472e-41,1.9600669225175252e-39,6.983940219493221e-20,2.2236446945589297e-22,1.394495295634596e-31,3.825139212207558e-30,4.8523175634102615e-25,4.5261464184169913e-26,2.1261365651192573e-22,3.2069566747958785e-46,4.579001353091843e-34,3.582482915162743e-31,4.4827270974566103e-54,9.336477253000799e-36,2.0170904661803974e-49,5.139769039652663e-55,7.538658941502149e-48,2.3884088870869196e-51,3.547217526133265e-53,2.1190717397476042e-49,5.0843578914063374e-52,1.8517334712653998e-52,4.5664616029573786e-29,1.691857333643473e-52,9.91271497964684e-52
