Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16),CO(14),C2H5O(43),CH2CHO(34),C2H(21),CH3O(26),HCCO(20),C3H6(255),C3H6(60),C3H6(51),C3H5(214),CH2CO(27),CH2(S)(24),CH2(T)(17),C1OO1(799),CH2O2(129),CHO2(157),CO2(15),C2H5O(91),C2H2O(94),C3H7(48),C2H4(47),C2H2O(788),C3H7(196),C#CC(211),C3H4(1113),C3H4(430),C4H7(54),C4H7(1650),C2H2O(167),C3H3(1111),C4H7(64),H2CC(23),C4H7(1651),C4H6(61),C4H6(69),C2H3O(198)
0.0,0.6290254126975257,3.76,0.0,0.7639183643660058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5506901186189664e-18,0.6290254126975257,3.76,0.0,0.7639183643660056,1.0,1.6944379560594174e-40,9.610814317174474e-55,7.1369786057821205e-37,3.840422248064706e-16,2.540230702942803e-18,3.2015611380247333e-24,3.001187122092171e-29,2.978994714910331e-19,5.987939937161179e-30,3.3311290535074806e-48,4.4800009483897184e-57,2.2423312312205955e-18,1.309511765713804e-29,4.495722211291727e-31,4.44015799853975e-30,2.5669612145118775e-26,4.0115459114521816e-30,1.0859667532853649e-31,5.788522632831321e-46,8.32662919010789e-45,3.070044115384037e-33,1.8051945230061778e-59,2.5026786253897874e-80,3.8519096622846873e-31,2.5093743784573664e-81,1.1893309839260433e-63,8.3365833738253915e-53,2.316814867755083e-65,2.617115463411532e-64,2.0990796636009272e-63,3.2012821077056412e-24,9.021203982397766e-34,4.2331946481071264e-50,1.3709494790288583e-48,2.222908892183004e-43,9.338291338147452e-45,1.7262520480231054e-41,5.0816055849572756e-76,4.720618324346701e-56,5.1101431626769577e-48,1.3284530021397661e-83,4.296559820737703e-57,2.379332592004382e-78,3.3417017834679886e-83,3.656309279072742e-77,1.4823728197678548e-80,1.4275242422578608e-89,8.578750374810661e-79,2.266667418963971e-80,8.507052559938875e-89,4.276997941062606e-46,6.330917631163706e-89,7.71958926624444e-88,2.8860803688047165e-99,1.0166063984613868e-79
7.141932332133106e-18,0.6290254126975257,3.76,0.0,0.7639183643660052,1.0,2.0116367557135932e-39,1.1409958752584615e-53,4.3107350760531056e-36,1.0753182294571566e-15,7.11264596906495e-18,8.965275240439282e-24,1.8127170219199986e-28,8.341185202483562e-19,3.6167157223111514e-29,3.9547164138572685e-47,1.0021582921897266e-55,6.278527447420299e-18,7.909451064576269e-29,2.715416215632426e-30,2.68185543105568e-29,7.187756066864186e-26,2.4229737305397397e-29,6.55923918984524e-31,6.872134070023188e-45,9.885374477627212e-44,1.854306632005233e-32,4.038148480713181e-58,1.0425065729067526e-78,2.3265534358074643e-30,1.5120211974833447e-79,3.7394033493704533e-62,1.2598336050863277e-51,7.284405704273721e-64,8.228622603636122e-63,4.6955573360694995e-62,8.963589897311967e-24,5.4488072018066715e-33,5.025648786704737e-49,1.627591218998021e-47,2.6390374212809783e-42,1.1086420863916077e-43,2.049406414750275e-40,2.0969390397572952e-74,7.221823554919111e-55,6.066761920104068e-47,5.481900404700452e-82,6.517197324986708e-56,1.3703759632468702e-76,2.0329202621730273e-81,2.1058451438566503e-75,7.081473169553817e-79,1.5238570298176525e-87,3.540294422724641e-77,1.3789244042359742e-78,9.543274107958732e-87,5.077651955830297e-45,6.911297989798164e-87,8.55332370169517e-86,5.784872089620648e-97,4.1950582765952686e-78
1.6324416759161384e-17,0.6290254126975258,3.76,0.0,0.7639183643660046,1.0,1.9750369017883017e-38,1.1202365153122908e-52,2.0754333758024982e-35,2.4578702387546846e-15,1.625747650460965e-17,2.0496319661148488e-23,8.727452153688938e-28,1.906556618056857e-18,1.741292934125171e-28,3.882764029407822e-46,1.980095907418513e-54,1.4350919879830232e-17,3.808060214193079e-28,1.307356019061967e-29,1.2911979458818626e-28,1.6430404436492521e-25,1.1665575510842267e-28,3.157991318556293e-30,6.747101981834898e-44,9.705519404964078e-43,8.927688082235898e-32,7.978701394681818e-57,4.1410167836463086e-77,1.1201353294736465e-29,6.808843107373049e-78,8.342381959522575e-61,1.3552918005077219e-50,1.625109318602114e-62,1.8357600914156403e-61,9.277630423612041e-61,2.0488205459469306e-23,2.6233661127377305e-32,4.9342119932947504e-48,1.5979787049897747e-46,2.5910225566195535e-41,1.0884716684269268e-42,2.0121193355211884e-39,8.295282749707628e-73,7.964697769658651e-54,5.956382738275603e-46,2.1685869412958447e-80,7.064810578121131e-55,6.145343298790076e-75,9.177573736974508e-80,9.443491630464807e-74,3.6873086289557224e-77,1.4204680935355986e-85,1.4005485993212736e-75,6.2251238963709864e-77,8.692601373224945e-85,4.985268800724958e-44,6.370914856615471e-85,7.831966983209569e-84,1.0598988503411503e-94,1.659523951802225e-76
3.4689385613217946e-17,0.6290254126975259,3.76,0.0,0.7639183643660031,1.0,1.746897775381655e-37,9.908365096819829e-52,9.063962800834227e-35,5.222974257334364e-15,3.4547137588900655e-17,4.357287336608726e-23,3.811507647790123e-27,4.051432814849275e-18,7.604683724314603e-28,3.43426081865525e-45,3.523474871731126e-53,3.049570474469218e-17,1.663079941937112e-27,5.709567208529928e-29,5.639000657179344e-28,3.491993583544406e-25,5.094663307894903e-28,1.3791777766749447e-29,5.967735295655116e-43,8.584422034670454e-42,3.898955814393489e-31,1.4197673243770657e-55,1.4807366765301455e-75,4.8919252678078525e-29,2.5683778459466593e-76,1.562434209424074e-59,1.2457840461533236e-49,3.043648692388675e-61,3.4381752302012344e-60,1.6509049054765543e-59,4.353743651556273e-23,1.145692900242311e-31,4.364255008478811e-47,1.4133940585897988e-45,2.2917300504551445e-40,9.627413869073561e-42,1.7796967029553624e-38,2.9605275248914824e-71,7.681544819278581e-53,5.268352917498058e-45,7.739544622297847e-79,6.593066972013912e-54,2.3120332280849107e-73,3.465277156157396e-78,3.552877306258014e-72,1.47150827241307e-75,1.0906395679330113e-83,4.998531493380438e-74,2.3504883330165193e-75,6.606758034214445e-83,4.40941379862491e-43,4.868807238951975e-83,5.967376072996107e-82,1.6169118149587557e-92,5.922724131534226e-75
7.141932332133107e-17,0.6290254126975262,3.76,0.0,0.7639183643660004,1.0,1.4683728394121101e-36,8.328577856745835e-51,3.784026031127521e-34,1.0753182294432216e-14,7.112645981028911e-17,8.97838402300456e-23,1.5912294145930277e-26,8.341185213135776e-18,3.174805758390772e-27,2.8867031571420664e-44,5.942855375107561e-52,6.27852744745845e-17,6.943031377139814e-27,2.3836319165973635e-28,2.3541717699562448e-27,7.191593727212681e-25,2.126921642567514e-27,5.757795725941784e-29,5.016241101077884e-42,7.215723955936805e-41,1.627737199046813e-30,2.3946451495253944e-54,5.007775327382937e-74,2.0422824999789905e-28,8.906966261688529e-75,2.698715130684055e-58,1.065858479046642e-48,5.257144971605492e-60,5.938592498988078e-59,2.7844929028994512e-58,8.963589835486458e-23,4.7830423017651035e-31,3.668419937596615e-46,1.1880428537435518e-44,1.9263370961255967e-39,8.092430245962878e-41,1.4959422079802597e-37,1.0002953189565599e-69,7.189055517119797e-52,4.428367799029376e-44,2.6150252252303808e-77,5.8104788082064035e-53,8.005846429975108e-72,1.2022655804155311e-76,1.230248571350856e-70,5.229972264372598e-74,7.629004210074631e-82,1.6889032867639817e-72,8.154935918326127e-74,4.599994142637468e-81,3.7063779861290763e-42,3.398717073978719e-81,4.159750092712073e-80,2.255632422517214e-90,2.0011547917043737e-73
1.448791987375573e-16,0.6290254126975269,3.76,0.0,0.7639183643659948,0.9999999999999999,1.203860769048377e-35,6.828271267738104e-50,1.545898092202923e-33,2.1813598368381893e-14,1.442851044642918e-16,1.8243721177428024e-22,6.50069137476248e-26,1.692069002851545e-17,1.297011745288228e-26,2.3666936707734684e-43,9.761157805524552e-51,1.2736441393504267e-16,2.836454861048751e-26,9.737914139989798e-28,9.617559823795e-27,1.459756947006125e-24,8.68916890871368e-27,2.352247426305514e-28,4.112617526553447e-41,5.915886404626615e-40,6.649836739147628e-30,3.93321189973598e-53,1.6472167223566095e-72,8.343390379796866e-28,2.9657674847940865e-73,4.483954092630004e-57,8.813782487249386e-48,8.734823170978515e-59,9.867060133870322e-58,4.573539526229374e-57,1.8183282094192826e-22,1.954028825321127e-30,3.007593345865041e-45,9.74029283980004e-44,1.579327374460476e-38,6.634677660750709e-40,1.2264636299087839e-36,3.2887519547175463e-68,6.965037733173519e-51,3.6306430292460626e-43,8.597683543485438e-76,5.085326632434782e-52,2.663601602950999e-70,4.004046059900346e-75,4.093114454955432e-69,1.7615996356450375e-72,5.101645706512259e-80,5.552767325379424e-71,2.7159341293361004e-72,3.0692544460574284e-79,3.038712605041616e-41,2.2705799290773154e-79,2.777122798229408e-78,3.012766958478471e-88,6.579359393410246e-72
2.917989495700098e-16,0.6290254126975282,3.76,0.0,0.7639183643659836,0.9999999999999998,9.749176624093877e-35,5.5297110253795006e-49,6.248767165638668e-33,4.393443051529714e-14,2.9060239461720036e-16,3.686697061279804e-22,2.627683399504581e-25,3.4079699734501457e-17,5.242728861925426e-26,1.9166099200332393e-42,1.582325746110483e-49,2.5652269285865323e-16,1.146540404191434e-25,3.9362205918394146e-27,3.8875714492496043e-26,2.9436622777807558e-24,3.512301001877902e-26,9.508160189213546e-28,3.330504305267584e-40,4.790838098635807e-39,2.6879696554030424e-29,6.375906085858641e-52,5.343971577659547e-71,3.3725317803486574e-27,9.67976346416024e-72,7.3099747287265405e-56,7.168943061294972e-47,1.4239962230731427e-57,1.6085798368185107e-56,7.413909755541714e-56,3.662266617498957e-22,7.898496758216778e-30,2.435628760251907e-44,7.887941253969226e-43,1.2789799933631578e-37,5.3729573429753695e-39,9.932217651627935e-36,1.0666986711990732e-66,7.324415872233799e-50,2.940188138157514e-42,2.7886722586749397e-74,4.5925089825726395e-51,8.690053560426869e-69,1.3069871339715183e-73,1.3353807690418227e-67,5.781752556378242e-71,3.3370357573190235e-78,1.8010320761670403e-69,8.865261255943231e-71,2.0054407666825555e-77,2.460828254887629e-40,1.4845100499481237e-77,1.815084706733423e-76,3.938838792471092e-86,2.133999485648455e-70
5.856384512349147e-16,0.6290254126975308,3.76,0.0,0.7639183643659612,0.9999999999999996,7.846985495287416e-34,4.4507923750121007e-48,2.512601721137179e-32,8.81760948051912e-14,5.832369783026297e-16,7.448376998959741e-22,1.0565799449762013e-24,6.839771944738015e-17,2.1080782275833374e-25,1.5426544448013842e-41,2.548286840652595e-48,5.148392507166512e-16,4.61018852525828e-25,1.582736988337181e-26,1.5631753791059222e-25,5.922313668150584e-24,1.412280786093019e-25,3.8231893937398954e-27,2.6806796209864147e-39,3.856083143818352e-38,1.0808202324365377e-28,1.0268200474197856e-50,1.721847437163402e-69,1.356080187500266e-26,3.128173374392904e-70,1.1805623941303494e-54,5.784789252565195e-46,2.2997565321628408e-56,2.597860778579731e-55,1.1939889518196416e-54,7.350143259011919e-22,3.1759506660403244e-29,1.9604086443478437e-43,6.348900677493371e-42,1.029433946763719e-36,4.324661107095231e-38,7.994308333126036e-35,3.436510926552874e-65,8.58604105608298e-49,2.3665180488309165e-41,8.984299573454623e-73,4.441538181503791e-50,2.8077829275480037e-67,4.2239553533851353e-72,4.314617437663054e-66,1.873615294780034e-69,2.159040799263519e-76,5.8022836693992445e-68,2.8650991903280324e-69,1.296807186924236e-75,1.9806886721949372e-39,9.60246204863386e-76,1.1738826041216445e-74,5.0952049282722705e-84,6.874963627848532e-69
1.1733174545647247e-15,0.6290254126975358,3.76,0.0,0.7639183643659163,0.999999999999999,6.296711655705301e-33,3.571480367669378e-47,1.0076656104100516e-31,1.7665942336923361e-13,1.1685061591919388e-15,1.5119857076716985e-21,4.2373582024863914e-24,1.3703376007676427e-16,8.454336638360717e-25,1.237883102946383e-40,4.090564761889135e-47,1.0314723664757552e-15,1.8488917836689334e-24,6.34748322354727e-26,6.269032397623609e-25,1.192297936417965e-23,5.663877617463183e-25,1.5332699432667054e-26,2.1510765866283077e-38,3.0942636305800734e-37,4.334568178319121e-28,1.648273668720984e-49,5.52891803187474e-68,5.438488005833074e-26,1.0059483814761974e-68,1.8977182055451557e-53,4.651118541158025e-45,3.6967878122883956e-55,4.1759855020791726e-54,1.9166219662815686e-53,1.472589584345236e-21,1.2736981513811383e-28,1.5731088452364787e-42,5.094591864049503e-41,8.260552357186505e-36,3.4703285252654163e-37,6.414921725271105e-34,1.1033909865063701e-63,1.1200035169824085e-47,1.8989798419025384e-40,2.8848117229437715e-71,4.752509553800871e-49,9.028416420218322e-66,1.3583599554110418e-70,1.3873388770818762e-64,6.033365518797593e-68,1.3893024635223904e-74,1.8630013130826875e-66,9.213729247174863e-68,8.342472982162168e-74,1.5893779287541706e-38,6.1782988619005e-74,7.552230824683446e-73,6.556319374455422e-82,2.207406620826123e-67
