Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30)
1.8417024523676203e-14,0.13114681143898327,3.76,0.0,0.8475387852569459,1.0,0.0,0.0,0.0,2.3874392986819406e-09,2.6363309276648983e-16,2.6363309276648983e-16
2.762553727339887e-14,0.13114681145294244,3.76,0.0,0.8475387846600857,1.0,0.0,0.0,0.0,3.581158845096697e-09,5.602203164338682e-16,5.602203164338682e-16
3.6834050023121534e-14,0.1311468114669015,3.76,0.0,0.8475387840632254,1.0,0.0,0.0,0.0,4.774878291808405e-09,9.556699337296936e-16,9.556699337296936e-16
5.5251075522566865e-14,0.13114681149481972,3.76,0.0,0.8475387828695045,1.0,0.0,0.0,0.0,7.162316951234887e-09,1.978593127125194e-15,1.978593127125194e-15
7.36681010220122e-14,0.131146811522738,3.76,0.0,0.8475387816757832,1.0,0.0,0.0,0.0,9.54975524401775e-09,3.3650685316654774e-15,3.3650685316654774e-15
9.208512652145753e-14,0.1311468115506562,3.76,0.0,0.8475387804820617,1.0,0.0,0.0,0.0,1.193719314396821e-08,5.14106410614019e-15,5.14106410614019e-15
1.289191775203482e-13,0.13114681160649264,3.76,0.0,0.8475387780946173,1.0,0.0,0.0,0.0,1.6712067740696784e-08,9.886082776907324e-15,9.886082776907324e-15
1.6575322851923885e-13,0.1311468116623291,3.76,0.0,0.8475387757071712,1.0,0.0,0.0,0.0,2.148694074192544e-08,1.6213148465352518e-14,1.6213148465352518e-14
2.3942133051702015e-13,0.13114681177400203,3.76,0.0,0.8475387709322744,1.0,0.0,0.0,0.0,3.103668195855785e-08,3.3612751174911224e-14,3.3612751174911224e-14
3.8675753451258274e-13,0.13114681199734782,3.76,0.0,0.8475387613824622,1.0,0.0,0.0,0.0,5.013614524868699e-08,8.739367585862842e-14,8.739367585862842e-14
6.81429942503708e-13,0.13114681244403947,3.76,0.0,0.8475387422827619,1.0,0.0,0.0,0.0,8.833499525715e-08,2.708816321606095e-13,2.708816321606095e-13
1e-12,0.13114681333742273,3.76,0.0,0.847538721633981,1.0,0.0,0.0,0.0,1.296316204928843e-07,5.831325438799275e-13,5.831325438799275e-13
1.2707747584859584e-12,0.13114681333742273,3.76,0.0,0.8475387040830591,1.0,0.0,0.0,0.0,1.6473238898809707e-07,9.415605504477077e-13,9.415605504477077e-13
2.4494643904504596e-12,0.13114681512418913,3.76,0.0,0.8475386276824436,1.0,0.0,0.0,0.0,3.1752595131412846e-07,3.4977205828264365e-12,3.4977205828264365e-12
4.806843654379462e-12,0.13114681869772146,3.76,0.0,0.8475384748763745,1.0,0.0,0.0,0.0,6.2310817548257e-07,1.3469175372929119e-11,1.3469175372929119e-11
7.164222918308464e-12,0.13114682227125313,3.76,0.0,0.847538322063854,1.0,0.0,0.0,0.0,9.286838657506022e-07,2.9919380134045616e-11,2.9919380134045616e-11
9.521602182237467e-12,0.13114682584478415,3.76,0.0,0.8475381692448826,1.0,0.0,0.0,0.0,1.234253022226752e-06,5.284820038351623e-11,5.284820038351623e-11
1e-11,0.13114682941831451,3.76,0.0,0.8475381382315791,1.0,0.0,0.0,0.0,1.296263297731688e-06,5.82920512737385e-11,5.82920512737385e-11
1.1878981446166469e-11,0.13114682941831451,3.76,0.0,0.8475380164194602,1.0,0.0,0.0,0.0,1.5398156450231566e-06,8.225549715114018e-11,8.225549715114018e-11
1.6593739974024472e-11,0.13114683656537335,3.76,0.0,0.8475377107492635,1.0,0.0,0.0,0.0,2.150921289992439e-06,1.605050050437867e-10,1.605050050437867e-10
2.1308498501882477e-11,0.13114684371242952,3.76,0.0,0.8475374050532651,1.0,0.0,0.0,0.0,2.7620008015576613e-06,2.6466678940806107e-10,2.6466678940806107e-10
2.602325702974048e-11,0.1311468508594832,3.76,0.0,0.8475370993314663,1.0,0.0,0.0,0.0,3.373054180665488e-06,3.947396770472329e-10,3.947396770472329e-10
3.073801555759848e-11,0.13114685800653422,3.76,0.0,0.8475367935838682,1.0,0.0,0.0,0.0,3.984081428254576e-06,5.507225047105385e-10,5.507225047105385e-10
4.016753261331449e-11,0.13114687230062852,3.76,0.0,0.8475361820112797,1.0,0.0,0.0,0.0,5.20605753247799e-06,9.404135171289142e-10,9.404135171289142e-10
4.86540979634589e-11,0.13114688516530448,3.76,0.0,0.847535631507729,1.0,0.0,0.0,0.0,6.305746665594962e-06,1.3797361340018944e-09,1.3797361340018944e-09
5.71406633136033e-11,0.13114689802997206,3.76,0.0,0.8475350809206086,1.0,0.0,0.0,0.0,7.405351146729838e-06,1.902989436137894e-09,1.902989436137894e-09
7.411379401389212e-11,0.1311469237592818,3.76,0.0,0.8475339794956862,1.0,0.0,0.0,0.0,9.60430617430271e-06,3.2012617665904926e-09,3.2012617665904926e-09
9.999999999999999e-11,0.1311469752177994,3.76,0.0,0.8475322990376118,1.0,0.0,0.0,0.0,1.2957343360405204e-05,5.827582640925531e-09,5.827582640925531e-09
1.0806005541446975e-10,0.1311469752177994,3.76,0.0,0.8475317756433188,1.0,0.0,0.0,0.0,1.4001200639468558e-05,6.804684963785327e-09,6.804684963785327e-09
1.4200631681504737e-10,0.1311470266761804,3.76,0.0,0.8475295704546393,1.0,0.0,0.0,0.0,1.8396741268089338e-05,1.1750261743565156e-08,1.1750261743565156e-08
1.75952578215625e-10,0.1311470781344238,3.76,0.0,0.8475273639301097,1.0,0.0,0.0,0.0,2.2790928400290612e-05,1.8037570787401736e-08,1.8037570787401736e-08
2.4384510101678026e-10,0.13114718105049414,3.76,0.0,0.8475229468753467,1.0,0.0,0.0,0.0,3.1575243535770314e-05,3.463570103729941e-08,3.463570103729941e-08
3.038023962777111e-10,0.131147271937344,3.76,0.0,0.8475190416440446,1.0,0.0,0.0,0.0,3.9328355969176783e-05,5.37524246119967e-08,5.37524246119967e-08
3.637596915386419e-10,0.13114736282375059,3.76,0.0,0.8475151322522744,1.0,0.0,0.0,0.0,4.707725107898227e-05,7.704856813201235e-08,7.704856813201235e-08
4.2371698679957275e-10,0.13114745370970876,3.76,0.0,0.8475112187025766,1.0,0.0,0.0,0.0,5.482193073827514e-05,1.045218135293781e-07,1.045218135293781e-07
4.836742820605036e-10,0.1311475445952133,3.76,0.0,0.8475073009974905,1.0,0.0,0.0,0.0,6.256239681984142e-05,1.3616984374253772e-07,1.3616984374253772e-07
5.436315773214344e-10,0.131147635480259,3.76,0.0,0.8475033791395539,1.0,0.0,0.0,0.0,7.029865119616726e-05,1.719903427062737e-07,1.719903427062737e-07
6.635461678432961e-10,0.1311478172489533,3.76,0.0,0.8474955229752743,1.0,0.0,0.0,0.0,8.575853232164813e-05,2.5613948724388213e-07,2.5613948724388213e-07
7.834607583651577e-10,0.13114799901575022,3.76,0.0,0.8474876502300146,1.0,0.0,0.0,0.0,0.00010120158908871823,3.569507381155227e-07,3.569507381155227e-07
9.033753488870194e-10,0.13114818078060858,3.76,0.0,0.8474797609240288,1.0,0.0,0.0,0.0,0.0001166278364663773,4.744056027795498e-07,4.744056027795498e-07
9.999999999999999e-10,0.13114854430434547,3.76,0.0,0.8474733918528036,1.0,0.0,0.0,0.0,0.00012904576251731976,5.811444025797855e-07,5.811444025797855e-07
1.1432045299307427e-09,0.13114854430434547,3.76,0.0,0.8474639327107933,1.0,0.0,0.0,0.0,0.0001474299629060242,7.591722797690085e-07,7.591722797690085e-07
1.3590507928700938e-09,0.13114887146866808,3.76,0.0,0.8474496308839613,1.0,0.0,0.0,0.0,0.00017509453866135376,1.0721982494005225e-06,1.0721982494005225e-06
