Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219)
0.0,0.3112855339697253,3.76,0.0,0.924694183508417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6029191355289466e-22,0.3112855339697253,3.76,0.0,0.9246941835084168,1.0,1.889483565409296e-46,8.015403576874003e-56,1.508708420836312e-35,3.1622135224881554e-16,1.5900022321696963e-18,7.531344508377369e-31,1.1584713917007887e-18,8.12484096266053e-32,4.3153084046825793e-19,2.861594399728243e-32,3.6899060281673355e-35,1.8055375993180936e-33,8.749364796673039e-51,9.495318031879877e-35,1.6114902556048253e-64,8.280904614540712e-33,6.25210988350422e-33,1.298918618436178e-49,3.494516915128679e-49,4.217397148326963e-24,1.4243291368114084e-65,1.070069812872798e-35,5.970736094881991e-86,7.443354593064446e-90,5.381427337952266e-48,1.9968705313451468e-78,2.0521371776089793e-63,1.7396501261607114e-33,3.766977457302592e-69,1.2841150974404156e-67,2.907521985845364e-65,6.830699896056849e-64,1.7329041508541852e-83,1.364057043436067e-49,1.4678793183705919e-95,4.004910202953333e-80
7.288173579481051e-22,0.3112855339697253,3.76,0.0,0.9246941835084166,1.0,2.2431970992192433e-45,9.515887126774858e-55,9.112598861850256e-35,8.854197862966811e-16,4.4520062500774196e-18,4.5489320830599195e-30,3.2437198967623713e-18,4.90740394144905e-31,1.208286353311122e-18,1.7284030174359308e-31,2.228703241013536e-34,1.0905447099880269e-32,1.0387245886621577e-49,5.735172091255434e-34,3.604839242181532e-63,5.001666387182648e-32,3.776274369636688e-32,1.542076183807372e-48,4.148776618432345e-48,1.1808712027558411e-23,3.186244159598632e-64,6.463221669743831e-35,2.463840967653894e-84,3.071521115139118e-88,6.388830535605667e-47,1.154100139520017e-76,6.452247628355844e-62,1.0507486762009268e-32,8.426577893465683e-68,4.037463324762725e-66,9.141714327016364e-64,2.1476813385166653e-62,7.151085772220329e-82,1.6194085219671252e-48,1.6696068024795606e-93,2.3443994705611613e-78
1.6658682467385259e-21,0.31128553396972536,3.76,0.0,0.924694183508416,1.0,2.2023851825598765e-44,9.342754410130814e-54,4.3873240877903925e-34,2.0238166543924016e-15,1.017601428590194e-17,2.1901149830361212e-29,7.414216906886188e-18,2.3627037519448145e-30,2.7617973789968502e-18,8.32151651441081e-31,1.073024672991759e-33,5.250503338815488e-32,1.0198259607036416e-48,2.7612384836706492e-33,7.12255487519966e-62,2.408087061908524e-31,1.8181135541232354e-31,1.5140195416490208e-47,4.073331230518373e-47,2.6991341834992963e-23,6.295549482952906e-63,3.1117630158222907e-34,9.74670984845508e-83,1.2150632091100579e-86,6.272591705081269e-46,5.177729748274988e-75,1.43946095212388e-60,5.058902566873202e-32,1.6649497920202537e-66,9.007358576970521e-65,2.0394661778573884e-62,4.7913589224354114e-61,2.828936713796194e-80,1.58994488982854e-47,1.5114886930098135e-91,1.0534591399486302e-76
3.539970024319368e-21,0.31128553396972536,3.76,0.0,0.9246941835084149,1.0,1.9479851374168984e-43,8.263560473531563e-53,1.9160596944604587e-33,4.3006103905838e-15,2.1624030357587286e-17,9.564807525639071e-29,1.5755210927136428e-17,1.0318548022611231e-29,5.868819430368306e-18,3.634224887655984e-30,4.6861806557797274e-33,2.2930327511323996e-31,9.020245130849433e-48,1.2059053900487253e-32,1.2674205843826791e-60,1.0516748860467576e-30,7.94017955205251e-31,1.3391331388625615e-46,3.602830334434068e-46,5.735660164574869e-23,1.1202649461633247e-61,1.3589886623362545e-33,3.478531513643963e-81,4.336474294582853e-85,5.548036328258998e-45,1.9484516646102144e-73,2.6959510551067804e-59,2.2093556602218838e-31,2.962689197880662e-65,1.6869785750874435e-63,3.8196944390332684e-61,8.97368499171923e-60,1.0096337232407595e-78,1.4062882494997144e-46,1.145573921056431e-89,3.9677185490061607e-75
7.288173579481051e-21,0.3112855339697255,3.76,0.0,0.9246941835084126,1.0,1.6373990354212153e-42,6.946020496718534e-52,7.9991720472592e-33,8.854197862966429e-15,4.452006250110317e-17,3.9931188583415076e-28,3.243719896764732e-17,4.307790678431732e-29,1.2082863533111215e-17,1.5172173507369168e-29,1.9563881761408112e-32,9.572960351570317e-31,7.582059543089099e-47,5.034417620502535e-32,2.137690065667282e-59,4.39053562663027e-30,3.314868660235874e-30,1.125622092038166e-45,3.0284019262441504e-45,1.1808712205080667e-22,1.8894950921539073e-60,5.6735101477417825e-33,1.1753171798739854e-79,1.4651966603238212e-83,4.663458828092886e-44,6.747738825016244e-72,4.656585012048562e-58,9.223624968884109e-31,4.997008371042076e-64,2.913835966484093e-62,6.59757225251215e-60,1.5499809225213962e-58,3.4113344829297288e-77,1.1820700089269433e-45,7.965610772727979e-88,1.374714943968962e-73
1.4784580689804418e-20,0.31128553396972575,3.76,0.0,0.924694183508408,1.0,1.342438717412322e-41,5.69476726711688e-51,3.2679227878556436e-32,1.7961372807731006e-14,9.031212678871576e-17,1.6313193458924233e-27,6.580117504871078e-17,1.759873051900775e-28,2.451095173859703e-17,6.198327933595852e-29,7.992484053306523e-32,3.910866661614925e-30,6.216230502280336e-46,2.05672386697716e-31,3.5111623520017145e-58,1.7936770631286393e-29,1.3542320092081873e-29,9.228529982745624e-45,2.482869232567977e-44,2.3954816599510876e-22,3.1035050174018745e-59,2.317814017382037e-32,3.864185744250884e-78,4.817246088602341e-82,3.823385301462295e-43,2.2451643917950532e-70,7.736985642738296e-57,3.7681517592522245e-30,8.207601264564609e-63,4.8413820382960176e-61,1.096196497260138e-58,2.575316484652196e-57,1.121573817418673e-75,9.691324109783082e-45,5.311495487571066e-86,4.575170351799041e-72
2.9777394910451156e-20,0.3112855339697263,3.76,0.0,0.9246941835083988,1.0,1.087141702645511e-40,4.611770184622231e-50,1.3209466404359915e-31,3.6175722697257447e-14,1.818962553662642e-16,6.594053621619561e-27,1.3252912721100442e-16,7.1136882553782915e-28,4.936712814956863e-17,2.505463253500245e-28,3.230689843195052e-31,1.5808348339978547e-29,5.034064627589114e-45,8.313606712175135e-31,5.691745479052354e-57,7.250329473457338e-29,5.474022304295834e-29,7.473502845814284e-44,2.010692820740009e-43,4.824702664204571e-22,5.030918313901664e-58,9.368974844446871e-32,1.2533393842588329e-76,1.5624622448300735e-80,3.096276544882803e-42,7.325106740971809e-69,1.2613239312338639e-55,1.5231471886458368e-29,1.3304875371995377e-61,7.892674623764692e-60,1.7870769562488023e-57,4.198415846163876e-56,3.637800493556497e-74,7.848285528618372e-44,3.469420036315946e-84,1.492883828864315e-70
5.976302335174462e-20,0.3112855339697273,3.76,0.0,0.9246941835083804,1.0,8.750262311510935e-40,3.711953867408646e-49,5.31146834380671e-31,7.260442247629947e-14,3.650645125306541e-16,2.6514399595512906e-26,2.659850315362585e-16,2.8603827604329733e-27,9.90794809715117e-17,1.007435754807589e-27,1.2990461768770836e-30,6.356467339822988e-29,4.0518531663032165e-44,3.342864694394441e-30,9.166380627922464e-56,2.915325593171932e-28,2.2010802929381278e-28,6.015325270347632e-43,1.6183808853248346e-42,9.683145174181306e-22,8.102141211132884e-57,3.767223578390981e-31,4.037799782381099e-75,5.0336803988552436e-79,2.492152732972201e-41,2.366783010871053e-67,2.0370415182151426e-54,6.124507855040903e-29,2.1427091725106032e-60,1.27466905985165e-58,2.886134057880456e-56,6.780452805643808e-55,1.1719663205183565e-72,6.3169829787945096e-43,2.2431307071751296e-82,4.823886430733269e-69
1.1973428023433157e-19,0.31128553396972936,3.76,0.0,0.9246941835083436,0.9999999999999999,7.021534471381644e-39,2.978609220562824e-48,2.1301363670603085e-30,1.4546182203434014e-13,7.314010268966058e-16,1.0633460123302925e-25,5.328968401894339e-16,1.1471414207459554e-26,1.985041866153974e-16,4.040267963455517e-27,5.209756182028596e-30,2.5492277031869095e-28,3.251356989632358e-43,1.340638255729497e-29,1.471407095697479e-54,1.1691759539877909e-27,8.827316431948377e-28,4.826919697473763e-42,1.2986488890550175e-41,1.9400032200013856e-21,1.3005732890915557e-55,1.5108251478766319e-30,1.2964528324983731e-73,1.6162093055782193e-77,1.9997956173981214e-40,7.610309850089011e-66,3.274484746785646e-53,2.456201575134585e-28,3.4395227940771396e-59,2.0489932851637304e-57,4.6393762053032566e-55,1.0899379852896442e-53,3.7629387676799705e-71,5.0689810107147633e-42,1.4429135865722196e-80,1.5511517293467642e-67
