Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17),S(3168),CH2O2(165),CHO2(212)
0.0,0.6371063623871868,3.76,0.0,0.5053514339653065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.966766849732845e-21,0.6371063623871868,3.76,0.0,0.5053514339653064,1.0,9.759346545711287e-46,9.975891726181244e-55,1.4743492913378955e-35,3.499966559260879e-16,1.2253011499797691e-18,7.122330588096429e-23,8.233591205176115e-19,1.8246298936779128e-31,4.019420294611944e-19,3.3740280911169176e-32,6.205480300465933e-35,3.911566893598586e-33,1.267053423703131e-49,1.2592440097056572e-34,6.432843574094324e-63,2.377918830989042e-32,1.9426267896312647e-32,5.2847352554802564e-49,1.697566959778024e-48,2.82446562674597e-24,7.243507893186433e-64,2.1175106899306852e-35,2.140681995829765e-84,9.917234709980255e-86,3.3506189020205664e-47,1.194713672329726e-67,5.217532600595711e-55,4.901927398831565e-33,1.7308012526424256e-67,4.0275377319307284e-67,3.0938787159803016e-59,4.251393264443731e-58,1.754917704599316e-81,6.528515396818859e-49,3.093183326778692e-83,2.725036469689536e-68,5.163108097558057e-50,3.1319598806740716e-82,8.404725094665269e-99,1.8393358497083617e-87,7.122330462507688e-23,2.3218666147424578e-35,1.5080207838521192e-54,2.4583180006785714e-53,4.901010002252472e-48
5.506947179251967e-21,0.6371063623871868,3.76,0.0,0.5053514339653059,1.0,1.158630162112147e-44,1.184337865739744e-53,8.905069719678435e-35,9.799906365930415e-16,3.430843219946939e-18,1.9942526053571032e-22,2.305405537449778e-18,1.1020764557824205e-30,1.1254376824913443e-18,2.037912967034961e-31,3.748110101482244e-34,2.3625864037329327e-32,1.504245824622271e-48,7.605833818622134e-34,1.4390013761523538e-61,1.4362629739174144e-31,1.1733465809373976e-31,6.274037695305872e-48,2.0153750664353964e-47,7.908503784941385e-24,1.6203477717878447e-62,1.2789764567122256e-34,8.833584195250347e-83,5.81241548733051e-84,3.977854760450685e-46,3.7543226684381113e-66,7.884735506068704e-54,2.9607641488931205e-32,3.871733170817823e-66,1.2663216706594572e-65,4.6754906398453455e-58,6.424756384499104e-57,7.241737019922509e-80,7.750653479354893e-48,1.7815695560034947e-81,8.567491045972522e-67,6.1296419333898224e-49,1.803753449086716e-80,8.798673576071702e-97,7.590070887864514e-86,1.9942525295015043e-22,1.4024074353057626e-34,1.790322274594429e-53,2.9185151304043107e-52,5.818479074654061e-47
1.258730783829021e-20,0.637106362387187,3.76,0.0,0.5053514339653052,1.0,1.1375502004596776e-43,1.1627899396260661e-52,4.287407739206915e-34,2.239978597926931e-15,7.84192735989562e-18,4.558291861212435e-22,5.2694983713159735e-18,5.306023730829788e-30,2.572428988551645e-18,9.811673688973134e-31,1.804553671376722e-33,1.1374836526575488e-31,1.4768774706742513e-47,3.661881580223998e-33,2.843224226813154e-60,6.914987960516624e-31,5.649158704249422e-31,6.159887413786833e-47,1.9787175202554994e-46,1.8076580221542888e-23,3.2015377084060626e-61,6.157721086229808e-34,3.4944780611930694e-81,2.597811231874127e-82,3.9054813921078716e-45,8.374693826850939e-65,8.482039190296356e-53,1.4254804875785012e-31,7.649892305756197e-65,2.8250936799828704e-64,5.0297264610386775e-57,6.911572916932454e-56,2.864762839972768e-78,7.609637547311662e-47,7.989291015952828e-80,1.9113378287313403e-65,6.01811879841725e-48,8.08868793908124e-79,7.904069032741717e-95,3.002556565091048e-84,4.558291496000379e-22,6.7519881156902845e-34,1.7577490256739992e-52,2.8654154615867335e-51,5.712617258562832e-46
2.6748029156366698e-20,0.637106362387187,3.76,0.0,0.505351433965304,1.0,1.0061503639703558e-42,1.028474533448661e-51,1.872423599995319e-33,4.759954520594636e-15,1.6664095639850357e-17,9.686371023964744e-22,1.119768403905582e-17,2.3172799649858495e-29,5.4664116006722496e-18,4.285015675723798e-30,7.880959981604432e-33,4.9676899548607e-31,1.3062813977132903e-46,1.5992398923261306e-32,5.059365598753097e-59,3.0199569153565904e-30,2.4671360228334676e-30,5.448350658987876e-46,1.7501573405104807e-45,3.841273357558857e-23,5.696968206377872e-60,2.689238576120392e-33,1.2471543987481886e-79,9.770452011585876e-81,3.454354063043704e-44,1.5684135621303938e-63,7.79645632596369e-52,6.225447796498331e-31,1.3612574636856862e-63,5.291087574964768e-63,4.62327170365771e-56,6.35313472490559e-55,1.0224141158406208e-76,6.730638235141359e-46,3.005773625913661e-78,3.5797076375835395e-64,5.322957924055975e-47,3.0431520078516722e-77,5.96030473353126e-93,1.0715911123855138e-82,9.686369428987747e-22,2.9487706007425243e-33,1.5547091073535874e-51,2.5344275259705314e-50,5.052745271790227e-45
5.506947179251967e-20,0.6371063623871874,3.76,0.0,0.5053514339653015,1.0,8.457300432980593e-42,8.644948156474985e-51,7.81699994263924e-33,9.799906365929753e-15,3.430843219998932e-17,1.994253195363594e-21,2.305405537456532e-17,9.674187696414397e-29,1.1254376824913468e-17,1.788909693914971e-29,3.2901456553184653e-32,2.0739127669774146e-30,1.098008224148656e-45,6.676511739458906e-32,8.533359574809066e-58,1.2607725641908453e-29,1.0299807238640813e-29,4.579667016631344e-45,1.4711143260184971e-44,7.90850422070506e-23,9.608771936272119e-59,1.1227041677188293e-32,4.2138528437942374e-78,3.3838176955766716e-79,2.903592730255741e-43,2.7089832374387948e-62,6.670034213965825e-51,2.599001906844512e-30,2.2959596817720106e-62,9.139037795847343e-62,3.9554544263283725e-55,5.435597364857856e-54,3.454507212799727e-75,5.657506989606679e-45,1.0408048200662758e-76,6.183041012817054e-63,4.4742668672468944e-46,1.0537445184843465e-75,4.132614995954713e-91,3.6206641882384805e-81,1.9942525294920955e-21,1.2310536791539844e-32,1.3068266830142002e-50,2.1303390462834364e-49,4.247136851552134e-44
1.1171235706482562e-19,0.6371063623871879,3.76,0.0,0.5053514339652964,1.0,6.933806011856414e-41,7.087650805175642e-50,3.193499538980511e-32,1.9879810056598822e-14,6.959710532118523e-17,4.0454864229644655e-21,4.6766798045703563e-17,3.9522213350156497e-28,2.283030727339596e-17,7.308279806523372e-29,1.344131855011799e-31,8.472610354137849e-30,9.002134810393671e-45,2.7275728947824298e-31,1.4016068725993826e-56,5.150667304679359e-29,4.2078073314263246e-29,3.7546877120578657e-44,1.2061090526790185e-43,1.6042966716345741e-22,1.578243867545015e-57,4.5866128541196386e-32,1.38542262231472e-76,1.1259985552309246e-77,2.3805407476543508e-42,4.5009656617821236e-61,5.514916058200177e-50,1.0617770822829796e-29,3.771120683776212e-61,1.5184647826292664e-60,3.270691227073339e-54,4.494847201191494e-53,1.1357665523993738e-73,4.638366044868382e-44,3.46282478999561e-75,1.027320379188628e-61,3.668274301263702e-45,3.5058704064352674e-74,2.7515672712840096e-89,1.1903951769982216e-79,4.045483702662128e-21,5.029255962344749e-32,1.0714154699307697e-49,1.7465806597922896e-48,3.4820593918915255e-43
2.249981276094375e-19,0.6371063623871891,3.76,0.0,0.5053514339652863,1.0,5.615175938635723e-40,5.739763382969059e-49,1.2908635733084373e-31,4.00396174379323e-14,1.4017445156724895e-16,8.14795704483274e-21,9.419228338845704e-17,1.597551054243309e-27,4.598216817036115e-17,2.9541235471545364e-28,5.43319586619194e-31,3.4247645704968727e-29,7.290162165880443e-44,1.1025285742094306e-30,2.272065139919709e-55,2.081982076637963e-28,1.7008630004191128e-28,3.0406434560718007e-43,9.76738639542217e-43,3.231189478502022e-22,2.558401474781829e-56,1.853982248973417e-31,4.493585072543992e-75,3.6739247086743356e-76,1.9278236166626963e-41,7.337668861355074e-60,4.4846426775488076e-49,4.291872730080861e-29,6.113149176351675e-60,2.4754808232573253e-59,2.6600702891268937e-53,3.656094990174888e-52,3.683831847431274e-72,3.756269085128511e-43,1.129748689581047e-73,1.6747905790665437e-60,2.9706636350734367e-44,1.1437914235405583e-72,1.795953410138955e-87,3.861018270227197e-78,8.147946048935748e-21,2.0329056709260833e-31,8.676600259579393e-49,1.4144263014374352e-47,2.8198619736975816e-42
4.515696686986613e-19,0.6371063623871918,3.76,0.0,0.5053514339652659,1.0,4.519582128321686e-39,4.6198609206441406e-48,5.190505653933065e-31,8.03592322005806e-14,2.813291440740639e-16,1.6352914955235406e-20,1.890432540758719e-16,6.4236825266464166e-27,9.228588996429231e-17,1.1878400856170862e-27,2.1846641617647918e-30,1.3770827711106283e-28,5.867756741386207e-43,4.433218905926409e-30,3.6590908642834274e-54,8.371558361275867e-28,6.839095318057984e-28,2.4473743834400504e-42,7.861643345889894e-42,6.484976323194159e-22,4.1202268281299334e-55,7.454781079672675e-31,1.447668292018063e-73,1.187105747760803e-74,1.551680162790302e-40,1.1850321658328462e-58,3.6170340915358223e-48,1.7257431483779545e-28,9.845038417299693e-59,3.997908130253065e-58,2.1460858739685382e-52,2.950321455519776e-51,1.1867955418506053e-70,3.0233721545511144e-42,3.6502201844634463e-72,2.70479052180549e-59,2.3910485345594164e-43,3.695590773708281e-71,1.160725365106791e-85,1.2438784973876243e-76,1.6352870741217216e-20,8.174224292850605e-31,6.983682737457835e-48,1.1384533396655065e-46,2.2696702383279256e-41
9.047127508771088e-19,0.6371063623871965,3.76,0.0,0.5053514339652253,0.9999999999999999,3.626680034095653e-38,3.7071474431910593e-47,2.08162491818824e-30,1.6099846172580253e-13,5.63638529146444e-16,3.276289744270521e-20,3.787451954583334e-16,2.5761839997147218e-26,1.848933335521578e-16,4.7637700178970076e-27,8.761480403866078e-30,5.522717827281192e-28,4.708505247370928e-42,1.7779190618371475e-29,5.873651204551983e-53,3.357369329981146e-27,2.7427831085917645e-27,1.9638638124417058e-41,6.308474088517352e-41,1.2992554936407403e-21,6.613876652000073e-54,2.989700634298613e-30,4.648159306828038e-72,3.8171652540996247e-73,1.2451256080098035e-39,1.9049019658119536e-57,2.9054102202550163e-47,6.921001882118569e-28,1.5803467413562283e-57,6.426520543330263e-57,1.7248855786419202e-51,2.3723461544399165e-50,3.810551656941426e-69,2.4260657596367457e-41,1.1737059930963774e-70,4.347871199411782e-58,1.9186658646540756e-42,1.1882943782093405e-69,7.465062128953423e-84,3.9938331874566747e-75,3.276272012471709e-20,3.278229542948476e-30,5.603965582057563e-47,9.135371077327672e-46,1.8212674265347482e-40
