Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032)
0.0,0.2646853646055097,3.76,0.0,0.6614378430266863,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.467590286679598e-21,0.2646853646055097,3.76,0.0,0.6614378430266861,1.0,7.577590652034791e-45,5.922742328941192e-56,9.680370647915121e-36,3.278659257929846e-16,1.6126240298189912e-18,3.358420080165256e-30,9.36445628027436e-19,4.03005614713551e-31,6.761784017887449e-19,1.225973088153858e-31,5.827691601632178e-34,2.890081970246388e-32,1.493798302415223e-49,5.718984479039836e-34,1.3075011460320387e-62,5.278508061885049e-32,4.0836008479950946e-32,1.2524600849478255e-48,2.750801832432005e-48,1.671594201355195e-24,2.4458378240261497e-63,5.564574752033032e-35,1.7665870980599503e-84,3.1277929356369697e-87,4.112697352330936e-46,1.3950175193498238e-76,6.795852527417656e-62,9.16433856182144e-33,5.2218936424122916e-67,7.558408599003747e-67,1.468051732449836e-63,3.8027058687362015e-62,9.01676107126331e-81,8.125136193139682e-49,1.1684590445403986e-92,3.2401707834768837e-78,1.2321911234479832e-49,4.1030908809563595e-92,4.554477296054826e-108
6.909252802702876e-21,0.26468536460550973,3.76,0.0,0.6614378430266858,1.0,8.996118743515487e-44,7.031479694710581e-55,5.846943871335062e-35,9.180245922203455e-16,4.515347283503147e-18,2.0284857284197928e-29,2.6220477584776826e-18,2.434153912874336e-30,1.893299525008492e-18,7.404877452451329e-31,3.519925727388075e-33,1.7456095100278202e-31,1.773437344633532e-48,3.4542666253400434e-33,2.9248277636375667e-61,3.1882188693786523e-31,2.466494912189537e-31,1.4869206128497985e-47,3.265791401320592e-47,4.680463832379246e-24,5.471256344871984e-62,3.3610031501784613e-34,7.289871125978494e-83,1.290692513650068e-85,4.882594296592144e-45,8.117753859028074e-75,2.1367247682680786e-60,5.53526049133513e-32,1.1681167206395683e-65,2.376484598027509e-65,4.6157895351004e-62,1.19563156842085e-60,3.720801915486646e-79,9.646161688486862e-48,1.3097957310923042e-90,1.9278611496667986e-76,1.4628573017335e-48,4.43753501068209e-90,9.235240384539911e-106
1.579257783474943e-20,0.26468536460550973,3.76,0.0,0.6614378430266853,1.0,8.832444096428202e-43,6.903548463967424e-54,2.8150517844052096e-34,2.0983419250750216e-15,1.0320793790911343e-17,9.766285593120236e-29,5.993252019381617e-18,1.1719403275937379e-29,4.32754177144801e-18,3.565129740354457e-30,1.694692717757997e-32,8.404358369461532e-31,1.7411713013141056e-47,1.6630806865047584e-32,5.778966785357191e-60,1.5349901443962966e-30,1.187511126597724e-30,1.4598674750143535e-46,3.2063906574031517e-46,1.0698203368766147e-23,1.0810293784480314e-60,1.6181783378169723e-33,2.883800523473164e-81,5.10585123777041e-84,4.79376003358194e-44,3.6450353462614204e-73,4.766915416977182e-59,2.6649896537701455e-31,2.3080017972403117e-64,5.3018064077802643e-64,1.0297572538583866e-60,2.66738825752725e-59,1.4719141354705465e-77,9.470658746697051e-47,1.1845994989131386e-88,8.680154440685327e-75,1.4362419734167365e-47,4.0035285624130297e-88,1.6714957833267657e-103
3.3559227898842535e-20,0.26468536460550984,3.76,0.0,0.6614378430266841,1.0,7.812197322253152e-42,6.106110442525499e-53,1.2294070722764299e-33,4.458976590784192e-15,2.193168680588727e-17,4.265193501809535e-28,1.2735660541203255e-17,5.118171306931653e-29,9.196026264327142e-18,1.556985821958538e-29,7.401168334107578e-32,3.6704041021974495e-30,1.5400462978975431e-46,7.263110288380318e-32,1.0283362625679952e-58,6.703705238595301e-30,5.1861730769615285e-30,1.291236249176041e-45,2.8360230933492266e-45,2.2733683538895137e-23,1.9236351010883905e-59,7.067009934314865e-33,1.0292079238058869e-79,1.8222420455817386e-82,4.240026461739545e-43,1.3723093151426775e-71,8.927905011385156e-58,1.1638709973435436e-30,4.106965888415877e-63,9.929696638797851e-63,1.9286213710345026e-59,4.995723000699606e-58,5.2531601162208327e-76,8.376690409623506e-46,8.970943599533919e-87,3.272781494322788e-73,1.2703397604740432e-46,3.025654204148077e-86,2.534366805217827e-101
6.909252802702874e-20,0.2646853646055099,3.76,0.0,0.6614378430266817,1.0,6.566622784929693e-41,5.132553758357577e-52,5.132532517445485e-33,9.180245922201802e-15,4.515347283647728e-17,1.780634326503314e-27,2.622047758490161e-17,2.1367357692738483e-28,1.8932995250085788e-17,6.500109313420004e-29,3.089842087216623e-31,1.532321460610719e-29,1.2945017081717904e-45,3.0322055707866754e-31,1.7344394116586188e-57,2.798664974412615e-29,2.165125169613983e-29,1.085361870251201e-44,2.3838510162799627e-44,4.680464826857389e-23,3.2444926425107635e-58,2.950337532837538e-32,3.4774609673057963e-78,6.15694406534313e-81,3.5639977212482516e-42,4.753676712982456e-70,1.5420735694465407e-56,4.858932305407715e-30,6.92699827879309e-62,1.715108159997398e-61,3.3312138042027716e-58,8.628869134891828e-57,1.7749245851762353e-74,7.041113022694561e-45,6.234929076092592e-85,1.13459935575766e-71,1.0677971122392186e-45,2.100383901548748e-84,3.524948929194949e-99
1.4015912828340116e-19,0.2646853646055101,3.76,0.0,0.661437843026677,1.0,5.383714183431603e-40,4.207977684416825e-51,2.0968070037540254e-32,1.8622784585034104e-14,9.159704490020991e-17,7.274472230438574e-27,5.319011167251864e-17,8.72926281747142e-28,3.840693322160462e-17,2.6555067478887e-28,1.2623013117063877e-30,6.260033150714671e-29,1.0613107109210943e-44,1.2387549140977362e-30,2.8488219420081642e-56,1.143345960237533e-28,8.845242780850433e-29,8.898452360312574e-44,1.9544261730072837e-43,9.494659528561443e-23,5.329089619921309e-57,1.2053091490048448e-31,1.1433130872415784e-76,2.0242685294173184e-79,2.921980658562579e-41,1.5818879775093508e-68,2.562178299453748e-55,1.985032389785494e-29,1.1377615543122663e-60,2.849677858653562e-60,5.534861558210506e-57,1.4336995122458325e-55,5.835564530858244e-73,5.772729862046567e-44,4.1564648800183996e-83,3.777181390245969e-70,8.754445859489776e-45,1.3993429660825193e-82,4.701216393802277e-97
2.82292328796146e-19,0.2646853646055106,3.76,0.0,0.6614378430266674,1.0,4.359871362152074e-39,3.407729456337987e-50,8.475629159489811e-32,3.750786191068703e-14,1.8448418903788562e-16,2.94045798434641e-26,1.0712937984863396e-16,3.528507599948186e-27,7.735480916464843e-17,1.0733982854066078e-27,5.102423726643435e-30,2.530405488788371e-28,8.594769301441256e-44,5.007245422652656e-30,4.6180631325962985e-55,4.621587176575424e-28,3.575388555309054e-28,7.206197429292011e-43,1.5827454191284773e-42,1.9123055955042783e-22,8.638684493733312e-56,4.872052290184885e-31,3.7083086159215793e-75,6.565666626167677e-78,2.3662956931659005e-40,5.161428833921109e-67,4.176997289035438e-54,8.023818298638032e-29,1.8443605316217476e-59,4.645694128570381e-59,9.023221266847084e-56,2.3372920517670948e-54,1.8927515003969356e-71,4.674906310269776e-43,2.7146322849915406e-81,1.2326864189200812e-68,7.089577227319372e-44,9.136416558252024e-81,6.141799325747196e-95
5.665587298216357e-19,0.26468536460551156,3.76,0.0,0.6614378430266483,0.9999999999999999,3.50920378615868e-38,2.7428371777929656e-49,3.408013207634206e-31,7.527801656194616e-14,3.7025847735407873e-16,1.1823452229007796e-25,2.1500791620438974e-16,1.4187973871772764e-26,1.5525056105076056e-16,4.3160872959287595e-27,2.0516621392974993e-29,1.0174649178745142e-27,6.917818063470001e-43,2.0133913617824988e-29,7.437248309798343e-54,1.8583198772254436e-27,1.4376480129795219e-27,5.800174616027348e-42,1.2739313817741737e-41,3.837987690029835e-22,1.3912335524223354e-54,1.959030795852307e-30,1.1946810321293007e-73,2.1152170735421958e-76,1.90460063435288e-39,1.6677413291088694e-65,6.745861780774709e-53,3.2263420476479827e-28,2.970285850528169e-58,7.502808418554159e-58,1.4572526448321114e-54,3.774732905965946e-53,6.097751295357905e-70,3.762771305930078e-42,1.7550197807097168e-79,3.983426554627952e-67,5.70630852533543e-43,5.905803841853941e-79,7.9420227275513e-93
1.135091531872615e-18,0.2646853646055134,3.76,0.0,0.6614378430266101,0.9999999999999998,2.8159150419254898e-37,2.2009541704606138e-48,1.3667657231967608e-30,1.508183258642776e-13,7.418070541498323e-16,4.741733160650991e-25,4.3076498893000155e-16,5.690012096652286e-26,3.110420648230831e-16,1.7309440474544434e-26,8.22808280761647e-29,4.080489392665861e-27,5.551113329602565e-42,8.074599872038257e-29,1.1938430644748007e-52,7.452693861580014e-27,5.7656115359970174e-27,4.654274847004383e-41,1.022249773576642e-40,7.689363115998106e-22,2.2332380012505566e-53,7.856589673532531e-30,3.8358703417549147e-72,6.791519138540765e-75,1.528322057369797e-38,5.362653427023097e-64,1.0843775797457168e-51,1.2939074626218499e-27,4.767966842965152e-57,1.2060545377990534e-56,2.342491065906018e-53,6.06777289825892e-52,1.9578600925064855e-68,3.0193870015766247e-41,1.1288971857856056e-77,1.2809454035508454e-65,4.5789532104070324e-42,3.798546024358023e-77,1.0217644978917786e-90
