Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55),C3H7(218),C3H7(49),C2H2O(140),CO2(15),C#CC(416),C3H5(219),C2H4(47),C3H4(2022),C3H4(2032),S(1627),CH2(S)(24),CH2(T)(17)
1.3754684641008983e-15,0.2963905332833687,3.76,0.0,0.7380363193782798,0.9999999999999972,7.386993110378394e-32,1.0296886432735201e-48,5.325875068934166e-31,3.122285492767094e-13,3.2191580997839834e-15,4.641921346975488e-21,3.5617806985284905e-16,2.3621664548030986e-23,2.8629798892678466e-15,5.455021473566618e-24,7.204497631128869e-25,1.5468493028812544e-23,1.8273732629328398e-39,1.0866463409746207e-25,3.51584860372848e-48,3.0113389141088953e-24,2.6044777037958824e-24,2.751713655122354e-37,5.707560899470894e-36,3.9923581776204136e-23,6.091882369323782e-48,3.1954888061660197e-27,1.3142226298675269e-68,1.4736640772763335e-66,1.258127941839786e-32,1.0103434433987103e-51,9.736806307622395e-44,2.5706774471285747e-25,7.195587588967438e-52,1.2663585969178894e-53,1.7853455566506036e-47,4.367594020792057e-46,1.1390263631147877e-61,6.516440386761017e-36,4.1613567545382575e-64,1.087549439142942e-52,3.195780911901337e-39,7.097164790347785e-63,4.993560084710152e-76,3.8036857003614034e-69,4.464824357154522e-21,9.59984603166196e-28
2.7521319485876357e-15,0.29639053328337717,3.76,0.0,0.7380363193781204,0.9999999999999943,5.914086020818244e-31,8.244176824200078e-48,2.1317373903617116e-30,6.247283653639431e-13,6.4411133523524215e-15,9.642374510051439e-21,7.126656241443021e-16,9.454822206137395e-23,5.7284471651883965e-15,2.1834302969350996e-23,2.8836765714152473e-24,6.191428244889057e-23,1.4630100013889413e-38,4.349417246891852e-25,5.629939585818147e-47,1.2053203267028529e-23,1.0424698350112425e-23,2.2030440634432975e-36,4.5695179915635283e-35,8.121725287772009e-23,9.754950742955686e-47,1.279021849026145e-26,4.209337939716937e-67,4.721533029958791e-65,1.0072619026683464e-31,1.6184249301120283e-50,7.814970652763556e-43,1.0289408534759787e-24,1.1522458610757081e-50,2.028522080536365e-52,2.174669370200991e-46,6.242037108180327e-45,3.6479411064771254e-60,5.217113209731153e-35,1.3332361774505583e-62,1.742104495088716e-51,2.558555425294544e-38,2.2738242565374576e-61,3.1997769677059806e-74,1.2185064214283072e-67,8.933525023074453e-21,3.842439120174891e-27
5.505458917561111e-15,0.29639053328339404,3.76,0.0,0.7380363193778015,0.9999999999999886,4.7330661071151406e-30,6.598498047897654e-47,8.529721473930146e-30,1.2497279963640612e-12,1.2885024808610554e-14,2.0707239293128408e-20,1.4256408331678201e-15,3.783160752968927e-22,1.145938172263052e-14,8.736565940710174e-23,1.153846222982581e-23,2.4773776309780137e-22,1.1708530716683017e-37,1.7403334373092988e-24,9.01157303573876e-46,4.822851177114787e-23,4.171237276021559e-23,1.7631047682316336e-35,3.6570012911388306e-34,1.6781254484716838e-22,1.5614279863436884e-45,5.117701848312887e-26,1.3477383156652482e-65,1.511824112805323e-63,8.061069320763041e-31,2.590967195282389e-49,6.283364203762924e-42,4.117103165245202e-24,1.8443896507044535e-49,3.247492074600888e-51,2.933132730430574e-45,9.389454961995063e-44,1.1678255833110077e-58,4.175273955110314e-34,4.2689240873335336e-61,2.788989450967722e-50,2.0476019688269324e-37,7.280613401788309e-60,2.0490991838694025e-72,3.902799276929528e-66,1.787091802906373e-20,1.5374752810068018e-26
1.101211285550806e-14,0.2963905332834278,3.76,0.0,0.7380363193771635,0.9999999999999771,3.7871718102139854e-29,5.280842800284591e-46,3.412440167815797e-29,2.499727253666899e-12,2.577285152561171e-14,4.7092802670986754e-20,2.851591652977428e-15,1.5135109041757677e-21,2.2921250859918884e-14,3.4951958300280083e-22,4.616136056630475e-23,9.911122592341627e-22,9.36861042102149e-37,6.962466992079873e-24,1.4421461072149302e-44,1.9294544103357838e-22,1.6687665699831981e-22,1.4107516396926304e-34,2.92615366356504e-33,3.570349277242004e-22,2.4987949891848687e-44,2.0473727378039554e-25,4.314844978935819e-64,4.839354316450778e-62,6.4499407121116e-30,4.1466929029071095e-48,5.073128203603451e-41,1.6471089507414728e-23,2.9517707574469843e-48,5.19739912954096e-50,4.2556090168133384e-44,1.4544516266604418e-42,3.7377857255559965e-57,3.3408500137053545e-33,1.3664688914931422e-59,4.463684178736545e-49,1.6383607224207703e-36,2.330498114518912e-58,1.3118127101349809e-70,1.2503993654293438e-64,3.5745670737703137e-20,6.150895323197734e-26
2.202542073140196e-14,0.29639053328349535,3.76,0.0,0.7380363193758878,0.9999999999999543,3.030024816204203e-28,4.2267424413577066e-45,1.3650840840028029e-28,4.9997257494829836e-12,5.154852017755254e-14,1.168872645455543e-19,5.703494899647914e-15,6.05453840814482e-21,4.584498922411215e-14,1.3981925685589284e-21,1.8466045613737315e-22,3.9647708116894314e-21,7.495611048347123e-36,2.785213465001184e-23,2.3076718099089695e-43,7.718444930638036e-22,6.675609907300712e-22,1.1287083906508603e-33,2.3411404113147293e-32,7.996068882105797e-22,3.9984846512135744e-43,8.189827496749585e-25,1.381647974766374e-62,1.5488508513753076e-60,5.160219301704339e-29,6.63548160236611e-47,4.1312877672753334e-40,6.58896877995695e-23,4.723783600054651e-47,8.31673120980406e-49,6.458918692399986e-43,2.2888181598043973e-41,1.196190347094593e-55,2.6729281525600477e-32,4.373375155113178e-58,7.142944741635324e-48,1.3107618998463158e-35,7.458726398278344e-57,8.396740518368967e-69,4.009641092154961e-63,7.149504294213059e-20,2.460552815946464e-25
4.405203648318976e-14,0.2963905332836304,3.76,0.0,0.7380363193733362,0.9999999999999084,2.4241344343126524e-27,3.3842218835639786e-44,5.460533924343215e-28,9.99972266595679e-12,1.0309991835317978e-13,3.2456952774635854e-19,1.1407307821201846e-14,2.4219155653566087e-20,9.169246631096539e-14,5.593001457004511e-21,7.386717694278477e-22,1.5859721523960793e-20,5.996791212455372e-35,1.1141307240159516e-22,3.692473248166564e-42,3.087502927054876e-21,2.6703529078843484e-21,9.030094462185522e-33,1.8729935731571084e-31,1.941259579951007e-21,6.397919833480182e-42,3.2758003399126278e-24,4.426321732779835e-61,4.9568286653213495e-59,4.12801430385495e-28,1.0616929799986569e-45,3.4208811845620073e-39,2.6356921668176414e-22,7.559942020488643e-46,1.3306725661781836e-47,1.0054172353503941e-41,3.6314568037573813e-40,3.8278386349688536e-54,2.1384350235786255e-31,1.399596646482144e-56,1.142958062211617e-46,1.0485774989460982e-34,2.3869796121137864e-55,5.374142060930588e-67,1.2882351122475825e-61,1.4299325450362234e-19,9.842567312206133e-25
8.810526798676536e-14,0.2963905332839005,3.76,0.0,0.7380363193682331,0.9999999999998167,1.9393527860039318e-26,2.711709642592174e-43,2.1842383257459517e-27,1.9999716198271002e-11,2.0620295819134893e-13,1.0123074037647707e-18,2.2814959377224598e-14,9.687872591541853e-20,1.833874219185436e-13,2.237248981427061e-20,2.9547462970502812e-21,6.344012031104868e-20,4.797575159763783e-34,4.456613595848969e-22,5.908141194054764e-41,1.2350257562039085e-20,1.0681631250256644e-20,7.224244906696482e-32,1.4984181527206282e-30,5.250599981213352e-21,1.0236992809322092e-40,1.3101356689130966e-23,1.4195424131529724e-59,1.5863262459021988e-57,3.301918557716553e-27,1.6985745977529442e-44,2.9218250648935794e-38,1.0542962425753258e-21,1.2101027247427232e-44,2.1288299346026696e-46,1.5862577372473917e-40,5.7857976270651445e-39,1.2248306996898174e-52,1.7107742038620218e-30,4.478951089774838e-55,1.8288116774205668e-45,8.387510536944811e-34,7.638672365497942e-54,3.439349298894387e-65,4.15497769416892e-60,2.859875462694904e-19,3.9370714650346485e-24
1.7621173099391657e-13,0.29639053328444087,3.76,0.0,0.7380363193580269,0.9999999999996333,1.5514993721293372e-25,2.1762219012653366e-42,8.736884719671291e-27,3.9999702060366207e-11,4.124100118148047e-13,3.477276488749847e-18,4.5630365341434e-14,3.8751990409135967e-19,3.66777338869225e-13,8.949110013937739e-20,1.1819098256061718e-20,2.5376261080112804e-19,3.838150980446194e-33,1.782663596170244e-21,9.453254095230827e-40,4.9401489478352375e-20,4.272697804089086e-20,5.779461097121426e-31,1.198729113421322e-29,1.5973420332607287e-20,1.6379591118681086e-39,5.238907732987192e-23,4.562322269555647e-58,5.0768543336125e-56,2.640652561257386e-26,2.71714209668899e-43,2.633557977903297e-37,4.217211278454664e-21,1.937728989691808e-43,3.405154962120703e-45,2.520083962445228e-39,9.237619483297398e-38,3.918806864671202e-51,1.368612531069472e-29,1.433338397406418e-53,2.926191295324188e-44,6.707995282968056e-33,2.4444535628858564e-52,2.200927562787934e-63,1.3504061304827304e-58,5.719676046314553e-19,1.5748161580311994e-23
3.5242465700821896e-13,0.29639053328552145,3.76,0.0,0.7380363193376145,0.9999999999992665,1.2412048313469408e-24,1.7519127025581097e-41,3.49464569993982e-26,7.999966897442658e-11,8.248280148458567e-13,1.2765187466361616e-17,9.126158868254301e-14,1.5500959675910107e-18,7.33557195712993e-13,3.5796806555635586e-19,4.7276576186204734e-20,1.0150519911852113e-18,3.070611476172844e-32,7.13069084220381e-21,1.5125648201587208e-38,1.9760661652465247e-19,1.70908928622479e-19,4.623590844121482e-30,9.589575659943487e-29,5.3835615053726126e-20,2.6208145114530703e-38,2.0942243796670765e-22,1.4725784125076607e-56,1.6249069688125336e-54,2.11107407834276e-25,4.3454174958488874e-42,2.5805727508586734e-36,1.6868798180377903e-20,3.105314379313444e-42,5.444973450922407e-44,4.017792161652043e-38,1.4764371746824342e-36,1.2535773486638783e-49,1.0948596036458814e-28,4.5869809666196354e-52,4.6820256605975e-43,5.363082655337086e-32,7.822453334940171e-51,1.4082117208900252e-61,4.45422587291085e-57,1.1438936227456963e-18,6.299069096825195e-23
7.048505090368237e-13,0.2963905332876827,3.76,0.0,0.7380363192967897,0.999999999998533,9.929635605979741e-24,1.4190117497374037e-40,1.3977610742031177e-25,1.5999958356205034e-10,1.6496796040098867e-12,4.8772896458945574e-17,1.8252568104779845e-13,6.200467375384023e-18,1.4671170011725941e-12,1.4318906582429918e-18,1.8910632727538384e-19,4.060189371723977e-18,2.4566123831193877e-31,2.852283741766201e-20,2.4202219230397514e-37,7.904257045239208e-19,6.836386302043311e-19,3.698874897399902e-29,7.671180690784545e-28,1.9522618716664382e-19,4.193517315104038e-37,8.366143567946621e-22,4.793076052599641e-55,5.201725026913128e-53,1.686531665495384e-24,6.946219085172258e-41,2.8224319727072696e-35,6.747430247431158e-20,4.984290291222507e-41,8.701403801603205e-43,6.416996642262755e-37,2.3610040071125916e-35,4.008588289733906e-48,8.758312178366076e-28,1.4680173638295222e-50,7.491594369293096e-42,4.2851359290757595e-31,2.5033017966271226e-49,9.007621823215939e-60,1.5101613035019784e-55,2.2876092810886098e-18,2.5194520037310183e-22
