Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31)
0.0,0.5729208537928241,3.76,0.0,0.6368792382834072,1.0,0.0,0.0,0.0,0.0,0.0
9.604047531652105e-18,0.5729208537928241,3.76,0.0,0.6368792382834072,1.0,0.0,0.0,0.0,1.5e-16,0.0
2.6891333088625893e-17,0.572920853792824,3.76,0.0,0.636879238283407,1.0,0.0,0.0,0.0,4.1999999999999997e-16,0.0
6.146590420257347e-17,0.5729208537928241,3.76,0.0,0.6368792382834068,1.0,0.0,0.0,0.0,9.599999999999996e-16,0.0
1.3061504643046864e-16,0.5729208537928241,3.76,0.0,0.6368792382834062,1.0,0.0,0.0,0.0,2.039999999999998e-15,0.0
2.6891333088625896e-16,0.5729208537928243,3.76,0.0,0.6368792382834051,1.0,0.0,0.0,0.0,4.199999999999991e-15,0.0
5.455098997978396e-16,0.5729208537928245,3.76,0.0,0.636879238283403,1.0,0.0,0.0,0.0,8.519999999999963e-15,0.0
1.0987030376210007e-15,0.572920853792825,3.76,0.0,0.6368792382833987,1.0,0.0,0.0,0.0,1.7159999999999848e-14,0.0
2.2050893132673233e-15,0.5729208537928259,3.76,0.0,0.63687923828339,1.0,0.0,0.0,0.0,3.4439999999999384e-14,0.0
4.417861864559968e-15,0.5729208537928276,3.76,0.0,0.6368792382833727,1.0,0.0,0.0,0.0,6.899999999999752e-14,0.0
8.843406967145258e-15,0.5729208537928315,3.76,0.0,0.6368792382833381,1.0,0.0,0.0,0.0,1.3811999999999005e-13,0.0
1.7694497172315838e-14,0.5729208537928386,3.76,0.0,0.636879238283269,1.0,0.0,0.0,0.0,2.7635999999996006e-13,0.0
3.5396677582657e-14,0.5729208537928533,3.76,0.0,0.6368792382831308,1.0,0.0,0.0,0.0,5.528399999998402e-13,0.0
7.080103840333932e-14,0.5729208537928827,3.76,0.0,0.6368792382828543,1.0,0.0,0.0,0.0,1.1057999999993602e-12,0.0
1.4160976004470396e-13,0.5729208537929414,3.76,0.0,0.6368792382823013,1.0,0.0,0.0,0.0,2.21171999999744e-12,0.0
2.8322720332743327e-13,0.5729208537930588,3.76,0.0,0.6368792382811954,1.0,0.0,0.0,0.0,4.423559999989759e-12,0.0
5.664620898928918e-13,0.5729208537932936,3.76,0.0,0.6368792382789836,1.0,0.0,0.0,0.0,8.847239999959034e-12,0.0
1e-12,0.5729208537937631,3.76,0.0,0.636879238275598,1.0,0.0,0.0,0.0,1.5618414996838305e-11,0.0
1.1329318630238089e-12,0.5729208537937631,3.76,0.0,0.63687923827456,1.0,0.0,0.0,0.0,1.7694599999836126e-11,0.0
2.265871409285643e-12,0.5729208537947025,3.76,0.0,0.6368792382657126,1.0,0.0,0.0,0.0,3.538931999934448e-11,0.0
4.531750501809312e-12,0.5729208537965809,3.76,0.0,0.6368792382480178,1.0,0.0,0.0,0.0,7.077875999737773e-11,0.0
9.063508686856648e-12,0.5729208538003377,3.76,0.0,0.6368792382126284,1.0,0.0,0.0,0.0,1.4155763998950963e-10,0.0
1e-11,0.5729208538078515,3.76,0.0,0.6368792382053152,1.0,0.0,0.0,0.0,1.5618414995599022e-10,0.0
