Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21),HCCO(20),C2H5O(101),C3H6(221),C3H6(74),CH3O(26),CH2CO(27),C3H6(55)
0.0,0.06529501707625616,3.76,0.0,0.7142778819529595,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.480855771673382e-18,0.06529501707625616,3.76,0.0,0.7142778819529593,1.0,1.710659894855812e-38,9.720300133269592e-57,1.1850925184279008e-36,2.9096511506547567e-16,1.3290414501942722e-17,1.9133673349020173e-27,5.481121692694321e-19,5.20448381568882e-28,1.274230233169562e-17,1.137796097141225e-28,1.4156992662599529e-28,9.350388868037725e-28,2.3145072574316247e-46,5.4802894973920276e-30,3.7084067866619707e-57,3.980462404046209e-29,3.1413709826645987e-29,3.2390373226028774e-44,3.638826268003649e-45,6.545193341961141e-26,1.588740891663584e-56,1.3868136092699416e-31,6.722118784186797e-80,3.67416118095376e-79,1.2776725142549306e-38,4.4606228785558405e-70,3.262902150356503e-56,2.595049456764112e-30,1.679077435316353e-60,1.1122177984459985e-63
9.74639616068547e-18,0.06529501707625618,3.76,0.0,0.714277881952959,1.0,2.0308954464992178e-37,1.153994761683857e-55,7.157958775540442e-36,8.147023221739927e-16,3.721316060987994e-17,1.1556738702697642e-26,1.5347140749684533e-18,3.1435082250699822e-27,3.5678446529006344e-17,6.872288430521991e-28,8.550823566056552e-28,5.647634874709019e-27,2.7477830171924786e-45,3.310094856442925e-29,8.295557648864872e-56,2.4041992915772364e-28,1.8973880737108946e-28,3.84538510878137e-43,4.320022399972013e-44,1.833014572546575e-25,3.5539501260027755e-55,8.376353362161282e-31,2.77390207942499e-78,1.5161530765393862e-77,1.516852662727628e-37,2.6307736692023614e-68,1.0259086426256916e-54,1.5674098707467474e-29,3.7560295074243923e-59,3.496990382411329e-62
2.2277476938709645e-17,0.06529501707625618,3.76,0.0,0.7142778819529585,1.0,1.9939452002809163e-36,1.1330003640013092e-54,3.4462489899422195e-35,1.8621767363536696e-15,8.505865284351564e-17,5.564072209729257e-26,3.507917890422668e-18,1.5134638941932115e-26,8.155073492466225e-17,3.308711056170172e-27,4.116853463053599e-27,2.7190930804467207e-26,2.6977896627235793e-44,1.5936681858688056e-28,1.639062400677198e-54,1.15751846639662e-27,9.135106820310817e-28,3.7754219013236944e-42,4.241427074210243e-43,4.191446796437468e-25,7.0220068283238e-54,4.032852719013493e-30,1.0973288299360172e-76,5.997752346332735e-76,1.4892546294085747e-36,1.1832304448637958e-66,2.288745747084649e-53,7.546403803187827e-29,7.421283297149069e-58,7.801591531870719e-61
4.7339638494757995e-17,0.06529501707625619,3.76,0.0,0.7142778819529574,0.9999999999999999,1.7636219510033474e-35,1.0021285750549957e-53,1.5050674429691158e-34,3.957125564563596e-15,1.8074963738183203e-16,2.4299765151542256e-25,7.45432553755579e-18,6.609694452030793e-26,1.732953117201118e-16,1.4450010492422948e-26,1.797938064812119e-26,1.1874993837828531e-25,2.3861644092571034e-43,6.9599676619689505e-28,2.9166239720591285e-53,5.0551872459051425e-27,3.9895411507969445e-27,3.339317914113858e-41,3.751495630066783e-42,8.914078232980305e-25,1.2495286205526377e-52,1.7612519851384002e-29,3.916294011460447e-75,2.140556320995775e-74,1.3172283035619918e-35,4.458697138643903e-65,4.286567485933218e-52,3.2957127924385408e-28,1.3205784029362852e-56,1.4611511346290173e-59
9.74639616068547e-17,0.06529501707625622,3.76,0.0,0.714277881952955,0.9999999999999997,1.4824305150824963e-34,8.423537914464993e-53,6.28336003379589e-34,8.147023220385737e-15,3.7213160674264477e-16,1.0144673608108473e-24,1.53471408967208e-17,2.7594173245736033e-25,3.567844653275619e-16,6.032594959899225e-26,7.506037479668077e-26,4.9575761557121595e-25,2.0057149700142613e-42,2.905649491770205e-27,4.919312647842933e-52,2.110441160115101e-26,1.6655548975403837e-26,2.8068979119174473e-40,3.1533587485330063e-41,1.8382409061119622e-24,2.107512678706001e-51,7.352874068648786e-29,1.3232308558835701e-73,7.232463528248732e-73,1.107208831376547e-34,1.5452432287369604e-63,7.403979344965196e-51,1.3758952060895259e-27,2.227350831582859e-55,2.5237730888722216e-58
1.977126078310481e-16,0.06529501707625626,3.76,0.0,0.7142778819529505,0.9999999999999993,1.2153860977315766e-33,6.906196487926777e-52,2.5669573762061207e-33,1.6526818529639175e-14,7.548955466009903e-16,4.144430180785587e-24,3.113277187464587e-17,1.1273120170662252e-24,7.237627726086662e-16,2.464511903003572e-25,3.0664612132539867e-25,2.025331611642956e-24,1.6444063238295427e-41,1.1870526265072619e-26,8.079985849197728e-51,8.621840730540519e-26,6.804335224725139e-26,2.301264487433737e-39,2.5853143760959e-40,3.741134253768813e-24,3.46159594241215e-50,3.003883854652593e-28,4.350517364666865e-72,2.3778807092388208e-71,9.077551749554572e-34,5.143412907414065e-62,1.230182244101739e-49,5.620980790820576e-27,3.6584381009537877e-54,4.193279643011431e-57
3.982099002794349e-16,0.06529501707625636,3.76,0.0,0.7142778819529414,0.9999999999999986,9.842511670927181e-33,5.592932249799385e-51,1.0376050368587302e-32,3.3286409138582684e-14,1.5204234308645613e-15,1.6752449422648486e-23,6.270403486887624e-17,4.556775434131451e-24,1.4577193874356915e-15,9.961951340717633e-25,1.2395126402524371e-24,8.186714118567558e-24,1.3316828933178726e-40,4.798256510624202e-26,1.3098005424714102e-49,3.485085851597406e-25,2.7504210987614544e-25,1.863623635892975e-38,2.0936549245801848e-39,7.583829677258708e-24,5.611396285233897e-49,1.2142137420905035e-27,1.4110953283468505e-70,7.712631115427006e-70,7.351212143124203e-33,1.6784160176527353e-60,2.005507547508836e-48,2.2720902511264143e-26,5.930510687288125e-53,6.836081028839542e-56
7.992044851762085e-16,0.06529501707625657,3.76,0.0,0.7142778819529231,0.9999999999999971,7.922109574936452e-32,4.501864020004161e-50,4.1721627964934933e-32,6.680559031821618e-14,3.0514792175792227e-15,6.736086228505078e-23,1.2584656501085792e-16,1.8322593762919524e-23,2.9256326181490078e-15,4.005656970415447e-24,4.984025725130589e-24,3.291841677584211e-23,1.0718542755811866e-39,1.9293578401437008e-25,2.1093934504505484e-48,1.4013376744179376e-24,1.1059322342320198e-24,1.5000064171106153e-37,1.6851560287168798e-38,1.5416855437425258e-23,9.03698099719176e-48,4.882266760944136e-27,4.546131110508565e-69,2.484747490354626e-68,5.916855449215775e-32,5.4235528617858485e-59,3.238900070938726e-47,9.135974517065842e-26,9.550984748546257e-52,1.1040214449599395e-54
1.6011936549697557e-15,0.06529501707625696,3.76,0.0,0.7142778819528866,0.9999999999999942,6.356993860159389e-31,3.612760176192958e-49,1.673222746014434e-31,1.338439525244692e-13,6.113590863758628e-15,2.7014718529274407e-22,2.521316419089043e-16,7.348179722526728e-23,5.861459083812704e-15,1.606447723291561e-23,1.9988171631348566e-23,1.3201756933849975e-22,8.600956000648708e-39,7.737587871140318e-25,3.386043826979021e-47,5.619990689262193e-24,4.435282957394132e-24,1.2036606559085561e-36,1.3522321887256192e-37,3.167344661436134e-23,1.4506356733037547e-46,1.9579806323958898e-26,1.4597312818539865e-67,7.978135634197226e-67,4.7478402761133395e-31,1.7439920376725268e-57,5.2064373478265294e-46,3.663934034801304e-25,1.5331702947498793e-50,1.774658222422482e-53
