Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),C2H4(29),H(6),H2(9),C2H3(28),C2H2(22),HO2(12),CH3O2(36),C2H5O2(40),OH(8),O(7),CH2O(19),H2O2(13),HCO(16),CO(14),C2H5O(43),CH2CHO(34),C2H(21),CH3O(26),HCCO(20),C3H6(255),C3H6(60)
0.0,0.7853199263165483,3.76,0.0,0.6373541775065105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.620101638511535e-21,0.7853199263165482,3.76,0.0,0.6373541775065102,1.0,3.663957901830317e-45,1.1070770886891302e-56,3.4510517491822756e-36,2.783863539390299e-16,8.297677266978727e-19,2.0658890974963526e-30,1.9867019011957154e-31,4.657209147529249e-19,4.720208229325066e-32,8.37770777799123e-51,6.524110496833939e-64,3.6404681194318e-19,8.622273912942049e-33,1.2293221899330778e-34,3.1318151859242336e-32,5.689157644063996e-25,2.6586304741010483e-32,2.167774279932657e-34,4.479358738714324e-49,1.1646738525697712e-48,2.0546931385040534e-35,1.2049874025914151e-64,3.823426663087108e-86,5.562813415624697e-33,5.612584589429435e-99,3.196519827483389e-78,4.604010650161736e-63
1.85362845878323e-20,0.7853199263165483,3.76,0.0,0.6373541775065101,1.0,4.349851576782095e-44,1.314321919979005e-55,2.0844352565044857e-35,7.794817910292769e-16,2.3233496347602467e-18,1.247797014887788e-29,1.199967948324886e-30,1.304018561308663e-18,2.851005770513203e-31,9.946014674111057e-50,1.4594174217109613e-62,1.0193310734409054e-18,5.207853443414538e-32,7.425106027203682e-34,1.8916163722982303e-31,1.5929641737583983e-24,1.6058128063572777e-31,1.3093356650793196e-33,5.3178946946014383e-48,1.3827111103012828e-47,1.2410346556502808e-34,2.695530576166626e-63,1.5777477184952939e-84,3.359939303034812e-32,4.3496834765221963e-97,1.8868947220138455e-76,1.4475746125843704e-61
4.236865048647382e-20,0.7853199263165483,3.76,0.0,0.6373541775065096,1.0,4.270710403508771e-43,1.2904090554344614e-54,1.0035658486597924e-34,1.7816726652097427e-15,5.310513450909804e-18,6.007605495519249e-29,5.777329128717246e-30,2.9806138544220303e-18,1.3726365530890224e-30,9.765056186267438e-49,2.8835628924780972e-61,2.329899596436361e-18,2.5073572538798587e-31,3.574868928337227e-33,9.107318560667565e-31,3.641061126144317e-24,7.731297418689514e-31,6.303887606044082e-33,5.221140545844664e-47,1.3575584863500103e-46,5.975047646677275e-34,5.32593359568886e-62,6.24141307619835e-83,1.6176661412599035e-31,4.73003814149759e-95,8.487512064367402e-75,3.229459329722231e-60
9.003338228375687e-20,0.7853199263165486,3.76,0.0,0.6373541775065086,1.0,3.7773951191635676e-42,1.1413521971316032e-53,4.382835721436551e-34,3.786054413570561e-15,1.1284841083308154e-17,2.6236791538202164e-28,2.5231114145599996e-29,6.33380444065633e-18,5.9946644512561926e-30,8.637081611298189e-48,5.131146099155837e-60,4.9510366424272926e-18,1.0950287869398279e-30,1.5612391812272398e-32,3.977405286123662e-30,7.73725556564383e-24,3.376460702112116e-30,2.753073335514386e-32,4.618039685263246e-46,1.2007469019682603e-45,2.6094602858045492e-33,9.47723013349266e-61,2.2275159958984035e-81,7.064773037804524e-31,3.866377653021668e-93,3.198485621778745e-73,6.048419913436681e-59
1.8536284587832296e-19,0.7853199263165489,3.76,0.0,0.6373541775065066,1.0,3.1751282549312787e-41,9.5937529502736e-53,1.8297476373939985e-33,7.79481791029175e-15,2.3233496348501807e-17,1.0953343994924297e-27,1.0533493480512648e-28,1.304018561315519e-17,2.502654403200171e-29,7.259987517986213e-47,8.654427880864011e-59,1.0193310734409237e-17,4.571529628607566e-30,6.517866251135257e-32,1.6604884115769247e-29,1.592964658355357e-23,1.4096058773717814e-29,1.1493539232202151e-31,3.881740613226906e-45,1.0093008330906381e-44,1.08939830194881e-32,1.5984746752657768e-59,7.526273120935334e-80,2.949403672929257e-30,2.7817122674222e-91,1.1085295362878396e-71,1.0447141264848871e-57
3.760217730674552e-19,0.7853199263165493,3.76,0.0,0.6373541775065026,1.0,2.603161997311954e-40,7.865538326799193e-52,7.475116130608747e-33,1.581234490373233e-14,4.7130806880476905e-17,4.474798420739843e-27,4.303275786381744e-28,2.6452947958273957e-17,1.0224159833149035e-28,5.952176398007497e-46,1.4214923783769e-57,2.0677858918373453e-17,1.8676190186098517e-29,2.662761036375845e-31,6.783636965318445e-29,3.2314437175015886e-23,5.758699952150666e-29,4.695485801304655e-31,3.1824854796102364e-44,8.274860855199234e-44,4.450547524996855e-32,2.6255004984968122e-58,2.474473946624629e-78,1.2049276370483744e-29,1.8852368999600732e-89,3.689855959026068e-70,1.7358081462395655e-56
7.573396274457197e-19,0.7853199263165507,3.76,0.0,0.6373541775064945,1.0,2.108108085233025e-39,6.369716910285101e-51,3.021561456736728e-32,3.184739889060629e-14,9.49254279507783e-17,1.808785067533784e-26,1.7394528764478575e-27,5.327847264899568e-17,4.132768874852813e-28,4.8202267689831644e-45,2.30430040220718e-56,4.1646955286303195e-17,7.549214679689641e-29,1.0763305848281913e-30,2.7420545224048635e-28,6.508405258051192e-23,2.3277585943619397e-28,1.8979904352459194e-30,2.5772592528918863e-43,6.701197990490705e-43,1.7989824674317239e-31,4.2560502900483514e-57,8.025896994262697e-77,4.8705101601799035e-29,1.241229897224775e-87,1.2040992222152965e-68,2.8298053739330952e-55
1.5199753362022486e-18,0.7853199263165529,3.76,0.0,0.6373541775064784,1.0,1.6967887915599848e-38,5.12690239531297e-50,1.2149565723798281e-31,6.391750686432545e-14,1.905146701167858e-16,7.273045203292075e-26,6.994263513342433e-27,1.0692952203237587e-16,1.6617681880347042e-27,3.879737855993295e-44,3.711004762042035e-55,8.35851480221679e-17,3.0355060199530903e-28,4.3278779431688356e-30,1.1025680634647798e-27,1.3062342028178952e-22,9.35981492948406e-28,7.631736063469586e-30,2.074402463207701e-42,5.3937075852246854e-42,7.233629376968693e-31,6.854238463556912e-56,2.5856496661269674e-75,1.9584107140268559e-28,8.056627302634529e-86,3.8909035327651854e-67,4.570143238364964e-54
3.0452467537153065e-18,0.7853199263165577,3.76,0.0,0.6373541775064461,0.9999999999999999,1.3615661465222658e-37,4.1140164084693845e-49,4.872519257338665e-31,1.280577228116487e-13,3.816931545504197e-16,2.916816421414284e-25,2.805012495783929e-26,2.1423162080688323e-16,6.664433678281601e-27,3.11324529539193e-43,5.956984512793022e-54,1.6746153349391816e-16,1.2173736802478235e-27,1.7356726245342687e-29,4.421791070110552e-27,2.6170270324548683e-22,3.753704414755364e-27,3.060667499187589e-29,1.6645773354085953e-41,4.328110834032108e-41,2.9010089101799564e-30,1.1002571271341602e-54,8.301979075038063e-74,7.854102883049278e-28,5.192611534852196e-84,1.2511697838412188e-65,7.3463717816612825e-53
