Time (s),Volume (m^3),N2,Ne,C2H6(1),O2(2),H2O(3),C(4),CH(5),CH3(18),C2H5(31),CH4(30),H(6),C2H4(29),HO2(12),H2(9),C2H5O2(40),CH3O2(36),C2H3(28),H2O2(13),C2H2(22),OH(8),CH2O(19),HCO(16),CO(14),O(7),CH2CHO(34),C2H5O(43),C2H(21)
0.0,0.5419476531991937,3.76,0.0,0.5031517931401369,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.754847915791818e-20,0.5419476531991936,3.76,0.0,0.5031517931401368,1.0,1.3861406221000168e-43,6.848861684846814e-57,1.9366206243514692e-36,2.598047480114724e-16,9.873117609532304e-19,8.607630491516492e-30,3.696923359129607e-19,1.040129242006151e-30,6.176194250332954e-19,2.105281958942578e-31,2.5919305473868953e-33,1.4350087075107755e-31,5.397765973944366e-50,1.5148204956280107e-33,1.8165910044895158e-62,1.7783807167833834e-31,1.5216062752035835e-31,5.553509566344776e-48,8.69459267853924e-48,2.2666672354329576e-25,7.382124327074366e-63,1.1667884066591716e-34,4.210920092920553e-85
1.331357416421709e-19,0.5419476531991937,3.76,0.0,0.5031517931401366,1.0,1.645626252483468e-42,8.130968605554658e-56,1.1697188571007434e-35,7.274532944320935e-16,2.764472930694241e-18,5.199008816875784e-29,1.0351385405588617e-18,6.282380621764973e-30,1.7293343900932536e-18,1.2715903032039527e-30,1.5655260506241672e-32,8.667452593341895e-31,6.408227764472035e-49,9.149515793593139e-33,4.06364141352723e-61,1.0741419529368283e-30,9.190501902229648e-31,6.593126557159286e-47,1.0322260336473223e-46,6.346669094924735e-25,1.6513559718628422e-61,7.047401975901231e-34,1.7376479713370258e-83
3.043102666106763e-19,0.5419476531991937,3.76,0.0,0.5031517931401361,1.0,1.6156856595343754e-41,7.983033219612068e-55,5.631692775500909e-35,1.6627503872732196e-15,6.318795270277047e-18,2.503098946932732e-28,2.3660309498609517e-18,3.024695835825618e-29,3.952764320213279e-18,6.1221599366445545e-30,7.537334031838333e-32,4.173005321406552e-30,6.291636019847604e-48,4.405098001286189e-32,8.029070651500291e-60,5.171531124401055e-30,4.424831048292026e-30,6.473170750514851e-46,1.0134473896215716e-45,1.4506676156758102e-24,3.262804914952492e-60,3.3930206860846236e-33,6.873962607274741e-82
6.466593165476872e-19,0.5419476531991939,3.76,0.0,0.5031517931401353,1.0,1.4290556872324935e-40,7.060902524888681e-54,2.4595081928094303e-34,3.5333445729550074e-15,1.3427439949845797e-17,1.0931690724223227e-27,5.027815768506283e-18,1.3209641374219342e-28,8.399624180453763e-18,2.67370808789793e-29,3.291751795219839e-31,1.8224610585027426e-29,5.564880809780752e-47,1.923822029447505e-31,1.4287302234576472e-58,2.258543510309707e-29,1.9324399695085568e-29,5.725446222483586e-45,8.963834337111505e-45,3.082670365182408e-24,5.805990114240783e-59,1.4818212759608924e-32,2.4532684535235267e-80
1.331357416421709e-18,0.541947653199194,3.76,0.0,0.5031517931401334,1.0,1.2012074194893271e-39,5.935114102624496e-53,1.0267962549259065e-33,7.274532944316722e-15,2.7644729310595846e-17,4.563765686599598e-27,1.0351385405961548e-17,5.514765241783715e-28,1.729334390093646e-17,1.1162204946681247e-28,1.374241576259166e-30,7.608416166898651e-29,4.677617631080716e-46,8.0315782678191e-31,2.409762350077999e-57,9.428974560338798e-29,8.067556471129448e-29,4.812582533977159e-44,7.534645625609795e-44,6.346681212755302e-24,9.792653473186215e-58,6.186312127640635e-32,8.289039808187915e-79
2.7007536161697526e-18,0.5419476531991944,3.76,0.0,0.5031517931401296,1.0,9.848224192963934e-39,4.865965255610783e-52,4.1947977362792014e-33,1.4756909687032707e-14,5.607930803854614e-17,1.864447194982367e-26,2.0998524681530495e-17,2.252961543919817e-27,3.5080783341908765e-17,4.5601249346593e-28,5.614225243155145e-30,3.10828626054276e-28,3.834993545742851e-45,3.281161786349576e-30,3.9580418980932705e-56,3.852043767741941e-28,3.2958600563420105e-28,3.9456459252874575e-43,6.1773588039241464e-43,1.2874724302139887e-23,1.6084464782951764e-56,2.527310356578572e-31,2.7252550473190273e-77
5.439546015665839e-18,0.5419476531991951,3.76,0.0,0.503151793140122,1.0,7.975347295440083e-38,3.9405850328692954e-51,1.6956043136767147e-32,2.972166317243492e-14,1.1294846552024748e-16,7.536393661569245e-26,4.2292803235302045e-17,9.106830780446057e-27,7.065566222388102e-17,1.8432754088443413e-27,2.2693596071447102e-29,1.2564190036183552e-27,3.10567720555118e-44,1.3262980553056844e-29,6.416156486984281e-55,1.5570576797857345e-27,1.332239331041981e-27,3.1952863679847375e-42,5.0025857556290424e-42,2.5930896057864246e-23,2.607361220855385e-55,1.0215792527630684e-30,8.839300146521191e-76
1.0917130814658014e-17,0.5419476531991967,3.76,0.0,0.5031517931401069,0.9999999999999999,6.41925334741077e-37,3.171725995986679e-50,6.817950366909155e-32,5.96511701431203e-14,2.2668678058685323e-16,3.030350745046527e-25,8.488136035337978e-17,3.661816605420789e-26,1.418054199879361e-16,7.411729349812836e-27,9.124995171253922e-29,5.0520055533126384e-27,2.499719208128647e-43,5.332986147674753e-29,1.0333022244368861e-53,6.260860448400772e-27,5.356875756105498e-27,2.571844452437775e-41,4.0265164062556474e-41,5.204358187713375e-23,4.1990750062890827e-54,4.107725231949813e-30,2.8476987540791543e-74
2.1872300412642364e-17,0.5419476531991997,3.76,0.0,0.5031517931400767,0.9999999999999998,5.151046542490192e-36,2.5451109065154187e-49,2.734303035009192e-31,1.195101840840148e-13,4.54163411132877e-16,1.2153061845077866e-24,1.7005847463167374e-16,1.468552239048566e-25,2.8410493551648855e-16,2.972434967812426e-26,3.659531189848226e-28,2.0260801826102688e-26,2.0058672461970244e-42,2.1387659688514074e-28,1.6586789189390568e-52,2.5108850635296642e-26,2.1483467703225089e-26,2.063743203738027e-40,3.231025905299457e-40,1.0427032274695627e-22,6.7404454738945625e-53,1.647381530308528e-29,9.14336648481184e-73
