Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154),CHO2(147),S(841),CH3F(39),C2H5O(149),C2H2O(132),C2HF(57),S(1780),C2HF(2524),CHF2(81),S(1754),C2H3F2(63),CH2CF2(56),C2H3F2(64),C2H5O(167),C2H3F2(65),CF2CH(72),C2HF2(71),C2F(2523),S(1862),S(499),F(37),C2H2F2(58)
0.0,0.5977272721804312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6880596261202616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8273097042690657e-19,0.5977272721804312,4.1353781920100794e-25,6.123131272412502e-28,3.0580853810534963e-33,2.052779959225252e-34,0.0,0.0,1.0470707789989756e-19,4.35641445250682e-35,9.647694357259822e-45,1.1215684920203183e-44,2.94249302663439e-45,5.698936185750599e-60,4.62231546852321e-41,6.969605406462301e-33,6.869278504203549e-20,8.890741556473138e-35,2.2063796104119113e-69,5.829621743080995e-71,2.433724062418824e-46,2.0419116731325267e-34,1.5774565757106004e-22,2.429021874067625e-49,7.335513259905207e-36,8.203148644951593e-49,1.619154312502294e-36,3.0413810523738826e-16,3.142663690159898e-36,6.293161292032428e-23,5.091836369511044e-49,4.175635663916904e-55,1.3345632752951087e-48,1.4142534773525821e-37,3.76,0.0,0.6880596261202614,1.0,1.6545447829654992e-44,6.436889549402344e-33,3.0413810523738826e-16,5.344137547958442e-20,7.579911850385359e-31,5.126611595661953e-20,9.31605136198645e-53,7.54099784646488e-52,9.610897642849233e-54,5.9207346694496816e-58,2.1384724904095858e-63,6.869278504203868e-20,2.7031297754673384e-33,6.348451086564481e-39,4.974360195989117e-50,1.7823800534403702e-48,2.6747853446874415e-43,7.031744712061404e-33,1.5774565757867713e-22,8.016156898857155e-39,1.721659872341622e-65,9.773294829042338e-66,1.47160603556068e-76,1.6728798930904012e-84,1.393311995471048e-57,3.1234073903993806e-70,3.1864687942430617e-50,1.601691367178305e-61,1.1400698131679465e-63,7.646725941011678e-48,5.398630580393809e-51,1.6051675729650385e-82,8.400591286769253e-84,1.0397734902748996e-89,8.4149365771749e-81,2.658148014789606e-34,6.293161291704389e-23,2.3846349178827872e-63
1.0716467171953383e-18,0.5977272721804312,1.1579081063706004e-24,1.714476780317685e-27,1.8470835702242757e-32,1.239879105871662e-33,0.0,0.0,2.931798181199564e-19,2.63127432931593e-34,1.1453742740067297e-43,1.3315261353275688e-43,3.4933277214066827e-44,6.765777039217764e-59,2.7918785428496123e-40,4.209641665149428e-32,1.9233979811767809e-19,5.370007900398889e-34,4.935582933382659e-68,1.3040630693065448e-69,2.889317206882243e-45,1.2333146505620603e-33,4.416878411763865e-22,2.8837347688634204e-48,4.430650008932849e-35,9.738778071229668e-48,9.779692047490287e-36,8.515866946646866e-16,1.898168868854785e-35,1.7620851617670678e-22,6.045028137759598e-48,4.957314660121982e-54,1.5843935906445e-47,8.542091003213362e-37,3.76,0.0,0.6880596261202607,1.0,1.9642755663834724e-43,3.8878812878386544e-32,8.515866946646866e-16,1.496358513415993e-19,4.5782667576008904e-30,1.43545124677326e-19,1.1060016176848874e-51,8.952672643270849e-51,1.1410057682173973e-52,7.029096199527082e-57,4.783677444570872e-62,1.923397981176973e-19,1.6326903843821898e-32,3.8344644563624515e-38,5.90556045167867e-49,2.1160415988947664e-47,3.175505158798172e-42,4.2471738059636695e-32,4.416878412223935e-22,4.841758761004763e-38,3.85128429548788e-64,2.1862469600651606e-64,6.07262353834138e-75,6.903185719431773e-83,1.6541437790348168e-56,6.987486229671048e-69,3.7829757524835886e-49,3.582919520685421e-60,2.5503351497115594e-62,9.078193025355972e-47,6.409254225007397e-50,6.623768993196263e-81,3.466535114268801e-82,4.2906544228129624e-88,3.472447155052699e-79,1.6055214009220595e-33,1.762085161568932e-22,5.334332925878351e-62
2.4494782107322022e-18,0.5977272721804313,2.646657531140899e-24,3.9188041826393034e-27,8.892912289123033e-32,5.969484278921181e-33,0.0,0.0,6.701252985610469e-19,1.2668453227916991e-33,1.1245352540119834e-42,1.3073003012621276e-42,3.4297698720508632e-43,6.642680016544198e-58,1.3441693380389326e-39,2.0267612516685307e-31,4.3963382426887825e-19,2.585427645056059e-33,9.751880159813359e-67,2.5766088870450307e-68,2.836748767089088e-44,5.9378791453195974e-33,1.0095722082967123e-21,2.831267896321264e-47,2.1331672559055903e-34,9.561590060379294e-47,4.708500740721074e-35,1.9464838735192818e-15,9.138866010958077e-35,4.027623226886669e-22,5.935044471917934e-47,4.867120929613028e-53,1.5555670533803586e-46,4.112649112146955e-36,3.76,0.0,0.6880596261202596,1.0,1.9285373991673034e-42,1.87184748096566e-31,1.9464838735192818e-15,3.4202480306068094e-19,2.2042383660442637e-29,3.2810314211390437e-19,1.0858789467214788e-50,8.789787089674141e-50,1.1202462294312849e-51,6.901208330575438e-56,9.45174053160788e-61,4.396338242689708e-19,7.860701387057786e-32,1.8461295760869907e-37,5.798114328146113e-48,2.077542188586205e-46,3.1177297902819256e-41,2.044831362085328e-31,1.009572208518216e-21,2.3310984173302207e-37,7.609488789255017e-63,4.31965557891218e-63,2.402269486791696e-73,2.73083162093126e-81,1.6240498267478054e-55,1.3806580533942219e-67,3.7141480264402125e-48,7.07924519913335e-59,5.039071904137041e-61,8.913023720222463e-46,6.2926438043950156e-49,2.62029715294097e-79,1.3713281371305828e-80,1.6973402219140003e-86,1.3736655642083946e-77,7.729894426845235e-33,4.027623225932733e-22,1.0539742949432761e-60
5.205141197805929e-18,0.5977272721804316,5.6241917824059445e-24,8.32745937195757e-27,3.883768434991386e-31,2.607030710960023e-32,0.0,0.0,1.4240162594471194e-18,5.5326463547117184e-33,9.946386968885589e-42,1.1562923931560787e-41,3.0335926108277205e-42,5.875375246771255e-57,5.870340642879066e-39,8.851398860723143e-31,9.342218765709382e-19,1.1291241781202143e-32,1.7352949704521846e-65,4.584937901897972e-67,2.509072159252094e-43,2.5932278247235264e-32,2.145340942176056e-21,2.504224391095639e-46,9.316101839306219e-34,8.457118126629099e-46,2.0563259768410146e-34,4.136278231228464e-15,3.991182886475265e-34,8.558699357093678e-22,5.249479622704399e-46,4.304913343549882e-52,1.3758814546811609e-45,1.7961019162436124e-35,3.76,0.0,0.6880596261202574,1.0,1.7057694897435404e-41,8.174849727735374e-31,4.136278231228464e-15,7.268027064790511e-19,9.626488049495482e-29,6.972191769677225e-19,9.60447631148691e-50,7.774467139441554e-49,9.908451037667679e-51,6.104040614532107e-55,1.6818867287222732e-59,9.342218765713423e-19,3.4329748148422466e-31,8.062532881104941e-37,5.128366563429446e-47,1.8375625363167092e-45,2.7575966832388715e-40,8.93031578243598e-31,2.145340943143421e-21,1.0180519170021705e-36,1.3540678712760179e-61,7.686596304165729e-62,8.573529171012163e-72,9.746144082129114e-80,1.4364543375593553e-54,2.456846880020594e-66,3.2851218678408747e-47,1.2597138588654309e-57,8.966791425683846e-60,7.883468499241702e-45,5.565772182927585e-48,9.351654434407862e-78,4.894174921006323e-79,6.057686697591025e-85,4.9025148233966325e-76,3.37584797861443e-32,8.558699352927589e-22,1.875490944176637e-59
1.0716467171953385e-17,0.5977272721804321,1.1579401891833813e-23,1.7144771289294635e-26,1.6213968699826655e-30,1.0883840808507865e-31,0.0,0.0,2.931798181234831e-18,2.3097709427443687e-32,8.360537556595299e-41,9.719335652188913e-41,2.549917376861015e-41,4.9386069096230795e-56,2.4507516594801224e-38,3.695284781570729e-30,1.923397981173697e-18,4.7138711772751865e-32,2.926828604080784e-64,7.733168105907767e-66,2.1090263326545744e-42,1.082621568955561e-31,4.416878408489511e-21,2.1049514913666426e-45,3.8892891297056836e-33,7.108717364665092e-45,8.58475616455459e-34,8.515866946646804e-15,1.6662402884977526e-33,1.762085161737892e-21,4.4125039269727517e-45,3.618539055232908e-51,1.1565112705521399e-44,7.498371936975885e-35,3.76,0.0,0.6880596261202531,1.0,1.4338020367390565e-40,3.4128388390880815e-30,8.515866946646804e-15,1.4963585132366207e-18,4.0188692626297866e-28,1.4354512465980043e-18,8.073141052264815e-49,6.53490807714401e-48,8.328650129817181e-50,5.1308139322755986e-54,2.8367477988954174e-58,1.9233979811753844e-18,1.4331994069516374e-30,3.365948767143296e-36,4.310701274982575e-46,1.5445820297387378e-44,2.317926154619878e-39,3.728231044641154e-30,4.416878412528069e-21,4.2501663053998704e-36,2.283833368782153e-60,1.2964568162846787e-60,2.896801736070741e-70,3.2930018113039325e-78,1.2074266844511485e-53,4.143863597572441e-65,2.7613428730969323e-46,2.1246915464279336e-56,1.5123830565518069e-58,6.626530213340293e-44,4.678366882453241e-47,3.1597126781830816e-76,1.653631456993643e-77,2.046755430454732e-83,1.6564489519829306e-74,1.4093500772899166e-31,1.7620851599986324e-21,3.1632896047233187e-58
2.1739119120248293e-17,0.597727272180433,2.3490388538280508e-23,3.477940127877399e-26,6.623935266804377e-30,4.446404742989188e-31,0.0,0.0,5.94736202487252e-18,9.436167960921679e-32,6.854473802237674e-40,7.968500830690518e-40,2.090576324711937e-40,4.048968317316739e-55,1.00121201810918e-37,1.509644405282566e-29,3.901750190373771e-18,1.9257701875130229e-31,4.8073247721281485e-63,1.2701752445333013e-64,1.729107209291891e-41,4.422862359292533e-31,8.959953335335496e-21,1.7257664081264264e-44,1.588901513559178e-32,5.828155985574241e-44,3.507153006770691e-33,1.7275044377483366e-14,6.807135259222062e-33,3.57451561374343e-21,3.617637310302418e-44,2.9666969395678406e-50,9.481778149468326e-44,3.063329602129233e-34,3.76,0.0,0.6880596261202443,1.0,1.1755175368606404e-39,1.394256023954477e-29,1.7275044377483375e-14,3.0354701264350758e-18,1.6418392260645016e-27,2.9119153855491514e-18,6.61884879221777e-48,5.357712463596411e-47,6.828330578330849e-49,4.206551251947363e-53,4.65936677849025e-57,3.901750190380666e-18,5.855087218843578e-30,1.375099900038677e-35,3.534173627509758e-45,1.2663416619816876e-43,1.900375879654753e-38,1.523104030177263e-29,8.959953351834324e-21,1.7363315791765727e-35,3.751203125865154e-59,2.129434213545672e-59,9.524050322712707e-69,1.0826669488170885e-76,9.89921449604952e-53,6.806334376220074e-64,2.2639157202399437e-45,3.489812244409943e-55,2.4840958313004304e-57,5.432829704186815e-43,3.835607824881118e-46,1.0388443985748325e-74,5.4367790325295177e-76,6.729284090522726e-82,5.446041711188817e-73,5.757654924671905e-31,3.574515606637988e-21,5.195712674029634e-57
4.378442301683811e-17,0.597727272180435,4.7314627541536436e-23,7.004868587697846e-26,2.677500545813696e-29,1.797308407829349e-30,0.0,0.0,1.1978489712396957e-17,3.814249961239311e-31,5.5509305846080035e-39,6.45310220704371e-39,1.6930029090165412e-39,3.278959511445921e-54,4.04705905038681e-37,6.102224040043293e-29,7.858454608752144e-18,7.784271016375733e-31,7.792880621228247e-62,2.059009004761908e-63,1.400275847856275e-40,1.787791680617648e-30,1.8046103165903754e-20,1.397570380316946e-43,6.422593958835776e-32,4.719791821308583e-43,1.4176473197708926e-32,3.4793399239156054e-14,2.7515529084178255e-32,7.199376517548464e-21,2.9296564853775627e-43,2.4025080971245693e-49,7.678589784057223e-43,1.238246803625659e-33,3.76,0.0,0.6880596261202268,1.0,9.519645794638726e-39,5.635805771165015e-29,3.4793399239156086e-14,6.1136933515652475e-18,6.636576657685263e-27,5.864843662213776e-18,5.360115355453437e-47,4.3388144601857075e-46,5.529759148574086e-48,3.406574265299269e-52,7.553034332969271e-56,7.858454608780007e-18,2.3667198686429012e-29,5.558373659207332e-35,2.8620658878077736e-44,1.0255163007430439e-42,1.5389736172584692e-37,6.156630007359429e-29,1.8046103232594663e-20,7.018529566784215e-35,6.080861783092819e-58,3.451904623000345e-58,3.089102889907238e-67,3.5116042959107126e-75,8.01664097220943e-52,1.1033381927473094e-62,1.833377645525715e-44,5.65713603230873e-54,4.026828094226108e-56,4.3996461511714526e-42,3.1061746608287264e-45,3.369466905861809e-73,1.763406343054849e-74,2.182627189665668e-80,1.7664105524770983e-71,2.3273361769976616e-30,7.199376488827132e-21,8.422474141464036e-56
8.787503081001775e-17,0.5977272721804389,9.497216838948836e-23,1.4058735355056932e-25,1.0766111960972303e-28,7.226902231710938e-30,0.0,0.0,2.404074508844207e-17,1.5336931338054859e-30,4.467871830910123e-38,5.194023918236377e-38,1.3626760281535152e-38,2.6391918641430786e-53,1.62730463904784e-36,2.4536774338855733e-28,1.577186344542178e-17,3.130021150705723e-30,1.2550194011992798e-60,3.315971163578283e-62,1.1270638230206412e-39,7.188631713860672e-30,3.621840273454544e-20,1.124886227150201e-42,2.5824967812706355e-31,3.798899068856242e-42,5.700297521455804e-32,6.983010896249964e-14,1.1063873226341813e-31,1.4449098324334366e-20,2.3580424104270434e-42,1.933747527873604e-48,6.180397082250853e-42,4.978935937455402e-33,3.76,0.0,0.6880596261201917,1.0,7.662239138288059e-38,2.2661327133968143e-28,6.983010896249974e-14,1.2270139796758639e-17,2.668538284064417e-26,1.1770700210592349e-17,4.3142871547842196e-46,3.4922553444184534e-45,4.45083125674783e-47,2.741907332794573e-51,1.216392894181246e-54,1.5771863445533826e-17,9.516476499659094e-29,2.2349976047214994e-34,2.303640352438039e-43,8.254247218421269e-42,1.2386997893980688e-36,2.4755538432917857e-28,3.621840300270664e-20,2.822119635538792e-34,9.793040003837862e-57,5.55918597677497e-57,9.951956425115989e-66,1.1313100999350275e-73,6.452490259831178e-51,1.77689370012142e-61,1.4756618282372046e-43,9.110643173487452e-53,6.485083870075228e-55,3.541217662839891e-41,2.5001195971437777e-44,1.085518646811669e-71,5.681048582445067e-73,7.031624391668848e-79,5.690726746094161e-70,9.358116403427347e-30,1.4449098208847154e-20,1.3564134949274565e-54
1.7605624639637702e-16,0.5977272721804465,1.9032350145107125e-22,2.8166508280807063e-25,4.3176924441389285e-28,2.89831437260348e-29,0.0,0.0,4.816525584451726e-17,6.150795428156723e-30,3.5851857296441705e-37,4.167886482417259e-37,1.0934616927330699e-37,2.117785238491667e-52,6.526219388252824e-36,9.840343831166087e-28,3.159868111841264e-17,1.2552784842655876e-29,2.0145840878501307e-59,5.322870139815521e-61,9.04397737043553e-39,2.8829628334869493e-29,7.25630015018495e-20,9.026503531375381e-42,1.0356967126907613e-30,3.048377253976936e-41,2.2860742573807956e-31,1.3990352840917964e-13,4.437108007015853e-31,2.8948541934609505e-20,1.892180524653491e-41,1.551710604465874e-47,4.959379429924877e-41,1.9967759993921147e-32,3.76,0.0,0.6880596261201215,1.0,6.148464377244322e-37,9.088205733234475e-28,1.3990352840918014e-13,2.4583032666877617e-17,1.0702032041860373e-25,2.3582413287546792e-17,3.4619437329357505e-45,2.8023149769835754e-44,3.5715118053388564e-46,2.200207953379505e-50,1.952579983985128e-53,3.1598681118861983e-17,3.8165327111515746e-28,8.963340045863582e-34,1.8485274791188488e-42,6.623513319361693e-41,9.939784653644475e-36,9.928078091417598e-28,7.256300257729582e-20,1.13179600802557e-33,1.571999663752429e-55,8.923724659392409e-56,3.1953644832917526e-64,3.632399470369541e-72,5.17771714894383e-50,2.852308841378605e-60,1.1841256814074079e-42,1.4624599974851664e-51,1.040999692278362e-53,2.8416036424694282e-40,2.006188523103703e-43,3.4853727199131775e-70,1.8240655809665143e-71,2.257707229726873e-77,1.8271729199208271e-68,3.753023226298133e-29,2.894854147145414e-20,2.1773440579830063e-53
