Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25)
0.0,0.3286744403225122,3.76,0.0,0.714802878931609,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1350203837985412e-20,0.3286744403225122,3.76,0.0,0.7148028789316088,1.0,7.660885880601858e-46,5.329674010031505e-33,9.929498130421928e-34,2.8062421273980957e-16,2.8062421273980957e-16,1.3852126069400488e-35,6.747029749693974e-34,6.739605861449863e-34,9.856168108201184e-46,1.5363573133743754e-48,1.576543350818365e-19,2.5818808168485215e-35,7.322708382159572e-20,1.2990453639038519e-24,4.4368837308996245e-31,8.442855030472239e-20,7.782008800589802e-36,5.975470125976888e-35,1.075383512072321e-46,2.711336030390679e-26,1.2373782223216062e-52,3.9680101239885704e-54,8.605412401389027e-34,1.909569025762718e-49,7.589208783367134e-70,5.144320012185577e-35,7.557549394399304e-52,1.7938822651505808e-64,1.1845096610124215e-57,1.6219540704778157e-78,1.8040709893756811e-19,8.815970106912099e-34,1.8040709893756414e-19,2.188395931364336e-38,6.245267930336646e-66,2.8585935618173925e-51,2.191586225738872e-21,9.462112904948237e-57,3.554348287101036e-70,8.487621723761673e-36,4.098451075702809e-50,8.689110647888905e-62,5.4528477447719665e-64,1.836303246022057e-66,1.0104403191262648e-60,1.627787773737837e-61,1.4146904069344444e-82,3.671645056805036e-85,1.3974778800864488e-66,8.653138114338558e-85,1.3758474949276275e-82,5.8432187055457235e-90,4.91934319013736e-35,1.0265384167559972e-50,9.764688290787931e-70,2.260394866716272e-56,4.139662925943373e-68,8.404150457440063e-49,2.1915862257382886e-21
5.978057074635915e-20,0.32867444032251225,3.76,0.0,0.7148028789316081,1.0,9.095003717659002e-45,3.2191231020589306e-32,5.997416870874314e-33,7.857477956714662e-16,7.857477956714662e-16,8.366684144818109e-35,4.075205970267727e-33,4.070721940312226e-33,1.1701242790235908e-44,1.8239634053033524e-47,4.414321382291673e-19,1.5594560133765755e-34,2.0503583469976062e-19,3.637328431005889e-24,2.6798777734561394e-30,2.363999408525087e-19,4.7003333155668474e-35,3.60918395609141e-34,1.2766953055312877e-45,7.591740887855455e-26,1.4690154255370017e-51,4.710821619274659e-53,5.197669090391073e-33,2.2670403473795973e-48,1.6976756480044207e-68,3.1071692873512467e-34,8.972322641006882e-51,4.012844011273869e-63,1.406249869550294e-56,6.693040740888662e-77,5.051398770251854e-19,5.324845944574853e-33,5.051398770251617e-19,1.3217911425471935e-37,1.3970414548261706e-64,3.3985790625746874e-50,6.136441432070726e-21,1.1233420440779624e-55,7.950934944344669e-69,5.126523521137999e-35,4.8656811170527596e-49,1.943719295481914e-60,1.219780229109642e-62,2.18047030014139e-65,1.199594746869093e-59,3.641296141961272e-60,5.837759575538328e-81,1.5151146133113864e-83,3.1261021186304705e-65,3.570741671659093e-83,5.677474784381327e-81,2.4112205598512135e-88,2.971283286847169e-34,1.2187064083701086e-49,2.1843217119216566e-68,3.4159087350872256e-55,9.283759001381951e-67,1.0007355703489064e-47,6.136441432067204e-21
1.3664130456310665e-19,0.3286744403225123,3.76,0.0,0.7148028789316071,1.0,8.929528582957633e-44,1.549869202117017e-31,2.8874980564759023e-32,1.7959949615347783e-15,1.7959949615347783e-15,4.028198259331985e-34,1.9620362533898612e-32,1.9598773845043856e-32,1.1488349564192499e-43,1.7907780891653625e-46,1.0089877445239298e-18,7.508109415396531e-34,4.686533364532611e-19,8.313900213510378e-24,1.2902457889347598e-29,5.403427219452254e-19,2.2630081592274186e-34,1.7376667126361344e-33,1.2534670216684863e-44,1.7352550613831227e-25,1.4422880559280327e-50,4.625112600754871e-52,2.5024539262520817e-32,2.225793656410729e-47,3.354320997643829e-67,1.495968259530303e-33,8.809079574037421e-50,7.928704551632235e-62,1.3806644608647541e-55,2.6477007028980425e-75,1.1546054332004006e-18,2.563684107089958e-32,1.1546054332002862e-18,6.3638553684536196e-37,2.7603184926045814e-63,3.338873291587462e-49,1.402615184474198e-20,1.102903880208395e-54,1.570970760301608e-67,2.4682003972488206e-34,4.7771545737721935e-48,3.8404617831216422e-59,2.4100801821510202e-61,2.1416693328438243e-64,1.1777692359793062e-58,7.194587569113757e-59,2.3093596337074395e-79,5.993642737823832e-82,6.176650993118711e-64,1.4125498955902563e-81,2.2459528573612912e-79,9.538548747732608e-87,1.4305449996982511e-33,1.1965331785626959e-48,4.3158516131778154e-67,3.6746787681890586e-54,1.8363920087876188e-65,9.838404331404634e-47,1.4026151844725027e-20
2.9036277219660164e-19,0.32867444032251236,3.76,0.0,0.7148028789316051,1.0,7.898066908465152e-43,6.768685992738517e-31,1.2610462627177652e-31,3.816489293261397e-15,3.816489293261397e-15,1.7592200091091954e-33,8.568727804626172e-32,8.55929944398724e-32,1.0161315090182287e-42,1.583922941791175e-45,2.1440989571138578e-18,3.278988637398689e-33,9.95888339948944e-19,1.7667066371721017e-23,5.634842338130398e-29,1.1482282841192359e-18,9.883151176913366e-34,7.588847060011887e-33,1.1086773855997577e-43,3.687417010996764e-25,1.275687452063552e-49,4.0908597179182006e-51,1.0928873749021644e-31,1.9686892827619124e-46,5.968834994628897e-66,6.533286415338635e-33,7.791531123493571e-49,1.4108706943646683e-60,1.2211820800935831e-54,9.449456307414544e-74,2.453536545550751e-18,1.1196282035777549e-31,2.4535365455502515e-18,2.7792628328799595e-36,4.911839272508014e-62,2.9540408219488755e-48,2.9805572670114674e-20,9.755059920644183e-54,2.7954585313539845e-66,1.0779279588959559e-33,4.225339120865871e-47,6.833896547851781e-58,4.2886089139724367e-60,1.8958310800601174e-63,1.0417235514170907e-57,1.2802384176675732e-57,8.241940497365729e-78,2.1390885199971056e-80,1.099102042493887e-62,5.041290242989152e-80,8.015646696202494e-78,3.404240295120476e-85,6.24756585153962e-33,1.0583200461217656e-47,7.679827350977778e-66,3.3776629305938596e-53,3.269459232896644e-64,8.707168996662486e-46,2.980557267004062e-20
5.978057074635916e-19,0.32867444032251264,3.76,0.0,0.7148028789316011,1.0,6.638801131676417e-42,2.825793160117361e-30,5.264619910137329e-31,7.857477956714611e-15,7.857477956714611e-15,7.344397226654141e-33,3.5772751935510896e-31,3.5733390276920402e-31,8.541197599221741e-42,1.3313826736316532e-44,4.414321382295326e-18,1.368913209094046e-32,2.050358346895038e-18,3.6373489060948944e-23,2.352435754022067e-28,2.3639994084215625e-18,4.1260210662205865e-33,3.168194260812063e-32,9.319101454142094e-43,7.5917409278979965e-25,1.0722921693739565e-48,3.438614086177201e-50,4.562589654548287e-31,1.6548019645518548e-45,1.0067312641721864e-64,2.7275184703374485e-32,6.549251384112419e-48,2.3796397101872077e-59,1.0264771200356385e-53,3.192757810219679e-72,5.0513987702511335e-18,4.674227350684059e-31,5.051398770249049e-18,1.1602875228517195e-35,8.284534856427623e-61,2.483384417121434e-47,6.136441432098077e-20,8.199715649908394e-53,4.7149494060819e-65,4.50013703774245e-33,3.551652126731578e-46,1.1526365390840253e-56,7.233365769417225e-59,1.5961657697713137e-62,8.756314135280078e-57,2.15930921518421e-56,2.7847654168581856e-76,7.227496651530454e-79,1.8537962427573798e-61,1.7033380342142426e-78,2.7083059336776522e-76,1.150215856026611e-83,2.608235759469485e-32,8.895817673152413e-47,1.2953151335920056e-64,2.889661836841711e-52,5.515802619216094e-63,7.320966584553868e-45,6.136441432067165e-20
1.2126915779975716e-18,0.32867444032251314,3.76,0.0,0.714802878931593,1.0,5.442890268656209e-41,1.1544287092677272e-29,2.1507690142167652e-30,1.5939455283620947e-14,1.5939455283620947e-14,3.000425902146865e-32,1.4614336490590128e-30,1.4598255879722727e-30,7.002589829466176e-41,1.0915479585472997e-43,8.954766232664709e-18,5.592457124534693e-32,4.159298360606141e-18,7.378669593063132e-23,9.61046763562342e-28,4.795541656843442e-18,1.6856142343681467e-32,1.2943107311832833e-31,7.640362408399372e-42,1.5400388832396263e-24,8.791299055830474e-48,2.819183580944499e-49,1.863966747224746e-30,1.3567066294018251e-44,1.6535591244330286e-63,1.1142802918150128e-31,5.36947197354772e-47,3.908565423598804e-58,8.415679601026548e-53,1.0497089294272861e-70,1.0247123219650627e-17,1.909574389036965e-30,1.0247123219642105e-17,4.7401531235302167e-35,1.3607373358286812e-59,2.036161938661573e-46,1.2448209762319591e-19,6.722622295999145e-52,7.74431855807157e-64,1.838452815687736e-32,2.911858995053142e-45,1.89320897645507e-55,1.1880824995871036e-57,1.3129059485126458e-61,7.178955362472083e-56,3.546671870055316e-55,9.155699419739871e-75,2.3762427711591894e-77,3.044865895198035e-60,5.6002027879205155e-77,8.904317489411927e-75,3.781658082143232e-82,1.0655494124061746e-31,7.293328790844698e-46,2.127558996950376e-63,2.3892284323166405e-51,9.060839843683879e-62,6.002993022516974e-44,1.2448209762193296e-19
2.4424633190655316e-18,0.3286744403225141,3.76,0.0,0.7148028789315768,1.0,4.407793658344176e-40,4.666385420125714e-29,8.693752238758779e-30,3.2103409937433253e-14,3.210340993743326e-14,1.2128201168961867e-31,5.907348544409457e-30,5.900848432441691e-30,5.670878798220011e-40,8.8396384343946e-43,1.803565593342927e-17,2.26056058543677e-31,8.377178387304e-18,1.4861455563490188e-22,3.884704676118888e-27,9.658626152956107e-18,6.813522242368598e-32,5.231810917991953e-31,6.187363567930677e-41,3.1017684924176032e-24,7.119421904683634e-47,2.2830479573887954e-48,7.534451612557837e-30,1.0986962033849568e-43,2.680490597423663e-62,4.504099097170021e-31,4.348337616736349e-46,6.335953026201532e-57,6.815235531524218e-52,3.4047057738857626e-69,2.0638572118444518e-17,7.71880499516155e-30,2.0638572118410076e-17,1.9160456812082076e-34,2.2058138529504277e-58,1.6489899245408547e-45,2.507174642295578e-19,5.444153831460243e-51,1.2553874109516785e-62,7.431320223631117e-32,2.3580989088727476e-44,3.0689733342887494e-54,1.9259329295106778e-56,1.0701459135791232e-60,5.8137041797635975e-55,5.749307937757872e-54,2.969629160194054e-73,7.707286471796296e-76,4.93585882786497e-59,1.8164123502734172e-75,2.8880940507448996e-73,1.2265717341340208e-80,4.3071210918468955e-31,5.906326746704687e-45,3.448864818216622e-62,1.9428811177472527e-50,1.4688911299950122e-60,4.861707416600173e-43,2.5071746422445274e-19
4.9020068012014515e-18,0.3286744403225161,3.76,0.0,0.7148028789315444,1.0,3.5477758093614514e-39,1.876333053920048e-28,3.4957195426462354e-29,6.443131924505639e-14,6.443131924505641e-14,4.876696304569827e-31,2.375318925966328e-29,2.3727052016718912e-29,4.564416611817008e-39,7.114910144506312e-42,3.6197435335061546e-17,9.089614691002078e-31,1.6812938437802343e-17,2.982760589030641e-22,1.5620226644280732e-26,1.9384795142257043e-17,2.739687327118113e-31,2.103688159838659e-30,4.980128487672177e-40,6.225227823886879e-24,5.730330123714795e-46,1.8375956188338065e-47,3.0295698537840876e-29,8.843262887336903e-43,4.316847472287076e-61,1.8110784368732062e-30,3.49992041012116e-45,1.0203857055280223e-55,5.485494466871573e-51,1.0968713207853112e-67,4.142146991601192e-17,3.103697540014675e-29,4.142146991587344e-17,7.704335414589059e-34,3.55239518752949e-57,1.3272717968875452e-44,5.031881974500079e-19,4.381928634893345e-50,2.02176272439648e-61,2.9881011772300517e-31,1.8980031512435705e-43,4.942486942220169e-53,3.1016556089015088e-55,8.724872538083902e-60,4.679374905103754e-54,9.259083191900645e-53,9.567055909562766e-72,2.4830050039280774e-74,7.949048476842436e-58,5.8518143415227364e-74,9.30437970436003e-72,3.9515642271302053e-79,1.7318744477919654e-30,4.753925603854192e-44,5.554290471729919e-61,1.5670043876750515e-49,2.3656760898646015e-59,3.913256117920449e-42,5.031881974294808e-19
9.82109376547329e-18,0.32867444032252,3.76,0.0,0.7148028789314796,1.0,2.8468666619053403e-38,7.524934756658338e-28,1.4019398896495377e-28,1.2908713786029675e-13,1.2908713786029685e-13,1.9557732986518082e-30,9.526091743464189e-29,9.515609075930908e-29,3.6626568735266274e-38,5.70926747208704e-41,7.252099413873877e-17,3.645342034067171e-30,3.3684458527209525e-17,5.976222008778542e-22,6.264409513762868e-26,3.883713310916136e-17,1.0987371540228107e-30,8.436730418915902e-30,3.996239473397502e-39,1.2472146939278942e-23,4.5982290392797704e-45,1.4745547596646403e-46,1.2149930106642516e-28,7.096161535277316e-42,6.929496230706516e-60,7.26323455367214e-30,2.8084657107887683e-44,1.637945040923396e-54,4.401763843700599e-50,3.521823777820484e-66,8.29872655110652e-17,1.2447215298095063e-28,8.298726551050985e-17,3.089783087037295e-33,5.702380944798767e-56,1.0650605178749573e-43,1.008129663921814e-18,3.516221766327129e-49,3.2453769271522417e-60,1.1983622177130608e-30,1.5230279958695696e-42,7.93378613327053e-52,4.978844162589879e-54,7.179955520883586e-59,3.7549036652454197e-53,1.486287909849967e-51,3.071781012506041e-70,7.972408345197242e-73,1.2759983249570615e-56,1.878894860688469e-72,2.9874411828996334e-70,1.2687644011650741e-77,6.945591136764838e-30,3.814725904180328e-43,8.915866311586747e-60,1.2587037528286967e-48,3.797491980591183e-58,3.1401939621642454e-41,1.0081296638394914e-18
1.9659267694016966e-17,0.32867444032252774,3.76,0.0,0.7148028789313502,0.9999999999999999,2.28095767351981e-37,3.0138988877666837e-27,5.6150720636312295e-28,2.5839877509075393e-13,2.583987750907543e-13,7.833294173168593e-30,3.815405851325565e-28,3.8112069448208973e-28,2.9345825623425745e-37,4.574361810171601e-40,1.4516811174774389e-16,1.4600382139532064e-29,6.742749865966584e-17,1.1964070265811514e-21,2.5090313023105535e-25,7.774180899617976e-17,4.4006796013620716e-30,3.37909274313628e-29,3.2018545770465244e-38,2.4965986979878855e-23,3.684178785526256e-44,1.1814381895207573e-45,4.866309400320727e-28,5.685564499025635e-41,1.1105262290115992e-58,2.909082302238182e-29,2.250190171444094e-43,2.6249829268875403e-53,3.526767551507993e-49,1.1288813580681313e-64,1.661188567008457e-16,4.985378552250078e-28,1.6611885669862146e-16,1.2375248578875168e-32,9.138677971258132e-55,8.533478692925054e-43,2.0180125969890493e-18,2.8172562831842636e-48,5.201065249172345e-59,4.7996994914027486e-30,1.220275758501992e-41,1.2714744754943673e-50,7.979132742305396e-53,6.039208537948062e-58,3.008492252176826e-52,2.3819360776410416e-50,9.846251670765584e-69,2.5554666468971152e-71,2.04492442134255e-55,6.022588062290021e-71,9.575909664226154e-69,4.0668828776236396e-76,2.781859256879824e-29,3.056422837794322e-42,1.4288633828195621e-58,1.0090078342205285e-47,6.085935580515736e-57,2.515997395898449e-40,2.0180125966593305e-18
3.933561555110432e-17,0.3286744403225433,3.76,0.0,0.7148028789310913,0.9999999999999998,1.8261530741486063e-36,1.2063449998052004e-26,2.2474921757949963e-27,5.170220495515739e-13,5.170220495515755e-13,3.1353588598604823e-29,1.5271569608808029e-27,1.5254760064097103e-27,2.3494504002694076e-36,3.662271272821316e-39,2.904623469723567e-16,5.843957825350854e-29,1.3491357873914631e-16,2.394346845001448e-21,1.0042663918739028e-24,1.555511605830557e-16,1.7614186929135775e-29,1.3525177145181944e-28,2.5634305252100267e-37,4.99536743003559e-23,2.9495831632129223e-43,9.458689250308168e-45,1.9477919471685318e-27,4.55190865925254e-40,1.778288876183957e-57,1.1643910478157411e-28,1.801520346430387e-42,4.203392780629883e-52,2.823558462783778e-48,3.6154599803928783e-63,3.323820390791025e-16,1.9954506480358397e-27,3.323820390701997e-16,4.953324520585304e-32,1.4633790879815036e-53,6.831985147579432e-42,4.037778463618013e-18,2.2555180416741837e-47,8.328480906143704e-58,1.921130631476365e-29,9.769625842915285e-41,2.036015765693727e-49,1.2777008406611722e-51,5.293798344430367e-57,2.4086230954626384e-51,3.814201157110363e-49,3.1534517563806255e-67,8.184374223919542e-70,3.274543410734365e-54,1.9288498331168933e-69,3.0668694643362304e-67,1.3024975777362492e-74,1.1134686770565062e-28,2.44699670325462e-41,2.2880431000476203e-57,8.08026178417601e-47,9.745464446802742e-56,2.0143361278944837e-39,4.037778462298278e-18
7.868831126527904e-17,0.32867444032257437,3.76,0.0,0.7148028789305734,0.9999999999999994,1.461477489196024e-35,4.8269513361923945e-26,8.99289636000721e-27,1.0342685984728368e-12,1.0342685984728432e-12,1.25455176346244e-28,6.1106194334716515e-27,6.103891044446454e-27,1.8802743638554805e-35,2.930930724500196e-38,5.810508174479929e-16,2.3383443410103107e-28,2.6988573815637873e-16,4.7917071498875044e-21,4.018373673216139e-24,3.111698630081641e-16,7.0479691430873e-29,5.411832596221297e-28,2.0515234973012143e-36,9.992907789853121e-23,2.360562963294526e-42,7.569826223723723e-44,7.793704826832099e-27,3.642910334826255e-39,2.846420307724742e-56,4.6590808663765615e-28,1.4417637916629245e-41,6.728165877531899e-51,2.259704900759165e-47,1.157433786029886e-61,6.64908403830399e-16,7.984401786891739e-27,6.649084037947762e-16,1.981975013576394e-31,2.342359338348043e-52,5.467669754326146e-41,8.077310198853913e-18,1.8050999356357064e-46,1.3330993400077e-56,7.687024891455734e-29,7.818669824459612e-40,3.258951158624702e-48,2.0451534346552854e-50,4.970941372688643e-56,1.9276305087185412e-50,6.105205831057905e-48,1.00952898291235e-65,2.6201013144306684e-68,5.241401979013533e-53,6.174915484345233e-68,9.81810959189195e-66,4.169745269538968e-73,4.455325075219771e-28,1.9583410501921146e-40,3.662359089410141e-56,6.4675095264948375e-46,1.559912288491065e-54,1.6120844524219423e-38,8.07731019357325e-18
1.5739370269362848e-16,0.32867444032263643,3.76,0.0,0.7148028789295376,0.9999999999999989,1.169404080377402e-34,1.9310948465460768e-25,3.597744256427612e-26,2.0687616963138533e-12,2.0687616963138796e-12,5.019022529578847e-28,2.4446475740508133e-26,2.4419538747272105e-26,1.5045051668189428e-34,2.345190958234988e-37,1.1622277585049072e-15,9.354900003334161e-28,5.398300540239294e-16,9.592350431766749e-21,1.6076111205987312e-23,6.224072648638072e-16,2.8196466072957873e-28,2.1650854376575046e-27,1.6415304932120716e-35,1.9988000092466578e-22,1.888809013379264e-41,6.057011315839553e-43,3.117989363628179e-26,2.914881736437614e-38,4.555199209501193e-55,1.863935716105455e-27,1.1536300807906916e-40,1.0767255845685597e-49,1.808107238344178e-46,3.704566811802651e-60,1.3299611333121246e-15,3.194280627708743e-26,1.3299611331696102e-15,7.929190678495105e-31,3.7485368326613113e-51,4.3749684246792774e-40,1.61563736772376e-17,1.4443542132112107e-45,2.1333929808051054e-55,3.0753104871959893e-28,6.25612372709424e-39,5.215382827749324e-47,3.2729113110492436e-49,5.1526011635533034e-55,1.542397285636167e-49,9.770316991588477e-47,3.231171991179548e-64,8.38608731540618e-67,8.387949574236465e-52,1.9763884199860628e-66,3.142455426333994e-64,1.3345990400380676e-71,1.7824201489369537e-27,1.5669703731652833e-39,5.860967059546558e-55,5.1753581492078587e-45,2.496370990273121e-53,1.2899138375033182e-37,1.6156373656111507e-17
