Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264),C3H5(2345),C3H5(2725),CH3O2(159),S(1527),S(3172),S(6223)
0.0,0.18849355810658977,3.76,0.0,0.9224789473760928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5441900714276006e-20,0.18849355810658977,3.76,0.0,0.9224789473760925,1.0,3.0896239516271664e-45,5.591656355765189e-19,2.1016314873604486e-33,3.201555969146e-16,3.201555969146e-16,2.0609867601467157e-35,9.404655222449181e-34,9.390861308500306e-34,1.7318351897659273e-45,2.7564674096809592e-45,2.5548893397682135e-19,6.794840361567045e-35,1.1868755527685104e-19,1.4841943038806787e-24,5.797771312328509e-31,1.3680286289313204e-19,1.0152404973286501e-35,7.466873949460069e-35,1.955687588698279e-46,3.514403836923593e-26,1.1396405479900899e-51,1.0169576901261688e-53,2.8504131840468027e-33,3.4529530047094785e-49,4.2198303937939125e-69,1.050652321048773e-34,7.933106651661616e-51,2.371493245543521e-63,3.9157706011438325e-57,3.857461549883896e-77,1.7903017263982532e-19,1.9216067663920333e-33,1.7903017263981916e-19,3.5198964610011757e-38,1.459074489673903e-65,8.647179827735719e-38,2.5774565772197146e-21,1.406380665214244e-51,8.052611472457501e-70,1.0597243176135534e-35,8.791102766852816e-50,1.3237187759558763e-51,1.4195633885047054e-53,4.851063536180072e-66,4.808570257909328e-60,3.201933769287533e-45,3.1790127680909597e-52,9.48577035641386e-53,1.8486293718353794e-65,1.2298085797071105e-83,3.5875188757502855e-81,9.69140746262847e-89,1.1936782621055602e-21,2.454142492691626e-50,2.1017596243703303e-69,2.3707706076993524e-55,6.149672972772728e-59,3.2760441066036064e-35,2.577456577204009e-21,1.1659312378938351e-51,5.591656355765104e-19,1.3957963530756972e-36,1.4766553676653446e-32,5.554428759662773e-50,1.593427281891053e-48,7.666350588380948e-44,1.1936782620948577e-21,4.5946776370934135e-69,1.1543448294596043e-39,5.679722938401156e-69,1.7189527198948553e-70,5.6187184105397784e-52,5.73052442898106e-73,3.436745487104277e-68,2.8096860973687673e-34,3.647440997231674e-68,3.3299008932739394e-52,4.037272631768206e-77
4.323732199997281e-20,0.18849355810658977,3.76,0.0,0.9224789473760919,1.0,3.66800155542051e-44,1.5656637796142806e-18,1.2693854183824605e-32,8.964356713608795e-16,8.964356713608795e-16,1.2448360029141226e-34,5.680411757425663e-33,5.672080230328012e-33,2.0560347395599422e-44,3.272478108744556e-44,7.153690151351513e-19,4.104083578386719e-34,3.323251547742737e-19,4.155745879051477e-24,3.5018538726389474e-30,3.8304801609985833e-19,6.132052603885262e-35,4.509991865557346e-34,2.3217923053003544e-45,9.840330746860383e-26,1.656486020508721e-50,1.2073321698637831e-52,1.7216495631475875e-32,4.0993458071828004e-48,9.439591798614574e-68,6.345940019120553e-34,1.158679389947185e-49,6.471832570233159e-62,4.648802857668612e-56,1.9334449305904412e-75,5.012844833915014e-19,1.1606504869007671e-32,5.012844833914645e-19,2.126017462584635e-37,3.26389127006616e-64,5.222896615732716e-37,7.216878416218242e-21,2.125316272282217e-50,1.8013369776643273e-68,6.400734878363943e-35,1.0474809404163995e-48,2.0004038144158207e-50,2.1452441927807598e-52,5.760193162253732e-65,5.708734610169786e-59,3.8013357790634013e-44,4.8041240951392024e-51,1.4334896162607891e-51,5.045059519859648e-64,6.164226138895104e-82,1.798143699858529e-79,4.8576687710638965e-87,3.3422991338939144e-21,3.0052496864284277e-49,4.701552222161766e-68,3.5827085455023404e-54,7.300891765908446e-58,1.978730640387761e-34,7.216878416123377e-21,1.7619552867300055e-50,1.5656637796142282e-18,8.430609972577545e-36,8.918998420598626e-32,6.594217825437409e-49,1.8917168689889074e-47,9.101491417611932e-43,3.3422991338292723e-21,1.4446401641944452e-67,6.972242769894073e-39,1.7857957672273772e-67,5.404662389964593e-69,8.491007261819581e-51,1.8017687575544804e-71,1.0805677690713593e-66,1.6970504028077278e-33,9.953906898188969e-67,5.0321462290867927e-51,2.456069960800193e-75
9.882816457136643e-20,0.18849355810658983,3.76,0.0,0.9224789473760908,1.0,3.6012656781401186e-43,3.578660067689911e-18,6.111544365495429e-32,2.048995820253437e-15,2.0489958202534373e-15,5.993349495289244e-34,2.73487374328776e-32,2.7308624685026304e-32,2.0186271004094903e-43,3.2129384126284116e-43,1.6351291774520173e-18,1.9759395771440305e-33,7.596003537654818e-19,9.498856342135378e-24,1.6859918976139218e-29,8.755383225096659e-19,2.952319366261987e-34,2.1713669446281854e-33,2.2795494533797633e-44,2.2492184580631246e-25,1.759341784683474e-49,1.1853658840561739e-51,8.289001538957877e-32,4.0247620222636613e-47,1.865104269063478e-66,3.055296949588778e-33,1.2326254862493764e-48,1.3912335927504171e-60,4.5642222126642716e-55,8.340054741232848e-74,1.1457931048948155e-18,5.588032476667719e-32,1.1457931048946382e-18,1.0235858910650303e-36,6.448899135397069e-63,2.5145998935760586e-36,1.6495722094227468e-20,2.28631613145372e-49,3.559138323533011e-67,3.081678315587331e-34,1.0300886708067736e-47,2.1519431403986354e-49,2.3077558097011774e-51,5.657532096815836e-64,5.604869492550101e-58,3.7321740267938e-43,5.16805747683061e-50,1.5420827152998582e-50,1.0845315418339294e-62,2.6590035148381245e-80,7.756423082180949e-78,2.095406309926047e-85,7.639540877464004e-21,2.9907507306020914e-48,9.289474963216306e-67,3.854114371906856e-53,7.168058856208693e-57,9.526736261991028e-34,1.6495722093770727e-20,1.8954310949061044e-49,3.578660067689661e-18,4.058975794744618e-35,4.294113809020739e-31,6.474242168356802e-48,1.857298839548545e-46,8.935898242983653e-42,7.63954087715278e-21,3.222912737993968e-66,3.356834764005594e-38,3.9840121193184797e-66,1.2057504534151019e-67,9.134238144998268e-50,4.01964787471597e-70,2.410687250838525e-65,8.170567171103259e-33,2.139766221589647e-65,5.413353281322781e-50,1.108787382892541e-73
2.1000984971415367e-19,0.18849355810658994,3.76,0.0,0.9224789473760885,1.0,3.185278709403387e-42,7.60465264384161e-18,2.6690719892073907e-31,4.354116118038547e-15,4.3541161180385476e-15,2.6174531820616778e-33,1.194391218003903e-31,1.1926393861699723e-31,1.785452810472314e-42,2.8418076404773895e-42,3.474649502086575e-18,8.6294472591936e-33,1.61415075173335e-18,2.018510651927239e-23,7.363169566541383e-29,1.8605189353146994e-18,1.2893554316386431e-33,9.482929917107991e-33,2.0162356764297836e-43,4.77958923037621e-25,1.6089356289187865e-48,1.0484427011397432e-50,3.6200247434808737e-31,3.559856429681297e-46,3.3188533960212455e-65,1.334328447710185e-32,1.1279827479735804e-47,2.5669270282781084e-59,4.0370028588943833e-54,3.0896549731092675e-72,2.434810347901292e-18,2.4404405933175582e-31,2.434810347900518e-18,4.4702685075803445e-36,1.1475471442595704e-61,1.0981918377819649e-35,3.5053409450294593e-20,2.1015176501412334e-48,6.333296507229384e-66,1.3458498833352335e-33,9.117632753406968e-47,1.9780064941118348e-48,2.1212251808044406e-50,5.007830414871148e-63,4.957443592944025e-57,3.301065691940405e-42,4.750335199104056e-49,1.417439692814641e-49,2.0010454107861963e-61,9.850569152491906e-79,2.873442907464283e-76,7.762661717962776e-84,1.623402436457771e-20,2.66124190256041e-47,1.653012454526342e-65,3.542595126102482e-52,6.340066930200532e-56,4.160576015373909e-33,3.5053409448299884e-20,1.742227730351374e-48,7.604652643840519e-18,1.7726613684066378e-34,1.8753523167799013e-30,5.726393886859064e-47,1.6427597900687002e-45,7.903700796647542e-41,1.6234024363218514e-20,6.0361588761880545e-65,1.4660179333486502e-37,7.461613777021927e-65,2.2582371756121453e-66,8.395938545081637e-49,7.528358961159783e-69,4.51495042485708e-64,3.568301343611713e-32,3.948023997138771e-64,4.97580430054701e-49,4.1865701854996394e-72
4.3237321999972817e-19,0.18849355810659005,3.76,0.0,0.9224789473760838,1.0,2.6774186828994e-41,1.5656637796146744e-17,1.1142850148321697e-30,8.964356713608742e-15,8.964356713608749e-15,1.0927351772376029e-32,4.986348241718272e-31,4.979034665680767e-31,1.500780668942725e-41,2.388710553369513e-41,7.153690151358996e-18,3.602624359705956e-32,3.3232515476108938e-18,4.155772387742328e-23,3.0739783496923346e-28,3.830480160866446e-18,5.382805117117718e-33,3.958936569168062e-32,1.6947675733380326e-42,9.840330797238036e-25,1.3733488170504673e-47,8.812792646160184e-50,1.5112890699489066e-30,2.992273826535214e-45,5.597731350786257e-64,5.570558606004786e-32,9.631006201218764e-47,4.402534871933218e-58,3.3933441505112034e-53,1.0621015506047093e-70,5.012844833913638e-18,1.018835907540765e-30,5.012844833910407e-18,1.8662491055127928e-35,1.935505985959559e-60,4.584734741601234e-35,7.216878416262354e-20,1.7978922995945306e-47,1.0682030336244977e-64,5.618658331681244e-33,7.666542505103955e-46,1.692226201502678e-47,1.8147528022872116e-49,4.215788192188375e-62,4.167030048103478e-56,2.7747446699639507e-41,4.0640117745762954e-48,1.2126494994329211e-48,3.431996563952819e-60,3.3862422130750802e-77,9.87776367521101e-75,2.6685009236498856e-82,3.342299133869922e-20,2.2432607928171835e-46,2.7880471756322983e-64,3.030764736884631e-51,5.3292083525442636e-55,1.736958585309829e-32,7.216878415429602e-20,1.4905125037034374e-47,1.5656637796142192e-17,7.400512264011851e-34,7.829226757965878e-30,4.813379115481262e-46,1.380838586798107e-44,6.643536747487096e-40,3.3422991333024854e-20,1.0425963387772163e-63,6.120336285209339e-37,1.288808221611195e-63,3.900543203580474e-65,7.182902188787553e-48,1.300337953229241e-67,7.798454069939334e-63,1.489695568782962e-31,6.77125333113546e-63,4.2569053315843064e-48,1.4525156830729077e-70
8.77099960570877e-19,0.18849355810659038,3.76,0.0,0.9224789473760746,1.0,2.1951095994006174e-40,3.176060810076399e-17,4.552217868860549e-30,1.818483790474904e-14,1.8184837904749064e-14,4.464179736614355e-32,2.0370859760201564e-30,2.0340981227935055e-30,1.2304306657805512e-40,1.9584092311250256e-40,1.4511771449917046e-17,1.4717896016795004e-31,6.741453139133209e-18,8.430342660923245e-23,1.2558204572473477e-27,7.77040261173665e-18,2.199051527071803e-32,1.6173547659346508e-31,1.3894728501431567e-41,1.9961814019904315e-24,1.1342877889582057e-46,7.225259872520242e-49,6.174108971202471e-30,2.453246868477234e-44,9.194290567660477e-63,2.2757549533186994e-31,7.955625168547239e-46,7.289541221220512e-57,2.7820685517100956e-52,3.521066177376166e-69,1.0168913805935907e-17,4.162277120273339e-30,1.0168913805922703e-17,7.624236546355675e-35,3.1790743878184516e-59,1.8730137368124743e-34,1.4639953358806026e-19,1.486532005898835e-46,1.7545267175142697e-63,2.2954052606647357e-32,6.286538454811083e-45,1.3991653504916102e-46,1.5004727118766363e-48,3.466861476922133e-61,3.416382994539737e-55,2.2749034083286286e-40,3.3602035255035307e-47,1.002642056467319e-47,5.68256670228902e-59,1.1226037267932097e-75,3.27466422905483e-73,8.846588380586641e-81,6.780092528651869e-20,1.841678347080351e-45,4.579376060608663e-63,2.5058949301843385e-50,4.369207115849297e-54,7.096042576571133e-32,1.463995335540396e-19,1.232384562063764e-46,3.1760608100745373e-17,3.0233507326198882e-33,3.198494591396084e-29,3.946299031423404e-45,1.1320948994605208e-43,5.44677280167316e-39,6.7800925263337e-20,1.7322894154951945e-62,2.5003570739069468e-36,2.1413741321776027e-62,6.480811091569367e-64,5.938962431065114e-47,2.160534811901111e-66,1.2957248072529544e-61,6.085892473989397e-31,1.1211570585239278e-61,3.5196916383521683e-47,4.837483674081081e-69
1.766553441713175e-18,0.18849355810659096,3.76,0.0,0.9224789473760561,1.0,1.777656666198483e-39,6.396854871002632e-17,1.8400792471227974e-29,3.662580028702927e-14,3.662580028702937e-14,1.8044928150338129e-31,8.234227368617114e-30,8.222149836335213e-30,9.964346541947827e-40,1.5859705700021207e-39,2.9227934047085995e-17,5.949208888910957e-31,1.357785632124675e-17,1.6979670413488007e-22,5.0762270762406176e-27,1.5650247512543903e-17,8.888917871509058e-32,6.537606560810881e-31,1.1252311385245503e-40,4.020478082100744e-24,9.218999995420927e-46,5.85120279607561e-48,2.4956735608451073e-29,1.9867029186735143e-43,1.4904341267872827e-61,9.198965382532394e-31,6.466424678402503e-45,1.1863315609570968e-55,2.2529912430155388e-51,1.1467076274732275e-67,2.0481051749970746e-17,1.6824589610989887e-29,2.0481051749917368e-17,3.0818383197587564e-34,5.153416558554502e-58,7.571020982473372e-34,2.9486103244204887e-19,1.2088230938662257e-45,2.8441635048759353e-62,9.278395066249235e-32,5.09141818373474e-44,1.1377780305688958e-45,1.220159491814085e-47,2.8245669069848853e-60,2.766675524289189e-54,1.8422758983983234e-39,2.7324617020944945e-46,8.153318688518081e-47,9.248058821251762e-58,3.6559912795236525e-74,1.0664617627189171e-71,2.8810745615560554e-79,1.3655679318046327e-19,1.492443189228302e-44,7.423366589960551e-62,2.0377521997157977e-49,3.538297414305367e-53,2.868333865369162e-31,2.9486103230453194e-19,1.0021546594594625e-45,6.39685487099511e-17,1.2220867053458473e-32,1.2928826528765658e-28,3.1958153034563763e-44,9.167997999106878e-43,4.4109378165281424e-38,1.365567930867592e-19,2.824068971712827e-61,1.0106843063359061e-35,3.490980278027687e-61,1.0565358472820948e-62,4.829465613355051e-46,3.522229601907395e-65,2.1123584597408582e-60,2.4600150428868096e-30,1.8246196645217608e-60,2.8621547700300785e-46,1.5790352408878873e-67
3.545460403997771e-18,0.1884935581065922,3.76,0.0,0.9224789473760191,1.0,1.4308127384671582e-38,1.2838442992866244e-16,7.39887772971142e-29,7.350772505158823e-14,7.350772505158864e-14,7.255786159538472e-31,3.3109467313240026e-29,3.306090286616412e-29,8.02017297483582e-39,1.27652709017179e-38,5.866025924163531e-17,2.3921507286686897e-30,2.7250662681749482e-17,3.4079074743428957e-22,2.0411285810016475e-26,3.1409937310425773e-17,3.5741947820534954e-31,2.6287428479805277e-30,9.056839131204182e-40,8.069071584629641e-24,7.433532170503001e-45,4.709557091726361e-47,1.003499361781843e-28,1.5990713479713446e-42,2.4002982293903599e-60,3.698863521238921e-30,5.214229247874932e-44,1.9142811754551825e-54,1.8134033579338014e-50,3.7017248156829203e-66,4.1105327638001627e-17,6.765093485337404e-29,4.110532763778699e-17,1.2391936393193713e-33,8.299418433071715e-57,3.044274229763764e-33,5.91784030162487e-19,9.74959599594194e-45,4.5804379276792795e-61,3.730801847403648e-31,4.098182607606906e-43,9.176592074287974e-45,9.841028362619707e-47,2.3008437655388303e-59,2.226861156635236e-53,1.482824138724742e-38,2.2038293529670918e-45,6.575946896389826e-46,1.4922799501530108e-56,1.1802028508727353e-72,3.4426804735332045e-70,9.300494013485261e-78,2.7406852896157523e-19,1.201649287765333e-43,1.1955105159650023e-60,1.6435210674340567e-48,2.8479299261044977e-52,1.1533444318418138e-30,5.917840296095374e-19,8.082740392290516e-45,1.283844299283599e-16,4.9139568928824625e-32,5.1986242801958115e-28,2.572270239150108e-43,7.37920236792516e-42,3.5503064728877203e-37,2.740685285847953e-19,4.560878988285543e-60,4.0639171425980343e-35,5.637942434015965e-60,1.7063084484814158e-61,3.8951389704559505e-45,5.688450809353745e-64,3.4114645544341866e-59,9.891612290860414e-30,2.9442318861596173e-59,2.3084314837382758e-45,5.103169043928243e-66
7.103274328566963e-18,0.18849355810659466,3.76,0.0,0.9224789473759452,0.9999999999999999,1.148137114586712e-37,2.572161923663805e-16,2.9672808978476205e-28,1.4727157458070022e-13,1.4727157458070191e-13,2.9098947045761823e-30,1.3278378227082431e-28,1.325890073238609e-28,6.43568371824161e-38,1.0243325955709848e-37,1.1752490963157954e-16,9.593594337595826e-30,5.459627538785751e-17,6.828087870255447e-22,8.185838524505463e-26,6.292931689125902e-17,1.4334119680145334e-30,1.0542434580979997e-29,7.267543022010807e-39,1.6166259158920898e-23,5.970249281209345e-44,3.779123030040959e-46,4.024481261487556e-28,1.283154050390394e-41,3.8530102945216086e-59,1.4834097072838372e-29,4.187883177433812e-43,3.0758291577576443e-53,1.4551419901807883e-49,1.1897387581082877e-64,8.235387941390817e-17,2.7131050638150995e-28,8.23538794130474e-17,4.969720779577898e-33,1.3322404425142078e-55,1.2208901176267746e-32,1.1856300256532063e-18,7.831405635691481e-44,7.352618198876768e-60,1.4962184043010905e-30,3.288599924351729e-42,7.371137909968678e-44,7.904849203931303e-46,1.890234297961989e-58,1.7869158343500346e-52,1.1898733415040137e-37,1.7702355856923224e-44,5.282158162266486e-45,2.3977661406277826e-55,3.793186346936678e-71,1.1064815905751983e-68,2.989190269079258e-76,5.490920004966901e-19,9.644082316317232e-43,1.9190598231451564e-59,1.3201656536485625e-47,2.2852849584509167e-51,4.625427017330143e-30,1.1856300234356314e-18,6.492496654688315e-44,2.5721619236516717e-16,1.9707164961498722e-31,2.084880847323243e-27,2.0640849565055485e-42,5.921345142942727e-41,2.8488973142456447e-36,5.490919989856342e-19,7.331479946503687e-59,1.6298125359806465e-34,9.062827672031941e-59,2.7428417452590316e-60,3.128787437979716e-44,9.144149045722762e-63,5.4838296341776715e-58,3.966978940849135e-29,4.73073397412354e-58,1.8542576623033806e-44,1.6411026855627328e-64
