Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594)
0.0,0.3217497209390284,3.76,0.0,0.5312145923397428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.345858616892833e-21,0.3217497209390284,3.76,0.0,0.5312145923397426,1.0,2.9881944131777957e-46,3.971538609809425e-18,6.0844789810845295e-34,2.999731303581052e-16,2.999731303581052e-16,8.213188263595382e-35,3.0821749846060086e-33,3.081386131489433e-33,1.1546759268068856e-45,1.0297904652638458e-45,2.4937595614565155e-19,2.390511304517948e-35,1.0676273789032736e-19,3.688211759658225e-24,7.501206019026052e-31,1.4261690646560116e-19,8.746183262872678e-35,1.0206930482737139e-34,1.6140841218408763e-46,8.351261406920217e-25,6.2379630373151255e-52,6.120415631966367e-54,1.9024909348473703e-34,2.1383715920250925e-49,2.5480430056444242e-70,2.592387509111423e-35,9.092853882083559e-51,4.563410779400254e-64,4.261640095873396e-57,9.6148605363092e-79,5.4804845382864e-19,4.795627851526869e-34,5.480484538286334e-19,1.0113200442117132e-37,1.7095374118393446e-65,5.464107815590899e-37,2.2234824241144606e-20,1.281197012228139e-50,1.410840908104905e-68,2.1257842199812215e-35,1.4925249178140495e-49,3.729812274930808e-61,3.785036272889943e-53,4.360922931832294e-65,5.425008311732189e-60,1.1971564333501445e-45,1.0109766937435763e-65,3.5137286029724564e-53,6.022688328218628e-66,1.7612823387767474e-83,9.387681690849531e-83,1.0969818097813781e-88,1.1385032227701289e-20,5.802817610988565e-50,7.347208982865197e-69,1.6692166771600536e-54,2.5790441476995034e-58,1.0089477486323746e-34,2.2234824241117538e-20,2.928945654104884e-52,3.971538609809418e-18,9.84053698981784e-36,2.6116983374288787e-32,1.402532235875983e-50,3.0738030428828727e-49,2.8859185424260466e-44,1.1385032227692804e-20,2.7502993447076014e-79
1.4968404127299932e-20,0.3217497209390285,3.76,0.0,0.5312145923397419,1.0,3.547584407436021e-45,1.1120308107466404e-17,3.6750253046659854e-33,8.399247650026937e-16,8.399247650026937e-16,4.960765711043747e-34,1.861633690792365e-32,1.861157223419194e-32,1.3708312736183566e-44,1.2225672404204735e-44,6.982526772078312e-19,1.443868827928848e-34,2.9893566609174047e-19,1.0326995363828936e-23,4.530728435478689e-30,3.993273381024984e-19,5.282694690780862e-34,6.164986011605843e-34,1.9162406694491523e-45,2.3383531940075484e-24,7.408899132441999e-51,7.2661574383637755e-53,1.1491045246397069e-33,2.538674754044593e-48,5.699870281936795e-69,1.5658020554981676e-34,1.2803807769091172e-49,1.2022830794847928e-62,5.059419121805809e-56,4.655810763276037e-77,1.5345356707201857e-18,2.8965592223222143e-33,1.534535670720145e-18,6.1083730671176415e-37,3.8241668086864105e-64,3.30032112057197e-36,6.225750787520791e-20,1.9361410932410835e-49,3.1559946783668653e-67,1.283973668866885e-34,1.7813545309629894e-48,8.386010589770975e-60,5.719946815742111e-52,5.1775406444203436e-64,6.440569867871388e-59,1.421264118381707e-44,2.8511160326270352e-64,5.309946664810563e-52,1.5834314640125346e-64,8.51121963565304e-82,4.54580378914537e-81,5.301054198521635e-87,3.187809023755033e-20,7.146477303109137e-49,1.6435412614622477e-67,2.522520242686351e-53,3.0618412130400534e-57,6.094044401737417e-34,6.225750787504443e-20,4.4262226726509666e-51,1.1120308107466358e-17,5.943684341850144e-35,1.5774657958033216e-31,1.6650862704699026e-49,3.649218972476239e-48,3.4261624934896533e-43,3.1878090237499084e-20,1.6731413059933963e-77
3.421349514811413e-20,0.3217497209390285,3.76,0.0,0.5312145923397408,1.0,3.483039408209449e-44,2.5417847102780445e-17,1.7693664878357762e-32,1.919828034291869e-15,1.919828034291869e-15,2.3883951468017426e-33,8.962964856589325e-32,8.960670870364932e-32,1.3458902791901767e-43,1.2003237663914502e-43,1.596006119332217e-18,6.951606873538305e-34,6.832815224898624e-19,2.3604572319313994e-23,2.1813507103132077e-29,9.12748201371554e-19,2.5433900928520146e-33,2.968175384428878e-33,1.8813764524166878e-44,5.344807300918154e-24,7.2754986849331145e-50,7.133956460908979e-52,5.5324436384145865e-33,2.4924859276408993e-47,1.1261983166946951e-67,7.538662876419042e-34,1.3451086214174352e-48,2.550472678430038e-61,4.967367695703246e-55,1.9810931526562074e-75,3.507510104503256e-18,1.3945685792239933e-32,3.507510104503059e-18,2.9409186886837526e-36,7.555909186301708e-63,1.5889625527064357e-35,1.423028751433466e-19,2.0828109179123486e-48,6.235713656162438e-66,6.181780511678811e-34,1.7530761511080138e-47,1.6610388148426678e-58,6.153257768686523e-51,5.08387557943618e-63,6.3233896886983876e-58,1.395405540909015e-43,6.201800132603045e-63,5.712198315275384e-51,3.355850599886324e-63,3.618112786083784e-80,1.934284105969786e-79,2.2534739808472927e-85,7.286420625719533e-20,7.129232781527268e-48,3.247360575602504e-66,2.713612168259214e-52,3.006133861319527e-56,2.93402005301976e-33,1.4230287514255962e-19,4.761528371595614e-50,2.541784710278021e-17,2.861628156639277e-34,7.594818765187359e-31,1.6347915742546455e-48,3.5828248266779244e-47,3.363826652808295e-42,7.286420625694861e-20,7.553359633499602e-76
7.270367718974254e-20,0.32174972093902865,3.76,0.0,0.5312145923397386,1.0,3.08070891252413e-43,5.4012925093408815e-17,7.727288307386759e-32,4.07963457287021e-15,4.079634572870212e-15,1.043074909216426e-32,3.914362231849851e-31,3.91336038698503e-31,1.1904247125366026e-42,1.061672778140411e-42,3.391513003581097e-18,3.0359493567379066e-33,1.45197323526729e-18,5.0159765218858643e-23,9.526531643960885e-29,1.9395899278907076e-18,1.1107652743937538e-32,1.296280171358165e-32,1.6640561662508908e-43,1.1357715515857566e-23,6.435651235713611e-49,6.309903700538687e-51,2.416163487130542e-32,2.2045755764647382e-46,2.0040097320599227e-66,3.2923321364919646e-33,1.2246912083930003e-47,4.680413877474129e-60,4.393580473143377e-54,7.298302740255805e-74,7.453458972069304e-18,6.090447371438912e-32,7.453458972068449e-18,1.284376456267785e-35,1.3445336684772372e-61,6.939416925103997e-35,3.023936096796725e-19,1.914461592187932e-47,1.1096119286397977e-64,2.6997459593486854e-33,1.5522168856294542e-46,2.9590605924326485e-57,5.655904003160043e-50,4.497582861605224e-62,5.59296657018522e-57,1.2342204011384441e-42,1.1497092241510064e-61,5.250494376838983e-50,6.156005535978178e-62,1.3323753737963223e-78,7.125859261851343e-78,8.298451211448041e-84,1.5483643829627298e-19,6.350515140678934e-47,5.778504650345108e-65,2.4942770974988857e-51,2.658891360308939e-55,1.2813636407598245e-32,3.023936096762353e-19,4.37666491344165e-49,5.401292509340779e-17,1.2497481977071208e-33,3.316856888476991e-30,1.4459546341456608e-47,3.168967984867185e-46,2.975266579988193e-41,1.5483643829519547e-19,2.8520048776125187e-74
1.4968404127299935e-19,0.3217497209390289,3.76,0.0,0.5312145923397341,1.0,2.5895214678126465e-42,1.1120308107466674e-16,3.225990757039483e-31,8.399247650026855e-15,8.399247650026861e-15,4.354632415016582e-32,1.6341691780983028e-30,1.633750926909802e-30,1.0006237002726989e-41,8.923999405991213e-42,6.982526772079288e-18,1.267449093655516e-32,2.989356660746878e-18,1.0327030697224603e-22,3.977139431105634e-28,3.993273380853187e-18,4.6372263660553846e-32,5.41171454240217e-32,1.3987394746373985e-42,2.3383531950209198e-23,5.409772706546412e-48,5.303854261112394e-50,1.00870069354302e-31,1.8530786076137554e-45,3.3800553254975667e-65,1.3744838572592888e-32,1.0432870443462735e-46,8.007783598402893e-59,3.6930691206640723e-53,2.502546477995823e-72,1.5345356707201036e-17,2.5426418868793544e-31,1.5345356707197465e-17,5.362018875476177e-35,2.26775255252851e-60,2.8970699631994937e-34,6.225750787525177e-19,1.6378620160524064e-46,1.8715227046912816e-63,1.1270907934093246e-32,1.3053824068746806e-45,4.99355267576801e-56,4.83874495328116e-49,3.7820917149512505e-61,4.7012254048341795e-56,1.0374366190053851e-41,1.9760564043340865e-60,4.491908481276957e-49,1.0530612413762977e-60,4.567840182585719e-77,2.4434165903525527e-76,2.844993969905473e-82,3.187809023735788e-19,5.355749007541884e-46,9.746292736829073e-64,2.133906571599622e-50,2.2349584042057037e-54,5.349440963219229e-32,6.225750787381687e-19,3.7443289795335334e-48,1.1120308107466245e-16,5.2174527120037086e-33,1.3847224584528737e-29,1.2154119955424026e-46,2.663708535708403e-45,2.500890833241969e-40,3.187809023690803e-19,9.894929810102823e-73
3.0364476943951293e-19,0.3217497209390294,3.76,0.0,0.5312145923397253,1.0,2.1230461519297532e-41,2.255833930371874e-16,1.3179224862928012e-30,1.7038473804340006e-14,1.7038473804340028e-14,1.7790094286651838e-31,6.67611431432567e-30,6.674405616201458e-30,8.203717649823398e-41,7.316433878122806e-41,1.4164554309077392e-17,5.177943106038903e-32,6.064123511404989e-18,2.0949201429621322e-22,1.6247912283910444e-27,8.10064028647484e-18,1.894458279539246e-31,2.2108619706679767e-31,1.146771129583808e-41,4.743516483680369e-23,4.43534608252436e-47,4.348420169605586e-49,4.120871463559596e-31,1.5192658007365577e-44,5.5517510223203634e-64,5.615215039629601e-32,8.608653182492523e-46,1.3243572225897598e-57,3.0278011908016503e-52,8.28646058101756e-71,3.112915217746307e-17,1.0387521751519644e-30,3.112915217744846e-17,2.1905596694647467e-34,3.724790375419044e-59,1.1835476087575598e-33,1.262938016898983e-18,1.35421591669737e-45,3.0739816713234076e-62,4.60453365163884e-32,1.0704902594494991e-44,8.204054466005234e-55,4.000767901737916e-48,3.103414950841082e-60,3.8543486247242295e-55,8.505532269052711e-41,3.2751685730466446e-59,3.7139967972952285e-48,1.7414550495656577e-59,1.512385344566487e-75,8.0906690179865e-75,9.419609807252401e-81,6.466698305247926e-19,4.398033391768636e-45,1.6008315218005027e-62,1.7643552209788576e-49,1.832353939521483e-53,2.185421181422591e-31,1.2629380168403624e-18,3.095883610907488e-47,2.2558339303717e-16,2.131499674144441e-32,5.657043066364878e-29,9.964681864398021e-46,2.183869191708241e-44,2.0503814017350906e-39,6.46669830506415e-19,3.2954247567366636e-71
6.115662257725401e-19,0.3217497209390305,3.76,0.0,0.5312145923397078,1.0,1.7192978180363408e-40,4.543440169622478e-16,5.327253411764851e-30,3.4316926112965743e-14,3.431692611296584e-14,7.191040541505678e-31,2.6985921521984874e-29,2.697901464612254e-29,6.643583249957943e-40,5.925037845447444e-40,2.8528609383080496e-17,2.0930073916487765e-31,1.2213657211516947e-17,4.219379242129169e-22,6.567665926278836e-27,1.631537409650491e-17,7.657703264000753e-31,8.936657573467965e-31,9.28684992780662e-41,9.553843068155761e-23,3.59189318584199e-46,3.521463395321365e-48,1.6657221322363697e-30,1.2303408349344239e-43,8.999627650059326e-63,2.269759698328918e-31,6.993512961728834e-45,2.1540955552944814e-56,2.4519919051040455e-51,2.6970770228343283e-69,6.269674311798135e-17,4.198802374147319e-30,6.269674311792231e-17,8.854592428093782e-34,6.038045705014867e-58,4.784088665359618e-33,2.543663893195012e-18,1.101225864993399e-44,4.983056785376731e-61,1.8612261220639657e-31,8.670140431796905e-44,1.3300827857026135e-53,3.253358018220182e-47,2.517481880883097e-59,3.121351449898065e-54,6.888000671571963e-40,5.3327629891083125e-58,3.0201605150339933e-47,2.832406849854237e-58,4.92231866352317e-74,2.633350787970337e-73,3.065774343099293e-79,1.3024476868136292e-18,3.564460509273628e-44,2.5950169239777748e-61,1.434744367076726e-48,1.4838877421977338e-52,8.83382183398951e-31,2.543663892958059e-18,2.5175211411702754e-46,4.543440169621773e-16,8.615862480376951e-32,2.2866672555775973e-28,8.069657732000471e-45,1.7685538915000597e-43,1.6604520175302014e-38,1.3024476867393436e-18,1.0756815269674659e-69
1.2274091384385946e-18,0.3217497209390327,3.76,0.0,0.5312145923396727,1.0,1.383840460313379e-39,9.118652648124452e-16,2.1420651703722916e-29,6.887383073021495e-14,6.887383073021536e-14,2.8914857677236153e-30,1.0850920391493357e-28,1.0848143131020802e-28,5.3473337787150005e-39,4.7689859239833907e-39,5.725671953111425e-17,8.415890668013255e-31,2.4512724606923802e-17,8.468397251213978e-22,2.640829582794209e-26,3.274484171171212e-17,3.0791288028808622e-30,3.5933907067394854e-30,7.474864759491906e-40,1.9174496265732517e-22,2.891082077770337e-45,2.834380103471122e-47,6.697795429381069e-30,9.902853409828821e-43,1.4493622892787254e-61,9.126603917283172e-31,5.637776430907793e-44,3.474906270379393e-55,1.973576403293233e-50,8.704006816569312e-68,1.2583192499899478e-16,1.6883199676403626e-29,1.2583192499875736e-16,3.56039267444747e-33,9.72408644714031e-57,1.9236610093692444e-32,5.1051156457994635e-18,8.881785435320112e-44,8.02505942813675e-60,7.483908376416338e-31,6.978895837666599e-43,2.142193424186685e-52,2.623951108488062e-46,2.033139655846084e-58,2.5123352029208015e-53,5.544062375006865e-39,8.607100964319494e-57,2.4358688681571658e-46,4.5690477616649535e-57,1.5885001436372402e-72,8.498349509340528e-72,9.89367707660423e-78,2.614003399336938e-18,2.8701139733895542e-43,4.1791948934466037e-60,1.1571733141461187e-47,1.1943619743660696e-51,3.552040906802911e-30,5.105115644846687e-18,2.0304720101345394e-45,9.118652648121616e-16,3.464400409426237e-31,9.194588461919025e-28,6.495162597352067e-44,1.4234860316605908e-42,1.3364762376399848e-37,2.6140033990382383e-18,3.4764168200559648e-68
2.4590949637707036e-18,0.32174972093903703,3.76,0.0,0.5312145923396026,0.9999999999999999,1.1104448195019321e-38,1.8269077605131465e-15,8.590639424238784e-29,1.3798763996470426e-13,1.3798763996470593e-13,1.1596151123686087e-29,4.351704425058508e-28,4.3505905904649e-28,4.2908985941506134e-38,3.826810862666639e-38,1.1471293982729195e-16,3.3751485677856024e-30,4.911085937846928e-17,1.6966832512386236e-21,1.0590907762746198e-25,6.560377692271479e-17,1.2348683675403176e-29,1.441110392769488e-29,5.998108218807105e-39,3.841580277538993e-22,2.3199168709829836e-44,2.2744115340639855e-46,2.6861155308209994e-29,7.946416198159803e-42,2.3265474613634498e-60,3.660176366531908e-30,4.527473584501941e-43,5.582634490310104e-54,1.583670771485761e-49,2.7970762787886543e-66,2.521022887609294e-16,6.770918189795e-29,2.5210228875997714e-16,1.427876707332782e-32,1.560931224949849e-55,7.714741011664384e-32,1.0228019151057944e-17,7.134333028936449e-43,1.2881997967695564e-58,3.00138198436139e-30,5.600289289218929e-42,3.4388037247084857e-51,2.107700236246825e-45,1.642461893637787e-57,2.0159907863881195e-52,4.4487612112434546e-38,1.3831380185215407e-55,1.956622343061404e-45,7.340367488360903e-56,5.10467641840845e-71,2.730987267213681e-70,3.179352758573507e-76,5.237114824166098e-18,2.303535816496723e-42,6.7085337968130565e-59,9.295045436019253e-47,9.584003048636326e-51,1.4245272724727893e-29,1.0228019147236877e-17,1.6309855504886946e-44,1.8269077605120093e-15,1.3893795132805819e-30,3.687441210063368e-27,5.211958949823891e-43,1.1422578908963581e-41,1.0724380089557133e-36,5.23711482296818e-18,1.117963550335132e-66
