Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154),CHO2(147),S(841)
0.0,0.6622398452991016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8285853651907955,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.736542244588052e-20,0.6622398452991016,6.861046984631641e-25,2.7358577970266485e-27,5.832900226539124e-34,2.047848650966527e-34,0.0,0.0,8.528646139778457e-20,1.3758677474663563e-35,6.76621744885661e-49,2.350729444237504e-52,4.675187409495509e-46,1.1023735426144449e-60,1.8569741763233775e-41,8.51553394528052e-40,1.1363795620070567e-19,3.8387398540855906e-35,3.134859570040456e-83,2.5228050038845364e-71,4.585296321950571e-47,2.042775516615401e-34,4.0471487403844654e-44,4.477271083062451e-50,4.2905361145747217e-36,1.7710216816367897e-62,1.2568649390658502e-36,2.5980758578127563e-16,3.2625008102060045e-49,1.799745610567457e-35,7.6868846277025845e-50,1.7727016994603224e-66,1.7783706321166297e-49,8.914451991453795e-51,3.76,0.0,0.8285853651907952,1.0,6.745882015985037e-46,3.651189439346166e-33,2.5980758578127563e-16,4.139645050817985e-20,2.7583111701806034e-31,4.389069699375465e-20,2.9374438974791937e-53,2.0547011815328934e-52,3.099087141559454e-65,3.8502187907134435e-73,8.388101733341895e-65,1.136379562007088e-19,5.448557971706258e-34,7.854647573206587e-39,9.957004110320893e-58,3.2049584399645307e-56,5.350105857986821e-51,5.773870738996366e-34
1.8862318284846547e-19,0.6622398452991017,1.9210940237310997e-24,7.660401845672524e-27,3.5230717368959945e-33,1.2369005863390415e-33,0.0,0.0,2.388020919138223e-19,8.310241194697522e-35,8.032853360252039e-48,2.790786003844472e-51,5.550382494102978e-45,1.308737869783299e-59,1.1216124024971256e-40,5.143382502899899e-39,3.1818627736196376e-19,2.3185988718684254e-34,1.2961976219023045e-81,5.6434138815682273e-70,5.443663793413142e-46,1.2338364120340742e-33,2.4444778475206866e-43,5.315416229796829e-49,2.591483813195189e-35,3.961705549496267e-61,7.591464231953965e-36,7.274612401875718e-16,3.8921254680743766e-48,1.087046348784887e-34,9.125869429966046e-49,3.965500842917187e-65,2.1112820819967243e-48,1.0595612262608127e-49,3.76,0.0,0.8285853651907948,1.0,8.008711129547059e-45,2.2053184213650132e-32,7.274612401875718e-16,1.1591006142246333e-19,1.6660199467839362e-30,1.2289395158206954e-19,3.487333395077633e-52,2.4393412427080627e-51,6.932557105137121e-64,1.2105703922901904e-71,1.8763848875025004e-63,3.1818627736198277e-19,3.29092901491056e-33,4.744207134233513e-38,1.1820955285723986e-56,3.804926659780729e-55,6.351645674800918e-50,3.487417926319172e-33
4.311387036536354e-19,0.6622398452991017,4.391076146403933e-24,1.7509489998955917e-26,1.6962073859771238e-32,5.955143894339546e-33,0.0,0.0,5.458333529460001e-19,4.001023409633259e-34,7.886703069688706e-47,2.7400102639049277e-50,5.449398446693307e-44,1.2849266012448299e-58,5.400080904715467e-40,2.4763172712132696e-38,7.272829196844316e-19,1.116305549569183e-33,5.1321246270506695e-80,1.1150434833716225e-68,5.344621392845194e-45,5.940391202293161e-33,1.176910866145895e-42,5.2187071743713644e-48,1.247687902106415e-34,7.827663413982277e-60,3.6549632427978083e-35,1.6627685490001626e-15,3.829586943188528e-47,5.233660235562308e-34,8.959832721918406e-48,7.835198107252262e-64,2.0728694727105786e-47,1.0408257540164415e-48,3.76,0.0,0.828585365190794,1.0,7.863000078305119e-44,1.061765888961759e-31,1.6627685490001626e-15,2.649372832492693e-19,8.021168882807972e-30,2.809004607569256e-19,3.4238846068715744e-51,2.3949596971705685e-50,1.3697585057329417e-62,2.700715960442026e-70,3.7074204124322595e-62,7.272829196845232e-19,1.5844406581721506e-32,2.2841315143130997e-37,1.1605884009438205e-55,3.735699557172655e-54,6.236083388686219e-49,1.679041610848196e-32
9.161697452639753e-19,0.6622398452991021,9.331054280297449e-24,3.720766652948925e-26,7.407783288733329e-32,2.600767804634002e-32,0.0,0.0,1.1598958750107636e-18,1.7473520392834025e-33,6.975699561014992e-46,2.4235080776046475e-49,4.8199312138628936e-43,1.136503027437997e-57,2.3583572038966768e-39,1.0814728109738409e-37,1.545476204329174e-18,4.875199614699998e-33,1.8323705245920296e-78,1.9841603022255763e-67,4.727257096035337e-44,2.594324906076319e-32,5.1398790286203694e-42,4.615887395696979e-47,5.448980865386777e-34,1.3928909506887196e-58,1.5962184726077434e-34,3.5333831666253407e-15,3.390512679187683e-46,2.2856769254538822e-33,7.924870575499535e-47,1.394234616858802e-62,1.833429655472755e-46,9.208139472746131e-48,3.76,0.0,0.8285853651907921,1.0,6.954734524144294e-43,4.637010587968531e-31,3.5333831666253407e-15,5.62991726895837e-19,3.503055186049568e-29,5.969134790995422e-19,3.028387160481611e-50,2.1183147300623664e-49,2.4374137463573105e-61,5.0581421318475e-69,6.597156596486176e-61,1.5454762043295743e-18,6.919668624066641e-32,9.975402418224584e-37,1.0265272996317562e-54,3.304183952320822e-53,5.515745136645319e-48,7.332815837988596e-32
1.8862318284846546e-18,0.6622398452991024,1.9211066102275862e-23,7.660402048642222e-26,3.0926037010368176e-31,1.0857693708583138e-31,0.0,0.0,2.388020919141924e-18,7.29485079707679e-33,5.863495814647154e-45,2.037104615008552e-48,4.051442607942743e-42,9.552992739517757e-57,9.845677082560445e-39,4.514936097096656e-37,3.1818627736178854e-18,2.035299870646348e-32,6.1924100789526776e-77,3.3465763610425716e-66,3.9735444277835186e-43,1.083079578886769e-31,2.1457983775495078e-41,3.8799314840684505e-46,2.274842247836709e-33,2.3493142329675426e-57,6.663897906874106e-34,7.274612401875682e-15,2.8512332095612495e-45,9.542251227527558e-33,6.661331227710891e-46,2.351582848127643e-61,1.5411081300996213e-45,7.740849909925472e-47,3.76,0.0,0.8285853651907883,1.0,5.845873422612059e-42,1.9358606407403467e-30,7.274612401875682e-15,1.1591006141607953e-18,1.4624565823579366e-28,1.2289395157563934e-18,2.5455418823376983e-49,1.7805711686053436e-48,4.11105590325577e-60,8.736682771695123e-68,1.112706890866581e-59,3.1818627736195556e-18,2.888825436598379e-31,4.164534143540169e-36,8.628580520225793e-54,2.7773657030236987e-52,4.636316137187549e-47,3.061306265332763e-31
3.826355994926014e-18,0.6622398452991033,3.8971311962998194e-23,1.553967319837534e-25,1.2634295214531007e-30,4.435722228387157e-31,0.0,0.0,4.844271007410778e-18,2.980184575730634e-32,4.807248152675984e-44,1.6701415195404606e-47,3.321617427790434e-41,7.832120614476674e-56,4.0222803446243214e-38,1.8444987140984274e-36,6.454635912192216e-18,8.314864073629642e-32,2.0361318951115148e-75,5.496761723375769e-65,3.257751793271004e-42,4.4247334798172865e-31,8.766287034237536e-41,3.181002246070919e-45,9.293472844675254e-33,3.8587557264698483e-56,2.7224197325692717e-33,1.4757070872376292e-14,2.3381317691423823e-44,3.8983209825666004e-32,5.461361800716433e-45,3.862483791309848e-60,1.2634935677091268e-44,6.346756220550854e-46,3.76,0.0,0.8285853651907809,1.0,4.792800226089964e-41,7.908622373192986e-30,1.4757070872376292e-14,2.3513183885780053e-18,5.974612326449921e-28,2.4929915889565703e-18,2.0869890302014044e-48,1.4598198215203505e-47,6.752422765565268e-59,1.4516129458695426e-66,1.8276244133059697e-58,6.454635912199036e-18,1.1801794509032246e-30,1.70134808313782e-35,7.074231689220927e-53,2.2770522031977505e-51,3.80113208575711e-46,1.2506434971405353e-30
7.706604327808733e-18,0.6622398452991051,7.849269255150469e-23,3.129821693122793e-25,5.106984133993427e-30,1.7929899028956125e-30,0.0,0.0,9.756771183974614e-18,1.204638254565753e-31,3.893034232930711e-43,1.35252403259931e-46,2.6899319116334935e-40,6.342654333599875e-55,1.6258700259183939e-37,7.455758709909412e-36,1.3000182189328499e-17,3.3610010018357447e-31,6.604472989707391e-74,8.910487629102007e-64,2.6382118649990947e-41,1.7885480178633674e-30,3.5434737885208164e-40,2.5760580916697453e-44,3.75657031327194e-32,6.2552093529698864e-55,1.1004455836322653e-32,2.9721987813377245e-14,1.8936865721587166e-43,1.5757636700492815e-31,4.422752380870839e-44,6.261254188818263e-59,1.0232098545095509e-43,5.1399032827443763e-45,3.76,0.0,0.8285853651907659,1.0,3.88133388715126e-40,3.1967916112337607e-29,2.9721987813377245e-14,4.735753936961594e-18,2.415033827929097e-27,5.021095734902814e-18,1.6900978253369616e-47,1.1821999397205458e-46,1.0945969168954083e-57,2.36649558906841e-65,2.9626579344741065e-57,1.3000182189356072e-17,4.770474035009513e-30,6.877120974995237e-35,5.728896333971971e-52,1.8440159082704768e-50,3.078255317400447e-45,5.0553009744221575e-30
1.5467100993574168e-17,0.6622398452991086,1.575390091967633e-22,6.281531013048039e-25,2.053495861583683e-29,7.209534000058085e-30,0.0,0.0,1.9581771537206803e-17,4.843797439722625e-31,3.133452705480356e-42,1.0886292155986633e-45,2.1650912210262267e-39,5.1051200038144266e-54,6.537551864984323e-37,2.9979277836678566e-35,2.609127474355158e-17,1.3514437206476873e-30,2.127771698621392e-72,1.4350065644418122e-62,2.1234624280179635e-40,7.191672915981891e-30,1.4248155540426568e-39,2.0734356637605237e-43,1.5105004006545313e-31,1.0073821853459394e-53,4.424843292279049e-32,5.965182169537805e-14,1.5242863239539988e-42,6.336076413515603e-31,3.5598158857335085e-43,1.0083558051257789e-57,8.235683101596062e-43,4.1370954669259523e-44,3.76,0.0,0.8285853651907359,1.0,3.124035184540585e-39,1.2854158468739807e-28,5.965182169537806e-14,9.504625031925445e-18,9.710744803010514e-27,1.0077304024978873e-17,1.360337764753785e-46,9.515373603458831e-46,1.7628146608358505e-56,3.821897082287005e-64,4.7712692713016345e-56,2.609127474366244e-17,1.9181866281694855e-29,2.765260098009944e-34,4.6111143335954567e-51,1.4842244247998365e-49,2.477647686996622e-44,2.0327142864175332e-29
3.098809432510504e-17,0.6622398452991158,3.156458643602501e-22,1.2584951946318912e-24,8.235436874574901e-29,2.8913459565331096e-29,0.0,0.0,3.9231772244089245e-17,1.9425794174875133e-30,2.51439856810092e-41,8.735567186251425e-45,1.7373493517917267e-38,4.096537290105516e-53,2.6218506963130433e-36,1.202303125269124e-34,5.2273459851799755e-17,5.419893768006999e-30,6.8319133147155666e-71,2.3035033460460532e-61,1.7039448672056916e-39,2.884182494222477e-29,5.7141502704475113e-39,1.6638015391021076e-42,6.057782191909193e-31,1.6170715110927185e-52,1.7745600660359009e-31,1.1951148945937535e-13,1.2231768053598603e-41,2.5410500304465923e-30,2.8565280570779214e-42,1.6186344775959323e-56,6.60861703134766e-42,3.319780210517656e-43,3.76,0.0,0.8285853651906759,1.0,2.5068414967394713e-38,5.1550924622311515e-28,1.1951148945937538e-13,1.9042367214639865e-17,3.8944429880429223e-26,2.018972059786526e-17,1.0915853847094286e-45,7.63548805608321e-45,2.8297079910594226e-55,6.143589173793504e-63,7.658943855880611e-55,5.2273459852244364e-17,7.692786308891422e-29,1.1089929790970634e-33,3.7001291137362527e-50,1.1909966213980902e-48,1.988156240668198e-43,8.152093431181362e-29
