Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154),CHO2(147),S(841),CH3F(39),C2H5O(149),C2H2O(132),C2HF(57)
2.31839608403286e-13,0.4545077834209355,2.298382283059601e-23,5.013046558997369e-28,1.9013237889709262e-25,2.0176683946008687e-29,0.0,0.0,1.9580336034734212e-16,2.760396718804727e-27,4.990678109993776e-33,5.8340566004323816e-33,8.648211424087878e-35,1.789526992214442e-52,2.9672220812428034e-37,8.902208817786647e-27,3.839498745013286e-18,3.8890011633899857e-28,1.0573745008184539e-62,1.798789499840222e-59,3.89547659553972e-36,1.3086535179387828e-29,3.907179147416702e-22,1.9524515206371237e-38,7.845183098853127e-30,3.842362748554743e-45,5.985581653218653e-31,2.4793292874053916e-13,7.652882078934754e-39,3.604078664083192e-30,2.808577845198964e-38,4.076619554465882e-50,1.708026297416401e-37,1.0019319260630506e-39,3.76,0.0,0.658680183040098,0.9999999999999999,1.9711992817665592e-31,2.1059236459908257e-26,2.4793292874053916e-13,1.1974636513295692e-16,1.8605558155262097e-22,7.605661149204435e-17,8.473964767891536e-42,1.0921595936233844e-40,2.395030883680415e-47,2.938895755111145e-58,1.7498065119068459e-46,3.839498574947972e-18,1.8974331228254374e-25,7.676220624407543e-34,3.0695792444342654e-38,1.303155716270417e-36,1.3921781395368347e-31,3.46233761309236e-23,3.9072859508419e-22,6.704571423693005e-42,9.017629521686218e-52,2.8835817528364302e-49
4.638806413143073e-13,0.45450778342095627,5.848374383319065e-23,1.0198282049013189e-27,7.610245592282918e-25,8.764428159851275e-29,0.0,0.0,3.917771964913373e-16,1.1048789377076377e-26,3.995440010228656e-32,4.6960166104850977e-32,6.923797607443291e-34,1.4326609087374783e-51,1.1876354761054946e-36,3.5630724264890303e-26,7.682333240945967e-18,1.5566240800647384e-27,3.386516146071186e-61,2.880392556562365e-58,3.118739503959802e-35,5.238005790488667e-29,7.817574695204788e-22,1.5631475675457252e-37,3.1401159793139794e-29,6.152778509701205e-44,2.3957891384733407e-30,4.960812640219966e-13,6.126999908037435e-38,1.442578163053275e-29,2.2485618901012375e-37,6.52782618265891e-49,1.3674577262675307e-36,8.021606019151947e-39,3.76,0.0,0.6586801830398497,0.9999999999999997,1.5781568953687322e-30,8.429182738977804e-26,4.960812640219967e-13,2.395964688768104e-16,7.447064813563645e-22,1.5217915821538072e-16,6.784299397509448e-41,8.743895539970128e-40,3.835156250049101e-46,4.773102552472786e-57,2.801963424478156e-45,7.68233256024154e-18,7.594677019729015e-25,3.0725035996430687e-33,2.4721113504910794e-37,1.0431305311835033e-35,1.1142969021426512e-30,1.3858351780208867e-22,7.818002180242789e-22,5.368061122607559e-41,1.4437737425180686e-50,4.6174765742786057e-48
9.279627071363498e-13,0.4545077834209979,1.6698806082301713e-22,2.1093842347363198e-27,3.045085871004856e-24,4.05788728352984e-28,0.0,0.0,7.837259490397473e-16,4.420961884856544e-26,3.1973469991916197e-31,3.7985833117234943e-31,5.5410943282714864e-33,1.1464860473162438e-50,4.751875719544832e-36,1.4255881896904208e-25,1.5368002103901883e-17,6.228604829084771e-27,1.0841444514298088e-59,4.610458180191988e-57,2.495922823200166e-34,2.095869608707124e-28,1.5637831015950174e-21,1.2509918090759394e-36,1.2564539911549047e-28,9.848426600802042e-43,9.586249921696933e-30,9.923779345845372e-13,4.903513610184637e-37,5.77225129578869e-29,1.7995198965250232e-36,1.044852806375551e-47,1.0943787945697495e-35,6.419808766737367e-38,3.76,0.0,0.6586801830393529,0.9999999999999992,1.2630033839959666e-29,3.3727710151595684e-25,9.923779345845376e-13,4.792957813912658e-16,2.9797901911347175e-21,3.0442382099794354e-16,5.429461470063916e-40,6.997738656107583e-39,6.138703903732492e-45,7.856576332019474e-56,4.48494439966431e-44,1.5367999380197774e-17,3.0388598002999063e-24,1.2294135510650452e-32,2.0017673603929867e-36,8.345232052778768e-35,8.913089339090953e-30,5.545128412874224e-22,1.5639541456907687e-21,4.296599744417699e-40,2.3102682176183832e-49,7.390933584253578e-47
1e-12,0.4545077834210811,1.9547386318811231e-22,2.2959735879591684e-27,3.7542491993456855e-24,5.345076551829079e-28,0.0,0.0,8.445666597487045e-16,5.45055755288209e-26,4.93453406478937e-31,5.912789214701202e-31,8.552101799411366e-33,1.769397130930032e-50,5.858400749661492e-36,1.7575262087095439e-25,1.6561012566783088e-17,7.679225729817488e-27,3.6931197288548766e-59,9.978958792337974e-57,3.852203064783409e-34,2.583964306816105e-28,1.685156690332317e-21,1.930787357991474e-36,1.549066841033446e-28,2.1316290268941317e-42,1.1818760690343863e-29,1.0694157501725757e-12,7.568174886109714e-37,7.116579464228258e-29,2.7773747102961903e-36,2.261463134656714e-47,1.689067729429035e-35,9.9084796272729e-38,3.76,0.0,0.6586801830392758,0.9999999999999992,1.9493255442184346e-29,4.158250701511991e-25,1.0694157501725759e-12,5.165029089763653e-16,3.673745591912995e-21,3.280559156641484e-16,8.379816978917028e-40,1.0800312163437658e-38,1.3286764083361547e-44,1.7569224425426212e-55,9.707350787096906e-44,1.6561009208759673e-17,3.746575250990384e-24,1.5157372633183817e-32,3.1184832773229765e-36,1.2876384985993684e-34,1.3750725178129406e-29,6.836514428968334e-22,1.6853675651588001e-21,6.632043979068221e-40,4.998680934293161e-49,1.5997162517471125e-46
1.8561268387804347e-12,0.4545077834210811,5.340132357754875e-22,4.513493802483628e-27,1.2182297149740034e-23,2.0642670830766646e-27,0.0,0.0,1.56762777514908e-15,1.7686782006196066e-25,2.5580124865313773e-30,3.103905846073183e-30,4.4336404697778644e-32,9.172380719790885e-50,1.900889181348125e-35,5.702441898861444e-25,3.073933931417597e-17,2.4919122408941473e-26,3.469947307622368e-58,7.378087687338987e-56,1.997090866251882e-33,8.38472325133203e-28,3.1276204852139524e-21,1.0009814083935208e-35,5.026622759565987e-28,1.5760605740874933e-41,3.835102350764104e-29,1.984971275708121e-12,3.923632819798266e-36,2.3093240709787136e-28,1.4398685245725396e-35,1.6720262361751942e-46,8.756645335689799e-35,5.136957063507777e-37,3.76,0.0,0.6586801830383595,0.9999999999999984,1.0105917748875103e-28,1.3493280018562738e-24,1.984971275708122e-12,9.586908265571077e-16,1.192105500493375e-20,6.089114239164157e-16,4.3443301941542544e-39,5.599197757238902e-38,9.823784874698396e-44,1.3299914104006014e-54,7.177301280138237e-43,3.0739328417588e-17,1.2157415906850745e-23,4.918549957894507e-32,1.6390087883379502e-35,6.672684885734533e-34,7.124358357698766e-29,2.218398493562012e-21,3.1283047281562035e-21,3.438761904688491e-39,3.6949108122337636e-48,1.182778462788972e-45
3.712455102068605e-12,0.45450778342124765,1.8681188785490764e-21,1.0341390020383636e-26,4.873292113430947e-23,1.1784757409650445e-26,0.0,0.0,3.1354487111844706e-15,7.075333167360013e-25,2.0460429714272977e-29,2.5861946644239727e-29,3.5471261476736793e-31,7.336602387005156e-49,7.602811515392636e-35,2.280491238599736e-24,6.148201167217337e-17,9.968977851250666e-26,1.11046077717634e-56,1.180567270282953e-54,1.597781815567277e-32,3.354066316306272e-27,6.254439965483679e-21,8.008577889158003e-35,2.010803658161676e-27,2.521926834713216e-40,1.5341483215604496e-28,3.970157957949299e-12,3.1393251363846065e-35,9.238429601426697e-28,1.1519709075994857e-34,2.6752631718119064e-45,7.0059050037747105e-34,4.1101701277052385e-36,3.76,0.0,0.6586801830363728,0.9999999999999969,8.085456628111028e-28,5.397751075066387e-24,3.970157957949303e-12,1.9174665976760065e-15,4.768773224159982e-20,1.2178797392450414e-15,3.4756918989602177e-38,4.47969333083224e-37,1.5719206941403808e-42,2.3842415462808253e-53,1.1484626519670167e-41,6.148196808229052e-17,4.8633604832439665e-23,1.967656278295307e-31,1.3708764034410614e-34,5.331037531552827e-33,5.6881109864662325e-28,8.874204578531425e-21,6.257176801514559e-21,2.7525968244645736e-38,5.905205459258178e-47,1.8926011377255525e-44
7.425111628644944e-12,0.45450778342158077,6.936464378563144e-21,2.703327208453676e-26,1.9493774927192963e-22,7.53573768832757e-26,0.0,0.0,6.271159716655607e-15,2.8302840877659137e-24,1.6360144561495527e-28,2.2325950238501296e-28,2.8376388211537317e-30,5.866363927947525e-48,3.0401575633192546e-34,9.116969939484019e-24,1.229673481379672e-16,3.9881671948532e-25,3.553394155227013e-55,1.8888538283961688e-53,1.2782180105925344e-31,1.341604363427777e-26,1.2504659658331474e-20,6.407112490953797e-34,8.043469223310713e-27,4.0352029791670426e-39,6.136703229313317e-28,7.940531322407696e-12,2.5117717846641945e-34,3.695827428907513e-27,9.215672203205755e-34,4.2798358612426027e-44,5.604867790893477e-33,3.288634558431488e-35,3.76,0.0,0.6586801830323992,0.9999999999999938,6.468600020525874e-27,2.1591881225025907e-23,7.940531322407712e-12,3.834960864978537e-15,1.907557414660374e-19,2.4357888084953586e-15,2.780521916756056e-37,3.5837804842801976e-36,2.5150577124824815e-41,4.785670894490211e-52,1.837562092200745e-40,1.2296717377147207e-16,1.945422021168707e-22,7.871554766965533e-31,1.1916278735236825e-33,4.252886992902026e-32,4.531738629048238e-27,3.5497369965375403e-20,1.2515604581122515e-20,2.2043028948743797e-37,9.42568084500489e-46,3.02819767832482e-43
1e-11,0.45450778342224674,1.3780535106295337e-20,4.8250613340367494e-26,3.9773474949365665e-22,2.3202903656609127e-25,0.0,0.0,8.446007227722709e-15,5.7748500842123176e-24,5.602412197969693e-28,8.548573421390505e-28,9.724823550599631e-30,2.008905672056103e-47,6.1999417073596066e-34,1.858687985599588e-23,1.6561008501779037e-16,8.138376268822401e-25,4.174712697933411e-54,1.1712474049783247e-52,4.380673009894705e-31,2.7371205641738294e-26,1.683472056455077e-20,2.195987157921242e-33,1.641123682399268e-26,2.502423944271287e-38,1.2520593580540905e-27,1.0694157501607708e-11,8.61008313316486e-34,7.541603415154105e-27,3.1583464256718e-33,2.6533422898976487e-43,1.9209824802133088e-32,1.1273587503819021e-34,3.76,0.0,0.6586801830296434,0.9999999999999917,2.2170516206364032e-26,4.4054845536330743e-23,1.0694157501607742e-11,5.164746888080349e-15,3.891990162017261e-19,3.280423357555186e-15,9.529241419413959e-37,1.2282491176245365e-35,1.5596084636686842e-40,4.381263751323617e-51,1.1395244462560951e-39,1.656097292506451e-16,3.969325085651679e-22,1.60623644981974e-30,4.606255133089686e-33,1.4509713490722372e-31,1.542826942501432e-26,7.242434423156788e-20,1.6857044018256012e-20,7.56693698132401e-37,5.820057494986627e-45,1.8778712269972472e-42
1.4850424681797624e-11,0.45450778342224674,2.6672996756697245e-20,8.821860451788233e-26,7.7975192204872505e-22,5.271579802196021e-25,0.0,0.0,1.254285824626785e-14,1.1321651935987135e-23,1.3074081152156723e-27,2.0446245510766736e-27,2.2698500845287186e-29,4.688093668334685e-47,1.2152158965360783e-33,3.642574436928606e-23,2.459379880687671e-16,1.5956298300295544e-24,1.1369425542224242e-53,3.021763742560238e-52,1.0224896965460761e-30,5.365912669978767e-26,2.4991436998110285e-20,5.1257252930172664e-33,3.21739498617369e-26,6.456216335525786e-38,2.4546194251217223e-27,1.5881278051228658e-11,2.009772671846242e-33,1.4786052134512935e-26,7.371860761307918e-33,6.8453433501048605e-43,4.4838050093851114e-32,2.6315176599550637e-34,3.76,0.0,0.6586801830244521,0.9999999999999876,5.174887100674193e-26,8.63692688464775e-23,1.5881278051228726e-11,7.669720315168435e-15,7.630148943666465e-19,4.87149670637877e-15,2.2242085987892972e-36,2.8668615526141215e-35,4.023736095851427e-40,1.173293632280827e-50,2.939944961013419e-39,2.459372905896468e-16,7.781835750868553e-22,3.149173461235406e-30,1.1038531003061415e-32,3.3830925608264536e-31,3.5954519225469786e-26,1.4198522671385854e-19,2.5035194665353805e-20,1.7668754606402653e-36,1.5007987847624926e-44,4.8448613915509466e-42
2.970105078810298e-11,0.4545077834235789,1.045398659311452e-19,3.8302380427853414e-25,3.1189199026146664e-21,3.9142316158494826e-24,0.0,0.0,2.508736126073484e-14,4.528935025882976e-23,1.0436491498235454e-26,2.0394465649913387e-26,1.8153980088647867e-28,3.7423637999296975e-46,4.85395047684278e-33,1.4536228603749163e-22,4.918791359273449e-16,6.385219553706471e-24,3.637152369948056e-52,4.833352396846873e-51,8.178271425243957e-30,2.145895881492512e-25,4.991046342782771e-20,4.100490721262977e-32,1.286924558043584e-25,1.0329205185892667e-36,9.817683224197845e-27,3.176277150848725e-11,1.6083291051853983e-32,5.916434137308968e-26,5.896195787008926e-32,1.0944478547323952e-41,3.5867735689801722e-31,2.1061150683155905e-33,3.76,0.0,0.6586801830085578,0.999999999999975,4.139773707007365e-25,3.4548048383458165e-22,3.176277150848752e-11,1.533832300047793e-14,3.051901876409717e-18,9.742471579757136e-15,1.7789693485518996e-35,2.2931471052309286e-34,6.436592590841423e-39,3.801720615375804e-49,4.703238568437182e-38,4.918763459908873e-16,3.1127574400029856e-21,1.2600721629291139e-29,1.1199260647196638e-31,2.6760561358311692e-30,2.829359762496393e-25,5.678895544927136e-19,5.0085312881481365e-20,1.418936480492205e-35,2.378125447835676e-43,7.750667037786298e-41
5.94023030007137e-11,0.4545077834262431,4.1380437476948766e-19,2.151728811831267e-24,1.2474786995077829e-20,3.009820771895984e-23,0.0,0.0,5.0180790155369346e-14,1.8117657403728685e-22,8.312781502119959e-26,2.2473769891552832e-25,1.4515217782606277e-27,2.980919092497835e-45,1.936039873916816e-32,5.78728209449767e-22,9.837609036334407e-16,2.5561952498415633e-23,1.163085672910968e-50,7.728539852566323e-50,6.539868511628589e-29,8.579701514165589e-25,9.953135853768882e-20,3.280190976356607e-31,5.147352224883633e-25,1.652404271071976e-35,3.926377967095992e-26,6.352575842147108e-11,1.2874577147090547e-31,2.368147846847382e-25,4.714805384751529e-31,1.7485056887549192e-40,2.868935196544107e-30,1.6863032970766777e-32,3.76,0.0,0.6586801829767692,0.9999999999999499,3.3115427453457334e-24,1.3819281164652437e-21,6.35257584214722e-11,3.067186449126795e-14,1.2206159890585278e-17,1.948265795754546e-14,1.4225145212742846e-34,1.8339378165859438e-33,1.0293922223843486e-37,2.0298807500811006e-47,7.522884211267804e-37,9.837497438980882e-16,1.2451024889142121e-20,5.04343345847474e-29,1.2624362962972753e-30,2.0934615037228303e-29,2.1913100362794822e-24,2.271112838619601e-18,1.0022930108522823e-19,1.1438053783701404e-34,3.7328972413471384e-42,1.2397276273452947e-39
