Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154),CHO2(147),S(841),CH3F(39),C2H5O(149),C2H2O(132),C2HF(57),S(1780),C2HF(2524),CHF2(81),S(1754),C2H3F2(63),CH2CF2(56),C2H3F2(64),C2H5O(167),C2H3F2(65),CF2CH(72),C2HF2(71),C2F(2523),S(1862),S(499),F(37)
0.0,0.6415494200550007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6592598128240612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.000496230666257e-19,0.6415494200550007,7.912560751026361e-25,3.9065793219113434e-27,1.1054551001610243e-33,3.454802865502922e-34,0.0,0.0,1.0221172238118133e-19,1.993772724117135e-35,2.4171043388548983e-45,2.810135114871398e-45,1.2097154277169374e-45,1.6032749460797736e-59,1.7859126298915977e-40,6.972460303468754e-33,1.310307277701666e-19,6.744207314495433e-35,7.760156896065392e-70,9.259567417650499e-71,1.1486340486035512e-46,3.4477006172844054e-34,6.432944127153144e-22,9.500386387512874e-50,7.510931828942219e-36,2.6250959862747934e-49,2.1882856383858184e-36,3.0207610794773184e-16,5.9168980705612346e-36,2.7458064154234136e-22,1.9896439888451305e-49,5.21087414261805e-55,4.742166601229178e-49,2.0679288046324387e-37,3.76,0.0,0.659259812824061,1.0,1.952374866270116e-45,5.098010791298158e-33,3.0207610794773184e-16,4.964278177704762e-20,4.857548866625448e-31,5.25697318592451e-20,7.768735063152743e-53,5.444412501859312e-52,3.2065155960256794e-54,4.0557126492600306e-58,3.411827796451651e-64,1.310307277701703e-19,9.664313236111742e-34,1.0863897914600254e-38,1.2492425504387336e-50,4.02710092361647e-49,6.713328645275945e-44,1.0669087266173721e-33,6.432944127228231e-22,1.9134292327949852e-38,6.282646364995831e-66,2.049321325287462e-66,5.076959532034974e-78,6.538334563533596e-85,2.8680155739734566e-57,1.978474369054503e-70,2.447752759840744e-50,8.32895364546602e-62,5.921300882026106e-64,3.7159900884947896e-48,5.11784739277958e-51,8.658801224152465e-83,3.154519328682165e-85,3.8467245188674948e-90,3.3005140479171557e-82,7.129288197891273e-35,2.745806415390642e-22
2.80138944586552e-19,0.6415494200550007,2.2155185374616757e-24,1.093842212591923e-26,6.676948805161854e-33,2.0867009332392343e-33,0.0,0.0,2.861928226673547e-19,1.204238725366912e-34,2.8695862710352536e-44,3.3361924226044724e-44,1.4361741561779934e-44,1.9034080159519593e-58,1.078691228442105e-39,4.2113660232070833e-32,3.6688603775644947e-19,4.07350121802851e-34,1.7359160570652538e-68,2.071328196056595e-69,1.3636583424996241e-45,2.0824111728355875e-33,1.801224355580289e-21,1.1278858719208726e-48,4.536602824660601e-35,3.116513954893037e-48,1.3217245255846006e-35,8.458131022536485e-16,3.573806434616883e-35,7.688257963180115e-22,2.3621053435404852e-48,6.186349782006538e-54,5.629901377612925e-48,1.2490289979982238e-36,3.76,0.0,0.6592598128240603,1.0,2.317859441281455e-44,3.079198517943965e-32,8.458131022536485e-16,1.3899978897496089e-19,2.933959515428517e-30,1.4719524920511056e-19,9.223042266940169e-52,6.463606522199345e-51,3.8067753157187495e-53,4.8149420571812075e-57,7.632122622920105e-63,3.668860377564716e-19,5.837245194611413e-33,6.561794340453977e-38,1.4831007569877808e-49,4.780974216217555e-48,7.970063766089713e-43,6.444128708674755e-33,1.80122435562564e-21,1.1557112562750697e-37,1.4054029046821308e-64,4.584249831809394e-65,2.0950216508276325e-76,2.698062064974689e-83,3.404915354020237e-56,4.42673693204583e-69,2.9059720764617635e-49,1.8631536146632118e-60,1.3246064861984386e-62,4.411623431604672e-47,6.075908424686136e-50,3.573078607679331e-81,1.301721233648417e-83,1.5873616440744098e-88,1.3619664180954884e-80,4.3060900715065225e-34,7.6882579629821805e-22
6.403175876264044e-19,0.6415494200550009,5.064049570876935e-24,2.500210783220489e-26,3.21466343155216e-32,1.0046566770014552e-32,0.0,0.0,6.541550232398894e-19,5.797891081735066e-34,2.8173768172030495e-43,3.2754935340044588e-43,1.4100443030980092e-43,1.8687772770453357e-57,5.1934339275384315e-39,2.0275914561166465e-31,8.385966577289476e-19,1.9612154871651735e-33,3.429877602063532e-67,4.092595478788007e-68,1.3388478470445148e-44,1.002591339500017e-32,4.117084241219869e-21,1.1073650373140666e-47,2.1841789758256473e-34,3.059811881563467e-47,6.363534636419237e-35,1.9332870908654802e-15,1.720633958916052e-34,1.757316105867175e-21,2.319129033346852e-47,6.073794900295803e-53,5.527471078246021e-47,6.013536963874598e-36,3.76,0.0,0.6592598128240592,1.0,2.2756881442545216e-43,1.4825015381093223e-31,1.9332870908654802e-15,3.177138033676977e-19,1.4125752103948002e-29,3.3644628389373866e-19,9.055237589501902e-51,6.34600721213974e-50,3.737514579090286e-52,4.727338663914556e-56,1.5079788459032155e-61,8.385966577290541e-19,2.8103822890611757e-32,3.1592215136178766e-37,1.4561171202228268e-48,4.693988835637608e-47,7.825055864029778e-42,3.102570576862061e-32,4.117084241438219e-21,5.564252203971297e-37,2.7768393500248875e-63,9.057705155460718e-64,8.287697465720323e-75,1.0673265216671143e-81,3.342969268782472e-55,8.747342882549258e-68,2.853100616804751e-48,3.681277574281869e-59,2.6172302923981526e-61,4.331358042634854e-46,5.965362920956367e-49,1.413474370828345e-79,5.1494797490513705e-82,6.279444810969812e-87,5.387803808649624e-79,2.073197007917073e-33,1.757316105771878e-21
1.3606748737061096e-18,0.6415494200550012,1.0761136072496173e-23,5.312947963785577e-26,1.4039279774978671e-31,4.3875996775585045e-32,0.0,0.0,1.3900794243857116e-18,2.532091359631281e-33,2.4919378888358188e-42,2.8971369906595654e-42,1.2471682179017267e-42,1.6529123381893729e-56,2.2681090397697695e-38,8.855024584040622e-31,1.782017897673672e-18,8.565143290544845e-33,6.103283935844612e-66,7.282555030687526e-67,1.1841957587319706e-43,4.378579783886222e-32,8.748804012137565e-21,9.794518349767151e-47,9.538883422438863e-34,2.7063689579291548e-46,2.779122760742939e-34,4.108235068089136e-15,7.514460549580171e-34,3.734296724956796e-21,2.0512433666325842e-46,5.372202805359933e-52,4.8889857789297275e-46,2.626269581886779e-35,3.76,0.0,0.659259812824057,1.0,2.0128203923926454e-42,6.474473704946782e-31,4.108235068089136e-15,6.751418321408124e-19,6.169087060408894e-29,7.149483532585838e-19,8.00925510047826e-50,5.612971512857091e-49,3.3057893196403024e-51,4.1812775127489535e-55,2.6833678080531044e-60,1.782017897674138e-18,1.2273677809860701e-31,1.3797150352076203e-36,1.2879191070063378e-47,4.1517799662591585e-46,6.921173289835567e-41,1.354974082658097e-31,8.748804013091151e-21,2.4300551204865618e-36,4.941237287694135e-62,1.6117702372711187e-62,2.9578203831330354e-73,3.809212542921676e-80,2.956819724606295e-54,1.5566129307900097e-66,2.5235351851476114e-47,6.550636753328187e-58,4.657246873071346e-60,3.83103713215377e-45,5.276295947918265e-48,5.044589640518153e-78,1.8378127454393833e-80,2.2410892527865337e-85,1.9228689253526336e-77,9.054196011014922e-33,3.7342967245406084e-21
2.8013894458655198e-18,0.6415494200550017,2.215540681488952e-23,1.093842248214759e-25,5.861122943694054e-31,1.8317365138224653e-31,0.0,0.0,2.8619282266803675e-18,1.0570982983291727e-32,2.094623945746364e-41,2.435218296446175e-41,1.0483200346730185e-41,1.3893724154725736e-55,9.468908761952151e-38,3.696798451670908e-30,3.6688603775620366e-18,3.5757787191675585e-32,1.0294080434659699e-64,1.2283093643929188e-65,9.953878883454041e-43,1.8279708672257181e-31,1.8012243552527086e-20,8.232882836686506e-46,3.982296055419183e-33,2.2748661800235304e-45,1.1602290454657712e-33,8.458131022536418e-15,3.137139356982229e-33,7.68825796310121e-21,1.7241936462348726e-45,4.515660156711895e-51,4.1094872126722347e-45,1.0964158522193429e-34,3.76,0.0,0.6592598128240527,1.0,1.6918968215798057e-41,2.702965321544595e-30,8.458131022536421e-15,1.389997889637606e-18,2.5754724088999313e-28,1.47195249193863e-18,6.732261505549699e-49,4.718040763401128e-48,2.778715112648106e-50,3.514615690206562e-54,4.525892036052278e-59,3.6688603775639825e-18,5.12401887778536e-31,5.760038674799524e-36,1.0825736194031807e-46,3.489821223248905e-45,5.817663172054081e-40,5.656750067211615e-31,1.8012243556508122e-20,1.0145001745811398e-35,8.334118926339847e-61,2.7184860864137904e-61,9.993806614815698e-72,1.2870468257284837e-78,2.4853856416400956e-53,2.6255121942187787e-65,2.121183377383822e-46,1.1048606345008388e-56,7.855148245292106e-59,3.220217537647251e-44,4.435044664767292e-47,1.7044528279377418e-76,6.209553900972589e-79,7.57213409426377e-84,6.496939530456491e-76,3.7799486022456554e-32,7.688257961363712e-21
5.6828185901843395e-18,0.6415494200550026,4.4944339256295636e-23,2.2189372147799047e-25,2.3944599673882446e-30,7.483241491171797e-31,0.0,0.0,5.8056258312817235e-18,4.3185914713658825e-32,1.7172992620109491e-40,1.9965392370355717e-40,8.594761012266436e-41,1.1390914481971279e-54,3.868358191383015e-37,1.510262790532649e-29,7.442545337334424e-18,1.4608222820143287e-31,1.6908058032093612e-63,2.017501866715954e-64,8.160791296426165e-42,7.467857444567644e-31,3.6539122627522643e-20,6.749814758861544e-45,1.6268978776340687e-32,1.8650727358799418e-44,4.7399142241149406e-33,1.7157922931430873e-14,1.2816237896510068e-32,1.559618043925073e-20,1.413598122404531e-44,3.7022110200281904e-50,3.369205934305024e-44,4.479216508013341e-34,3.76,0.0,0.659259812824044,1.0,1.3871192348361672e-40,1.1042495294369172e-29,1.7157922931430877e-14,2.8197100044334517e-18,1.0521645145500066e-27,2.985960769100147e-18,5.51951472798957e-48,3.8681348697544843e-47,2.2781585334608525e-49,2.8814942867563104e-53,7.433791274425676e-58,7.442545337342376e-18,2.0933289041938316e-30,2.3531637442983417e-35,8.875592710366351e-46,2.861166281819114e-44,4.769671740409735e-39,2.3109669770900348e-30,3.653912264378648e-20,4.144564216060671e-35,1.3688815341063317e-59,4.465121559924261e-60,3.2857449694705633e-70,4.231528373677434e-77,2.0376695093349227e-52,4.312457719933675e-64,1.7390742890608984e-45,1.8147369096343536e-55,1.2902121300788604e-57,2.6401288795728293e-43,3.636117570062213e-46,5.60386798906579e-75,2.0415654660098073e-77,2.4895520352298768e-82,2.136051573722575e-74,1.54423234058211e-31,1.5596180432152477e-20
1.144567687882198e-17,0.6415494200550047,9.052376796558503e-23,4.469127399481229e-25,9.6787900387463e-30,3.0248459797897134e-30,0.0,0.0,1.169302104053261e-17,1.7456437210711053e-31,1.3907134654589441e-39,1.6168494775059744e-39,6.960260301389953e-40,9.224657871184924e-54,1.5636522300692778e-36,6.104723665227466e-29,1.498991525686184e-17,5.9048772329101285e-31,2.740869071032564e-62,3.2704576194123423e-63,6.608820374225661e-41,3.0186273796548933e-30,7.359288075437982e-20,5.46617499170747e-44,6.57618133897497e-32,1.5103842565829381e-43,1.9159491140727052e-32,3.455750674921931e-14,5.180528271679429e-32,3.141202539099254e-20,1.1447684092521861e-43,2.9981464684758913e-49,2.728470331117249e-43,1.810570929060773e-33,3.76,0.0,0.6592598128240266,1.0,1.1233251205202245e-39,4.463553152287766e-29,3.455750674921934e-14,5.6791342332341704e-18,4.253017193788577e-27,6.0139773226288755e-18,4.469846129212934e-47,3.1325159055369904e-46,1.8449118476149356e-48,2.3335087808578053e-52,1.2050496011108968e-56,1.4989915256893972e-17,8.461570125243627e-30,9.51186409465445e-35,7.187685278509128e-45,2.317046630712571e-43,3.8626038108398807e-38,9.341298008574653e-30,7.359288082012086e-20,1.6752991055527401e-34,2.219015943673663e-58,7.2381544634207866e-59,1.0657235054447642e-68,1.3724860848430511e-75,1.6501576786644923e-51,6.990716824032436e-63,1.4083474474708784e-44,2.941766732119568e-54,2.0914908072139597e-56,2.1380447921208464e-42,2.9446222805839405e-45,1.8176011501637436e-73,6.621768654606739e-76,8.074802438875035e-81,6.928232060809984e-73,6.242034021163035e-31,3.1412025362300284e-20
2.2971393456097262e-17,0.6415494200550089,1.8168888069006863e-22,8.969508775168522e-25,3.8917989132359776e-29,1.2162773630875265e-29,0.0,0.0,2.3467811459227084e-17,7.019156626291461e-31,1.1193671848774113e-38,1.3013815078928485e-38,5.602223018548556e-39,7.424807172623951e-53,6.287376840248002e-36,2.4546825327391496e-28,3.0084655095847217e-17,2.374325167671091e-30,4.414085149897736e-61,5.266971667590088e-62,5.319353590874582e-40,1.2137767927871339e-29,1.4770039691555852e-19,4.3996531785408e-43,2.6442535924909074e-31,1.2156886498225318e-42,7.703947120999772e-32,6.935667438479437e-14,2.0830676331676394e-31,6.304371529224723e-20,9.214092079205393e-43,2.41316910770624e-48,2.1961102991330537e-42,7.280226074042781e-33,3.76,0.0,0.6592598128239917,1.0,9.041497851260037e-39,1.794775091110149e-28,6.935667438479448e-14,1.1397982687671723e-17,1.7101195076465685e-26,1.2070010426509108e-17,3.597721031655663e-46,2.521321323244633e-45,1.484945561834555e-47,1.8782108769598665e-51,1.940695233749347e-55,3.0084655095976436e-17,3.402360132019973e-29,3.824678719119838e-34,5.785274726652296e-44,1.864960698769471e-42,3.1089595430248047e-37,3.7560948409844924e-29,1.4770039717990032e-19,6.736303888728686e-34,3.5736567252407686e-57,1.1656824622288813e-57,3.433370231650073e-67,4.421646744538892e-74,1.3281904925058292e-50,1.1258363502966093e-61,1.133560548609674e-43,4.73762463014425e-53,3.36828254645995e-55,1.7208844149187157e-41,2.3700881871724094e-44,5.855644220813606e-72,2.133290979270991e-74,2.6014052230812526e-79,2.2320222319356414e-71,2.5098944256596133e-30,6.304371517687693e-20
4.602282661064782e-17,0.6415494200550171,3.640441273626231e-22,1.7970275551685793e-24,1.5607854352010278e-28,4.8778170083446764e-29,0.0,0.0,4.7017392297386825e-17,2.8149957466478425e-30,8.982216682364236e-38,1.0442773208928307e-37,4.4954311551239105e-38,5.957940143238372e-52,2.521519318781736e-35,9.844374811817383e-28,6.027413477354018e-17,9.52210588860018e-30,7.085584261374381e-60,8.454657571087065e-61,4.268446254396966e-39,4.8677878126794644e-29,2.959154288677731e-19,3.5304445932746516e-42,1.0604639570679365e-30,9.755135795463957e-42,3.0896273628305547e-31,1.389550096559371e-13,8.354032883102046e-31,1.263070950858409e-19,7.393728603148321e-42,1.936416228084287e-47,1.76224021076929e-41,2.9196962718343925e-32,3.76,0.0,0.6592598128239221,1.0,7.255232628914303e-38,7.197850848092339e-28,1.3895500965593762e-13,2.2835679583891304e-17,6.858344091082613e-26,2.4182076621560692e-17,2.8869445498073717e-45,2.023201574222126e-44,1.1915752998560139e-46,1.507145942287781e-50,3.115245649466116e-54,6.027413477405841e-17,1.3644985872137536e-28,1.5338672303924825e-33,4.642319105759629e-43,1.4965134965940044e-41,2.4947441690337242e-36,1.5063620236809803e-28,2.9591542992790205e-19,2.7015590417647303e-33,5.736510346263748e-56,1.8711785112216175e-56,1.1023831753113785e-65,1.4196980389795103e-72,1.0657892371620212e-49,1.8072190009004518e-60,9.096109501887417e-43,7.604936749522391e-52,5.406840309586957e-54,1.380901302107748e-40,1.901846506318252e-43,1.8801245555788297e-70,6.84954995274354e-73,8.35256697029338e-78,7.166555191539953e-70,1.006579921830107e-29,1.2630709462315436e-19
