Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264),C3H5(2345),C3H5(2725),CH3O2(159),S(1527),S(3172),S(6223),S(6172),C3H3(5584),C3H3(6828),CHO2(178),C2H3F(124),C3H5(2350),S(2293),S(2934),C2H3F(191),S(5865),S(2726),S(9381),S(2727),S(5643),S(5886),S(2074),S(5582),S(10105),S(5887)
0.0,0.06110160769972176,3.76,0.0,0.8485088910142837,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.691765622346507e-17,0.06110160769972176,3.76,0.0,0.8485088910142834,1.0,5.826789830981695e-38,2.957694537194407e-21,1.038042654054629e-29,3.553140405781813e-16,3.553140405781815e-16,2.918204397544885e-36,3.151312116611237e-26,7.364316254470607e-35,1.8536398166575812e-42,4.249143795912784e-40,1.5958434944473523e-18,1.4856026370346576e-31,9.477668235336424e-19,5.944678749720579e-26,4.051482111020951e-27,6.480767198141789e-19,9.830292574561127e-36,3.7511546581456904e-33,9.677917533353488e-44,1.3195968092759616e-29,9.968966815186035e-43,1.0772058760998375e-48,2.4398159597531165e-27,1.0960545907007421e-44,2.7589540868578175e-59,4.230713163477924e-30,4.409098831286542e-43,2.709612089859492e-51,3.9598406770325345e-54,9.267255440062778e-61,8.266584033485603e-21,6.1459574960970444e-30,8.266584038484506e-21,1.7956573922368984e-38,1.2080996171455232e-60,1.1438746311754748e-38,2.6759924100869806e-24,3.1996914851112112e-52,1.0580002574267303e-68,9.892657230525399e-35,1.2420162848428218e-45,3.149313875073005e-51,9.216534205876262e-53,1.54591883730154e-65,6.038660542178114e-57,4.932555805564049e-40,2.408465238881515e-51,6.405661292674536e-52,5.911902559292467e-54,4.7745851551068747e-73,4.597774258323795e-65,9.765154058413637e-78,9.000701454385822e-25,1.0188654193429538e-46,3.478579150939412e-64,3.5900797589073284e-53,2.0412876443726386e-57,1.3631496324757378e-35,2.67599218922051e-24,3.31018894215643e-51,2.957694536923936e-21,4.819630876406696e-37,1.9732377435098553e-31,1.9869007518386007e-44,8.429896152650518e-43,1.1791965518616797e-38,9.000700488413632e-25,8.880271018842768e-68,1.6748567947283614e-41,7.16076543062332e-69,2.4995412093596915e-69,5.9108783404527106e-52,3.243323649995584e-71,5.960649437212365e-64,8.962776891135212e-31,1.0707407836527788e-56,5.217652534878861e-52,3.890138623699746e-72,7.060152921308505e-67,6.880778400586671e-66,4.8332687716428135e-82,1.3362118621212487e-52,3.1513118814642116e-26,7.770075538521775e-73,1.3964909650594254e-65,2.4666686976759572e-61,3.2371857572818424e-41,5.259106691882069e-68,1.163294301306639e-64,5.795136945019191e-69,7.219735908547075e-65,3.764763162012401e-68,1.4600967902168715e-68,1.4515721247069766e-68,9.532817293414626e-66,5.834440967243731e-67,2.1043143218482868e-65
1.8736943742570222e-16,0.06110160769972178,3.76,0.0,0.8485088910142827,1.0,6.9175648394827165e-37,8.281544705020661e-21,6.269777584079624e-29,9.948793136189073e-16,9.94879313618908e-16,1.7625928741206717e-35,8.823673982987019e-26,4.448046959314462e-34,2.2006411561653855e-41,5.04458289258903e-39,4.4683617974090835e-18,8.973039949398576e-31,2.653747090104279e-18,1.6662081884795589e-25,2.447095185419885e-26,1.814614810225859e-18,5.937496691450323e-35,2.2656975384399724e-32,1.1489623559672871e-42,3.694904577491151e-29,6.021270131018481e-42,1.2788588396585024e-47,1.4736488302342534e-26,1.3012360043919221e-43,6.171669926937494e-58,2.555350738543107e-29,2.6632714335930214e-42,3.217045873388003e-50,4.701122836852433e-53,2.0731676488918086e-59,2.3146435273770495e-20,3.712158324967008e-29,2.3146435303963874e-20,1.0845771456574846e-37,2.7024689509614166e-59,6.909002392804936e-38,7.492778824521838e-24,4.8352860644781256e-51,2.3667043001438688e-67,5.9751649529247725e-34,1.4745250330038441e-44,4.761481325267255e-50,1.3928044850636373e-51,2.3456521983803302e-64,7.169091959096348e-56,5.856004240349713e-39,3.6396726687435276e-50,9.680235344629409e-51,7.018995718051745e-53,1.0681115690109204e-71,1.028562650956011e-63,2.1845403708572857e-76,2.5201964071656954e-24,1.2096588167461002e-45,7.781442393499209e-63,5.42545748581276e-52,2.4234298288514888e-56,8.233423779984613e-35,7.492777490488442e-24,5.0023621719193605e-50,8.281544703387017e-21,2.9110570493517556e-36,1.1918354362470803e-30,2.3588975698808783e-43,1.0007966337883145e-41,1.3999412262525417e-37,2.520195823718553e-24,2.792099557012145e-66,1.0116134203806436e-40,2.251458286940043e-67,7.859049696954168e-68,8.932519078431153e-51,1.0204977854722665e-69,1.8741235461655522e-62,5.413517238940221e-30,1.2712622446824261e-55,7.884901875153407e-51,2.366559895856166e-70,2.2198271698064066e-65,2.163426799317129e-64,2.7845916547812117e-80,2.989050512976496e-51,8.823672562647259e-26,2.443148076428123e-71,4.390791055873012e-64,6.956278687005147e-60,1.955260056995763e-40,1.653547291818634e-66,3.6575833954396955e-63,1.822080133099292e-67,2.2700004760473058e-63,1.1837017690084858e-66,4.5907767554263063e-67,4.563976599082294e-67,2.997270349551117e-64,1.8344412056308767e-65,6.616300986679297e-64
4.282729998301765e-16,0.061101607699721804,3.76,0.0,0.8485088910142814,1.0,6.791706078630133e-36,1.8929245044178444e-20,3.018627968375361e-28,2.274009859700357e-15,2.27400985970036e-15,8.486099658226751e-35,2.016839794205537e-25,2.1415430792213756e-33,2.160602464356968e-40,4.952800080568582e-38,1.021339845515853e-17,4.3201325010606384e-30,6.065707560085876e-18,3.816481369549242e-25,1.1781709834297405e-25,4.1476909700338525e-18,2.858649045286863e-34,1.0908359619686795e-31,1.1280580255510912e-41,8.445654178561941e-29,2.8989968117093134e-41,1.2555912421790505e-46,7.094984669112639e-26,1.2775612132879891e-42,1.219417972901089e-56,1.2302913696430432e-28,1.282429548317498e-41,3.1589264905357597e-49,4.615590246894197e-52,4.096747411748296e-58,5.2906137674383517e-20,1.7872444358516107e-28,5.290613781975161e-20,5.221772884527168e-37,5.3396164592175414e-58,3.326386858215891e-37,1.7126351958504716e-23,5.201549806903762e-50,4.676209032142543e-66,2.8767847011674952e-33,1.4476988527231258e-43,5.128393045904839e-49,1.498320602731607e-50,3.383910195775803e-63,7.038644634076632e-55,5.749616409396652e-38,3.9153937686692316e-49,1.0413555447311625e-49,6.89210711738571e-52,2.1106504825440252e-70,2.0325213373864856e-62,4.3167786239361777e-75,5.760448930370584e-24,1.1876772684974508e-44,1.5374818775664753e-61,5.836746410316197e-51,2.3793656026643455e-55,3.964039130986151e-34,1.7126345535709034e-23,5.38132582175308e-49,1.8929245036313153e-20,1.4015486588621708e-35,5.7381729456340646e-30,2.3160834077588744e-42,9.825867194466909e-41,1.3744686484885804e-36,5.760446121324364e-24,6.2290217702685875e-65,4.870482304540933e-40,5.022874620405495e-66,1.7533897276353103e-66,9.609195771645294e-50,2.2801950544588928e-68,4.181066501126043e-61,2.6063755149839515e-29,1.2482996948920593e-54,8.48218296013399e-50,1.0683769837117335e-68,4.952322358996748e-64,4.826486019214346e-63,1.2487771398428837e-78,5.905851579162343e-50,2.0168391103203902e-25,5.4510725475975814e-70,9.795613440643201e-63,1.5131332220233353e-58,9.413734076138825e-40,3.688973051734958e-65,8.15986727559616e-62,4.0649424538387905e-66,5.064246141688322e-62,2.6407735025744446e-65,1.024176459561065e-65,1.0181988218515314e-65,6.686745595029608e-63,4.092535456285768e-64,1.476060384528963e-62
9.10080124639125e-16,0.06110160769972182,3.76,0.0,0.8485088910142788,1.0,6.00718693258842e-35,4.022464573651513e-20,1.318314098713364e-27,4.832270951863249e-15,4.832270951863262e-15,3.7060795642869193e-34,4.285784676877576e-25,9.352680738198054e-33,1.9110282828993906e-39,4.380693239146375e-37,2.1703471977961374e-17,1.8867153826833271e-29,1.2889628247410382e-17,8.144197946495307e-25,5.145382131626708e-25,8.813843205588375e-18,1.2484471203852105e-33,4.7639683521030845e-31,9.977544975317431e-41,1.7947689787797754e-28,1.2660807560552954e-40,1.1105563233042826e-45,3.0985661223087227e-25,1.1299884037999656e-41,2.169889118331152e-55,5.373005528554821e-28,5.602279461870068e-41,2.794767218818704e-48,4.0824372472571375e-51,7.291793246691081e-57,1.1242554215578251e-19,7.805365978571343e-28,1.124255427906431e-19,2.2804861047694728e-36,9.501537944818395e-57,1.452720193375821e-36,3.639349944692313e-23,4.781109262503386e-49,8.321064681082008e-65,1.256367446091588e-32,1.28047378403346e-42,4.725601508394047e-48,1.3772243939131965e-49,4.915881521002941e-62,6.225579475106738e-54,5.0857493930682105e-37,3.5989214352374295e-48,9.571851549925163e-49,6.097441395761083e-51,3.7566549948124334e-69,3.617674301759112e-61,7.683246525627324e-74,1.2240953975783004e-23,1.0504978314311776e-43,2.735866814765795e-60,5.365503822791359e-50,2.1045714296442578e-54,1.7312000329824354e-33,3.639347139689462e-23,4.946389849090919e-48,4.022464570216535e-20,6.120931213068286e-35,2.5060094413495105e-29,2.0487341702139144e-41,8.690844239399592e-40,1.2156984871622671e-35,1.2240941707945596e-23,1.1666273105575436e-63,2.1270668329586026e-39,9.407269643954874e-65,3.2841976325388626e-65,8.832505251592823e-49,4.283797675047635e-67,7.830674697497994e-60,1.1382726600507324e-28,1.1044038193020313e-53,7.796523384858465e-49,4.033978539307442e-67,9.275189523575307e-63,9.039473559947322e-62,4.698311712626827e-77,1.0509116818044151e-48,4.285781689708499e-25,1.0211298836133437e-68,1.8346100366854555e-61,2.8050869974594984e-57,4.1112237355105185e-39,6.909038278667446e-64,1.5282528051029578e-60,7.613119323025673e-65,9.484772372917022e-61,4.945876401966103e-64,1.9181669773558627e-64,1.906976524750084e-64,1.252353568379367e-61,7.664858608997121e-63,2.7644978565573623e-61
1.8736943742570223e-15,0.06110160769972187,3.76,0.0,0.8485088910142737,1.0,5.049402273631768e-34,8.281544717727294e-20,5.5037015043735455e-27,9.948793136189001e-15,9.948793136189053e-15,1.5471959534623852e-33,8.823674808308353e-25,3.904559663638743e-32,1.6063342032243267e-38,3.6822326817664654e-36,4.468361985278279e-17,7.87666548440154e-29,2.6537468611504715e-17,1.6908311948317993e-24,2.1480956808304058e-24,1.8146147340451566e-17,5.212020793738597e-33,1.9888639423792236e-30,8.386726882318879e-40,3.695390782290654e-28,5.285743939900572e-40,9.334896550177967e-45,1.2935902899411472e-24,9.498233042468625e-41,3.6598351179441996e-54,2.2431239491200763e-27,2.340155749559488e-40,2.3504025297290976e-47,3.4315343970313984e-50,1.2304918806127514e-55,2.314643498392722e-19,3.258586627105939e-27,2.3146435248969016e-19,9.520586396710044e-36,1.6025650681315243e-55,6.064818000541312e-36,7.492779930557054e-23,4.090335082473538e-48,1.4034693693409416e-63,5.245086663957457e-32,1.0763155438307802e-41,4.0630081768394804e-47,1.1782610065226632e-48,7.36676532344669e-61,5.232937669174308e-53,4.275347803769569e-36,3.078953056255436e-47,8.18892051661278e-48,5.127707367559006e-50,6.339067689488995e-68,6.104811477918861e-60,1.2964890285118854e-72,2.520196406261844e-23,8.830109605561489e-43,4.614439134046697e-59,4.5912058535978386e-49,1.769102368210539e-53,7.227419349030548e-33,7.492768220228707e-23,4.231782426569287e-47,8.281544703386939e-20,2.5553682906993106e-34,1.0462084079935324e-28,1.722395102664154e-40,7.305137838413686e-39,1.0218619972771133e-34,2.5201912846857577e-23,2.0150601870779616e-62,8.880079058538765e-39,1.624865455119968e-63,5.673642475739735e-64,7.55639217655295e-48,7.444981175309426e-66,1.3525542734080185e-58,4.752064261568934e-28,9.288173911101515e-53,6.6699801430985e-48,1.3995678425329552e-65,1.602071409855964e-61,1.5613440560292577e-60,1.626894699784223e-75,1.772505856590078e-47,8.823662333596336e-25,1.7644541035522072e-67,3.1688327736336944e-60,4.821222142836918e-56,1.7163539298982006e-38,1.193364553676276e-62,2.6396765723266304e-59,1.31495353385325e-63,1.6382584957833176e-59,8.542771157458769e-63,3.3131488929927997e-63,3.293837455419717e-63,2.1631297729131323e-60,1.3239111663694424e-61,4.774982963074248e-60
3.800922873492817e-15,0.06110160769972199,3.76,0.0,0.8485088910142634,1.0,4.139804558451707e-33,1.6799705028312634e-19,2.2484413622361447e-26,2.0181837504840384e-14,2.0181837504840595e-14,6.320642506982791e-33,1.7899456556742535e-24,1.5951396683890966e-31,1.316969475149397e-37,3.0189103586201506e-35,9.064391891928817e-17,3.2178749923302653e-28,5.383314529747538e-17,3.487126325331575e-24,8.775671173557339e-24,3.6810754265194636e-17,2.129280414002825e-32,8.125165789968716e-30,6.875943989840815e-39,7.497494066574782e-28,2.1594855031074776e-39,7.653314629968634e-44,5.284737844541457e-24,7.787224715999103e-40,6.011290046892865e-53,9.163892499966411e-27,9.571040870493558e-40,1.929022838218713e-46,2.813379068149365e-49,2.0231378065586997e-54,4.695419600890188e-19,1.331238945883013e-26,4.695419709168407e-19,3.889474949890475e-35,2.6321910518322635e-54,2.477673723903353e-35,1.519964185501072e-22,3.381965888084381e-47,2.3052032696991854e-62,2.1427889577088825e-31,8.82428512957205e-41,3.3927391235315463e-46,9.742363676622378e-48,1.1344003109132253e-59,4.290217788148456e-52,3.5059575405227535e-35,2.545737924873101e-46,6.770757830660555e-47,4.208006469134033e-49,1.0421530430541792e-66,1.003727313345296e-58,2.1314490632881562e-71,5.1123984220331707e-23,7.239473858758992e-42,7.579229701081454e-58,3.7975934956877825e-48,1.4505535641722953e-52,2.9526366279331344e-32,1.5199594014550694e-22,3.498988689009671e-46,1.6799704969727607e-19,1.0439513263772591e-33,4.274092886039111e-28,1.4126328952263404e-39,5.989127093985739e-38,8.377746389926688e-34,5.112377498760828e-23,3.348058048530264e-61,3.627796933510914e-38,2.6997168780524804e-62,9.430188162422521e-63,6.247767833263867e-47,1.2522116044162199e-64,2.2472890033537738e-57,1.941373286686843e-27,7.623196757833635e-52,5.514687058157246e-47,4.6611005638483924e-64,2.6619090706539153e-60,2.5941958180196667e-59,5.412810444615187e-74,2.9113123570382735e-46,1.7899405561854413e-24,2.934013686591751e-66,5.26506361407706e-59,7.99081654961503e-55,7.011857254800203e-38,1.982793076427028e-61,4.3858617761224615e-58,2.184736856873338e-62,2.721990786921932e-58,1.4193940801968687e-61,5.504821361130469e-62,5.472792567906435e-62,3.594073872032163e-59,2.1996897405229097e-60,7.933706931904313e-59
7.655379871964405e-15,0.06110160769972222,3.76,0.0,0.8485088910142429,0.9999999999999999,3.35252025730779e-32,3.3836025739218445e-19,9.088557187728078e-26,4.0647926242142657e-14,4.064792624214351e-14,2.5547771926475564e-32,3.605102616570791e-24,6.4478066955027275e-31,1.0665154502739707e-36,2.4447814076627436e-34,1.8256453031974603e-16,1.3007166285664157e-27,1.0842448250055017e-16,7.253605834576284e-24,3.5472661230802785e-23,7.413996273474833e-17,8.606890709511027e-32,3.2843280951292646e-29,5.568315425270404e-38,1.510514694904127e-27,8.729686080120884e-39,6.197856577019835e-43,2.136175065171524e-23,6.306295514750626e-39,9.744559807644088e-52,3.704191263803458e-26,3.877451498754882e-39,1.5654458404331566e-45,2.2783470599270994e-48,3.2862438118393927e-53,9.45697160119581e-19,5.381080533844207e-26,9.456972038873672e-19,1.5721918082521524e-34,4.266807962526918e-53,1.0015134586054064e-34,3.0613373514814465e-22,2.75015683051207e-46,3.736835835771554e-61,8.661494862282956e-31,7.146133804511284e-40,2.8131961785166233e-45,7.922773783157634e-47,1.7777020002942274e-58,3.474231327466107e-51,2.8404609856434534e-34,2.070151796833131e-45,5.505867804637666e-46,3.414235007310656e-48,1.6924850730560648e-65,1.6303603373559105e-57,3.46153164470632e-70,1.0296802447192812e-22,5.862719656794858e-41,1.2286256553145923e-56,3.0905726271069966e-47,1.1749170657312981e-51,1.1935029327741318e-31,3.0613180136448416e-22,2.845431972023476e-45,3.383602550240839e-19,4.2198181747738643e-33,1.7276487342346988e-27,1.1448116691854508e-38,4.850043075401537e-37,6.784361320425018e-33,1.029671787228058e-22,5.458197264716833e-60,1.4664093913609037e-37,4.4011501853723974e-61,1.5384495472198814e-61,5.08057560205345e-46,2.0910369103917552e-63,3.6636477693377226e-56,7.847341060339172e-27,6.186729650841623e-51,4.48415675259961e-46,1.5214316783953043e-62,4.339725329019902e-59,4.229191698094515e-58,1.765935471579994e-72,4.71925309360464e-45,3.605081978058769e-24,4.7908346968112e-65,8.583384373210734e-58,1.3010965268932016e-53,2.8342978746710952e-37,3.232453218150083e-60,7.150060558361534e-57,3.561417832584978e-61,4.4375313058600295e-57,2.3139701816398038e-60,8.974166400280032e-61,8.922138699858671e-61,5.859252080055957e-58,3.5860218561047848e-59,1.2933948978613373e-57
1.536429386890758e-14,0.06110160769972266,3.76,0.0,0.8485088910142018,0.9999999999999997,2.698398668577707e-31,6.79086675199705e-19,3.65446702801176e-25,8.158010371674523e-14,8.158010371674864e-14,1.0271620979494537e-31,7.235419119047749e-24,2.5926323936546296e-30,8.584234927930762e-36,1.9677559117272548e-33,3.664058061904253e-16,5.230125218548632e-27,2.1760709223127772e-16,1.548212126768137e-23,1.4263397237028051e-22,1.487983581541321e-16,3.460791961686347e-31,1.3206188459834798e-28,4.481861002624155e-37,3.0334298808177027e-27,3.510731641863287e-38,4.988580555835961e-42,8.58946222680058e-23,5.075853723893023e-38,1.5693311865898042e-50,1.4894385308454982e-25,1.566089647274652e-38,1.2652760308069745e-44,1.833811521092674e-47,5.3138144186437974e-52,1.8980074783049893e-18,2.163708709483785e-25,1.8980076542933237e-18,6.321745043546047e-34,6.871281960076211e-52,4.027026488712704e-34,6.14408680780049e-22,2.2180992161469325e-45,6.018065347316869e-60,3.4827484207126946e-30,5.751828010810691e-39,2.356502366939256e-44,6.390722642876015e-46,2.8134044323214395e-57,2.7962054452631944e-50,2.2882552418263906e-33,1.6696524122729005e-44,4.4406818202042266e-45,2.75850840047032e-47,2.735712432952003e-64,2.636193543227926e-56,5.595177989818097e-69,2.0665610471980272e-22,4.718828339542536e-40,1.978663289407911e-55,2.4965828891211747e-46,9.460315223026989e-51,4.799022793807972e-31,6.144009051549712e-22,2.295125416582726e-44,6.790866656776772e-19,1.696770328722787e-32,6.946735665216177e-27,9.227718914225866e-38,3.9035638525318255e-36,5.460394852939592e-32,2.0665270402389865e-22,8.815060136649323e-59,5.896334433181627e-37,7.107644186353508e-60,2.4881234525736678e-60,4.0976595049775665e-45,3.5372907848365635e-62,5.9167993425145724e-55,3.155381195151118e-26,5.000978913148254e-50,3.616158817053811e-45,4.916815699935723e-61,7.009125734781871e-58,6.830148697814147e-57,5.705734818524082e-71,7.599858321309875e-44,7.235335926922263e-24,7.761926487039686e-64,1.3862194667696034e-56,2.099973253642465e-52,1.139653130481189e-36,5.220420815603047e-59,1.1547363440948065e-55,5.750876984499372e-60,7.166622742217212e-56,3.7370667140173697e-59,1.4493038617040305e-59,1.4409618769797096e-59,9.462722525011562e-57,5.791345750432822e-58,2.088837610117236e-56
3.078212186279393e-14,0.06110160769972356,3.76,0.0,0.8485088910141195,0.9999999999999993,2.165292910520653e-30,1.3605395251723646e-18,1.465603249012977e-24,1.6344445866594242e-13,1.6344445866595607e-13,4.118556908015394e-31,1.449606353349593e-23,1.0397596872279056e-29,6.888293046947163e-35,1.5789731423999003e-32,7.340885702106398e-16,2.0975148276522314e-26,4.359720529913974e-16,3.472137316545613e-23,5.720257166519841e-22,2.9811506291405475e-16,1.3879316118756085e-30,5.296312047842534e-28,3.5964052843057795e-36,6.084847360925692e-27,1.408412197372064e-37,4.0030319674201434e-41,3.4447555118903923e-22,4.073050473105724e-37,2.519123692731798e-49,5.973310788584579e-25,6.336733495927867e-38,1.0237604512642347e-43,1.4715176071286089e-46,8.598616791293177e-51,3.8026277871729994e-18,8.677438814595787e-25,3.802628492964857e-18,2.5353273180291243e-33,1.1029028160340923e-50,1.615005639586238e-33,1.2309598217869607e-21,1.7816951752160167e-44,9.66034833801484e-59,1.3967374302285166e-29,4.615476076725249e-38,2.0335348798375396e-43,5.134530363661727e-45,4.475431664394998e-56,2.2435249560447453e-49,1.8393982710392534e-32,1.3411556038416842e-43,3.566997087650675e-44,2.230276174327165e-46,4.423584576780413e-63,4.2655367441053456e-55,9.047275267985744e-68,4.1403226419429733e-22,3.786561733575463e-39,3.1761913360084767e-54,2.0116952597618455e-45,7.597021325599998e-50,1.9246227764749036e-30,1.2309286383251337e-21,1.8438610509334917e-43,1.3605394869847751e-18,6.804807917904319e-32,2.785900441129685e-26,7.4259710496836636e-37,3.132086927626435e-35,4.381222832253402e-31,4.1401862607617887e-22,1.417013487871829e-57,2.3646671710190455e-36,1.1424606756304777e-58,4.01091267074074e-59,3.2914488583195644e-44,6.201319471839584e-61,9.511077021143378e-54,1.2654488817730629e-25,4.047262208124836e-49,2.9039309241084487e-44,1.5810529649662013e-59,1.1268436512409611e-56,1.0979241430195821e-55,1.8346363707733406e-69,1.219832159748874e-42,1.4495728246956515e-23,1.2556529283100787e-62,2.228309232310137e-55,3.3745955310826756e-51,4.570474025617924e-36,8.39167474492499e-58,1.8562038355150377e-54,9.241724169572068e-59,1.152012977245389e-54,6.007221385140614e-58,2.329628729975839e-58,2.316413741542765e-58,1.5211097555775604e-55,9.309132635273828e-57,3.357749945793529e-55
