Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264),C3H5(2345),C3H5(2725),CH3O2(159),S(1527),S(3172),S(6223),S(6172),C3H3(5584),C3H3(6828),CHO2(178),C2H3F(124),C3H5(2350),S(2293),S(2934),C2H3F(191),S(5865),S(2726),S(9381),S(2727),S(5643),S(5886),S(2074),S(5582),S(10105)
0.0,0.6231140286450969,3.76,0.0,0.6582802955550378,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2567453241889203e-20,0.6231140286450969,3.76,0.0,0.6582802955550374,1.0,4.457167261206072e-46,1.4369381436949044e-18,6.056388315778056e-34,3.535502543364125e-16,3.535502543364125e-16,2.4004850646852892e-35,1.7713403587474665e-22,1.124184394760199e-33,9.174760157907971e-46,1.0915281753280877e-45,1.511626178884097e-19,1.757014881380151e-35,6.858640132720287e-20,2.2010807234539145e-24,5.677936556819126e-31,8.25784176408158e-20,2.1804317271942614e-35,8.533730402303423e-35,1.0736309339617598e-46,6.211965287624447e-26,1.7434827030232478e-39,6.5714855592964995e-52,2.2205681817253094e-34,1.6825347755387952e-49,3.636065930377159e-68,2.91525374943774e-35,9.506826020841637e-40,1.1945047679952955e-52,7.621960769168589e-58,3.800945137517507e-67,3.68304726995367e-19,4.9095803638745885e-34,3.683047269953607e-19,4.2034299967239495e-38,5.995806654959262e-66,1.1036550011782634e-37,5.1468070671029995e-21,3.7294020995262265e-51,9.095580932129938e-70,1.3639988547781125e-35,5.569623359010175e-50,1.2054079057436207e-51,1.094082685471488e-53,2.718210891975194e-66,5.0585725592799205e-61,1.2691107125572726e-45,7.48301669126723e-52,2.2137861855563572e-52,1.6040604094144983e-54,1.5590816591480675e-72,3.0655303104640834e-71,8.693562662315372e-78,2.413054257269027e-21,1.7208620951270202e-50,1.232287110452917e-69,1.175909253085074e-55,2.7527714533653613e-59,2.7982012658159845e-35,5.146807067089101e-21,1.0303584235598338e-51,1.4369381436948971e-18,2.5343748915875866e-36,1.3077514300721523e-32,6.711339190361333e-51,1.7944741960582225e-49,3.0445185722345846e-44,2.4130542572629035e-21,7.630737292176259e-69,2.2130881910638905e-39,1.9050272880600545e-69,3.214781335914315e-70,5.589093686580981e-52,3.160279215890437e-73,4.99137399169122e-68,7.675840179658886e-35,2.1008198270127823e-57,3.0684424325929625e-52,3.568023218976026e-77,9.332249090982167e-68,8.54696695171657e-67,1.893493257614214e-83,1.6790509964616267e-61,1.771340358701327e-22,8.484647577466461e-75,1.918402603198317e-72,4.932077931852975e-66,2.572989950768763e-38,4.962136788110587e-70,9.223397772335464e-69,4.5508680872446045e-71,1.564845987445962e-68,2.985828752027583e-70,2.1132734786840937e-70,1.0816912740260276e-70,8.885903908702764e-67,9.055111730970844e-68
6.318886907728977e-20,0.6231140286450969,3.76,0.0,0.6582802955550368,1.0,5.2915489726321255e-45,4.023426802345754e-18,3.658058542823819e-33,9.899407121419545e-16,9.899407121419545e-16,1.4498929789634106e-34,4.95975300452935e-22,6.790073744348322e-33,1.089227528057146e-44,1.2958622497502866e-44,4.2325533008755927e-19,1.0612369883536358e-34,1.9204192371528325e-19,6.163027845045736e-24,3.429473680306296e-30,2.3121956939338947e-19,1.3169807632274557e-34,5.154373163025171e-34,1.2746146447988823e-45,1.7393502809813433e-25,1.0530635526083939e-38,7.801667655877153e-51,1.3412231817502257e-33,1.9975052855126513e-48,8.133734043412497e-67,1.7608132646536397e-34,5.7421229166661345e-39,1.418116060581542e-51,9.048791825125217e-57,8.50256223486675e-66,1.0312532355870226e-18,2.9653865397802346e-33,1.0312532355869852e-18,2.5388717180695793e-37,1.3412379654192019e-64,6.66607620696677e-37,1.4411059787891045e-20,5.635865870309966e-50,2.0346450732426597e-68,8.238553082843869e-35,6.640381506078667e-49,1.8216122015153186e-50,1.653377754363924e-52,3.2275258181137895e-65,6.00553734246494e-60,1.5066882395906012e-44,1.1308334823843546e-50,3.34547368361193e-51,1.904340518061748e-53,3.487603308255606e-71,6.857468683190252e-70,1.94471519414281e-76,6.7565519203500135e-21,2.1127913174283418e-49,2.7565769918650996e-68,1.777034064351607e-54,3.268090273275881e-58,1.690113564552173e-34,1.44110597878071e-20,1.5570776188194685e-50,4.023426802345709e-18,1.5307624345189884e-35,7.898818637596258e-32,7.967701887531588e-50,2.130399765524248e-48,3.614452448775377e-43,6.756551920313025e-21,2.3992258965387473e-67,1.3367052673995542e-38,5.989710597740584e-68,1.0107786890456976e-68,8.446238379050062e-51,9.936423851247616e-72,1.5693678449663361e-66,4.63620746850889e-34,2.4940932988907464e-56,4.6370302038082075e-51,2.1706026297951004e-75,2.9342084302261774e-66,2.6873031610878376e-65,1.0915799157610037e-81,3.755969916826303e-60,4.959753004250669e-22,2.6677089787467256e-73,6.0317647325616054e-71,1.3909233230834928e-64,1.5540859302256768e-37,1.5601752003711292e-68,2.8999838339815402e-67,1.4308657404297103e-69,4.920126159884394e-67,9.387923328970792e-69,6.64446994049299e-69,3.401010436259807e-69,2.7938703633786055e-65,2.847072009944033e-66
1.444317007480909e-19,0.6231140286450971,3.76,0.0,0.6582802955550354,1.0,5.195274159952406e-44,9.196404119647536e-18,1.7611977223690678e-32,2.2627216277530357e-15,2.2627216277530357e-15,6.980610566507266e-34,1.13365782962389e-21,3.2691282199577425e-32,1.069410047001247e-43,1.2722852411538962e-43,9.674407544859067e-19,5.109399275053841e-34,4.389529684879049e-19,1.408692936572848e-23,1.6511439507043184e-29,5.285018728949578e-19,6.3406954627126944e-34,2.4816088010406894e-33,1.2514242166242188e-44,3.9756577872051337e-25,5.070047700126139e-38,7.659723567544065e-50,6.45741227227928e-33,1.9611625343463002e-47,1.6070887817485888e-65,8.477557903263619e-34,2.7645850069722444e-38,1.3923147576273048e-50,8.884157472444528e-56,1.679963017198791e-64,2.357150252770314e-18,1.427705969814706e-32,2.3571502527701337e-18,1.2223574431184141e-36,2.650060201444203e-63,3.209428743201481e-36,3.293956522947774e-20,6.062805058013922e-49,4.0201158019194194e-67,3.966508669670854e-34,6.531889996248186e-48,1.9596072041426036e-49,1.778628340420132e-51,3.169790536263155e-64,5.896272175354243e-59,1.4792754516488369e-43,1.2164990574661075e-49,3.598907926132388e-50,1.8696928132264658e-52,6.890916425716896e-70,1.354920253520031e-68,3.842429514431775e-75,1.5443547246498935e-20,2.1049299081623545e-48,5.446531649885825e-67,1.9116521581493617e-53,3.2086304179426156e-57,8.137169280982661e-34,3.293956522907358e-20,1.6750330382233476e-49,9.196404119647322e-18,7.369962184737963e-35,3.802941158590502e-31,7.822736962562459e-49,2.0916391228136332e-47,3.5486908472339114e-42,1.5443547246320856e-20,5.35254099434114e-66,6.435660459568204e-38,1.336271484858956e-66,2.2549916568794997e-67,9.08607782401822e-50,2.2167616672900443e-70,3.5011733312902894e-65,2.232134324237189e-33,2.4487155911716053e-55,4.988305492693855e-50,9.799137833080997e-74,6.54605759741465e-65,5.995225524018252e-64,4.8956808533711654e-80,7.421163619640365e-59,1.1336578294897174e-21,5.951512105322312e-72,1.3456535328867128e-69,3.025560844987816e-63,7.4822547762557275e-37,3.480665046906209e-67,6.469704405700364e-66,3.1921827546349165e-68,1.097653080691791e-65,2.094394051793569e-67,1.4823446924211058e-67,7.587467194518201e-68,6.232971090191957e-64,6.351661036654265e-65
3.0691736408969317e-19,0.6231140286450975,3.76,0.0,0.6582802955550329,1.0,4.5951611601244e-43,1.954235875425144e-17,7.691613162493164e-32,4.808283458975188e-15,4.808283458975189e-15,3.0486160304995116e-33,2.409022888024113e-21,1.4277141813403725e-31,9.458810762539524e-43,1.1253218876082399e-42,2.0558116032827947e-18,2.2314088993531653e-33,9.32775058018992e-19,2.993476151709038e-23,7.210979426967232e-29,1.1230664798837784e-18,2.7691482935695287e-33,1.0837837611450833e-32,1.1068705476738381e-43,8.448272806796692e-25,2.214223032564859e-37,6.774938751430239e-49,2.8201215906072934e-32,1.7346260521438657e-46,2.8597286203811844e-64,3.702372261681223e-33,1.2073669047596818e-37,1.2314866357192605e-49,7.857936674375445e-55,2.9894044290839655e-63,5.008944287136819e-18,6.235167062120482e-32,5.00894428713603e-18,5.338356096567568e-36,4.7156405352366925e-62,1.4016418512639882e-35,6.999657611269354e-20,5.572761556306568e-48,7.153581290501591e-66,1.732278545543511e-33,5.782277153600495e-47,1.801216603776397e-48,1.6348658759346176e-50,2.805398767945905e-63,5.215185966244246e-58,1.3084023909114132e-42,1.1181722181430685e-48,3.3080164213468676e-49,1.6537221197149937e-51,1.2262017599397381e-68,2.4110081978546405e-67,6.83739803257767e-74,3.281753789874456e-20,1.8739308740340774e-47,9.691812169926674e-66,1.757137686464398e-52,2.8379972825468576e-56,3.553715607575737e-33,6.999657611092845e-20,1.5396439411351542e-48,1.954235875425051e-17,3.2186561123175266e-34,1.6608443161303396e-30,6.919122256477226e-48,1.8500311169333397e-46,3.138776866049257e-41,3.2817537897966846e-20,1.0024716906698208e-64,2.810622002604007e-37,2.5026886025656786e-65,4.2233498251719346e-66,8.351670913145688e-49,4.1517498945706355e-69,6.557310167052973e-64,9.748317028088089e-33,2.1658612105445372e-54,4.5851121557127974e-49,3.699967993083281e-72,1.2260041414330367e-63,1.1228393901918017e-62,1.841995278212227e-78,1.3205564146521335e-57,2.409022887438145e-21,1.114652397381396e-70,2.520260147294782e-68,5.608879018179962e-62,3.267697236877167e-36,6.518900420176738e-66,1.2117040335725836e-64,5.978605012031638e-67,2.055782740507403e-64,3.922568267907335e-66,2.7762675541699706e-66,1.42104863361207e-66,1.1673665035986232e-62,1.1895958168511424e-63
6.318886907728977e-19,0.6231140286450979,3.76,0.0,0.6582802955550278,1.0,3.862509834728484e-42,4.023426802346062e-17,3.2110970863350566e-31,9.899407121419453e-15,9.899407121419458e-15,1.2727371798104157e-32,4.959753005057811e-21,5.960425660972856e-31,7.950700383430522e-42,9.459008522290868e-42,4.232553300877346e-18,9.315692901080927e-33,1.9204192370245416e-18,6.163054225979981e-23,3.010441962251751e-28,2.3121956938041565e-18,1.1560649017879224e-32,4.524583859774213e-32,9.3039138927019e-43,1.7393502874555706e-24,9.243945288955765e-37,5.694744240497575e-48,1.1773452497852946e-31,1.4580577158427613e-45,4.823350303927693e-63,1.5456675378576538e-32,5.040519157255017e-37,1.0351387200601803e-48,6.605069250814345e-54,5.042067510381866e-62,1.0312532355869517e-17,2.6030595089260885e-31,1.0312532355866222e-17,2.2286585849156156e-35,7.953617011610083e-61,5.851578814155499e-35,1.4411059787929476e-19,4.767614524844708e-47,1.2065560486260744e-64,7.231921927811325e-33,4.862292924098349e-46,1.5409787171990389e-47,1.3986621774078582e-49,2.3610589712418265e-62,4.383678043661421e-57,1.0997910571315559e-41,9.566198741922941e-48,2.830077694169402e-48,1.3900530858755729e-50,2.0681684935838845e-67,4.066517725463347e-66,1.1532271197061687e-72,6.7565519203027e-20,1.5799668159943832e-46,1.634665814799691e-64,1.503268292512118e-51,2.385507742470013e-55,1.483606311126129e-32,1.4411059787192587e-19,1.317197805385723e-47,4.023426802345672e-17,1.3437255675208958e-33,6.93369808169091e-30,5.815939169616556e-47,1.555062626290843e-45,2.638331080257375e-40,6.756551919978018e-20,1.73152054904241e-63,1.1733793588596433e-36,4.3227721843490984e-64,7.2947866072073256e-65,7.145030298250161e-48,7.171117637910821e-68,1.1326122625385623e-62,4.069730463184318e-32,1.820536852029891e-53,3.9226599799642177e-48,1.283690777259793e-70,2.1176172688361787e-62,1.939425816084277e-61,6.37846726484827e-77,2.2273114087541696e-56,4.959753002611511e-21,1.9252849834797773e-69,4.353122682692811e-67,9.640229279097635e-61,1.3641992713583528e-35,1.125977933976075e-64,2.0929173884526237e-63,1.0326553378381245e-65,3.5508534471356585e-63,6.775261208898791e-65,4.7953117892255686e-65,2.454508125436534e-65,2.0163353315341656e-61,2.0547309416102586e-62
1.2818313441393068e-18,0.6231140286450992,3.76,0.0,0.6582802955550175,1.0,3.166718926198176e-41,8.161808656188442e-17,1.3118379358595267e-30,2.0081654446307826e-14,2.0081654446307845e-14,5.199546656931792e-32,1.0061213240058217e-20,2.435028366387674e-30,6.51846453592915e-41,7.755066675203586e-41,8.586036696069542e-18,3.80576451366751e-32,3.895707594809142e-18,1.2502256950516117e-22,1.229863769806142e-27,4.690454121415855e-18,4.7229023386217945e-32,1.8484401404609506e-31,7.627910727983914e-42,3.5283963124377326e-24,3.77645327196163e-36,4.66889538906456e-47,4.809839502943357e-31,1.1954038075117953e-44,7.922367354308175e-62,6.314556230634258e-32,2.0592165442648125e-36,8.486692633196023e-48,5.415234832963255e-53,8.281611026821036e-61,2.091970849333366e-17,1.0634347451365062e-30,2.0919708493320195e-17,9.10479751561769e-35,1.3063839813034308e-59,2.3905608769812334e-34,2.9233864141317577e-19,3.9419557632351455e-46,1.9817719494869667e-63,2.954476079215431e-32,3.987173736281345e-45,1.2741110009211902e-46,1.1564409369214326e-48,1.940580252398135e-61,3.59400411169449e-56,9.016751722888096e-41,7.909518111973744e-47,2.339962965865505e-47,1.1396495033075653e-49,3.396972961125787e-66,6.679267573138155e-65,1.894179020184873e-71,1.3706148181075654e-19,1.2972683366745841e-45,2.6849436190414373e-63,1.2429313072373729e-50,1.9557834134751536e-54,6.061015869727569e-32,2.9233864138307136e-19,1.089084617257183e-46,8.161808656186849e-17,5.489557390184157e-33,2.8326419071264267e-29,4.768258323132398e-46,1.2749342935847886e-44,2.163063218957862e-39,1.3706148179749226e-19,2.8769472910202986e-62,4.7936375450127296e-36,7.1823506305674e-63,1.2120397240405499e-63,5.907649220553503e-47,1.191492639494258e-66,1.8818522137487565e-61,1.6626176862148697e-31,1.4925861061860719e-52,3.243331124193978e-47,4.2752262497705436e-69,3.5184527645087244e-61,3.222384999870631e-60,2.1221944063034876e-75,3.65836567333115e-55,1.0061213230064278e-20,3.1988903317830377e-68,7.232778519115246e-66,1.5977972516953517e-59,5.573199148397562e-35,1.8708291777086033e-63,3.4774135430348786e-62,1.7157722865445324e-64,5.899796109824867e-62,1.1257197830938908e-63,7.967482252362576e-64,4.078201963043299e-64,3.35017131057037e-60,3.413966189212662e-61
2.581716650872125e-18,0.6231140286451016,3.76,0.0,0.6582802955549971,1.0,2.5644910902554977e-40,1.6438572363875383e-16,5.3026586862230986e-30,4.0446149096083933e-14,4.0446149096083996e-14,2.1017398870677253e-31,2.026413371379106e-20,9.842773984316627e-30,5.2788215839173346e-40,6.280254056296714e-40,1.7293003486466314e-17,1.5383508653649703e-31,7.846284309472347e-18,2.518084870356532e-22,4.971305995239791e-27,9.446970975723032e-18,1.9090726380870564e-31,7.471690589569737e-31,6.177279874374797e-41,7.106488408123502e-24,1.526502791943166e-35,3.7809925333265865e-46,1.944214029220853e-30,9.68068996141743e-44,1.2842498867947583e-60,2.552444589156407e-31,8.32368251584101e-36,6.872743729431897e-47,4.385397566643462e-52,1.3424848355389788e-59,4.213406076825693e-17,4.298573268428147e-30,4.213406076820253e-17,3.6803047313025227e-34,2.1177047257901484e-58,9.663029275148925e-34,5.887947284836517e-19,3.205532911832514e-45,3.212537784149656e-62,1.1942464691484974e-31,3.2292247195985155e-44,1.0360859078630276e-45,9.403985661163403e-48,1.5793738658024853e-60,2.9105177118419396e-55,7.30199959683919e-40,6.4318887707149435e-46,1.9028190227035565e-46,9.229177152465912e-49,5.506639555788565e-65,1.0827380558998163e-63,3.07054586004557e-70,2.7605340702287447e-19,1.0513258872219355e-44,4.352409662794493e-62,1.0107311175062722e-49,1.5838441799525708e-53,2.4499595218164473e-31,5.887947283619652e-19,8.856255238423182e-46,1.6438572363868948e-16,2.218966867587766e-32,1.1449991487126202e-28,3.8614592278868106e-45,1.0324748452413181e-43,1.751704672856844e-38,2.76053406969258e-19,4.690150193930222e-61,1.9376649392140373e-35,1.1709044239129922e-61,1.9759307150807033e-62,4.804002232157278e-46,1.9424360627907492e-65,3.067894063032301e-60,6.720566517126732e-31,1.2087349310515827e-51,2.637422999732666e-46,1.3955050527824129e-67,5.735966020032402e-60,5.253300837378597e-59,6.923733416556824e-74,5.930368394006905e-54,2.0264133673393964e-20,5.2150003488600604e-67,1.179125469093312e-64,2.601598580250768e-58,2.252776201660108e-34,3.049923732513554e-62,5.6690617286613914e-61,2.797141859306163e-63,9.618156690353532e-61,1.835207363364998e-62,1.2989006942467022e-62,6.648498492473009e-63,5.461624777051027e-59,5.565626524514829e-60
5.181487264337761e-18,0.6231140286451063,3.76,0.0,0.6582802955549562,1.0,2.0641255368702513e-39,3.2992099779257984e-16,2.132175739520467e-29,8.117513839563363e-14,8.11751383956339e-14,8.451003605698644e-31,4.066997467618489e-20,3.957736128870817e-29,4.248854857742311e-39,5.0548948327087796e-39,3.470693706730939e-17,6.185641170513072e-31,1.574743773517477e-17,5.053877742557116e-22,1.9989402755928916e-26,1.8960004680672492e-17,7.676297114523861e-31,3.004333925724151e-30,4.972012253959523e-40,1.426267278238085e-23,6.138000581321494e-35,3.0432717264771636e-45,7.817599097144153e-30,7.79186148004225e-43,2.06824484780224e-59,1.0263267429722165e-30,3.3469161335676557e-35,5.531782072991464e-46,3.5297494817401655e-51,2.1620304417996004e-58,8.456276531808344e-17,1.7284374054222732e-29,8.456276531786469e-17,1.4798343477398161e-33,3.4104981634135855e-57,3.885461566032396e-33,1.18170690263546e-18,2.5853784024821204e-44,5.1736932372523674e-61,4.802012526945186e-31,2.5992840404524234e-43,8.35640824427686e-45,7.584655149104313e-47,1.283840865367039e-59,2.3426378659700212e-54,5.877284980360273e-39,5.1875513047708376e-45,1.534692476136394e-45,7.428444693526742e-48,8.868273245328789e-64,1.7437162580628824e-62,4.945019585194579e-69,5.540372574337451e-19,8.465038553810457e-44,7.009422724682564e-61,8.15191295653525e-49,1.2748156913652465e-52,9.851179483818796e-31,1.1817069021461643e-18,7.142890694824068e-45,3.299209977923211e-16,8.922368180894929e-32,4.603991216509988e-28,3.108038345874764e-44,8.310255777539231e-43,1.4099243106574913e-37,5.540372572181556e-19,7.574605109191825e-60,7.791265497770601e-35,1.8910137656762775e-60,3.191133582644544e-61,3.8746018335517426e-45,3.13704699851368e-64,4.9546571054178895e-59,2.7023102382095538e-30,9.72895037081709e-51,2.127177185877328e-45,4.510031188426448e-66,9.263600451185918e-59,8.484094883382172e-58,2.237069522307896e-72,9.550675436368601e-53,4.066997451374994e-20,8.42224514534469e-66,1.9042908615621195e-63,4.1989905635315924e-57,9.058314010817528e-34,4.925634974589377e-61,9.15554983350047e-60,4.5173915538883975e-62,1.553334874530659e-59,2.9638647936600267e-61,2.0977280850718777e-61,1.0737342849201826e-61,8.820538607686987e-58,8.988501689170912e-59
1.0381028491269034e-17,0.6231140286451157,3.76,0.0,0.6582802955548742,1.0,1.6563307520610163e-38,6.60991546100581e-16,8.550978384305195e-29,1.6263311699472286e-13,1.626331169947239e-13,3.389230392313372e-30,8.148165666068507e-20,1.5872292016475292e-28,3.4094384395453536e-38,4.056234754598423e-38,6.953480422919362e-17,2.4807187689466476e-30,3.1549744572083664e-17,1.0125761573320978e-21,8.016644549047414e-26,3.798607207591183e-17,3.0785384743782787e-30,1.204872277415002e-29,3.989726707182432e-39,2.8575042262438943e-23,2.461612756240865e-34,2.442033896706775e-44,3.1352068848397015e-29,6.252478120390687e-42,3.319991016103849e-58,4.1160292730206044e-30,1.342263066316229e-34,4.4389067410959824e-45,2.832401661858258e-50,3.470537678741067e-57,1.6942017441765624e-16,6.931807058262429e-29,1.6942017441677905e-16,5.9347976213748156e-33,5.474604824288013e-56,1.5582438647158752e-32,2.367531250982501e-18,2.0767165240327483e-43,8.304924001093336e-60,1.9258217980568898e-30,2.085810929547735e-42,6.712321630230987e-44,6.092407536161109e-46,1.0504603949302156e-58,1.8798193567301355e-53,4.716151772776913e-38,4.166923319161058e-44,1.2327484569464054e-44,5.9608590409840685e-47,1.4235542588128673e-62,2.7990507626389416e-61,7.937852031496688e-68,1.1100049582020263e-18,6.793880746265486e-43,1.1251679485432843e-59,6.548060339058177e-48,1.0229594741557218e-51,3.950763577565424e-30,2.3675312490202067e-18,5.73755826251878e-44,6.609915460995431e-16,3.578268703235644e-31,1.8464063951001334e-27,2.49400506710123e-43,6.668456884155076e-42,1.1313754574750353e-36,1.1100049573374157e-18,1.217595654594789e-58,3.1246459365027416e-34,3.039749377966528e-59,5.129654675835783e-60,3.1122908967869637e-44,5.042735761764524e-63,7.964466586972566e-58,1.0837472691396649e-29,7.806870077173664e-50,1.7086643794985822e-44,1.4503584395884736e-64,1.48909671948738e-57,1.3637934733464463e-56,7.1931762291692264e-71,1.5330949105366065e-51,8.148165600924825e-20,1.353853126077408e-64,3.0610921981876797e-62,6.747665082904887e-56,3.632789049013266e-33,7.917814362377431e-60,1.4717278955643625e-58,7.261574921684677e-61,2.4969404435936062e-58,4.7643260919684615e-60,3.3720366120009516e-60,1.725996511373019e-60,1.4178758211018224e-56,1.4448753899564075e-57
