Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21)
0.0,0.2185753648203121,3.76,0.0,0.7908466145703976,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.210413339101819e-19,0.21857536482031212,3.76,0.0,0.7908466145703973,1.0,3.449826303928806e-43,1.1964416524939695e-32,1.8219033382653226e-32,2.715694450151524e-16,2.715694450151524e-16,3.088277542317675e-36,2.03887796625828e-34,2.0109865213890917e-34,1.0795098034692612e-44,1.0547776682851657e-46,2.1584038994130923e-19,2.7161610873885605e-34,1.1287584625778322e-19,2.990869772172129e-25,1.915249397117832e-30,1.0296484276654311e-19,2.369535437464219e-36,1.4951879704284684e-34,8.456532340429761e-46,4.365869614267541e-28,3.715202366880651e-52,1.1252977435046016e-52,1.4142861662391037e-31,4.6586147641246324e-48,1.539405687028815e-66,1.908816157345375e-33,3.2179837305320757e-51,3.5484554106161088e-62,6.269791409797796e-57,1.6360262762958274e-74,3.9613979009069564e-20,1.6160488315181624e-32,3.961397900907476e-20,7.944695389874158e-39,1.3275688277729861e-64,8.425159080739862e-51,1.1770399950780794e-33,2.87073892435423e-57,2.0499581078628024e-70,1.052097784605586e-35,1.492153884708034e-49,9.947930954945364e-61,4.995776527692432e-63,5.013956841616834e-67,4.5365880341849867e-60,3.072715834827332e-59,2.306863276371573e-81,3.832920181931489e-83,1.4220016615970549e-64,2.2722973370236965e-83,1.0705016628254425e-78,2.0294791969383006e-88,2.6887759924344857e-35,2.270716054606629e-50,2.220498596075921e-68
1.4589157349485093e-18,0.21857536482031215,3.76,0.0,0.790846614570397,1.0,4.0956337880910705e-42,7.226507581061436e-32,1.1004296163316135e-31,7.603944460424265e-16,7.603944460424265e-16,1.8653196275744213e-35,1.2314823609936852e-33,1.2146358588826685e-33,1.2815940386805259e-43,1.2522320489853125e-45,6.043530918377374e-19,1.6405612967873607e-33,3.1605236951817147e-19,8.37447669049689e-25,1.1568106358486239e-29,2.8830155974331565e-19,1.4311994042254766e-35,9.030935341405158e-34,1.0039595194283758e-44,1.2224435266333555e-27,4.410688249849822e-51,1.3359534811749556e-51,8.542288443609763e-31,5.530707447924648e-47,3.443588945194417e-65,1.1529249590265633e-32,3.8203902848170535e-50,7.937752827915985e-61,7.443496361655486e-56,6.75110824804518e-73,1.1091914122533858e-19,9.760934942365508e-32,1.1091914122537002e-19,4.79859601582374e-38,2.969718358486983e-63,1.0011100057345723e-49,7.109321570268594e-33,3.408141251214788e-56,4.5856742891665715e-69,6.354670618828144e-35,1.7714850918995852e-48,2.225312362866545e-59,1.117535226121355e-61,5.977978104002421e-66,5.3858373108044575e-59,6.873542413884669e-58,9.519335901997832e-80,1.5816652452306184e-81,3.1809608368697184e-63,9.376698585379422e-82,4.417455087543575e-77,8.374702731438288e-87,1.6240206994915428e-34,2.6957941000115396e-49,4.967166539469212e-67
3.334664537025164e-18,0.21857536482031217,3.76,0.0,0.790846614570396,1.0,4.021117540065111e-41,3.4792523254492526e-31,5.298094907965943e-31,1.7380444480969736e-15,1.7380444480969736e-15,8.980710973277985e-35,5.929058166484343e-33,5.847948803654331e-33,1.2582766268473711e-42,1.2294488538590472e-44,1.381378495638879e-18,7.898596442195982e-33,7.224054160244623e-19,1.914185584080612e-24,5.569545246660462e-29,6.589749936848404e-19,6.890609052101937e-35,4.348006618031796e-33,9.856934095154121e-44,2.7941567956003665e-27,4.330439878490854e-50,1.311647050096365e-50,4.112744170711683e-30,5.43008136892692e-46,6.80395145934008e-64,5.550837385409709e-32,3.750881836089114e-49,1.5683661972839498e-59,7.308068867085298e-55,2.6706712872729743e-71,2.535294656576517e-19,4.69947000204853e-31,2.5352946565780324e-19,2.310317419875264e-37,5.867663007970523e-62,9.832792117906771e-49,3.4228323056825497e-32,3.346133290901019e-55,9.06051964391537e-68,3.059500357348647e-34,1.7392545679357292e-47,4.3968422316853506e-58,2.2080612859488715e-60,5.923033848909643e-65,5.287847002162306e-58,1.3580961518074647e-56,3.765754616435278e-78,6.256910419179002e-80,6.285042575663976e-62,3.709328712412201e-80,1.747501299530079e-75,3.312949117096169e-85,7.818960586916187e-34,2.6467466331953923e-48,9.814284042801608e-66
7.086162141178474e-18,0.21857536482031223,3.76,0.0,0.790846614570394,1.0,3.556632926729141e-40,1.5194808986640223e-30,2.313817239897026e-30,3.693344452206062e-15,3.693344452206062e-15,3.922112354968906e-34,2.5893760924401225e-32,2.5539528816008265e-32,1.1129314267484415e-41,1.0874335926726338e-43,2.9354293032743055e-18,3.4495245810558543e-32,1.535111508979101e-18,4.067727539606327e-24,2.432366734176181e-28,1.4003218615198082e-18,3.0093100055339204e-34,1.8988887224708244e-32,8.718346579902765e-43,5.937583887749888e-27,3.830225031433088e-49,1.1601369622049603e-49,1.7961434303883124e-29,4.8028454769347534e-45,1.210726808102638e-62,2.424196519672964e-31,3.317612506369189e-48,2.790823851279404e-58,6.463904151477607e-54,9.53143612560309e-70,5.387501145213785e-19,2.052382016021572e-30,5.387501145220405e-19,1.0089763150259811e-36,1.04411927143496e-60,8.698516199299867e-48,1.4948407937445045e-31,2.9596170028543193e-54,1.6122710607206131e-66,1.3361641861552143e-33,1.5383509688106896e-46,7.823945828427111e-57,3.929127081816241e-59,5.334596440250976e-64,4.677040777702824e-57,2.4166595389896004e-55,1.3439710741347653e-76,2.23304688524927e-78,1.118389745398436e-60,1.3238330697539979e-78,6.236707982300322e-74,1.1823680077119088e-83,3.414745511339056e-33,2.341017423543651e-47,1.7463994078842114e-64
1.458915734948509e-17,0.2185753648203124,3.76,0.0,0.7908466145703901,1.0,2.989564278544175e-39,6.34353364149315e-30,9.659731502183337e-30,7.603944460424221e-15,7.603944460424221e-15,1.6374046415397474e-33,1.0810140654730362e-31,1.0662250531335082e-31,9.35485923036394e-41,9.1405346499937e-43,6.0435309186777265e-18,1.4401086085985576e-31,3.1605236946566064e-18,8.375075952513168e-24,1.0154652302047557e-27,2.8830155969974172e-18,1.2563276889023878e-33,7.92748661945176e-32,7.328295618457395e-42,1.2224440288913009e-26,3.219534926582438e-48,9.751650207757648e-49,7.498545246781585e-29,4.0370810162331606e-44,2.042067723006814e-61,1.0120543264844223e-30,2.788653212304462e-47,4.7071323405695423e-57,5.433300918401408e-53,3.220456844506264e-68,1.109191412245234e-18,8.568290904650848e-30,1.1091914122479978e-18,4.212277500299414e-36,1.7610597291063995e-59,7.312230790795282e-47,6.240666053862067e-31,2.487736422555076e-53,2.719330799261702e-65,5.578222451333885e-33,1.2930766817211997e-45,1.3196228209992793e-55,6.627047115866371e-58,4.645110755081559e-63,3.931334565060884e-56,4.076049537648906e-54,4.540974506339089e-75,7.544960730602712e-77,1.886327772601437e-59,4.47293274073863e-77,2.1072426494866728e-72,3.994954268913572e-82,1.425589032041298e-32,1.9677662012591302e-46,2.9455578604535246e-63
2.959514776609833e-17,0.21857536482031273,3.76,0.0,0.7908466145703822,1.0,2.451025418102306e-38,2.59154047694274e-29,3.946315509102726e-29,1.5425144476860457e-14,1.5425144476860457e-14,6.689331744599862e-33,4.416299423759937e-31,4.355877240497126e-31,7.669678788967022e-40,7.493962678026534e-42,1.2259734150014851e-17,5.883313562278652e-31,6.411348065084526e-18,1.699083078574786e-23,4.1485068028875035e-27,5.848403067183331e-18,5.1325085386163874e-33,3.238636951670095e-31,6.008179502130562e-41,2.47981619587123e-26,2.6395692477582986e-47,7.994992019173623e-48,3.0634004019171857e-28,3.309842926810826e-43,3.3541023590706555e-60,4.134572148270236e-30,2.286306386042794e-46,7.731479002156414e-56,4.4545483585334345e-52,1.0588157500512755e-66,2.2500740076785533e-18,3.500426410972114e-29,2.250074007689845e-18,1.7208528041048512e-35,2.8925457819846725e-58,5.995248837449568e-46,2.5495157109034373e-30,2.0395966241339856e-52,4.466509006264126e-64,2.2788858831277029e-32,1.0601423878094176e-44,2.167484445540716e-54,1.0884944784616617e-56,4.0724683861397655e-62,3.223145562497696e-55,6.694923601082729e-53,1.4929730666954422e-73,2.480618013692782e-75,3.0982990298172484e-58,1.4706024226909014e-75,6.928152653703581e-71,1.3134535587798963e-80,5.823996357870909e-32,1.613293619037153e-45,4.838087630597348e-62
5.96071285993248e-17,0.2185753648203133,3.76,0.0,0.7908466145703665,1.0,1.984903931815479e-37,1.0475420959369808e-28,1.595163825892364e-28,3.106754450973263e-14,3.106754450973263e-14,2.703934449794526e-32,1.7851422656017987e-30,1.760715223298247e-30,6.21110472524593e-39,6.06880547180221e-41,2.4692140614810228e-17,2.378129408194561e-30,1.2912996802232006e-17,3.4226572481896317e-23,1.6768927781231128e-26,1.1779178004477941e-17,2.0746420129140481e-32,1.309108837299866e-30,4.865579528777144e-40,4.9945640768336905e-26,2.1375916104080742e-46,6.474551835812165e-47,1.2382754196690981e-27,2.680396614861506e-42,5.437144436479538e-59,1.671260167955733e-29,1.851510186723069e-45,1.2533060627029255e-54,3.6074087517551437e-51,3.434243498354604e-65,4.531839198487625e-18,1.4149283222973586e-28,4.531839198533268e-18,6.955962191068475e-35,4.688941000319329e-57,4.855203740154644e-45,1.0305550135814329e-29,1.651718229931652e-51,7.240403583292678e-63,9.211621092737785e-32,8.585307912613344e-44,3.513585687749106e-53,1.764496455034588e-55,3.725792743290353e-61,2.610186785239258e-54,1.0852759647822739e-51,4.842422352674205e-72,8.045825062812656e-74,5.022476238963272e-57,4.769863704161303e-74,2.2471296149372168e-69,4.260155131446681e-79,2.3541524485615128e-31,1.306486999864151e-44,7.84274853604795e-61
1.1963109026577775e-16,0.21857536482031453,3.76,0.0,0.7908466145703352,1.0,1.597623368852815e-36,4.212120695102332e-28,6.41408359375228e-28,6.235234457547572e-14,6.235234457547572e-14,1.0872398326016778e-31,7.178006104222132e-30,7.079758459371393e-30,4.999237424036165e-38,4.884702941469432e-40,4.955695355288547e-17,9.562353758274783e-30,2.591629426169353e-17,6.871498399286982e-23,6.742712104218482e-26,2.3640727866758286e-17,8.342044286682952e-32,5.2638690587681004e-30,3.916241693173235e-39,1.002407402687608e-25,1.7205196912959478e-45,5.211282614114184e-46,4.979050982305548e-27,2.1574163836801846e-41,8.756353414487675e-58,6.720063626666716e-29,1.4902564741042913e-44,2.0184107741718714e-53,2.9035563993508408e-50,1.1063872845306217e-63,9.095369579875501e-18,5.689364552982787e-28,9.09536958005903e-18,2.7969618166114212e-34,7.551393767745451e-56,3.907928556318157e-44,4.1438163840354224e-29,1.3294465334735887e-50,1.1660446791316653e-61,3.7039523196740805e-31,6.910202705988503e-43,5.6585214267751675e-52,2.841667141336202e-54,3.687510523334793e-60,2.1009053141802496e-53,1.7478034797773835e-50,1.5600508632289942e-70,2.5920697165240877e-72,8.088543138423015e-56,1.5366751275002794e-72,7.239426795662558e-68,1.3724657215116849e-77,9.465943480564897e-31,1.051574398817875e-43,1.2630504737229872e-59
2.396790135986836e-16,0.21857536482031703,3.76,0.0,0.7908466145702726,1.0,1.281992141569143e-35,1.6892487903703587e-27,2.5723344041654106e-27,1.2492194470695691e-13,1.2492194470695694e-13,4.360315463399598e-31,2.8787236037297194e-29,2.839299780560463e-29,4.0115731713636615e-37,3.919667002052215e-39,9.928657946297394e-17,3.8349315452815523e-29,5.1922889121282813e-17,1.377595194892052e-22,2.7041291255998914e-25,4.736382754208347e-17,3.345532865068225e-31,2.1110469254122915e-29,3.142537310546035e-38,2.0083150680287197e-25,1.3806086928606172e-44,4.181726140222219e-45,1.9968221222812362e-26,1.7311907766464792e-40,1.4055886204702939e-56,2.695046073284193e-28,1.1958369643188674e-43,3.2399962948608317e-52,2.3299211484284097e-49,3.5523775112108646e-62,1.822243034173018e-17,2.2816896486615533e-27,1.8222430342466216e-17,1.1217067960758584e-33,1.2121655650483648e-54,3.13588170553141e-43,1.6618557066200574e-28,1.0667971267804473e-49,1.8717599594610923e-60,1.4854505374625468e-30,5.5450024709711215e-42,9.083180045671871e-51,4.561505086225636e-53,4.064221401091418e-59,1.6858440570698353e-52,2.805611651283643e-49,5.00899614025901e-69,8.322592238572187e-71,1.2983903046796559e-54,4.933941551389306e-71,2.3244277412432065e-66,4.40669958860184e-76,3.796266729855416e-30,8.438222284498894e-43,2.027475733293948e-58
