Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344)
0.0,0.44201342695256307,3.76,0.0,0.899292512220105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0244685007844754e-19,0.44201342695256307,3.76,0.0,0.8992925122201046,1.0,4.0681134975625776e-45,4.8805202848570594e-33,1.5651418363315306e-33,2.6457510153512475e-16,2.6457510153512475e-16,3.051569453088669e-36,1.9491123771821427e-34,1.940882424297099e-34,1.0125028999966137e-45,2.613849150198761e-48,1.1126524305459417e-19,3.239403759734824e-35,5.523491051473547e-20,5.349603469252238e-25,3.970399877006412e-31,5.6030867499414e-20,1.7366608359733902e-36,4.920856029925092e-35,9.433630671954515e-47,1.4645976630900665e-27,4.560597190917908e-53,3.5925977133617687e-54,2.8693258546607972e-33,2.436199564597482e-49,2.2540079205741368e-69,1.0940946179071988e-34,3.409392831948006e-52,3.3177979649283024e-64,3.965603956516438e-58,9.789991256533872e-78,7.976543415534617e-20,1.4064588326147805e-33,7.976543415534315e-20,3.844323810716621e-50,3.849800886272313e-66,5.846731603247036e-54,5.033015765563914e-34,7.536966434567008e-69,3.2943846399298664e-71,4.8204127811509025e-36,1.30479287995765e-71,5.487522798070875e-83,8.133857239915962e-86,1.3958300190095057e-67,2.183724104460117e-61,3.9259603037120724e-61,4.135362577554498e-104,1.420949086653001e-106,1.7651795505495496e-66,3.2220877694485e-85,6.658357637620488e-82,2.0898112868829273e-90
2.868511802196531e-19,0.4420134269525631,3.76,0.0,0.8992925122201043,1.0,4.829664344387148e-44,2.9478342520534864e-32,9.453456691599677e-33,7.40810284298349e-16,7.40810284298349e-16,1.8431479488232136e-35,1.1772638791490724e-33,1.1722929842719508e-33,1.202043443052517e-44,3.103161712519447e-47,3.1154268055294694e-19,1.9565998708802634e-34,1.5465774944061786e-19,1.4978901743031927e-24,2.3981215257036614e-30,1.5688642899772205e-19,1.048943144930538e-35,2.972197042076215e-34,1.1199606333714007e-45,4.100873472416471e-27,5.414340985037536e-52,4.265132005405141e-53,1.733072816190162e-32,2.8922561230811644e-48,5.042125557955973e-68,6.608331492137101e-34,4.0476311700723526e-51,7.421781458950063e-63,4.707965017161793e-57,4.039867369439162e-76,2.2334321563496305e-19,8.495011348993059e-33,2.233432156349448e-19,5.809542142732751e-49,8.61185058832307e-65,8.83558080063475e-53,3.0399415224005332e-33,2.1255451260041714e-67,7.369406664316024e-70,2.9115293197993396e-35,4.1024775814680887e-70,3.2317474582168946e-81,4.684685316720918e-84,1.6583723733303743e-66,2.592517256724172e-60,8.782216162223892e-60,4.4389329379787966e-102,1.6162270503978035e-104,3.948636047382135e-65,1.3296035399032032e-83,2.747589966786216e-80,8.62366479001364e-89
6.556598405020643e-19,0.4420134269525632,3.76,0.0,0.8992925122201033,1.0,4.741793092997336e-43,1.4192552988361656e-31,4.551432460287939e-32,1.6932806498247968e-15,1.6932806498247968e-15,8.873963956946717e-35,5.6680188428115514e-33,5.6440860898035145e-33,1.1801733804792232e-43,3.0467025734710917e-46,7.120975555499854e-19,9.420186133315315e-34,3.5350342728981687e-19,3.4237546407093915e-24,1.1545922842211466e-29,3.5859755199178923e-19,5.050209711049726e-35,1.4309849335044063e-33,1.0995839911135976e-44,9.373425154126424e-27,5.3158320856707404e-51,4.1875318950107696e-52,8.343999584979213e-32,2.839634212467033e-47,9.962390431472252e-67,3.181627148840568e-33,3.9739882848679445e-50,1.466418959468282e-61,4.622307971670542e-56,1.5981313685168033e-74,5.104987785941718e-19,4.0899822852434594e-32,5.104987785940837e-19,6.249640332532558e-48,1.7015565531930357e-63,9.504914638643171e-52,1.4636009846258786e-32,4.623524926157005e-66,1.4560705718158778e-68,1.4017760367349725e-34,9.15240180754323e-69,1.4532704555437128e-79,2.1008095245898804e-82,1.6308326067269552e-65,2.545348815874888e-59,1.7352179207641227e-58,4.000339870851694e-100,1.4631642064014156e-102,7.801839427477936e-64,5.2597793796377414e-82,1.0869192751012605e-78,3.4114360317390616e-87
1.3932771610668865e-18,0.4420134269525633,3.76,0.0,0.8992925122201014,1.0,4.194062291936423e-42,6.198260761765704e-31,1.987730132384753e-31,3.598221380877688e-15,3.598221380877688e-15,3.875493192366309e-34,2.4753727706527305e-32,2.464920678803118e-32,1.0438499900102392e-42,2.6947739279630956e-45,1.5132073055453947e-18,4.114042774869889e-33,7.511947829779522e-19,7.275502820122836e-24,5.0424078436708545e-29,7.620197979697284e-19,2.2055592617265947e-34,6.249487158027491e-33,9.725695877360391e-44,1.9918528769774903e-26,4.701793279815629e-50,3.703824539231619e-51,3.6440438350323516e-31,2.5116243030590586e-46,1.772754148352903e-65,1.389500164707458e-32,3.5149476339187e-49,2.6094141967766703e-60,4.088379054915648e-55,5.703617357597163e-73,1.084809904512489e-18,1.7862027174204388e-31,1.0848099045121046e-18,5.744496183719419e-47,3.027828969137644e-62,8.736654112732521e-51,6.391930022265058e-32,8.57123599917019e-65,2.5909997852437656e-67,6.121924231816638e-34,1.7141435670570497e-67,5.475752101799475e-78,7.903770487117997e-81,1.447136434216228e-64,2.251332202136472e-58,3.087727577712567e-57,3.021676113782782e-98,1.1089482607574702e-100,1.3882956410280495e-62,1.8771779000124663e-80,3.879137699775912e-77,1.2175172880654201e-85
2.8685118021965312e-18,0.4420134269525636,3.76,0.0,0.8992925122200977,1.0,3.525362068049859e-41,2.5876518550287266e-30,8.298382018423159e-31,7.408102842983455e-15,7.408102842983455e-15,1.6179421122769418e-33,1.0334194288502405e-31,1.0290558613135436e-31,8.774188132679085e-42,2.265119866347928e-44,3.1154268055415428e-18,1.7175318734173995e-32,1.5465774943131712e-18,1.49790761653539e-23,2.1051060146742394e-28,1.568864289884826e-18,9.207775752694313e-34,2.6090378670866456e-32,8.175033401866097e-43,4.100873700998626e-26,3.952140555852583e-49,3.11328769804085e-50,1.5213165677929806e-30,2.1111715633812613e-45,2.9900089821215934e-64,5.800889663831809e-32,2.954525277687724e-48,4.401158449962377e-59,3.4365289388823176e-54,1.9271233999476067e-71,2.233432156348722e-18,7.457044730520579e-31,2.2334321563471186e-18,4.914537427443444e-46,5.106876101588328e-61,7.474391543997115e-50,2.6685049589009854e-31,1.4731764721872044e-63,4.370099847145024e-66,2.5557828563457e-33,2.9607567350260976e-66,1.8976249219964088e-76,2.7368247822885775e-79,1.2242842317350127e-63,1.8923803682536678e-57,5.207903871479013e-56,2.0970385906082053e-96,7.710938641264676e-99,2.341563516071166e-61,6.342559860508717e-79,1.3106729566533037e-75,4.113715743609296e-84
5.818981084455821e-18,0.4420134269525642,3.76,0.0,0.89929251222009,1.0,2.890304817556978e-40,1.0571402157790726e-29,3.390159825024615e-30,1.5027865767194922e-14,1.5027865767194922e-14,6.609821398679172e-33,4.221855766902946e-31,4.204028965911497e-31,7.193609544873573e-41,1.857082131631308e-43,6.319865805555157e-18,7.016678119786779e-32,3.1373429168194024e-18,3.0386530801432693e-23,8.60004494862102e-28,3.1825532735518972e-18,3.761676837459438e-33,1.0658770995231342e-31,6.702386297248252e-42,8.318915752606732e-26,3.240203605749829e-48,2.5524613528344206e-49,6.2150745712816025e-30,1.730865999180126e-44,4.911098730685454e-63,2.3698527059074167e-31,2.422298327377015e-47,7.228915975281792e-58,2.8174740502779813e-53,6.335960112944858e-70,4.530676660019586e-18,3.0464460897943903e-30,4.5306766600130344e-18,4.063434582588411e-45,8.388059293580765e-60,6.17997148960909e-49,1.090171346883357e-30,2.441681964854053e-62,7.177902124287433e-65,1.0441206898617123e-32,4.9193415982192875e-65,6.316170370197068e-75,9.105588439516907e-78,1.016662825064953e-62,1.5514877577437658e-56,8.553997746788678e-55,1.3969137300507555e-94,5.14167927422266e-97,3.846025106161032e-60,2.085294914983062e-77,4.309205917377703e-74,1.3524997336514685e-82
1.17199196489744e-17,0.4420134269525654,3.76,0.0,0.8992925122200748,1.0,2.3406437787090862e-39,4.273129774348706e-29,1.3703568060439857e-29,3.02673916156176e-14,3.0267391615617606e-14,2.671795449675147e-32,1.7065417672460745e-30,1.6993357244887576e-30,5.825571515627676e-40,1.503913278412254e-42,1.2728743805667654e-17,2.8362534830700606e-31,6.3188737611750395e-18,6.120267185605655e-23,3.476275670715349e-27,6.409931240233546e-18,1.5205299218678687e-32,4.308445655430664e-31,5.427766194099422e-41,1.6755001470086876e-25,2.6240008875425503e-47,2.0670493822724845e-48,2.512232510971691e-29,1.4017001617166022e-43,7.961102673185704e-62,9.579323543020108e-31,1.9616399875597343e-46,1.1718384314172424e-56,2.281663533618259e-52,2.0550534749193488e-68,9.1251656673549e-18,1.2314222179761261e-29,9.125165667328415e-18,3.3043175183286005e-44,1.3597405456841173e-58,5.025450214277142e-48,4.406646887500967e-30,3.975646114550507e-61,1.1635688669229591e-63,4.220502768175367e-32,8.019768386430216e-64,2.061091442692715e-73,2.9707030406036505e-76,8.442473613252388e-62,1.2564350097078043e-55,1.3866398962646689e-53,9.11989390577603e-93,3.358497649538016e-95,6.23457243271403e-59,6.76360407074717e-76,1.3976806044985927e-72,4.38680046589541e-81
2.3521796778011556e-17,0.4420134269525678,3.76,0.0,0.8992925122200442,1.0,1.8839537465054656e-38,1.7182066883510154e-28,5.510144452869029e-29,6.074644331246192e-14,6.074644331246193e-14,1.0743171658581875e-31,6.861930713355624e-30,6.83295420727941e-30,4.6889267678405423e-39,1.210480276336827e-41,2.5546499806233737e-17,1.1404450512635518e-30,1.2681935447259015e-17,1.2283988109516644e-22,1.3977951576524622e-26,1.2864687170986868e-17,6.113983941530117e-32,1.73240704887427e-30,4.368738437174318e-40,3.36271793621077e-25,2.112024196656489e-46,1.6637411748500106e-47,1.0101576424699215e-28,1.1282102350645875e-42,1.2821110418811635e-60,3.8518038643636454e-30,1.5788985203667844e-45,1.8872096678894663e-55,1.8364813117035762e-51,6.620628508127011e-67,1.831414368199987e-17,4.9514945785567683e-29,1.8314143681893378e-17,2.6650517849796576e-43,2.189820190397661e-57,4.0532077109609597e-47,1.77189333232417e-29,6.416708855950707e-60,1.8738917922355128e-62,1.6970456000096396e-31,1.295194737766925e-62,6.660099386096542e-72,9.598346010445733e-75,7.132123659699733e-61,1.0112882006937521e-54,2.233140804653272e-52,5.894908643541194e-91,2.171414571459885e-93,1.0040586699002096e-57,2.1789851457170277e-74,4.502814207739706e-71,1.4132662044073024e-79
4.712555103608587e-17,0.44201342695257256,3.76,0.0,0.8992925122199833,1.0,1.5117542375077683e-37,6.8907773069547805e-28,2.209814377846102e-28,1.2170454670614643e-13,1.2170454670614646e-13,4.308492066704566e-31,2.751942185130299e-29,2.740320247350941e-29,3.762568430956639e-38,9.71334240327913e-41,5.1182011808730225e-17,4.57369473221985e-30,2.540805880891776e-17,2.4613400809281115e-22,5.605783758733193e-26,2.57741990220536e-17,2.4519810159989856e-31,6.94772710444157e-30,3.505637460973948e-39,6.737156097442987e-25,1.694766406287156e-45,1.3350475184954405e-46,4.051183942397401e-28,9.05317661050593e-42,2.0580721640193247e-59,1.5447456250350572e-29,1.2669666263274364e-44,3.029389469489365e-54,1.4736605944572654e-50,2.125744962368728e-65,3.6692099711187184e-17,1.9857707870022234e-28,3.669209971076012e-17,2.1407145243444156e-42,3.515146249311938e-56,3.255756942620456e-46,7.106084761259437e-29,1.031147886539276e-58,3.008011340232994e-61,6.805911873196325e-31,2.0819877171046274e-61,2.1416284206729835e-70,3.0862892739968e-73,6.263740993646854e-60,8.114950883470578e-54,3.5846855557634064e-51,3.7914691071977655e-89,1.3967815556302402e-91,1.611736529767878e-56,6.996264324202412e-73,1.4457591843771265e-69,4.537701391640708e-78
