Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344)
9.43330595522345e-17,0.44201342695258206,3.76,0.0,0.8992925122198613,1.0,1.21124303947993e-36,2.759905133094905e-27,8.850783882120394e-28,2.4362075349349887e-13,2.436207534934989e-13,1.7256439091442778e-30,1.1022131299600108e-28,1.0975574414989978e-28,3.0146333878139327e-37,7.78249486119312e-40,1.024530358191805e-16,1.8318635195026318e-29,5.0860305490198434e-17,4.928010961656108e-22,2.24523746267923e-25,5.1593222682427434e-17,9.820713535714346e-31,2.782714757364455e-29,2.808775955123187e-38,1.3486042751250342e-24,1.3578754743189954e-44,1.0696626329443016e-45,1.6225866569106564e-27,7.253558036568898e-41,3.2982817748127614e-58,6.187039844823719e-29,1.0151150637440144e-43,4.85492213002114e-53,1.1807217629820817e-49,6.813838526035958e-64,7.344801176915132e-17,7.953440873381073e-28,7.344801176744083e-17,1.7160476568296926e-41,5.633399158544547e-55,2.6098923097201816e-45,2.846140418615776e-28,1.6534243827127238e-57,4.820661415601329e-60,2.725914690025957e-30,3.3389416006572996e-60,6.869893311012093e-69,9.899902110087584e-72,5.8849885600800585e-59,6.501835675974799e-53,5.744843774645728e-50,2.4325508871005164e-87,8.962116348757588e-90,2.5829809685070913e-55,2.2425745507890987e-71,4.63421976882972e-68,1.4545096056536178e-76
1.8874807658453176e-16,0.44201342695260115,3.76,0.0,0.8992925122196173,0.9999999999999999,9.697309274163794e-36,1.1046813052369109e-26,3.5426201658325615e-27,4.874531670681373e-13,4.874531670681379e-13,6.907071072738845e-30,4.411731778477302e-28,4.393090076090863e-28,2.4135397314188533e-36,6.230729312019153e-39,2.049950838619102e-16,7.332228052998305e-29,1.017647986846125e-16,9.864506086197342e-22,8.98680109162782e-25,1.0323126983613653e-16,3.93084477141932e-30,1.1138110996391431e-28,2.2487286167332957e-37,2.698385738448236e-24,1.0871260235871837e-43,8.56380518415646e-45,6.494575159495217e-27,5.807256893066404e-40,5.281548155307839e-57,2.476428322473265e-28,8.127092825866938e-43,7.77420089075985e-52,9.452953381443476e-49,2.1822630193259864e-62,1.4695983588343757e-16,3.1834490758194447e-27,1.4695983587659117e-16,1.3742298985684458e-40,9.02077711762683e-54,2.090030785141741e-44,1.1391978930310002e-27,2.6483524966760505e-56,7.719339221318216e-59,1.0910762666498504e-29,5.348523737910313e-59,2.2010388696744162e-67,3.171778267411732e-70,6.0988199312208774e-58,5.2054218324983386e-52,9.199235003596696e-49,1.5587588419228742e-85,5.74303441474685e-88,4.136134918056469e-54,7.182276954147754e-70,1.4841980429529207e-66,4.6583471766017e-75
3.775781106491263e-16,0.44201342695263923,3.76,0.0,0.8992925122191292,0.9999999999999997,7.760794760999228e-35,4.420164134690418e-26,1.417509539696271e-26,9.75117994217149e-13,9.751179942171507e-13,2.7637267389953557e-29,1.7652728144974457e-27,1.7578082511985594e-27,1.931565301141955e-35,4.986479229083966e-38,4.1007918003468646e-16,2.933846288834185e-28,2.0357378440085152e-16,1.9750109787499447e-21,3.595891008269374e-24,2.0650736347540056e-16,1.5728499290697922e-29,4.456695207086323e-28,1.7996663224912256e-36,5.3979651955380814e-24,8.700312149992464e-43,6.853647044797422e-44,2.5986759805643633e-26,4.64757044236125e-39,8.453916543271085e-56,9.9089389505609e-28,6.504144220901687e-42,1.244378429512652e-50,7.565235624722955e-48,6.986178645194531e-61,2.9398348410544215e-16,1.2737942937374525e-26,2.939834840780474e-16,1.099940896824932e-39,1.443911392598737e-52,1.6728720829957247e-43,4.558275445978426e-27,4.2396640808539286e-55,1.2355970254754243e-57,4.3657262333954796e-29,8.562615075328822e-58,7.047604291118415e-66,1.0155790186998505e-68,7.101352490640293e-57,4.165919335544297e-51,1.4724766920645656e-47,9.982225319523853e-84,3.6778734995799764e-86,6.6205094854420855e-53,2.2992952764449607e-68,4.751430652737511e-65,1.4912980578929987e-73
7.552381787783153e-16,0.44201342695271545,3.76,0.0,0.8992925122181532,0.9999999999999992,6.209815155167723e-34,1.7683534774460308e-25,5.670961391339099e-26,1.950447648514111e-12,1.9504476485141186e-12,1.1056695562811437e-28,7.06228432915675e-27,7.032377575025717e-27,1.545545700431781e-34,3.9899444182666675e-37,8.202473727295061e-16,1.1737295566935506e-27,4.071917531429733e-16,3.9571770998011616e-21,1.4385905429207408e-23,4.1305954808131183e-16,6.292423928729445e-29,1.7829682873085657e-27,1.4400064815417683e-35,1.0797190233063676e-23,6.961571542993415e-42,5.483959236106003e-43,1.0396395751792475e-25,3.718762456705701e-38,1.352901851733894e-54,3.9642207822945234e-27,5.204303536885433e-41,1.9914106046187472e-49,6.053337882059431e-47,2.236047150662387e-59,5.880307805231794e-16,5.0960066197015325e-26,5.880307804135825e-16,8.80175557712185e-39,2.3107269761480357e-51,1.3386371569446425e-42,1.823606995368966e-26,6.785303083781259e-54,1.9773576141928994e-56,1.7465747516908519e-28,1.3704167397949557e-56,2.2559184213832014e-64,3.250829225316436e-67,9.23553968109475e-56,3.3333681541221363e-50,2.3564420858529383e-46,6.390599031232724e-82,2.3545855074106783e-84,1.0594970538282689e-51,7.359291887894468e-67,1.520777081214782e-63,4.773157167125971e-72
1.5105583150366934e-15,0.44201342695286777,3.76,0.0,0.8992925122162011,0.9999999999999984,4.9683241654780555e-33,7.073989596519732e-25,2.2685693396781222e-25,3.901106957103791e-12,3.901106957103819e-12,4.423029356704147e-28,2.8251785232504797e-26,2.813179932898338e-26,1.2365539413485503e-33,3.1922640791188847e-36,1.6405837595162141e-15,4.695300339680249e-27,8.144276798657921e-16,7.941690864290293e-21,5.754830419764165e-23,8.261639066026678e-16,2.5171744490230083e-28,7.132453610980699e-27,1.1521145559099022e-34,2.1595904814075545e-23,5.569785949738981e-41,4.387584423543049e-42,4.158896494709632e-25,2.9752924059064503e-37,2.164863079233339e-53,1.585817344948356e-26,4.1638380796924205e-40,3.186581059495321e-48,4.8431300578489666e-46,7.1561025816576e-58,1.1761253732535662e-15,2.038568548477079e-25,1.1761253728151431e-15,7.042295845896334e-38,3.6975349679940913e-50,1.0710462196611271e-41,7.295021657143409e-26,1.0857957462859255e-52,3.164094355477017e-55,6.98686743977602e-28,2.1929855931292806e-55,7.220035334987208e-63,1.0404216401444313e-65,1.307506382025355e-54,2.6669473088239815e-49,3.770690842723116e-45,4.090615570239882e-80,1.5071737774535677e-82,1.6953677144635799e-50,2.3552209245897887e-65,4.866995519145175e-62,1.527570840432611e-70
3.0211985875534494e-15,0.4420134269531726,3.76,0.0,0.899292512212297,0.9999999999999968,3.974848562849713e-32,2.829710978934259e-24,9.074647926020532e-25,7.802425574266168e-12,7.802425574266285e-12,1.769276679259675e-27,1.1301452980389737e-25,1.1253177333979619e-25,9.892900834357233e-33,2.5539412445796706e-35,3.2812565386779052e-15,1.8781965638746505e-26,1.6288994902657345e-15,1.5991444476603484e-20,2.302025769260135e-22,1.652372580883516e-15,1.0069107729366828e-27,2.853097550045619e-26,9.217353786509107e-34,4.3194392100558455e-23,4.4560401446753555e-40,3.5102349216804685e-41,1.663626082279282e-24,2.3803468577603652e-36,3.46395679144754e-52,6.343527312453868e-26,3.3312284824951584e-39,5.09878884995777e-47,3.8746878772550085e-45,2.2900728656914224e-56,2.352314558293989e-15,8.154606005570432e-25,2.3523145565402258e-15,5.634193115129625e-37,5.916343047352343e-49,8.568926668144822e-41,2.9181274017666244e-25,1.7373909649189586e-51,5.06280947153597e-54,2.794860567246741e-27,3.5090323216783183e-54,2.3105868171768056e-61,3.329599601041768e-64,1.955841940914018e-53,2.13365846140942e-48,6.033412026853196e-44,2.618196449059462e-78,9.64667896933432e-81,2.7127262237504125e-49,7.537102805921393e-64,1.5575186804047756e-60,4.88848348190154e-69
6.042479132586962e-15,0.44201342695378215,3.76,0.0,0.8992925122044887,0.9999999999999934,3.179955190645297e-31,1.1319074191526262e-23,3.629934075485236e-24,1.5605062808523002e-11,1.5605062808523464e-11,7.077194254899889e-27,4.520896401518431e-25,4.5013622799448575e-25,7.914508001088135e-32,2.043215480682858e-34,6.562602119354383e-15,7.512939135826725e-26,3.257842938882868e-15,3.241385598487463e-20,9.20828987030942e-22,3.3047897583977804e-15,4.027725210757749e-27,1.1412622488986935e-25,7.374057702620086e-33,8.639559997629244e-23,3.564916491871885e-39,2.8082557883953076e-40,6.654638045811992e-24,1.9043225818827447e-35,5.542470796139287e-51,2.5374623999598606e-25,2.6650458515364596e-38,8.158269057957791e-46,3.099823708593405e-44,7.328423701375703e-55,4.7046929266934325e-15,3.2619087646659668e-24,4.704692919678235e-15,4.50749685256707e-36,9.466345394010916e-48,6.8553815475791925e-40,1.16727470854969e-24,2.779919636447904e-50,8.100704358356067e-53,1.1179668661186217e-26,5.614656994699664e-53,7.394159107057716e-60,1.0655121031580508e-62,3.020389057264686e-52,1.706966207533407e-47,9.653704129692488e-43,1.6757107358363608e-76,6.174122167373525e-79,4.3404720398168275e-48,2.4119360999175017e-62,4.984179589070567e-59,1.5643557385404638e-67
1.2085040222653986e-14,0.4420134269550014,3.76,0.0,0.8992925121888722,0.9999999999999869,2.5439957229264184e-30,4.5276757250078e-23,1.4519892435815027e-23,3.121033727676499e-11,3.1210337276766835e-11,2.830861340384492e-26,1.808555546803295e-24,1.800563040807935e-24,6.331680706768186e-31,1.6346141647455913e-33,1.3125293370119702e-14,3.0052062479499644e-25,6.515729147386371e-15,6.655029573843668e-20,3.683352976890995e-21,6.609623429236752e-15,1.611106612965393e-26,4.56509551246041e-25,5.899315605271085e-32,1.7281495537828058e-22,2.8519666562731124e-38,2.2466332053043948e-39,2.6618809583005163e-23,1.5234759780227772e-34,8.868062767258136e-50,1.0149951650932864e-24,2.1320616779507607e-37,1.305339463053745e-44,2.4798881258784242e-43,2.345125085261312e-53,9.409449656766709e-15,1.3047767776112444e-23,9.409449628705638e-15,3.606054076301504e-35,1.5146203711776138e-46,5.484429231890294e-39,4.66914632741493e-24,4.4479462858242925e-49,1.2961302004032447e-51,4.4719121077013974e-26,8.98361853415094e-52,2.366176218678186e-58,3.4097042058343524e-61,4.745402800653771e-51,1.36558744819001e-46,1.544612103605144e-41,1.0724759435860913e-74,3.951520298381189e-77,6.944842606984998e-47,7.718295776502302e-61,1.5949512784959374e-57,5.006003594801086e-66
2.4170162402788035e-14,0.4420134269574397,3.76,0.0,0.8992925121576391,0.9999999999999738,2.0352108607630822e-29,1.811079493987164e-22,5.807993259156166e-23,6.242088621216222e-11,6.242088621216961e-11,1.1323141697530305e-25,7.235687712430543e-24,7.202287296225988e-24,5.0653732823001025e-30,1.307734901408193e-32,2.625067622929969e-14,1.2020886317562782e-24,1.3031498809472242e-14,1.3998963901316708e-19,1.4733483323672932e-20,1.321928803415788e-14,6.444460346988203e-26,1.8260475553517085e-24,4.719479578274099e-31,3.4572147629984447e-22,2.281586249218087e-37,1.7973202882478248e-38,1.0647567284571584e-22,1.2187877458818892e-33,1.418898017611317e-48,4.060000350858391e-24,1.705658973385587e-36,2.0885558293902593e-43,1.9839218378151514e-42,7.504441172625575e-52,1.8818963090010818e-14,5.2191336471660864e-23,1.8818962977765964e-14,2.884865337621635e-34,2.4233627179970864e-45,4.3876376346880205e-38,1.8676680273373357e-23,7.116772646592622e-48,2.0738247760815335e-50,1.7887732632724609e-25,1.4373933498965294e-50,7.571838286402896e-57,1.0911165292983533e-59,7.522707020740746e-50,1.092473682157259e-45,2.4713944453269132e-40,6.863916921429015e-73,2.529002938842174e-75,1.1111815730991342e-45,2.4698701340756364e-59,5.103831882461015e-56,1.6019313260314484e-64
4.834040676305613e-14,0.4420134269623166,3.76,0.0,0.8992925120951729,0.9999999999999476,1.6281770482785762e-28,7.244336338066453e-22,2.3232086069801116e-22,1.2484198407860978e-10,1.2484198407863932e-10,4.5289792159340365e-25,2.8954254311763206e-23,2.8809210452431467e-23,4.052308503556764e-29,1.0462483209113844e-31,5.25014433782561e-14,4.8083669028066546e-24,2.606302711397483e-14,3.075341551893024e-19,5.893405499319496e-20,2.643860629698412e-14,2.5777915878680776e-25,7.304209297807434e-24,3.7755934068402666e-30,6.918061707362097e-22,1.8252734314876833e-36,1.4378653907675847e-37,4.259029181086321e-22,9.75032659555025e-33,2.270240697077818e-47,1.6240035025900464e-23,1.364530442763863e-35,3.3416980614782955e-42,1.587141482605717e-41,2.401423686015397e-50,3.7637989848889276e-14,2.0876587607130707e-22,3.7637989399908713e-14,2.3079002026966393e-33,3.877247774999341e-44,3.5102192488383697e-37,7.47069108362117e-23,1.1386878929324515e-46,3.3181406559024236e-49,7.155105825567352e-25,2.299844057469047e-49,2.4230013687845473e-55,3.491595313419389e-58,1.1979867332065534e-48,8.739771248083144e-45,3.95424165670895e-39,4.392933927256059e-71,1.6185761643525663e-73,1.777895180854076e-44,7.903605650125791e-58,1.6332022945128023e-54,5.126194851963698e-63
9.668089548359233e-14,0.44201342697207024,3.76,0.0,0.8992925119702406,0.9999999999998951,1.3025492171851956e-27,2.8977381709412115e-21,9.292889405266627e-22,2.496841797941172e-10,2.496841797942353e-10,1.811362845652227e-24,1.1590860330521183e-22,1.152368923560496e-22,3.2418481794190374e-28,8.370915716094603e-31,1.0500298339854697e-13,1.923349324762974e-23,5.212603964442635e-14,7.252863024987608e-19,2.35736294298117e-19,5.28771990346624e-14,1.0311186608423122e-24,2.9216878349057926e-23,3.0204768736660847e-29,1.385065466946301e-21,1.460219337957732e-35,1.1503018495597786e-36,1.7036069874850784e-21,7.800265967140116e-32,3.632380175329787e-46,6.49601612799794e-23,1.0916247184529e-34,5.346719353522661e-41,1.269713955021549e-40,7.68453400007309e-49,7.527604293620716e-14,8.350645602482176e-22,7.527604114028265e-14,1.8463218982985897e-32,6.203142671209325e-43,2.808333359000543e-36,2.9882802134965206e-22,1.821902707691094e-45,5.309066983708009e-48,2.8620416303770444e-24,3.6797724581470234e-48,7.753633144992914e-54,1.1173169841275523e-56,1.9120973764583994e-47,6.991756765512199e-44,6.326790223676545e-38,2.81149203594755e-69,1.0358993320727395e-71,2.8446336495905032e-43,2.5291549276121487e-56,5.226068589960875e-53,1.640383620402561e-61
