Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160)
1.6898880101067124e-18,0.3090084725907379,3.76,0.0,0.7949367837349047,0.9999999999999999,7.644653687910288e-39,2.7736066413254668e-27,1.1686907552492245e-28,2.058965501394235e-13,2.058965501394245e-13,2.4905063058330722e-29,8.833583173594473e-28,8.831159514884422e-28,6.231783604948959e-38,4.0259397922021935e-41,1.9197368488342188e-16,7.742234246596856e-30,8.072879969016709e-17,3.119430325502506e-21,1.6905522852161124e-25,1.1124800428819434e-16,3.0176523893271616e-29,2.252798560380564e-29,9.911668814604998e-39,7.963591450819862e-22,4.419655694839634e-44,3.482055395737503e-46,3.056219280342551e-29,1.1207980203196121e-41,2.6984608840462613e-60,4.6088257059905254e-30,1.9241286151721725e-43,1.6218031381913045e-54,2.728688169626968e-60,5.949740402471288e-67,4.634297057079355e-16,8.943916099980793e-29,4.634297057052287e-16,5.1662420278805893e-42,1.7725375584512388e-55,8.230391931234307e-45
3.381244211360346e-18,0.30900847259074926,3.76,0.0,0.794936783734698,0.9999999999999997,6.120371261707242e-38,1.1101654792754962e-26,4.6778087453899695e-28,4.1197198520504605e-13,4.119719852050498e-13,9.968515600520675e-29,3.535735412652765e-27,3.534765272384279e-27,4.9892160749746916e-37,3.2231998843792346e-40,3.8411415837288177e-16,3.098911383114335e-29,1.61527737181816e-16,6.241908635783617e-21,6.766614842117084e-25,2.2259266175728366e-16,1.2078473789152307e-28,9.017065204054403e-29,7.935361770364523e-38,1.5934101745378272e-21,3.538411893651262e-43,2.787761563775683e-45,1.2232841836804108e-28,8.973199087035041e-41,4.321053256685099e-59,1.8447313754228516e-29,1.5404728436402305e-42,2.5969981460354682e-53,4.3709819087627985e-59,1.905519021034075e-65,9.27262043653331e-16,3.5798972917939423e-28,9.272620436424972e-16,4.137183626043977e-41,2.8383695286447196e-54,6.59098866880455e-44
6.7639566138676136e-18,0.3090084725907723,3.76,0.0,0.7949367837342846,0.9999999999999993,4.89815717061884e-37,4.442107974554443e-26,1.871732833677565e-27,8.241228553360712e-13,8.241228553360861e-13,3.988704643829368e-28,1.414754751938739e-26,1.4143665333243353e-26,3.9928891841409e-36,2.5795396741355207e-39,7.683951053535387e-16,1.239968205146242e-28,3.23125611669196e-16,1.2487879076501299e-20,2.7075273251233593e-24,4.452819761919994e-16,4.832962811933512e-28,3.6080006087931525e-28,6.350701134275009e-37,3.1875122328477667e-21,2.8318049071827365e-42,2.2310565221729701e-44,4.894730118654431e-28,7.181286396318385e-40,6.916499301073472e-58,7.381328362649123e-29,1.232846454346557e-41,4.1568883728740726e-52,6.99763837952509e-58,6.100225569003839e-64,1.8549267195431026e-15,1.4324252199315892e-27,1.854926719499753e-15,3.3114237179248325e-40,4.543239687049131e-53,5.2754622681451745e-43
1.3529381418882148e-17,0.30900847259081826,3.76,0.0,0.7949367837334577,0.9999999999999986,3.919270026612465e-36,1.7771324424824666e-25,7.488150315693927e-27,1.6484245955972411e-12,1.6484245955973013e-12,1.5957415418401671e-27,5.659940528872456e-26,5.658387112451895e-26,3.194918006001016e-35,2.0640239339770032e-38,1.536956999321802e-15,4.9606802393925495e-28,6.463213586602844e-16,2.4983875238534882e-20,1.0831872303420308e-23,8.906606030475794e-16,1.933499830175887e-27,1.4434351824377947e-27,5.081525800234498e-36,6.375716347060796e-21,2.2658741705630975e-41,1.785184214836828e-43,1.958210759139833e-27,5.746120186822148e-39,1.1068650757589165e-56,2.9530119779496157e-28,9.86464473220053e-41,6.652374791766754e-51,1.1199476305514155e-56,1.9524826334820205e-62,3.710256071318567e-15,5.730633618996594e-27,3.710256071145141e-15,2.6498098594052177e-39,7.270662529013911e-52,4.22143857462408e-42
2.706023102891122e-17,0.3090084725909102,3.76,0.0,0.7949367837318038,0.999999999999997,3.1357138757034296e-35,7.109108316213554e-25,2.995504048906397e-26,3.2970280761160608e-12,3.2970280761163015e-12,6.3834853056885996e-27,2.2641607018107826e-25,2.2635390533160274e-25,2.556177093238969e-34,1.6513763686350842e-37,3.0740807872861255e-15,1.9844335910201326e-27,1.2927128447077757e-15,4.9992088684805896e-20,4.3331015272691366e-23,1.7814178487033332e-15,7.734628786917116e-27,5.7742106412365755e-27,4.0656066376702557e-35,1.2752124565860429e-20,1.8128714463323315e-40,1.4282830111281444e-42,7.833480421262193e-27,4.597332601524031e-38,1.7711643072452476e-55,1.1813009183940659e-27,7.89246507191256e-40,1.0644882474362767e-49,1.7921766343478186e-55,6.248601169824292e-61,7.420914774853179e-15,2.292440008727726e-26,7.420914774159417e-15,2.120116265362953e-38,1.163424312337144e-50,3.3775783613431355e-41
5.412193024896936e-17,0.309008472591094,3.76,0.0,0.7949367837284961,0.9999999999999939,2.508690419190834e-34,2.843759039672077e-24,1.1982504930819643e-25,6.59423503713962e-12,6.594235037140582e-12,2.553497739813685e-26,9.05701318422161e-25,9.054524638143231e-25,2.0450387536120674e-33,1.321164509779407e-36,6.1483283633259604e-15,7.93805736611587e-27,2.5854957850640163e-15,1.0007340006465085e-19,1.7333111187620267e-22,3.5629323077932185e-15,3.0939774209589266e-26,2.3097782422826018e-26,3.252639715973094e-34,2.550494096496175e-20,1.4503659944059666e-39,1.1426807089968212e-41,3.1335195827443106e-26,3.678040635423613e-37,2.834007092621162e-54,4.7253958851720035e-27,6.314271735416015e-39,1.703267811959972e-48,2.867690943433042e-54,1.9996574171360674e-59,1.484223218185713e-14,9.170133170370683e-26,1.4842232179081976e-14,1.6962003556541431e-37,1.8615734576081355e-49,2.702233612814111e-40
1.0824532868908565e-16,0.30900847259146164,3.76,0.0,0.7949367837218807,0.9999999999999878,2.007000336879506e-33,1.1375267587661044e-23,4.793100419163735e-25,1.318864895913042e-11,1.3188648959134267e-11,1.0214196487416866e-25,3.622880457063048e-24,3.621883537617355e-24,1.6360698330720513e-32,1.0569578111464387e-35,1.2296823515850388e-14,3.1752875480103437e-26,5.1710615388215394e-15,2.004955607614541e-19,6.933385366571877e-22,7.125961097086499e-15,1.237616156843726e-25,9.239300945208923e-26,2.602173534517946e-33,5.101057360923472e-20,1.1603203147324507e-38,9.141663542045078e-41,1.2534332626068518e-25,2.942502274369843e-36,4.534526850920848e-53,1.890196757329541e-26,5.051537178554562e-38,2.7252977495387647e-47,4.588472086435497e-53,6.399071533372744e-58,2.968486699560396e-14,3.66812789650164e-25,2.968486698450311e-14,1.3570032002595633e-36,2.978592879429463e-48,2.16185512206246e-39
2.164921255693182e-16,0.309008472592197,3.76,0.0,0.7949367837086498,0.9999999999999755,1.60561990685433e-32,4.550153320054508e-23,1.9172604156550773e-24,2.6377476802886735e-11,2.6377476802902122e-11,4.0857183324790546e-25,1.449168104964474e-23,1.4487681485080813e-23,1.3088713947972717e-31,8.455780691074032e-35,2.459381382267825e-14,1.2701279396374417e-25,1.0342192538516798e-14,4.023780338067243e-19,2.773382223827698e-21,1.425201816012714e-14,4.95051505893133e-25,3.695757974558867e-25,2.081763529048609e-32,1.0202183828255875e-19,9.282672332740381e-38,7.313419045061458e-40,5.013783479557788e-25,2.354029634255903e-35,7.25533580768805e-52,7.560863518580149e-26,4.041277524957592e-37,4.360531657708461e-46,7.341688306081902e-52,2.047729562546277e-56,5.93701366220533e-14,1.4672660843504673e-24,5.937013657764946e-14,1.0856196900924218e-35,4.765807921361653e-47,1.7295111671558216e-38
4.329857193297833e-16,0.30900847259366765,3.76,0.0,0.7949367836821882,0.9999999999999508,1.2845044788514533e-31,1.8200705840878587e-22,7.669086626362899e-24,5.275513248949822e-11,5.275513248955979e-11,1.6342941857406233e-24,5.796711346931645e-23,5.795102035949358e-23,1.047103320909987e-30,6.764693253521531e-34,4.918779444345003e-14,5.080537599575377e-25,2.0684452506628634e-14,8.1029558572960555e-19,1.1093584239104556e-20,2.8504130224025074e-14,1.98021615327886e-24,1.478310709892039e-24,1.66542069813231e-31,2.0404436517229336e-19,7.426181370966015e-37,5.8507722204322575e-39,2.005523133421212e-24,1.8832346861427854e-34,1.160861298615391e-50,3.024360450997693e-25,3.2330409175556096e-36,6.976894402669782e-45,1.1746806716418167e-50,6.552776146867441e-55,1.1874067587077475e-13,5.869094188604623e-24,1.1874067569315851e-13,8.685025454053066e-35,7.625337039659528e-46,1.3836194037927974e-37
8.659729068507137e-16,0.30900847259660885,3.76,0.0,0.794936783629265,0.9999999999999016,1.0276081218411272e-30,7.280300840739442e-22,3.0676472173818636e-23,1.0551044385911663e-10,1.0551044385936292e-10,6.53718169019941e-24,2.3186979903297795e-22,2.3180466826671275e-22,8.376851286768937e-30,5.4118163545481285e-33,9.837575571345785e-14,2.032220208081974e-24,4.136896431774125e-14,1.64274110671022e-18,4.4374441157417216e-20,5.700834610309007e-14,7.92088521937347e-24,5.9132578856583524e-24,1.3323404992823933e-30,4.080894091559033e-19,5.940961824386413e-36,4.680635289474665e-38,8.022109262741036e-24,1.5065919048395892e-33,1.857384586533375e-49,1.2097469856349556e-24,2.586439948491577e-35,1.1163064583027398e-43,1.8794972053482217e-49,2.0968942921806263e-53,2.374817543515087e-13,2.347643645351905e-23,2.3748175364104187e-13,6.948046597873615e-34,1.2200564879794462e-44,1.1068991385705711e-36
