Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81)
0.0,0.29753680488952977,3.76,0.0,0.6332039399782756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.875978675436392e-22,0.29753680488952977,3.76,0.0,0.6332039399782754,1.0,1.6394812572155644e-47,9.9811093335385e-33,2.416865229246869e-34,2.2912541727850233e-16,2.2912541727850233e-16,1.898890564024246e-34,5.751347958005405e-33,5.750740454407525e-33,3.886804397489341e-46,1.54698877562861e-49,3.7236567871776546e-19,2.3121689933117435e-35,1.4719415275836575e-19,7.270802802485102e-24,6.758576658432496e-31,2.251787967608612e-19,4.388289454183538e-34,8.700256298351703e-35,9.703101236238474e-47,1.2577270710733684e-23,9.371751843756916e-52,3.824878251664818e-54,3.148979456926908e-35,8.467029724641342e-50,2.8494174839424454e-71,8.754579406862744e-36,3.2160914482828553e-51,2.3533618659147713e-65,1.4405616402775533e-70,8.628075873530965e-81,1.1990175345447222e-18,1.4203379036131417e-34,1.1990175345447137e-18,2.4303106639254077e-50,5.499859304215177e-66,7.675836923345473e-53,1.2607780479870084e-33,4.416554221304305e-68
2.4852740291221898e-21,0.2975368048895298,3.76,0.0,0.633203939978275,1.0,1.9463921490238104e-46,6.0285900374572e-32,1.4597865984900293e-33,6.415511683798061e-16,6.415511683798061e-16,1.1469299006632639e-33,3.473814166668208e-32,3.473447234461995e-32,4.614414541815766e-45,1.8365885494047165e-48,1.0426239004097435e-18,1.3965500719602889e-34,4.1214362772235594e-19,2.0358250037476096e-23,4.0821803016858804e-30,6.305006309293257e-19,2.6505268303274244e-33,5.25495480420456e-34,1.1519521787661184e-45,3.521635799004758e-23,1.1126143788892771e-50,4.540895460398233e-53,1.9019835919769872e-34,1.0052057689074419e-48,6.374032934894964e-70,5.287765961733631e-35,3.8181437673954975e-50,5.265570213158711e-64,4.5293562868867865e-69,3.5611875273900537e-79,3.3572490967252163e-18,8.578840937823354e-34,3.3572490967251646e-18,3.672685475318156e-49,1.2302965269100716e-64,1.1599724758523251e-51,7.615099409841516e-33,1.2455389552736608e-66
5.6806263522792914e-21,0.2975368048895298,3.76,0.0,0.6332039399782742,1.0,1.9109793541112195e-45,2.9025065941929147e-31,7.0282440870237e-33,1.4664026705824127e-15,1.4664026705824129e-15,5.5219737600718026e-33,1.6724919862373867e-31,1.672315324141484e-31,4.53045971849842e-44,1.8031750515215841e-47,2.3831403437937e-18,6.723787432550479e-34,9.420425776460635e-19,4.6533153269529304e-23,1.9653940922611497e-29,1.4411442992619122e-18,1.2761145732774237e-32,2.530034531560873e-33,1.1309934800956058e-44,8.049453254864846e-23,1.0923713949034932e-49,4.458278090207914e-52,9.157232260640468e-34,9.869169846980622e-48,1.2594014963002731e-68,2.545831691498488e-34,3.748676192100126e-49,1.040493498445176e-62,1.0104744716462432e-67,1.4089172359878459e-77,7.673712221086182e-18,4.130342623706985e-33,7.67371222108593e-18,3.950907440110742e-48,2.430858614453551e-63,1.247845456941879e-50,3.6663425635461994e-32,2.7093192874517066e-65
1.2071330998593493e-20,0.29753680488952994,3.76,0.0,0.6332039399782725,1.0,1.6902395977477456e-44,1.2676008853593057e-30,3.069418841529789e-32,3.1161056749876216e-15,3.116105674987623e-15,2.4115910161963988e-32,7.3042119071774855e-31,7.303440377095242e-31,4.0071403780306615e-43,1.5948885178840146e-46,5.0641732305616144e-18,2.936454621505836e-33,2.001840477476387e-18,9.888299478192064e-23,8.583392356095395e-29,3.0624316359097146e-18,5.573127606821884e-32,1.10493254989087e-32,1.0003509250505056e-43,1.710508816657426e-22,9.661901280738344e-49,3.943296482477861e-51,3.999203910190759e-33,8.729168964787452e-47,2.241037673125811e-67,1.1118315846537972e-33,3.315661639483067e-48,1.8515888426916224e-61,1.8925068540017687e-66,5.0285664419605804e-76,1.630663846980802e-17,1.803829137588657e-32,1.6306638469806922e-17,3.6315646188483035e-47,4.3255830240553506e-62,1.1469849597541753e-49,1.6011881209434781e-31,5.022621350795653e-64
2.48527402912219e-20,0.2975368048895301,3.76,0.0,0.6332039399782692,1.0,1.4207482267050755e-43,5.291984168641355e-30,1.2814219448943287e-31,6.4155116837980194e-15,6.415511683798024e-15,1.0067917769427008e-31,3.0493646877940258e-30,3.049042588924787e-30,3.368242960969903e-42,1.3406001389631051e-45,1.042623900409745e-17,1.2259120002538148e-32,4.1214362770686664e-18,2.0358281799984292e-22,3.5833973441984195e-28,6.305006309135838e-18,2.3266710686160233e-31,4.6128758893879054e-32,8.408552281691126e-43,3.521635798995003e-22,8.121410199586311e-48,3.314578295097393e-50,1.6695889079668736e-32,7.337392486664935e-46,3.7798375927575383e-66,4.6416780013586835e-33,2.7870133915486325e-47,3.1230454167005407e-60,3.268834957018683e-65,1.6990782878463556e-74,3.3572490967251314e-17,7.530631564956584e-32,3.357249096724672e-17,3.106879988956754e-46,7.295728010280903e-61,9.81269781225334e-49,6.684645210426915e-31,8.632602816607806e-63
5.041555887647871e-20,0.2975368048895305,3.76,0.0,0.6332039399782625,1.0,1.1648152345731972e-42,2.16194820608113e-29,5.235026764101228e-31,1.301432370141874e-14,1.3014323701418756e-14,4.113072916427397e-31,1.2457649734848972e-29,1.2456333853847244e-29,2.761489089983733e-41,1.0991050860924839e-44,2.1150370551169152e-17,5.00825052627236e-32,8.36062787597976e-18,4.1298302520824583e-22,1.4639347384363364e-27,1.2790155655310153e-17,9.505210489406688e-31,1.884510315249722e-31,6.893839183849434e-42,7.143889763652938e-22,6.658422756395756e-47,2.7174915449323998e-49,6.820815462071083e-32,6.015637666944132e-45,6.2083945965035635e-65,1.8962769177086783e-32,2.28496196258656e-46,5.129668246937864e-59,5.43121817047297e-64,5.5862614435383253e-73,6.810419596213637e-17,3.0765087127419573e-31,6.81041959621176e-17,2.5688284559689863e-45,1.1983255163618012e-59,8.113328309689267e-48,2.730895683061605e-30,1.4307906083031038e-61
1.0154119604699234e-19,0.2975368048895312,3.76,0.0,0.6332039399782492,1.0,9.43297577348721e-42,8.738940314755676e-29,2.1160815201577722e-30,2.621194773665989e-14,2.6211947736659943e-14,1.6625698348332732e-30,5.035581205136333e-29,5.035049303361096e-29,2.236325465459001e-40,8.900838348012766e-44,4.2598633645312664e-17,2.0244149377556074e-31,1.6839011072708077e-17,8.317856827152849e-22,5.9174582754234505e-27,2.576045434654707e-17,3.84215805508658e-30,7.617492001521986e-31,5.582809705912995e-41,1.4388397692899921e-21,5.392163379134563e-46,2.2006951091782956e-48,2.7570826648864273e-31,4.871619348297117e-44,1.0064075179652448e-63,7.665054489405923e-32,1.850421438842042e-45,8.315458972213085e-58,8.854256385986063e-63,1.811900786546695e-71,1.3716760595190037e-16,1.2435740108324715e-30,1.3716760595182449e-16,2.0889286382591068e-44,1.9425373010606707e-58,6.597623837957737e-47,1.1038716983587847e-29,2.329671597245641e-60
2.037924703880196e-19,0.29753680488953266,3.76,0.0,0.6332039399782227,1.0,7.592479561113625e-41,3.513889465305272e-28,8.508670733810865e-30,5.260719580714099e-14,5.260719580714122e-14,6.685120180454032e-30,2.024785056603691e-28,2.0245711799242233e-28,1.7999892920921504e-39,7.1641692389089944e-43,8.549515983360016e-17,8.14008342770964e-31,3.379577746178925e-17,1.6693999700902944e-21,2.3793839463288178e-26,5.170105172457403e-17,1.5449148555478165e-29,3.062960030870252e-30,4.4935309447556184e-40,2.887741355111835e-21,4.34008219471695e-45,1.7713108806031682e-47,1.108610813187924e-30,3.921103072278027e-43,1.6207882821368962e-62,3.082084697600129e-31,1.4893801568459655e-44,1.3391826991241616e-56,1.4299647712437218e-61,5.83729624581831e-70,2.7529442593140395e-16,5.0003564031845266e-30,2.7529442593109896e-16,1.6847966232129782e-43,3.1283964372588964e-57,5.321222639464963e-46,4.4386195490590077e-29,3.7600993501033807e-59
4.0829501907007404e-19,0.2975368048895355,3.76,0.0,0.6332039399781695,0.9999999999999999,6.0924867033760404e-40,1.4092268381332438e-27,3.412357531800994e-29,1.0539769194809843e-13,1.0539769194809934e-13,2.6810321893176835e-29,8.120293694731619e-28,8.1194359430405e-28,1.4443780481571964e-38,5.748794737853629e-42,1.7128821221017699e-16,3.2645375286395975e-30,6.770931022244974e-17,3.3446644342840212e-21,9.542393827917165e-26,1.0358224646284052e-16,6.195799550984957e-29,1.2283839666188278e-29,3.6057755904230854e-39,5.785544526645304e-21,3.482642631752981e-44,1.4213654293665301e-46,4.4460251970003666e-30,3.146438272196644e-42,2.6017241441520476e-61,1.2360538129795046e-30,1.195133777724553e-43,2.1496877541533366e-55,2.298626605453836e-60,1.87423605095559e-68,5.515480658903135e-16,2.0053665640826173e-29,5.5154806588909e-16,1.3533202706465308e-42,5.021769113855388e-56,4.2742954026148584e-45,1.7800849612836223e-28,6.042378711805618e-58
