Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154)
0.0,0.7357049982738202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6353444976911293,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1929182039682924e-20,0.7357049982738202,2.0465790661722943e-24,9.35720170362071e-26,2.16048746264012e-34,7.41724089963634e-34,0.0,0.0,1.1147450271627215e-19,7.423101096143355e-36,1.568915379780899e-49,7.861985739337455e-52,2.7042729816035554e-46,6.108285988894644e-59,1.0189691696249145e-39,1.5042673582781191e-38,3.6579295231541605e-19,4.623322431714625e-35,2.388542282504207e-83,4.165780426160429e-70,3.283053293043037e-47,7.41358362203043e-34,7.939182498581513e-43,2.568740833058189e-50,8.148093261611077e-36,8.379779567662411e-63,4.4908510809483104e-36,2.5495069491423174e-16,2.7973627831880703e-49,4.252711188548251e-35,4.475514723042019e-50,7.313286999144766e-67,1.1651079188831506e-49,5.741933419788222e-51,3.76,0.0,0.635344497691129,1.0,4.506640026745927e-47,4.011969588793146e-33,2.5495069491423174e-16,4.9555342892915e-20,2.8893663620028787e-31,6.192120640184951e-20,7.722181852232785e-53,4.0862029114977906e-52,1.2979381831435912e-65,1.4825680742414407e-72,2.192481622418369e-65,3.657929523154199e-19,1.6969415289392053e-34,3.0435313962835437e-38,3.1026576643387947e-57,7.7672912781322885e-56
3.340170971111219e-20,0.7357049982738204,5.730422317688361e-24,2.6200164772779164e-25,1.3049344274588112e-33,4.480013503679434e-33,0.0,0.0,3.1212860760556566e-19,4.4835530620706296e-35,1.862616382029216e-48,9.333749469723944e-51,3.210512894711793e-45,7.251757126007355e-58,6.154573784531977e-39,9.085774843978421e-38,1.0242202664831514e-18,2.7924867487561266e-34,9.992620207152825e-82,9.318684182112445e-69,3.897640869499838e-46,4.4778045077054036e-33,4.795266232498173e-42,3.0496091170037206e-49,4.921448330007873e-35,1.874527327255673e-61,2.712474052892427e-35,7.138619457598487e-16,3.3372382125383995e-48,2.568637557884333e-34,5.313331079189123e-49,1.6360038603171744e-65,1.3832190746938823e-48,6.828252187701689e-50,3.76,0.0,0.6353444976911287,1.0,5.350283040039148e-46,2.4232296316310325e-32,7.138619457598487e-16,1.387549600997035e-19,1.7451772826453818e-30,1.7337937792471402e-19,9.167774294952772e-52,4.851140096519072e-51,2.9036265789178123e-64,4.661431236506606e-71,4.904502428495822e-64,1.0242202664831749e-18,1.0249526834792787e-33,1.8382929633563817e-37,3.683475182957217e-56,9.221328204992527e-55
7.634676505397072e-20,0.7357049982738205,1.3098112550344245e-23,5.988609092166077e-25,6.282697541720149e-33,2.156933654062874e-32,0.0,0.0,7.13436817384167e-19,2.1586377987585504e-34,1.8287278284286582e-47,9.16393057771754e-50,3.1521006029074603e-44,7.119818148629659e-57,2.9631623452654905e-38,4.374409477840644e-37,2.341074894818568e-18,1.3444621631433529e-33,3.9766376276916e-80,1.8412149611298225e-67,3.826726918368314e-45,2.1558701172849844e-32,2.3087142756047183e-41,2.9941243150034444e-48,2.369465520468675e-34,3.703754095230162e-60,1.3059394943392348e-34,1.6316844474510815e-15,3.2836230052856113e-47,1.2366884136316148e-33,5.216659961156539e-48,3.232516928834312e-64,1.3580539840716066e-47,6.709026535170054e-49,3.76,0.0,0.6353444976911278,1.0,5.252939615734229e-45,1.1666807564210048e-31,1.6316844474510815e-15,3.171541945114464e-19,8.402277380639018e-30,3.9629572096858466e-19,9.000975166906493e-51,4.762878113607353e-50,5.73724549933088e-63,1.0399396665455068e-69,9.690478045553082e-63,2.341074894818681e-18,4.934705966155186e-33,8.850589300409046e-37,3.616457785501322e-55,9.053554712532014e-54
1.6223687573968777e-19,0.7357049982738206,2.7833507934151016e-23,1.2725794326168268e-24,2.74381907792772e-32,9.419895947173952e-32,0.0,0.0,1.516053236941427e-18,9.427338392102696e-34,1.6174890630944981e-46,8.105392817713524e-49,2.7879972887707264e-43,6.297398523056347e-56,1.2940908454197547e-37,1.910419544980012e-36,4.974784151489182e-18,5.871619488285219e-33,1.423189136539239e-78,3.276343647604446e-66,3.384696622990083e-44,9.415251199963507e-32,1.0082761824972158e-40,2.6482690492303904e-47,1.0348078442165197e-33,6.590635754258681e-59,5.70338087279882e-34,3.4673294508335416e-15,2.907148171325228e-46,5.400943209474704e-33,4.614076658821401e-47,5.752130918555977e-63,1.2011838834058461e-46,5.936046907866435e-48,3.76,0.0,0.6353444976911259,1.0,4.646165602844674e-44,5.095201377766857e-31,3.4673294508335416e-15,6.739526633275956e-19,3.6694952796761197e-29,8.421284070488921e-19,7.961260602259998e-50,4.2127117535653315e-49,1.0209259664667649e-61,1.947691903747448e-68,1.7243694235122322e-61,4.9747841514896774e-18,2.1551157417527654e-32,3.865284873296998e-36,3.198715970717567e-54,8.007766613459399e-53
3.3401709711112186e-19,0.7357049982738213,5.730435837574455e-23,2.6200164811076143e-24,1.145490453029081e-31,3.932621129159407e-31,0.0,0.0,3.1212860760561753e-18,3.935728201175774e-33,1.3595970233207579e-45,6.813071049731495e-48,2.3434797114002205e-42,5.293342905301434e-55,5.402574537316311e-37,7.975625533291784e-36,1.0242202664829538e-17,2.451285553301973e-32,4.8151814263160026e-77,5.526032442179713e-65,2.8450414548883056e-43,3.9306820363869066e-31,4.2093546073137996e-40,2.2260297060399147e-46,4.320119047233405e-33,1.1116073096424191e-57,2.381049243113807e-33,7.138619457598442e-15,2.44475161698576e-45,2.254787472184864e-32,3.8784094506679925e-46,9.701841346571189e-62,1.0096676345395014e-45,4.9903936758415165e-47,3.76,0.0,0.6353444976911222,1.0,3.9053821422584055e-43,2.12714627597773e-30,7.138619457598442e-15,1.3875496009305478e-18,1.531942045073142e-28,1.7337937791797705e-18,6.6919192380211835e-49,3.541038063725956e-48,1.721952082168271e-60,3.364153409227541e-67,2.908401585656851e-60,1.0242202664831604e-17,8.997183986435426e-32,1.6136803463246774e-35,2.688713534915324e-53,6.731010340172255e-52
6.775775398539901e-19,0.7357049982738221,1.1624629795485156e-22,5.314890584850585e-24,4.679702266432721e-31,1.606604051357308e-30,0.0,0.0,6.331751754286588e-18,1.6078733898295138e-32,1.1146797872473025e-44,5.585767274803061e-47,1.9213262547774877e-41,4.339802323986979e-54,2.2071279801447284e-36,3.258303268471747e-35,2.0777039691506753e-17,1.0014301320049388e-31,1.584194177927932e-75,9.07652488004782e-64,2.3325368748731935e-42,1.6058118668547402e-30,1.719658725335968e-39,1.825033644030779e-45,1.7649095927763789e-32,1.8258185511296687e-56,9.727363075335026e-33,1.4481199471128152e-14,2.0048001416340347e-44,9.211542542983432e-32,3.179754391211377e-45,1.5935328958015185e-60,8.277866094332223e-45,4.0917400485122416e-46,3.76,0.0,0.6353444976911149,1.0,3.2018682344231305e-42,8.69008660810615e-30,1.4481199471128155e-14,2.814743476019068e-18,6.258483114238073e-28,3.5171245233225855e-18,5.486439699871966e-48,2.9031569450354127e-47,2.828320537908213e-59,5.58959121214878e-66,4.777058753182764e-59,2.0777039691515193e-17,3.675643229343272e-31,6.592410745733945e-35,2.204369841218806e-52,5.518488943167119e-51
1.3646984253397265e-18,0.7357049982738242,2.3413113189674517e-22,1.0704638819382112e-23,1.8916104792886867e-30,6.494150464252277e-30,0.0,0.0,1.2752683110751075e-17,6.499281318530049e-32,9.026965970011978e-44,4.523499159637426e-46,1.5559398149702333e-40,3.5144844387972405e-53,8.92156418502388e-36,1.317058276797585e-34,4.184671374484721e-17,4.0479407084907805e-31,5.140021721917822e-74,1.4713437964991696e-62,1.888948836360257e-41,6.490948313006576e-30,6.951135682422489e-39,1.4779595620787924e-44,7.134046758510116e-32,2.959730716855793e-55,3.931955682187362e-32,2.9166359498187235e-14,1.6237166739006617e-43,3.7234527758265144e-31,2.575047546580464e-44,2.5831875253457203e-59,6.703630904788418e-44,3.3137223588579506e-45,3.76,0.0,0.6353444976911001,1.0,2.592955911806367e-41,3.5126719495258975e-29,2.9166359498187235e-14,5.6691312257265696e-18,2.529778939095559e-27,7.083786011132442e-18,4.443061114205881e-47,2.3510517633289767e-46,4.5848367739393345e-58,9.112444440384873e-65,7.743818430183237e-58,4.1846713744881327e-17,1.4857537617794935e-30,2.664757827058393e-34,1.7851559144605928e-51,4.469015415826496e-50
2.7389401963111993e-18,0.7357049982738283,4.699046189152498e-22,2.1484135396627518e-23,7.606082550776483e-30,2.6112693512494137e-29,0.0,0.0,2.5594545823694693e-17,2.613332433304834e-31,7.265687619999767e-43,3.640905658735055e-45,1.252355726815447e-39,2.8287628293531815e-52,3.587321720233652e-35,5.295833403824479e-34,8.398606185147219e-17,1.6276591554137146e-30,1.656204025031832e-72,2.3695538253967684e-61,1.5203903583142585e-40,2.609981768393306e-29,2.795021218260301e-38,1.1895904350566652e-43,2.86856882471204e-31,4.7665552084838057e-54,1.58102208642397e-31,5.853667955230402e-14,1.3069793574720862e-42,1.4971839848668238e-30,2.0726222893645584e-43,4.160145497872019e-58,5.395665483995754e-43,2.667222045314621e-44,3.76,0.0,0.6353444976910707,1.0,2.0870365023491925e-40,1.4124299416107392e-28,5.853667955230404e-14,1.1377906723263419e-17,1.017212984865187e-26,1.4217108984849062e-17,3.576162121802153e-46,1.892330995706215e-45,7.383744140642715e-57,1.4716622191259654e-63,1.2471181119640965e-56,8.398606185160938e-17,5.974150530290243e-30,1.0714874022724334e-33,1.436848889477712e-50,3.597052391203649e-49
5.4874237382541455e-18,0.7357049982738364,9.41466869491119e-22,4.304312898384779e-23,3.050379300924573e-29,1.0472358112600945e-28,0.0,0.0,5.1278271249640515e-17,1.0480631899063841e-30,5.830256862621196e-42,2.9215974941451014e-44,1.0049366001394558e-38,2.269904020931564e-51,1.4386764566191934e-34,2.123866056189044e-33,1.6826475806449846e-16,6.52764120171626e-30,5.318169032250187e-71,3.803658667213684e-60,1.220017511669741e-39,1.0467194233822819e-28,1.1209286252297875e-37,9.545714062153704e-43,1.1504243984196947e-30,7.651376848057979e-53,6.3406056958572055e-31,1.172773196605321e-13,1.0487969711620134e-41,6.0043774115985626e-30,1.6631488577066018e-42,6.677956153447464e-57,4.329681795249093e-42,2.14029770322045e-43,3.76,0.0,0.6353444976910119,1.0,1.6747153601165036e-39,5.664475790581437e-28,1.1727731966053226e-13,2.2795457710824498e-17,4.079479027547767e-26,2.8483754924669945e-17,2.869644883133413e-45,1.5184764487266292e-44,1.1852549290703537e-55,2.365654061245171e-62,2.0019007855827805e-55,1.6826475806504867e-16,2.3959015630589713e-29,4.2971437179106906e-33,1.1529809118773332e-49,2.886407991828054e-48
