Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452)
1.1923976201502476e-14,0.512743361097502,3.76,0.0,0.8163475148829161,1.0,1.5039438464890673e-33,5.956302560963074e-27,2.0107442128191767e-26,2.0330711407098498e-13,2.03307114070985e-13,1.50017041426965e-31,1.7661232121678842e-29,1.6249732014482048e-29,4.8729299800335297e-36,6.619891275462115e-38,1.0600076083994078e-16,2.255516669783972e-28,6.0876739551186e-17,4.6951477770957077e-23,4.112363660683714e-24,4.5124059522660663e-17,3.1967747855925e-31,8.239849415778794e-29,2.8378898208198364e-37,4.1921608978244214e-27,1.2550819101382465e-43,5.56600758278543e-44,4.943086951831814e-25,4.075115374248622e-39,2.5039658252269996e-54,4.9458766757067076e-27,1.388737979348078e-42,9.305686719647849e-50,2.0368112368687415e-60,1.5046732492193002e-58,8.885610891583295e-18,1.5079098278595641e-26,8.885610900623693e-18,2.2285049944527085e-40,2.0924693193022806e-53
2.3858312069557084e-14,0.5127433610975206,3.76,0.0,0.8163475148827125,0.9999999999999999,1.2040695086363073e-32,2.384073280240714e-26,8.048216781360316e-26,4.067908633409214e-13,4.0679086334092145e-13,6.004467010160904e-31,7.078799995669818e-29,6.504126522409511e-29,3.9013061371975163e-35,5.2999572304863216e-37,2.1209362252647025e-16,9.027944956991653e-28,1.21806363757977e-16,9.582101151043391e-23,1.6460171160449473e-23,9.028731969650011e-17,1.2795429585280282e-30,3.2980871317395803e-28,2.272037061588777e-36,8.388106022656288e-27,1.004828515537745e-42,4.456191576892181e-43,1.97852275413035e-24,3.262570027228878e-38,4.0096066791905866e-53,1.979639527026367e-26,1.1118346814450703e-41,1.4901221666052598e-48,3.2627360601219803e-59,4.819005063410816e-57,1.777894165818479e-17,6.035569029051613e-26,1.7778941694369938e-17,1.7846113239373822e-39,3.350645614890854e-52
4.77269838056663e-14,0.5127433610975581,3.76,0.0,0.8163475148823053,0.9999999999999997,9.636214989168963e-32,9.539398509091987e-26,3.2203348648162526e-25,8.137583618805913e-13,8.137583618805915e-13,2.402469532429901e-30,2.8402081792599974e-28,2.602496941783156e-28,3.1222293208593317e-34,4.241607013649098e-36,4.2427936497014224e-16,3.612354112562718e-27,2.43665595219939e-16,1.9919431542448146e-22,6.586212011575653e-23,1.8061382932706316e-16,5.119838041749179e-30,1.3196644473960752e-27,1.8183196017895155e-35,1.6780450554453264e-26,8.041679504661967e-42,3.5663094134268724e-42,7.916666303230068e-24,2.611047396505342e-37,6.417978507355566e-52,7.921136100469364e-26,8.898054716596363e-41,2.385165421948212e-47,5.223565782552738e-58,1.5427296639593972e-55,3.55656031007864e-17,2.4150137738425483e-25,3.5565603245574136e-17,1.428412261294751e-38,5.363113975740188e-51
9.546432727788474e-14,0.512743361097633,3.76,0.0,0.8163475148814909,0.9999999999999992,7.710435280414955e-31,3.81638056306155e-25,1.2883435003085105e-24,1.6276933589591185e-12,1.6276933589591193e-12,9.6106473691413e-30,1.1424821237382446e-27,1.041167545909974e-27,2.49825579133544e-33,3.3939788110227984e-35,8.486509261399196e-16,1.4451770158058583e-26,4.87383990337412e-16,4.284778583790627e-22,2.63491328158881e-22,3.6126680571973695e-16,2.0482682210688582e-29,5.27951709512331e-27,1.4549310420988916e-34,3.3567152695004895e-26,6.434561417448916e-41,2.8535922972974464e-41,3.167180536583588e-23,2.0892343274770753e-36,1.0270844169444922e-50,3.1689697474902238e-25,7.119792774280187e-40,3.817039675374054e-46,8.360661591167416e-57,4.937769451278664e-54,7.113892562358413e-17,9.661627601485087e-25,7.113892620282931e-17,1.143019028517089e-37,8.582404855146216e-50
1.9093901422232158e-13,0.5127433610977825,3.76,0.0,0.8163475148798621,0.9999999999999983,6.1689326556823944e-30,1.526676460615154e-24,5.1537922923449975e-24,3.2555633531129232e-12,3.2555633531129273e-12,3.8439357946354015e-29,4.620015709536953e-27,4.165003574140602e-27,1.9987911373607312e-32,2.7155188693602054e-34,1.6973943536090532e-15,5.781179728876697e-26,9.748205093467834e-16,9.771925998831186e-22,1.0540507792505828e-21,7.22572587031364e-16,8.193736663316107e-29,2.1119787063900924e-26,1.164053902762135e-33,6.71501768663671e-26,5.148131512494365e-40,2.283095271630177e-40,1.266974132654591e-22,1.6715456840341645e-35,1.6434987422560835e-49,1.2676906760934014e-24,5.696370367398642e-39,6.10787985381715e-45,1.3380944491018411e-55,1.5802500937177602e-52,1.4228556921955765e-16,3.864965530361608e-24,1.422855715367269e-16,9.145307134694988e-37,1.3732209286433123e-48
3.8188838811119527e-13,0.5127433610980819,3.76,0.0,0.8163475148766045,0.9999999999999967,4.935378394654681e-29,6.106954279352786e-24,2.0615999001351694e-23,6.511303341407534e-12,6.51130334140755e-12,1.5371282771034232e-28,1.8878552643540186e-26,1.6660647725603166e-26,1.599103595935604e-31,2.1726430494323155e-33,3.3948824290643968e-15,2.3125669405011986e-25,1.9496924624650648e-15,2.4352120259834957e-21,4.216372177261441e-21,1.4451834637604484e-15,3.2776256040858297e-28,8.448258534427765e-26,9.312850130276871e-33,1.3436724535004757e-25,4.118690493246666e-39,1.8265704018497558e-39,5.0680932349835595e-22,1.3372992650244668e-34,2.629720519167813e-48,5.0709659322391516e-24,4.557305148358232e-38,9.773089041540094e-44,2.1418921473132443e-54,5.057051774945696e-51,2.8457885061301705e-16,1.546049085254606e-23,2.8457885988207105e-16,7.316704318322886e-36,2.1969339502005774e-47
7.637871358889427e-13,0.5127433610986808,3.76,0.0,0.8163475148700894,0.9999999999999932,3.9483932023940665e-28,2.4428313658150768e-23,8.246560145909123e-23,1.3022783317944762e-11,1.302278331794483e-11,6.144573025278105e-28,7.869770461921456e-26,6.664359077817409e-26,1.2793048804758984e-30,1.738355412917547e-32,6.78986346203348e-15,9.250463563001136e-25,3.899432029114468e-15,6.793605216272395e-21,1.6865811803075728e-20,2.8904024736476322e-15,1.3110749723424137e-27,3.3793721247254496e-25,7.450419845627511e-32,2.6910578624851264e-25,3.295014224406637e-38,1.4613029663783116e-38,2.027270924414238e-21,1.0698635807561331e-33,4.207623925731507e-47,2.0284251522684865e-23,3.645918676732031e-37,1.563728956622733e-42,3.430715501832583e-53,1.6182899359624135e-49,5.691653902059873e-16,6.184321872810721e-23,5.691654272829552e-16,5.853541496030644e-35,3.51412402093448e-46
1e-12,0.5127433610998782,3.76,0.0,0.8163475148660596,0.9999999999999911,1.249608450003688e-27,4.7092802399149625e-23,1.5897667153196509e-22,1.7050278416541468e-11,1.70502784165416e-11,1.1835443723757594e-27,1.5958559308562057e-25,1.2847436195841522e-25,4.0487758332363074e-30,5.502634799885208e-32,8.889740731774304e-15,1.7833024763925576e-24,5.105383920473352e-15,1.1273611271087997e-20,3.25137936786648e-20,3.784299160797102e-15,2.5274801807954018e-27,6.514739705701102e-25,2.3579330998841992e-31,3.5306933251061684e-25,1.0428168303268529e-37,4.624874333638092e-38,3.908145787488364e-21,3.385959348715614e-33,2.3726350211406435e-46,3.910383584362339e-23,1.1538752538502456e-36,8.817785673872676e-42,1.9401876563563556e-52,1.7133017671209088e-48,7.451884618668974e-16,1.192210979110815e-22,7.451885333437187e-16,1.852564431722288e-34,1.980559580127128e-45
1.5275846314444374e-12,0.5127433610998782,3.76,0.0,0.816347514857059,0.9999999999999865,3.1587468789960525e-27,9.771424498779118e-23,3.29865182865701e-22,2.604574327081125e-11,2.6045743270811525e-11,2.4546080510429964e-27,3.4024978758437346e-25,2.6657422687396797e-25,1.0234426718114502e-29,1.391020379703137e-31,1.3579845056125974e-14,3.700229145513405e-24,7.798893804182164e-15,2.1279765475236165e-20,6.746377314633869e-20,5.780829519183625e-15,5.244337689821822e-27,1.35176256656891e-24,5.960347252217575e-31,5.406030503551844e-25,2.6360164555442885e-37,1.1690753832305902e-37,8.109105270209515e-21,8.558990617471664e-33,6.732168974740677e-46,8.113763233165758e-23,2.9167503875502128e-36,2.5019819606486954e-41,5.5073681120877876e-52,5.1785372211529576e-48,1.1383383766161494e-15,2.473753682372753e-22,1.13833852492551e-15,4.682895760926031e-34,5.619281868713142e-45
3.0551796225554273e-12,0.5127433611022734,3.76,0.0,0.8163475148309984,0.9999999999999729,2.5270042255516598e-26,3.908589387892809e-22,1.3194628144979588e-21,5.209166317571233e-11,5.209166317571343e-11,9.792608536092744e-27,1.564650788161549e-24,1.0662795475237987e-24,8.18737590277926e-29,1.1133341622499613e-30,2.715988635629412e-14,1.4801040500967166e-23,1.559774792233322e-14,7.332923371946603e-20,2.6985518238874546e-19,1.15616397136666e-14,2.0977333048620918e-26,5.407077494678331e-24,4.7682111197826945e-30,1.098098514856317e-24,2.108783746746673e-36,9.352964730038118e-37,3.2436098721987317e-20,6.84720175528717e-32,1.077117114879363e-44,3.245505869993127e-22,2.3333834850536397e-35,4.003144799131941e-40,8.912871362553372e-51,1.6571052829923016e-46,2.2766839783334787e-15,9.895063209540462e-22,2.2766845715737843e-15,3.746327788993604e-33,8.98008548504459e-44
