Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264),C3H5(2345),C3H5(2725),CH3O2(159),S(1527),S(3172)
0.0,0.18732903180659236,3.76,0.0,0.9739860912174867,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.51144820699624e-21,0.18732903180659236,3.76,0.0,0.9739860912174864,1.0,4.4736154522287495e-46,2.1323021925586836e-18,8.08831017927975e-34,3.1819058991242805e-16,3.1819058991242805e-16,4.912720020864453e-35,1.874458812949193e-33,1.8733949328195003e-33,7.911374298997548e-46,7.596393956559509e-46,3.0162686316144246e-19,4.4654867197722654e-35,1.3189628131698448e-19,2.9360009616940907e-24,4.845083213519164e-31,1.6973351784447336e-19,3.4415356869025487e-35,6.244814109916724e-35,1.0843505612347431e-46,3.0122754796671567e-25,2.7854558660073254e-51,4.721197903758991e-54,5.126761180777271e-34,1.3628626621369357e-49,4.08628322091912e-70,3.341746848898742e-35,1.8704609629253653e-50,1.1132066170282565e-63,3.7683796034133933e-57,4.038215350027841e-78,3.6465445670909543e-19,7.12350848768427e-34,3.6465445670908845e-19,8.162165080575051e-38,7.441759226500182e-66,2.625582622055085e-37,1.3050140388956135e-20,4.569224367340254e-51,3.136122110161196e-69,1.1863129847554752e-35,1.084347660422262e-49,2.954348945487833e-51,2.5978149618371235e-53,1.8278641548795383e-65,6.111059539252426e-60,8.825765111850232e-46,4.125487482952458e-52,1.3150321604413582e-52,1.3075488668740038e-65,1.8594188435676407e-83,4.150254603192565e-82,1.3203655860491327e-88,6.552194967309348e-21,3.908175056924875e-50,1.8916135971397656e-69,1.0476408751391376e-54,1.3095448815172322e-58,9.209660820230806e-35,1.3050140388937896e-20,2.5802926698388455e-51,2.1323021925586744e-18,3.9525591317482105e-36,1.7246164622593283e-32,1.8092267083576425e-50,4.2815935327758956e-49,2.1229207361219408e-44,6.552194967295967e-21,1.52836006523226e-68,7.014813680399497e-39,1.6621304733581418e-68,6.49844701574466e-70,1.7216189997930577e-51,2.240147864273543e-72,4.283330532970059e-68,1.0672757424925108e-34,2.428489574077186e-68,8.424342389843064e-52
9.832054979589472e-21,0.18732903180659238,3.76,0.0,0.9739860912174858,1.0,5.3110762650098586e-45,5.97044613916434e-18,4.8853393483402626e-33,8.909336517547978e-16,8.909336517547978e-16,2.967282892479804e-34,1.1321731231227293e-32,1.1315305394226867e-32,9.392383621398973e-45,9.018438905372846e-45,8.445552168520493e-19,2.697153978742465e-34,3.6930958768681486e-19,8.220804257440514e-24,2.9264302609611988e-30,4.752538499637762e-19,2.0786875548919963e-34,3.771867722413245e-34,1.2873409862976259e-45,8.434371343456844e-25,4.1302401863310223e-50,5.605006152191826e-53,3.096563753173816e-33,1.617990552486524e-48,9.14085211512678e-69,2.018415096731499e-34,2.7870485010359763e-49,3.097007114661228e-62,4.473820265165657e-56,2.0626021673591776e-76,1.0210324787854613e-18,4.302599126561272e-33,1.0210324787854186e-18,4.929947708767479e-37,1.6646917718823934e-64,1.5858519036987832e-36,3.6540393089080386e-20,6.904992656234062e-50,7.015379717607092e-68,7.16533042791333e-35,1.294000613930153e-48,4.464612126571907e-50,3.925817970387379e-52,2.17013554347172e-64,7.255049885075201e-59,1.0477948346542475e-44,6.234436684237884e-51,1.9872766008586816e-51,3.638022602163198e-64,9.498247001278054e-82,2.119828537493987e-80,6.744665700931919e-87,1.8346145908460626e-20,4.8162333407644244e-49,4.231463956102492e-68,1.5831948906395221e-53,1.5546916840036328e-57,5.562635135417999e-34,3.654039308897022e-20,3.89933828268726e-50,5.970446139164287e-18,2.3873457155760105e-35,1.0416683432018773e-31,2.147913948244174e-49,5.083107842058193e-48,2.5203314978600664e-43,1.8346145908379806e-20,4.8054085828777944e-67,4.2369474629565113e-38,5.2260041489768524e-67,2.0432157174652116e-68,2.601710632467823e-50,7.043383358653358e-71,1.346747652852602e-66,6.446345484649649e-34,6.756200156272658e-67,1.2730866219045799e-50
2.2473268524775937e-20,0.1873290318065924,3.76,0.0,0.9739860912174847,1.0,5.214446171354423e-44,1.3646734032375753e-17,2.3520806002174943e-32,2.036419775439537e-15,2.0364197754395372e-15,1.4286189818838953e-33,5.450926229577509e-32,5.447832464634738e-32,9.221497959059429e-44,8.85435679593727e-44,1.930411924233305e-18,1.2985635381098005e-33,8.441362004235096e-19,1.8790417107721586e-23,1.4089501984848083e-29,1.0862945141993838e-18,1.0007985777555413e-33,1.8159919431990992e-33,1.2639190141744076e-44,1.9278563072591454e-24,4.4158800721526976e-49,5.5030282792075935e-52,1.490862151346549e-32,1.5885527189792295e-47,1.806078341946972e-67,9.71779983654743e-34,2.9845501874946485e-48,6.704229711909256e-61,4.3924232657177994e-55,8.961440297946154e-75,2.3337885229381693e-18,2.0715162682185457e-32,2.3337885229379636e-18,2.3735576055785883e-36,3.2891504164728335e-63,7.635194264598865e-36,8.352089848934172e-20,7.428069394570482e-49,1.3861208137674242e-66,3.4497981596543128e-34,1.2733771944797902e-47,4.802825994260427e-49,4.22321582738477e-51,2.1308535730377582e-63,7.12305099917288e-58,1.0287311832209657e-43,6.706722491286567e-50,2.1378214825852686e-50,7.875558958244012e-63,4.126821521361244e-80,9.210073169104263e-79,2.930438805386562e-85,4.193404779074098e-20,4.8059248830620916e-48,8.360659730048214e-67,1.7031288183220927e-52,1.5264055159610692e-56,2.678169366521009e-33,8.352089848881131e-20,4.1947301875976564e-49,1.36467340323755e-17,1.1494041955125146e-34,5.01518467220877e-31,2.1088346515158074e-48,4.990625421638199e-47,2.474476409825639e-42,4.1934047790351876e-20,1.0720602204111016e-65,2.039907818252975e-37,1.1658927773588178e-65,4.5583018733245814e-67,2.7988015755165825e-49,1.571340105213162e-69,3.0045199290209467e-65,3.103637859160549e-33,1.4625446608721988e-65,1.369528493464926e-49
4.775569561514887e-20,0.1873290318065925,3.76,0.0,0.9739860912174824,1.0,4.6121185869903704e-43,2.8999309818798987e-17,1.0272153928542364e-31,4.32739202280901e-15,4.3273920228090105e-15,6.23915442460182e-33,2.3805626940174407e-31,2.3792115646762517e-31,8.156310523967723e-43,7.831578313556803e-43,4.102125338995984e-18,5.6711681341110417e-33,1.7937894258850348e-18,3.992966784343667e-23,6.153255681101498e-29,2.3083758426586076e-18,4.370750322410439e-33,7.930913919959166e-33,1.1179220546088721e-43,4.096694653708159e-24,4.049079764176445e-48,4.867366196243996e-51,6.510986699344498e-32,1.4050568901407717e-46,3.213819912981142e-66,4.24401849804962e-33,2.7383756959058055e-47,1.240460188847656e-59,3.885048635891275e-54,3.329495136024782e-73,4.95930061124349e-18,9.046855779358609e-32,4.9593006112425926e-18,1.0365949653839715e-35,5.852867426726646e-62,3.3344899296613895e-35,1.7748190928991565e-19,6.827673120611511e-48,2.466527930885423e-65,1.506617490624356e-33,1.1274472561841413e-46,4.4146245435243604e-48,3.8818629416861967e-50,1.885074516802067e-62,6.300257943040994e-57,9.099010837170868e-43,6.164633436027091e-49,1.965026256702032e-49,1.4572002600194948e-61,1.533275816230486e-78,3.42187112760895e-77,1.0887727846375841e-83,8.91098515552129e-20,4.2814926725099097e-47,1.487734733614712e-65,1.5654688078226437e-51,1.3500883953836744e-55,1.1696269241671317e-32,1.7748190928759923e-19,3.855679730894301e-48,2.899930981879789e-17,5.019750097321613e-34,2.190262907026609e-30,1.8652403677820854e-47,4.414151668203328e-46,2.188646361696275e-41,8.910985155351356e-20,2.0078501459527942e-64,8.908813374032871e-37,2.183588139879371e-64,8.537194949484575e-66,2.572580838863989e-48,2.94294620187551e-68,5.6271333103623574e-64,1.355440192957561e-32,2.7060951291093178e-64,1.258832634263419e-48
9.832054979589472e-20,0.18732903180659263,3.76,0.0,0.9739860912174777,1.0,3.8767635735922987e-42,5.970446139164709e-17,4.288422057825499e-31,8.90933651754793e-15,8.909336517547936e-15,2.6047241533559016e-32,9.938380640404314e-31,9.93273993376837e-31,6.855870453651063e-42,6.582913460416643e-42,8.445552168522013e-18,2.3676010588234935e-32,3.693095876760626e-18,8.220826945547857e-23,2.568863119746805e-28,4.752538499529092e-18,1.8247022212354998e-32,3.3110004414062813e-32,9.396808467539662e-43,8.434371349094558e-24,3.460305500576139e-47,4.0913145739594093e-50,2.7182087778297384e-31,1.1810349771763839e-45,5.42057703137661e-65,1.7717941792395092e-32,2.3408532825751646e-46,2.1301981612484983e-58,3.265617470164926e-53,1.1460413404872733e-71,1.0210324787853754e-17,3.7768842001698285e-31,1.0210324787850001e-17,4.32757992707363e-35,9.871716385716357e-61,1.392083905899894e-34,3.654039308912686e-19,5.841217187498697e-47,4.1601598806436916e-64,6.289831445037655e-33,9.481470967718251e-46,3.7768042420843657e-47,3.3210154743954994e-49,1.5851220801919456e-61,5.295746420578666e-56,7.648266901646684e-42,5.2739736923582605e-48,1.6811213335180853e-48,2.5024094921964706e-60,5.2776939239123236e-77,1.1778379644441786e-75,3.7476685344673127e-82,1.8346145908380153e-19,3.61102727112515e-46,2.509282098620473e-64,1.3392915247785344e-50,1.1348306494682992e-54,4.882962166866747e-32,3.65403930881598e-19,3.2986151859949233e-47,5.970446139164253e-17,2.0956468516541438e-33,9.143916482514313e-30,1.5678469188036646e-46,3.710360449376945e-45,1.8396891424367493e-40,1.8346145907670715e-19,3.468061811192572e-63,3.719254213280732e-36,3.771605490722469e-63,1.4745881286035467e-64,2.2008970696359955e-47,5.083208010264172e-67,9.719473424317783e-63,5.65869598662394e-32,4.6470808159888633e-63,1.0769578212297192e-47
1.9945025815738644e-19,0.18732903180659297,3.76,0.0,0.9739860912174685,1.0,3.178405002198333e-41,1.2111476453734988e-16,1.7519603387258095e-30,1.807322550702568e-14,1.807322550702571e-14,1.064114805954545e-31,4.0601527791788484e-30,4.057848360249957e-30,5.620856813588225e-41,5.397070177516921e-41,1.713240582757675e-17,9.672422854497532e-32,7.491708778321972e-18,1.6676587324200934e-22,1.049464404329411e-27,9.640863813078205e-18,7.454503959595051e-32,1.3526517157424754e-31,7.704071312916523e-42,1.7109724749820822e-23,2.8595744874082404e-46,3.3543068830748376e-49,1.1104769786161933e-30,9.682838293915988e-45,8.903314071829569e-64,7.238357344194052e-32,1.9347258488231907e-45,3.529207501142375e-57,2.6773505022684767e-52,3.8016910676204165e-70,2.0712373141072766e-17,1.5429804324660496e-30,2.0712373141057427e-17,1.76795760625583e-34,1.621432379808472e-59,5.687116980020099e-34,7.412479740947952e-19,4.82963097114239e-46,6.833075128667815e-63,2.5696013773847093e-32,7.775312252157419e-45,3.122734785708878e-46,2.745879817240311e-48,1.3005683141959445e-60,4.34177287182418e-55,6.270511354606328e-41,4.360623437494611e-47,1.3899836282480567e-47,4.145878492191791e-59,1.7507404636590432e-75,3.907168013393375e-74,1.2431935406919755e-80,3.7216467413955804e-19,2.9653831284794765e-45,4.1215034426522684e-63,1.1073521335412007e-49,9.304027369344789e-54,1.994849372288656e-31,7.412479740552873e-19,2.7273588250870182e-46,1.2111476453733124e-16,8.561401181742393e-33,3.735588241586529e-29,1.285415630208436e-45,3.041977666380863e-44,1.5082883076417162e-39,3.721646741105752e-19,5.7622365722920185e-62,1.51943670237244e-35,6.266578928979047e-62,2.4500502503424367e-63,1.8197442581100494e-46,8.445827150373115e-66,1.614905046116533e-61,2.311761949208066e-31,7.699054786717336e-62,8.904495523133704e-47
4.017096748803699e-19,0.18732903180659355,3.76,0.0,0.97398609121745,1.0,2.5739547771037485e-40,2.439353708287817e-16,7.081703806220296e-30,3.640100348598085e-14,3.640100348598097e-14,4.301322176943363e-31,1.6411786746132248e-29,1.6402471866119584e-29,4.551915578730921e-40,4.370687357898361e-40,3.450611314569695e-17,3.9097479665248246e-31,1.5088934580685334e-17,3.3588268306485834e-22,4.242102917005052e-27,1.9417514439409008e-17,3.013229687873058e-31,5.467634506596748e-31,6.238956690693143e-41,3.4460431591087253e-23,2.3247758199512387e-45,2.7164046940040403e-48,4.4887254967863405e-30,7.841413494537065e-44,1.4432655847777313e-62,2.9258597697350238e-31,1.5729954377437523e-44,5.745259005649839e-56,2.1681878516230713e-51,1.2384716530052843e-68,4.1716469847504735e-17,6.2369736093724094e-30,4.171646984744271e-17,7.146367321359411e-34,2.6284117572227133e-58,2.298823611390231e-33,1.4929360605051302e-18,3.927375555770776e-45,1.1076709346238812e-61,1.0386739610820569e-31,6.29737926746331e-44,2.5393560701210164e-45,2.2329038663734254e-47,1.0548365653192566e-59,3.5160802408191995e-54,5.0780227658249705e-40,3.545986559971614e-46,1.1303116022213035e-46,6.749156467848786e-58,5.703369930839811e-74,1.2728327315362526e-72,4.049939388350449e-79,7.49571104245388e-19,2.4033768043206156e-44,6.681134885184612e-62,9.004803669893883e-49,7.534642698984345e-53,8.063500111694752e-31,1.4929360603454337e-18,2.2178429022897673e-45,2.439353708287062e-16,3.4606552426925085e-32,1.5099844940303435e-28,1.0409629053738599e-44,2.463472381933929e-43,1.2214509754674577e-38,7.495711041282347e-19,9.393899938461673e-61,6.141806087779027e-35,1.0216105247351192e-60,3.994200335109007e-62,1.479785808754892e-45,1.3768833182993501e-64,2.6327028060412954e-60,9.344511417381393e-31,1.2533426807791412e-60,7.240987867508182e-46
8.062285083263368e-19,0.18732903180659477,3.76,0.0,0.973986091217413,1.0,2.0717427345970156e-39,4.895765834117501e-16,2.847521956213661e-29,7.30565594438898e-14,7.305655944389034e-14,1.729542724585792e-30,6.599107309260433e-29,6.595361796558909e-29,3.663777665615241e-39,3.517909426279824e-39,6.925352778198028e-17,1.5720924616440494e-30,3.0283386182374704e-17,6.741227117097051e-22,1.7057309253073718e-26,3.897081568900092e-17,1.2116064049413831e-30,2.198511788507941e-30,5.021655121564154e-40,6.916184543287573e-23,1.8747841383239474e-44,2.186398841834472e-47,1.8048967795037954e-29,6.311451767296676e-43,2.3243347526240298e-61,1.176475344878934e-30,1.2685618518991787e-43,9.271963213700001e-55,1.7451462108838745e-50,3.998545310967245e-67,8.372466326034445e-17,2.5078596571211087e-29,8.372466326009506e-17,2.873522872890919e-33,4.2329760968542344e-57,9.243468626528208e-33,2.996312233338928e-18,3.1675706083174654e-44,1.7838699265911102e-60,4.176462314583486e-31,5.068970215864295e-43,2.0480826706082436e-44,1.8009178630049557e-46,8.516041143677363e-59,2.830047271734299e-53,4.0872346558868035e-39,2.859966622805959e-45,9.116372555314841e-46,1.0892105535729098e-56,1.8413983822939067e-72,4.109483922095079e-71,1.307569410374125e-77,1.5043839644343158e-18,1.935218735879305e-43,1.0759762399216175e-60,7.262700420423714e-48,6.0645361236827346e-52,3.242297930294665e-30,2.996312232696796e-18,1.7887706484738038e-44,4.895765834114469e-16,1.3915142525754772e-31,6.0715812378695955e-28,8.378575101929144e-44,1.9828168887879487e-42,9.831300071574417e-38,1.5043839639632472e-18,1.5171173532425036e-59,2.4695932150602314e-34,1.6499037231608944e-59,6.450644424379462e-61,1.1935008630503226e-44,2.2236713064140553e-63,4.251822063684305e-59,3.7573869420715165e-30,2.022702082149063e-59,5.840119022161605e-45
1.6152661752182704e-18,0.18732903180659716,3.76,0.0,0.973986091217339,0.9999999999999999,1.6624430722851317e-38,9.80859008578107e-16,1.1419836647364241e-28,1.463676713597021e-13,1.4636767135970425e-13,6.936239843490102e-30,2.646537215626821e-28,2.6450350650934276e-28,2.9399508399518514e-38,2.822900763487683e-38,1.3874835705471852e-16,6.304793906736973e-30,6.067228937360406e-17,1.3506284049959825e-21,6.84074391589018e-26,7.807741817590597e-17,4.85908358893268e-30,8.81701558785157e-30,4.029561982148698e-39,1.385646737534752e-22,1.5058361168124726e-43,1.754447411663129e-46,7.238443340635829e-29,5.064542560843089e-42,3.731072110249734e-60,4.7181923233584234e-30,1.0189316122857405e-42,1.4899071343581672e-53,1.4003699284722067e-49,1.2852320691175788e-65,1.6774105008592692e-16,1.0057638892693657e-28,1.6774105008492672e-16,1.1524111965590742e-32,6.794864070207937e-56,3.707044336308883e-32,6.0030645790590395e-18,2.544364949866614e-43,2.863506408837679e-59,1.6749481846800715e-30,4.067645891756203e-42,1.6451313894855598e-43,1.4465951693385274e-45,6.874990539730837e-58,2.270934708392727e-52,3.2797486565894584e-38,2.297280723100822e-44,7.322766205877892e-45,1.7502475128424533e-55,5.918714917577033e-71,1.320890500031976e-69,4.2028553435124356e-76,3.014009684721243e-18,1.5531997415217607e-42,1.727180361581132e-59,5.833796003313781e-47,4.8664085976947357e-51,1.3003064853225879e-29,6.003064576483799e-18,1.436837863821377e-43,9.808590085768909e-16,5.580594522816821e-31,2.4349756336149087e-27,6.723278890729719e-43,1.5910856774857518e-41,7.888999125989974e-37,3.014009682832047e-18,2.4387218488987622e-58,9.904173343419892e-34,2.652172037575441e-58,1.036922320228176e-59,9.586847975464815e-44,3.5744901186895713e-62,6.834679786920881e-58,1.5068802168460454e-29,3.250269947221979e-58,4.69110117254021e-44
