Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154),CHO2(147),S(841),CH3F(39),C2H5O(149),C2H2O(132),C2HF(57),S(1780),C2HF(2524),CHF2(81),S(1754),C2H3F2(63),CH2CF2(56),C2H3F2(64),C2H5O(167),C2H3F2(65),CF2CH(72),C2HF2(71),C2F(2523),S(1862),S(499),F(37),C2H2F2(58),C2H4(136),O2(150),C#CC(4975),CH3O2(356),C3H4(6072),C3H4(6556),CHF(40),CF2(43),CHF3(42),CF(50),S(4414),C2H2F3(66),C2H2F3(67),S(4446),CF2O(49),S(6032),S(2070),CFO2(332),C3H3(4381),S(4999),C3H3(8252),S(5941),S(7087),S(2403),S(5038),S(8410),S(2402),S(10418),CHO2(146),CFO(51),S(10885),S(4379),S(10215),S(4983),S(7380),S(7383),S(1043)
0.0,0.701567010476642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9032087067275778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.009129898855014e-22,0.701567010476642,1.2917930780610924e-26,9.371192524995295e-29,5.858877277114096e-38,4.38956646641172e-38,0.0,0.0,1.1463887361934152e-21,1.6804337990244853e-39,8.431133628794718e-52,2.208247025503245e-50,5.639232822792932e-52,2.307766059602033e-65,3.7720439185654626e-44,6.533561919006083e-37,2.1686673031389894e-21,5.428505532460442e-39,2.9816871548102404e-78,9.101772355116255e-76,6.104929826273386e-53,4.382289767315341e-38,1.6383677049159893e-23,6.045443392687917e-56,7.1004155844369524e-40,1.0634690979948526e-55,5.743229623117577e-40,3.3937009757404797e-18,1.1257260002079201e-39,7.272340005908576e-24,9.184248316287232e-56,4.5609525148171187e-61,8.058583196772647e-55,2.4040251987181503e-41,3.76,0.0,0.9032087067275778,0.9999999999999994,6.075902658696382e-52,5.7445854805737895e-21,3.3937009757404797e-18,5.408718333551658e-22,3.685863919237714e-35,6.055298207689535e-22,5.536150223121293e-59,9.83496506824294e-58,1.3087542075580504e-60,2.4976448188377512e-64,2.2127463994330557e-72,2.16866730313899e-21,5.434581263871606e-38,1.9437758365103772e-42,4.4050734399085386e-57,1.3191791205802255e-55,2.4963709058926653e-39,3.368010217761125e-38,1.6383677049160607e-23,2.9183391470616836e-42,3.2236215340986537e-74,1.500628495504547e-74,1.1203978824541171e-88,5.7092233265123345e-95,7.587801118084592e-58,9.912674994421386e-79,2.363300334598919e-56,5.6103899792503096e-70,1.0016426835841044e-59,1.9253233767688873e-54,6.192811986866573e-57,4.289567101140258e-74,1.058721269132555e-59,3.100382730943401e-100,7.756051160296382e-93,3.150716334399993e-39,7.272340005908147e-24,2.1632835059084376e-59,8.0743109722811e-40,5.267608238179842e-16,1.054204619558906e-77,7.809165043473402e-39,2.991682169999071e-78,5.959069034427788e-90,5.744585480573786e-21,3.678905801492814e-57,2.0316553797361776e-78,7.38849068728976e-41,1.169851210882901e-75,6.03226387503668e-79,7.270442123234957e-92,1.2320983344019094e-89,9.732035104901728e-75,7.366638201856142e-42,8.944575308412013e-41,3.8147813130848706e-36,1.6921614393555355e-75,3.7194154990392965e-98,2.1649698046019956e-94,3.5380225531626304e-75,2.406831735654825e-89,3.2450674456754253e-77,3.269152953197046e-79,7.571464823821712e-94,2.393623483983928e-77,2.993452240563407e-80,1.092310503355157e-58,2.233413371393804e-59,4.670312343848498e-78,7.093101647021498e-76,1.7250382870603475e-76,2.2506391625222164e-79,1.189970026863075e-90,6.281555314758443e-88,2.2453575163956598e-62
1.1225563716794038e-21,0.7015670104766418,3.6170206315857995e-26,2.623933907163425e-28,3.5387618753776738e-37,2.6512981457258984e-37,0.0,0.0,3.2098884613415632e-21,1.0149820146107894e-38,1.0009441844113448e-50,2.6216308686792405e-49,6.694897211491999e-51,2.7397798659593656e-64,2.278314526813449e-43,3.946271399079368e-36,6.072268448789169e-21,3.278817341606365e-38,6.669914898143356e-77,2.8609116833995085e-74,7.247772689751713e-52,2.6469030194584455e-37,4.587429573764559e-23,7.177150395798944e-55,4.288651012999819e-39,1.2625505131394615e-54,3.468910692363087e-39,9.502362732073343e-18,6.799385041255815e-39,2.036255201654393e-23,1.0903539601096045e-54,5.414762825591075e-60,1.0631783071113869e-53,1.4520312200257634e-40,3.76,0.0,0.9032087067275778,0.9999999999999984,7.213311636450072e-51,1.6084839345606613e-20,9.502362732073343e-18,1.5144411333944062e-21,2.2262618072195117e-34,1.6954834981530103e-21,6.578502263500985e-58,1.3715800445578678e-56,1.5537529952156484e-59,2.965204298737439e-63,5.822485650964199e-71,6.072268448789171e-21,3.282487083378447e-37,1.1740406052525769e-41,5.229703187870994e-56,1.5661294519524608e-54,1.5078080271716616e-38,2.0342781715275432e-37,4.5874295737649916e-23,1.762676844823323e-41,7.503849872638876e-73,3.9215661091102224e-73,5.418703521665261e-87,2.7426605714838804e-93,1.1466670121493712e-56,2.2183284209395205e-77,2.815436288396113e-55,1.2592130478584204e-68,1.513682423432591e-58,2.2857439128970167e-53,7.579653972366393e-56,1.2097265555951617e-72,1.5999395819131068e-58,1.4893954667577326e-98,3.751144338513259e-91,1.9030326659775344e-38,2.0362552016541314e-23,3.269154034130149e-58,4.876883827252022e-39,1.4749303066885351e-15,3.314587996634674e-76,4.716735686257877e-38,9.40632741161763e-77,2.8541465097606375e-88,1.608483934560659e-20,5.55951803122419e-56,5.729586041016111e-77,4.462648375123012e-40,3.2991675908839658e-74,1.7011949289830312e-77,3.14426976678811e-90,5.10670544514884e-88,2.7446015623111795e-73,4.449449473927188e-41,5.40252348627213e-40,2.3041279131032484e-35,5.320426311163992e-74,1.925284802335015e-96,1.2469117609965317e-92,1.1124108990752149e-73,1.4641837969824512e-87,1.0203011259994675e-75,1.0278739949325208e-77,4.36077607952012e-92,7.5259352134028e-76,9.411892796680736e-79,1.2967910295929015e-57,2.651508354518743e-58,1.0447301900685002e-76,2.2301846474503745e-74,5.423796380640171e-75,7.076369629235907e-78,7.239153904906249e-89,3.821374369280153e-86,3.393184278838442e-61
2.565843135267209e-21,0.7015670104766418,8.267475790694173e-26,5.997563217150186e-28,1.7037615121859183e-36,1.2764859284523585e-36,0.0,0.0,7.336887911637859e-21,4.886701487563206e-38,9.827329357733805e-50,2.5739327329321232e-48,6.573089784313893e-50,2.689932119071606e-63,1.0969103715187007e-42,1.8999598060465077e-35,1.3879470740089517e-20,1.578609408839881e-37,1.317862786322256e-75,6.382013733336687e-73,7.115906205504107e-51,1.2743698643352712e-36,1.048555331146085e-22,7.046568818516559e-54,2.064800851954114e-38,1.2395795806227137e-53,1.6701311744026975e-38,2.171968624473907e-17,3.273611208604595e-38,4.6542976037814276e-23,1.0705159837463568e-53,5.316246251271398e-59,1.090486357601321e-52,6.990905277872388e-40,3.76,0.0,0.9032087067275778,0.9999999999999966,7.082072139043071e-50,3.676534707567227e-20,2.171968624473907e-17,3.461579733472653e-21,1.0718492277142249e-33,3.8753908529208875e-21,6.461435000498246e-57,1.4360051765060097e-55,1.5254839043378564e-58,2.911255906113594e-62,1.2339305445383062e-69,1.3879470740089532e-20,1.5803762315338587e-36,5.652500132576722e-41,5.134553601593276e-55,1.5376351829471215e-53,7.259446594523242e-38,9.794173713246702e-37,1.0485553311462936e-22,8.486530239626365e-41,1.5108591070948252e-71,8.291367636183537e-72,2.303416956178365e-85,1.1630463297307495e-91,1.2335315323666521e-55,4.383841256621799e-76,2.768473976255858e-54,2.492033859329262e-67,1.628350477850124e-57,2.244156927952494e-52,7.541459217704283e-55,2.6314194957528726e-71,1.7211419928033803e-57,6.315894739503677e-97,1.594560292854372e-89,9.16228310043425e-38,4.6542976037801674e-23,3.5168067298902175e-57,2.3480096307306994e-38,3.371269272422353e-15,7.394663485271761e-75,2.2709051946419768e-37,2.098499901393709e-75,1.4830144105818486e-86,3.6765347075672146e-20,5.980660512662545e-55,1.2463095634977906e-75,2.1485730918638553e-39,7.176410138521208e-73,3.7004705579964425e-76,1.2503203894270805e-88,2.023709897311132e-86,5.970113065776885e-72,2.1422183891088812e-40,2.6010824996731225e-39,1.1093384058450593e-34,1.1869578423963344e-72,8.406554732987266e-95,5.591675697838568e-91,2.4817275221988265e-72,6.610020530786489e-86,2.276235685418183e-74,2.293130339425477e-76,1.955555027250988e-90,1.6789947459983358e-74,2.0997415081849308e-77,1.2731971227407137e-56,2.603266625696671e-57,2.06421080347677e-75,4.975419266177868e-73,1.2100191362568726e-73,1.5786991372275632e-76,3.2680993380852835e-87,1.725150934586274e-84,3.650232807456438e-60
5.452416662442819e-21,0.701567010476642,1.756838631714676e-25,1.274482183975959e-27,7.440774141946676e-36,5.5747494125477965e-36,0.0,0.0,1.559088681223044e-20,2.1341509247610958e-37,8.692161525950568e-49,2.276614353424459e-47,5.813823477095536e-49,2.3792144968062094e-62,4.7904957765767324e-42,8.297623637132953e-35,2.9493875322690185e-20,6.894202026228732e-37,2.3450664155767986e-74,1.1952427019030317e-71,6.293938453694494e-50,5.565508004490173e-36,2.2281800786850047e-22,6.232610320124524e-53,9.017527792233355e-38,1.0963941012685895e-52,7.293901621360423e-38,4.615433327007052e-17,1.4296720202640206e-37,9.890382408035356e-23,9.468592644157426e-53,4.702159604677018e-58,9.830502265377177e-52,3.0531120023720574e-39,3.76,0.0,0.9032087067275778,0.9999999999999928,6.264012605079965e-49,7.812636253580361e-20,4.615433327007052e-17,7.35585693362821e-21,4.681047177430838e-33,8.23520556245569e-21,5.7161075816431085e-56,1.305626936743745e-54,1.3492732378410305e-57,2.5749741902015275e-61,2.2635180902461172e-68,2.949387532269025e-20,6.901918205116895e-36,2.4685953123728338e-40,4.5414545136834564e-54,1.3600209061508893e-52,3.1703910506773013e-37,4.277372976553885e-36,2.2281800786859155e-22,3.706290716738359e-40,2.7113976273537685e-70,1.5194795675410962e-70,8.482301480150253e-84,4.278588117143884e-90,1.133827810746841e-54,7.801463468761385e-75,2.450376480516588e-53,4.437720452160849e-66,1.4967346292285954e-56,1.9849313884940773e-51,6.709934487607509e-54,4.878208265657216e-70,1.5820260180393296e-56,2.3234766225390182e-95,5.87194649929467e-88,4.0014097446870245e-37,9.890382408029854e-23,3.232551277220168e-56,1.025437493470767e-37,7.163947203860855e-15,1.3849386324691676e-73,9.917639605210295e-37,3.930258069814213e-74,5.913878034115336e-85,7.812636253580305e-20,5.497251846186462e-54,2.310447481580249e-74,9.383383172857918e-39,1.3303854939135102e-71,6.860048765319162e-75,4.471558733324004e-87,7.228223382070936e-85,1.106758752611815e-70,9.355630516451483e-40,1.1359610641547978e-38,4.844772267617565e-34,2.22304067563857e-71,3.1295507330415918e-93,2.1037281502401962e-89,4.648000990972769e-71,2.4958169654188413e-84,4.263137522904088e-73,4.2947793400943863e-75,7.35728676424518e-89,3.144571341306183e-73,3.932583461918311e-76,1.1261284366019116e-55,2.3025598493722625e-56,3.673152834410853e-74,9.318409645241207e-72,2.2662319267903515e-72,2.956728766008733e-75,1.2339719705193346e-85,6.513841434228734e-83,3.355192830036873e-59
1.122556371679404e-20,0.701567010476642,3.6170208202995317e-25,2.6239339095521915e-27,3.1063767323364894e-35,2.3273481406759156e-35,0.0,0.0,3.2098884613415597e-20,8.909660002427814e-37,7.306285504578632e-48,1.9136315403698106e-46,4.886868941936459e-48,1.9998731429921672e-61,1.9999376856221433e-41,3.4640945294527292e-34,6.07226844878914e-20,2.8781936333140976e-36,3.9552972735170864e-73,2.064455272443051e-70,5.2904345085707254e-49,2.3234900346303153e-35,4.587429573761488e-22,5.2388845170072285e-52,3.764640342867053e-37,9.215853048164373e-52,3.045060346177928e-37,9.502362732073342e-17,5.9685992531020485e-37,2.0362552016542646e-22,7.958922642917449e-52,3.9524484741023584e-57,8.336587930904767e-51,1.2746141603603692e-38,3.76,0.0,0.9032087067275778,0.9999999999999852,5.2652800296521453e-48,1.6084839345606645e-19,9.502362732073342e-17,1.5144411333935587e-20,1.954245049978882e-32,1.6954834981521494e-20,4.805145782307799e-55,1.111532009264676e-53,1.1341454562331234e-56,2.1644231619945065e-60,3.87207457616089e-67,6.072268448789166e-20,2.881414986104685e-35,1.0305899485219736e-39,3.8173661619864056e-53,1.1431795190243582e-51,1.323575854478545e-36,1.7857190174544785e-35,4.587429573765292e-22,1.547303415745123e-39,4.5914911355223744e-69,2.5981010639187437e-69,2.908056796131398e-82,1.4661723972378237e-88,9.700134922059276e-54,1.3158839206897095e-73,2.060360169861311e-52,7.487487519270838e-65,1.2804879869864903e-55,1.6684544330983755e-50,5.655804758985509e-53,8.384393621066139e-69,1.3534565658037109e-55,7.962012321416593e-94,2.0131274470382325e-86,1.670509800498005e-36,2.0362552016519677e-22,2.7655156745724973e-55,4.280999677423046e-37,1.4749303066621316e-14,2.3921370776902855e-72,4.140419306048765e-36,6.788543429405317e-73,2.1012157520726056e-83,1.608483934560641e-19,4.703012577033249e-53,3.971068587516781e-73,3.9173777624009606e-38,2.286592749078219e-70,1.1790671077597276e-73,1.5123515616785964e-85,2.443177618402061e-83,1.902235879178934e-69,3.9057915747088886e-39,4.742413828398296e-38,2.0225970521973994e-33,3.8397499359915533e-70,1.0781778881752356e-91,7.28454266927541e-88,8.028265835693022e-70,8.65914656458698e-83,7.363509903387076e-72,7.418163273826772e-74,2.547594819129591e-87,5.431464992441214e-72,6.792559965965139e-75,9.465788053536051e-55,1.935440293036118e-55,6.195309134484847e-73,1.609523533736256e-70,3.914352081429338e-71,5.1070136567647466e-74,4.281221709022904e-84,2.2599541457900157e-81,2.870438105474013e-58
2.2771857825496478e-20,0.7015670104766418,7.337385530646591e-25,5.3228373649220665e-27,1.2690562537409935e-34,9.507976550467885e-35,0.0,0.0,6.511488021578584e-20,3.639886826038989e-36,5.990134283823665e-47,1.568910753561614e-45,4.006550410901477e-47,1.6396168298692468e-60,8.170398009358823e-41,1.4151956459007566e-33,1.2318030281829329e-19,1.1758360123560853e-35,6.496587653803881e-72,3.430100205297921e-69,4.3374178447157076e-48,9.492214927593367e-35,9.305928563909037e-22,4.2951540471115346e-51,1.537978417250181e-36,7.555713127270908e-51,1.2440065092865967e-36,1.9276221542205922e-16,2.4383675454900732e-36,4.1306891233554963e-22,6.52520564051223e-51,3.2404560559495564e-56,6.864070528017871e-50,5.207214741431514e-38,3.76,0.0,0.9032087067275777,0.99999999999997,4.3167946831405285e-47,3.2629245529659247e-19,1.9276221542205922e-16,3.072152013453536e-20,7.98372868361758e-32,3.4394093819637906e-20,3.939713151884529e-54,9.169016670719395e-53,9.298409672290391e-56,1.7745284862144844e-59,6.403346718557512e-66,1.231803028182944e-19,1.1771520400796116e-34,4.2102962129501854e-39,3.1297074152658624e-52,9.372476376895565e-51,5.407239238475103e-36,7.295244852058397e-35,9.305928563924576e-22,6.321239325873048e-39,7.556179779251708e-68,4.295588997632077e-68,9.628510526869446e-81,4.85334992232845e-87,8.020258857922996e-53,2.161386216689371e-72,1.6894748033344107e-51,1.2300317064246658e-63,1.0587322298545032e-54,1.3678997479937626e-49,4.6432183178531444e-52,1.3896517544581866e-67,1.1190640618901333e-54,2.6355994058135712e-92,6.665419616772624e-85,6.824577608956386e-36,4.130689123346111e-22,2.286581839585176e-54,1.74892805377191e-36,2.992001479167609e-14,3.974571532065267e-71,1.691496385075808e-35,1.1279266439066188e-71,7.076429544789683e-82,3.26292455296583e-19,3.888540919339004e-52,6.581754715196483e-72,1.6003766368296526e-37,3.789859790831312e-69,1.9542172624373414e-72,4.974738922639617e-84,8.034115185667724e-82,3.152816777912697e-68,1.5956433011466126e-38,1.937430790000191e-37,8.262968915392668e-33,6.379801946963562e-69,3.578079674805168e-90,2.4236132298840644e-86,1.3339083758879947e-68,2.8838570124717475e-81,1.2234581835079516e-70,1.2325389227500854e-72,8.476008430885268e-86,9.024460319368884e-71,1.1285939974580109e-73,7.760624946118611e-54,1.586790886608379e-54,1.0175813856562607e-71,2.674247423772713e-69,6.503754527307037e-70,8.485379572563847e-73,1.4258255268894875e-82,7.526590795320422e-80,2.3733337351474605e-57
4.5864446042901355e-20,0.701567010476642,1.477811628405011e-24,1.0720644292531453e-26,5.1297282822964915e-34,3.8432761418182605e-34,0.0,0.0,1.3114687142052607e-19,1.471300451868283e-35,4.850966047747633e-46,1.27054460502246e-44,3.2446083996278156e-46,1.3278042187622624e-59,3.3026055088033425e-40,5.720447071032017e-33,2.480955394790951e-19,4.752917161959545e-35,1.0531248560116143e-70,5.591910663302947e-68,3.512553425801661e-47,3.836905041191475e-34,1.8742926544182456e-21,3.4783271067370447e-50,6.216754664112727e-36,6.118812385550779e-50,5.0284732100682295e-36,3.8823939162471074e-16,9.856271480298049e-36,8.319556966757051e-22,5.284280705061468e-50,2.624205328607613e-55,5.57036338528549e-49,2.10483945468732e-37,3.76,0.0,0.9032087067275775,0.9999999999999397,3.4958522548842412e-46,6.571805789776467e-19,3.8823939162471074e-16,6.187573773567502e-20,3.227150782754095e-31,6.927261149580991e-20,3.190547406004708e-53,7.447648934022387e-52,7.530093230605924e-55,1.4370650211779573e-58,1.0414856478593097e-64,2.480955394790994e-19,4.758236756419977e-34,1.7018690461339513e-38,2.534518208221491e-51,7.590074367805014e-50,2.1856925551261074e-35,2.9488546101231136e-34,1.8742926544245263e-21,2.5551460033436503e-38,1.2260597362193345e-66,6.985882208055996e-67,3.133785965297432e-79,1.5794378986594094e-85,6.521941196267016e-52,3.503734745491291e-71,1.3682870303111892e-50,1.9941019774003655e-62,8.609434663447826e-54,1.107760681070645e-48,3.762690945007466e-51,2.26268763842829e-66,9.10004310183275e-54,8.57709748179685e-91,2.1693904149892814e-83,2.7586033851451744e-35,8.319556966719116e-22,1.8594103773915808e-53,7.069446822598877e-36,6.026143823992101e-14,6.479554727477456e-70,6.837298835477249e-35,1.8388051035063214e-70,2.322389920540357e-80,6.571805789776079e-19,3.1620965693465345e-51,1.071668115167744e-70,6.468978244274689e-37,6.170804212375414e-68,3.181936214168117e-71,1.6139410014174681e-82,2.606083252504746e-80,5.133545068087475e-67,6.449845344949063e-38,7.831405021281564e-37,3.340024149107444e-32,1.040068735240806e-67,1.1658652288450511e-88,7.907050967655524e-85,2.1746073137896578e-67,9.413389065018015e-80,1.9945456240183276e-69,2.0093495208515634e-71,2.765302228843955e-84,1.4712147976743584e-69,1.8398930582092748e-72,6.28475529078236e-53,1.285024400307664e-53,1.649543276649984e-70,4.359698245979492e-68,1.0602761342152827e-68,1.3833310302501255e-71,4.654131912527147e-81,2.456804580369602e-78,1.929955579249356e-56
9.204962247771111e-20,0.7015670104766422,2.9659583121694735e-24,2.1516258215228776e-26,2.0626411809769844e-33,1.545364433807912e-33,0.0,0.0,2.632108538300055e-19,5.916034406817601e-35,3.904479499716416e-45,1.0226448330530016e-43,2.6115431145884827e-45,1.0687323516115777e-58,1.327963149699498e-39,2.300166607809499e-32,4.979260128006905e-19,1.911127086745001e-34,1.696025119837069e-69,9.030935987646166e-67,2.8272085823255286e-46,1.5428026417408632e-33,3.761692250464258e-21,2.799660263116955e-49,2.4997297081553535e-35,4.924952532530314e-49,2.0219269617426163e-35,7.791937440300134e-16,3.9631634127700494e-35,1.669729265355653e-21,4.253248833455077e-49,2.1121887491720036e-54,4.488171045419087e-48,8.463466873095521e-37,3.76,0.0,0.903208706727577,0.999999999999879,2.8137660270301087e-45,1.3189568263397621e-18,7.791937440300134e-16,1.2418417293771481e-19,1.2976231362179224e-30,1.3902964684791068e-19,2.5680563080413437e-52,6.003440018695899e-51,6.060874135996493e-54,1.1566843604025746e-57,1.6800606190183368e-63,4.979260128007078e-19,1.9132660722708268e-33,6.843140583703051e-38,2.0400007523911135e-50,6.109152172651763e-49,8.788573638874971e-35,1.1857214691897203e-33,3.761692250489514e-21,1.027412969927235e-37,1.9754673465690206e-65,1.126857988583226e-65,1.0113197894343812e-77,5.09679563566748e-84,5.260181804612582e-51,5.6426845191493984e-70,1.1013589940384101e-49,3.211573761308946e-61,6.943820954373466e-53,8.916221690453303e-48,3.0295365853684053e-50,3.6519869708916656e-65,7.339514433326467e-53,2.7678019381415193e-89,7.000948635073612e-82,1.10922228838593e-34,1.6697292653404003e-21,1.4996818311833492e-52,2.8425934745813127e-35,1.209442851289523e-13,1.0464498193136755e-68,2.7492477902102777e-34,2.969675153707066e-69,7.525579894865325e-79,1.3189568263396069e-18,2.5503453079108503e-50,1.7296766431205505e-69,2.6011477004227167e-36,9.959702877707603e-67,5.135657878435121e-70,5.200162586879364e-81,8.396224062935906e-79,8.285562648982857e-66,2.5934544459950764e-37,3.1489735149398934e-36,1.3430090203956546e-31,1.6797137855740764e-66,3.7645082754661074e-87,2.5547693595540786e-83,3.511996620445681e-66,3.0422445974031103e-78,3.221196510487187e-68,3.24510484344292e-70,8.934695669597334e-83,2.3760158280558835e-68,2.9714322034030024e-71,5.058517821992792e-52,1.0342994319642488e-52,2.6565385942736216e-69,7.040924312700299e-67,1.7123487888199255e-67,2.2340833089179653e-70,1.5041349983918595e-79,7.939967852808224e-77,1.556579093972692e-55
1.8441997534733064e-19,0.7015670104766423,5.942253812033433e-24,4.310748633053761e-26,8.2721136747759e-33,6.197602564919733e-33,0.0,0.0,5.273388186489603e-19,2.372594398239828e-34,3.1330989029619013e-44,8.206080746807765e-43,2.095598880221166e-44,8.575904057483935e-58,5.325726176301491e-39,9.224696871877692e-32,9.975869594438485e-19,7.664474390410196e-34,2.7224959471327563e-68,1.4516954119234834e-65,2.2686568359368685e-45,6.187328628721268e-33,7.536491442521596e-21,2.2465510446998648e-48,1.0025034161108478e-34,3.9519642446665745e-48,8.108831445546927e-35,1.5611024488406184e-15,1.5894057853359967e-34,3.3452764027140976e-21,3.4129643285767e-48,1.6948984502170457e-53,3.6033364988622666e-47,3.394228753919225e-36,3.76,0.0,0.9032087067275762,0.9999999999997576,2.2578700319394796e-44,2.642509321064024e-18,1.5611024488406184e-15,2.4880104334083624e-19,5.204049152344781e-30,2.785437175511393e-19,2.0607139230765422e-51,4.820949726121371e-50,4.863469794739244e-53,9.281814548702253e-57,2.699093286615428e-62,9.97586959443918e-19,7.673052678970907e-33,2.7444054411030755e-37,1.6369721295375139e-49,4.9022098774209445e-48,3.5246111117335612e-34,4.7552734182832175e-33,7.536491442622883e-21,4.120385530473756e-37,3.171811185363672e-64,1.8102989377858958e-64,3.249902466995772e-76,1.637822443052889e-82,4.2252640689796853e-50,9.057780535703414e-69,8.837882411490586e-49,5.155394319423415e-60,5.5776546119171336e-52,7.154706381252523e-47,2.4314102642271793e-49,5.8686450219839145e-64,5.8954971327608296e-52,8.894153200270324e-88,2.2497730665478773e-80,4.448477488201671e-34,3.3452764026529263e-21,1.204626003083651e-51,1.1400071212239723e-34,2.423099788771808e-13,1.682137521963462e-67,1.1025713269851917e-33,4.773666076395619e-68,2.4233147068972757e-77,2.6425093210634004e-18,2.0485759931512932e-49,2.7795439187857626e-68,1.0431765670437126e-35,1.6004975149439526e-65,8.252864340726812e-69,1.6697652156565788e-79,2.695912225847805e-77,1.3314676916578646e-64,1.0400912281228378e-36,1.2628792204954845e-35,5.3860668472475784e-31,2.7000908523700286e-65,1.2100675629455805e-85,8.214704126960395e-82,5.645431995578218e-65,9.783402562006587e-77,5.1779793119357914e-67,5.216411258978744e-69,2.8728965733218416e-81,3.8193760493835366e-67,4.7764904822870935e-70,4.0591419820258986e-51,8.29960156249009e-52,4.26433277776581e-68,1.1318080194886057e-65,2.752550666705898e-66,3.591223670173215e-69,4.837072717233247e-78,2.553374666423494e-75,1.2503289816787262e-54
