Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41)
0.0,0.3493881142438185,3.76,0.0,0.7929251051051852,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.132809796482516e-21,0.3493881142438185,3.76,0.0,0.792925105105185,1.0,1.3968754566470923e-46,3.158336573563426e-33,3.6820699262239505e-34,2.1794484077772203e-16,2.1794484077772203e-16,1.0312582705199193e-35,4.6841131570328346e-34,4.680163111841046e-34,2.754978686441126e-46,3.3331720318037385e-49,1.2546707846998629e-19,1.2374976228021705e-35,5.702716866877978e-20,1.309380473656292e-24,2.231405273076989e-31,6.844121918123683e-20,6.620965216631121e-36,3.0556199720657356e-35,3.2539085070143835e-47,4.134573164907018e-26,4.902922329318622e-53,1.059669915056921e-54,2.260623419303877e-34,4.995215907712535e-50,7.469270434331957e-71,1.7437591265160917e-35,2.7927095719804365e-52,2.5415854164652107e-65,1.8889886031471315e-72,8.607555878063206e-80,1.8584733045424889e-19,3.2011266732542965e-34,1.8584733045424607e-19,1.1438794078333288e-50
2.5571867430151044e-20,0.34938811424381855,3.76,0.0,0.7929251051051845,1.0,1.6583705421707796e-45,1.907635290432276e-32,2.2239702354636417e-33,6.102455541776215e-16,6.102455541776215e-16,6.228799953601713e-35,2.8292043472363572e-33,2.8268185195510044e-33,3.270710702758271e-45,3.9571418521161617e-48,3.5130781971596897e-19,7.474485641725223e-35,1.5967607227222862e-19,3.666266041740715e-24,1.347768784936199e-30,1.9163541370710421e-19,3.999062990849942e-35,1.8455944631277008e-34,3.863040179526308e-46,1.157680486174244e-25,5.8207493893593674e-52,1.2580401231674046e-53,1.3654165452524643e-33,5.930320325626341e-49,1.6708459190810906e-69,1.053230512413781e-34,3.315504803849774e-51,5.685429014382973e-64,5.939282406461899e-71,3.5519345343131155e-78,5.203725252718957e-19,1.9334805106455893e-33,5.203725252718783e-19,1.7286305611146997e-49
5.84499826974881e-20,0.34938811424381855,3.76,0.0,0.7929251051051838,1.0,1.6281980323516942e-44,9.184442755921947e-32,1.0707459345824888e-32,1.3948469809774199e-15,1.3948469809774199e-15,2.998899050164026e-34,1.3621401066479363e-32,1.3609914329218944e-32,3.211203165739102e-44,3.88514534367844e-47,8.029893022079636e-19,3.598643087108883e-34,3.6497387947770746e-19,8.380040039921958e-24,6.48892653407335e-30,4.380238027574035e-19,1.9253766850034456e-34,8.885742878767112e-34,3.7927557557723415e-45,2.646126825542444e-25,5.71484626702974e-51,1.2351512530270106e-52,6.573892903229518e-33,5.822423661998793e-48,3.3013099744979096e-68,5.070851539879721e-34,3.2551822770836335e-50,1.1233453281782794e-62,1.3250212329306868e-69,1.4051104451204333e-76,1.1894229149071844e-18,9.30887636582341e-33,1.1894229149071008e-18,1.859581875716498e-48
1.242062132321622e-19,0.3493881142438186,3.76,0.0,0.7929251051051822,1.0,1.4401227209257161e-43,4.01108744842504e-31,4.676228806682242e-32,2.9640498345770133e-15,2.9640498345770133e-15,1.3096980030354674e-33,5.948823715453846e-32,5.943807152022817e-32,2.840272835453775e-43,3.436367062986862e-46,1.70635226719207e-18,1.5716219809589346e-33,7.755694938829899e-19,1.7807599484334012e-23,2.833884696772091e-29,9.308005808522595e-19,8.408625825195038e-34,3.8806373645234376e-33,3.354649514383939e-44,5.6230195042833065e-25,5.054716804583692e-50,1.0924772957040736e-51,2.870991742406232e-32,5.149867792150346e-47,5.874504711346651e-67,2.2145740906453942e-33,2.8791718602937262e-49,1.998933287677508e-61,2.481618126322926e-68,5.014740137085699e-75,2.527523694177742e-18,4.0654308750328683e-32,2.527523694177378e-18,1.7092761215156048e-47
2.5571867430151046e-19,0.3493881142438188,3.76,0.0,0.7929251051051791,1.0,1.2105099209485183e-42,1.6745500513028686e-30,1.9522334752239809e-31,6.1024555417761876e-15,6.1024555417761876e-15,5.46773134557314e-33,2.483516801278738e-31,2.4814224818843394e-31,2.387420457894977e-42,2.888473576975961e-45,3.513078197160752e-18,6.56121239609871e-33,1.5967607226708524e-18,3.6662764165356416e-23,1.1830910757533036e-28,1.9163541370190022e-18,3.51043575792398e-33,1.6200897091892117e-32,2.8197850496287437e-43,1.1576804861782878e-24,4.248794043738269e-49,9.182929938093657e-51,1.1985825368161927e-31,4.328774182051285e-46,9.908210831489918e-66,9.245410888517932e-33,2.4201174316611714e-48,3.3714934010053916e-60,4.2863781783261816e-67,1.6943674782852625e-73,5.203725252718782e-18,1.697237362159349e-31,5.2037252527172606e-18,1.4623217083815412e-46
5.18743596440207e-19,0.34938811424381927,3.76,0.0,0.7929251051051728,1.0,9.924491692961704e-42,6.841083351797431e-30,7.975510745877149e-31,1.2379266956174486e-14,1.2379266956174488e-14,2.2337466602777578e-32,1.0145976508548134e-30,1.0137420506655484e-30,1.9573515334061316e-41,2.368145157673291e-44,7.126530057099992e-18,2.680469350895769e-32,3.2391431801557685e-18,7.437327669619435e-23,4.833313077423764e-28,3.8874612492606104e-18,1.4341275498391794e-32,6.618595084292915e-32,2.3118301479104094e-42,2.3484375576853427e-24,3.483418058299394e-48,7.5287207737366925e-50,4.896600750313113e-31,3.548990607862125e-45,1.6274266043690743e-64,3.777052018169986e-32,1.984158487756067e-47,5.53768822998422e-59,7.121881451320056e-66,5.570709764775675e-72,1.0556128369800552e-17,6.933768419335064e-31,1.055612836979434e-17,1.2090758669839163e-45
1.0447934407176e-18,0.34938811424382,3.76,0.0,0.7929251051051602,1.0,8.037110685588632e-41,2.765275270307109e-29,3.223828962133757e-30,2.4932889784970876e-14,2.4932889784970885e-14,9.029161129475028e-32,4.101165944160966e-30,4.097707452150209e-30,1.5851140195608666e-40,1.9177853546453034e-43,1.4353433776985967e-17,1.0834885686503092e-31,6.523908094762368e-18,1.4979503443304275e-22,1.9537024238083375e-27,7.829675473376314e-18,5.796972853951682e-32,2.675341955301923e-31,1.8721799920023616e-41,4.7299517007280104e-24,2.820962257191604e-47,6.0969532798306795e-49,1.979284312837112e-30,2.8740646078738874e-44,2.638128656409187e-63,1.526744815514598e-31,1.6068229860764293e-46,8.976831412452609e-58,1.1610464235141786e-64,1.806846391363989e-70,2.126093460396286e-17,2.8027400565139008e-30,2.1260934603937743e-17,9.832004151503744e-45
2.0968931292723856e-18,0.3493881142438216,3.76,0.0,0.7929251051051351,1.0,6.468965897101294e-40,1.1119050240667017e-28,1.296287447727744e-29,5.004013544256288e-14,5.0040135442562884e-14,3.6305859650133074e-31,1.6490608040031967e-29,1.647670144098225e-29,1.2758376647325893e-39,1.5436005090861016e-42,2.880724121678792e-17,4.3566598809889925e-31,1.3093437922522638e-17,3.006414806074289e-22,7.855751518264218e-27,1.571410392013768e-17,2.33093728874956e-31,1.0757432336453972e-30,1.5068933335100332e-40,9.492979986927595e-24,2.2705558425462843e-46,4.907358425760576e-48,7.958615167019206e-30,2.3132972341162947e-43,4.248624872666968e-62,6.138973753737532e-31,1.2933109294880332e-45,1.4456910373817495e-56,1.8750930751013238e-63,5.820996381994141e-69,4.267054707228255e-17,1.1269694498254202e-29,4.2670547072181557e-17,7.929867536077727e-44
4.201092506381957e-18,0.3493881142438248,3.76,0.0,0.7929251051050848,1.0,5.1909377384226964e-39,4.459236458173843e-28,5.198692451889096e-29,1.0025462675774365e-13,1.0025462675774371e-13,1.4560273431040678e-30,6.613471508360549e-29,6.607894216002507e-29,1.0237793764446265e-38,1.2386422153343118e-41,5.771485609651183e-17,1.7472154686559286e-30,2.623249757223144e-17,6.023460957589528e-22,3.150507715164364e-26,3.1482960807780223e-17,9.348101066580422e-31,4.314211504837904e-30,1.2091869992636355e-39,1.9019036559783805e-23,1.8219780686920216e-45,3.9378460871784863e-47,3.191760637482396e-29,1.856275343573142e-42,6.819983850695156e-61,2.4620030469429462e-30,1.0378005708013276e-44,2.3206542968425074e-55,3.014157353428376e-62,1.868999867920346e-67,8.548977200890223e-17,4.5196515432040964e-29,8.548977200849721e-17,6.369700848194121e-43
