Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34)
0.0,0.47376279343140776,3.76,0.0,0.8443838798780579,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.488164721284874e-20,0.47376279343140776,3.76,0.0,0.8443838798780575,1.0,6.8573166780443865e-46,4.5204840895105474e-33,7.305563899753925e-34,2.7613396763657247e-16,2.7613396763657247e-16,6.529641844479326e-36,3.541609690895941e-34,3.5352969386953973e-34,5.859598617367381e-46,8.785399346910351e-49,1.16481155631105e-19,1.8869224428543704e-35,5.529819066185915e-20,9.762440323685977e-25,3.261367630245061e-31,6.118394121263036e-20,3.77979322558931e-36,4.475750076768463e-35,6.150562010351294e-47,8.104575935689486e-27,5.159021045207925e-53,1.7893958312744252e-54,6.38189652795648e-34,1.1582973842122333e-49,2.96861568171974e-70,4.068211128938197e-35,3.373623929904361e-52,9.518483397804695e-65,3.5933170791339496e-58,8.052817080364833e-79,1.4742005374134315e-19,6.450410084170983e-34,1.4742005374133968e-19,1.352127430422356e-38,2.2973407177295892e-66,1.4481375595326298e-51,4.850806970248236e-34,3.416145640344557e-57,7.372861378431579e-71,5.661137342525128e-36,2.04824684882791e-50,4.211036419463672e-62,2.8124212794878924e-64,3.817488932564624e-67,2.2729309743372716e-61,9.572966570928845e-62,4.0866973939069e-83,1.205068997996362e-85,6.516704536579749e-67,2.2481115622018286e-85,6.124111833453312e-83,1.3755514747214354e-90,3.067086495226146e-35,4.7007063743512085e-51,3.317024152533704e-70,3.945940068413585e-65,1.7669332653647618e-68
9.766861219597646e-20,0.47376279343140787,3.76,0.0,0.8443838798780572,1.0,8.14100636033367e-45,2.7303723900642866e-32,4.4125605955195005e-33,7.731751093824026e-16,7.731751093824026e-16,3.9439036734740516e-35,2.139132254504024e-33,2.135319350969959e-33,6.956515482330585e-45,1.0430026113851463e-47,3.2614723576711702e-19,1.1397011554841045e-34,1.548349338526871e-19,2.733484324078868e-24,1.9698660486627507e-30,1.713150353948408e-19,2.282995108260614e-35,2.7033530463690143e-34,7.301947218682738e-46,2.2692812638381625e-26,6.124789784857475e-52,2.1243707309250794e-53,3.8546655028516516e-33,1.3751306545332805e-48,6.640674535387122e-69,2.4571995218718693e-34,4.0051663295717153e-51,2.1292469054552078e-63,4.265986036337035e-57,3.3230178865831034e-77,4.1277615047575683e-19,3.896047690839236e-33,4.1277615047573613e-19,8.166849679772489e-38,5.13905929145317e-65,1.7214644234559277e-50,2.9298874100299114e-33,4.0556481042271135e-56,1.6492795989232236e-69,3.419326954876109e-35,2.4316786589179077e-49,9.419920028844305e-61,6.29127390533865e-63,4.533295006999183e-66,2.698423652726605e-60,2.1414343311656216e-60,1.6863871223468737e-81,4.97275096219884e-84,1.4577607380110793e-65,9.276895308524765e-84,2.5271321772574137e-81,5.676251675869036e-89,1.8525202431194104e-34,5.580678607617908e-50,7.420050348306458e-69,1.2406666925407263e-63,3.9614044881144846e-67
2.232425421622319e-19,0.473762793431408,3.76,0.0,0.8443838798780562,1.0,7.992888320348234e-44,1.3145567732295412e-31,2.1244579821506378e-32,1.767257392874062e-15,1.767257392874062e-15,1.8988198474873954e-34,1.0299000999168532e-32,1.0280643497695291e-32,6.829948153773761e-44,1.0240261495861954e-46,7.454793960392333e-19,5.48717046382148e-34,3.5390842023226915e-19,6.2479690412865855e-24,9.484057068673641e-30,3.9157722375716503e-19,1.0991638700083753e-34,1.301548122325564e-33,7.169095079245878e-45,5.186928611757017e-26,6.013354930252522e-51,2.085719781045309e-52,1.8558555102786524e-32,1.3501114310269822e-47,1.3120853832589212e-67,1.1830357962850256e-33,3.932296052663176e-50,4.2070332914873465e-62,4.188370387405082e-56,1.3145528987844802e-75,9.434883439445693e-19,1.875779252476867e-32,9.434883439444693e-19,3.9319865676997856e-37,1.0153915152282402e-63,1.6911235674513436e-49,1.4106146669481514e-32,3.981859358416202e-55,3.258698560143464e-68,1.646258739192705e-34,2.3874365269609916e-48,1.861217458453838e-59,1.2430497066517354e-61,4.453298557006451e-65,2.649328343664136e-59,4.231113376901956e-59,6.6711797510034606e-80,1.967170828500906e-82,2.8802895645998038e-64,3.669847528726097e-82,9.997084103598752e-80,2.2454687147337204e-87,8.919087528159909e-34,5.479143349907042e-49,1.4660769103065096e-67,2.7678591420319854e-62,7.834888587047409e-66
4.743904020947428e-19,0.4737627934314081,3.76,0.0,0.8443838798780542,1.0,7.069619203209309e-43,5.7410147936770924e-31,9.278066153743528e-32,3.755421959857376e-15,3.755421959857376e-15,8.292645133321089e-34,4.4978443260824175e-32,4.489827112111197e-32,6.041011795940318e-43,9.057395336062062e-46,1.5841437165838347e-18,2.3963915024260538e-33,7.520553929831378e-19,1.327695501085072e-23,4.141936890329595e-29,8.321016004734267e-19,4.800337396570786e-34,5.6842025975093306e-33,6.340983410150627e-44,1.102222333711643e-25,5.318744336679401e-50,1.844795526445534e-51,8.105008589976783e-32,1.1941582712047723e-46,2.3347858350675106e-66,5.166628133646097e-33,3.4780713267041305e-49,7.486191136977134e-61,3.7045661758336944e-55,4.6915460353343104e-74,2.0049127308821327e-18,8.192020806896597e-32,2.0049127308816955e-18,1.7172018366687332e-36,1.80683494844732e-62,1.4961686813900805e-48,6.160524852214894e-32,3.5219095094332726e-54,5.7986799763695934e-67,7.189644424866355e-34,2.1116605711986998e-47,3.311937022790828e-58,2.2119405370577572e-60,3.9433084912305574e-64,2.3433009172512812e-58,7.529040187512352e-58,2.380896667308608e-78,7.020692957748943e-81,5.125321386867586e-63,1.3097425158274565e-80,3.567888392163015e-78,8.01391834575354e-86,3.8951998489808896e-33,4.846240243623996e-48,2.608805529786061e-66,5.1838938479434756e-61,1.3948156450386244e-64
9.766861219597647e-19,0.47376279343140837,3.76,0.0,0.8443838798780502,1.0,5.942440917542242e-42,2.3967606642573202e-30,3.8734099805999707e-31,7.731751093823985e-15,7.731751093823985e-15,3.4620160976920485e-33,1.8777614748931436e-31,1.8744144368675375e-31,5.0778344129624025e-42,7.613286544681495e-45,3.2614723576745115e-18,1.00044627920229e-32,1.548349338451693e-18,2.7334993090573784e-23,1.7291771174824626e-28,1.7131503538724033e-18,2.0040463682725723e-33,2.373042690714685e-32,5.329978629103618e-43,2.2692812905922087e-25,4.4707250932802726e-49,1.550661797475198e-50,3.383681538647376e-31,1.0037619803590422e-45,3.937957570351358e-65,2.156965540468161e-32,2.923528519545087e-48,1.262655569998796e-59,3.113911087576774e-54,1.585167389470197e-72,4.1277615047570154e-18,3.420007426626962e-31,4.127761504755191e-18,7.168979636389173e-36,3.0474912306042678e-61,1.2577741750937744e-47,2.571897855625284e-31,2.960377153707309e-53,9.780321333672135e-66,3.001535018880323e-33,1.7749779471196412e-46,5.586065871624447e-57,3.7307610196452587e-59,3.322017887212534e-63,1.9696856153698372e-57,1.2698826744456755e-56,8.044511729221255e-77,2.3721334749828797e-79,8.644603651483199e-62,4.42532394427838e-79,1.2055088630369811e-76,2.7077218853815405e-84,1.6261692598082184e-32,4.0735569325708392e-47,4.40013183730142e-65,8.953887478356768e-60,2.3530805808972545e-63
1.9812775616898085e-18,0.4737627934314091,3.76,0.0,0.8443838798780422,1.0,4.871972092556882e-41,9.791549357233499e-30,1.582414363747005e-30,1.5684409361757125e-14,1.5684409361757125e-14,1.4143465350958464e-32,7.671268396939884e-31,7.657594580848259e-31,4.16311544159538e-41,6.241832309913294e-44,6.616129639861766e-18,4.087149488127923e-32,3.1409372292560735e-18,5.545133381239911e-23,7.064252741193973e-28,3.4752478605361684e-18,8.187183318906797e-33,9.694653696385551e-32,4.369838503818502e-42,4.603399251588077e-25,3.665370541163032e-48,1.2713262289848557e-49,1.3823443151391916e-30,8.229447162066244e-45,6.468107134373675e-64,8.811908032922052e-32,2.39688531236449e-47,2.073915576715326e-58,2.552972444066915e-53,5.2116835915972816e-71,8.373459052505802e-18,1.3971846258713545e-30,8.373459052498349e-18,2.9287620996369296e-35,5.005513489097205e-60,1.031260641117075e-46,1.0507041929833686e-30,2.427096049164071e-52,1.6064207161130233e-64,1.2262249928332095e-32,1.455234160589232e-45,9.175129967377712e-56,6.127786177119888e-58,2.7357746954815264e-62,1.614867270787307e-56,2.085786106008823e-55,2.644859453009248e-75,7.799055874616727e-78,1.419878745505097e-60,1.4549496924500198e-77,3.963449411859413e-75,8.902397144339313e-83,6.643432032452516e-32,3.339748087141907e-46,7.227229756471892e-64,1.4877017959976165e-58,3.8653625703579625e-62
3.990460441149895e-18,0.4737627934314105,3.76,0.0,0.8443838798780263,1.0,3.945449316897653e-40,3.957900803594616e-29,6.396371867921108e-30,3.158972589762311e-14,3.158972589762311e-14,5.717014800186729e-32,3.100849398509943e-30,3.0953221638805633e-30,3.3713988205585754e-40,5.054797675562369e-43,1.3325444204259868e-17,1.6520911710025439e-31,6.32611301033392e-18,1.1168507350556623e-22,2.855483905414124e-27,6.999442873326944e-18,3.309390399531772e-32,3.91873402829837e-31,3.5388085159998486e-41,9.271635362518776e-25,2.9683120951538505e-47,1.0295529421976842e-48,5.5876567379500485e-30,6.664419674080903e-44,1.0485080394883951e-62,3.5619141168588506e-31,1.9410598692197117e-46,3.361906529948363e-57,2.0674632753041387e-52,1.6903970846787568e-69,1.6864854147999468e-17,5.6476436483723094e-30,1.6864854147969344e-17,1.1838524676526682e-34,8.114153041416348e-59,8.351660895097747e-46,4.247114341184597e-30,1.9655253074907324e-51,2.604077206870471e-63,4.956597477092181e-32,1.178486352560378e-44,1.4873281058134359e-54,9.933405455977396e-57,2.2352351418207987e-61,1.3077613840067008e-55,3.3811491603704455e-54,8.578538237572408e-74,2.5296050790412457e-76,2.3016846329883734e-59,4.719094451525878e-76,1.2855353180634936e-73,2.88747117431816e-81,2.6853814469960785e-31,2.704614589584518e-45,1.1715650880746778e-62,2.4253294033607578e-57,6.26625788710982e-61
8.00882620007007e-18,0.4737627934314131,3.76,0.0,0.8443838798779945,1.0,3.175640859692412e-39,1.5914545056419232e-28,2.571952998533006e-29,6.340035896935386e-14,6.34003589693539e-14,2.298786483307077e-31,1.2468379529094904e-29,1.2446154282929914e-29,2.7135950756393694e-39,4.0685409919600944e-42,2.6744073333150463e-17,6.642985937017508e-31,1.2696464570365949e-17,2.2415678588996495e-22,1.1481775192832665e-26,1.404783289676149e-17,1.3306913246094555e-31,1.5757057175946927e-30,2.8483409628882547e-40,1.860810834013622e-24,2.389155811127673e-46,8.286737779401257e-48,2.24677219756907e-29,5.3641047441644665e-43,1.6885898740250008e-61,1.4322300002512832e-30,1.5623338508482694e-45,5.414246831158194e-56,1.6640743089122182e-51,5.445839382724127e-68,3.384764433897116e-17,2.2708926717699543e-29,3.3847644338850027e-17,4.760218705530531e-34,1.306759324202793e-57,6.722241060765589e-45,1.7077459971019022e-29,1.5820257645683342e-50,4.193786064638105e-62,1.9930260452707456e-31,9.485483422491667e-44,2.395296061940902e-53,1.5997443252622468e-55,1.8308789360371002e-60,1.0526001342951872e-54,5.4452364873418485e-53,2.7636903638977983e-72,8.149459723640161e-75,3.706792143786289e-58,1.5203191382296166e-74,4.1415232614598925e-72,9.302373014026569e-80,1.0797800692124416e-30,2.1769091175279811e-44,1.8867694579819477e-61,3.9169134626754434e-56,1.009188700435659e-59
1.604555771791042e-17,0.4737627934314185,3.76,0.0,0.8443838798779307,1.0,2.548251800034765e-38,6.382444363022057e-28,1.0314681879927405e-28,1.2702162511281057e-13,1.2702162511281062e-13,9.219161766926304e-31,5.000378236469011e-29,4.991464534653619e-29,2.1774891515874211e-38,3.2647480229019003e-41,5.3581331591309195e-17,2.6641344755724947e-30,2.543716768193536e-17,4.491171426510062e-22,4.604705385594119e-26,2.8144612935042554e-17,5.336667379413143e-31,6.319284679437072e-30,2.285614240194784e-39,3.728105731839683e-24,1.9171470740617978e-45,6.64958520314511e-47,9.010561394821686e-29,4.3043562361602145e-42,2.7105607144764375e-60,5.74388287936413e-30,1.2536745224882002e-44,8.691065241608095e-55,1.3353148326933256e-50,1.748544815114043e-66,6.781322472085199e-17,9.107295295358146e-29,6.78132247203662e-17,1.9090606075625284e-33,2.097638091344159e-56,5.394214173010335e-44,6.848825256436601e-29,1.26947604398508e-49,6.731955424320378e-61,7.992925841331022e-31,7.611503067064305e-43,3.844980655223082e-52,2.56794393055829e-54,1.5201475135651248e-59,8.446453169738443e-54,8.74081049874182e-52,8.873630158595014e-71,2.616620610208247e-73,5.950222319292223e-57,4.881425911179714e-73,1.3297562568608289e-70,2.986796885564855e-78,4.330401021879834e-30,1.7468324693533561e-43,3.0286828396012e-60,6.2963239865309684e-55,1.619993189622649e-58
