Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69),C2H2F(70),CH2CFO(78),S(1534),S(414),CH2F(46),CHFO(47),CH2F2(41),S(2175),CH2O2(154),CHO2(147),S(841),CH3F(39),C2H5O(149),C2H2O(132),C2HF(57),S(1780),C2HF(2524),CHF2(81),S(1754),C2H3F2(63),CH2CF2(56),C2H3F2(64),C2H5O(167),C2H3F2(65),CF2CH(72),C2HF2(71),C2F(2523),S(1862),S(499),F(37),C2H2F2(58),C2H4(136),O2(150),C#CC(4975),CH3O2(356),C3H4(6072),C3H4(6556),CHF(40),CF2(43),CHF3(42),CF(50),S(4414),C2H2F3(66),C2H2F3(67),S(4446)
0.0,0.6974489827069317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5526327019705818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.364643262482373e-22,0.6974489827069317,1.6552331051054297e-26,4.82242886802066e-28,4.0025357067579565e-38,7.303141267620048e-38,0.0,0.0,1.103778987858892e-21,9.702646397194624e-40,6.820976185422157e-52,7.931137460728066e-52,5.5763803248202314e-52,1.0730719190323492e-64,1.383304830647359e-43,8.742711734804212e-37,2.871317515127647e-21,6.062610404463393e-39,6.400855440292816e-78,9.083153313044124e-77,6.351652414855593e-53,7.298647754235566e-38,3.676911325970586e-23,4.293742293247053e-56,9.558575598055351e-40,1.0449829789242086e-55,1.4304659487224087e-39,2.746707796576491e-18,1.5086726483437277e-39,1.7136076237011236e-23,9.12843657041901e-56,1.1452571315572672e-60,1.1801677817956505e-54,4.188802021036859e-41,3.76,0.0,0.5526327019705818,0.9999999999999996,2.4870191960728116e-52,1.087664419737692e-20,2.746707796576491e-18,5.022100002824246e-22,3.901532132665288e-35,6.015855399074412e-22,1.0798877514392465e-58,1.7691193334821968e-57,1.5092115058775448e-60,4.047469447798914e-64,2.270341249374961e-72,2.8713175151276473e-21,3.2057365855802937e-38,2.3974642499259077e-42,3.6492597836706626e-57,9.841789581820331e-56,1.9022223323091263e-50,1.3814149037013275e-38,3.676911325970679e-23,7.041738241183096e-42,5.708129753505252e-74,1.8135788617786583e-74,6.188015226674032e-89,1.508370844210515e-94,1.6074378361325616e-57,2.232318710751395e-78,2.7649261434474177e-56,7.533598051125962e-70,1.380819451236094e-59,2.1837963637979134e-54,8.424809763540708e-57,4.795801684968496e-74,1.3344366662333986e-59,8.334284919393661e-100,4.575007725722808e-93,1.976368327351538e-39,1.7136076237010907e-23,3.3305576604016627e-59,1.535514561031917e-39,4.690254907117103e-16,3.2219136005538388e-77,5.03822760013718e-39,7.170346173042133e-78,-1.6620525982299245e-116,1.087664419737692e-20,5.550317006294283e-57,3.7178014335731e-78,1.701635250428029e-40,7.143866745129341e-76,9.219283095602105e-79,1.226702273847221e-91,1.5654332445417545e-89
6.621001134950644e-22,0.6974489827069317,4.634652706872781e-26,1.3502800830493165e-27,2.417531566882399e-37,4.411097325648656e-37,0.0,0.0,3.090581166004896e-21,5.8603984239055517e-39,8.097862927369688e-51,9.415846393470934e-51,6.620278733441309e-51,1.2739509822751615e-63,8.355161177109867e-43,5.280597887821497e-36,8.039689042357409e-21,3.661816684296099e-38,1.4318457586022118e-76,2.816549836910944e-75,7.540681746916531e-52,4.408383243558262e-37,1.0295351712717358e-22,5.097530850542815e-55,5.773379661225324e-39,1.2406037925787924e-54,8.640014330283479e-39,7.690781830414174e-18,9.11238279599608e-39,4.7981013463631246e-23,1.0837279896401969e-54,1.3596492665847893e-59,1.5413525910341088e-53,2.5300364207062625e-40,3.76,0.0,0.5526327019705818,0.9999999999999987,2.9525891896107024e-51,3.045460375265538e-20,7.690781830414174e-18,1.4061880007907264e-21,2.3565254081297533e-34,1.6844395117407723e-21,1.282872035932231e-57,2.473996912895745e-56,1.7917358997819343e-59,4.80515623266211e-63,6.034825803386565e-71,8.039689042357412e-21,1.936264897690496e-37,1.4480684069554847e-41,4.332401215177559e-56,1.168417259153535e-54,2.2583183529163466e-49,8.343746018355324e-38,1.0295351712717918e-22,4.253209897671982e-41,1.3315298498272125e-72,4.7416346799375446e-73,3.022601107741078e-87,7.249430137375719e-93,2.4291568195936977e-56,4.9980319864262655e-77,3.296017932096075e-55,1.6919125495223377e-68,2.086694354708354e-58,2.592603043098864e-53,1.0334913062081189e-55,1.3524928079880715e-72,2.0166006900119064e-58,4.005567762119426e-98,2.2347106322690404e-91,1.193726469720284e-38,4.7981013463629253e-23,5.0331387364012784e-58,9.27450794862653e-39,1.3132713739918487e-15,1.0130211866320244e-75,3.0430894704828243e-38,2.2544715623422368e-76,8.613070375408614e-115,3.0454603752655374e-20,8.387548432487102e-56,1.048478140901066e-76,1.0277876912585293e-39,2.0146847239946517e-74,2.599985341490497e-77,5.224805202173681e-90,6.490415040963093e-88
1.5133716879887186e-21,0.6974489827069317,1.05934919607178e-25,3.0863544755579444e-27,1.1639373835261045e-36,2.123753480633132e-36,0.0,0.0,7.064185522296903e-21,2.8215295723041957e-38,7.950529841779325e-50,9.244533824517807e-50,6.499828923387304e-50,1.250772628823972e-62,4.022650447522247e-42,2.542380572480693e-35,1.837643209681693e-20,1.7630071056182702e-37,2.829085932473719e-75,6.2588214188718894e-74,7.403486054755588e-51,2.1224467669316723e-36,2.3532232486209774e-22,5.0047860170085e-54,2.7796337839143365e-38,1.2180321602339707e-53,4.1597949788849603e-38,1.757892989808954e-17,4.38722006138351e-38,1.0967088791687042e-22,1.0640105666480694e-53,1.3349117125431527e-58,1.5747690751507653e-52,1.2181036277175186e-39,3.76,0.0,0.5526327019705818,0.999999999999997,2.898869574989931e-50,6.96105228632123e-20,1.757892989808954e-17,3.2141440018070815e-21,1.134565544178945e-33,3.8501474554071825e-21,1.2598947654190084e-56,2.5927372801705165e-55,1.759136931263198e-58,4.717731895383293e-62,1.283290281671245e-69,1.8376432096816943e-20,9.322281990867476e-37,6.971826038788022e-41,4.253577203858143e-55,1.147158993656437e-53,2.2172303505362673e-48,4.017154539962422e-37,2.353223248621246e-22,2.047737480532132e-40,2.6835646801597516e-71,1.002800816388386e-71,1.2894054978383954e-85,3.0750347285521745e-91,2.6131749429588177e-55,9.879180812047159e-76,3.241964525527329e-54,3.3493716464257694e-67,2.244770565486911e-57,2.54543304163659e-52,1.0292788313726599e-54,2.9419672787578272e-71,2.16936699956229e-57,1.6990659600494445e-96,9.533008401091512e-90,5.7472790959376e-38,1.0967088791686083e-22,5.41442097737038e-57,4.4652763434714443e-38,3.0017631405483655e-15,2.2599945411597244e-74,1.4651165861198437e-37,5.029602037273149e-75,9.039767765334817e-113,6.961052286321228e-20,9.022910659849246e-55,2.28066794166317e-75,4.948355308244703e-39,4.382379336881405e-73,5.65553602558674e-76,2.0758254710645042e-88,2.572794341934895e-86
3.215914836976027e-21,0.6974489827069317,2.251117066964909e-25,6.558503260631707e-27,5.08322034759181e-36,9.274989409972755e-36,0.0,0.0,1.50113942348809e-20,1.2322360924437155e-37,7.032153608173283e-49,8.176685477127871e-49,5.749025076571509e-49,1.106294225645307e-61,1.7567971349218624e-41,1.11032439031975e-34,3.9049918205735945e-20,7.699515213671765e-37,5.034207259790245e-74,1.1704170776554103e-72,6.548299573619336e-50,9.269282647878861e-36,5.000599403319006e-22,4.426676554645425e-53,1.213939100952865e-37,1.0773356519515197e-52,1.8166917548776608e-37,3.735522603344027e-17,1.916014263396482e-37,2.3305063682334533e-22,9.411052966638583e-53,1.1807142923502812e-57,1.4172738590130187e-51,5.3197785667168134e-39,3.76,0.0,0.5526327019705818,0.9999999999999937,2.5640173104320608e-49,1.4792236108432618e-19,3.735522603344027e-17,6.830056003838796e-21,4.95494580848367e-33,8.181563342738996e-21,1.1145069715394049e-55,2.3582800375123304e-54,1.5559366941250696e-57,4.172782221248836e-61,2.3574005239195002e-68,3.9049918205735987e-20,4.0712854636869505e-36,3.044779597409469e-40,3.762240866597503e-54,1.0146491387262129e-52,1.9611151357105897e-47,1.7543969276996136e-36,5.00059940332018e-22,8.943007566262104e-40,4.818014956258407e-70,1.8379413332239677e-70,4.755158677037908e-84,1.1313663550909634e-89,2.401957578907284e-54,1.7582670973109709e-74,2.8698298457189003e-53,5.965251997628947e-66,2.063330889596298e-56,2.2514066992079547e-51,9.16180171627055e-54,5.4539115179822425e-70,1.9940220216191944e-56,6.251201147283247e-95,3.5156486995504733e-88,2.5099877757357582e-37,2.3305063682330343e-22,4.976785700804472e-56,1.9501034925008518e-37,6.378746673646355e-15,4.2327196571555286e-73,6.39854905217372e-37,9.41988797895238e-74,7.21729553508466e-111,1.479223610843261e-19,8.293598098947937e-54,4.2279732373574866e-74,2.1610767680435905e-38,8.12419271763424e-72,1.0484410650347015e-74,7.421684449420833e-87,9.190655302035978e-85
6.621001134950644e-21,0.6974489827069317,4.63465288924767e-25,1.3502800831005253e-26,2.1221444317313543e-35,3.872125500177914e-35,0.0,0.0,3.090581166004885e-20,5.1443431197925716e-37,5.910948826710655e-48,6.872996826384558e-48,4.832401982420079e-48,9.299069558822139e-61,7.334282212089744e-41,4.635385761789727e-34,8.03968904235739e-20,3.214396036449421e-36,8.490926360303811e-73,2.0202196193855004e-71,5.5042403562748815e-49,3.86974303929542e-35,1.0295351712713252e-21,3.7208883714501914e-52,5.067956782087463e-37,9.055655298077253e-52,7.584330460128027e-37,7.690781830414173e-17,7.998982381517973e-37,4.798101346362815e-22,7.910557076937858e-52,9.92461506093421e-57,1.20098167303261e-50,2.2209028315537442e-38,3.76,0.0,0.5526327019705818,0.9999999999999869,2.1552110430548137e-48,3.04546037526554e-19,7.690781830414173e-17,1.4061880007898238e-20,2.068592336738015e-32,1.6844395117398588e-20,9.368674842183869e-55,2.0080612259623382e-53,1.3078585436554827e-56,3.5074778873863523e-60,4.03534140963992e-67,8.039689042357406e-20,1.6996815376746522e-35,1.2711355453139127e-39,3.1623901404167184e-53,8.528737382951583e-52,1.6484354376093851e-46,7.324261819414786e-36,1.0295351712718144e-21,3.733529615438892e-39,8.160488701306561e-69,3.142774002639341e-69,1.631361328857531e-82,3.8771168166959497e-88,2.0549251244897285e-53,2.965834607385013e-73,2.4131962252419354e-52,1.0065448469204616e-64,1.7652230166328774e-55,1.8924429881016076e-50,7.724021539759094e-53,9.373880418996342e-69,1.7059278208726914e-55,2.1422448161262233e-93,1.2061202840570599e-86,1.04787048716116e-36,4.798101346361065e-22,4.2577449464020944e-55,8.14129820250408e-37,1.3132713739782163e-14,7.310970604713661e-72,2.671268273592285e-36,1.6270513922876566e-72,5.140973387418077e-109,3.0454603752655375e-19,7.095343469585619e-53,7.266805159595884e-73,9.022070097769351e-38,1.3963411541423825e-70,1.8020023129530353e-73,2.5097695229992217e-85,3.106686929439788e-83
1.3431173730899878e-20,0.6974489827069317,9.401724855799204e-25,2.739139597265644e-26,8.66965244233616e-35,1.581889611204187e-34,0.0,0.0,6.269464651038454e-20,2.1016320202179288e-36,4.846152972620786e-47,5.634898048231033e-47,3.96189510694223e-47,7.623939050436356e-60,2.9962935953732427e-40,1.8937063326025964e-33,1.630908348592494e-19,1.3131856640508687e-35,1.3946372048268883e-71,3.355531501441151e-70,4.512708796269006e-48,1.580916298158206e-34,2.088485633149449e-21,3.050609093520474e-51,2.0704257088399248e-36,7.424373333009125e-51,3.0984464635722246e-36,1.5601300284554467e-16,3.267845303218048e-36,9.73329130262099e-22,6.485552627398752e-51,8.136799046939678e-56,9.884884406721034e-50,9.073112729646692e-38,3.76,0.0,0.5526327019705817,0.9999999999999734,1.766972225467071e-47,6.1779339041101e-19,1.5601300284554467e-16,2.852552801600118e-20,8.450874660628832e-32,3.417005866670164e-20,7.681233370701984e-54,1.656590706062806e-52,1.0722614516140962e-55,2.8756472058868866e-59,6.675490580501448e-66,1.6309083485925014e-19,6.943753673830174e-35,5.193003463936522e-39,2.5927185007172237e-52,6.992374191134347e-51,1.3514869660154782e-45,2.992199938005052e-35,2.088485633151448e-21,1.5252686699624165e-38,1.3430958419091482e-67,5.196237360213783e-68,5.403191900827046e-81,1.283438104075249e-86,1.6990517710091194e-52,4.87160264167333e-72,1.9788546741563378e-51,1.653586885802225e-63,1.4595205262236854e-54,1.55153909821417e-49,6.3417622622972245e-52,1.553651934662336e-67,1.4104941117069466e-54,7.091451600276841e-92,3.9947614516414353e-85,4.2808928517712284e-36,9.73329130261384e-22,3.520385858432395e-54,3.325985959703792e-36,2.6640647871813092e-14,1.214728700460259e-70,1.0913002510997343e-35,2.7033702228763476e-71,3.468290004452036e-107,6.177933904110089e-19,5.86656550432888e-52,1.2044196172115522e-71,3.685810017837076e-37,2.3143330601828805e-69,2.9866866811500955e-72,8.25505333749881e-84,1.0216305862964965e-81
2.7051518922798346e-20,0.6974489827069317,1.8935870076846313e-24,5.516858625957521e-26,3.5044121330382256e-34,6.394250731179509e-34,0.0,0.0,1.2627231621105505e-19,8.49513264777083e-36,3.92454032222353e-46,4.5632865356474445e-46,3.208445376797738e-46,6.174063507004089e-59,1.2111497778618546e-39,7.654663773960212e-33,3.2847872373059886e-19,5.308106414427515e-35,2.2607670095821702e-70,5.469493140756818e-69,3.6545085830946775e-47,6.3903164439235165e-34,4.2063865569027956e-21,2.470462336313273e-50,8.36899174771583e-36,6.012450014943518e-50,1.2524416004732738e-35,3.142233719283505e-16,1.3209153199117252e-35,1.9603671215135152e-21,5.252168666970002e-50,6.589390828973103e-55,8.020398308808494e-49,3.6674972319147928e-37,3.76,0.0,0.5526327019705816,0.9999999999999464,1.4309399200373647e-46,1.2442880961799233e-18,3.142233719283505e-16,5.745282403214332e-20,3.415978655683023e-31,6.882138576524322e-20,6.22055276738292e-53,1.3456432868289622e-51,8.683451238379371e-55,2.3287816334786244e-58,1.0859213949056027e-64,3.2847872373060204e-19,2.8067762560315196e-34,2.0990950291163234e-38,2.0996506627104353e-51,5.662605909494562e-50,1.094469184727489e-44,1.209495056099168e-34,4.2063865569108755e-21,6.165379833337968e-38,2.1794010314835362e-66,8.450683413619369e-67,1.7588620285779745e-79,4.1767678917613286e-85,1.381640659204755e-51,7.897247144405165e-71,1.6026756620861248e-50,2.6808025532220676e-62,1.1868578528305245e-53,1.256476588067442e-48,5.139370676356037e-51,2.529719417618802e-66,1.1469903867465575e-53,2.3078126836932136e-90,1.3003858384886996e-83,1.7304053362716275e-35,1.9603671215106256e-21,2.862719315041949e-53,1.3444167028216813e-35,5.36565161349122e-14,1.9803143634626005e-69,4.411210098841786e-35,4.4071757586329203e-70,2.2785251302520877e-105,1.2442880961799192e-18,4.770592971434138e-51,1.9610850849674064e-70,1.4898633402417177e-36,3.768291436839167e-68,4.863045012349364e-71,2.67806690555798e-82,3.3139863402132168e-80
5.429220930659528e-20,0.6974489827069319,3.800416567071672e-24,1.1072296684787822e-25,1.4091087057537745e-33,2.571100096315194e-33,0.0,0.0,2.534276556123926e-19,3.4158554747178494e-35,3.1588114786079547e-45,3.67293000340862e-45,2.582435967736668e-45,4.969423441810715e-58,4.8699799884728203e-39,3.077906637065176e-32,6.592545014732915e-19,2.134366243349502e-34,3.6408955783955833e-69,8.832551694871516e-68,2.9414664427350548e-46,2.569518136468086e-33,8.442188404397884e-21,1.9884430136284287e-49,3.365134773589394e-35,4.8393428433485554e-49,5.036012591125457e-35,6.306441100939618e-16,5.311342405397355e-35,3.93444310401547e-21,4.2274022715174865e-49,5.303715003203494e-54,6.461650859089097e-48,1.4746845067141203e-36,3.76,0.0,0.5526327019705812,0.9999999999998923,1.1517449366140539e-45,2.4972775077177548e-18,6.306441100939618e-16,1.1530741606417256e-19,1.373549993427015e-30,1.3812403996206828e-19,5.0068783264636235e-52,1.0847257908748835e-50,6.98919700088426e-54,1.8744188878064195e-57,1.7518798418966654e-63,6.592545014733044e-19,1.1285923878997742e-33,8.440368790614084e-38,1.6899815189302468e-50,4.557757871494239e-49,8.809240165073804e-44,4.863326425022149e-34,8.442188404430372e-21,2.4790721145559292e-37,3.51160524360634e-65,1.363144364867856e-65,5.676574405175823e-78,1.347836360699748e-83,1.1143432355344251e-50,1.2718408960679755e-69,1.2900318572331103e-49,4.317563336106232e-61,9.572438552006493e-53,1.0113216690146352e-47,4.1380694847080803e-50,4.08297733909664e-65,9.250892994911997e-53,7.44727485472726e-89,4.196882329359144e-82,6.957883751138843e-35,3.9344431040038516e-21,2.3088868367968752e-52,5.405840432203026e-35,1.0768825265725941e-13,3.1982129867399155e-68,1.7737281795361624e-34,7.117600622129947e-69,1.4773781782964266e-103,2.497277507717739e-18,3.84765579263805e-50,3.165199204777095e-69,5.9906749645415523e-36,6.082037571736811e-67,7.848974256537679e-70,8.628648145206684e-81,1.0677011793429146e-78
1.0877359007418916e-19,0.6974489827069319,7.61407774655622e-24,2.218317280823463e-25,5.651156149534374e-33,1.0311261340807723e-32,0.0,0.0,5.077383344150538e-19,1.3699108232319842e-34,2.5347472765697953e-44,2.947295018797218e-44,2.0722422279910001e-44,3.9876493486773885e-57,1.9530797905503954e-38,1.234378224194189e-31,1.3208060569586525e-18,8.559763254532723e-34,5.8444437562034735e-68,1.4197514078023986e-66,2.3603415732076647e-45,1.0304916972306089e-32,1.6913792099341642e-20,1.5956002906662236e-48,1.3495695535373225e-34,3.883267860608238e-48,2.0196662902137466e-34,1.2634855864251839e-15,2.130085860158465e-34,7.882595069015872e-21,3.3922240903855626e-48,4.255897273766738e-53,5.187520774070194e-47,5.9141444406898934e-36,3.76,0.0,0.5526327019705806,0.9999999999997843,9.242027772836555e-45,5.003256330793437e-18,1.2634855864251839e-15,2.310166001272108e-19,5.508549808866333e-30,2.767293483546858e-19,4.017719038017001e-51,8.710776784134334e-50,5.60839043064588e-53,1.5041237008040389e-56,2.814584822209395e-62,1.3208060569587043e-18,4.526160250760416e-33,3.3849653898297865e-37,1.356103737786056e-49,3.657313654233564e-48,7.068860445448319e-43,1.950411414002564e-33,1.6913792099471932e-20,9.942187970641278e-37,5.638301464112226e-64,2.189898521247801e-64,1.8242560884874502e-76,4.331195914323771e-82,8.95101083582536e-50,2.0415971975124976e-68,1.0351929274416757e-48,6.930816085721392e-60,7.689103216742607e-52,8.115219484824017e-47,3.3211224872262985e-49,6.561234973442103e-64,7.430820338652439e-52,2.39313965537824e-87,1.3487338657648758e-80,2.790422583149204e-34,7.882595068969275e-21,1.854623470106506e-51,2.167983795237061e-34,2.1575172568654991e-13,5.141033968976953e-67,7.113443319247687e-34,1.1441335121833243e-67,9.516896929225083e-102,5.0032563307933755e-18,3.0906462712673796e-49,5.086390126984145e-68,2.402528600267556e-35,9.773671101307022e-66,1.261309091977277e-68,2.770621991916584e-79,3.428254715190113e-77
