Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),HF(38),C2H4F(62),CH2CHF(55),C2H4F(61),CH2CF(69)
0.0,0.8664994641853498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5810483611759478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.293063510291696e-21,0.8664994641853498,6.0362385180882684e-24,4.4948539533019626e-24,1.0571495051687617e-36,3.059590380686892e-33,0.0,0.0,2.0385186925760445e-19,8.16149760662449e-36,4.008810133859818e-60,1.278765738400775e-67,1.8225758247412746e-46,6.797101865454798e-78,6.410167232572531e-58,1.699182116447884e-53,3.638575917119745e-53,2.637786482518873e-49,6.290350457800909e-83,2.174837575360515e-68,3.204228581425543e-47,3.0592323572329444e-33,8.954281759760597e-59,1.0323013217111743e-83,7.210544541302778e-69,1.1967763125898774e-62,4.206105200530164e-35,2.3184039430847163e-16,4.573982048246725e-49,1.3267009200838276e-34,3.3918012777247695e-68,8.998385503471425e-67,2.1140810503208e-49,5.2033902559587713e-51,3.76,0.0,0.5810483611759476,1.0,5.356004545955802e-50,6.410167235835748e-58,2.3184039430847163e-16,8.193923947595135e-20,4.032843522668592e-31,1.2191866601936472e-19,3.1516311397975292e-52
6.420577828816749e-21,0.86649946418535,1.6901469156929425e-23,1.2585591069243866e-23,6.385183023028045e-36,1.847992589948828e-32,0.0,0.0,5.707852339212926e-19,4.929544554401189e-35,8.96754864628535e-59,3.489528991616306e-66,2.1637621283583517e-45,1.9168916131312343e-76,9.68704542101315e-57,2.4815736365686048e-52,5.412385548984927e-52,3.131626501605704e-48,2.743829390435735e-81,4.865024662577573e-67,3.804060171867771e-46,1.8477763437686283e-32,1.3531711589072317e-57,4.333467887822141e-82,1.641549006192024e-67,2.677166911359642e-61,2.540487541120045e-34,6.491531040637201e-16,5.430231487679337e-48,8.013273557307662e-34,7.58743115635683e-67,2.013057951458259e-65,2.5098627053792777e-48,6.19412213596718e-50,3.76,0.0,0.5810483611759472,1.0,6.3586487799123905e-49,9.687045429403707e-57,6.491531040637201e-16,2.2942987053201043e-19,2.435837487686991e-30,3.413722648535681e-19,3.7416164891609895e-51
1.4675606465866855e-20,0.8664994641853501,3.8631935659740824e-23,2.8767065301121155e-23,3.0741907787438477e-35,8.897288827246659e-32,0.0,0.0,1.3046519632486697e-18,2.3733635040063965e-34,1.771836566698361e-57,7.501165107502487e-65,2.1243945364184573e-44,4.1696585638654127e-75,1.0420882973841892e-55,2.6398792468387552e-51,5.792712963952493e-51,3.0746697971986793e-47,1.1111483552089846e-79,9.612468906477041e-66,3.734848834507647e-45,8.896247694832351e-32,1.4556800053610462e-56,1.729183804200032e-80,3.2709792169067087e-66,5.289655908924379e-60,1.223135392313911e-33,1.4837785235742157e-15,5.331433475438946e-47,3.858046275605786e-33,1.4991588896363748e-65,3.977612832920281e-64,2.4642093413157877e-47,6.088724940561828e-49,3.76,0.0,0.5810483611759463,1.0,6.242959176652502e-48,1.0420882991472015e-55,1.4837785235742158e-15,5.244111326415149e-19,1.1727508963847689e-29,7.802794625193624e-19,3.673541256527404e-50
3.118566373996707e-20,0.8664994641853504,8.209288956587999e-23,6.113001376484962e-23,1.3425798898678527e-34,3.8856797836885053e-31,0.0,0.0,2.772385421903426e-18,1.0365101960413047e-33,3.1528885586327194e-56,1.38400544413075e-63,1.879002928467147e-43,7.729846492552558e-74,9.578589677224407e-55,2.415744413484313e-50,5.313741789333387e-50,2.7195186890889004e-46,4.0086085649974824e-78,1.7104874826819082e-64,3.3034314983023483e-44,3.885225093684756e-31,1.338021124230322e-55,6.19572481311739e-79,5.842893759856665e-65,9.41268054162748e-59,5.3417536046706174e-33,3.153029362595203e-15,4.715592532465835e-46,1.6849101685085458e-32,2.66768154528599e-64,7.07807087369521e-63,2.1795697255235654e-46,5.3883070487492386e-48,3.76,0.0,0.5810483611759446,1.0,5.521826763029754e-47,9.578589709449802e-55,3.153029362595203e-15,1.1143736568500695e-18,5.121711273714116e-29,1.658093857840502e-18,3.249205639842392e-49
6.42057782881675e-20,0.8664994641853508,1.6901488098022382e-22,1.258559106922021e-22,5.605006841136502e-34,1.6221948200347288e-30,0.0,0.0,5.70785233921295e-18,4.3272260310322555e-33,5.3178074356556575e-55,2.37369603312394e-62,1.5794151873319782e-42,1.328563882975916e-72,8.19469003606125e-54,2.0626152189154644e-49,4.541912994856832e-49,2.2859225223000043e-45,1.3615354223585515e-76,2.8849871496447645e-63,2.7767332209985825e-43,1.6220049958039337e-30,1.1447059399480643e-54,2.09731366100036e-77,9.872782245893584e-64,1.5875877900474775e-57,2.2300769773186706e-32,6.4915310406371564e-15,3.9637396593076217e-45,7.034168278303215e-32,4.49944156306002e-63,1.1938298164467259e-61,1.8320614552860542e-45,4.530346073419063e-47,3.76,0.0,0.5810483611759413,1.0,4.6414281894938035e-46,8.194690091096886e-54,6.491531040637157e-15,2.294298705225361e-18,2.1382136356513903e-28,3.413722648440984e-18,2.7311531195717865e-48
1.3024600738456836e-19,0.866499464185352,3.428591982171735e-22,2.5530770454648945e-22,2.2898282536486082e-33,6.627195149830129e-30,0.0,0.0,1.1578786173832045e-17,1.7678130275852498e-32,8.734514717906931e-54,3.930262502748336e-61,1.2948999978189152e-41,2.201999754238795e-71,6.775536300890696e-53,1.7038051782938426e-48,3.7537365368964646e-48,1.8741386671432069e-44,4.488039374597518e-75,4.738600056350335e-62,2.2765336577230364e-42,6.626419655052604e-30,9.464661619675001e-54,6.901783196352118e-76,1.62303688141718e-62,2.607619021367556e-56,9.110592108535842e-32,1.3168534396720982e-14,3.2497132517723023e-44,2.8736872609542567e-31,7.39035164861371e-62,1.960876816304889e-60,1.5020353747033265e-44,3.714708787218256e-46,3.76,0.0,0.5810483611759346,1.0,3.8053233697036227e-45,6.775536391832521e-53,1.316853439672099e-14,4.6541488018086736e-18,8.7353003832696e-28,6.924980229474763e-18,2.2391643366770916e-47
2.6232646557737003e-19,0.8664994641853542,6.905491703241203e-22,5.142112922533933e-22,9.255852496791769e-33,2.678818239984515e-29,0.0,0.0,2.3320653843070412e-17,7.14578290648452e-32,1.4159024782648662e-52,6.396272976885715e-60,1.0486435919777356e-40,3.5853940744047975e-70,5.509766783830487e-52,1.3848712182591724e-47,3.0518413750696935e-47,1.5177265910963887e-43,1.457561003858572e-73,7.681474891433056e-61,1.84359597913433e-41,2.678504771903811e-29,7.696524419094278e-53,2.239580983538457e-74,2.632155382094982e-61,4.227063849924003e-55,3.6826469960969086e-31,2.6522541108888323e-14,2.631702045804895e-43,1.1615903371906206e-30,1.1980082787167584e-60,3.1786720205230806e-59,1.2163874706287975e-43,3.00844993569139e-45,3.76,0.0,0.5810483611759213,1.0,3.081649707665781e-44,5.509766931687266e-52,2.652254110888835e-14,9.373848994306219e-18,3.530948080115355e-27,1.3947495390873576e-17,1.8133333339849823e-46
5.264873819629735e-19,0.8664994641853585,1.3859344650702027e-21,1.0320184676605183e-21,3.7217380494957754e-32,1.0771410329812912e-28,0.0,0.0,4.680438918154786e-17,2.8732878784023033e-31,2.280267293727236e-51,1.0321110090648945e-58,8.440395932290394e-40,5.786867302749416e-69,4.4438477915201186e-51,1.1166962672000406e-46,2.4611681217066116e-46,1.221598602714947e-42,4.698744253116866e-72,1.2370778505816856e-59,1.4838864332154234e-40,1.0770149882877887e-28,6.207556055631772e-52,7.216715159453929e-73,4.2399188249148604e-60,6.80755685384321e-54,1.4807761602537592e-30,5.3230554533221724e-14,2.118222759389761e-42,4.670703657297896e-30,1.929355743614469e-59,5.1191582545168585e-58,9.79054572034867e-43,2.421535116225859e-44,3.76,0.0,0.5810483611758945,1.0,2.4803800748388252e-43,4.443848029987678e-51,5.323055453322184e-14,1.8813249376624975e-17,1.419778693148276e-26,2.79925257109962e-17,1.4595284234455858e-45
1.0548092147341801e-18,0.866499464185367,2.776726456691112e-21,2.0676328184480362e-21,1.492583793035018e-31,4.319817309801695e-28,0.0,0.0,9.37718598585056e-17,1.1523169501805263e-30,3.6603340112983544e-50,1.6583751564593585e-57,6.772886179953351e-39,9.299426573590395e-68,3.569574392082535e-50,8.968904361623075e-46,1.9768433980692402e-45,9.802560262270552e-42,1.50915225823414e-70,1.9857839215492607e-58,1.1907254107244525e-39,4.319311809738763e-28,4.986295259927441e-51,2.3173929663376326e-71,6.806739541311484e-59,1.0927637065828898e-52,5.938574695887081e-30,1.0664658138188345e-13,1.699740363436557e-41,1.8731610689462013e-29,3.097043530898455e-58,8.217386685437518e-57,7.856296802515469e-42,1.9431585590203403e-43,3.76,0.0,0.581048361175841,1.0,1.9903492699267854e-42,3.569574775154744e-50,1.0664658138188389e-13,3.769205013055719e-17,5.693947569523293e-26,5.608258634054152e-17,1.1711796416364101e-44
