Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264),C3H5(2345)
0.0,0.1622133776290733,3.76,0.0,0.6673212152148935,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1545658620599232e-20,0.16221337762907337,3.76,0.0,0.6673212152148932,1.0,2.5816250838338807e-45,8.553139574552076e-19,2.2693129786523398e-33,3.1024048382236256e-16,3.1024048382236256e-16,3.957654884951097e-35,1.6699986963874318e-33,1.6687212431098767e-33,2.6741840584458562e-45,3.698251086463201e-45,2.8897716328790976e-19,6.548830627162835e-35,1.3131931490170362e-19,1.8420162213852342e-24,7.589122508945862e-31,1.5765969040092841e-19,2.0964707061764796e-35,9.806727091378311e-35,3.0738836023782264e-46,1.1130954310161384e-25,7.116100258505877e-52,1.8222244510351471e-53,2.614521700596274e-33,5.252536658704869e-49,6.927526633272237e-69,1.0947674383218935e-34,5.690426719351115e-51,1.406304637859288e-63,9.179245335053312e-57,2.085622496520655e-77,2.1864603166466504e-19,2.0612086386525885e-33,2.186460316646594e-19,4.77554051040242e-38,3.487767146539271e-65,1.8825865100248313e-37,4.5156139929889815e-21,2.879632245196264e-51,3.570835221272259e-69,1.5554889711071762e-35,1.4136289774489123e-49,2.983724392563512e-52,2.5282363113304224e-53,1.8105861759529761e-65,1.3205590849330903e-59,4.2960738296645995e-45,6.489229608809451e-53,3.512239229887799e-53,1.2431810978309064e-65,1.5179492679892413e-83,2.050866803089671e-81,1.2525761464516848e-88,2.156807198371194e-21,4.316010065988681e-50,5.818670660055453e-69,5.978531221379782e-55,1.8570916832396205e-58,4.887007768590744e-35,4.515613992965487e-21,4.533380535951226e-52,8.553139574551991e-19,2.8567472297207465e-36,2.254396218602002e-32,8.705062592536856e-50,2.338867649495428e-48,1.0301096960353738e-43,2.1568071983595168e-21,1.366672626241101e-68,3.11791490987644e-39,1.8458209004630606e-68,5.331169973460679e-70,2.044705414185457e-52,1.969162275205905e-72
3.232784413767785e-20,0.16221337762907337,3.76,0.0,0.6673212152148926,1.0,3.06490529957849e-44,2.3948790808746075e-18,1.3706650391298687e-32,8.686733547026148e-16,8.686733547026148e-16,2.3904235501636454e-34,1.0086792129202947e-32,1.0079076308374103e-32,3.1747913206741404e-44,4.390563689824545e-44,8.091360572061938e-19,3.955493698806512e-34,3.676940817235736e-19,5.1576478354893425e-24,4.583829995391884e-30,4.414471331214006e-19,1.2662683065349267e-34,5.923263163305039e-34,3.6493146127404206e-45,3.116667207355024e-25,9.274179807145346e-51,2.1633448683304684e-52,1.5791711071435586e-32,6.235811521199342e-48,1.549659997770106e-67,6.612395327446751e-34,7.75702131377857e-50,3.591290290379215e-62,1.08976000617491e-55,9.795486814227483e-76,6.122088886610521e-19,1.2449700177461435e-32,6.12208888661018e-19,2.884426468468879e-37,7.801995595380509e-64,1.1370822520094872e-36,1.2643719180372225e-20,4.351686212076356e-50,7.987815561741435e-68,9.395153385455072e-35,1.6849379867882668e-48,4.509004304153616e-51,3.820670713814378e-52,2.1498331908064225e-64,1.5677677456382211e-58,5.100298859878967e-44,9.806523784834261e-52,5.307695924204383e-52,3.1717360783376874e-64,7.122751966107373e-82,9.632250687775493e-80,5.877527932119898e-87,6.039060155435824e-21,5.290570079071539e-49,1.3016133543702056e-67,9.03475638657613e-54,2.2047392486054444e-57,2.951752692227373e-34,1.2643719180230314e-20,6.850844666078545e-51,2.3948790808745555e-18,1.7254753267513767e-35,1.361655316022224e-31,1.033465031196237e-48,2.776703673386965e-47,1.2229462310287167e-42,6.0390601553652944e-21,4.2970374051535065e-67,1.8832206055557175e-38,5.8035562419088015e-67,1.6762051400582492e-68,3.089958821853377e-51,6.1913615952761136e-71
7.389221517183509e-20,0.1622133776290734,3.76,0.0,0.6673212152148915,1.0,3.009142197840925e-43,5.474009327713513e-18,6.59916214227883e-32,1.985539096463117e-15,1.9855390964631174e-15,1.1508860400235528e-33,4.856356213628938e-32,4.8526413749491963e-32,3.1170289477297622e-43,4.310681466282288e-43,1.8494538450429475e-18,1.904399946379192e-33,8.40443615362528e-19,1.1788920726140315e-23,2.2069168255843332e-29,1.0090220185575495e-18,6.096536813626122e-34,2.851796238341622e-33,3.582918726922737e-44,7.123810762072145e-25,9.467369185253658e-50,2.1239848203155125e-51,7.603029105085108e-32,6.122356729339661e-47,3.0618670156062314e-66,3.183583710613841e-33,8.054673715925777e-49,7.5252665286062e-61,1.0699328362456928e-54,4.115684246919227e-74,1.399334602653786e-18,5.993994721201421e-32,1.3993346026536222e-18,1.3887271806984385e-36,1.541542854456004e-62,5.474561570469544e-36,2.889992955515103e-20,4.681340616013479e-49,1.5782577508685659e-66,4.523361927931259e-34,1.657208220063267e-47,4.850581078609553e-50,4.1101032071072576e-51,2.111365528010988e-63,1.539243669412901e-57,5.0075036846906345e-43,1.054941079045424e-50,5.709777071236905e-51,6.643529388915949e-63,2.991505677467939e-80,4.0470987472261603e-78,2.4685203523676439e-85,1.3803566069551006e-20,5.267317491695423e-48,2.57176865726374e-66,9.719178651893379e-53,2.164626072997164e-56,1.4211418591040336e-33,2.889992955446777e-20,7.369826070226889e-50,5.474009327713264e-18,8.307420944028608e-35,6.5557842034938455e-31,1.0146620964379054e-47,2.726184131960449e-46,1.2006958613749464e-41,1.380356606921144e-20,9.586454074229878e-66,9.066896557775824e-38,1.294741472002303e-65,3.73952147386572e-67,3.324036697513646e-50,1.3812588720938924e-69
1.5702095724014955e-19,0.16221337762907348,3.76,0.0,0.6673212152148893,1.0,2.661552196659008e-42,1.1632269821391745e-17,2.8820274832582234e-31,4.219270579984114e-15,4.219270579984116e-15,5.026221698512223e-33,2.1208983490974667e-31,2.1192759787347404e-31,2.7569768061521644e-42,3.812748939870438e-42,3.930089420717197e-18,8.317014896499276e-33,1.7859426826212925e-18,2.5051505157213273e-23,9.638185586184302e-29,2.144171789410666e-18,2.662517796911173e-33,1.245454340779481e-32,3.169051038688274e-43,1.513809787966378e-24,8.517516902227134e-49,1.878640520434156e-50,3.320442559500115e-31,5.415155193560227e-46,5.4484287595438826e-65,1.3903546466417033e-32,7.298528129574221e-48,1.3739336373282346e-59,9.463434770455992e-54,1.5082393751646472e-72,2.973586030639092e-18,2.6177349710884716e-31,2.973586030638377e-18,6.064936451011573e-36,2.7430931440387073e-61,2.3908848670261154e-35,6.141235030475786e-20,4.3029567986058007e-48,2.808425349041981e-65,1.9754709932560886e-33,1.4669439911634967e-46,4.458519703785904e-49,3.777892956440033e-50,1.8686290377492215e-62,1.3614435942317489e-56,4.42908033598153e-42,9.696726019862517e-50,5.248268836421203e-50,1.2127514787026353e-61,1.0960867997664912e-78,1.4831054372464428e-76,9.044651320557388e-84,2.933257789772506e-20,4.687875925663053e-47,4.576324950747054e-65,8.93359966787566e-52,1.9145872564774165e-55,6.20649986608798e-33,6.14123503017739e-20,6.77413986847191e-49,1.163226982139066e-17,3.628068981746045e-34,2.8630831974170743e-30,8.97457134408979e-47,2.4112789913118217e-45,1.0620018915444699e-40,2.9332577896242086e-20,1.7954367539003162e-64,3.959751935393348e-37,2.4249074843090596e-64,7.003709912743597e-66,3.0553624058284485e-49,2.5869455980365477e-68
3.232784413767785e-19,0.16221337762907362,3.76,0.0,0.6673212152148849,1.0,2.2371949920392016e-41,2.3948790808749893e-17,1.2031897416142471e-30,8.68673354702608e-15,8.686733547026087e-15,2.0983486151629688e-32,8.854333130415019e-31,8.847560030835343e-31,2.3174051263082114e-41,3.2048452190767806e-41,8.091360572068662e-18,3.4721899985239605e-32,3.676940817062246e-18,5.157682861844321e-23,4.023752754083845e-28,4.41447133104017e-18,1.1115487684750937e-32,5.199526705418702e-32,2.6637783476478066e-42,3.116667214747664e-24,7.216475458837538e-48,1.5791105543908058e-49,1.3862194054247062e-30,4.5517642276690335e-45,9.189571462731358e-64,5.804456957738763e-32,6.203944419882501e-47,2.3452206197970437e-58,7.954587139122358e-53,5.159264102182229e-71,6.1220888866090595e-18,1.092852820213317e-30,6.122088886606071e-18,2.53199158112519e-35,4.626627522472977e-60,9.981473669802872e-35,1.2643719180416846e-19,3.681269465754749e-47,4.7368198640533286e-64,8.247202524360017e-33,1.2335155656313747e-45,3.8143574934924196e-48,3.2320669637215014e-49,1.5726301419186742e-61,1.144375374108813e-55,3.722908953461998e-41,8.295753261166544e-49,4.49000448458907e-49,2.0699390515981886e-60,3.749118613017016e-77,5.073287944373026e-75,3.093684800545819e-82,6.039060155384793e-20,3.951937589331939e-46,7.718641034534417e-64,7.642882634284667e-51,1.6093259659411675e-54,2.591091518886775e-32,1.2643719179171102e-19,5.795419278852372e-48,2.3948790808745366e-17,1.5146473811985647e-33,1.1952808749160594e-29,7.543667986524884e-46,2.0268252820600284e-44,8.926765795951147e-40,6.039060154765682e-20,3.1011705027148094e-63,1.653118485081714e-36,4.1884246440056016e-63,1.2097167357269648e-64,2.6139268641409377e-48,4.4683072581401784e-67
6.557934096500363e-19,0.1622133776290739,3.76,0.0,0.6673212152148759,1.0,1.834187620423434e-40,4.8581832783472946e-17,4.9154226870976196e-30,1.762165948110989e-14,1.762165948110992e-14,8.572438746036869e-32,3.617284012025997e-30,3.6145169613129205e-30,1.8999487344053856e-40,2.627525738793898e-40,1.6413902874783466e-17,1.4185029091678624e-31,7.458937085637851e-18,1.0462809393723915e-22,1.6438342917928768e-27,8.95507041399227e-18,4.5410394089171824e-32,2.1241763162301074e-31,2.1839264280793946e-41,6.322382081362068e-24,5.939180908116253e-47,1.2946502389586839e-48,5.6631585824000395e-30,3.7318113196976704e-44,1.5093898724296125e-62,2.371310061896237e-31,5.113862848656122e-46,3.8743115518089327e-57,6.521651132292249e-52,1.706384298582564e-69,1.241909459854641e-17,4.4646603596646355e-30,1.2419094598534205e-17,1.0344011788358021e-34,7.599249585837207e-59,4.0777576787988816e-34,2.564868748037774e-19,3.043744521733315e-46,7.780240932000256e-63,3.369251330595789e-32,1.0114939378791594e-44,3.1537845694018203e-47,2.672335469592803e-48,1.2925101750366762e-60,9.382280719859879e-55,3.0522657854216216e-40,6.859089220488844e-48,3.712422536006052e-48,3.4194248938737526e-59,1.239945031992822e-75,1.6779483880803137e-73,1.0231735829284684e-80,1.2250664886519267e-19,3.2446116864637963e-45,1.2677891455858114e-62,6.319283216825924e-50,1.3194226817671642e-53,1.0585454306908644e-31,2.564868747528847e-19,4.791764734198939e-47,4.858183278345446e-17,6.187828769469604e-33,4.883112383759767e-29,6.184754806433065e-45,1.6617138208812597e-43,7.318701921132384e-39,1.2250664883989994e-19,5.152641185281127e-62,6.753528410247605e-36,6.959130178452367e-62,2.0099625099049316e-63,2.1612452788711902e-47,7.424166203114222e-66
1.320823346196552e-18,0.16221337762907442,3.76,0.0,0.6673212152148579,1.0,1.4853726900643348e-39,9.784791673294603e-17,1.986892442150724e-29,3.549151134927703e-14,3.549151134927714e-14,3.465116785514117e-31,1.4621640479931908e-29,1.461045546869582e-29,1.5386277446240433e-39,2.127838465835801e-39,3.305898748026054e-17,5.733815557966657e-31,1.5022929621563848e-17,2.1073309816017478e-22,6.644641033353423e-27,1.8036268578668828e-17,1.8355607342714538e-31,8.586260302335838e-31,1.7686002435243761e-40,1.2733811866798225e-23,4.8187494063965e-46,1.0484413305998818e-47,2.289139244301807e-29,3.022117560179546e-43,2.4467860279480783e-61,9.585214409179795e-31,4.1523066428836723e-45,6.298235792918965e-56,5.2814021717129455e-51,5.550829416203826e-68,2.5013106022410776e-17,1.8046871011530084e-29,2.5013106022361447e-17,4.181214960227587e-34,1.2318711011306127e-57,1.6482948492576005e-33,5.165862408061461e-19,2.475122392399334e-45,1.2612106088383012e-61,1.3619052573613777e-31,8.19207157135027e-44,2.5646052860920573e-46,2.1730988260060542e-47,1.0518474805656708e-59,7.598014179704256e-54,2.471804124974464e-39,5.577697441259223e-47,3.018880351885385e-47,5.5586581793840435e-58,4.03344133301293e-74,5.458328036137931e-72,3.328301309969251e-79,2.4673874348427827e-19,2.629395496188263e-44,2.0551409606133933e-61,5.1387362549066155e-49,1.0685027341156695e-52,4.278809877634536e-31,5.165862406004298e-19,3.896583505527149e-46,9.78479167328713e-17,2.501219323491878e-32,1.9738320991041157e-28,5.008574828248386e-44,1.345698933407005e-42,5.926874548302697e-38,2.4673874338204096e-19,8.400105634184285e-61,2.729884162573773e-35,1.1345138549587087e-60,3.2767463772049653e-62,1.7574887664401267e-46,1.2103287056321389e-64
2.6508832192895837e-18,0.16221337762907548,3.76,0.0,0.667321215214822,1.0,1.1955571663041454e-38,1.9638008463200012e-16,7.989207132663222e-29,7.123121508560937e-14,7.123121508560983e-14,1.3933082055361476e-30,5.879297448791524e-29,5.874799884465463e-29,1.2384214663841845e-38,1.7126695140295451e-38,6.634915669140465e-17,2.305542017627751e-30,3.015091468851501e-17,4.2295300094741735e-22,2.671780934864815e-26,3.619866490311139e-17,7.380708983329504e-31,3.452497508296579e-30,1.423523340650656e-39,2.555667164649998e-23,3.882162420682457e-45,8.438767968382079e-47,9.204528214743234e-29,2.4324631303095076e-42,3.940473470101269e-60,3.854172555931861e-30,3.3465187207032663e-44,1.0157356155477784e-54,4.250931938688979e-50,1.790867775775464e-66,5.0201128870098164e-17,7.256567460705854e-29,5.020112886989983e-17,1.6812481529762536e-33,1.983890418620345e-56,6.627721076138565e-33,1.0367849728234875e-18,1.9962758356651348e-44,2.0311408896963845e-60,5.47616113979827e-31,6.593984054027048e-43,2.068447154684175e-45,1.752682934178816e-46,8.548914049543525e-59,6.115542825258954e-53,1.9895232539791866e-38,4.498615052388224e-46,2.43483637017988e-46,8.964540690008591e-57,1.301300425256474e-72,1.7610239888666354e-70,1.0738026578012135e-77,4.952029327080339e-19,2.117095168380869e-43,3.3097415563760694e-60,4.144577099851986e-48,8.600240193497866e-52,1.7204906328502535e-30,1.0367849719963106e-18,3.142735765948693e-45,1.9638008463169964e-16,1.005729289215625e-31,7.93669205288916e-28,4.031336814926179e-43,1.0831355722192552e-41,4.77046423458797e-37,4.95202932296942e-19,1.3566193174915225e-59,1.0976744149202192e-34,1.8322428948750678e-59,5.291954790415589e-61,1.4174783574646437e-45,1.9546913221352313e-63
5.311002965475646e-18,0.16221337762907762,3.76,0.0,0.6673212152147502,0.9999999999999999,9.593593337416818e-38,3.934444204305401e-16,3.2040293938237883e-28,1.4271062255826634e-13,1.427106225582682e-13,5.587788965983337e-30,2.3578613313195864e-28,2.3560575102131617e-28,9.937552335545635e-38,1.3743094231844784e-37,1.3292949511445252e-16,9.246254669608658e-30,6.040688480281398e-17,8.474323838873589e-22,1.071503652839913e-25,7.252345753235428e-17,2.959994413970636e-30,1.3846059211391127e-29,1.1422878303727603e-38,5.120239204122178e-23,3.1166353123960506e-44,6.7715798658568805e-46,3.6914274914104367e-28,1.951898470240511e-41,6.325332610135046e-59,1.5456955764521382e-29,2.6871217287164817e-43,1.631619675832262e-53,3.411105165315681e-49,5.7542514729065485e-65,1.0057717456530757e-16,2.9102081096487633e-28,1.0057717456451214e-16,6.742557107160193e-33,3.1845834447015225e-55,2.6580125690959186e-32,2.0771824369085847e-18,1.6035172966852752e-43,3.260431231085004e-59,2.1961855433236638e-30,5.2913737084820805e-42,1.6614893737516937e-44,1.4078502559022372e-45,6.9927372357764e-58,4.907337975663252e-52,1.5964675201110334e-37,3.613532255334015e-45,1.9557929845029197e-45,1.4400065319365329e-55,4.181200490956001e-71,5.658360130038619e-69,3.450228977120149e-76,9.921313110978825e-19,1.6991269067675132e-42,5.3128694657785565e-59,3.3291499541517646e-47,6.901152114806494e-51,6.899936945514881e-30,2.0771824335912354e-18,2.52441628504231e-44,3.93444420429335e-16,4.03342427318767e-31,3.1829684861703683e-27,3.2348940007151005e-42,8.691480791210601e-41,3.82799706946594e-36,9.9213130944922e-19,2.1807259756078623e-58,4.402165347631703e-34,2.9452769043971808e-58,8.506664821141113e-60,1.1385956991663985e-44,3.142132454113882e-62
