Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264)
0.0,0.08020705388660158,3.76,0.0,0.6597597784379521,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.861946153095793e-20,0.08020705388660158,3.76,0.0,0.6597597784379517,1.0,1.6746472711561966e-43,1.9199430773578507e-19,2.3600071188038216e-32,3.082203376470283e-16,3.082203376470283e-16,2.7655342418442857e-35,1.1568428932258637e-33,1.1530013164928963e-33,1.8970640666129018e-44,6.93936349551607e-44,4.86756651893489e-19,4.486998171863106e-34,2.3627942874494195e-19,9.08753169481901e-25,2.0891627435306926e-30,2.504781318974587e-19,1.2341191495656456e-35,2.2811253636571715e-34,1.8033400309068627e-45,1.8960072677075903e-26,1.7465078921056503e-51,3.371025174990571e-52,1.1946481924360013e-31,6.409422406947954e-48,2.781530408072349e-66,1.571529760483891e-33,1.3227698037694802e-50,3.852762610429316e-62,8.275824632635926e-56,8.542070046262093e-75,9.406617856779663e-20,2.1799502189480712e-32,9.406617856780271e-20,3.7112520195912334e-38,5.945770322791809e-64,1.201811935404045e-37,8.389193956690678e-22,1.544423872758284e-51,5.695510750989324e-69,2.5483763366762566e-35,5.061572198290304e-49,4.39494798875848e-52,4.232326549137513e-53,2.98946405258507e-65,1.500064672453942e-58,8.05172079858843e-44,8.48469775701709e-53,4.634295051237493e-53,2.3252967332561687e-64,1.7032855499369687e-82,8.172258352009438e-79,2.0889285091011115e-87,3.705496853283384e-22,1.1383012293179095e-49,8.399766351865398e-68,1.4770991198398822e-54,5.82602262830301e-58,3.770184380404524e-35,8.389193956246343e-22,7.331740549835527e-52,1.919943077357678e-19,1.7766139245200028e-36,4.2616138613244e-32,2.863387952437751e-48,9.218514074408302e-47,1.921773112885531e-42,3.7054968530684195e-22,1.9539142187764192e-68,9.990251897442899e-40,3.795495497061065e-68,1.0383901484443046e-77,2.328876596921386e-52
1.6413449228668222e-19,0.08020705388660158,3.76,0.0,0.6597597784379512,1.0,1.9881412403381756e-42,5.375840616602538e-19,1.4254442997843435e-31,8.630169454116788e-16,8.630169454116788e-16,1.6703826797387898e-34,6.9873311188361e-33,6.964127951551396e-33,2.2521944607768134e-43,8.238412341147968e-43,1.3629186253028182e-18,2.7101468958069956e-33,6.615824004821256e-19,2.5445145938935413e-24,1.261854297087111e-29,7.013387693095693e-19,7.454079663435145e-35,1.3777997198557952e-33,2.1409252846742786e-44,5.308820357958648e-26,2.1228775845796977e-50,4.0020810878821405e-51,7.215675082065682e-31,7.609266281501535e-47,6.2221722612126585e-65,9.492039753285794e-33,1.6376089470331017e-49,8.970877227407788e-61,9.825059003832553e-55,3.6655465716698834e-73,2.6338529998975383e-19,1.3166899322443045e-31,2.6338529998979067e-19,2.2415962208945545e-37,1.3300450370692571e-62,7.258944088058361e-37,2.3489743078792768e-21,2.3339182241645436e-50,1.2740629759155298e-67,1.5392193073259463e-34,6.021172724610619e-48,6.641645412466132e-51,6.395891881798465e-52,3.551851561135782e-64,1.7808767788881944e-57,9.559003070511509e-43,1.2822075250408928e-51,7.003346681420956e-52,5.41255591269057e-63,7.306807377853249e-81,3.506854124405567e-77,8.961150556509877e-86,1.0375391189179386e-21,1.3790734001864492e-48,1.8789941389753553e-66,2.232192198297947e-53,6.916654104331584e-57,2.2771913657617555e-34,2.3489743076108984e-21,1.1079726319581305e-50,5.375840616601495e-19,1.073074810410119e-35,2.5740147719877878e-31,3.399414190715242e-47,1.0944219905666205e-45,2.2815290380201932e-41,1.0375391187880999e-21,6.143418939391751e-67,6.034112145701716e-39,1.1933645114375182e-66,4.960514345662695e-76,3.519398312864646e-51
3.751645537981308e-19,0.0802070538866016,3.76,0.0,0.6597597784379501,1.0,1.9519688593235616e-41,1.228763569509414e-18,6.862900701884044e-31,1.9726101609409776e-15,1.972610160940978e-15,8.042173540255803e-34,3.364099199128638e-32,3.3529278282627965e-32,2.2112178772684624e-42,8.088522088112822e-42,3.1152425721256726e-18,1.3048190683803083e-32,1.5121883439416458e-18,5.816060320093696e-24,6.075285258105843e-29,1.6030600441205302e-18,3.5888184870246767e-34,6.633512560618006e-33,2.1019731399681564e-43,1.2134446571970347e-25,2.1059108484155424e-49,3.92926694438097e-50,3.474036943232241e-30,7.470822757454602e-46,1.229396386059509e-63,4.5700085434317934e-32,1.637268106383627e-48,1.8064715967973526e-59,9.646301191698667e-54,1.4785201875338993e-71,6.020235428333619e-19,6.339295236696031e-31,6.020235428335388e-19,1.0792320888589632e-36,2.6279448569160617e-61,3.4948691054818555e-36,5.369084132323242e-21,2.5107175134698016e-49,2.517333754321969e-66,7.41067838665685e-34,5.916913933593348e-47,7.14477909193805e-50,6.880408627248854e-51,3.493074566645125e-63,1.74847538143762e-56,9.385086191959381e-42,1.3793403449643731e-50,7.533880778864283e-51,1.0897692504809587e-61,2.946799192051822e-79,1.4145106361564426e-75,3.6139875979201073e-84,2.3715179860915034e-21,1.3661126095370197e-47,3.7125758016245327e-65,2.4012905248404244e-52,6.7908120995448715e-56,1.0963696178177696e-33,5.3690841310311175e-21,1.1919063979460212e-49,1.2287635695089118e-18,5.166393292504714e-35,1.2392773104949116e-30,3.33756503946299e-46,1.074509999436919e-44,2.2400187354270964e-40,2.371517985466385e-21,1.370562974962592e-65,2.905165251245676e-38,2.6623305742078214e-65,2.582929535145054e-74,3.786008104695165e-50
7.97224676821028e-19,0.08020705388660164,3.76,0.0,0.6597597784379479,1.0,1.7264943508027252e-40,2.611122585208625e-18,2.9972090412968022e-30,4.191796591999568e-15,4.1917965919995705e-15,3.512228450947284e-33,1.4691905422122688e-31,1.4643116718441475e-31,1.9557971712576063e-41,7.154206184588181e-41,6.6198904657881654e-18,5.698487678292148e-32,3.213400230801295e-18,1.235924328200149e-23,2.6532366841998533e-28,3.40650259368941e-18,1.567331320038989e-33,2.897029215050988e-32,1.8591714381442853e-42,2.57856991340321e-25,1.8712552599229073e-48,3.475392115272073e-49,1.5172032040096823e-29,6.607858124490796e-45,2.1876451819312e-62,1.9958427957573324e-31,1.4598425463495922e-47,3.242092523484052e-58,8.53204416304859e-53,5.3233099028444185e-70,1.2793000285193509e-18,2.7685367780589237e-30,1.2793000285201241e-18,4.7132900808781993e-36,4.6762874459713373e-60,1.5263011552009274e-35,1.140930378130536e-20,2.3077800651398172e-48,4.479460957386392e-65,3.23643794716788e-33,5.235544594781155e-46,6.567282984497197e-49,6.324280922329252e-50,3.0999837335261332e-62,1.5465066730843107e-55,8.301002975674615e-41,1.2678514164390975e-49,6.924934409094201e-50,1.9556917226099818e-60,1.0609032537454429e-77,5.0928479210995494e-74,1.3011036581388348e-82,5.0394757204160905e-21,1.2131285538147772e-46,6.606330349972575e-64,2.2071997326359045e-51,6.00639654923466e-55,4.788134163073797e-33,1.1409303775662315e-20,1.0955673274155555e-48,2.6111225852064315e-18,2.2562996841409624e-34,5.412249599973678e-30,2.952038531858477e-45,9.50391924755362e-44,1.981271198060683e-39,5.039475717686035e-21,2.5669127858327646e-64,1.2687619904268272e-37,4.986250504937487e-64,1.0307793727835778e-72,3.4799937182068284e-49
1.6413449228668222e-18,0.08020705388660171,3.76,0.0,0.6597597784379434,1.0,1.4512225310639962e-39,5.375840616610611e-18,1.2512757747641399e-29,8.63016945411672e-15,8.63016945411673e-15,1.4662862224503777e-32,6.133581630222328e-31,6.11321297912886e-31,1.6439653679557099e-40,6.013541366780789e-40,1.3629186253180283e-17,2.379006430745219e-31,6.615824004283034e-18,2.5445975243846996e-23,1.1076740865442598e-27,7.013387692615002e-18,6.543299731812256e-33,1.209452670696775e-31,1.5627456171266688e-41,5.308820479430919e-25,1.5763129555730597e-47,2.921276481810051e-48,6.334024712839323e-29,5.55430290678279e-44,3.6897833500249415e-61,8.332250789570711e-31,1.231723491938274e-46,5.490320067568996e-57,7.17169721306036e-52,1.8061084453318294e-68,2.633852999886423e-18,1.1558096060816527e-29,2.6338529998896517e-18,1.9677058351241868e-35,7.887242222975717e-59,6.372006856652357e-35,2.3489743079646357e-20,1.9743537122428814e-47,7.555265778693591e-64,1.3511491333358806e-32,4.4016238033690714e-45,5.618448964826563e-48,5.410555484693599e-49,2.623216796754283e-61,1.2999320411571687e-54,6.977494051489085e-40,1.0846735796263178e-48,5.924427181833868e-49,3.3117638133953256e-59,3.599350471086698e-76,1.7279166111642614e-72,4.414283833416069e-81,1.0375391188975099e-20,1.0216176841837864e-45,1.1142541983415614e-62,1.8883058996663715e-50,5.048738465668015e-54,1.9989517584545248e-32,2.348974305608775e-20,9.372809147979318e-48,5.3758406166014524e-18,9.419607027810063e-34,2.2595076657567173e-29,2.4813663457822183e-44,7.988616759657155e-43,1.6653778123886157e-38,1.037539117757765e-20,4.433703549711751e-63,5.296831551088381e-37,8.612507703494556e-63,3.663551333017643e-71,2.9772078893615886e-48
3.3295854149584106e-18,0.08020705388660183,3.76,0.0,0.6597597784379345,1.0,1.1897999103447027e-38,1.0905276679428835e-17,5.11186982278336e-29,1.7506915178350898e-14,1.7506915178350946e-14,5.99025751339882e-32,2.505768497196466e-30,2.4974469708003225e-30,1.3478221326010125e-39,4.9302645277673166e-39,2.764777782823306e-17,9.719017520380477e-31,1.3420671550296268e-17,5.162090331965727e-23,4.525210068356179e-27,1.4227157889617525e-17,2.673151443415224e-32,4.941008807128601e-31,1.2812332738430127e-40,1.0769321825947919e-24,1.293713636585293e-46,2.3950389572562195e-47,2.587655767817695e-28,4.553753099546124e-43,6.060480224769771e-60,3.4039963219625954e-30,1.011686930939841e-45,9.035493191155734e-56,5.879790670620647e-51,5.950071661122746e-67,5.342958942600941e-18,4.7218593722112116e-29,5.342958942614133e-18,8.038720445650442e-35,1.2954818853808293e-57,2.6031727035145377e-34,4.765062167783539e-20,1.6324335475048525e-46,1.2409547195916497e-62,5.519885077162662e-32,3.609048655026033e-44,4.6454424305958245e-47,4.4735519156324233e-48,2.1793597200137718e-60,1.0657628233230173e-53,5.720572624842539e-39,8.96829091171278e-48,4.898430961015444e-48,5.450133346432966e-58,1.185757478253931e-74,5.692475228913381e-71,1.454226296270158e-79,2.1047222125732434e-20,8.383439819610573e-45,1.8301659476888058e-61,1.5612879314414208e-49,4.1392612417934786e-53,8.166370175027006e-32,4.765062158159079e-20,7.749619864809715e-47,1.0905276679391416e-17,3.848216825071538e-33,9.230826058401787e-29,2.0343741892927667e-43,6.54955063537653e-42,1.3653773318789343e-37,2.1047222079170135e-20,7.366664953287528e-62,2.1639285178146865e-36,1.430981019130103e-61,1.2339849849229715e-69,2.4616130514818913e-47
6.706066399141588e-18,0.0802070538866021,3.76,0.0,0.6597597784379168,1.0,9.635308153768364e-38,2.1964148805122293e-17,2.0662995154616417e-28,3.5260406626818774e-14,3.5260406626818976e-14,2.421357747505963e-31,1.0128719065495596e-29,1.009507996014441e-29,1.0915013071881602e-38,3.9926560280393417e-38,5.568496097941277e-17,3.9285822755413624e-30,2.703036663852177e-17,1.0397661607975209e-22,1.8291622612455008e-26,2.865469828022791e-17,1.080530553731464e-31,1.9972347699971088e-30,1.0375759230649621e-39,2.169032537682939e-24,1.0482241875827797e-45,1.939564645395223e-46,1.0459718331837716e-27,3.6877473235785016e-42,9.82429958427285e-59,1.3759497383735607e-29,8.200265416894614e-45,1.4661013624891035e-54,4.761606928383364e-50,1.931808996495565e-65,1.0761170827951478e-17,1.9086510542674089e-28,1.0761170828004801e-17,3.2493793827904593e-34,2.1000319035153893e-56,1.0522440191054303e-33,9.59723788802416e-20,1.3274677380285204e-45,2.011641228350223e-61,2.2312258022482445e-31,2.9228334219403107e-43,3.777596921844374e-46,3.637818140822063e-47,1.8113678550721973e-59,8.630823618772686e-53,4.6326703581894504e-38,7.292865227893445e-47,3.983322706230768e-47,8.843335525948057e-57,3.849768343338869e-73,1.8481751691771735e-69,4.7213992264508235e-78,4.2390883997804414e-20,6.792158997256271e-44,2.966778131068288e-60,1.2696135749534053e-48,3.352081744518573e-52,3.3009773936440196e-31,9.59723784912055e-20,6.301862186114724e-46,2.196414880497104e-17,1.5555107683891163e-32,3.7312474685573197e-28,1.6474891918706727e-42,5.303995854647714e-41,1.1057179362558231e-36,4.2390883809592164e-20,1.2009523755979873e-60,8.746945033926316e-36,2.3328601670394016e-60,4.050062267883422e-68,2.001742843901617e-46
1.3459028367507943e-17,0.08020705388660263,3.76,0.0,0.6597597784378811,0.9999999999999999,7.755334260391835e-37,4.4081893056737257e-17,8.308499483180842e-28,7.076738952375262e-14,7.076738952375344e-14,9.73617207959607e-31,4.0727151271190717e-29,4.0591872495887307e-29,8.785352097709585e-38,3.2136369048114423e-37,1.1175932728606873e-16,1.5796656545292744e-29,5.424975679976891e-17,2.0871146803381593e-22,7.354981000832474e-26,5.750977904787003e-17,4.344765835415146e-31,8.0307932507851e-30,8.351313694505605e-39,4.3532335909991454e-24,8.439182565218748e-45,1.5611303685158557e-45,4.2058067278737e-27,2.9682198720483985e-41,1.5821731537205932e-57,5.5326333800654e-29,6.60322787540891e-44,2.3622377338219014e-53,3.83255550551343e-49,6.226648126723409e-64,2.1597594598338547e-17,7.674601943554776e-28,2.1597594598552954e-17,1.3065611992031984e-33,3.382036450871869e-55,4.2310268506339284e-33,1.9261589330916657e-19,1.0706507762187353e-44,3.239686670859051e-60,8.971660807428163e-31,2.35260344468732e-42,3.046769233032651e-45,2.934032148460854e-46,1.5327463492688659e-58,6.946837645190622e-52,3.7287798894535036e-37,5.881960008635597e-46,3.2126940680527855e-46,1.4248663882980675e-55,1.2408609550061436e-71,5.957077609481009e-68,1.521805885563894e-76,8.507820773617755e-20,5.468131615028702e-43,4.777905565421037e-59,1.023989598492854e-47,2.698048096407323e-51,1.3273084916558313e-30,1.9261589174486953e-19,5.0826801770971005e-45,4.408189305612909e-17,6.254640385857839e-32,1.500318186464477e-27,1.3260429980448288e-41,4.269117206943256e-40,8.899779470857769e-36,8.507820697938438e-20,1.939541498598627e-59,3.517108113619556e-35,3.7675752231692932e-59,1.3124467561260707e-66,1.614478108609367e-45
2.6964952304240654e-17,0.08020705388660368,3.76,0.0,0.65975977843781,0.9999999999999998,6.223167338698292e-36,8.831738156087932e-17,3.332079908030751e-27,1.4178135531761256e-13,1.4178135531761581e-13,3.90463972056287e-30,1.6333423171332178e-28,1.6279156365781495e-28,7.049691764631951e-37,2.5787411965858594e-36,2.239080599165671e-16,6.335165797929214e-29,1.0868853706144767e-16,4.1827487767725673e-22,2.949676339169292e-25,1.1521994052883972e-16,1.7424454262647537e-30,3.220707345506272e-29,6.701403284493567e-38,8.721637070198604e-24,6.772776865528739e-44,1.2527088099409437e-44,1.686716599283665e-26,2.38180951418295e-40,2.5397382855040585e-56,2.218833437305765e-28,5.299850033789016e-43,3.7928158585943204e-52,3.0753844258312437e-48,1.9997370229405026e-62,4.327044213785666e-17,3.077858634221498e-27,4.3270442138716545e-17,5.2398951088158155e-33,5.428916903799293e-54,1.6968309476045764e-32,3.859029222634668e-19,8.600049086537261e-44,5.200416155936741e-59,3.598037242664766e-30,1.8878372168101458e-41,2.447331481762137e-44,2.3567742275458968e-45,1.3499769794830545e-57,5.574399604769035e-51,2.9921170523781036e-36,4.7247101538892554e-45,2.580610588780688e-45,2.2877655594286634e-54,3.985115178492977e-70,1.9131622191797356e-66,4.887390533532174e-75,1.7045285518984058e-19,4.388315369901639e-42,7.669599295030848e-58,8.225245427280353e-47,2.1650154197546973e-50,5.3231007039508434e-30,3.85902915989936e-19,4.0826851637776633e-44,8.831738155844033e-17,2.5083905403689458e-31,6.016946881063758e-27,1.0640665854259203e-40,3.42569754796205e-39,7.141511841929823e-35,1.7045285215476151e-19,3.1177569686857603e-58,1.4105176487888805e-34,6.056266562770529e-58,4.226287631228259e-65,1.296836594856667e-44
