Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14),CF2CH(72),C2HF2(71),C2HF(57),C2HF(5345),S(1655),C2F(5344),C2H5(32),C2H3F2(65),HCCO(21),S(2309),CH3CO(34),C2H6(31),CH2(S)(25),C2H2F2(58),CHF(40),CF(50),CH2(T)(18),S(6270),CH2O2(383),CHO2(142),F(37),C#CC(3594),CH(17),C3H4(6344),C3H4(6729),S(264),C3H5(2345),C3H5(2725),CH3O2(159),S(1527),S(3172),S(6223),S(6172),C3H3(5584)
0.0,0.35897801931494866,3.76,0.0,0.6861456494874834,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.547023030206926e-21,0.35897801931494877,3.76,0.0,0.686145649487483,1.0,1.4463053636856252e-46,1.0095446021605575e-17,4.064764321771654e-34,3.2387819033024565e-16,3.238781903302456e-16,1.3288213285931482e-34,4.5522162387347626e-33,4.5511118806971215e-33,7.29704081105631e-46,5.370491636018545e-46,3.2109401439859413e-19,2.7249176336792677e-35,1.3284275206967419e-19,6.001169917794432e-24,7.768180537596331e-31,1.8825726349730945e-19,2.165629209962136e-34,1.060269981993412e-34,1.2786835372277425e-46,2.5198787049499706e-24,1.9954175953100178e-50,4.3475627507483884e-54,7.609095592261239e-35,1.3753733130299946e-49,6.825614102671913e-71,1.5700301965868462e-35,1.2803925474806792e-49,2.516410718196314e-63,4.015953696062066e-57,2.0606913880469265e-78,9.57451299277044e-19,2.830943707543165e-34,9.57451299277034e-19,2.2899912490457976e-37,1.1924464848804999e-65,1.0894466482561546e-36,6.22766346007975e-20,3.307611123683461e-50,3.848448460109859e-68,2.5337341640199995e-35,2.2335643139505888e-49,9.576287234335253e-51,6.737408259516116e-53,9.308238284063618e-65,5.964255472377238e-60,6.2439955086505265e-46,1.5584977035847688e-51,5.153771717674671e-52,4.837984635279226e-65,2.0309875575362542e-82,2.0667643559094723e-82,1.1427818954473003e-87,3.3346365143746444e-20,9.93480749512544e-50,9.998954414869812e-69,5.790357630766353e-54,4.061466769542664e-58,2.513400871556501e-34,6.227663460076472e-20,8.126243513858496e-51,1.0095446021605563e-17,2.0574260762562018e-35,3.1374364146262136e-32,7.524170595116672e-51,1.4415100031267046e-49,1.5103834279706616e-44,3.3346365143734455e-20,1.487548291385007e-67,6.900630921158822e-38,4.458710037422446e-68,7.112176512359893e-69,7.516714075343469e-51,1.274458570097018e-71,2.024478950314084e-67,4.573913362346324e-35,7.605483219457136e-68,2.999430843597257e-51,3.3343322454155286e-77,4.8759500625573264e-79,6.946060361026613e-66
7.131664484579393e-21,0.35897801931494877,3.76,0.0,0.6861456494874825,1.0,1.7170537278518933e-45,2.8267248860495634e-17,2.4551176504021808e-33,9.068589329246875e-16,9.068589329246875e-16,8.026080824581125e-34,2.749538608263991e-32,2.7488715759407883e-32,8.66304705853487e-45,6.375847671706103e-45,8.990632403160663e-19,1.6458502507422796e-34,3.7195970579389e-19,1.6803278311896614e-23,4.6919810446973906e-30,5.271203377912573e-19,1.3080400428178314e-33,6.404030691257793e-34,1.5180530953966592e-45,7.055660373943416e-24,2.9917945074607837e-49,5.161426500040769e-53,4.595893737702717e-34,1.632843197225211e-48,1.5268625729700801e-69,9.482982387359052e-35,1.925224430288096e-48,7.062350759660097e-62,4.767740227953259e-56,1.061612879724305e-76,2.680863637975716e-18,1.7098899993560674e-33,2.6808636379756552e-18,1.383154714431183e-36,2.667455088782849e-64,6.580257755419822e-36,1.7437457688223754e-19,4.9984524234938996e-49,8.608825268104356e-67,1.530375435066845e-34,2.668102558994991e-48,1.4471685268933813e-49,1.0181571361957842e-51,1.1050985231669991e-63,7.0807640970540644e-59,7.412871469590009e-45,2.3552017296573517e-50,7.788379819749128e-51,1.3584766679612234e-63,1.0468299975044812e-80,1.0647415097218653e-80,5.890229944031222e-86,9.336982240246234e-20,1.2269864556993188e-48,2.236726107257598e-67,8.750388451719269e-53,4.8217733495879665e-57,1.5180941264197487e-33,1.7437457688203946e-19,1.2280379198219623e-49,2.8267248860495566e-17,1.2426853500588105e-34,1.895011594432283e-31,8.932695330580032e-50,1.7113606757038547e-48,1.7931272056678094e-43,9.336982240238989e-20,4.6770898358678e-66,4.167981076378812e-37,1.401889775110095e-66,2.2361820905628863e-67,1.1359258310611368e-49,4.007101660945162e-70,6.365285736407411e-66,2.7626436708557365e-34,2.1344911477287078e-66,4.532739890780937e-50,2.0284370202980753e-75,2.9662783694175917e-77,2.1839525144718797e-64
1.6300947393324327e-20,0.3589780193149489,3.76,0.0,0.6861456494874812,1.0,1.6858135320518993e-44,6.461085453827583e-17,1.1820334648493488e-32,2.072820418113569e-15,2.0728204181135697e-15,3.864212423366636e-33,1.3237844823263603e-31,1.3234633349063126e-31,8.505431064226554e-44,6.259845052957156e-44,2.0550016921510204e-18,7.924060478739325e-34,8.501936132375307e-19,3.840750526838979e-23,2.258986900316822e-29,1.204846486374316e-18,6.297649742580399e-33,3.0832651076632195e-33,1.4904335309922925e-44,1.61272237122643e-23,3.210284077492619e-48,5.067519149432382e-52,2.212724998194962e-33,1.6031351336553648e-47,3.016823148613631e-68,4.565647811636299e-34,2.067727758388641e-47,1.5335900118159318e-60,4.680995628093888e-55,4.627251802386454e-75,6.127688315373033e-18,8.232384301535452e-33,6.127688315372737e-18,6.659294552335846e-36,5.270441750654746e-63,3.1681108530578667e-35,3.9857046144513556e-19,5.377103752153293e-48,1.7009588021761787e-65,7.368098948951637e-34,2.626751872094513e-47,1.5567978632648515e-48,1.0952869860004407e-50,1.085044066809633e-62,6.951936179340962e-58,7.278001170215367e-44,2.5336185467638583e-49,8.378383605986444e-50,2.9503122961247854e-62,4.5634344960002e-79,4.640888561160173e-79,2.567721465297162e-84,2.1341673691978335e-19,1.2254882376546005e-47,4.419393869241862e-66,9.413268593528684e-52,4.734045669016641e-56,7.308969734480644e-33,3.9857046144418194e-19,1.3210671555881636e-48,6.46108545382755e-17,5.9829950297539785e-34,9.12366509370377e-31,8.770173245846289e-49,1.6802240596191603e-47,1.7605029235838242e-42,2.1341673691943454e-19,1.0434330137600576e-64,2.006703471871291e-36,3.127538970340451e-65,4.988799233991641e-66,1.2219771737840098e-48,8.939623390277269e-69,1.4200602323987596e-64,1.3300940057681472e-33,4.63504848677262e-65,4.87611473360135e-49,9.157334322754252e-74,1.339119847023462e-75,4.872277920721323e-63
3.463951321081419e-20,0.358978019314949,3.76,0.0,0.6861456494874788,1.0,1.4910829779269942e-43,1.3729806589383658e-16,5.162250689457567e-32,4.404743388491324e-15,4.4047433884913264e-15,1.687603087124985e-32,5.781314624250159e-31,5.7799120884811064e-31,7.522957491498377e-43,5.5367620590788546e-43,4.366878595820971e-18,3.4606453947726836e-33,1.8066614281056485e-18,8.161599985453136e-23,9.865589282580031e-29,2.5602987835210853e-18,2.750349096662765e-32,1.346542877158889e-32,1.3182715795395488e-43,3.4270350390242056e-23,2.947849399844918e-47,4.4821633084157124e-51,9.66355140181417e-33,1.4179548707753697e-46,5.368275614562789e-67,1.9939383496257695e-33,1.899387129775309e-46,2.8410820880330994e-59,4.140287622416416e-54,1.721399400663822e-73,1.3021337670167552e-17,3.5952985085797443e-32,1.3021337670166261e-17,2.908288886401513e-35,9.37846949612003e-62,1.3835972432119164e-34,8.469622305710036e-19,4.942483555433211e-47,3.026765307699769e-64,3.2178423882862606e-33,2.326188922883026e-46,1.4309654491998e-47,1.0067574415561306e-49,9.598012938785513e-62,6.148908823327555e-57,6.437309620796202e-43,2.3288319485130263e-48,7.701178002280496e-49,5.4659478765255105e-61,1.6977511940732754e-77,1.7264724568193107e-77,9.552787924307486e-83,4.535105659539821e-19,1.0922012506308787e-46,7.864075269706344e-65,8.652415601243882e-51,4.1872097858455046e-55,3.1920191068709047e-32,8.469622305668387e-19,1.2142883158491563e-47,1.3729806589383508e-16,2.6129311168463405e-33,3.9845442465450556e-30,7.757118917115902e-48,1.48613915277032e-46,1.5571448987771965e-41,4.535105659524589e-19,1.9542345558532518e-63,8.763801269854103e-36,5.857534359698248e-64,9.343468852131409e-65,1.1232075508144335e-47,1.674292529936874e-67,2.6596156541503205e-63,5.8088699701574717e-33,8.586748966903254e-64,4.4819895204932543e-48,3.457635200965492e-72,5.0562617440964e-74,9.125237320046628e-62
7.131664484579393e-20,0.3589780193149494,3.76,0.0,0.686145649487474,1.0,1.2533450875180554e-42,2.8267248860495945e-16,2.1551380441301383e-31,9.068589329246801e-15,9.068589329246812e-15,7.045410682506054e-32,2.4135850507284788e-30,2.412999519141798e-30,6.323499078117526e-42,4.653982125659583e-42,8.99063240316104e-18,1.444751329376759e-32,3.719597057765228e-18,1.6803315171943538e-22,4.118689320882996e-28,5.271203377737235e-18,1.1482166071316884e-31,5.621551444774371e-32,1.1080866944235778e-42,7.055660375154148e-23,2.520819913809964e-46,3.7675283457180577e-50,4.034342482695063e-32,1.1918765070515516e-45,9.054381500792534e-66,8.324300101947728e-33,1.624503683121944e-45,4.881608146397549e-58,3.480161217610837e-53,5.928617776991912e-72,2.6808636379756144e-17,1.5009663537393168e-31,2.6808636379750748e-17,1.2141533603456663e-34,1.5818159589276838e-60,5.77624612839353e-34,1.7437457688230284e-18,4.228398286267904e-46,5.105082096487415e-63,1.3433858537461783e-32,1.956434569285239e-45,1.224221069144879e-46,8.613021872943552e-49,8.069257610877636e-61,5.168528367022968e-56,5.4109466241845187e-42,1.9923647622910266e-47,6.588519918602825e-48,9.391949848638751e-60,5.847326000412351e-76,5.94608973064436e-76,3.290132598986051e-81,9.336982240206067e-19,9.213402074653383e-46,1.3263912402354148e-63,7.402323712244018e-50,3.519602128301401e-54,1.3326051420939913e-31,1.7437457688056407e-18,1.0388492194315497e-46,2.8267248860495324e-16,1.090847305631902e-32,1.6634687870076083e-29,6.520325851677885e-47,1.2491895044530555e-45,1.3088741123205782e-40,9.336982240142475e-19,3.3754542115957866e-62,3.6587145143825274e-35,1.0117433939402776e-62,1.6138518912902255e-63,9.609277072684598e-47,2.891923997908978e-66,4.5938246427666955e-62,2.4250888646958984e-32,1.4753935746485978e-62,3.834436396402008e-47,1.1996142745350326e-70,1.754252086042469e-72,1.5761578184055903e-60
1.4467090811575339e-19,0.35897801931494994,3.76,0.0,0.6861456494874644,1.0,1.0275680267949699e-41,5.73421334027211e-16,8.804442117683915e-31,1.8396281210757633e-14,1.8396281210757668e-14,2.8782801491509556e-31,9.860282469803457e-30,9.857890378032887e-30,5.184386599652195e-41,3.8156157283534676e-41,1.8238140017841846e-17,5.902280591254734e-32,7.545468316777765e-18,3.4086810621972707e-22,1.6826189770380248e-27,1.0693012565859972e-17,4.69083949402904e-31,2.296587192004699e-31,9.084764198654489e-42,1.4312911049551605e-22,2.0838218952782466e-45,3.0888473858930028e-49,1.648160541393657e-31,9.771723705847628e-45,1.4871848912590985e-64,3.400748206713788e-32,1.3429904284935282e-44,8.08974216108551e-57,2.8532464285608803e-52,1.9671993103955236e-70,5.438323379893153e-17,6.1319373082862136e-31,5.438323379890949e-17,4.960212645941464e-34,2.5981374618273e-59,2.3597850174294514e-33,3.5373128453282305e-18,3.4961212953429613e-45,8.385112685347405e-62,5.488169548488038e-32,1.604453976114303e-44,1.0122096546704747e-45,7.121413046655442e-48,6.618205801989901e-60,4.237471827020194e-55,4.436220976012755e-41,1.647325714019675e-46,5.4475156781731605e-47,1.5564425686159226e-58,1.940251169613004e-74,1.9729967518301542e-74,1.0917270025360477e-79,1.8940735401467643e-18,7.566753109427928e-45,2.1786016024101125e-62,6.1203843933939296e-49,2.8855824783557853e-53,5.444126823781662e-31,3.5373128452571976e-18,8.589406241002567e-46,5.734213340271855e-16,4.4564671782212806e-32,6.795812771306581e-29,5.345757075298462e-46,1.0241610285166101e-44,1.0730940759263505e-39,1.8940735401207854e-18,5.608367657323009e-61,1.4947042600332252e-34,1.6810267805830645e-61,2.681439063690001e-62,7.945136108302762e-46,4.804975040013325e-65,7.632708350164679e-61,9.907279299206266e-32,2.445004413430697e-61,3.170386162490307e-46,3.9952163932992193e-69,5.842391876339572e-71,2.6188097886919053e-59
2.9137943465567233e-19,0.3589780193149512,3.76,0.0,0.686145649487445,1.0,8.321512298020136e-41,1.1549190248717362e-15,3.558896277460391e-30,3.705166497377878e-14,3.705166497377893e-14,1.1634468554267133e-30,3.985683830017142e-29,3.9847169048940274e-29,4.198450684952299e-40,3.089984543260394e-40,3.673315524720611e-17,2.3857961843326897e-31,1.5197210833576342e-17,6.865406183022442e-22,6.801414932282676e-27,2.1536630940867195e-17,1.8961123235919136e-30,9.283172623652081e-31,7.357077586468308e-41,2.8827412406896794e-22,1.694355013141236e-44,2.5014287350908424e-48,6.66212842537163e-31,7.913395205367744e-44,2.4107908311924086e-63,1.3746367983134705e-31,1.0920260624751376e-43,1.3171124823527923e-55,2.3106329330619004e-51,6.40936837376282e-69,1.095324286372751e-16,2.4786271012515217e-30,1.0953242863718598e-16,2.004997258824852e-33,4.2116927849966076e-58,9.538628335273018e-33,7.124446998343246e-18,2.842987705259221e-44,1.3592629041746964e-60,2.2184058797194153e-31,1.299508224325608e-43,8.231120817807389e-45,5.791014824324445e-47,5.3637100967620115e-59,3.43161455329015e-54,3.592566792132697e-40,1.3395779125487035e-45,4.429829279422379e-46,2.5341019304959177e-57,6.321610072088743e-73,6.42825712377288e-73,3.55699955835152e-78,3.8148241723707136e-18,6.132958465180866e-44,3.5316071038786945e-61,4.976994945896657e-48,2.3368195179838922e-52,2.20060310625288e-30,7.124446998056121e-18,6.98476250756229e-45,1.1549190248716336e-15,1.801375286219961e-31,2.7469761777636446e-28,4.3291326786567415e-45,8.293921539229822e-44,8.69019404208626e-39,3.8148241722657034e-18,9.143054762200495e-60,6.041833601647976e-34,2.7404979204583305e-60,4.371422463803465e-61,6.460852732828466e-45,7.833322240587841e-64,1.2443241006069188e-59,4.004680696435462e-31,3.9807768364046546e-60,2.5781053736204485e-45,1.3041051723648414e-67,1.907054015401473e-69,4.269320908955428e-58
5.847964877355102e-19,0.35897801931495377,3.76,0.0,0.6861456494874064,1.0,6.697877055917203e-40,2.317914406560877e-15,1.4310165426427304e-29,7.436243249981903e-14,7.436243249981965e-14,4.678168630591288e-30,1.602625941085462e-28,1.6022371420253876e-28,3.3792783690804676e-39,2.487088382850389e-39,7.372318570594529e-17,9.593181526073796e-31,3.050069586226752e-17,1.377896054795011e-21,2.734819030132312e-26,4.322386768592863e-17,7.624184259391514e-30,3.732722883792789e-30,5.921616092842354e-40,5.785641515578827e-22,1.3664893465239153e-43,2.0133675269042072e-47,2.6788125378198204e-30,6.369388910019575e-43,3.8825044268359993e-62,5.527354106282329e-31,8.807301581126777e-43,2.1257513630561542e-54,1.8597984047348643e-50,2.0694722781107322e-67,2.1983081831393339e-16,9.966450560150102e-30,2.198308183135751e-16,8.062005797633555e-33,6.782801384639989e-57,3.835440499319981e-32,1.429871530439173e-17,2.292972550736706e-43,2.1890510162403243e-59,8.920112472825902e-31,1.0460290922389965e-42,6.638697147800614e-44,4.6706632565429946e-46,4.32380549666161e-58,2.7620619424736133e-53,2.8916103471776634e-39,1.080418116014739e-44,3.5728177954129294e-45,4.08992251705226e-56,2.041143458838015e-71,2.0755711225642095e-71,1.1484964415078439e-76,7.656325436705151e-18,4.938417889688469e-43,5.687544444897153e-60,4.0141267310519832e-47,1.8808756680798516e-51,8.848528304052075e-30,1.4298715303237198e-17,5.633464005373871e-44,2.317914406560464e-15,7.243250798551612e-31,1.1045470393611046e-27,3.4844626073729153e-44,6.67566960742411e-43,6.994624189726735e-38,7.656325436282902e-18,1.4766057869282239e-58,2.429394718227759e-33,4.42591145808432e-59,7.059859051673812e-60,5.210911787938232e-44,1.2650837028096073e-62,2.0095867459740242e-58,1.610264494753806e-30,6.424767757375225e-59,2.079335380048148e-44,4.214642570724276e-66,6.163269043773964e-68,6.894964671654895e-57
1.1716305938951859e-18,0.3589780193149588,3.76,0.0,0.6861456494873291,0.9999999999999999,5.3746245250424354e-39,4.643905169939518e-15,5.739016390395619e-29,1.4898396755189132e-13,1.4898396755189376e-13,1.8761548532006958e-29,6.427246837459851e-28,6.425687557511336e-28,2.711658071980464e-38,1.995731795641394e-38,1.4770324662346617e-16,3.847294857486424e-30,6.110766590002597e-17,2.760648577091451e-21,1.0967847485097124e-25,8.659834115623949e-17,3.0576388882144434e-29,1.496988827072806e-29,4.7517239840995825e-39,1.1591442079037568e-21,1.0976108905858466e-42,1.6156007416164662e-46,1.0743236397494928e-29,5.111033468448852e-42,6.232279815256262e-61,2.216716212761091e-30,7.07439021285855e-42,3.4159667205892486e-53,1.4923710932812348e-49,6.652015693162862e-66,4.4042759766713466e-16,3.9969924350147944e-29,4.404275976656978e-16,3.233224909184902e-32,1.0887898365897637e-55,1.5381831829870122e-31,2.864725191656249e-17,1.8418402388175622e-42,3.513911723854041e-58,3.577364062991036e-30,8.394011769373707e-42,5.332562601707503e-43,3.751730740153605e-45,3.480213876630575e-57,2.216380770307291e-52,2.3203352711739564e-38,8.678505864433413e-44,2.8698815513979767e-44,6.572293449267708e-55,6.560967789671004e-70,6.671619532095406e-70,3.691680136556407e-75,1.533932796492016e-17,3.9636005081175744e-42,9.129768683900058e-59,3.2243648930375075e-46,1.5092843044107084e-50,3.548655609905793e-29,2.86472519119323e-17,4.525104654249844e-43,4.643905169937862e-15,2.9048675325488136e-30,4.429727647954093e-27,2.7960618011286082e-43,5.356804437417083e-42,5.612745397962976e-37,1.5339327963226763e-17,2.373600678483692e-57,9.742959393074438e-33,7.114523393272838e-58,1.134851754299149e-58,4.185687727118471e-43,2.033585324519995e-61,3.2303520010667503e-57,6.457880831901003e-30,1.032425214841738e-57,1.6702352530575386e-43,1.3553658882601135e-64,1.9820149593560235e-66,1.1083454333723026e-55
