Time (s),Volume (m^3),N2,Ne,C2H5F(1),O2(2),H2O(3),CH4(4),OH(5),C2H4(30),HF(38),C2H4(126),H2(8),H2CC(24),HCO(15),CO(13),HO2(11),H2O2(12),C2H4F(62),H(6),CH2CHF(55),C2H4F(61),C2H3(29),CH2O(20),C2H2(23),O(7),CH2CF(69),CH2CFO(78),S(184),CH2CO(28),S(515),S(253),C2H2F(70),S(1529),S(767),S(1557),CH2F(46),CHFO(47),CH3(19),CH2F2(41),C2H2O(452),C2H5O(160),CH3F(39),CHF2(81),C2H(22),CH3O(27),C2H3F2(63),CH2CF2(56),C2H3F2(64),S(1652),S(338),CO2(14)
0.0,0.4522347052778472,3.76,0.0,0.501055871799103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.470093788666931e-21,0.4522347052778472,3.76,0.0,0.5010558717991027,1.0,7.848987197943944e-47,4.6733435128705696e-33,3.8294627394214584e-34,2.49999666808391e-16,2.49999666808391e-16,3.472930396750274e-35,1.417813735104212e-33,1.417367415593537e-33,5.985557473982885e-46,4.073211373819865e-49,1.5470030510122617e-19,1.1758475479281683e-35,6.765452596060886e-20,2.4190976262291177e-24,4.5483280869686e-31,8.704819823733896e-20,3.5882398811968883e-35,6.589614763580512e-35,7.708514963723077e-47,2.7477672132798296e-25,2.2851286006031148e-52,2.4026790784390303e-54,1.1482670393528373e-34,1.1061445917796053e-49,8.426514296823301e-71,1.7064743621529825e-35,1.1436092948975768e-51,6.817401684208662e-65,1.1555654834233001e-57,1.2790048242210646e-79,3.8542488161199375e-19,2.9967748521028793e-34,3.854248816119899e-19,2.0883455923907452e-50,5.560105028798338e-66,1.8048970280645636e-53,5.391560200666223e-34,1.5118451322195864e-68,2.391226729353949e-69,1.251332815478196e-35,3.138262326448603e-70,7.589811989158546e-82,1.0307128160819745e-84,8.521567778596076e-66,1.0891151468404276e-60,4.128593048739178e-62
2.371626260826741e-20,0.4522347052778472,3.76,0.0,0.5010558717991024,1.0,9.318317601952712e-46,2.8226994817737886e-32,2.3129954946601733e-33,6.999990670634946e-16,6.999990670634946e-16,2.09764995955846e-34,8.563594960517008e-33,8.5608991901828e-33,7.106053871506117e-45,4.835716696967264e-48,4.331608542834389e-19,7.102119189486202e-35,1.8943267268898013e-19,6.77347482159526e-24,2.747190164521205e-30,2.4373495506381644e-19,2.167296888245124e-34,3.980127317203672e-34,9.151548964930177e-46,7.693748197587695e-25,2.712904674629919e-51,2.8524606019610614e-53,6.935532917644333e-34,1.3132148593569232e-48,1.8849775421535544e-69,1.0307105147371158e-34,1.357692954898841e-50,1.5250307361334332e-63,1.371887341916152e-56,5.27786694486047e-78,1.0791896685135795e-18,1.810052010670133e-33,1.079189668513556e-18,3.1559078592120208e-49,1.2437732544866411e-64,2.727560388780392e-52,3.256502361202392e-33,4.263645168069983e-67,5.349078544497934e-68,7.558050205478358e-35,9.867198876323667e-69,4.375355043373733e-80,5.936378095665352e-83,1.011744654376954e-64,1.2929975023561454e-59,9.235497553975886e-61
5.4208600247468367e-20,0.45223470527784726,3.76,0.0,0.5010558717991015,1.0,9.148779479017143e-45,1.359008293542707e-31,1.1136077646981776e-32,1.5999978675737e-15,1.5999978675737e-15,1.0099281592569209e-33,4.1230023424143983e-32,4.1217044445427604e-32,6.976765846189417e-44,4.747735397228579e-47,9.900819526478853e-19,3.4193646693752042e-34,4.3298896614282407e-19,1.5482235084942463e-23,1.3226538076787234e-29,5.571084687138402e-19,1.0434601574553584e-33,1.9162599732507758e-33,8.985045041709855e-45,1.7585710167820114e-24,2.663545896843991e-50,2.80056273394708e-52,3.339160550367842e-33,1.2893221361664517e-47,3.7243979774616344e-68,4.9624274450915844e-34,1.3329909941215567e-49,3.0132083859131128e-62,1.346927127465826e-55,2.0878749811444763e-76,2.4667192423167386e-18,8.714621269915076e-33,2.4667192423166246e-18,3.3949816626085147e-48,2.457486356993227e-63,2.934185000477665e-51,1.5678657063537238e-32,9.274359537102361e-66,1.0568877807108672e-66,3.638875827395672e-34,2.2013177899381767e-67,1.9623192723289182e-78,2.6621211034522346e-81,9.934726812531006e-64,1.2694726152377802e-58,1.824778689816301e-59
1.1519327552587029e-19,0.4522347052778474,3.76,0.0,0.5010558717990997,1.0,8.0919918433138e-44,5.935146261345055e-31,4.863417679834228e-32,3.3999954685941048e-15,3.3999954685941048e-15,4.4106216026529045e-33,1.800623444338076e-31,1.8000566178004374e-31,6.170870388268208e-43,4.199318221965632e-46,2.1039241493768635e-18,1.4933263858688656e-33,9.201015530389176e-19,3.2899779102096545e-23,5.776376670328751e-29,1.1838554960021637e-18,4.5570646491541754e-33,8.368810749763397e-33,7.947170586987835e-44,3.73696341147517e-24,2.355876182037815e-49,2.4770660229564404e-51,1.458299139905555e-32,1.140390828316203e-46,6.627367207248254e-67,2.167222439883355e-33,1.1790154386443698e-48,5.3618471199435426e-61,1.1913417907641001e-54,7.451482924341834e-75,5.241778389923001e-18,3.8059040621705524e-32,5.2417783899225055e-18,3.1205730517344e-47,4.372965668729415e-62,2.6970215308631304e-50,6.847281454845949e-32,1.7193099551436377e-64,1.8806753364805777e-65,1.5891926756418885e-33,4.122824596050917e-66,7.383196673863379e-77,1.0015564935055979e-79,8.789568633200811e-63,1.1228341519528172e-57,3.247096184702155e-58
2.371626260826741e-19,0.4522347052778477,3.76,0.0,0.5010558717990962,1.0,6.801806724575862e-43,2.477806730523461e-30,2.0303811451333336e-31,6.999990670634888e-15,6.999990670634888e-15,1.8413476952590464e-32,7.517248430324072e-31,7.514882037446739e-31,5.186988386807216e-42,3.5297800088263287e-45,4.3316085428351585e-18,6.234343699115964e-33,1.8943267267847265e-18,6.773496109824337e-23,2.4115235516015185e-28,2.437349550531914e-18,1.902484785041302e-32,3.493813747664917e-32,6.680075731301028e-43,7.693748203448181e-24,1.98025588315247e-48,2.082123246961646e-50,6.088111841995806e-32,9.585672048775637e-46,1.117802347197231e-65,9.047727067676714e-33,9.910335171673548e-48,9.043541958082442e-60,1.0013945588397503e-53,2.5176885531086828e-73,1.0791896685135316e-17,1.5888900265848507e-31,1.0791896685133242e-17,2.669715945048914e-46,7.3756457645627e-61,2.3073587014820015e-49,2.8586052183930896e-31,2.955054527234523e-63,3.172033840270771e-64,6.634566587526603e-33,7.121154215803021e-65,2.5566536825166037e-75,3.4680721517988e-78,7.392225165128787e-62,9.438097607087405e-57,5.476702324024396e-57
4.811013271962818e-19,0.4522347052778483,3.76,0.0,0.501055871799089,1.0,5.576532102573178e-42,1.0122648982613797e-29,8.294769477956024e-31,1.4199981074716349e-14,1.419998107471635e-14,7.522506147280992e-32,3.0710412685437617e-30,3.0700745168466586e-30,4.252606465172573e-41,2.893926923621204e-44,8.78697732975311e-18,2.546932822715016e-32,3.84277707409083e-18,1.374057009378917e-22,9.85186056857262e-28,4.944337659403825e-18,7.772271112527718e-32,1.427336916262893e-31,5.476729677677491e-42,1.5607317797740994e-23,1.6235334149655806e-47,1.7070504348446565e-49,2.4871923373669962e-31,7.85891308710027e-45,1.8359937120165394e-64,3.6962917270097327e-32,8.12509153059805e-47,1.4854047317631311e-58,8.210037610062294e-53,8.277610558676168e-72,2.1892133275559088e-17,6.4911342006480985e-31,2.189213327555061e-17,2.2073727705079624e-45,1.211452030989876e-59,1.9077687939441557e-48,1.1678335057049852e-30,4.89778616522938e-62,5.210075107699722e-63,2.710436931520876e-32,1.183190423606667e-63,8.506297282692e-74,1.1538494496213893e-76,6.067255956280243e-61,7.737922646743955e-56,8.995500015051203e-56
9.68978729423497e-19,0.4522347052778496,3.76,0.0,0.5010558717990745,1.0,4.516020281107786e-41,4.0917365660032003e-29,3.3528784473949434e-30,2.8599961882878856e-14,2.8599961882878875e-14,3.0407172553672218e-31,1.2413639848799641e-29,1.2409732059670599e-29,3.443870972145429e-40,2.3435770672682926e-43,1.7697714903594444e-17,1.0295109688939744e-31,7.739677767960981e-18,2.767486840066068e-22,3.982279559128421e-27,9.958313876397295e-18,3.1416762517160486e-31,5.769524027124563e-31,4.435197686757608e-41,3.1434457027713777e-23,1.3147794522818947e-46,1.3824137010522994e-48,1.0053629093165555e-30,6.364351573371192e-44,2.97622492615031e-63,1.4941002145150628e-31,6.579909778100615e-46,2.4079052813001003e-57,6.648701315555707e-52,2.684823373667938e-70,4.4092606456403204e-17,2.6238202282082907e-30,4.4092606456368944e-17,1.794998877690509e-44,1.9638159452775575e-58,1.551365899189303e-47,4.720569750571902e-30,7.974775101169552e-61,8.445756267068228e-62,1.095601943829636e-31,1.928899012531259e-62,2.775208631019044e-72,3.7644399261060303e-75,4.9242134107281877e-60,6.266370382759756e-55,1.4582093168550336e-54
1.9447335338779274e-18,0.4522347052778521,3.76,0.0,0.5010558717990456,1.0,3.634886012083032e-40,1.645269277077212e-28,1.3481776791738065e-29,5.739992349920218e-14,5.739992349920225e-14,1.2226590316952072e-30,4.9914700054056366e-29,4.989898681123086e-29,2.7719269684893656e-39,1.8863147314802624e-42,3.5519190051298836e-17,4.139618326387585e-31,1.5533479152733055e-17,5.554406637017082e-22,1.6012570957125788e-26,1.9986266307382814e-17,1.2632542033083647e-30,2.3199002360596324e-30,3.5698329517303523e-40,6.308873565320794e-23,1.0582488862570167e-45,1.1126868149171935e-47,4.0425200390347655e-30,5.122583831285743e-43,4.793118493696679e-62,6.007711248344525e-31,5.296083827660767e-45,3.8778573844772547e-56,5.35145324161901e-51,8.649516498884559e-69,8.849355281807775e-17,1.0550265737816732e-29,8.849355281794001e-17,1.4477316228875549e-43,3.1626650324550213e-57,1.2512327987792818e-46,1.8981203348845257e-29,1.2871319162879305e-59,1.360163010030612e-60,4.40536722941952e-31,3.1151770582623436e-61,8.966743260362183e-71,1.2162911078028954e-73,3.980808499241989e-59,5.0437200527633227e-54,2.3484011508059074e-53
3.896243142786788e-18,0.4522347052778571,3.76,0.0,0.5010558717989879,1.0,2.9167671155336846e-39,6.59826566573732e-28,5.406795496504396e-29,1.1499984673184212e-13,1.1499984673184232e-13,4.903409539628957e-30,2.0018027366604829e-28,2.001172549734612e-28,2.224296822313509e-38,1.5136488091891845e-41,7.11621403467946e-17,1.6601720978381565e-30,3.1121081910404315e-17,1.1128486773225788e-21,6.42175713105191e-26,4.004217115734819e-17,5.0662143602199554e-30,9.303837547671731e-30,2.8645661234562308e-39,1.2639729356639084e-22,8.491780847668158e-45,8.928610960664302e-47,1.6212313402889256e-29,4.110550913881939e-42,7.694016704535527e-61,2.409360910991718e-30,4.249773734435204e-44,6.224820044903315e-55,4.294204201909666e-50,2.777178407848553e-67,1.772954455413721e-16,4.231128433030473e-29,1.7729544554081966e-16,1.1628967700927715e-42,5.07677778137893e-56,1.0050582273217001e-45,7.612311497952816e-29,2.0683864347533087e-58,2.183362861879705e-59,1.7667492935451784e-30,5.007556141080367e-60,2.8832077214148293e-69,3.91090943268163e-72,3.222229870095938e-58,4.0472677108873858e-53,3.769703939397014e-52
